genus_species,individual,Species.code,number,Site,Rainfall,Soil.nutrient,Group,Diamter_of_sapwood_for_mechanical_test (mm),Diameter_of_whole_stem_for_mechanical_test (mm),Estimated_bark_thickness (mm),Drymatter content (sapwood),Drymatter content (whole stem),"Fresh_density (Sapwood, g/cm3)","Dry_density (Sapwood, g/cm3)","Fresh_density (Whole stem, g/cm3)","Dry_wood_density (whole stem, g/cm3)","Youngs_modulus (sapwood, Mpa)","Bending_strength (sapwood, Mpa)","Youngs_modulus (whole stem, Mpa)","Bending_strength (whole stem, Mpa)","Youngs_modulus (bark, Mpa)"
Hakea dactyloides,HakDac_3_at_HR-LN,HakDac,3,"Murrua, Kuringai",high,low,HR-LN,4.58,5.96,1.1370492,0.602398524,0.593106719,1.084,0.653,1.171296296,0.694703704,11942.09,114.18885,7909.29,99.94923,7218.288261
Hakea dactyloides,HakDac_4_at_HR-LN,HakDac,4,"Murrua, Kuringai",high,low,HR-LN,5.01,5.71,0.9886067,0.581330405,0.561314026,1.098965517,0.638862069,1.128536585,0.633463415,8667.74,88.30573,6086.18,78.67415,5509.338078
Hakea dactyloides,HakDac_5_at_HR-LN,HakDac,5,"Murrua, Kuringai",high,low,HR-LN,4.92,5.58,0.9114166,0.574239957,0.570378443,1.15125,0.66109375,1.201666667,0.685404762,12942.18,112.62229,7723.49,85.55898,6373.291818
Lambertia formosa,LamFor_1_at_HR-LN,LamFor,1,"Murrua, Kuringai",high,low,HR-LN,4.19,5.33,1.1989258,0.514368932,0.459301325,1.103571429,0.567642857,1.139411765,0.523333333,9414.39,74.12051,4673.42,47.03238,4195.428806
Lambertia formosa,LamFor_2_at_HR-LN,LamFor,2,"Murrua, Kuringai",high,low,HR-LN,4.94,6.35,1.904011,0.534816202,0.555322339,1.154324324,0.617351351,1.15,0.63862069,8944.28,82.96638,3507.57,49.57208,3364.272557
Lambertia formosa,LamFor_3_at_HR-LN,LamFor,3,"Murrua, Kuringai",high,low,HR-LN,4.12,6.06,1.7035456,0.494234537,0.574615237,1.1165625,0.55184375,1.155111111,0.663744444,11043.38,60.72678,4925.1,52.71722,4691.815316
Lambertia formosa,LamFor_4_at_HR-LN,LamFor,4,"Murrua, Kuringai",high,low,HR-LN,4.49,4.75,0.797995,0.514958449,0.516657604,1.06962963,0.550814815,1.125918367,0.581714286,8870.78,78.65728,6075.66,58.47242,5401.200127
Lambertia formosa,LamFor_5_at_HR-LN,LamFor,5,"Murrua, Kuringai",high,low,HR-LN,3.7,4.55,0.659743,0.537878011,0.505031627,1.147647059,0.617294118,1.086875,0.54890625,12684.61,97.6776,6339.17,62.28487,4177.274068
Leptospermum trinervium,LepTri_1_at_HR-LN,LepTri,1,"Murrua, Kuringai",high,low,HR-LN,4.58,5.8,1.691214,0.545412703,0.527191577,1.051290323,0.573387097,0.992954545,0.523477273,5303.64,64.09853,2533.99,38.48372,2447.779202
Leptospermum trinervium,LepTri_2_at_HR-LN,LepTri,2,"Murrua, Kuringai",high,low,HR-LN,4.65,5.53,1.4095824,0.588777979,0.509761606,1.102,0.648833333,1.021794872,0.520871795,12415.39,118.15772,3518.18,63.7832,2972.929163
