species,surface.area(mm2),dry.mass(mg),specific.leaf.area(mm2.mg-1)
Eucalyptus amygdalina,455.83,73.1,6.2357045144
Eucalyptus argyphea,1210.64,450.8,2.6855368234
Eucalyptus argyphea,796.548,296.6,2.6855967633
Eucalyptus argyphea,1010.467,373.3,2.7068497187
Eucalyptus argyphea,862.113,314.3,2.7429621381
Eucalyptus argyphea,941.424,337.4,2.7902311796
Eucalyptus argyphea,1271.236,451,2.8187050998
Eucalyptus argyphea,846.131,292.6,2.8917669173
Eucalyptus argyphea,1373.986,474.1,2.8980932293
Eucalyptus argyphea,812.165,279.9,2.9016255806
Eucalyptus argyphea,1210.747,417,2.903470024
Eucalyptus argyphea,705.708,241.8,2.918560794
Eucalyptus argyphea,891.834,304.4,2.9298094612
Eucalyptus argyphea,1217.014,414.9,2.9332706676
Eucalyptus argyphea,598.978,202.1,2.9637704107
Eucalyptus argyphea,1005.089,338.8,2.9666145218
Eucalyptus argyphea,808.831,271.6,2.9780228277
Eucalyptus argyphea,833.066,277.9,2.9977186038
Eucalyptus argyphea,1155.887,385.2,3.0007450675
Eucalyptus argyphea,872.302,287,3.0393797909
Eucalyptus argyphea,920.773,302,3.0489172185
Eucalyptus argyphea,1044.834,341.7,3.0577524144
Eucalyptus argyphea,882.742,279.3,3.1605513784
Eucalyptus argyphea,1462.073,454.4,3.2175902289
Eucalyptus argyphea,818.181,248.6,3.291154465
Eucalyptus argyphea,1053.811,289,3.6464048443
Eucalyptus astringens,1028.306,407.8,2.5215939186
Eucalyptus astringens,935.795,353.7,2.6457308453
Eucalyptus astringens,1449.654,546.8,2.6511594733
Eucalyptus astringens,1124.618,410.4,2.740297271
Eucalyptus astringens,1161.624,418.8,2.7736962751
Eucalyptus astringens,1233.936,431.2,2.8616326531
Eucalyptus astringens,1254.672,430.6,2.9137761263
Eucalyptus astringens,1356.792,462.8,2.9317026793
Eucalyptus astringens,845.385,284.6,2.9704321855
Eucalyptus astringens,627.68,211.2,2.971969697
Eucalyptus astringens,896.76,299.3,2.9961911126
Eucalyptus astringens,625.235,207.7,3.0102792489
Eucalyptus astringens,826.936,273.2,3.026852123
Eucalyptus astringens,1464.963,481.8,3.0406039851
Eucalyptus astringens,641.125,207.6,3.0882707129
Eucalyptus astringens,926.66,298.4,3.1054289544
Eucalyptus astringens,732.066,234.1,3.1271507903
Eucalyptus astringens,864.365,272.7,3.1696552989
Eucalyptus astringens,994.728,309.9,3.2098354308
Eucalyptus astringens,716.406,222.9,3.2140242261
Eucalyptus astringens,620.775,191.3,3.245033978
Eucalyptus astringens,571.666,173,3.3044277457
Eucalyptus astringens,567.228,168.4,3.3683372922
Eucalyptus astringens,872.575,253.3,3.4448282669
Eucalyptus astringens,465.223,132.8,3.503185241
Eucalyptus behriana,1433.098,575.8,2.4888815561
Eucalyptus behriana,868.315,337.4,2.5735477178
Eucalyptus behriana,1583.344,612.4,2.5854735467
Eucalyptus behriana,1206.94,461.8,2.6135556518
Eucalyptus behriana,912.879,345.8,2.6399045691
Eucalyptus behriana,1325.07,476.3,2.7820071384
Eucalyptus behriana,1915.272,682.6,2.8058482274
Eucalyptus behriana,1790.358,627.1,2.854980067
Eucalyptus behriana,1478.472,516.6,2.8619279907
Eucalyptus behriana,1271.143,440.6,2.8850272356
Eucalyptus behriana,1746.576,599,2.9158196995
Eucalyptus behriana,1475.933,497.3,2.9678926201
Eucalyptus behriana,1491.156,502.1,2.9698386776
Eucalyptus behriana,1608.863,529.5,3.0384570349
Eucalyptus behriana,1163.717,366,3.1795546448
Eucalyptus behriana,1377.069,432.5,3.1839745665
Eucalyptus behriana,2435.57,759.3,3.2076517845
Eucalyptus behriana,1086.895,337.9,3.2166173424
Eucalyptus behriana,1149.714,349.4,3.2905380653
Eucalyptus behriana,1197.138,360.9,3.3170906068
Eucalyptus behriana,1503.797,450.3,3.3395447479
Eucalyptus behriana,1922.205,544.6,3.5295721631
Eucalyptus behriana,1355.831,378,3.5868544974
Eucalyptus behriana,1222.729,318.8,3.8354109159
Eucalyptus behriana,1670.083,434.5,3.843689298
Eucalyptus brachycalyx,807.44,355.8,2.2693648117
Eucalyptus brachycalyx,669.548,271.7,2.464291498
Eucalyptus brachycalyx,1243.824,466.1,2.6685775585
Eucalyptus brachycalyx,787.334,291.6,2.700048011
Eucalyptus brachycalyx,593.492,217.5,2.7286988506
Eucalyptus brachycalyx,1156.733,403.6,2.8660381566
Eucalyptus brachycalyx,1028.227,358.1,2.8713404077
Eucalyptus brachycalyx,649.098,223.3,2.9068428124
Eucalyptus brachycalyx,787.872,259.6,3.0349460709
Eucalyptus brachycalyx,727.656,238.6,3.0496898575
Eucalyptus brachycalyx,891.827,292.3,3.0510673965
Eucalyptus brachycalyx,503.34,163.3,3.0823025107
Eucalyptus brachycalyx,1055.474,342.2,3.084377557
Eucalyptus brachycalyx,527.433,170.9,3.086208309
Eucalyptus brachycalyx,734.367,234.8,3.1276277683
Eucalyptus brachycalyx,1088.706,347.4,3.1338687392
Eucalyptus brachycalyx,486.949,153.3,3.1764448793
Eucalyptus brachycalyx,942.55,296.6,3.1778489548
Eucalyptus brachycalyx,593.428,184.1,3.2234003259
Eucalyptus brachycalyx,593.191,183.1,3.2397105407
Eucalyptus brachycalyx,588.409,181,3.250878453
Eucalyptus brachycalyx,1050.979,305.3,3.4424467737
Eucalyptus brachycalyx,1042.926,298.3,3.4962319812
Eucalyptus brachycalyx,614.982,168.9,3.6411012433
Eucalyptus brachycalyx,751.805,203.4,3.6961897738
Eucalyptus bridgesiana,1689.407,491,3.4407474542
Eucalyptus bridgesiana,2961.023,684.5,4.3258188459
Eucalyptus bridgesiana,2122.249,455.4,4.6601866491
Eucalyptus bridgesiana,3331.82,693.9,4.8015852428
Eucalyptus bridgesiana,2477.329,463.5,5.3448306365
Eucalyptus bridgesiana,3429.122,623.3,5.5015594417
Eucalyptus bridgesiana,1946.348,353.5,5.5059349364
Eucalyptus bridgesiana,1556.32,282.6,5.5071479122
Eucalyptus bridgesiana,2994.795,543.1,5.5142607255
Eucalyptus bridgesiana,2510.012,451.2,5.5629698582
Eucalyptus bridgesiana,2492.38,421.9,5.9075136288
Eucalyptus bridgesiana,1985.892,334.8,5.9315770609
Eucalyptus bridgesiana,1542.201,258.9,5.9567439166
Eucalyptus bridgesiana,1735.161,283.5,6.1204973545
Eucalyptus bridgesiana,2500.246,406.8,6.1461307768
Eucalyptus bridgesiana,2820.772,442,6.3818371041
Eucalyptus bridgesiana,3481.909,542.8,6.4147181282
Eucalyptus bridgesiana,2620.083,405.5,6.4613637485
Eucalyptus bridgesiana,4283.119,661.4,6.4758376172
Eucalyptus bridgesiana,2988.845,438.6,6.8145120839
Eucalyptus bridgesiana,2331.83,330.9,7.046932608
Eucalyptus bridgesiana,3858.873,491.5,7.8512166836
Eucalyptus bridgesiana,3316.189,366.7,9.0433296973
Eucalyptus bridgesiana,3683.638,402.4,9.1541699801
Eucalyptus bridgesiana,3398.705,303.8,11.1873107307
Eucalyptus calycogona,1120.703,557.3,2.0109510138
Eucalyptus calycogona,1469.43,721.2,2.0374792013
Eucalyptus calycogona,1219.28,587.6,2.0750170184
Eucalyptus calycogona,729.197,343.4,2.1234624345
Eucalyptus calycogona,1157.02,533.1,2.1703620334
Eucalyptus calycogona,747.396,342.4,2.1828154206
Eucalyptus calycogona,1226.83,559.9,2.1911591356
Eucalyptus calycogona,947.884,429.3,2.2079757745
Eucalyptus calycogona,1100.769,485.1,2.2691589363
Eucalyptus calycogona,923.14,402.5,2.293515528
Eucalyptus calycogona,801.696,342.5,2.3407182482
Eucalyptus calycogona,1058.809,443.9,2.3852421717
Eucalyptus calycogona,919.798,384.8,2.3903274428
Eucalyptus calycogona,1011.112,421.7,2.3977045293
Eucalyptus calycogona,714.685,298,2.3982718121
Eucalyptus calycogona,918.773,382.7,2.4007656128
Eucalyptus calycogona,928.496,386.2,2.4041843604
Eucalyptus calycogona,644.71,265.4,2.4292012057
Eucalyptus calycogona,748.285,300.6,2.4893047239
Eucalyptus calycogona,811.283,323.2,2.510157797
Eucalyptus calycogona,827.538,313.4,2.6405169113
Eucalyptus calycogona,733.048,276.4,2.6521273517
Eucalyptus calycogona,786.875,294.7,2.6700882253
Eucalyptus calycogona,994.635,369.4,2.6925690309
Eucalyptus calycogona,777.905,280.2,2.7762491078
Eucalyptus capillosa,1461.112,547.3,2.6696729399
Eucalyptus capillosa,1643.209,606.7,2.7084374485
Eucalyptus capillosa,1093.513,399.4,2.737889334
Eucalyptus capillosa,1093.14,380.2,2.8751709627
Eucalyptus capillosa,1423.246,493.8,2.8822316727
Eucalyptus capillosa,1703.117,570,2.9879245614
Eucalyptus capillosa,1677.29,555.6,3.0188804896
Eucalyptus capillosa,2635.556,869.2,3.0321629084
Eucalyptus capillosa,1645.812,531.7,3.0953770923
Eucalyptus capillosa,2343.503,751.3,3.1192639425
Eucalyptus capillosa,2675.108,832.9,3.2117997359
Eucalyptus capillosa,1852.338,573.4,3.2304464597
Eucalyptus capillosa,1456.738,444.7,3.2757769283
Eucalyptus capillosa,2778.31,838.2,3.3146146504
Eucalyptus capillosa,1374.732,411.9,3.3375382374
Eucalyptus capillosa,1991.47,593.1,3.3577305682
Eucalyptus capillosa,2395.395,711.9,3.3647914033
Eucalyptus capillosa,1715.235,503.8,3.4045950774
Eucalyptus capillosa,2785.731,803.7,3.4661328854
Eucalyptus capillosa,2476.025,709.7,3.4888333098
Eucalyptus capillosa,2038.816,584.3,3.4893308232
Eucalyptus capillosa,1945.559,553.6,3.5143768064
Eucalyptus capillosa,2055.838,582.7,3.5281242492
Eucalyptus capillosa,1859.695,513.2,3.6237236945
Eucalyptus capillosa,1990.538,539.3,3.6909660671
Eucalyptus clivicola,719.381,302.1,2.3812677921
Eucalyptus clivicola,532.065,223.2,2.3838037634
Eucalyptus clivicola,461.953,191.7,2.4097704747
Eucalyptus clivicola,553.482,228.2,2.4254250657
Eucalyptus clivicola,574.692,236.6,2.4289602705
Eucalyptus clivicola,398.166,163.2,2.4397426471
Eucalyptus clivicola,774.177,309.4,2.502188106
Eucalyptus clivicola,939.538,366.9,2.5607467975
Eucalyptus clivicola,727.24,279.8,2.5991422445
Eucalyptus clivicola,771.452,296,2.6062567568
Eucalyptus clivicola,466.155,176.1,2.6471039182
Eucalyptus clivicola,542.332,202.9,2.6729029078
Eucalyptus clivicola,562.237,210.1,2.6760447406
Eucalyptus clivicola,455.185,168.3,2.7046048723
Eucalyptus clivicola,610.737,222.9,2.7399596231
Eucalyptus clivicola,1013.019,360.3,2.8115986678
Eucalyptus clivicola,1192.979,424.1,2.8129662815
Eucalyptus clivicola,1073.307,380.8,2.8185582983
Eucalyptus clivicola,933.587,331,2.8205045317
Eucalyptus clivicola,1201.928,418.3,2.8733636146
Eucalyptus clivicola,878.225,302.9,2.8993892374
Eucalyptus clivicola,639.791,215.8,2.9647405005
Eucalyptus clivicola,515.114,168,3.0661547619
Eucalyptus clivicola,539.285,174.1,3.0975588742
Eucalyptus clivicola,568.289,173.2,3.2811143187
Eucalyptus coccifera,1863.853,636,2.930586478
Eucalyptus coccifera,2218.647,738.9,3.002634998
Eucalyptus coccifera,1967.177,650,3.0264261538
Eucalyptus coccifera,1815.648,573.3,3.1670120356
Eucalyptus coccifera,2137.3,673.4,3.1738936739
Eucalyptus coccifera,2805.421,875.5,3.2043643632
Eucalyptus coccifera,1084.127,336.9,3.2179489463
Eucalyptus coccifera,1887.537,585.2,3.2254562543
Eucalyptus coccifera,1985.426,585.9,3.3886772487
Eucalyptus coccifera,1403.822,401.8,3.4938327526
Eucalyptus coccifera,906.089,255.5,3.5463365949
Eucalyptus coccifera,1416.19,398.5,3.5538017566
Eucalyptus coccifera,1086.257,304.5,3.5673464696
Eucalyptus coccifera,1052.42,280,3.7586428571
Eucalyptus coccifera,782.466,206.3,3.7928550654
Eucalyptus coccifera,1317.061,341.2,3.8600849941
Eucalyptus coccifera,952.488,246.3,3.8671863581
Eucalyptus coccifera,1260.796,324.3,3.8877459143
Eucalyptus coccifera,1096.783,280.1,3.9156836844
Eucalyptus coccifera,1167.991,290.1,4.026166839
Eucalyptus coccifera,612.831,149.1,4.1102012072
Eucalyptus coccifera,1102.777,266.6,4.136447862
Eucalyptus coccifera,1020.534,241.6,4.2240645695
Eucalyptus coccifera,333.031,77.1,4.3194682231
Eucalyptus coccifera,1177.714,265.2,4.440852187
Eucalyptus conferruminata,1542.23,527.6,2.9231046247
Eucalyptus conferruminata,1919.617,622.7,3.0827316525
Eucalyptus conferruminata,1147.943,370,3.1025486486
Eucalyptus conferruminata,1338.744,431.1,3.1054140571
Eucalyptus conferruminata,1108.033,352.7,3.1415735753
Eucalyptus conferruminata,1353.4,430.7,3.1423264453
Eucalyptus conferruminata,1521.135,482.4,3.1532649254
Eucalyptus conferruminata,984.646,308,3.1969025974
Eucalyptus conferruminata,1133.086,349,3.2466647564
Eucalyptus conferruminata,2403.117,724.5,3.316931677
Eucalyptus conferruminata,1877.57,556.5,3.3738903863
Eucalyptus conferruminata,1141.375,331.6,3.4420235223
Eucalyptus conferruminata,1013.55,286.5,3.5376963351
Eucalyptus conferruminata,2206.17,619.7,3.56006132
Eucalyptus conferruminata,1120.875,314.2,3.56739338
Eucalyptus conferruminata,845.521,233.2,3.6257332762
Eucalyptus conferruminata,665.023,182.7,3.6399726327
Eucalyptus conferruminata,1213.214,329.4,3.6831026108
Eucalyptus conferruminata,958.747,248.4,3.8596900161
Eucalyptus conferruminata,2137.572,526.1,4.0630526516
Eucalyptus conferruminata,862.321,209.8,4.1102049571
Eucalyptus conferruminata,851.035,206.3,4.1252302472
Eucalyptus conferruminata,2829.821,669.3,4.2280307784
Eucalyptus conferruminata,1150.682,260.5,4.4172053743
Eucalyptus conferruminata,947.447,208.4,4.5462907869
Eucalyptus conglobata,1084.779,627.7,1.7281806596
Eucalyptus conglobata,1397.662,762.3,1.8334802571
Eucalyptus conglobata,743.739,387.7,1.9183363425
Eucalyptus conglobata,1010.631,526.6,1.9191625522
Eucalyptus conglobata,1127.299,585.6,1.9250324454
Eucalyptus conglobata,1226.149,635.2,1.9303353275
Eucalyptus conglobata,995.617,514.3,1.9358681703
Eucalyptus conglobata,1850.832,915.8,2.0210002184
Eucalyptus conglobata,833.489,375,2.2226373333
Eucalyptus conglobata,1348.015,605.5,2.2262840628
Eucalyptus conglobata,866.587,383.7,2.2585014334
Eucalyptus conglobata,901.127,383.6,2.3491319082
Eucalyptus conglobata,1403.972,597.6,2.3493507363
Eucalyptus conglobata,955.291,405,2.3587432099
Eucalyptus conglobata,1149.183,482.6,2.3812329051
Eucalyptus conglobata,1169.317,486.3,2.4045177874
Eucalyptus conglobata,796.182,330.1,2.4119418358
Eucalyptus conglobata,946.629,389.9,2.4278763786
Eucalyptus conglobata,834.02,328,2.5427439024
Eucalyptus conglobata,1116.938,439,2.5442779043
Eucalyptus conglobata,1132.276,437.5,2.5880594286
Eucalyptus conglobata,1047.903,389.6,2.6896894251
Eucalyptus conglobata,1088.35,404.4,2.6912710188
Eucalyptus conglobata,903.93,329.7,2.7416742493
Eucalyptus conglobata,733.256,253.9,2.8879716424
Eucalyptus conica,2352.237,382.3,6.1528563955
Eucalyptus conica,2296.982,354.8,6.4740191657
Eucalyptus conica,1146.014,175.7,6.5225611838
Eucalyptus conica,1306.091,198.5,6.5798035264
Eucalyptus conica,1064.523,161.6,6.587394802
Eucalyptus conica,1570.854,237.6,6.6113383838
Eucalyptus conica,1365.841,206.4,6.6174467054
Eucalyptus conica,1707.62,257.1,6.6418514197
Eucalyptus conica,1703.504,251,6.7868685259
Eucalyptus conica,796.505,115.7,6.8842264477
Eucalyptus conica,717.488,104.2,6.885681382
Eucalyptus conica,1468.534,212.5,6.9107482353
Eucalyptus conica,1682.689,242.7,6.9332056036
Eucalyptus conica,1423.734,203.8,6.9859371933
Eucalyptus conica,1468.496,210.1,6.9895097573
Eucalyptus conica,1146.896,160.9,7.128004972
Eucalyptus conica,1084.693,152,7.1361381579
Eucalyptus conica,1321.155,184.5,7.1607317073
Eucalyptus conica,807.196,111.5,7.239426009
Eucalyptus conica,1305.495,179.5,7.2729526462
Eucalyptus conica,496.758,67.7,7.3376366322
Eucalyptus conica,519.997,68.7,7.5690975255
Eucalyptus conica,1372.036,179.4,7.6479152731
Eucalyptus conica,1318.259,172,7.6642965116
Eucalyptus conica,1584.599,202.4,7.8290464427
Eucalyptus consideniana,1057.905,259.2,4.0814236111
Eucalyptus consideniana,1175.763,277.7,4.233932301
Eucalyptus consideniana,789.184,186.2,4.2383673469
Eucalyptus consideniana,981.047,227.5,4.3122945055
Eucalyptus consideniana,905.178,208.3,4.345549688
Eucalyptus consideniana,1277.503,292.8,4.363056694
Eucalyptus consideniana,1268.274,289.5,4.3809119171
Eucalyptus consideniana,1318.323,299.7,4.3988088088
Eucalyptus consideniana,1301.788,294.4,4.4218342391
Eucalyptus consideniana,1248.85,275.4,4.5346768337
Eucalyptus consideniana,791.034,173.9,4.548786659
Eucalyptus consideniana,2093.891,456.9,4.5828211863
Eucalyptus consideniana,2003.825,433.9,4.61817239
Eucalyptus consideniana,1831.143,388.4,4.7145803296
Eucalyptus consideniana,1056.321,213.1,4.9569263257
Eucalyptus consideniana,1316.968,261.7,5.0323576614
Eucalyptus consideniana,593.564,116.8,5.0818835616
Eucalyptus consideniana,1112.722,217.3,5.1206718822
Eucalyptus consideniana,1032.809,197.3,5.2347136341
Eucalyptus consideniana,814.631,154.5,5.2726925566
Eucalyptus consideniana,1025.266,190.4,5.3848004202
Eucalyptus consideniana,1013.944,185.1,5.477817396
Eucalyptus consideniana,701.642,125.9,5.5730103257
Eucalyptus consideniana,1375.571,245.2,5.6099959217
Eucalyptus consideniana,1123.951,198.3,5.6679324256
Eucalyptus dalrympleana,3292.477,708.8,4.6451424944
Eucalyptus dalrympleana,1632.368,316.9,5.1510508047
Eucalyptus dalrympleana,1036.086,194.5,5.3269203085
Eucalyptus dalrympleana,1492.253,276,5.4067137681
Eucalyptus dalrympleana,2074.244,380.6,5.4499316868
Eucalyptus dalrympleana,2348.178,427.3,5.4953849754
Eucalyptus dalrympleana,1549.924,281.1,5.5137815724
Eucalyptus dalrympleana,2121.762,383.3,5.5355126533
Eucalyptus dalrympleana,2308.068,411.4,5.6102771026
Eucalyptus dalrympleana,2675.036,470.7,5.6831017633
Eucalyptus dalrympleana,2071.943,359.4,5.7650055648
Eucalyptus dalrympleana,1082.621,186.2,5.8142910849
Eucalyptus dalrympleana,2136.54,347.9,6.1412474849
Eucalyptus dalrympleana,1703.497,274,6.2171423358
Eucalyptus dalrympleana,1572.589,249.2,6.3105497592
Eucalyptus dalrympleana,2786.032,438,6.360803653
Eucalyptus dalrympleana,2620.778,394,6.6517208122
Eucalyptus dalrympleana,1425.949,213.7,6.6726672906
Eucalyptus dalrympleana,1129.25,169.1,6.6780011827
Eucalyptus dalrympleana,2027.53,281.2,7.2102773826
Eucalyptus dalrympleana,1625.463,225.3,7.2146604527
Eucalyptus dalrympleana,1266.382,173.2,7.3116743649
Eucalyptus dalrympleana,1887.236,249.4,7.5671050521
Eucalyptus dalrympleana,2351.799,303.6,7.7463735178
Eucalyptus dalrympleana,1568.738,171.2,9.1631892523
Eucalyptus decipiens,1343.713,544.6,2.4673393316
Eucalyptus decipiens,786.968,310.1,2.5377878104
Eucalyptus decipiens,1572.89,618.9,2.5414283406
Eucalyptus decipiens,884.406,340.3,2.5989009697
Eucalyptus decipiens,1063.039,407.2,2.6106065815
Eucalyptus decipiens,1017.809,389.8,2.6111056952
Eucalyptus decipiens,794.899,300.5,2.6452545757
Eucalyptus decipiens,812.932,306.4,2.6531723238
Eucalyptus decipiens,747.747,279.6,2.6743454936
Eucalyptus decipiens,1041.019,386.1,2.6962419062
Eucalyptus decipiens,612.515,226.2,2.707847038
Eucalyptus decipiens,855.581,312.3,2.739612552
Eucalyptus decipiens,731.915,266.9,2.7422817535
Eucalyptus decipiens,1089.426,394.3,2.7629368501
Eucalyptus decipiens,1276.076,458.2,2.784975993
Eucalyptus decipiens,741.846,264.3,2.8068331442
Eucalyptus decipiens,633.051,224.1,2.8248594378
Eucalyptus decipiens,736.715,260.2,2.8313412759
Eucalyptus decipiens,453.98,157.1,2.8897517505
Eucalyptus decipiens,784.624,270.5,2.9006432532
Eucalyptus decipiens,520.872,178.6,2.9164165733
Eucalyptus decipiens,548.492,181.9,3.0153490929
Eucalyptus decipiens,817.421,266.6,3.0660952738
Eucalyptus decipiens,656.433,204.5,3.2099413203
Eucalyptus decipiens,543.1,159,3.4157232704
Eucalyptus extensa,916.019,329.5,2.7800273141
Eucalyptus extensa,1008.459,356.4,2.8295707071
Eucalyptus extensa,577.316,203.6,2.835540275
Eucalyptus extensa,728.681,252.2,2.8892981761
Eucalyptus extensa,538.683,182,2.9597967033
Eucalyptus extensa,655.831,221.4,2.9621996387
Eucalyptus extensa,728.315,245,2.9727142857
Eucalyptus extensa,721.253,239.7,3.0089820609
Eucalyptus extensa,915.668,303.5,3.0170280066
Eucalyptus extensa,531.649,175.8,3.0241695108
Eucalyptus extensa,902.417,297.3,3.035375042
Eucalyptus extensa,878.978,287.7,3.0551894334
Eucalyptus extensa,608.894,198.4,3.0690221774
Eucalyptus extensa,519.961,168.4,3.0876543943
Eucalyptus extensa,452.123,144.8,3.1223964088
Eucalyptus extensa,614.365,195.6,3.1409253579
Eucalyptus extensa,720.457,225.9,3.1892740151
Eucalyptus extensa,495.381,152.3,3.2526657912
Eucalyptus extensa,493.001,151.3,3.2584335757
Eucalyptus extensa,704.74,205.1,3.436079961
Eucalyptus extensa,909.444,261.3,3.4804592423
Eucalyptus extensa,538.331,150.4,3.5793284574
Eucalyptus extensa,430.11,118.5,3.6296202532
Eucalyptus extensa,438.435,118.7,3.6936394271
Eucalyptus extensa,445.519,115.9,3.8439948231
Eucalyptus falcata,696.451,309.7,2.2487923797
Eucalyptus falcata,931.55,388.2,2.3996651211
Eucalyptus falcata,512.052,208.5,2.4558848921
Eucalyptus falcata,608.184,240.3,2.5309363296
Eucalyptus falcata,1591.239,623.4,2.5525168431
Eucalyptus falcata,628.613,244.5,2.5710143149
Eucalyptus falcata,1483.226,572.1,2.5925991959
Eucalyptus falcata,1031.726,394.2,2.6172653475
Eucalyptus falcata,1692.089,645.4,2.6217678959
Eucalyptus falcata,647.377,246.2,2.6294760357
Eucalyptus falcata,475.089,179.7,2.6437896494
Eucalyptus falcata,483.063,177.4,2.7230157835
Eucalyptus falcata,1348.338,494.6,2.7261180752
Eucalyptus falcata,776.615,276.9,2.8046767786
Eucalyptus falcata,1010.208,353.1,2.8609685641
Eucalyptus falcata,905.228,311.6,2.9050962773
Eucalyptus falcata,726.96,246.9,2.9443499392
Eucalyptus falcata,1095.815,370.5,2.9576653171
Eucalyptus falcata,831.711,276,3.0134456522
Eucalyptus falcata,751.719,246.5,3.0495699797
Eucalyptus falcata,965,316.4,3.0499367889
Eucalyptus falcata,1214.017,394.4,3.0781364097
Eucalyptus falcata,792.511,255.6,3.1005907668
Eucalyptus falcata,1217.028,383.5,3.1734758801
Eucalyptus falcata,1652.588,488.2,3.3850634986
Eucalyptus fasciculosa,1098.726,301.9,3.6393706525
Eucalyptus fasciculosa,2086.125,570,3.6598684211
Eucalyptus fasciculosa,2348.4,620,3.7877419355
Eucalyptus fasciculosa,2151.461,565.9,3.8018395476
Eucalyptus fasciculosa,2402.543,622.2,3.8613677274
Eucalyptus fasciculosa,1575.83,407.9,3.8632753126
Eucalyptus fasciculosa,1449.92,372.4,3.8934479055
Eucalyptus fasciculosa,1577.68,403.5,3.9099876084
Eucalyptus fasciculosa,2709.468,692.2,3.9142848888
Eucalyptus fasciculosa,1925.855,486.8,3.956152424
Eucalyptus fasciculosa,2199.323,550.8,3.9929611474
Eucalyptus fasciculosa,2160.955,526.4,4.1051576748
Eucalyptus fasciculosa,1491.493,359.1,4.1534196603
Eucalyptus fasciculosa,2201.646,529.4,4.1587570835
Eucalyptus fasciculosa,969.431,231.2,4.1930406574
Eucalyptus fasciculosa,1706.874,406.4,4.1999852362
Eucalyptus fasciculosa,2007.238,476.6,4.2115778431
Eucalyptus fasciculosa,2896.426,677.1,4.2776931029
Eucalyptus fasciculosa,2298.352,527.8,4.3545888594
Eucalyptus fasciculosa,3454.942,788.7,4.3805528084
Eucalyptus fasciculosa,1118.645,253.5,4.412800789
Eucalyptus fasciculosa,2146.033,480.5,4.4662497399
Eucalyptus fasciculosa,1418.535,317.1,4.4734626301
Eucalyptus fasciculosa,1147.684,253.8,4.522001576
Eucalyptus fasciculosa,2608.417,514.2,5.0727674057
Eucalyptus flocktoniae,1067.657,519.2,2.0563501541
Eucalyptus flocktoniae,1188.526,547.3,2.1716170291
Eucalyptus flocktoniae,1236.359,561,2.2038484848
Eucalyptus flocktoniae,1230.516,538,2.287204461
Eucalyptus flocktoniae,896.38,374.5,2.3935380507
Eucalyptus flocktoniae,1029.97,396.9,2.5950365331
Eucalyptus flocktoniae,1122.918,422.4,2.6584232955
Eucalyptus flocktoniae,1029.977,386.1,2.6676430976
Eucalyptus flocktoniae,1192.821,447.1,2.6679065086
Eucalyptus flocktoniae,1218.011,446,2.7309663677
Eucalyptus flocktoniae,995.481,358.8,2.7744732441
Eucalyptus flocktoniae,1070.166,384.5,2.78326658
Eucalyptus flocktoniae,959.966,342.5,2.802820438
Eucalyptus flocktoniae,1617.783,575.3,2.812068486
Eucalyptus flocktoniae,1884.368,667.9,2.8213325348
Eucalyptus flocktoniae,1451.626,512.3,2.83354675
Eucalyptus flocktoniae,1219.868,428.3,2.8481625029
Eucalyptus flocktoniae,1334.664,451.5,2.9560664452
Eucalyptus flocktoniae,880.777,290.3,3.034023424
Eucalyptus flocktoniae,1156.963,372.7,3.1042742152
Eucalyptus flocktoniae,920.759,295.8,3.112775524
Eucalyptus flocktoniae,865.074,272.7,3.1722552255
Eucalyptus flocktoniae,1113.611,348,3.2000316092
Eucalyptus flocktoniae,950.559,296.1,3.2102634245
Eucalyptus flocktoniae,1082.865,335.8,3.2247319833
Eucalyptus gardneri,940.542,331.9,2.833811389
Eucalyptus gardneri,950.702,319.5,2.9755931142
Eucalyptus gardneri,980.509,321.3,3.0516931217
Eucalyptus gardneri,913.768,292.5,3.1239931624
Eucalyptus gardneri,935.128,298.5,3.1327571189
Eucalyptus gardneri,1012.503,322.9,3.1356550015
Eucalyptus gardneri,918.78,285.3,3.2203995794
Eucalyptus gardneri,965.552,299.3,3.2260340795
Eucalyptus gardneri,760.044,235.1,3.2328541046
Eucalyptus gardneri,826.549,254.9,3.2426402511
Eucalyptus gardneri,1544.955,476.2,3.2443406132
Eucalyptus gardneri,1585.718,468.9,3.3817828961
Eucalyptus gardneri,797.839,233.5,3.416869379
Eucalyptus gardneri,987.306,279.8,3.5286132952
Eucalyptus gardneri,689.911,195.3,3.5325704045
Eucalyptus gardneri,1004.379,275.4,3.6469825708
Eucalyptus gardneri,1167.317,319.5,3.6535743349
Eucalyptus gardneri,1759.784,479.3,3.6715710411
Eucalyptus gardneri,1151.599,312.2,3.6886579116
Eucalyptus gardneri,820.447,221.1,3.7107507915
Eucalyptus gardneri,1356.025,363.5,3.7304676754
Eucalyptus gardneri,1023.624,256.1,3.9969699336
Eucalyptus gardneri,1601.535,385.5,4.1544357977
Eucalyptus gardneri,1087.942,242.5,4.4863587629
Eucalyptus gardneri,1040.589,226.5,4.5942119205
Eucalyptus kitsoniana,2499.249,529.1,4.7235853336
Eucalyptus kitsoniana,2678.499,555.8,4.8191777618
Eucalyptus kitsoniana,917.482,184.5,4.972802168
Eucalyptus kitsoniana,2473.415,477.7,5.1777580071
Eucalyptus kitsoniana,1305.696,250.2,5.2186091127
