taxon_name,family,native_status,source_details,name_resolution_and_type,references,reference_category,plant_growth_form_to_use,woodiness_to_use
Sida sp. C sensu Harden (1990),Malvaceae,,taxon_in_flora_not_in_APC,phrase_name,species,scraped from online flora,subshrub,woody
Sida sp. Carnarvon (P.S.Short 2492),Malvaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Sida sp. Chewings Range (D.E.Albrecht 10558),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,herb subshrub,herbaceous woody
Sida sp. dark green fruits (S.van Leeuwen 2260),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,herb shrub,herbaceous woody
Sida sp. Doomadgee (F.W.Whitehouse AQ116275),Malvaceae,native,APC_accepted,phrase_name,(no information),"no information - usually phrase names, occasionally taxa without a recent revision",,
Sida sp. Eulo (I.Tambling AQ123784),Malvaceae,native,APC_accepted,phrase_name,(no information),"no information - usually phrase names, occasionally taxa without a recent revision",,
Sida sp. Everard Ranges (D.J.Whibley 1085),Malvaceae,native,APC_accepted,phrase_name,(no information),"no information - usually phrase names, occasionally taxa without a recent revision",,
Sida sp. Excedentifolia (J.L.Egan 1925),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,herb shrub,herbaceous woody
Sida sp. F (Latz 7459),Malvaceae,native,APC_accepted,phrase_name,(no information),"no information - usually phrase names, occasionally taxa without a recent revision",,
Sida sp. Glengalla (S.L.Everist 3042),Malvaceae,native,APC_accepted,phrase_name,(no information),"no information - usually phrase names, occasionally taxa without a recent revision",,
Sida sp. Golden calyces glabrous fruit (H.N.Foote),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,herb shrub,herbaceous woody
Sida sp. Golden calyces pubescent (G.J.Leach 1966),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,herb shrub subshrub,herbaceous woody
Sida sp. Gordonbrook Station (E.J.Thompson+ MUT46),Malvaceae,native,APC_accepted,phrase_name,(no information),"no information - usually phrase names, occasionally taxa without a recent revision",,
Sida sp. Greenvale (R.J.Fensham 1150),Malvaceae,native,APC_accepted,phrase_name,(no information),"no information - usually phrase names, occasionally taxa without a recent revision",,
Sida sp. Hale River (P.K.Latz 12036),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,shrub subshrub,woody
Sida sp. Hamersley Range (K.Newbey 10692),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,herb shrub,herbaceous woody
Sida sp. Horseshoe Bend (R.E.Winkworth 798),Malvaceae,native,APC_accepted,phrase_name,(no information),"no information - usually phrase names, occasionally taxa without a recent revision",,
Sida sp. Huckitta (P.K.Latz 12592),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,herb shrub subshrub,herbaceous woody
Sida sp. Jericho (E.J.Thompson+ JER117),Malvaceae,native,APC_accepted,phrase_name,(no information),"no information - usually phrase names, occasionally taxa without a recent revision",,
Sida sp. Kathleen Springs (A.C.Beauglehole 26934),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,herb subshrub,herbaceous woody
Sida sp. L (A.M.Ashby 4202),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,herb subshrub,herbaceous woody
Sida sp. Laglan Station (L.S.Smith 10325),Malvaceae,native,APC_accepted,phrase_name,(no information),"no information - usually phrase names, occasionally taxa without a recent revision",,
Sida sp. limestone (D.E.Albrecht 5748),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,herb subshrub,herbaceous woody
Sida sp. M (J.Z.Weber 831),Malvaceae,native,APC_accepted,phrase_name,(no information),"no information - usually phrase names, occasionally taxa without a recent revision",,
Sida sp. Mitrata (R.E.Winkworth 798),Malvaceae,native,APC_accepted,phrase_name,(no information),"no information - usually phrase names, occasionally taxa without a recent revision",,
Sida sp. Mt Bundey (J.Russell-Smith 8104),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,shrub,woody
Sida sp. Murray Springs (R.W.Johnson+ MRS919),Malvaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Sida sp. Musselbrook (M.B.Thomas+ MRS437),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,subshrub,woody
Sida sp. Paringa (R.Bates 13800),Malvaceae,native,APC_accepted,phrase_name,(no information),"no information - usually phrase names, occasionally taxa without a recent revision",,
Sida sp. Petermann Ranges (B.G.Thomson 2340),Malvaceae,native,APC_accepted,phrase_name,(no information),"no information - usually phrase names, occasionally taxa without a recent revision",,
Sida sp. Pilbara (A.A.Mitchell PRP1543),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,herb shrub,herbaceous woody
Sida sp. Pilbara (S. van Leeuwen 4377),Malvaceae,,taxon_in_flora_not_in_APC,phrase_name,species - WA,scraped from online flora,shrub,woody
Sida sp. Pindan (B.G.Thomson 3398),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,subshrub,woody
Sida sp. Pindar (A.A.Mitchell 3585),Malvaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Sida sp. R (P.Copley 1390),Malvaceae,native,APC_accepted,phrase_name,(no information),"no information - usually phrase names, occasionally taxa without a recent revision",,
Sida sp. Rabbit Flat (B.J.Carter 626),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,herb subshrub,herbaceous woody
Sida sp. Rainbow Valley (D.E.Albrecht 6601),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,herb subshrub,herbaceous woody
Sida sp. Rockhampton (T.D.Stanley 8024),Malvaceae,native,APC_accepted,phrase_name,(no information),"no information - usually phrase names, occasionally taxa without a recent revision",,
Sida sp. sand dunes (A.A.Mitchell  PRP1208),Malvaceae,,taxon_in_flora_not_in_APC,phrase_name,species - WA,scraped from online flora,shrub,woody
Sida sp. Shovelanna Hill (S.van Leeuwen 3842),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,herb shrub,herbaceous woody
Sida sp. Simpson Desert dunes (P.K.Latz 18008),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,subshrub,woody
Sida sp. spiciform panicles (E.Leyland s.n. 14/8/1990),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,herb shrub,herbaceous woody
Sida sp. Supplejack Station (T.S.Henshall 2345),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,herb shrub,herbaceous woody
Sida sp. Wakaya Desert (P.K.Latz 11894),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,herb subshrub,herbaceous woody
Sida sp. Walhallow Station (C.Edgood 28/Oct/94),Malvaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Sida sp. Watarrka (D.E.Albrecht 8672),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,herb subshrub,herbaceous woody
Sida sp. Western sand dunes (P.K.Latz 11980),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,herb shrub subshrub,herbaceous woody
Sida sp. Wongamee (R.W.Purdie 426D),Malvaceae,native,APC_accepted,phrase_name,(no information),"no information - usually phrase names, occasionally taxa without a recent revision",,
Sida sp. Woodstock (R.W.Purdie 695D),Malvaceae,native,APC_accepted,phrase_name,(no information),"no information - usually phrase names, occasionally taxa without a recent revision",,
Sida spenceriana,Malvaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Sida spinosa,Malvaceae,native + naturalised,APC_accepted,binomial,"species - PlantNet, WA",scraped from online flora,herb shrub subshrub,herbaceous semi_woody
Sida spodochroma,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,herb shrub,herbaceous soft_woody
Sida subcordata,Malvaceae,native + naturalised,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Sida trichopoda,Malvaceae,native,APC_accepted,binomial,"species - PlantNet, WA",scraped from online flora,herb shrub,herbaceous woody
Sphaeralcea bonariensis,Malvaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Sterculia holtzei,Malvaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub tree,woody
Sterculia quadrifida,Malvaceae,native,APC_accepted,binomial,species,scraped from online flora,tree,woody
Sterculia shillinglawii,Malvaceae,native,APC_accepted,binomial,species - Lucid,scraped from online flora,tree,woody
Sterculia shillinglawii subsp. shillinglawii,Malvaceae,native,APC_accepted,subspecies,species - Lucid,scraped from online flora - applied species value to infraspecific taxon,tree,woody
Sterculia sp. Annan River (L.J.Brass 20319),Malvaceae,native,APC_accepted,phrase_name,*AusTraits plant_growth_form value,AusTraits value - usually for genus sp. or phrase names,tree,woody
Thespesia populnea,Malvaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub tree,woody
Thespesia populneoides,Malvaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub tree,woody
Thomasia angustifolia,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia brachystachys,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia cognata,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia dielsii,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia discolor,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia foliosa,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia gardneri,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia glabripetala,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia grandiflora,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia macrocalyx,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia macrocarpa,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia microphylla,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia montana,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia multiflora,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia paniculata,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia pauciflora,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia petalocalyx,Malvaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Thomasia purpurea,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia purpurea x solanacea,Malvaceae,,taxon_in_flora_not_in_APC,hybrid,species - WA,scraped from online flora,shrub,woody
Thomasia pygmaea,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia quercifolia,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia rhynchocarpa,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia rugosa,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia rulingioides,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia sarotes,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia solanacea,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia sp. Arthur River (H.F. & M.Broadbent 1409),Malvaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Thomasia sp. Big Brook (M.Koch 2373),Malvaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Thomasia sp. Green Hill (S.Paust 1322),Malvaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Thomasia sp. Hopetoun (K.R.Newbey 4896),Malvaceae,native,APC_accepted,phrase_name,genus,scraped from online flora - applied genus value to individual species,shrub,woody
Thomasia sp. Lesueur (M.Hislop 4217),Malvaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Thomasia sp. Merredin (M.B.Mills 11),Malvaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Thomasia sp. Salmon Gums (C.A.Gardner s.n. PERTH 02708639),Malvaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Thomasia sp. Toolbrunup (G.J.Keighery 9895),Malvaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Thomasia sp. Vasse (C.Wilkins & K.Shepherd CW581),Malvaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Thomasia stelligera,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia tenuivestita,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia tremandroides,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia triloba,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia triphylla,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Thomasia x [Thomasia purpurea x Thomasia solanacea],Malvaceae,native,APC_accepted,hybrid,species - hybrid,"scraped from online flora - applied consensus species value to hybrid, graded, or uncertain taxa",shrub,woody
Thomasia x formosa,Malvaceae,native,APC_accepted,hybrid,species - WA,scraped from online flora,shrub,woody
Tilia europaea,Malvaceae,naturalised,APC_accepted,binomial,species - Wikipedia,website - well referenced material,tree,woody
Trichospermum pleiostigma,Malvaceae,native,APC_accepted,binomial,species - Lucid,scraped from online flora,tree,woody
Triumfetta albida,Malvaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Triumfetta annua,Malvaceae,naturalised,APC_accepted,binomial,species - tropical.theferns.info,website - well referenced material,herb,herbaceous woody_base
Triumfetta antrorsa,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta appendiculata,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta aquila,Malvaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Triumfetta arnhemica,Malvaceae,native,APC_accepted,binomial,"species - Halford 1997, Austrobaileya 4(4): 495-587",taxon revision; taxonomic species description,shrub,woody
Triumfetta aspera,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta bradshawii,Malvaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Triumfetta breviaculeata,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta carteri,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta centralis,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta chaetocarpa,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta cinerea,Malvaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Triumfetta cladara,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta clementii,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta clivorum,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta clivorum subsp. brevipetala,Malvaceae,native,APC_accepted,subspecies,species - WA,scraped from online flora,shrub,woody
Triumfetta clivorum subsp. clivorum,Malvaceae,native,APC_accepted,subspecies,species - WA,scraped from online flora,shrub,woody
Triumfetta coronata,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta denticulata,Malvaceae,native,APC_accepted,binomial,"species - Halford 1997, Austrobaileya 4(4): 495-587",taxon revision; taxonomic species description,shrub,woody
Triumfetta deserticola,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta echinata,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta fissurata,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta glaucescens,Malvaceae,native,APC_accepted,binomial,"species - Halford 1997, Austrobaileya 4(4): 495-587",taxon revision; taxonomic species description,shrub,woody
Triumfetta hapala,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta incana,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta inermis,Malvaceae,native,APC_accepted,binomial,"species - Halford 1997, Austrobaileya 4(4): 495-587",taxon revision; taxonomic species description,shrub,woody
Triumfetta johnstonii,Malvaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Triumfetta kenneallyi,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta leptacantha,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta litticola,Malvaceae,native,APC_accepted,binomial,"species - Halford 1997, Austrobaileya 4(4): 495-587",taxon revision; taxonomic species description,shrub,woody
Triumfetta longipedunculata,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta maconochieana,Malvaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Triumfetta marsupiata,Malvaceae,native,APC_accepted,binomial,"species - Halford 1997, Austrobaileya 4(4): 495-587",taxon revision; taxonomic species description,shrub,woody
Triumfetta mellina,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta micracantha,Malvaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Triumfetta mitchellii,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta monstrosa,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta nutans,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta oenpelliensis,Malvaceae,native,APC_accepted,binomial,"species - Halford 1997, Austrobaileya 4(4): 495-587",taxon revision; taxonomic species description,shrub,woody
Triumfetta pannosa,Malvaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Triumfetta parviflora,Malvaceae,native,APC_accepted,binomial,"species - Halford 1997, Austrobaileya 4(4): 495-587",taxon revision; taxonomic species description,shrub,woody
Triumfetta pentandra,Malvaceae,naturalised,APC_accepted,binomial,"species - Halford 1997, Austrobaileya 4(4): 495-587",taxon revision; taxonomic species description,herb shrub,herbaceous semi_woody
Triumfetta pilosa,Malvaceae,naturalised,APC_accepted,binomial,"species - Halford 1997, Austrobaileya 4(4): 495-587",taxon revision; taxonomic species description,herb shrub,herbaceous semi_woody
Triumfetta plumigera,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta procumbens,Malvaceae,native,APC_accepted,binomial,species - FoA print,FoA print editions,shrub,woody
Triumfetta propinqua,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta prostrata,Malvaceae,native,APC_accepted,binomial,"species - Halford 1997, Austrobaileya 4(4): 495-587",taxon revision; taxonomic species description,shrub,woody
Triumfetta pustulata,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta ramosa,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta reflexa,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta repens,Malvaceae,native,APC_accepted,binomial,species,scraped from online flora,subshrub,woody
Triumfetta rhomboidea,Malvaceae,naturalised,APC_accepted,binomial,"species - Halford 1997, Austrobaileya 4(4): 495-587",taxon revision; taxonomic species description,herb shrub,herbaceous semi_woody
Triumfetta rubiginosa,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta rupestris,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta ryeae,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta ryeae subsp. brevipetala,Malvaceae,native,APC_accepted,subspecies,species - WA,scraped from online flora,shrub,woody
Triumfetta ryeae subsp. hirsuta,Malvaceae,native,APC_accepted,subspecies,species - WA,scraped from online flora,shrub,woody
Triumfetta ryeae subsp. ryeae,Malvaceae,native,APC_accepted,subspecies,species - WA,scraped from online flora,shrub,woody
Triumfetta saccata,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta simulans,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta sp. Adolphus Island (KF.Kenneally 11898),Malvaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Triumfetta sp. Bradshaw (B.M.Stuckey 57),Malvaceae,native,APC_accepted,phrase_name,(no information),"no information - usually phrase names, occasionally taxa without a recent revision",,
Triumfetta sp. fleshy (C.R.Michell 2169),Malvaceae,native,APC_accepted,phrase_name,species,scraped from online flora,shrub,woody
Triumfetta sp. Mt Bomford (M.D.Barrett MDB 1001),Malvaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Triumfetta sp. Turtle Rock (A.R.Bean 3807),Malvaceae,native,APC_accepted,phrase_name,(no information),"no information - usually phrase names, occasionally taxa without a recent revision",,
Triumfetta suffruticosa,Malvaceae,native,APC_accepted,binomial,species - FoA print,FoA print editions,shrub,woody
Triumfetta sylvicola,Malvaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Triumfetta tenuiseta,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta triandra,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta trisecta,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Triumfetta viridis,Malvaceae,native,APC_accepted,binomial,"species - Halford 1997, Austrobaileya 4(4): 495-587",taxon revision; taxonomic species description,shrub,woody
Triumfetta winneckeana,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Ungeria floribunda,Malvaceae,native,APC_accepted,binomial,species,scraped from online flora,tree,woody
Urena armitiana,Malvaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Urena armitiana var. armitiana,Malvaceae,native,APC_accepted,variety,species - WA,scraped from online flora - applied species value to infraspecific taxon,shrub,woody
Urena armitiana var. spenceri,Malvaceae,native,APC_accepted,variety,species - WA,scraped from online flora,shrub,woody
Urena australiensis,Malvaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Urena lobata,Malvaceae,native + naturalised,APC_accepted,binomial,species - FoA print,FoA print editions,herb shrub,herbaceous semi_woody
Waltheria indica,Malvaceae,native,APC_accepted,binomial,species,scraped from online flora,herb shrub,herbaceous woody
Waltheria virgata,Malvaceae,native,APC_accepted,binomial,species,scraped from online flora,herb shrub,herbaceous woody
Ctenanthe oppenheimiana,Marantaceae,naturalised,APC_accepted,binomial,species - Wikipedia,website - well referenced material,herb,herbaceous
Ctenanthe setosa,Marantaceae,naturalised,APC_accepted,binomial,(horticultural websites),website - without source references or incompletely referenced,herb,herbaceous
Goeppertia lancifolia,Marantaceae,naturalised,APC_accepted,binomial,species - Wikipedia,website - well referenced material,herb,herbaceous
Stromanthe thalia,Marantaceae,naturalised,APC_accepted,binomial,(horticultural websites),website - without source references or incompletely referenced,herb,herbaceous
Thalia dealbata,Marantaceae,naturalised,APC_accepted,binomial,species - PlantNet,scraped from online flora,herb,herbaceous
Thalia geniculata,Marantaceae,naturalised,APC_accepted,binomial,species - Lucid weeds,website - well referenced material,herb,herbaceous
Angiopteris evecta,Marattiaceae,native,APC_accepted,binomial,genus - PlantNet,scraped from online flora,fern_tree,herbaceous
Ptisana howeana,Marattiaceae,native,APC_accepted,binomial,species - Wikipedia,website - well referenced material,fern,herbaceous
Ptisana oreades,Marattiaceae,native,APC_accepted,binomial,species - iNaturalist,website - well referenced material,fern,herbaceous
Ptisana salicina,Marattiaceae,native,APC_accepted,binomial,species - iNaturalist,website - well referenced material,fern_tree,herbaceous
Marsilea angustifolia,Marsileaceae,native,APC_accepted,binomial,species,scraped from online flora,fern,herbaceous
Marsilea costulifera,Marsileaceae,native,APC_accepted,binomial,species,scraped from online flora,fern,herbaceous
Marsilea crenata,Marsileaceae,native,APC_accepted,binomial,family - PlantNet,scraped from online flora - applied family value to individual species,fern,herbaceous
Marsilea cryptocarpa,Marsileaceae,native,APC_accepted,binomial,family - PlantNet,scraped from online flora - applied family value to individual species,fern,herbaceous
Marsilea drummondii,Marsileaceae,native,APC_accepted,binomial,species,scraped from online flora,fern,herbaceous
Marsilea exarata,Marsileaceae,native,APC_accepted,binomial,species,scraped from online flora,fern,herbaceous
Marsilea hirsuta,Marsileaceae,native,APC_accepted,binomial,species,scraped from online flora,fern,herbaceous
Marsilea latzii,Marsileaceae,native,APC_accepted,binomial,family - PlantNet,scraped from online flora - applied family value to individual species,fern,herbaceous
Marsilea mutica,Marsileaceae,native + naturalised,APC_accepted,binomial,species,scraped from online flora,fern,herbaceous
Pilularia novae-hollandiae,Marsileaceae,native,APC_accepted,binomial,species,scraped from online flora,fern,herbaceous
Ibicella lutea,Martyniaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Martynia annua,Martyniaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Proboscidea louisianica,Martyniaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Mayaca fluviatilis,Mayacaceae,naturalised,APC_accepted,binomial,species - plantnet.rbgsyd.PlantNet.gov.au/cgi-bin/PlantNetfl.pl?page=PlantNetfl&lvl=sp&name=Mayaca~fluviatilis,scraped from online flora,herb,herbaceous
Clidemia hirta,Melastomataceae,naturalised,APC_accepted,binomial,species - Wikipedia,website - well referenced material,shrub,woody
Dissotis rotundifolia,Melastomataceae,naturalised,APC_accepted,binomial,"species - Lucid, iNaturalist",scraped from online flora,herb shrub,woody_base
Medinilla balls-headleyi,Melastomataceae,native,APC_accepted,binomial,species,scraped from online flora,climber_woody shrub,woody
Melastoma affine,Melastomataceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Melastoma candidum,Melastomataceae,naturalised,APC_accepted,binomial,species - tropical.theferns.info,website - well referenced material,shrub tree,woody
Melastoma cyanoides,Melastomataceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Melastoma imbricatum,Melastomataceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Memecylon arnhemensis,Melastomataceae,native,APC_accepted,binomial,species,scraped from online flora,shrub tree,woody
Memecylon hylandii,Melastomataceae,native,APC_accepted,binomial,species,scraped from online flora,tree,woody
Memecylon pauciflorum,Melastomataceae,native,APC_accepted,binomial,species,scraped from online flora,shrub tree,woody
Miconia calvescens,Melastomataceae,naturalised,APC_accepted,binomial,species,scraped from online flora,shrub tree,woody
Miconia nervosa,Melastomataceae,,taxon_in_flora_not_in_APC,binomial,species,scraped from online flora,shrub,woody
Osbeckia australiana,Melastomataceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Osbeckia chinensis,Melastomataceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Osbeckia chinensis var. chinensis,Melastomataceae,native,APC_accepted,variety,species,scraped from online flora,herb,herbaceous woody_base
Poikilogyne cordifolia,Melastomataceae,native,APC_accepted,binomial,"species - Field 2012, Austrobaileya 8(4): 613-615",taxon revision; taxonomic species description,shrub,woody
