Site,Species,Family,N,Ca,K,Mg,P,S,Al,B,Co,Cr,Cu,Fe,Mn,Na,Ni,Zn,Se,cellulose,alkaloids,water content (% fresh wt),Total Phenolics_FW,Total Phenolics_DW,Condensed_Tannins_FW,Condensed_Tannins_DW,Condensed_Tannins/Total Phenolics,thickness,leafarea,SLA,Toughness,Tough_adj,Toughness_N_per_m,Tough_adj_N_per_m2,site name,latitude,longitude
2,Drypetes lasiogyna,Euphorbiaceae,1.63,0.3183071,1.4405613,0.2847855,0.1488478,0.6466415,38.9,33.2,0.1,0.3,6.542,52.1,521.7,287.7,15.14,19.9,1,28.5,0,56.7,30.7,7.1,0.2,0.4,0.6,0.21,18.4,117.9,1.2,5.7,748.6654847,16934100.25,Mt Fisher: Kjellberg Rd,-17.54112,145.56136
8,Drypetes lasiogyna,Euphorbiaceae,1.761,0.1582722,1.41898,0.2098085,0.0754272,0.5584114,15.7,54.6,0.1,0.3,10.616,31.9,84.2,224.7,5,16.8,1,22.9,0,52.5,36.3,7.7,0.2,0.5,0.7,0.22,21,101.9,1.2,5.6,748.6654847,15880783.01,Massey Creek,-17.60993,145.56264
17,Dysoxylum muelleri,Meliaceae,3.131,2.1746995,2.1948824,0.4141236,0.2674783,0.5470107,21.2,24.2,0.1,0.3,7.725,3.7,41,153.1,5,19.8,1,NA,0,73.8,12.3,4.7,0.4,1.4,2.9,0.26,27,76.8,0.8,2.9,499.1103231,6958749.697,Thomas Rd (recent basalt),-17.26548,145.56578
17,Dysoxylum parasiticum,Meliaceae,2.951,0.6554774,2.0530097,0.3277309,0.2448738,0.1890361,25.2,35.5,0.1,0.3,10.944,8.8,26.1,208.7,5,20.6,1,NA,0,68.5,20.2,6.4,0.8,2.5,3.9,0.26,52.2,30.7,0.6,2.3,374.3327423,5519008.381,Thomas Rd (recent basalt),-17.26548,145.56578
17,Elaeagnus triflora,Elaeagnaceae,3.454,0.4394326,1.3096495,0.0864335,0.1503161,0.1416574,39.5,21.9,0.1,0.668,5.326,72.6,282.7,192.9,6.274,11,1,25.6,0,56.2,37.6,8.6,4.2,9.6,11.2,0.22,33.6,46.4,0.7,3,436.7215327,8507562.326,Thomas Rd (recent basalt),-17.26548,145.56578
3,Elaeocarpus augustifolius,Elaeocarpaceae,2.13,0.3495709,0.8249442,0.1886931,0.1679724,0.1834472,58.1,25,0.1,0.406,10.701,71,49.6,48.6,5,10.8,1,10,1,60.5,87.7,22.2,0.5,1.4,0.6,0.24,39,92.4,0.6,2.6,374.3327423,6758785.626,Tully Falls Rd: Smiths,-17.68174,145.52989
9,Elaeocarpus augustifolius,Elaeocarpaceae,2.172,0.55617785,0.7629689,0.16417925,0.15661625,0.2321019,44.2,24.6,0.1,0.908,8.2715,40.9,29.9,151,5,11.6,1,12.8,1,58,129.2,30.8,0.3,0.7,0.2,0.25,43.6,91.6,0.6,2.3,374.3327423,5739768.716,Lamins Hill (Cairns track),-17.36528,145.71537
10,Elaeocarpus augustifolius,Elaeocarpaceae,2.162,1.44257835,0.41237895,0.23578275,0.1934104,0.2103226,64.6,59.2,0.1,0.7855,9.557,37.6,69.6,200.5,5,11.8,1,13,0,54,89.1,19.4,0.2,0.5,0.2,0.19,38.4,92.3,0.8,3.9,499.1103231,12806120.13,Wallace Rd (Glen Allyn),-17.42063,145.67164
11,Elaeocarpus augustifolius,Elaeocarpaceae,2.268,0.3405792,0.6503779,0.118541,0.1288706,0.181286,17.4,14.3,0.1,0.3,6.368,33.3,30.6,111.2,5,9.7,1,10,1,56.8,128.5,29.7,0.5,1.2,0.4,0.24,31.6,87.3,0.6,2.7,374.3327423,7018738.919,"Tully Falls Rd, near TF",-17.75847,145.54569
16,Elaeocarpus augustifolius,Elaeocarpaceae,1.951,0.790616,0.6290196,0.2500176,0.1281592,0.1643842,69,32.7,0.1,0.625,5.99,43.5,35.5,292.6,5,8.2,1,12.9,0,54.6,121.7,26.8,0.4,1,0.4,0.24,41.2,82.7,0.8,3.2,499.1103231,8318505.385,Sutties Gap Rd,-17.64678,145.63772
5,Elaeocarpus elliffii,Elaeocarpaceae,1.398,0.3809935,0.3968585,0.0737505,0.0646216,0.1042606,42.4,16.5,0.1,0.3,5.35,38.4,125.7,248.3,5,6.6,1,13.6,0,50,101.8,20.4,0.4,0.7,0.4,0.2,14.6,91.3,0.7,3.7,436.7215327,11541926.22,Longlands Gap (rhyolite),-17.45501,145.47862
6,Elaeocarpus elliffii,Elaeocarpaceae,1.721,0.2159075,0.4984798,0.2270896,0.0706991,0.1706236,43.6,27.3,0.1,0.3,4.328,36.6,39,229.6,5,8.8,1,16.7,0,67.1,43.2,13.2,0.1,0.4,0.3,0.31,17.2,92.5,1,3.1,623.8879039,6238879.039,Mt Haig,-17.10111,145.57346
7,Elaeocarpus elliffii,Elaeocarpaceae,1.698,0.3797641,0.6942882,0.1331979,0.0639763,0.1721941,38.2,37.1,0.1,0.3,4.573,35.6,195.2,343.3,5,7,1,13.1,0,55.9,58.5,13.3,0.8,1.8,1.3,0.23,11.6,86.6,0.8,3.4,499.1103231,9222690.753,Arthur Baillie Rd,-17.68914,145.50649
5,Elaeocarpus eumundii,Elaeocarpaceae,1.035,0.3884709,0.4572192,0.0905142,0.0604534,0.0973602,46.2,24.5,0.1,0.3,5.301,35.2,160.7,389.1,5,8.3,1,24.7,0,51.1,101.4,20.7,1.9,3.9,1.9,0.34,15.6,49.4,2,5.8,1247.775808,10642793.65,Longlands Gap (rhyolite),-17.45501,145.47862
13,Elaeocarpus eumundii,Elaeocarpaceae,1.173,0.4151088,0.335296,0.085665,0.0401207,0.1284574,139.6,32.8,0.1,0.3,3.446,77.3,132.4,964.5,5,6.9,1,19.7,0,50.6,150.9,30.6,0.8,1.7,0.6,0.26,37,76.1,1.7,6.7,1060.609437,16077111.37,Cairns Track,-17.35164,145.72726
15,Elaeocarpus eumundii,Elaeocarpaceae,1.257,0.6228448,0.2779249,0.1066556,0.0415417,0.1075145,84,20.1,0.1,0.3,5.549,48.5,219.1,411.2,5,5.8,1,22.5,0,47.3,97.6,18.5,1.1,2.1,1.2,0.28,32.8,61,1.9,6.5,1185.387017,14483112.05,TF Rd rhyolite,-17.78676,145.55958
16,Elaeocarpus eumundii,Elaeocarpaceae,1.221,0.4452763,0.3708932,0.1239001,0.05037,0.1086007,95.5,18.8,0.1,0.595,5.172,38.8,320.2,245.5,5,7.2,1,20.8,0,50.3,110.6,22.3,1.4,2.9,1.3,0.26,31.6,71.2,1.8,6.8,1122.998227,16317068.26,Sutties Gap Rd,-17.64678,145.63772
6,Elaeocarpus ferruginiflorus,Elaeocarpaceae,1.183,0.5587656,0.3829957,0.1370598,0.0502702,0.1281004,38.5,26.8,0.1,0.3,3.385,45.3,506,212.8,5,6,1,25.1,0,52.7,23.4,4.9,0.7,1.5,2.9,0.38,10.6,55.2,2.8,7.3,1746.886131,11985215,Mt Haig,-17.10111,145.57346
2,Elaeocarpus foveolatus,Elaeocarpaceae,1.222,0.5234699,0.4090393,0.2491242,0.1430813,0.1668951,60.9,28.9,0.1,0.356,4.956,43.9,1106.7,147.3,5,9,1,28.1,0,51.4,43.7,9,0.6,1.2,1.4,0.42,8.8,61.1,2.1,5.1,1310.164598,7575781.69,Mt Fisher: Kjellberg Rd,-17.54112,145.56136
6,Elaeocarpus foveolatus,Elaeocarpaceae,1.5,0.6098256,0.4319057,0.2658175,0.0518728,0.1737173,66.2,38.1,0.1,0.387,3.508,45.5,535.9,106.3,5,10.5,1,25.9,0,47.6,80.6,15.4,0.9,1.8,1.2,0.43,8,60.6,1.6,3.7,998.2206462,5368337.778,Mt Haig,-17.10111,145.57346
6,Elaeocarpus foveolatus,Elaeocarpaceae,1.556,0.4154227,0.5831393,0.1566087,0.063911,0.1470703,41.8,25.5,0.1,0.3,5.164,47.8,632.7,221,5,7.5,1,27.6,0,54.1,69,15,0.5,1,0.7,0.37,11.6,79.5,1.8,5,1122.998227,8430917.62,Mt Haig,-17.10111,145.57346
2,Elaeocarpus largiflorens,Elaeocarpaceae,1.611,0.5657727,0.6632382,0.3209466,0.105592,0.169927,48.7,40.7,0.1,0.3,5.278,36.2,472.2,198.5,7.859,11,1,25.1,0,53.8,46.7,10.1,2.4,5.3,5.2,0.26,44.8,75.7,1.6,5.9,998.2206462,14157456.28,Mt Fisher: Kjellberg Rd,-17.54112,145.56136
3,Elaeocarpus largiflorens,Elaeocarpaceae,1.295,0.6517655,0.3738188,0.3321852,0.0807512,0.1727424,133.8,52.1,0.1,0.714,5.59,68.9,1139.7,70.4,6.472,9.6,1,23.7,0,52.5,82.7,17.4,4.1,8.6,4.9,0.33,44.4,52.1,1.7,5.3,1060.609437,10020017.85,Tully Falls Rd: Smiths,-17.68174,145.52989
4,Elaeocarpus largiflorens,Elaeocarpaceae,1.207,0.3304103,0.8278044,0.1945521,0.12967,0.1271134,54.3,17.7,0.1,0.3,7.287,38.3,515.4,222.1,5,12.3,1,25.4,0,61.2,67,17.3,4.7,12.1,7,0.25,62.6,80.3,1.2,4.7,748.6654847,11729092.59,Malaan SF,-17.58672,145.582
6,Elaeocarpus largiflorens,Elaeocarpaceae,1.293,0.4596602,0.7316519,0.202025,0.0536058,0.1529595,39.1,28.5,0.1,0.3,3.847,35.7,495.9,158.1,5,9.8,1,22.1,0,55.1,64.2,14.3,3.9,8.7,6.1,0.28,56.8,71.9,1.8,6.2,1122.998227,13814660.73,Mt Haig,-17.10111,145.57346
8,Elaeocarpus largiflorens,Elaeocarpaceae,1.252,0.6704258,0.5827816,0.2694231,0.0507867,0.1352839,62.4,36.2,0.1,0.3,4.118,36.4,393.9,88.5,5,6.6,1,23.9,0,50.8,102.6,20.8,8.7,17.6,8.4,0.31,34.8,56.3,1.7,5.5,1060.609437,11068978.94,Massey Creek,-17.60993,145.56264
8,Elaeocarpus largiflorens,Elaeocarpaceae,1.108,0.6528613,0.55343225,0.1945121,0.0461892,0.1270346,66.5,44.4,0.1,0.3,3.1815,33.3,398.6,55,5,6.9,1,24.3,0,49.2,86.8,17.1,5.5,10.7,6.3,0.33,51.4,59.5,1.8,5.6,1122.998227,10587188.67,Massey Creek,-17.60993,145.56264
9,Elaeocarpus largiflorens,Elaeocarpaceae,0.968,0.49845875,0.6780406,0.16718155,0.0622987,0.11051555,43.4,35.4,0.1,0.3255,5.8295,34.4,347.5,114.9,5,9.8,1,24.6,0,51.5,82.6,17,3.7,7.6,4.5,0.34,47.6,47.6,2.2,6.3,1372.553389,11560275.87,Lamins Hill (Cairns track),-17.36528,145.71537
12,Elaeocarpus largiflorens,Elaeocarpaceae,1.358,0.4331213,0.7704972,0.199537,0.0917574,0.1411112,42.4,32.3,0.1,0.3,6.588,37.7,635.2,123.2,4.965,8.3,1,24.4,0,53.5,56.2,12.1,3.8,8.3,6.8,0.29,50.8,69.2,1.7,5.9,1060.609437,12692891.84,Palmerston: Malaan Rd turnoff,-17.59143,145.70355
12,Elaeocarpus largiflorens,Elaeocarpaceae,1.326,0.7229468,0.4142557,0.2319122,0.1046049,0.1593714,54.7,38.4,0.1,0.584,4.534,31.1,981.2,105.6,5,8.3,1,25.6,0,53.7,54.9,11.9,2.6,5.7,4.8,0.28,64.2,66.5,1.5,5.3,935.8318558,11809306.75,Palmerston: Malaan Rd turnoff,-17.59143,145.70355
13,Elaeocarpus largiflorens,Elaeocarpaceae,1.026,0.2331506,0.7952315,0.2001486,0.0625997,0.1097446,402.4,13.2,0.1,0.678,5.851,209.3,185.8,96.2,5,8,1,25.8,0,51.5,93.7,19.3,4.5,9.2,4.8,0.29,38.2,61.2,1.5,5.3,935.8318558,11402089.28,Cairns Track,-17.35164,145.72726
13,Elaeocarpus largiflorens,Elaeocarpaceae,1.405,0.4369266,0.7892623,0.2599045,0.0627618,0.1624297,92.8,28.6,0.1,0.544,5.692,71.1,557.7,292.9,5,9,1,24.9,0,55.9,71.8,16.3,7.5,17,10.5,0.26,61,88.4,1.4,5.2,873.4430655,12477758.08,Cairns Track,-17.35164,145.72726
14,Elaeocarpus largiflorens,Elaeocarpaceae,1.209,0.3514858,1.0364679,0.1449096,0.0729429,0.1149979,24.2,18.2,0.1,0.3,5.686,28.7,321.1,93.5,5,10.3,1,28,0,56.5,92.3,21.2,7.4,16.9,8,0.3,111.6,68,1.9,6.2,1185.387017,12893683.35,Robson Ck,-17.11917,145.62952
16,Elaeocarpus largiflorens,Elaeocarpaceae,1.118,0.4419586,0.7283855,0.2048575,0.0765862,0.106996,36.2,26.3,0.1,0.355,7.305,37.7,276.5,85.7,5,9.2,1,25.2,0,51.8,81.1,16.8,6.1,12.7,7.6,0.32,79.4,61,1.8,5.7,1122.998227,11113003.29,Sutties Gap Rd,-17.64678,145.63772
1,Elaeocarpus ruminatus,Elaeocarpaceae,1.846,0.9625924,0.6690773,0.3412197,0.1081082,0.2061929,109.9,49.9,0.1,0.502,5.623,86.3,502.9,155,5,12.1,1,15.7,0,53.8,82.7,17.9,1,2.1,1.2,0.28,27.2,69.4,1.2,4.3,748.6654847,9581135.667,Longlands Gap (basalt),-17.46028,145.47473
3,Elaeocarpus ruminatus,Elaeocarpaceae,1.77,0.981175,0.5025481,0.3046755,0.1142278,0.1884342,157.7,42.6,0.1,0.605,4.807,76.7,722.5,122.6,5,7.7,1,16.8,0,52,61,12.7,1.2,2.6,2,0.26,37.4,85.8,1.2,4.6,748.6654847,11038016.76,Tully Falls Rd: Smiths,-17.68174,145.52989
14,Elaeocarpus ruminatus,Elaeocarpaceae,1.409,0.7163409,0.6461647,0.1646946,0.0684937,0.1298125,58,33,0.1,0.3,3.611,28.9,392,139,5,5.4,1,16,0,52.9,119.3,25.3,3.9,8.2,3.2,0.22,25.4,78.9,1.1,4.8,686.2766943,13612099.72,Robson Ck,-17.11917,145.62952
5,Elaeocarpus sericopetalus,Elaeocarpaceae,1.799,0.5312494,0.4690257,0.1567956,0.063664,0.2028177,73.5,52.9,0.1,0.3,3.794,64.1,246.1,246.2,5,9.4,1,19.8,0,48.9,75.4,14.8,1.2,2.3,1.5,0.3,13,55.6,1.6,5.2,998.2206462,10814057,Longlands Gap (rhyolite),-17.45501,145.47862
6,Elaeocarpus sericopetalus,Elaeocarpaceae,1.842,0.7268706,0.635555,0.1701024,0.066252,0.2471872,46,47.2,0.1,0.355,5.229,47.3,417.8,234,5,14.6,1,20.6,0,53.3,73.3,15.7,0.9,1.9,1.2,0.21,21.4,87.7,1.1,5.2,686.2766943,15448652.86,Mt Haig,-17.10111,145.57346
8,Endiandra bessaphila,Lauraceae,1.644,0.73190295,0.7563827,0.35245485,0.07631935,0.2034803,865.1,42.9,0.1,0.3,5.9465,42.9,387.3,866.5,5,10.2,1,20,0,50.5,48.4,9.8,5.4,10.9,11.2,0.34,61,48.9,1.3,3.7,811.0542751,6789368.366,Massey Creek,-17.60993,145.56264
12,Endiandra bessaphila,Lauraceae,1.721,0.4349685,0.6085438,0.4400067,0.1522075,0.1993407,962.7,43.5,0.1,0.732,9.518,55.7,845,1907.1,5,10.8,1,19.6,0,56.7,43.7,10.1,6.5,15,14.8,0.27,35.2,61.3,1.2,4.4,748.6654847,10167062.14,Palmerston: Malaan Rd turnoff,-17.59143,145.70355
14,Endiandra bessaphila,Lauraceae,1.493,0.4106181,0.9715043,0.2885101,0.1102716,0.1377097,674.5,16.3,0.1,0.3,7.541,30,218.8,1041.3,5,11.1,1,20.9,0,60.5,45.5,11.5,5,12.7,11,0.3,59.2,73.1,1.3,4.2,811.0542751,8734430.655,Robson Ck,-17.11917,145.62952
17,Endiandra insignis,Lauraceae,2.057,1.93886805,1.00004835,0.15560515,0.1772702,0.14769805,232.4,41.7,0.1,0.814,4.289,70.1,27.7,62,5,10.1,1,24.3,0,50.1,68.6,13.8,9.2,18.5,13.4,0.27,127.4,6.2,1.4,5.1,873.4430655,11784549.3,Thomas Rd (recent basalt),-17.26548,145.56578
14,Endiandra leptodendron,Lauraceae,1.84,0.76363565,1.35873595,0.24797375,0.1078509,0.1871012,281,29.2,0.1,0.3,8.269,45.6,1051.4,353.8,5,16.2,1,23.9,0,57,43.6,10.1,3.3,7.7,7.6,0.23,38.4,97,1.1,4.8,686.2766943,13020269.3,Robson Ck,-17.11917,145.62952
12,Endiandra monothyra,Lauraceae,1.652,0.6486616,0.8858706,0.2354911,0.1464178,0.1721907,181.4,29,0.1,0.604,11.196,42.5,1011.4,370.6,5.636,13.8,1,24.5,0,55.3,39.7,8.9,4.8,10.7,12,0.23,35.6,90.8,1.2,5.1,748.6654847,13834036.13,Palmerston: Malaan Rd turnoff,-17.59143,145.70355
3,Endiandra montana,Lauraceae,1.037,0.6663082,0.4193158,0.5502391,0.1752728,0.257408,655.4,15.2,0.1,0.705,4.931,70.2,238.3,2359.2,5,7.4,1,28.6,0,51.3,75.2,15.4,2.6,5.3,3.4,0.31,43.4,61.8,1.8,5.6,1122.998227,11270233.1,Tully Falls Rd: Smiths,-17.68174,145.52989
13,Endiandra montana,Lauraceae,1.092,0.1164116,0.6906865,0.2138907,0.0555667,0.2630568,300.4,35.4,0.1,0.53,5.336,150.4,68.3,861.3,5,6.8,1,20.2,0,52.8,51.1,10.8,0.8,1.7,1.5,0.3,27.2,61.5,1.1,3.8,686.2766943,7902580.116,Cairns Track,-17.35164,145.72726
13,Endiandra montana,Lauraceae,1.037,0.1797092,0.4886567,0.2455692,0.0479172,0.1423041,212.4,49.6,0.1,0.55,4.977,109.2,70.2,1139.2,5,6.7,1,18,0,55.3,52.3,11.7,0.9,1.9,1.6,0.32,23.6,68.2,1.3,4,811.0542751,7798598.799,Cairns Track,-17.35164,145.72726
2,Endiandra palmerstonii,Lauraceae,1.738,0.5283562,0.4152137,0.4442192,0.1231831,0.1416212,1068.6,35.5,0.1,0.414,5.976,57.3,125.3,511.5,7.6,10.4,1,26.8,0,50.9,65.1,13.3,5.7,11.6,8.8,0.26,32.2,66.5,1.2,4.4,748.6654847,10558102.99,Mt Fisher: Kjellberg Rd,-17.54112,145.56136
4,Endiandra palmerstonii,Lauraceae,1.532,0.7077697,0.3877137,0.4348055,0.1052769,0.1327847,1572.9,41.4,0.1,0.738,4.599,72.2,118.7,571.9,5,9.2,1,20.3,0,50.8,72.1,14.7,6.6,13.4,9.1,0.32,31.4,58.4,1.2,3.7,748.6654847,7213703.889,Malaan SF,-17.58672,145.582
4,Endiandra palmerstonii,Lauraceae,1.399,0.6659546,0.5019537,0.3925889,0.0913491,0.1377466,1464.6,45.4,0.1,0.568,5.081,47.9,157.3,430.4,6.331,10.8,1,22.3,0,48.6,83.9,16.3,8,15.5,9.5,0.27,53,65.6,1.1,3.8,686.2766943,8780644.573,Malaan SF,-17.58672,145.582
9,Endiandra palmerstonii,Lauraceae,1.531,0.6090297,0.6372439,0.32992185,0.13512965,0.128187,1646.7,33,0.1,1.9225,5.382,64.1,82.8,70.6,5,10.9,1,17.6,0,48.1,94.1,18.1,8.9,17.1,9.4,0.31,55.4,62.8,1.3,4,811.0542751,8050166.502,Lamins Hill (Cairns track),-17.36528,145.71537
11,Endiandra palmerstonii,Lauraceae,1.616,0.655506,0.658279,0.37925365,0.12178985,0.12771395,1141.9,61.7,0.1,2.182,6.2895,64.2,122.6,474.3,5,9.1,1,24.9,0,49.4,58.6,11.6,6.6,13.1,11.3,0.28,21.8,65.7,1.1,4,686.2766943,8912684.341,"Tully Falls Rd, near TF",-17.75847,145.54569
3,Endiandra sankeyana,Lauraceae,1.438,1.58321,0.4303219,0.2297466,0.0821932,0.2351455,411.9,10.7,0.1,1.322,4.626,96.5,838.7,637.4,5,12,1,30.9,0,47,51.9,9.8,5.1,9.7,9.9,0.28,51.6,76.6,1.9,6.6,1185.387017,14705929.16,Tully Falls Rd: Smiths,-17.68174,145.52989
12,Endiandra sankeyana,Lauraceae,1.902,0.7410123,0.9279867,0.243871,0.10662,0.2149749,253.7,10.2,0.1,0.311,7.61,50.9,636.3,476.3,5,14.8,1,25.4,0,49.4,54.5,10.8,4,7.9,7.4,0.27,40.2,84.5,1.3,5,811.0542751,11553479.7,Palmerston: Malaan Rd turnoff,-17.59143,145.70355
1,Endiandra sideroxylon,Lauraceae,1.967,0.3328173,2.04845055,0.20536265,0.1534414,0.23111535,292.6,24.2,0.1,0.4955,7.3265,38.8,1291.5,542.5,9.1575,13.7,1,25.7,0,57.1,32,7.4,1.5,3.4,4.6,0.32,26.8,72.4,1.9,5.9,1185.387017,11502933.23,Longlands Gap (basalt),-17.46028,145.47473
1,Endiandra sideroxylon,Lauraceae,1.758,0.6756978,2.1159235,0.237535,0.1162481,0.2593098,209.6,24.2,0.1,0.4,6.661,40.7,1228.1,1014.8,7.446,15.2,1,24.3,0,53.3,58.4,12.5,2.4,5.1,4.1,0.3,25.4,64.8,1.9,6.2,1185.387017,12893683.35,Longlands Gap (basalt),-17.46028,145.47473
1,Euodia #305,Rutaceae,3.663,0.4759008,0.8264141,0.5185332,0.2135707,0.4926652,22.5,32.4,0.1,0.522,11.089,36.9,562.6,632,8.344,18.5,1,19.1,0,67.2,17.2,5.2,0.2,0.7,1.4,0.21,43.8,118.4,0.6,2.7,374.3327423,8021415.907,Longlands Gap (basalt),-17.46028,145.47473
2,Euodia #305,Rutaceae,3.515,0.5807718,0.5661368,0.5019209,0.2099604,0.4629086,27.4,29,0.1,0.3,8.184,38.8,555.3,744,5,14.9,1,16.6,0,65.8,19.2,5.6,0.1,0.3,0.6,0.25,37,94.9,0.7,3,436.7215327,7486654.847,Mt Fisher: Kjellberg Rd,-17.54112,145.56136
3,Euodia #305,Rutaceae,3.611,0.8304838,0.6515444,0.5840184,0.24003,0.6499613,63.2,25.9,0.1,0.462,12.604,83.3,815.3,158,5,15.7,1,17.4,0,68.1,20.6,6.5,0.3,1,1.5,0.22,51.4,119,0.5,2.3,311.9439519,6522464.45,Tully Falls Rd: Smiths,-17.68174,145.52989
4,Euodia #305,Rutaceae,3.146,0.4014133,0.5964038,0.5255296,0.2789924,0.5617072,63.8,36,0.9,0.3,18.954,61.6,969.4,2457.8,18.685,13.5,1,15.3,0,65.2,NA,NA,0.3,0.8,NA,0.22,25.4,108.5,0.5,2.1,311.9439519,5955293.628,Malaan SF,-17.58672,145.582
14,Euodia #305,Rutaceae,3.381,0.4830301,1.2032479,0.3300012,0.1854998,0.4092419,13.3,27,0.1,0.3,11.708,36,316.2,311,5,16.5,1,16.3,0,64.3,23.4,6.6,0.1,0.3,0.5,0.2,59.8,131.7,0.6,3,374.3327423,9358318.558,Robson Ck,-17.11917,145.62952
10,Euodia xanthoxyloides,Rutaceae,4.66,0.66652755,1.35276575,0.39609505,0.3126174,0.45563745,23.5,17.3,0.1,0.429,16.2565,63.6,764.1,953,5,39.9,1,22.4,1,79.8,3.1,1.5,0.2,0.9,5.8,0.2,113.8,256.3,0.5,2.2,311.9439519,6862766.943,Wallace Rd (Glen Allyn),-17.42063,145.67164
12,Euodia xanthoxyloides,Rutaceae,3.658,0.8051949,0.9050417,0.3679736,0.2769345,0.5973106,16.9,14.8,0.1,0.311,14.824,21.3,860.4,902.8,9.65,41.4,1,17.7,1,71.4,3.7,1.3,0.3,0.9,7.3,0.21,95.6,173.2,0.5,2.5,311.9439519,7427236.951,Palmerston: Malaan Rd turnoff,-17.59143,145.70355
14,Euodia xanthoxyloides,Rutaceae,4.663,0.7110368,1.6600649,0.3077275,0.21099,0.4115021,11.7,17.9,0.1,0.3,15.674,56.3,636.9,147.3,5,77.5,1,17.6,2,77,14.3,6.2,0.2,0.9,1.5,0.21,180,224.8,0.5,2.3,311.9439519,6833057.995,Robson Ck,-17.11917,145.62952
11,Euroshinus falcata,Anacardiaceae,2.437,0.9940318,1.3438914,0.2670843,0.1398446,0.1972755,18.5,23.4,0.1,0.3,6.557,91.2,127.4,132.3,5,13,1,21,0,62.2,54.7,14.5,1.5,4.1,2.8,0.19,48.6,127.2,0.8,4.4,499.1103231,14447930.41,"Tully Falls Rd, near TF",-17.75847,145.54569
17,Euroshinus falcata,Anacardiaceae,1.955,0.8201152,1.3159792,0.2229082,0.151275,0.1661089,49.3,14.9,0.1,0.3,4.856,71.3,21.3,109.2,5,10.5,1,19,0,68.4,36.1,11.4,1.5,4.8,4.2,0.23,17.8,103.7,0.6,2.5,374.3327423,6781390.26,Thomas Rd (recent basalt),-17.26548,145.56578
8,Ficus crassipes,Moraceae,0.957,1.076136,1.0560923,0.2025953,0.051344,0.0751506,28.1,46.6,0.1,0.309,3.331,27.6,167.1,571,5,5.6,1,26.5,0,58.9,56.6,13.8,10.2,24.8,18,0.68,95.6,34.8,3.6,5.4,2245.996454,4954403.943,Massey Creek,-17.60993,145.56264
7,Ficus destruens,Moraceae,1.399,0.3743276,1.5379611,0.1571911,0.0737198,0.1203834,35.8,44.8,0.1,0.3,5.288,29.6,142.1,190.7,5,7.9,1,26.9,0,55.9,56.8,12.9,8.7,19.6,15.2,0.5,38.6,42.3,1.5,2.9,935.8318558,3618549.843,Arthur Baillie Rd,-17.68914,145.50649
15,Ficus destruens,Moraceae,1.292,0.334034,1.6758703,0.2267493,0.072363,0.0904753,26.9,28.8,0.1,0.3,7.138,29.3,254.9,242.2,5,8.2,1,22.5,0,59.1,66.9,16.3,10.2,25,15.3,0.41,28.8,57.6,1.7,4.1,1060.609437,6238879.039,TF Rd rhyolite,-17.78676,145.55958
11,Ficus obliqua,Moraceae,1.929,1.4372621,1.3086252,0.2892717,0.1120757,0.130473,38.4,94.2,0.1,0.358,5.002,44.7,538.8,341.2,5,11.1,1,16.5,0,58.6,67.3,16.2,6.4,15.5,9.6,0.3,15.6,71.6,1.1,3.7,686.2766943,7694617.481,"Tully Falls Rd, near TF",-17.75847,145.54569
1,Ficus pleurocarpa,Moraceae,1.32,1.4844617,1.0488526,0.3996601,0.0993794,0.1023645,16.6,72.3,0.1,0.3,5.615,28.4,383.3,442.6,5,8.9,1,25.3,0,61,71.8,18.4,11.4,29.1,15.8,0.47,60.6,50.5,2.4,5.2,1497.330969,6902589.575,Longlands Gap (basalt),-17.46028,145.47473
9,Ficus pleurocarpa,Moraceae,1.236,1.3149561,1.28607265,0.2621965,0.09348725,0.0954474,31.6,49.9,0.1,0.34,6.328,38.3,98.8,434.5,5,8.4,1,25,0,65,85,24.3,11.9,33.8,13.9,0.44,109.8,54.8,2.5,5.8,1559.71976,8223976.915,Lamins Hill (Cairns track),-17.36528,145.71537
17,Ficus septica,Moraceae,2.46,3.4146406,2.0754488,0.6196109,0.1872018,0.1852748,27.3,97.5,0.1,0.401,9.112,77.7,55.8,88.9,28.129,37.1,1,21.7,0,73.8,15,5.7,0.9,3.5,6.1,0.23,44.6,49.5,0.7,2.9,436.7215327,7866412.701,Thomas Rd (recent basalt),-17.26548,145.56578
10,Flindersia acuminata,Rutaceae,3.306,0.81877775,0.84232865,0.30144775,0.62626675,0.2465461,33.7,42.1,1.9,0.477,17.1335,61.4,1046.5,365.2,5,15.4,1,17.3,3,60.9,58.9,15.1,2.3,6,4,0.23,23.8,102.6,0.7,3.1,436.7215327,8408923.922,Wallace Rd (Glen Allyn),-17.42063,145.67164
11,Flindersia acuminata,Rutaceae,3.354,0.4051685,0.8421398,0.213398,0.1688113,0.1888333,10.5,16.9,0.1,0.3,7.804,35.1,454.8,262.5,5,13.1,1,19.3,3,60.9,59.1,15.1,1.6,4.1,2.7,0.22,19.8,106.5,0.5,2.4,311.9439519,6806049.861,"Tully Falls Rd, near TF",-17.75847,145.54569
1,Flindersia bourjotiana,Rutaceae,1.18,0.5831588,0.7906435,0.5167198,0.0678876,0.1285953,40.7,22.2,0.1,0.363,3.956,52.3,465.6,2480.8,7.089,7.8,1,28.3,0,64.2,51.5,14.4,5.6,15.7,10.9,0.35,34.2,71.5,1.6,4.5,998.2206462,8021415.907,Longlands Gap (basalt),-17.46028,145.47473
