1,Genus_species,Genus,Species,Family,Order,superorder,Species code,location,lat,long,d13C,wood density (g/cm3),LMA (g m-2),Leaf size (cm2),Ks (kg m-1 s-1 MPa -1),PSIpd (MPa),PSImd (MPa),Amass (umol/kg/s),Aarea (umol m-2 s-1),Rmass (umol/kg/s),Rarea,max_ht (m),MOR (Pa),MOE (Pa),LA/SA at 1.0 cm (m2/m2),LA/SA Gleason 2012 (m2/m2),gl N (mg/g),gl P (mg/g),gl K (mg/g),gl S (mg/g),gl C (mg/g),gl Ca (mg/g),gl Mg (mg/g),gl Na (mg/g),gl Cu (mg/kg),gl Zn (mg/kg),gl Mn (mg/kg),gl Fe (mg/kg),gl B (mg/kg),gl Mo (mg/kg),gl Co (mg/kg),gl Si (mg/kg),gl Crude Protein,stem N (mg/g),stem P (mg/g),N area (mg/cm3),P area (mg/cm3),stem K (mg/g),stem S (mg/g),stem C (mg/g),stem Ca (mg/g),stem Mg (mg/g),stem Na (mg/g),stem Cu (mg/kg),stem Zn (mg/kg),stem Mn (mg/kg),stem Fe (mg/kg),stem B (mg/kg),stem Mo (mg/kg),stem Co (mg/kg),stem Si (mg/kg),Crude Protein (%),bark thickness (mm bark/mm whole-stem),Ksap (kg m-1 s-1 MPa -1),Kl (10^4 x kg m-1 s-1 MPa -1),WUE (mmol CO2/mol H2O/m2/s,SA (mm),E (mmol/m2/s)
81,Leptospermum scoparium,Leptospermum,scoparium,Myrtaceae,Myrtales,Rosidae,LepSco,Longley,-42.982,147.19,-26.425,0.74,107.5,0.126,0.8,-0.42,-1.32,56.03,6.023,15.86,1.71,5,74.115,7446.456,4769.62136,,12.82,0.597452269,3.916939781,1.32875,556.7,2.885041427,1.882761828,0.719791186,3.537463977,19.86287224,57.63088377,56.50845317,29.77899856,0.081051873,0.101524976,242.2100744,8.0125,1.69,0.073528125,1.257586581,0.059971693,1.285732482,0.671255,471.975,2.554878425,0.856441587,0.609052734,4.921274038,29.34711538,182.3302284,15.94805288,5.748617788,0,0.128455529,103.8574519,1.05625,0.18237,0.8,,3.37,15.72949889,1.491244395
82,Leucopogon ericoides,Leucopogon,ericoides,Epacridaceae,Ericales,Dilleniidae,LeuEri,Longley,-42.982,147.19,-24.947,0.71,90.3,0.188,1.18,-0.4,-1.09,82.29,7.427,32.1,2.9,2.4,79.935,8518.866,4695.11336,,10.5742,0.62626006,3.813592896,1.07712,516.075,5.141710755,1.744190574,0.555945355,12.89180676,26.26924988,146.3485127,147.1656448,21.80534029,0,0.12329235,279.014158,6.608875,1.355,0.063126663,0.956314424,0.036285697,0.592262753,0.193315,481.425,0.73808169,0.292956598,0.154358674,2.428536225,13.81034377,44.65281543,7.813410547,3.150597585,0,0,133.2294234,0.846875,0.11683,1.18,,2.46,12.48322836,2.992646119
83,Melaleuca squamea,Melaleuca,squamea,Myrtaceae,Myrtales,Rosidae,MelMea,Longley,-42.982,147.19,-25.356,,110.5,0.094,2.96,-0.78,-1.47,73.77,8.153,11.3,1.25,2,23.79,1861.639,3466.16005,,9.6442,0.460889767,4.546304084,1.10143,499.275,3.120899976,2.197683945,1.929207219,4.032461351,10.86959164,59.5915333,41.49870053,34.89030141,0,0.068698347,206.5230919,6.027625,1.764,0.075430707,,0.045108995,1.445295455,0.33051,477.75,1.34477038,2.002814044,2.226812624,6.066576087,18.57386364,24.97251729,11.61411067,9.086647727,0,0.075685524,145.3165761,1.1025,0.3159,2.96,,3.19,9.553410472,2.559804507
84,Melaleuca squarrosa,Melaleuca,squarrosa,Myrtaceae,Myrtales,Rosidae,MelRos,Longley,-42.982,147.19,-24.882,0.62,98.7,0.381,4.1,-0.55,-1.01,73.97,7.302,12.89,1.27,4.5,36.728,3530.471,4580.22189,,11.0442,0.661671906,5.366192729,1.18459,514.08,5.098268177,2.350647628,2.476554407,4.690960906,13.97161355,265.2935737,61.32887849,44.40557769,0,0.102900896,251.5517928,6.902625,1.725,0.082675037,1.068079981,0.050442516,2.294936941,0.50462,476.175,1.616845319,1.078849546,2.353201921,6.904525112,25.90931129,78.51765291,29.86048732,8.766534063,0,0.103337892,122.6279214,1.078125,0.35949,4.1,,4.06,14.82633812,1.875843656
85,Monotoca glauca,Monotoca,glauca,Epacridaceae,Ericales,Dilleniidae,MonEll,Longley,-42.982,147.19,-25.612,0.65,123,0.746,1.69,-0.09,-0.65,42.45,5.223,11.55,1.42,4,62.259,6452.898,5218.81802,,9.4652,0.472105355,3.574186769,0.87417,502.005,4.82845943,1.609089181,0.194162463,9.67800463,10.68957115,91.54939035,32.56982066,13.80560429,0.058479532,0.098958333,162.377193,5.91575,2.1,0.106605553,1.362163094,0.065510293,1.299537274,0.2553,481.74,1.87277119,0.244583476,0.114064029,4.689946184,21.00691047,154.0440925,18.30308708,3.725262965,0.12047456,0.044734589,97.79280822,1.3125,0.16974,1.69,,5.74,16.98106227,0.975843958
86,Oxylobium ellipticum,Oxylobium,ellipticum,Fabaceae,Fabales,Rosidae,OxyEll,Longley,-42.982,147.19,-26.762,,149.6,0.822,1.78,-0.39,-1.26,71.91,10.759,11.22,1.68,2.7,65.02,7320.522,2475.84569,,16.4642,0.626520833,4.767732083,0.89914,509.46,1.956204906,0.994486111,0.072669974,7.202558201,17.09475709,99.51275758,313.9945979,22.5003367,0,0.164502165,232.8138528,10.290125,3.399,0.080895703,,0.056831453,1.511864437,0.43824,473.025,0.464045147,0.303250241,0.396583776,1.730142443,11.31265089,34.53235152,3.625313556,3.500724288,0,0,66.35140029,2.124375,0.15907,1.78,,4.24,13.78053334,1.902117718
87,Acacia flavescens,Acacia,flavescens,Mimosaceae,Fabales,Rosidae,AcaFla,Princess Hills,-18.295,145.492,-26.03,0.76,182.7,45.94,5.78,-1.21,-2.28,82.97,15.2,12.99,2.37,16,58.94,5268.74,6987.26791,10535,20.8005,0.389692633,3.80586715,1.21785,519.33,1.072778986,2.838511413,2.644740972,2.701782609,6.354468599,12.07633575,27.93013043,37.90416667,0,0.353653382,212.1256039,13.0003125,,,,,,,,,,,,,,,,,,,,0.2924,5.78,5.11,2.47,9.302350095,6.444
88,Acacia leptostachya,Acacia,leptostachya,Mimosaceae,Fabales,Rosidae,AcaLep,Princess Hills,-18.295,145.492,-25.841,0.71,180,7.06,0.28,-0.33,-2.23,54.11,9.738,9.1,1.64,1.5,100.101,10950.61,4175.35338,3684,11.22,0.280983883,2.449302849,0.799,512.4,2.53961082,1.805083083,2.228738256,4.156046977,7.817341329,32.63930535,30.18730853,6.840610945,0,0.117441279,159.6383058,7.0125,,,,,,,,,,,,,,,,,,,,0.21386,0.28,0.81,3.87,7.204677264,2.5679
89,Allocasuarina torulosa,Allocasuarina,torulosa,Casuarinaceae,Casuarinales,Hamamelidae,AllTor,Princess Hills,-18.295,145.492,-24.668,0.71,264.4,0.7,4.32,-1.32,-2.1,20.31,5.37,5.44,1.44,15,60.027,6285.194,4238.41984,6613,10.69,0.30008155,3.672083537,0.654,501.795,2.239260641,1.542555651,1.438428266,2.945817025,5.509417808,89.60555284,81.95273606,12.85851884,0,0.284368885,233.5072162,6.68125,,,,,,,,,,,,,,,,,,,,0.27641,4.32,6.57,5.39,9.202023334,1.112
90,Bursaria incana,Bursaria,incana,Pittosporaceae,Rosales,Rosidae,BusInc,Princess Hills,-18.295,145.492,-27.866,,,,,-0.5,-2.66,,5.06,,0.26,4,,,,,8.615,0.49486145,17.03839943,1.001375,455.28,10.59906576,5.705149801,2.002856726,4.243535554,20.41148682,198.5573098,204.6670055,80.63096718,0.090242914,0.114992541,286.0256091,5.384375,,,,,,,,,,,,,,,,,,,,0.27641,,,2.29,,2.7148
91,Corymbia citriodora,Corymbia,citriodora,Myrtaceae,Myrtales,Rosidae,CorCit,Princess Hills,-18.295,145.492,-26.554,0.61,116.5,18.76,11.91,-0.65,-2.55,138.26,16.1,20.23,2.36,35,54.765,5180.29,10273.07096,13812,15.87,0.768114275,10.32983927,1.335,520.38,4.776051625,1.473903561,0.397046367,4.17543021,20.52222753,122.9582935,52.21654039,30.2947837,0,6.817041109,194.2668499,9.91875,,,,,,,,,,,,,,,,,,,,0.22376,11.91,11.33,2.85,8.680534661,5.838
92,Corymbia intermedia,Corymbia,intermedia,Myrtaceae,Myrtales,Rosidae,CorInt,Princess Hills,-18.295,145.492,-26.81,0.65,135.3,24.62,9.06,-0.38,-1.5,63.96,8.656,15.83,2.14,35,54.224,5100.051,11409.62934,12080,10.4202,0.565243707,7.88045348,0.852955,522.375,1.678177443,1.52879106,2.339191387,4.269838105,10.70273939,114.0797887,37.63052369,32.37222359,0,0.827554294,213.3151839,6.512625,,,,,,,,,,,,,,,,,,,,0.32135,9.06,7.58,3.39,9.450978844,2.994
93,Corymbia trachyphloia,Corymbia,trachyphloia,Myrtaceae,Myrtales,Rosidae,CorTra,Princess Hills,-18.295,145.492,-28.142,0.63,145.3,13.94,8.03,-0.47,-1.85,92.6,13.454,15.2,2.21,30,70.229,6493.283,8733.44052,11009,11.23,0.53567813,4.955350931,0.98375,519.645,1.335149437,1.274686428,2.238188756,3.362322391,11.07055365,65.80965213,53.00623683,11.36492528,0,0.148211661,188.1109138,7.01875,,,,,,,,,,,,,,,,,,,,0.24671,8.03,7.95,3.56,12.17640472,3.8
94,Eucalyptus portuensis,Eucalyptus,portuensis,Myrtaceae,Myrtales,Rosidae,EucAcm,Princess Hills,-18.295,145.492,-26.46,0.58,206.2,23.54,7.92,-0.53,-1.99,63.64,13.12,14.88,3.07,35,63.883,6122.118,6634.76533,8485,9.90465,0.394000743,3.472088905,0.72634,523.635,2.753042348,3.269921805,2.063736658,2.943820208,5.513249133,51.06934151,33.78134175,72.18715948,0,0.299962853,264.9524827,6.19040625,,,,,,,,,,,,,,,,,,,,0.18229,7.92,10,3.08,11.27988842,4.366
95,Gastrolobium grandiflorum,Gastrolobium,grandiflorum,Fabaceae,Fabales,Rosidae,Pea,Princess Hills,-18.295,145.492,-26.18,0.7,148.3,15.28,5.54,-0.83,-2.16,59.53,8.83,11.16,1.66,1.3,78.547,10563.039,3116.74035,8357,14.52,0.33137909,4.19077358,0.979625,517.965,1.436715592,1.075264678,0.53723063,3.901588065,5.264677575,41.57182387,63.40038077,19.23589389,0,0.116097209,195.8499759,9.075,,,,,,,,,,,,,,,,,,,,0.16024,5.54,5.37,5.47,6.542189987,1.6607
96,Grevillea glauca,Grevillea,glauca,Proteaceae,Proteales,Rosidae,GreGla,Princess Hills,-18.295,145.492,-27.6,0.64,151.6,27.64,11.42,-0.63,-2.1,61.87,9.382,8.9,1.35,8,45.548,4397.877,5826.50758,11400,7.761,0.390723835,2.508346813,0.726125,483.84,1.883020884,1.769998189,3.5196521,1.807701593,3.284645099,133.2496379,57.7226512,23.64781507,0,0,213.4394616,4.850625,,,,,,,,,,,,,,,,,,,,0.21442,11.42,11.06,3.34,10.16127723,3.448
97,Grevillea parallela,Grevillea,parallela,Proteaceae,Proteales,Rosidae,GrePar,Princess Hills,-18.295,145.492,-26.8825,0.63,212.1,7.82,6.07,-0.45,-2.09,66.44,14.092,8.19,1.74,7,31.522,2418.396,4956.20821,4211,8.74305,0.43352745,7.477215703,1.160825,482.3175,4.388157221,2.048424453,0.237858112,3.69133015,4.98963785,219.6755964,27.25582177,15.15293225,0.05406517,0.031805089,182.6182255,5.46440625,,,,,,,,,,,,,,,,,,,,0.27726,6.07,15.2,2.04,8.407263224,7.1127
98,Lophostemon suaveolens,Lophostemon,suaveolens,Myrtaceae,Myrtales,Rosidae,LopSua,Princess Hills,-18.295,145.492,-27.291,0.56,136.9,26.14,6.72,-0.79,-1.69,88.56,12.122,10.99,1.5,25,51.652,4407.425,3559.2326,8398,12.96,0.789129109,6.636389026,1.10275,516.6,2.732244192,1.812128646,1.888440497,3.523850717,15.80017301,86.9655215,47.35998548,22.85683391,0.233996787,0.116782007,265.0849605,8.1,,,,,,,,,,,,,,,,,,,,0.18397,6.72,8.84,2.47,7.576955994,4.968
99,Persoonia falcata,Persoonia,falcata,Proteaceae,Proteales,Rosidae,PerFal,Princess Hills,-18.295,145.492,-26.512,0.64,193.6,16.02,3.88,-0.34,-1.28,73.07,14.146,11.78,2.28,4,46.503,3962.122,4995.69497,11204,10.18815,0.65104798,6.856794132,0.833175,523.74,1.857674964,1.543931187,0.832986652,2.80217316,7.566738817,58.89480904,61.83645455,11.57208995,0,0,317.669252,6.36759375,,,,,,,,,,,,,,,,,,,,0.20096,3.88,4.13,2.46,11.10292251,5.5243
100,Petalostigma pubescens,Petalostigma,pubescens,Picrodendraceae,Euphorbiales,Rosidae,PetPub,Princess Hills,-18.295,145.492,-26.971,0.73,140.9,5.86,3.8,-0.45,-2.47,70.91,9.992,8.97,1.26,5,42.006,2973.169,4010.30914,3941,10.58,0.399806742,3.391865404,1.003,486.36,4.539453318,3.030526251,0.378629643,2.57986627,5.538013868,65.64326399,107.3508089,21.10921248,0,9.371594849,208.7908618,6.6125,,,,,,,,,,,,,,,,,,,,0.24826,3.8,11.28,2.72,6.529140596,4.2946
101,Planchonia careya,Planchonia,careya,Lecythidaceae,Lecythidales,Dilleniidae,PlaCar,Princess Hills,-18.295,145.492,-26.109,0.54,96.5,27.58,10.27,-0.71,-1.02,115.35,11.128,29.46,2.84,7,13.731,844.413,3788.39849,13238,18.0075,1.121283317,8.595771841,1.39265,484.155,4.640345508,3.788894682,0.134971742,4.555252715,18.40881046,25.69602764,55.87817917,15.77449408,0,0,186.4187438,11.2546875,,,,,,,,,,,,,,,,,,,,0.37738,10.27,9.06,2.88,9.506871704,3.944
102,Pogonolobus reticulatus,Pogonolobus,reticulatus,Rubiaceae,Rubiales,Asteridae,PogRet,Princess Hills,-18.295,145.492,-28.132,,,,,-0.33,-2,,10.622,,1.37,3,,,,,11.46,0.500160226,14.37626787,1.33,460.215,7.941206854,1.706233974,0.123883568,2.522189349,8.398052268,137.5141765,53.55314226,84.27634985,0.39674211,0.058555227,451.3664941,7.1625,,,,,,,,,,,,,,,,,,,,0.3047,,,2.47,,4.2076
103,Xylomelum scottianum,Xylomelum,scottianum,Proteaceae,Proteales,Rosidae,XylSco,Princess Hills,-18.295,145.492,-26.407,0.65,135.7,22.06,1.23,-0.33,-1.07,72.55,9.842,15.14,2.05,7,33.838,3016.776,6179.45636,9023,8.35065,0.429673913,3.338113527,1.01614,482.055,0.438455918,1.428729167,1.220275,1.853956522,3.099033816,14.38249517,41.90513043,23.36437198,0,0,363.1755737,5.21915625,,,,,,,,,,,,,,,,,,,,0.4296,1.23,2.11,2.27,5.740259192,5.324
104,Acacia colletioides,Acacia,colletioides,Mimosaceae,Fabales,Rosidae,AcaCol,Round Hill,-32.976,146.156,-26.374,0.85,422.4,0.25,,,,25.6,8.4,5.8,,2.6,78.815,5852.534,978.61955,,24.98,0.740673177,10.74890625,9.16625,487.935,4.082886905,1.119835689,0.083318452,5.068204365,20.67212302,39.06001984,36.21558532,12.69466146,0,0.064484127,204.9962798,15.6125,,,,,,,,,,,,,,,,,,,,0.16476,,,,,
105,Acacia havilandiorum,Acacia,havilandiorum,Mimosaceae,Fabales,Rosidae,AcaHav,Round Hill,-32.976,146.156,-22.984,0.91,430.3,0.429,0.86,-3.66,-4.25,30.6,12,8.9,,4,94.872,8571.664,1075.05307,570,14.45,0.456139808,4.438928571,1.6125,492.345,7.761732827,2.679972623,0.097982267,8.601294176,36.91077651,90.0304878,56.56209028,15.11824913,0,0,218.5079642,9.03125,5.5429,0.162309395,5.025232732,0.149539312,1.948979341,0.380205,486.255,5.544997541,0.508702041,0.122929169,2.016109198,3.480693556,19.71532218,73.19847516,7.916256763,0,0.072436608,126.9768815,3.4643125,0.22115,0.86,,,17.67528749,
106,Beyeria opaca,Beyeria,opaca,Euphorbiaceae,Euphorbiales,Rosidae,BeyOpa,Round Hill,-32.976,146.156,-28.515,0.74,168.7,0.32,0.26,-3.95,-4.43,36.5,5.7,9.3,,0.7,42.821,3129.153,1832.80913,1270,16.95,0.625234414,6.741707606,1.58125,514.92,11.67748878,1.127150249,0.061954551,5.02244389,21.180798,44.51932668,89.26883884,36.74083541,0.125513716,0.168329177,286.3288653,10.59375,5.9289,0.20724875,4.381529111,0.153407434,3.644839375,0.351435,462.945,9.34468375,0.431216875,0.1469655,4.181875,10.26375,41.026875,147.6675,10.543125,0.0624375,0.1243125,163.15425,3.7055625,0.19749,0.26,2.5,,,
107,Bossiaea walkeri,Bossiaea,walkeri,Fabaceae,Fabales,Rosidae,BosWal,Round Hill,-32.976,146.156,-25.834,0.94,352.2,3.21,0.15,-3.55,-3.99,28.5,11.1,6.7,,2,71.723,6472.4,2946.32643,,16.65,0.766835258,7.99209795,1.55625,462.945,6.731602643,0.833772851,0.08075,6.426012846,18.58510375,90.79051383,24.436292,19.77115242,0,0.074728261,120.7374012,10.40625,5.6009,0.153080594,5.286799157,0.132200615,1.508538545,0.437535,465.885,15.02893427,0.466556912,0,3.34340261,7.829265346,22.25350411,71.90309328,8.40019333,0,0.062961394,106.4079265,3.5005625,0.14684,0.15,,,15.71024092,
108,Brachychiton populneus,Brachychiton,populneus,Sterculiaceae,Malvales,Dilleniidae,BraPop,Round Hill,-32.976,146.156,-26.71,0.47,102.1,11.462,2.51,-0.69,-0.98,50.6,7.4,4.7,,7,21.078,1098.121,5378.9845,5282,21.58,1.027518145,7.680263027,1.6225,483.84,22.17851303,2.571975806,0.078848573,5.775434243,31.15260546,68.15818859,253.9327869,33.07760546,0,0.107320099,331.0691687,13.4875,2.9249,0.331871391,1.374525733,0.154985143,6.719668551,0.323505,339.675,32.78226901,1.65815628,0.094192493,3.714509143,13.59720885,17.00252647,74.40267084,17.13306064,0,0.091367541,98.11717998,1.8280625,0.39574,2.51,2.13,,10.18184289,
109,Dodonaea viscosa cuneata,Dodonaea,viscosa,Sapindaceae,Sapindales,Rosidae,DodVis,Round Hill,-32.976,146.156,-27.982,0.84,109.3,0.356,1.27,-3.61,-4.41,75.7,12.2,20,,4,62.425,5164.822,2249.18989,2836,16.94,0.725253043,9.9884821,1.63625,489.615,12.12096718,2.100609785,0.060172494,5.623508353,27.19868735,61.6646778,47.4690528,38.69337709,0.151614558,0.078162291,250.3075776,10.5875,3.1979,0.178513794,2.681254656,0.143881098,2.798903198,0.27699,464.94,9.279613647,0.462346802,0,3.225708008,11.2689209,13.36914063,109.6270752,7.808227539,0.332384766,0.079571777,116.4418945,1.9986875,0.20338,1.27,,,19.86307298,
110,Dodonaea viscosa spathulata,Dodonaea,viscosa,Sapindaceae,Sapindales,Rosidae,DodSpa,Round Hill,-32.976,146.156,,,,,,,,,,,,4,72.331,6411.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Eremophila deserti,Eremophila,deserti,Myoporaceae,Scrophulariales,Asteridae,EreDes,Round Hill,-32.976,146.156,-27.746,0.82,201.9,0.76,0.25,-4.4,-5.22,46.4,9.1,6.4,,1.2,65.36,4118.718,998.21044,1138,17.1,0.810474325,30.93032734,2.94125,466.2,6.777893553,2.213939905,0,8.549475262,29.77073963,26.04385307,29.42768834,20.61431784,0.189895552,0,230.4628936,10.6875,4.5119,0.270441982,3.691910379,0.21883158,6.26952627,0.429555,460.11,9.894076195,0.60831113,0,6.641558765,25.72833665,19.04320219,113.4891683,15.20418327,0,0.116520418,136.1123008,2.8199375,0.2308,0.25,1.21,,22.48701756,
112,Eremophila glabra,Eremophila,glabra,Myoporaceae,Scrophulariales,Asteridae,EreGla,Round Hill,-32.976,146.156,-26.636,0.71,159.5,0.715,0.22,-4.2,-4.98,69.3,11.9,11.5,,1.3,69.072,5341.295,936.11415,1105,14.64,0.912912275,14.55402744,1.68875,470.715,9.080317508,1.159309738,0,9.095434677,27.60259835,20.97255949,79.00665766,20.05658086,0.505830015,0,222.0750364,9.15,4.6679,0.269438432,3.298149201,0.220656385,7.401111712,0.488985,463.155,2.962037037,0.572583574,0,4.675925926,27.49278499,9.612193362,108.3170996,16.77549303,0.071157468,0.070218074,125.538961,2.9174375,0.1638,0.22,3.09,,16.16215903,
113,Eucalyptus dumosa,Eucalyptus,dumosa,Myrtaceae,Myrtales,Rosidae,EucDum,Round Hill,-32.976,146.156,-26.782,0.76,331.2,11.24,0.83,-2.65,-2.61,38.3,13.4,3.7,,6,58.511,4115.83,6004.01232,,10.62,0.478399117,5.870893034,1.080125,513.03,11.0242169,2.146141922,0.490177989,5.030261858,10.36005435,119.3756176,54.64441947,40.9520751,0.051405138,0,284.2551877,6.6375,3.9779,0.16164131,3.009993136,0.131792611,3.251060735,0.287595,459.795,10.09613194,1.111060735,0.225251217,1.755111977,5.171616358,56.13924051,46.91699124,9.639118793,0.336280794,0,67.07351509,2.4861875,0.21363,0.83,,,18.36904933,
114,Eucalyptus socialis,Eucalyptus,socialis,Myrtaceae,Myrtales,Rosidae,EucSoc,Round Hill,-32.976,146.156,-28.026,0.79,307.1,8.912,1.63,-1.76,-2.83,51.2,16.2,4.8,,8.3,62.244,4432.755,5411.17609,3847,11.75,0.485899501,6.056529061,1.33,514.29,8.692351046,1.832051313,0.058931724,4.029669261,10.4584144,256.9880837,54.6402213,64.21163667,0,0.072349222,291.379195,7.34375,3.2459,0.255338439,2.550486534,0.188258738,4.564735672,0.266805,455.595,7.299870306,1.689996912,0,2.89958004,12.20479249,237.4715909,54.70788043,12.63710474,0.062555336,0,87.48320158,2.0286875,0.18235,1.63,2.6,,20.33774407,
115,Geijera parviflora,Geijera,parviflora,Rutaceae,Sapindales,Rosidae,GeiPar,Round Hill,-32.976,146.156,-27.416,0.87,151,3.827,0.71,-3.74,-4.56,55.2,10.4,5.7,,10.3,41.37,2480.579,4026.36992,2091,19.49,0.756858748,14.19777489,1.189875,460.74,18.79517769,2.490153541,0,4.720158494,31.35277365,48.72399703,41.05623236,54.88837296,0.549753096,0.066864785,692.8900446,12.18125,6.6849,0.314117172,5.816286152,0.274753229,6.294499254,0.322455,453.915,15.46210239,0.967699428,0,3.42445328,29.77137177,14.82977137,57.48074056,16.40407555,0.096604622,0,131.4617296,4.1780625,0.24791,0.71,,,19.14296497,
116,Melaleuca uncinata,Melaleuca,uncinata,Myrtaceae,Myrtales,Rosidae,MelUnc,Round Hill,-32.976,146.156,-26.251,0.68,364.8,0.181,0.44,-4.04,-4.9,36.1,11.2,9.2,,3.1,100.595,7220.288,1205.14501,1570,16.39,0.879142157,4.52730649,1.98125,517.965,4.619517428,1.930033654,1.627537921,2.591346154,15.67067308,39.41165865,40.97865385,43.63620793,0.074629808,0,246.9365986,10.24375,4.0739,0.15741499,2.768272661,0.11848797,1.526976772,1.03908,490.875,4.270612428,0.809161877,0.568012931,1.408045977,6.621168582,173.9810824,58.39319923,6.766044061,0,0.068284483,131.6659483,2.5461875,0.16796,0.44,4.32,,23.12882923,
117,Micromyrtus sessilis,Micromyrtus,sessilis,Myrtaceae,Myrtales,Rosidae,MicSes,Round Hill,-32.976,146.156,-26.719,,115.1,0.012,0.14,-5.03,-5.3,,,,,1.5,118.179,9538.519,2661.11674,,12.12,0.519049188,3.801041768,1.36875,533.19,4.399330728,1.07862787,0.071414692,3.59184172,9.054714216,172.9738642,189.7219373,45.34376527,0,0.439057157,384.267831,7.575,2.6599,0.085426754,,0.080733378,1.328741354,0.20496,482.055,2.086731719,0.181935524,0.093625494,1.876235178,5.52062747,124.5226038,95.51506917,5.554594862,0,0.086113636,123.5854743,1.6624375,0.0861,0.14,,,19.1941258,
118,Pimelea microcephala,Pimelea,microcephala,Thymelaeaceae,Myrtales,Rosidae,PimMic,Round Hill,-32.976,146.156,-24.44,0.7,56.8,0.262,0.75,-3.06,-3.68,132.7,10.6,26.6,,3,51.606,3963.677,4305.01682,,28.01,2.085143813,20.62458938,3.23125,429.345,12.37355813,3.8899825,0.7696205,9.550625,64.36625,93.2,56.01,29.2123125,0.2743125,0.09625,159.1509375,17.50625,5.8129,0.263477887,4.057442193,0.207919597,4.934605651,0.3423,463.575,5.80827457,0.485074324,0.090661179,2.874078624,23.93980344,16.24078624,56.75307125,9.522113022,0,0.059094287,167.8820639,3.6330625,0.28379,0.75,,,12.09236711,
119,Santalum acuminatum,Santalum,acuminatum,Santalaceae,Santales,Rosidae,SanAcu,Round Hill,-32.976,146.156,-25.791,0.72,203.8,5.042,1.21,-2.69,-4.27,20.6,7.4,3.9,,6,40.607,2483.606,2907.18917,2748,15.8,0.606096061,9.853192184,2.11,468.195,7.820196006,3.073081854,6.111166482,4.06989645,13.21622288,147.4044625,56.49014916,13.26026257,0.082300542,0.346400394,264.6865754,9.875,5.4749,0.203065102,3.936622728,0.150033931,4.917426791,0.340095,472.71,4.61705409,0.805304332,1.006209584,4.051911907,5.74661181,26.76548887,69.72712972,8.884317522,0,0.068503025,90.91698935,3.4218125,0.26385,1.21,3,,13.40395063,
120,Senna artemisioides,Senna,artemisioides,Caesalpiniaceae,Fabales,Rosidae,SenArt,Round Hill,-32.976,146.156,-27.754,0.81,387.3,0.437,0.34,-4.12,-4.88,32.4,12.8,14.3,,2.5,71.052,5744.948,1220.49157,1881,16.43,0.526849727,8.356116824,1.35875,490.77,13.92599542,1.330953295,0.079775211,4.946729435,18.27737859,19.92319128,36.77476648,32.51136645,0.496485629,0,178.5403246,10.26875,5.4519,0.155360058,4.4087698,0.124207475,2.311097576,0.287805,467.775,9.793584373,0.148496159,0,2.009121459,4.665746519,7.514402304,65.5724916,8.263922228,0,0,117.8958233,3.4074375,0.15256,0.34,,,21.29145306,
121,Acacia parvipinnula,Acacia,parvipinnula,Mimosaceae,Fabales,Rosidae,AcaPar,Yengo,-32.778,150.922,-23.519,0.602,56.6,,0.91,-1.21,-1.72,316.29,17.9,12.23,0.69,6,43.649,5557.084,10906.7623,,34.04,0.882268138,8.180548077,1.645,561.1,2.794391234,1.631492851,0.488889298,6.888111888,15.07898352,113.2804695,105.5295052,22.66127622,0.163586414,0.080669331,251.0137987,21.275,6.287,0.216894563,3.784774,0.108671063,6.138400281,0.44505,471.45,1.167477281,0.516179344,0.4332875,7.228125,13.85390625,28.82840625,11.645,5.28425,0,0.0605625,88.9805,3.929375,0.18727,0.91,,6.34,9.642458916,2.91373487
122,Angophora costata,Angophora,costata,Myrtaceae,Myrtales,Rosidae,AngCos,Yengo,-32.778,150.922,-25.804,0.603,179.1,24.565,1.76,-0.98,-1.65,51.78,9.3,2.79,0.5,30,32.668,2200.248,6645.85694,,11.81,0.540157605,5.624983261,0.99925,546.6,2.533719894,1.839057593,1.151060122,3.433285164,14.23615125,365.0529865,36.92420087,10.390625,0,21.35269147,221.1729889,7.38125,3.321,0.539375499,2.002563,0.342449211,3.186676267,0.164795,470.61,4.994266943,1.624108337,0.669568304,9.483275087,15.15511108,394.9792811,15.36301548,10.38617074,0,2.339428357,118.3892911,2.075625,0.2824,1.76,,4.69,5.483759933,1.969095049
123,Daviesia squarrosa,Daviesia,squarrosa,Fabaceae,Fabales,Rosidae,DavSqu,Yengo,-32.778,150.922,-25.963,0.702,108.4,0.117,0.97,-0.92,-1.77,76.06,8.2,2.69,0.29,1.5,57.22,7045.948,3935.97192,,24.17,0.413295905,3.136381096,1.53,543.3,1.359738916,1.223068196,0.712751447,7.693349754,17.84587438,79.41440887,105.0802241,18.07823276,0,0.138639163,271.3758005,15.10625,5.517,0.172146346,3.872934,0.135450015,2.280275406,0.43746,475.23,1.070415447,0.645560747,0.620926889,5.609005906,20.82252707,35.68682333,16.14260827,8.359713337,0.055364173,0.112204724,100.6577264,3.448125,0.146,0.97,,3.32,6.526313163,2.726990292
