"ITEM_ID","DATEGERMPLASMRECEIVED","MONITORINGPERIOD","THOUSANDSEEDWEIGHT","DEGREEOFPURITY","AVGSEEDPERFRUIT","ORIGINALSEEDQUANTITY","CURRENTSEEDQUANTITY","ADJUSTEDSEEDQUANTITY","METHODSEEDNUMDETERMINED","VIABILITYSUMMARY","PROCESSINGMEASUREMENTSORFACTS"
1259090,10-FEB-91,"",,,"","",,"","","","Current quantity available as 5.496gm large packet"
1248836,18-APR-91,"",,,"","",,"","","","Current quantity available as .226gm packet"
1248892,18-APR-91,"",,,"","",,"","","","Current quantity available as 6.11gm packet"
1248902,18-APR-91,"",,,"","",,"","","","Current quantity available as .455gm packet"
1276566,25-OCT-90,"",,,"","",,"","","","Current quantity available as 1.858gm packet"
1290217,01-AUG-90,"",,,"","",,"","","","Current quantity available as .928gm packet"
1249398,18-APR-91,"",,,"","",,"","","","Current quantity available as .493gm packet"
1259994,30-JAN-91,"",,,"","",,"","","","Current quantity available as .155gm packet"
1271257,25-OCT-90,"",,,"","",,"","","","Current quantity available as 1.2336gm packet"
1282029,06-APR-90,"",,,"","",,"","","","Current quantity available as .367gm packet"
1249629,18-APR-91,"",,,"","",,"","","","Current quantity available as .309gm packet"
1249654,18-APR-91,"",,,"","",,"","","","Current quantity available as .27gm packet"
1249856,18-APR-91,"",,,"","",,"","","","Current quantity available as .292gm packet"
1249860,18-APR-91,"",,,"","",,"","","","Current quantity available as .051gm packet"
1249887,18-APR-91,"",,,"","",,"","","","Current quantity available as .405gm packet"
1249891,18-APR-91,"",,,"","",,"","","","Current quantity available as .309gm packet"
1249914,18-APR-91,"",,,"","",,"","","","Current quantity available as 2.748gm packet"
