family,SID taxa,spauth,infraspecauth,pdadesc,pdasubgroupdesc,method,animalgp,animalspecies,dispnotes,refshort,refdesc
JUNCACEAE,Juncus filicaulis,Buchenau,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,Seeds are very small (dust seeds),"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
JUNCACEAE,Juncus homalocaulis,F.Muell. ex Benth.,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,Seeds are very small (dust seeds),"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
JUNCACEAE,Juncus subsecundus,N.A.Wakef.,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,Seeds are very small (dust seeds),"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
JUNCACEAE,Juncus usitatus,L.A.S.Johnson,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,Seeds are very small (dust seeds),"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
JUNCACEAE,Juncus vaginatus,R.Br.,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,Seeds are very small (dust seeds),"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
LAMIACEAE,Premna serratifolia,L.,,Animal,,Method not stated,,,,"(Thapliyal & Phartyal, 2005)","Thapliyal, R.C. & Phartyal, S.S. 2005. Dispersal and germination syndromes of tree seeds in a monsoonal forest in northern India. Seed Science Research, 15(1):29-42."
LAURACEAE,Litsea glutinosa,(Lour.) C.B.Rob.,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Birds.,,Diaspore=fruit. Fruit is fleshy.,"(Corlett, 1996)","Corlett, R.T. 1996. Characteristics of vertebrate-dispersed fruits in Hong Kong. Journal of Tropical Ecology, 12:819-833."
LECYTHIDACEAE,Barringtonia asiatica,(L.) Kurz,,Water,Floating in saltwater currents,Direct or experimental observation,,,Diaspore=fruit. The diaspore is buoyant.,"(Young & Young, 1992)","Young, J.A. and Young, C.G. 1992. Seeds of Woody Plants in North America. Dioscorides Press, Oregon, Portland."
LECYTHIDACEAE,Barringtonia racemosa,(L.) Spreng.,,Water,Floating in saltwater currents,Method not stated,,,Diaspore=drupe. The diaspore is buoyant.,"(Murray, 1986)","Murray, D.R. 1986. Seed dispersal by water. In: Seed Dispersal (Ed. by D.R. Murray), pp 49-85. Academic Press, Sydney, Australia."
LEGUMINOSAE-CAESALPINIOIDEAE,Caesalpinia bonduc,(L.) Roxb.,,Methods originating from parent plant or diaspore,Explosive mechanism,Assumption based upon diaspore morphology,,,,"(Baraloto & Forget, 2007)","Baraloto, C. & Forget, P.M. 2007. Seed size, seedling morphology, and response to deep shade and damage in neotropical rain forest trees. American Journal of Botany, 94(6):901-911."
LEGUMINOSAE-CAESALPINIOIDEAE,Caesalpinia bonduc,(L.) Roxb.,,Water,,Method not stated,,,Diaspore=seed. The diaspore is buoyant.,"(Ridley, 1930)","Ridley, H.N. 1930. The Dispersal of Plants Throughout the World. William Clowes and Sons Ltd., London."
LEGUMINOSAE-CAESALPINIOIDEAE,Caesalpinia bonduc,(L.) Roxb.,,Water,Floating in saltwater currents,Direct or experimental observation,,,Diaspore=seed. The diaspore is buoyant.,"(Murray, 1986)","Murray, D.R. 1986. Seed dispersal by water. In: Seed Dispersal (Ed. by D.R. Murray), pp 49-85. Academic Press, Sydney, Australia."
LEGUMINOSAE-CAESALPINIOIDEAE,Caesalpinia bonduc,(L.) Roxb.,,Water,Floating in saltwater currents,Direct or experimental observation,,,The diaspore is buoyant.,"(van der Pijl, 1982)","van der Pijl, L. 1982. Principles of Dispersal in Higher Plants. 3rd Edn. Springer-Verlag, New York."
LEGUMINOSAE-CAESALPINIOIDEAE,Cynometra iripa,Kostel.,,Water,Floating in saltwater currents,Method not stated,,,Diaspore=capsule. The diaspore is buoyant.,"(Murray, 1986)","Murray, D.R. 1986. Seed dispersal by water. In: Seed Dispersal (Ed. by D.R. Murray), pp 49-85. Academic Press, Sydney, Australia."
LEGUMINOSAE-CAESALPINIOIDEAE,Peltophorum pterocarpum,(DC.) Backer ex K.Heyne,,Wind,Diaspore is blown by wind,Method not stated,,,Diaspore=pod. The fruit acts as a wing.,"(Ridley, 1930)","Ridley, H.N. 1930. The Dispersal of Plants Throughout the World. William Clowes and Sons Ltd., London."
LEGUMINOSAE-CAESALPINIOIDEAE,Petalostylis labicheoides,R.Br.,,,,,,,diaspore=seed.,"(RBG Kew, Wakehurst Place)","RBG Kew, Wakehurst Place."
LEGUMINOSAE-CAESALPINIOIDEAE,Senna planitiicola,(Domin) Randell,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
LEGUMINOSAE-MIMOSOIDEAE,Acacia acradenia,F.Muell.,,Animal,Diaspore is carried intentionally,Assumption based upon diaspore morphology,Ants.,,Diaspore=seed. The seed has an elaiosome.,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
LEGUMINOSAE-MIMOSOIDEAE,Acacia adsurgens,Maiden & Blakely,,Animal,Diaspore is carried intentionally,Assumption based upon diaspore morphology,Ants.,,Diaspore=seed. The seed has an elaiosome.,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
LEGUMINOSAE-MIMOSOIDEAE,Acacia ammobia,Maconochie,,Animal,Diaspore is carried intentionally,Assumption based upon diaspore morphology,Ants.,,Diaspore=seed. The seed has an elaiosome.,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
LEGUMINOSAE-MIMOSOIDEAE,Acacia aneura,F.Muell. ex Benth.,,Animal,Diaspore is carried intentionally,Direct or experimental observation,Ants.,"Melophorus sp., Pheidole sp.",Diaspore=seed. The seed has an aril or aril-like structure.,"(O'Dowd & Gill, 1986)","O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia aulacocarpa,A.Cunn. ex Benth.,,Water,Freshwater currents (not stated whether diaspore floats or sinks),Method not stated,,,Diaspore=seed.,"(Murray, 1986)","Murray, D.R. 1986. Seed dispersal by water. In: Seed Dispersal (Ed. by D.R. Murray), pp 49-85. Academic Press, Sydney, Australia."
LEGUMINOSAE-MIMOSOIDEAE,Acacia cana,Maiden,,Animal,Diaspore is carried intentionally,Direct or experimental observation,Ants.,,,"(Davidson & Morton, 1984)","Davidson, D.W. and Morton, S.R. 1984. Dispersal adaptations of some Acacia species in the Australian arid zone. Ecology, 65:1038-1051."
LEGUMINOSAE-MIMOSOIDEAE,Acacia coriacea,DC.,,Animal,,Assumption based upon diaspore morphology,,,Diaspore=seed. The seed has an aril or aril-like structure.,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
LEGUMINOSAE-MIMOSOIDEAE,Acacia cuthbertsonii,Luehm.,,Animal,Diaspore is carried intentionally,Assumption based upon diaspore morphology,Ants.,,Diaspore=seed. The seed has an elaiosome.,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
LEGUMINOSAE-MIMOSOIDEAE,Acacia cyclops,A.Cunn. ex G.Don,,Animal,Diaspore is carried or eaten intentionally depending upon the species of disperser,Direct or experimental observation,Ants+birds.,"Camponotus sp., Iridomyrmex sp. Melophorus spp. Pheidole sp., Rhytidoponera spp., Anthochaera carunculata, Gymnorhina dorsalis, Meliphaga virescens, Strepera versicolor, Zosterops lateralis",Diaspore=seed. The seed has an aril or aril-like structure.,"(O'Dowd & Gill, 1986)","O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia dealbata,Link,,Animal,Diaspore is carried intentionally,Direct or experimental observation,Ants.,,Diaspore=seed. The seed has an aril or aril-like structure.,"(O'Dowd & Gill, 1986)","O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia desmondii,Maslin,,Animal,Diaspore is carried intentionally,Assumption based upon diaspore morphology,Ants.,,Diaspore=seed. The seed has an elaiosome.,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
LEGUMINOSAE-MIMOSOIDEAE,Acacia drepanophylla,Maslin,,,,,,,diaspore=seed.,"(RBG Kew, Wakehurst Place)","RBG Kew, Wakehurst Place."
LEGUMINOSAE-MIMOSOIDEAE,Acacia estrophiolata,F.Muell.,,Wind,,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
LEGUMINOSAE-MIMOSOIDEAE,Acacia extensa,Lindl.,,Animal,Diaspore is carried intentionally,Direct or experimental observation,Ants.,Rhytidoponera violacea,Diaspore=seed. The seed has an aril or aril-like structure.,"(O'Dowd & Gill, 1986)","O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia georginae,F.M.Bailey,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
LEGUMINOSAE-MIMOSOIDEAE,Acacia kempeana,F.Muell.,,Animal,Diaspore is carried intentionally,Assumption based upon diaspore morphology,Ants.,,Diaspore=seed. The seed has an elaiosome.,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
LEGUMINOSAE-MIMOSOIDEAE,Acacia latzii,Maslin,,Animal,Diaspore is carried intentionally,Assumption based upon diaspore morphology,Ants.,,Diaspore=seed. The seed has an elaiosome.,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
LEGUMINOSAE-MIMOSOIDEAE,Acacia ligulata,A.Cunn. ex Benth.,,,,,,,diaspore=seed.,"(RBG Kew, Wakehurst Place)","RBG Kew, Wakehurst Place."
LEGUMINOSAE-MIMOSOIDEAE,Acacia ligulata,A.Cunn. ex Benth.,,Animal,,Assumption based upon diaspore morphology,,,Diaspore=seed. The seed has an aril or aril-like structure.,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
LEGUMINOSAE-MIMOSOIDEAE,Acacia ligulata,A.Cunn. ex Benth.,,Animal,Diaspore is carried or eaten intentionally depending upon the species of disperser,Direct or experimental observation,Ants+birds.,Iridomyrmex purpureus; Pheidole sp.; Acanthagenys rufogularis; Artamus cinereus; Corvus coronoides; Corvus bennetti; Cracticus torquatus; Gymnorhina tibicen; Manorina flavigula,Diaspore=seed. The seed has an aril or aril-like structure.,"(O'Dowd & Gill, 1986)","O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia linifolia,(Vent.) Willd.,,Animal,Diaspore is carried intentionally,Direct or experimental observation,Ants.,Aphaenogaster longiceps; Pheidole sp.,Diaspore=seed. The seed has an aril or aril-like structure.,"(O'Dowd & Gill, 1986)","O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia linifolia,(Vent.) Willd.,,Animal,Diaspore is carried intentionally,Direct or experimental observation,Ants.,Rhytidoponera tasmaniensis,Diaspore=seed.,"(Berg, 1975)","Berg, R.Y. 1975. Myrmechorous plants in Australia and their dispersal by ants. Australian Journal of Botany, 23:475-508."
LEGUMINOSAE-MIMOSOIDEAE,Acacia maidenii,F.Muell.,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Birds.,Trichoglossus chlorolepidotus,Diaspore=seed. The seed has an aril or aril-like structure.,"(O'Dowd & Gill, 1986)","O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia maitlandii,F.Muell.,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
LEGUMINOSAE-MIMOSOIDEAE,Acacia mearnsii,De Wild.,,Animal,Diaspore is carried intentionally,Direct or experimental observation,Ants.,,Diaspore=seed. The seed has an aril or aril-like structure.,"(O'Dowd & Gill, 1986)","O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia melanoxylon,R.Br.,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Birds.,Meliphaga chrysops,Diaspore=seed. The seed has an aril or aril-like structure.,"(O'Dowd & Gill, 1986)","O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia merrallii,F.Muell.,,,,,,,diaspore=seed.,"(RBG Kew, Wakehurst Place)","RBG Kew, Wakehurst Place."
LEGUMINOSAE-MIMOSOIDEAE,Acacia minutifolia,F.Muell.,,Animal,Diaspore is carried intentionally,Assumption based upon diaspore morphology,Ants.,,Diaspore=seed. The seed has an elaiosome.,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
LEGUMINOSAE-MIMOSOIDEAE,Acacia murrayana,F.Muell. ex Benth.,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
LEGUMINOSAE-MIMOSOIDEAE,Acacia myrtifolia,(Sm.) Willd.,,,,,,,diaspore=seed.,"(RBG Kew, Wakehurst Place)","RBG Kew, Wakehurst Place."
LEGUMINOSAE-MIMOSOIDEAE,Acacia myrtifolia,(Sm.) Willd.,,Animal,Diaspore is carried accidentally,Direct or experimental observation,Ants.,Pheidole sp.; Rhytidoponera metallica,Also dispersed by methods originating from parent plant. Diaspore=seed. The seed has an aril or aril-like structure. ,"(O'Dowd & Gill, 1986)","O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia paradoxa,DC.,,Animal,Diaspore is carried intentionally,Direct or experimental observation,Ants.,Aphaenogaster longiceps,,"(Berg, 1975)","Berg, R.Y. 1975. Myrmechorous plants in Australia and their dispersal by ants. Australian Journal of Botany, 23:475-508."
LEGUMINOSAE-MIMOSOIDEAE,Acacia prainii,Maiden,,Animal,Diaspore is carried intentionally,Assumption based upon diaspore morphology,Ants.,,Diaspore=seed. The seed has an elaiosome.,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
LEGUMINOSAE-MIMOSOIDEAE,Acacia pruinocarpa,Tindale,,Animal,Diaspore is carried intentionally,Assumption based upon diaspore morphology,Ants.,,Diaspore=seed. The seed has an elaiosome.,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
LEGUMINOSAE-MIMOSOIDEAE,Acacia pulchella,R.Br.,,Animal,Diaspore is carried intentionally,Direct or experimental observation,Ants.,Rhytidoponera inornata,Diaspore=seed. The seed has an aril or aril-like structure.,"(O'Dowd & Gill, 1986)","O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia pycnantha,Benth.,,Animal,Diaspore is carried intentionally,Direct or experimental observation,Ants.,Camponotus sp.; Chelaner sp.; Dolichoderus sp.; Iridomyrmex sp.; Pheidole sp.; Rhytidoponera metallica,Unassisted dispersal also occurs. Diaspore=seed. The seed has an aril or aril-like structure. ,"(O'Dowd & Gill, 1986)","O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia ramulosa,W.Fitzg.,,Animal,Diaspore is carried intentionally,Assumption based upon diaspore morphology,Ants.,,Diaspore=seed. The seed has an elaiosome.,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
LEGUMINOSAE-MIMOSOIDEAE,Acacia salicina,Lindl.,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Birds.,Meliphaga virescens,Diaspore=seed. The seed has an aril or aril-like structure.,"(O'Dowd & Gill, 1986)","O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia salicina,Lindl.,,Water,Freshwater currents (not stated whether diaspore floats or sinks),Method not stated,,,Diaspore=seed.,"(Murray, 1986)","Murray, D.R. 1986. Seed dispersal by water. In: Seed Dispersal (Ed. by D.R. Murray), pp 49-85. Academic Press, Sydney, Australia."
LEGUMINOSAE-MIMOSOIDEAE,Acacia saligna,(Labill.) H.L.Wendl.,,Animal,Diaspore is carried intentionally,Direct or experimental observation,Ants.,Iridomyrmex sp.,Diaspore=seed. The seed has an aril or aril-like structure.,"(O'Dowd & Gill, 1986)","O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia spondylophylla,F.Muell.,,Animal,Diaspore is carried intentionally,Assumption based upon diaspore morphology,Ants.,,Diaspore=seed. The seed has an elaiosome.,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
LEGUMINOSAE-MIMOSOIDEAE,Acacia sporadica,N.G.Walsh,,,,,,,diaspore=seed.,"(RBG Kew, Wakehurst Place)","RBG Kew, Wakehurst Place."
LEGUMINOSAE-MIMOSOIDEAE,Acacia stenophylla,A.Cunn. ex Benth.,,Water,Freshwater currents (not stated whether diaspore floats or sinks),Method not stated,,,Diaspore=seed.,"(Murray, 1986)","Murray, D.R. 1986. Seed dispersal by water. In: Seed Dispersal (Ed. by D.R. Murray), pp 49-85. Academic Press, Sydney, Australia."
LEGUMINOSAE-MIMOSOIDEAE,Acacia suaveolens,(Sm.) Willd.,,Animal,Diaspore is carried intentionally,Direct or experimental observation,Ants.,Aphaenogaster longiceps; Rhytidoponera metallica,Diaspore=seed. The seed has an aril or aril-like structure.,"(O'Dowd & Gill, 1986)","O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia tenuissima,F.Muell.,,Animal,Diaspore is carried intentionally,Assumption based upon diaspore morphology,Ants.,,Diaspore=seed. The seed has an elaiosome.,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
LEGUMINOSAE-MIMOSOIDEAE,Acacia terminalis,(Salisb.) J.F.Macbr.,,Animal,Diaspore is carried intentionally,Direct or experimental observation,Ants.,Aphaenogaster longiceps,,"(Berg, 1975)","Berg, R.Y. 1975. Myrmechorous plants in Australia and their dispersal by ants. Australian Journal of Botany, 23:475-508."
LEGUMINOSAE-MIMOSOIDEAE,Acacia terminalis,(Salisb.) J.F.Macbr.,,Animal,Diaspore is carried intentionally,Direct or experimental observation,Ants.,Aphaenogaster longiceps,Diaspore=seed. The seed has an aril or aril-like structure.,"(O'Dowd & Gill, 1986)","O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia tetragonophylla,F.Muell.,,Animal,Diaspore is carried or eaten intentionally depending upon the species of disperser,Direct or experimental observation,Ants+birds.,Melophorus sp.; Rhytidoponera sp.; Acanthagenys rufogularis; Meliphaga virescens,Diaspore=seed. The seed has an aril or aril-like structure.,"(O'Dowd & Gill, 1986)","O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia tetragonophylla,F.Muell.,,Animal,Diaspore is eaten intentionally,Method not stated,,,,"(Herrera et al., 1998)","Herrera, C.M., Jordano, P., Guitián and Traveset, A. 1998. Annual variability in seed production by woody plants and the masting concept: reassessment of principles and relationship to pollination and seed dispersal. The American Naturalist, 152:577-594."
LEGUMINOSAE-MIMOSOIDEAE,Acacia trachycarpa,E.Pritz.,,,,,,,diaspore=seed.,"(RBG Kew, Wakehurst Place)","RBG Kew, Wakehurst Place."
LEGUMINOSAE-MIMOSOIDEAE,Acacia ulicifolia,(Salisb.) Court,,Animal,Diaspore is carried intentionally,Direct or experimental observation,Ants.,Aphaenogaster longiceps; Rhytidoponera metallica,Unassisted dispersal also occurs. Diaspore=seed. ,"(O'Dowd & Gill, 1986)","O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia victoriae,Benth.,,Animal,Diaspore is carried intentionally,Assumption based upon diaspore morphology,Ants.,,Diaspore=seed. The seed has an elaiosome.,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
LEGUMINOSAE-MIMOSOIDEAE,Adenanthera pavonina,L.,,Animal,Diaspore is eaten intentionally,Assumption based upon diaspore morphology,Birds.,,Diaspore=seed. The diaspore is mimetic of other edible diaspores.,"(van der Pijl, 1982)","van der Pijl, L. 1982. Principles of Dispersal in Higher Plants. 3rd Edn. Springer-Verlag, New York."
LEGUMINOSAE-MIMOSOIDEAE,Archidendron vaillantii,(F.Muell.) F.Muell.,,Animal,Diaspore is eaten intentionally,Method not stated,Birds.,,Diaspore=seed.,"(van der Pijl, 1982)","van der Pijl, L. 1982. Principles of Dispersal in Higher Plants. 3rd Edn. Springer-Verlag, New York."
LEGUMINOSAE-MIMOSOIDEAE,Neptunia dimorphantha,Domin,,Wind,,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
LEGUMINOSAE-PAPILIONOIDEAE,Abrus precatorius,L.,,Water,Floating in saltwater currents,Direct or experimental observation,,,Diaspore=seed. The diaspore is buoyant.,"(Murray, 1986)","Murray, D.R. 1986. Seed dispersal by water. In: Seed Dispersal (Ed. by D.R. Murray), pp 49-85. Academic Press, Sydney, Australia."
LEGUMINOSAE-PAPILIONOIDEAE,Bossiaea foliosa,A.Cunn.,,Animal,Diaspore is carried intentionally,Direct or experimental observation,Ants.,,Diaspore=seed. The seed has an elaiosome.,"(O'Dowd & Gill, 1986)","O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London."
LEGUMINOSAE-PAPILIONOIDEAE,Canavalia rosea,(Sw.) DC.,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Method not stated,,,Diaspore=seed. Pods are dehiscent.,"(Moreno-Casasola et al., 1994)","Moreno-Casasola, P., Grime, J.P. and Martínez, L. 1994. A comparative study of the effects of fluctuations in temperature and moisture supply on hard coat dormancy in seeds of coastal tropical legumes in Mexico. Journal of Tropical Ecology, 10:67-86."
LEGUMINOSAE-PAPILIONOIDEAE,Canavalia rosea,(Sw.) DC.,,Water,Floating in saltwater currents,Method not stated,,,Diaspore=seed. The diaspore is buoyant.,"(Murray, 1986)","Murray, D.R. 1986. Seed dispersal by water. In: Seed Dispersal (Ed. by D.R. Murray), pp 49-85. Academic Press, Sydney, Australia."
LEGUMINOSAE-PAPILIONOIDEAE,Castanospermum australe,A.Cunn. & Fraser,,Methods originating from parent plant or diaspore,Explosive mechanism,Direct or experimental observation,,,Also dispersed by water. Diaspore=seed. The diaspore is buoyant. ,"(van der Pijl, 1982)","van der Pijl, L. 1982. Principles of Dispersal in Higher Plants. 3rd Edn. Springer-Verlag, New York."
