Species,geology & topography,habitat,ecodistrict,plant_growth_form,Fire response,Post-fire recovery and flowering,Conservation Code,Primary Juvenile Period (months),Primary Juvenile Period -value 1,juvenile period value type 1,Primary Juvenile Period -value 2,juvenile period value type 2
Calothamnus quadrifidus,Eucalyptus pleurocarpa / E. falcata Proteaceous shrublands,Mallee Shrubland,Greenstone,shrub,RS,,,,,,,
Grevillea coccinea,Eucalyptus pleurocarpa / E. falcata Proteaceous shrublands,Mallee Shrubland,Greenstone,shrub,OSS,,,,,,,
Hakea cygna subsp. cygna,Eucalyptus pleurocarpa / E. falcata Proteaceous shrublands,Mallee Shrubland,Greenstone,shrub,OSC,,,,,,,
Hakea laurina,Eucalyptus pleurocarpa / E. falcata Proteaceous shrublands,Mallee Shrubland,Greenstone,shrub,OSC,slow,,,,,,
Hakea marginata,Eucalyptus pleurocarpa / E. falcata Proteaceous shrublands,Mallee Shrubland,Greenstone,shrub,RS,,,,,,,
Hakea multilineata,Eucalyptus pleurocarpa / E. falcata Proteaceous shrublands,Mallee Shrubland,Greenstone,shrub,OSC,medium to slow,,,,,,
Hakea obtusa,Eucalyptus pleurocarpa / E. falcata Proteaceous shrublands,Mallee Shrubland,Greenstone,shrub,OSC,,,,,,,
Hakea pandanicarpa subsp. crassifolia,Eucalyptus pleurocarpa / E. falcata Proteaceous shrublands,Mallee Shrubland,Greenstone,shrub,OSC,slow,,,,,,
Hakea subsulcata,Eucalyptus pleurocarpa / E. falcata Proteaceous shrublands,Mallee Shrubland,Greenstone,shrub,OSC,slow,,,,,,
Hakea verrucosa,Eucalyptus pleurocarpa / E. falcata Proteaceous shrublands,Mallee Shrubland,Greenstone,shrub,OSC,,,,,,,
Isopogon polycephalus,Eucalyptus pleurocarpa / E. falcata Proteaceous shrublands,Mallee Shrubland,Greenstone,shrub,RS,,,,,,,
Kunzea cincinnata,Eucalyptus pleurocarpa / E. falcata Proteaceous shrublands,Mallee Shrubland,Greenstone,shrub,,,,,,,,
Kunzea similis subsp. mediterraneae,Eucalyptus pleurocarpa / E. falcata Proteaceous shrublands,Mallee Shrubland,Greenstone,shrub,OSS,,,,,,,
Lasiopetalum sp. Desmond N McQuoid 653,Eucalyptus pleurocarpa / E. falcata Proteaceous shrublands,Mallee Shrubland,Greenstone,shrub,OSS?,,,,,,,
Melaleuca rigidifolia,Eucalyptus pleurocarpa / E. falcata Proteaceous shrublands,Mallee Shrubland,Greenstone,shrub,OSC,,,,,,,
Melaleuca thapsina,Eucalyptus pleurocarpa / E. falcata Proteaceous shrublands,Mallee Shrubland,Greenstone,shrub,OSC,,,,,,,
Petrophile glauca,Eucalyptus pleurocarpa / E. falcata Proteaceous shrublands,Mallee Shrubland,Greenstone,shrub,OSC,slow,,,,,,
Petrophile seminuda,Eucalyptus pleurocarpa / E. falcata Proteaceous shrublands,Mallee Shrubland,Greenstone,shrub,RS/OSC,medium,,,,,,
Santalum acuminatum,Eucalyptus pleurocarpa / E. falcata Proteaceous shrublands,Mallee Shrubland,Greenstone,shrub,OSS,slow,,,,,,
Taxandria spathulata,Eucalyptus pleurocarpa / E. falcata Proteaceous shrublands,Mallee Shrubland,Greenstone,shrub,RS/OSC,,,,,,,
Eucalyptus spp Greenstone,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,mallee,,,,,,,,
Exocarpus aphylla,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,OSS,,,,,,,
Gastrolobium parviflorum,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,OSS,medium,,,,,,
Grevillea huegellii,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,OSS?,,,,,,,
Grevillea pectinata,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,RS/OSS,,,,,,,
Grevillea oligantha,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,RS/OSS,,,,,,,
Hakea commutata,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,OSC,,,,,,,
Hakea verrucosa,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,OSC,,,,,,,
Kunzea cincinnata,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,,,,,,,,
Melaleuca acuminata,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,,,,,,,,
Melaleuca cliffortoides,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,RS,,,,,,,
Melaleuca coronicarpa,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,OSC,,,,,,,
Melaleuca cucullata,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,OSC?,,,,,,,
Melaleuca eleuterostachya,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,,,,,,,,
Melaleuca glaberrima,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,OSC,,,,,,,
Melaleuca hamata,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,RS,,,,,,,
Melaleuca lateriflora subsp. lateriflora,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,RS/OSC,,,,,,,
Melaleuca pauperiflora subsp. pauperiflora,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,OSC,,,,,,,
Melaleuca sp. Gorse,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,OSC,,,,,,,
Melaleuca pentagona,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,,,,,,,,
Melaleuca pomphostoma,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,,,,,,,,
Melaleuca rigidifolia,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,,,,,,,,
Melaleuca societatis,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,OSC,,,,,,,
Melaleuca teuthidoides,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,,,,,,,,
Melaleuca torquata,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,,,,,,,,
Melaleuca undulata,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,OSC,,,,,,,
Sanatalum acuminatum,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,OSS,slow,,,,,,
Siegfriedia darwinioides,Mallee over Melaleuca units,Mallee over Melaleuca Shrubland,Greenstone,shrub,OSS,rapid to medium,,,,,,
Eucalytpus kessellii,Magnesite mallee shrublands,Mallee shrublands,Greenstone,tree,RS,,,,,,,
Eucalyptus indurata,Magnesite mallee shrublands,Mallee shrublands,Greenstone,tree,RS,,,,,,,
Beyeria sp. Ravensthorpe,Magnesite mallee shrublands,Mallee shrublands,Greenstone,shrub,OSS,,,,,,,
Lissanthe pleurandroides,Magnesite mallee shrublands,Mallee shrublands,Greenstone,shrub,OSS?,,,,,,,
Melaleuca haplantha,Magnesite mallee shrublands,Mallee shrublands,Greenstone,shrub,OSC?,,,,,,,
Pulenaea calycina subsp. proxaena,Magnesite mallee shrublands,Mallee shrublands,Greenstone,shrub,OSS,,,,,,,
Acacia pinguiculosa,Allocasuarina shrublands,Shrubland,Greenstone,shrub,OSS,,,,,,,
Allocasuarina acutivalvis subsp. acutivalvis,Allocasuarina shrublands,Shrubland,Greenstone,shrub,OSC,,,,,,,
Allocasuarina campestris,Allocasuarina shrublands,Shrubland,Greenstone,shrub,OSC,,,,,,,
Allocasuarina huegeliana,Allocasuarina shrublands,Shrubland,Greenstone,shrub,OSC,medium to slow,,,,,,
Allocasuarina hystericosa,Allocasuarina shrublands,Shrubland,Greenstone,shrub,RS,,,,,,,
Allocasuarina spinosissima,Allocasuarina shrublands,Shrubland,Greenstone,shrub,OSC ?,,,,,,,
Allocasuarina scleroclada,Allocasuarina shrublands,Shrubland,Greenstone,shrub,RS,,,,,,,
Calothamnus quadrifidus,Allocasuarina shrublands,Shrubland,Greenstone,shrub,RS/OSC,,,,,,,
Hakea verrucosa,Allocasuarina shrublands,Shrubland,Greenstone,shrub,OSC,,,,,,,
Kunzea cinncinata,Allocasuarina shrublands,Shrubland,Greenstone,shrub,,,,,,,,
Kunzea strigosa,Allocasuarina shrublands,Shrubland,Greenstone,shrub,,,,,,,,
Leptospermum maxwellii,Allocasuarina shrublands,Shrubland,Greenstone,shrub,,,,,,,,
Melaleuca hamata,Allocasuarina shrublands,Shrubland,Greenstone,shrub,RS,,,,,,,
Verticordia oxylepis,Allocasuarina shrublands,Shrubland,Greenstone,shrub,OSS,,,,,,,
Santalum acuminatum,Allocasuarina shrublands,Shrubland,Greenstone,shrub,OSS,slow,,,,,,
Banksia laevigata subsp. laevigata,Melaleuca thapsina thicket,Melaleuca thicket,Greenstone,shrub,OSC,,,,,,,
Beaufortia orbifolia,Melaleuca thapsina thicket,Melaleuca thicket,Greenstone,shrub,OSC,,,,,,,
Melaleuca thapsina,Melaleuca thapsina thicket,Melaleuca thicket,Greenstone,shrub,OSC,,,,,,,
Allocasuarina acutivalvis subsp. acutivalvis,Banksia cirsioides heath,Heath,Greenstone,shrub,OSC,,,,,,,
Banksia cirsiodes,Banksia cirsioides heath,Heath,Greenstone,shrub,OSC,medium to slow,,,,,,
Banksia erythrocaephala,Banksia cirsioides heath,Heath,Greenstone,shrub,RS,,,,,,,
Banksia lemanniana,Banksia cirsioides heath,Heath,Greenstone,shrub,OSC,slow,,,,,,
Beaufortia schaueri,Banksia cirsioides heath,Heath,Greenstone,shrub,OSC,medium to slow,,,,,,
Hakea pandanicarpa subsp. crassifolia,Banksia cirsioides heath,Heath,Greenstone,shrub,OSC,slow,,,,,,
Acacia ophiolithica,Heath on Komatiite PEC,Heath,Greenstone,shrub,OSS,,,,,,,
Beyeria cockertonii,Heath on Komatiite PEC,Heath,Greenstone,shrub,OSS,,,,,,,
Calothamnus quadrifidus,Heath on Komatiite PEC,Heath,Greenstone,shrub,RS /OSC,,,,,,,
Hakea verrucosa,Heath on Komatiite PEC,Heath,Greenstone,shrub,OSC,,,,,,,
Melaleuca cliffortioides,Heath on Komatiite PEC,Heath,Greenstone,shrub,RS,,,,,,,
Grevillea fastigiata,Heath on Komatiite PEC,Heath,Greenstone,shrub,OSS,,,,,,,
Grevillea oligantha,Heath on Komatiite PEC,Heath,Greenstone,shrub,OSS,,,,,,,
Philotheca gardneri subsp. Ravesnthorpe,Heath on Komatiite PEC,Heath,Greenstone,shrub,,,,,,,,
Eucalyptus urna,Lake Johnson woodlands,Woodlands,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus platypus subsp. congregata,Lake Johnson woodlands,Woodlands,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus longicornis,Lake Johnson woodlands,Woodlands,Yilgarn East,tree,RSep,,,,,,,
Eucalyptus melanoxylon,Lake Johnson woodlands,Woodlands,Yilgarn East,tree,RSep,,,,,,,
Eucalyptus salmonophloia,Lake Johnson woodlands,Woodlands,Yilgarn East,tree,RS ep/OSC,slow,,,,,,
Eucalyptus sp. dendrosheath,Lake Johnson woodlands,Woodlands,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus ravida,Lake Johnson woodlands,Woodlands,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus salubris,Lake Johnson woodlands,Woodlands,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus transcontinentalis,Lake Johnson woodlands,Woodlands,Yilgarn East,tree,RSep,,,,,,,
Acacia spp Yilgarn East,Lake Johnson woodlands,Woodlands,Yilgarn East,shrub,,,,,,,,
Davieisa nematophylla,Lake Johnson woodlands,Woodlands,Yilgarn East,shrub,,,,,,,,
Eremophila spp,Lake Johnson woodlands,Woodlands,Yilgarn East,shrub,,,,,,,,
Melaleuca pauperiflora,Lake Johnson woodlands,Woodlands,Yilgarn East,shrub,OSC,,,,,,,
Melaleuca halmaturorum,Lake Johnson woodlands,Woodlands,Yilgarn East,shrub,,,,,,,,
Melaleuca sheathiana,Lake Johnson woodlands,Woodlands,Yilgarn East,shrub,OSC,,,,,,,
Melaleuca spp,Lake Johnson woodlands,Woodlands,Yilgarn East,shrub,,,,,,,,
Eucalyptus occidentalis,Upland yate woodland,Woodlands,Yilgarn East,tree,RSep/OSC,,,,,,,
Eucalyptus alipes,Salt Lakes fringing woodland,Woodlands,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus salicola,Salt Lakes fringing woodland,Woodlands,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus kumarlensis,Salt Lakes fringing woodland,Woodlands,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus angustissima,Salt Lakes fringing woodland,Woodlands,Yilgarn East,tree,RS,,,,,,,
Atriplex spp,Salt Lakes fringing woodland,Woodlands,Yilgarn East,shrub,,,,,,,,
Frankenia spp,Salt Lakes fringing woodland,Woodlands,Yilgarn East,shrub,,,,,,,,
Eucalyptus extensa,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus longicornis,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,tree,RS ep,,,,,,,
Eucalyptus loxophleba,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,tree,RS,,,,,,,
Eucalyptus loxophleba x Eucalyptus spathulata,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,tree,,,,,,,,
Eucalyptus occidentalis,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,tree,RS ep/OSC,,,,,,,
Eucalyptus phenax,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,tree,RS ep,,,,,,,
Eucalyptus platypus subsp. platypus,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus salmonophloia,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,tree,RS ep/OSC,slow,,,,,,
Eucalyptus spathulata,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus urna,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus wandoo,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,tree,RS ep/OSC,,,,,,,
Eucalyptus sp mallet,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus sp. aff uncinata,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,tree,RS,,,,,,,
Eucalyptus oleosa,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,tree,RS,,,,,,,
Eucalyptus occidentalis x Eucalyptus platypus,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,tree,OSC,slow,,,,,,
Acacia spp Yilgarn East,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,shrub,,,,,,,,
Choretrum glomeratum,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,shrub,,,,,,,,
Grevillea spp,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,shrub,,,,,,,,
Hakea commutata,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,shrub,OSC,,,,,,,
Hakea preissii,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,shrub,OSC,,,,,,,
Eremophila spp,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,shrub,,,,,,,,
Melaleuca acuminata,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,shrub,RS,,,,,,,
Melaleuca hamata,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,shrub,RS,,,,,,,
Melaleuca spp,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,shrub,,,,,,,,
Santalum acuminatum,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,shrub,OSS,slow,,,,,,
Senna artesmoides subsp. filifolia,"Transitional Woodlands (Eucalyptus salmonophloia, E. spathulata, E. urna)",Woodland / Low forest,Yilgarn East,shrub,OSS,,,,,,,
Eucalyptus annulata,Yilgarn East moort and mallet woodlands,Mallet / moort woodland,Yilgarn East,tree,RS,,,,,,,
Eucalyptus calyerup,Yilgarn East moort and mallet woodlands,Mallet / moort woodland,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus densa,Yilgarn East moort and mallet woodlands,Mallet / moort woodland,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus platypus subsp. platypus,Yilgarn East moort and mallet woodlands,Mallet / moort woodland,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus spathulata,Yilgarn East moort and mallet woodlands,Mallet / moort woodland,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus platypus subsp. congregata,Yilgarn East moort and mallet woodlands,Mallet / moort woodland,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus forrestiana,Yilgarn East moort and mallet woodlands,Mallet / moort woodland,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus dolichoryncha,Yilgarn East moort and mallet woodlands,Mallet / moort woodland,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus stoatei,Yilgarn East moort and mallet woodlands,Mallet / moort woodland,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus salmonophloia,Yilgarn East moort and mallet woodlands,Mallet / moort woodland,Yilgarn East,tree,RS ep/OSC,slow,,,,,,
Eucalyptus urna,Yilgarn East moort and mallet woodlands,Mallet / moort woodland,Yilgarn East,tree,OSC,slow,,,,,,
Acacia spp Yilgarn East,Yilgarn East moort and mallet woodlands,Mallet / moort woodland,Yilgarn East,shrub,,,,,,,,
Melaleuca undulata,Yilgarn East moort and mallet woodlands,Mallet / moort woodland,Yilgarn East,shrub,OSC,,,,,,,
Callitris preissii,Peak Charles / Eleanora Granite woodland /shrubland,Woodland/shrubland,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus salmonophloia,Peak Charles / Eleanora Granite woodland /shrubland,Woodland/shrubland,Yilgarn East,tree,Rsep/OSC,slow,,,,,,
Acacia incongesta,Peak Charles / Eleanora Granite woodland /shrubland,Woodland/shrubland,Yilgarn East,shrub,,,,,,,,
Allocasuarina campestris,Peak Charles / Eleanora Granite woodland /shrubland,Woodland/shrubland,Yilgarn East,shrub,OSC,,,,,,,
Anthocercis genistoides,Peak Charles / Eleanora Granite woodland /shrubland,Woodland/shrubland,Yilgarn East,shrub,OSS,rapid,,,,,,
Calothamnus quadrifidus,Peak Charles / Eleanora Granite woodland /shrubland,Woodland/shrubland,Yilgarn East,shrub,RS/OSC,,,,,,,
Dodonaea pinifolia,Peak Charles / Eleanora Granite woodland /shrubland,Woodland/shrubland,Yilgarn East,shrub,RS,,,,,,,
Drummondita hassellii,Peak Charles / Eleanora Granite woodland /shrubland,Woodland/shrubland,Yilgarn East,shrub,OSS,,,,,,,
Exocarpus sparteus,Peak Charles / Eleanora Granite woodland /shrubland,Woodland/shrubland,Yilgarn East,shrub,OSS,,,,,,,
Gastrolobium acrocaroli,Peak Charles / Eleanora Granite woodland /shrubland,Woodland/shrubland,Yilgarn East,shrub,,,,,,,,
Labichea stellata,Peak Charles / Eleanora Granite woodland /shrubland,Woodland/shrubland,Yilgarn East,shrub,,,,,,,,
Melaleuca fulgens,Peak Charles / Eleanora Granite woodland /shrubland,Woodland/shrubland,Yilgarn East,shrub,RS?,,,,,,,
Santalum acuminatum,Peak Charles / Eleanora Granite woodland /shrubland,Woodland/shrubland,Yilgarn East,shrub,OSS,slow,,,,,,
Santalum spicatum,Peak Charles / Eleanora Granite woodland /shrubland,Woodland/shrubland,Yilgarn East,shrub,OSS,slow,,,,,,
Allocasuarina huegeliana,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,tree,OSC,slow,,,,,,
Callitris columellaris,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,tree,OSC,slow?,,,,,,
Callitris glaucophylla,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,tree,OSC,slow?,,,,,,
Eucalyptus diptera,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus dundasii,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus eremophila,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,tree,RS,slow,,,,,,
Eucalyptus extensa,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus georgei subsp. georgei,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus livida,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,tree,RS,,,,,,,
Eucalyptus longicornis,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,tree,RS ep,,,,,,,
Eucalyptus melanoxylon,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,tree,RS ep,,,,,,,
Eucalyptus oleosa,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,tree,RS ep,,,,,,,
Eucalypyus protensa,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus ravida,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus rhomboidea,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus salubris,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus salmonophloia,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,tree,RS ep/OSC,slow,,,,,,
Eucalyptus sp. dendrosheath,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus tenuis,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus transcontinentalis,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,tree,RS ep,,,,,,,
Eucalyptus urna,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,tree,OSC,slow,,,,,,
Eucalyptus incerata,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,tree,RS,,,,,,,
Eucalyptus cerasiformis,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,tree,RS,,,,,,,
Acacia acuminata,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,shrub,OSS,medium,,,,,,
Acacia duriuscula,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,shrub,,,,,,,,
Allocasuarina acutivalvis,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,shrub,OSC,medium to slow,,,,,,
Allocasuarina campestris,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,shrub,OSC,,,,,,,
Allocasuarina helmsii,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,shrub,,,,,,,,
Allocasuarina globosa,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,shrub,,,,,,,,
Calothamnus asper,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,shrub,,,,,,,,
Calothamnus quadrifidus,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,shrub,RS/OSC,,,,,,,
Davieisa argillaceae,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,shrub,,,,,,,,
Dodanaea stenozyga,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,shrub,,,,,,,,
Exocarpus aphyllus,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,shrub,OSS,,,,,,,
Grevillea acuaria,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,shrub,OSS,,,,,,,
Grevillea huegellii,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,shrub,RS/OSS,,,,,,,
Grevillea oncogyne,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,shrub,OSS,,,,,,,
Grevillea pectinata,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,shrub,RS/OSS,,,,,,,
Hakea commutata,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,shrub,OSC,,,,,,,
Hakea multilineata,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,shrub,OSC,medium to slow,,,,,,
Hakea scoparia,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,shrub,OSC,rapid to medium,,,,,,
Melaleuca cordata,Bremer Range PEC - Woodland / Allocasuarina thickets on greenstone ridges,Woodland/ thickets,Yilgarn East,shrub,RS/OSC,,,,,,,
