species,SLA(mm2/mg),Height (cm),Leaf Size (mm2),Seed mass (mg),"GrowthForm 1=tree; 2=shrub; 3=subshrub; 4=forb; 5=grass; 8=fern; 10=climber; 11=orchid, epiphyte.","Seed Dispersal syndrome 1=unassisted; 2=ant (elaiosome); 3=vertebrate ingestion (fleshy); 4=adhesion (hooks etc); 5=wind (wing, pappus); 6=ballistic+ant; 7=ba llistic; 8=vertebrate.",plant_height_duplicate,seed_mass_duplicate,Height (cm)_filtered,Seed mass (mg)_filtered
Claoxylon australe,19.7,400,2430,10,1,3,NA,NA,400,10
Doryanthes excelsa,NA,400,66670,43.1,4,1,NA,NA,400,43.1
Elaeodendron australe,9.21,400,563,462.9,2,3,NA,NA,400,462.9
Eucalyptus obtusiflora,2.74,400,12000,2.2,1,1,Duplicate of CPBR_2002_599,NA,NA,2.2
Eupomatia laurina,13.33,400,2407,8.2,2,0,NA,NA,400,8.2
Leptospermum attenuatum,5.99,400,19,0.2,2,1,Duplicate of Hughes_1992_257,NA,NA,0.2
Leptospermum flavescens,NA,400,292,0.1,2,1,NA,NA,400,0.1
Persoonia pinifolia,5.73,400,107,174.4,2,3,Duplicate of Barlow_1981_3337,NA,NA,174.4
Psychotria loniceroides,13.36,400,2130,12,2,3,NA,NA,400,12
Pultenaea flexilis,8.39,400,27,5.9,2,2,NA,NA,400,5.9
Synoum glandulosum,13.1,400,NA,226.9,2,3,NA,NA,400,226.9
Telopea speciosissima,5.88,400,2500,64.9,2,5,Duplicate of Hughes_1992_344,NA,NA,64.9
Trochocarpa laurina,9.85,400,833,28.2,2,3,NA,NA,400,28.2
Wilkiea heugliana,9.84,400,3000,169.5,2,3,Duplicate of Hughes_1992_374,NA,NA,169.5
Passiflora edulis,21.6,500,NA,11.5,10,3,NA,NA,500,11.5
Persoonia levis,4.86,500,2920,225.9,2,3,Duplicate of Barlow_1981_3305,NA,NA,225.9
Persoonia linearis,6.55,500,120,179.3,2,3,Duplicate of Barlow_1981_3306,NA,NA,179.3
Pittosporum undulatum,10.95,500,2410,5.9,1,8,NA,NA,500,5.9
Polyosma cunninghamii,16.21,500,1875,NA,1,3,NA,NA,500,NA
Rapanea howittiana,9.9,500,1500,NA,1,3,NA,NA,500,NA
Glochidion ferdinandi,11.87,600,1070,15.8,1,1,Duplicate of Hughes_1992_523,NA,NA,15.8
