source,site,date,plotid,plotid2,habitat,vegfamily,veggenus,vegspecies,fp,gf,po,fppo,gfpo,vrep,bugcode,buggroup,order,suborder,superfamily,family,subfamily,tribe,genus,species,size,bugnat,pol,her,hexu.a,hfol.a,hgram.a,hnec.a,hpal.a,hgran.a,hxyl.a,hfun.a,hexu.is,hfol.is,hgram.is,hnec.is,hpal.is,hgran.is,hxyl.is,hfun.is,pre,pre.a,pre.is,par,det,det.a,det.is,ela,collby,idby
sn,Royal Park,20/1/15,roy.g8,Grass12,Grass,Poaceae,Themeda,Themeda triandra,Midstorey,Graminoid,Indigenous,MidInd,GraInd,4,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Westgate Park,7/3/15,wes.g2,Grass15,Grass,Poaceae,Themeda,Themeda triandra,Midstorey,Graminoid,Indigenous,MidInd,GraInd,12,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Fitzroy-Treasury Gardens,18/1/15,fit.m4,Midstorey09,Midstorey,Asparagaceae,Asparagus ,Asparagus aethiopicus,Midstorey,Lilioid,Nonnative,MidNon,LilNon,1,hym058,Bees,Hymenoptera,Apocrita,Apoidea,Halticidae,Halictinae,,Homalictus,Homalictus sphecodoides,4,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luis Mata,Ken Walker
sn,Royal Park,14/1/15,roy.g7,Grass11,Grass,Xanthorrhoeaceae,Lomandra,Lomandra longifolia,Midstorey,Lilioid,Indigenous,MidInd,LilInd,7,hym058,Bees,Hymenoptera,Apocrita,Apoidea,Halticidae,Halictinae,,Homalictus,Homalictus sphecodoides,4,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luis Mata,Ken Walker
sn,Royal Park,16/2/15,roy.g2,Grass06,Grass,Poaceae,Poa,Poa labillardierei,Midstorey,Graminoid,Indigenous,MidInd,GraInd,11,hym058,Bees,Hymenoptera,Apocrita,Apoidea,Halticidae,Halictinae,,Homalictus,Homalictus sphecodoides,4,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luis Mata,Ken Walker
sn,Westgate Park,24/1/15,wes.g2,Grass15,Grass,Poaceae,Rytidosperma ,Rytidosperma sp.,Midstorey,Graminoid,Indigenous,MidInd,GraInd,16,hym058,Bees,Hymenoptera,Apocrita,Apoidea,Halticidae,Halictinae,,Homalictus,Homalictus sphecodoides,4,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luis Mata,Ken Walker
sn,Westgate Park,17/2/15,wes.g3,Grass16,Grass,Poaceae,Rytidosperma ,Rytidosperma sp.,Midstorey,Graminoid,Indigenous,MidInd,GraInd,20,hym058,Bees,Hymenoptera,Apocrita,Apoidea,Halticidae,Halictinae,,Homalictus,Homalictus sphecodoides,4,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luis Mata,Ken Walker
sn,Pleasance Gardens,9/2/15,ple.t1,Tree17,Tree,Anacardiaceae,Schinus,Schinus molle,Tree canopy,Tree,Nonnative,CanNon,TreNon,5,hym058,Bees,Hymenoptera,Apocrita,Apoidea,Halticidae,Halictinae,,Homalictus,Homalictus sphecodoides,4,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luis Mata,Ken Walker
sn,Royal Park,16/1/15,roy.g4,Grass08,Grass,Poaceae,Themeda,Themeda triandra,Midstorey,Graminoid,Indigenous,MidInd,GraInd,1,hym058,Bees,Hymenoptera,Apocrita,Apoidea,Halticidae,Halictinae,,Homalictus,Homalictus sphecodoides,4,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luis Mata,Ken Walker
sn,Westgate Park,17/2/15,wes.g2,Grass15,Grass,Poaceae,Themeda,Themeda triandra,Midstorey,Graminoid,Indigenous,MidInd,GraInd,11,hym058,Bees,Hymenoptera,Apocrita,Apoidea,Halticidae,Halictinae,,Homalictus,Homalictus sphecodoides,4,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luis Mata,Ken Walker
