year,remnant,site,quadrat,yrs,yrsq,family,genus,species,species.for.tree,count,mean.log.seed.mass,rem.scale.max.sqrt.height,rem.scale.mean.log.sla
2011,ben,1,7,2011.ben.1,2011.ben.1.7,Asteraceae,Ceratogyne,Ceratogyne.obionoides,Ceratogyne_obionoides,2,-1.21116641,12.50966291,3.411716301
2011,ben,1,7,2011.ben.1,2011.ben.1.7,Haloragaceae,Gonocarpus,Gonocarpus.nodulosus,Gonocarpus_nodulosus,16,-0.993117782,13.31319964,3.22396686
2011,ben,1,7,2011.ben.1,2011.ben.1.7,Poaceae,Pentameris,Pentameris.airoides,Pentameris_airoides,3,-2.979790344,10.85365369,3.301269126
2011,ben,1,7,2011.ben.1,2011.ben.1.7,Asteraceae,Podolepis,Podolepis.canescens,Podolepis_canescens,6,-2.095968474,16.65781958,3.075599177
2011,ben,1,7,2011.ben.1,2011.ben.1.7,Asteraceae,Podotheca,Podotheca.gnaphalioides,Podotheca_gnaphalioides,5,-1.39503227,13.64176116,3.296509953
2011,ben,1,7,2011.ben.1,2011.ben.1.7,Orchidaceae,Prasophyllum,Prasophyllum.gracile,Prasophyllum_gracile,1,-5.381698975,9.894427191,3.771441055
2011,ben,1,7,2011.ben.1,2011.ben.1.7,Amaranthaceae,Ptilotus,Ptilotus.spathulatus,Ptilotus_spathulatus,1,0.055707711,3.278038008,3.178083321
2011,ben,1,7,2011.ben.1,2011.ben.1.7,Asteraceae,Rhodanthe,Rhodanthe.citrina,Rhodanthe_citrina,1,-3.543634034,13.98099653,3.663082704
2011,ben,1,7,2011.ben.1,2011.ben.1.7,Araliaceae,Trachymene,Trachymene.cyanopetala,Trachymene_cyanopetala,16,0.886367463,11.19141061,3.444546993
2011,ben,1,7,2011.ben.1,2011.ben.1.7,Campanulaceae,Wahlenbergia,Wahlenbergia.gracilenta,Wahlenbergia_gracilenta,1,-4.856945492,15.1491758,3.60655901
2011,ben,1,7,2011.ben.1,2011.ben.1.7,Asteraceae,Waitzia,Waitzia.acuminata,Waitzia_acuminata,8,-2.509359171,17.62090321,3.123704477
2011,ben,1,8,2011.ben.1,2011.ben.1.8,Poaceae,Austrostipa,Austrostipa.elegantissima,Austrostipa_elegantissima,5,0.442105577,14.2294459,2.886838198
2011,ben,1,8,2011.ben.1,2011.ben.1.8,Haloragaceae,Gonocarpus,Gonocarpus.nodulosus,Gonocarpus_nodulosus,13,-0.993117782,13.31319964,3.22396686
2011,ben,1,8,2011.ben.1,2011.ben.1.8,Araliaceae,Hydrocotyle,Hydrocotyle.pilifera,Hydrocotyle_pilifera,1,-1.673765272,8.616205972,3.942557089
2011,ben,1,8,2011.ben.1,2011.ben.1.8,Campanulaceae,Lobelia,Lobelia.gibbosa,Lobelia_gibbosa,3,-4.605170186,17.21207815,3.695101846
2011,ben,1,8,2011.ben.1,2011.ben.1.8,Asteraceae,Podotheca,Podotheca.angustifolia,Podotheca_angustifolia,2,-1.523260216,10.02494351,3.108208752
2011,ben,1,8,2011.ben.1,2011.ben.1.8,Orchidaceae,Prasophyllum,Prasophyllum.gracile,Prasophyllum_gracile,1,-5.381698975,9.894427191,3.771441055
2011,ben,1,8,2011.ben.1,2011.ben.1.8,Cyperaceae,Schoenus,Schoenus.nanus,Schoenus_nanus,3,-2.504848424,8.691827115,3.715453283
2011,ben,1,8,2011.ben.1,2011.ben.1.8,Araliaceae,Trachymene,Trachymene.cyanopetala,Trachymene_cyanopetala,17,0.886367463,11.19141061,3.444546993
2011,ben,1,8,2011.ben.1,2011.ben.1.8,Campanulaceae,Wahlenbergia,Wahlenbergia.gracilenta,Wahlenbergia_gracilenta,3,-4.856945492,15.1491758,3.60655901
2011,ben,1,8,2011.ben.1,2011.ben.1.8,Asteraceae,Waitzia,Waitzia.acuminata,Waitzia_acuminata,2,-2.509359171,17.62090321,3.123704477
2011,ben,1,9,2011.ben.1,2011.ben.1.9,Asteraceae,Brachyscome,Brachyscome.iberidifolia,Brachyscome_iberidifolia,2,-2.599345287,8.949556668,3.368078351
2011,ben,1,9,2011.ben.1,2011.ben.1.9,Asteraceae,Ceratogyne,Ceratogyne.obionoides,Ceratogyne_obionoides,4,-1.21116641,12.50966291,3.411716301
2011,ben,1,9,2011.ben.1,2011.ben.1.9,Haloragaceae,Gonocarpus,Gonocarpus.nodulosus,Gonocarpus_nodulosus,17,-0.993117782,13.31319964,3.22396686
2011,ben,1,9,2011.ben.1,2011.ben.1.9,Araliaceae,Hydrocotyle,Hydrocotyle.pilifera,Hydrocotyle_pilifera,3,-1.673765272,8.616205972,3.942557089
2011,ben,1,9,2011.ben.1,2011.ben.1.9,Asteraceae,Lawrencella,Lawrencella.rosea,Lawrencella_rosea,2,0.245501996,13.96424004,3.23285204
2011,ben,1,9,2011.ben.1,2011.ben.1.9,Campanulaceae,Lobelia,Lobelia.gibbosa,Lobelia_gibbosa,5,-4.605170186,17.21207815,3.695101846
2011,ben,1,9,2011.ben.1,2011.ben.1.9,Poaceae,Neurachne,Neurachne.alopecuroidea,Neurachne_alopecuroidea,5,NA,12.64911064,2.350132884
2011,ben,1,9,2011.ben.1,2011.ben.1.9,Asteraceae,Podotheca,Podotheca.gnaphalioides,Podotheca_gnaphalioides,2,-1.39503227,13.64176116,3.296509953
2011,ben,1,9,2011.ben.1,2011.ben.1.9,Amaranthaceae,Ptilotus,Ptilotus.sp,Ptilotus_halophilus,2,0.055707711,8.832468511,2.765471319
2011,ben,1,9,2011.ben.1,2011.ben.1.9,Asteraceae,Rhodanthe,Rhodanthe.citrina,Rhodanthe_citrina,1,-3.543634034,13.98099653,3.663082704
2011,ben,1,9,2011.ben.1,2011.ben.1.9,Asparagaceae,Thysanotus,Thysanotus.rectantherus,Thysanotus_rectantherus,1,-0.950087609,11.00819963,3.510773357
2011,ben,1,9,2011.ben.1,2011.ben.1.9,Araliaceae,Trachymene,Trachymene.cyanopetala,Trachymene_cyanopetala,2,0.886367463,11.19141061,3.444546993
2011,ben,1,9,2011.ben.1,2011.ben.1.9,Araliaceae,Trachymene,Trachymene.ornata,Trachymene_ornata,2,0.519811133,14.61853256,3.562893318
2011,ben,1,9,2011.ben.1,2011.ben.1.9,Asteraceae,Waitzia,Waitzia.acuminata,Waitzia_acuminata,6,-2.509359171,17.62090321,3.123704477
2011,ben,1,10,2011.ben.1,2011.ben.1.10,Poaceae,Austrostipa,Austrostipa.elegantissima,Austrostipa_elegantissima,3,0.442105577,14.2294459,2.886838198
