text,category,taxon
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus bacalusius
"Phillip G. Kodela (ed. 1 July 2019, 8 August 2022)",Contributor,Hibiscus bacalusius
Todd G.B. McLay,Author,Hibiscus brachysiphonius
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus brachysiphonius
T.L. Lally,Contributor,Hibiscus brachysiphonius
L.A. Craven,Author,Hibiscus brennanii
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus brennanii
Todd G.B. McLay,Author,Hibiscus burtonii
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus burtonii
T.L. Lally,Contributor,Hibiscus burtonii
F.D. Wilson,Author,Hibiscus byrnesii
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus byrnesii
"Phillip G. Kodela (ed. 1 July 2019, 8 August 2022)",Contributor,Hibiscus byrnesii
"L.S. Juswara, L.A. Craven",Author,Hibiscus calcicola
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus calcicola
A.J. Perkins,Author,Hibiscus campanulatus
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus campanulatus
Todd G.B. McLay,Author,Hibiscus chrysinocolla
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus chrysinocolla
Todd G.B. McLay,Author,Hibiscus cravenii
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus cravenii
"P.G. Kodela (conservation status, references, etc.; 28 May 2019); T.L. Lally",Contributor,Hibiscus cravenii
F.D. Wilson,Author,Hibiscus divaricatus
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus divaricatus
Todd G.B. McLay,Author,Hibiscus diversifolius
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus diversifolius
T.L. Lally,Contributor,Hibiscus diversifolius
L.A. Craven,Author,Hibiscus fallax
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus fallax
"L.S. Juswara, L.A. Craven",Author,Hibiscus fluvialis
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus fluvialis
"F.D. Wilson, L.A. Craven",Author,Hibiscus forsteri
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus forsteri
Todd G.B. McLay,Author,Hibiscus fryxellii var. fryxellii
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus fryxellii var. fryxellii
L.A. Craven,Author,Hibiscus fryxellii var. mollis
"T.G.B. McLay, P.G. Kodela",Editor,Hibiscus fryxellii var. mollis
Todd G.B. McLay,Author,Hibiscus fryxellii
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus fryxellii
Todd G.B. McLay,Author,Hibiscus goldsworthii
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus goldsworthii
T.L. Lally,Contributor,Hibiscus goldsworthii
L.A. Craven,Author,Hibiscus inimicus
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus inimicus
"P.S. Green, P.G. Kodela",Author,Hibiscus insularis
P.G. Kodela,Editor,Hibiscus insularis
L.A. Craven,Author,Hibiscus kenneallyi
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus kenneallyi
L.A. Craven,Author,Hibiscus kirstyae
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus kirstyae
Todd G.B. McLay,Author,Hibiscus krichauffianus
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus krichauffianus
D.E. Albrecht,Contributor,Hibiscus krichauffianus
Todd G.B. McLay,Author,Hibiscus lobatus
P.G. Kodela,Editor,Hibiscus lobatus
T.L. Lally,Contributor,Hibiscus lobatus
L.A. Craven,Author,Hibiscus marenitensis
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus marenitensis
Todd G.B. McLay,Author,Hibiscus menzeliae
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus menzeliae
T.L. Lally,Contributor,Hibiscus menzeliae
Todd G.B. McLay,Author,Hibiscus meraukensis
P.G. Kodela,Editor,Hibiscus meraukensis
T.L. Lally & L.A. Craven,Contributor,Hibiscus meraukensis
Todd G.B. McLay,Author,Hibiscus minutibracteolus
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus minutibracteolus
"T.L. Lally, L.A. Craven",Contributor,Hibiscus minutibracteolus
L.S. Juswara & L.A. Craven,Author,Hibiscus multilobatus
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus multilobatus
Todd G.B. McLay,Author,Hibiscus mutabilis
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus mutabilis
Todd G.B. McLay,Author,Hibiscus normanii
P.G. Kodela,Editor,Hibiscus normanii
T.L. Lally,Contributor,Hibiscus normanii
"L.S. Juswara, L.A. Craven",Author,Hibiscus panduriformis
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus panduriformis
"P.S. Green, P.G. Kodela",Author,Hibiscus pedunculatus
P.G. Kodela,Editor,Hibiscus pedunculatus
Todd G.B. McLay,Author,Hibiscus pentaphyllus
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus pentaphyllus
Todd G.B. McLay,Author,Hibiscus peralbus
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus peralbus
L.A. Craven,Author,Hibiscus petherickii
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus petherickii
Todd G.B. McLay,Author,Hibiscus phyllochlaenus
P.G. Kodela,Editor,Hibiscus phyllochlaenus
T.L. Lally,Contributor,Hibiscus phyllochlaenus
"L.A. Craven, B.F. Pfeil",Author,Hibiscus propulsator
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus propulsator
L.A. Craven,Author,Hibiscus reflexus
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus reflexus
L.A. Craven,Author,Hibiscus riceae
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus riceae
L.A. Craven,Author,Hibiscus richardsonii
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus richardsonii
Todd G.B. McLay,Author,Hibiscus sabdariffa
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus sabdariffa
T.L. Lally,Contributor,Hibiscus sabdariffa
"L.A. Craven, R.L. Barrett, M.D. Barrett",Author,Hibiscus sankowskyorum
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus sankowskyorum
L.A. Craven,Author,Hibiscus saponarius
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus saponarius
Todd G.B. McLay,Author,Hibiscus setulosus
P.G. Kodela,Editor,Hibiscus setulosus
T.L. Lally,Contributor,Hibiscus setulosus
"F. Wilson, T.L. Lally.",Author,Hibiscus splendens
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus splendens
L.A. Craven,Author,Hibiscus squarrulosus
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus squarrulosus
L.A. Craven,Author,Hibiscus stewartii
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus stewartii
Todd G.B. McLay,Author,Hibiscus superbus
P.G. Kodela,Editor,Hibiscus superbus
T.L. Lally,Contributor,Hibiscus superbus
"F.D. Wilson, T.L. Lally",Author,Hibiscus symonii
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus symonii
L.A. Craven,Author,Hibiscus thegaleus
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus thegaleus
"P.S. Green, T.G.B. McLay, P.G. Kodela",Author,Hibiscus tiliaceus
"P.G. Kodela, T.G.B. McLay",Editor,Hibiscus tiliaceus
"John R. Busby (editorial assistance, January 2021); P.G. Kodela (ed. & updates, October 2021, August 2022); Todd G.B. McLay (ed. & updates, November 2021)",Contributor,Hibiscus tiliaceus
NA,Acknowledgements,Hibiscus tiliaceus
"L.A. Craven, R.L. Barrett, M.D. Barrett",Author,Hibiscus townsvillensis
"Todd McLay, P.G. Kodela",Editor,Hibiscus townsvillensis
L.A. Craven,Author,Hibiscus tridactylites
"Todd G.B McLay, P.G. Kodela",Editor,Hibiscus tridactylites
L.A. Craven,Author,Hibiscus verdcourtii
"Todd G.B. McLay, P.G. Kodela",Editor,Hibiscus verdcourtii
Todd G.B. McLay,Author,Hibiscus vitifolius
P.G. Kodela,Editor,Hibiscus vitifolius
T.R. Lally,Contributor,Hibiscus vitifolius
Todd G.B. McLay,Author,Hibiscus zonatus
P.G. Kodela,Editor,Hibiscus zonatus
"T.L. Lally, L.A. Craven",Contributor,Hibiscus zonatus
P.H.Weston,Author,Hicksbeachia pilosa
P.H.Weston,Author,Hicksbeachia pinnatifolia
P.G. Kodela,Author,Hieracium murorum
P.G. Kodela,Editor,Hieracium murorum
"C.M.Weiller, S.W.L.Jacobs, I.R.Thompson",Author,Hierochloe fraseri
"C.M.Weiller, S.W.L.Jacobs, I.R.Thompson",Author,Hierochloe rariflora
"C.M.Weiller, S.W.L.Jacobs, I.R.Thompson",Author,Hierochloe redolens
"C.M.Weiller, S.W.L.Jacobs, I.R.Thompson",Author,Hierochloe submutica
L.W.Jessup,Author,Hippocratea barbata
H.J.Hewson,Author,Hirschfeldia incana
"P.J. Brownsey, P.G. Kodela",Author,Histiopteris incisa
P.G. Kodela,Editor,Histiopteris incisa
"P.G. Kodela (tentative edits, 21 May 2022)",Contributor,Histiopteris incisa
G.J.Keighery,Author,Hodgsoniola junciformis
"C.M.Weiller, S.W.L.Jacobs, I.R.Thompson",Author,Holcus annuus
"C.M.Weiller, S.W.L.Jacobs, I.R.Thompson",Author,Holcus lanatus
"C.M.Weiller, S.W.L.Jacobs, I.R.Thompson",Author,Holcus mollis
"C.M.Weiller, S.W.L.Jacobs, I.R.Thompson",Author,Holcus setiger
B.P.M.Hyland,Author,Hollandaea riparia
B.P.M.Hyland,Author,Hollandaea sayeriana
P.G. Kodela,Author,Holosteum umbellatum
P.G. Kodela,Editor,Holosteum umbellatum
L.W.Jessup,Author,Homalium alnifolium
L.W.Jessup,Author,Homalium brachybotrys
L.W.Jessup,Author,Homalium circumpinnatum
D.A.Cooke,Author,Homoglossum watsonium
"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss",Author,Hopkinsia adscendens
Phillip G. Kodela,Editor,Hopkinsia adscendens
"B.G. Briggs (final submission June 2018); P.E. Bolton (ed. June 2018); P.G. Kodela (ed. June 2018, August 2018).",Contributor,Hopkinsia adscendens
"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss",Author,Hopkinsia anoectocolea
Phillip G. Kodela,Editor,Hopkinsia anoectocolea
"B.G. Briggs (final submission June 2018); P.E. Bolton (ed. June 2018); P.G. Kodela (ed. June 2018, August 2018).",Contributor,Hopkinsia anoectocolea
"M.J.Henwood, C.M.Weiller",Author,Hordeum distichon
"M.J. Henwood, C.M. Weiller",Author,Hordeum glaucum
"M.J.Henwood, C.M.Weiller",Author,Hordeum hystrix
"M.J.Henwood, C.M.Weiller",Author,Hordeum leporinum
"M.J.Henwood, C.M.Weiller",Author,Hordeum marinum
"M.J.Henwood, C.M.Weiller",Author,Hordeum murinum
"M.J.Henwood, C.M.Weiller",Author,Hordeum secalinum
"M.J.Henwood, C.M.Weiller",Author,Hordeum vulgare
R.M.Smith,Author,Hornstedtia scottiana
L.W. Jessup,Author,Horsfieldia australiana
John R. Busby (ed. August 2021),Contributor,Horsfieldia australiana
I.R. Thompson,Author,Hovea acanthoclada
I.R. Thompson,Author,Hovea acutifolia
I.R. Thompson,Author,Hovea angustissima
I.R. Thompson,Author,Hovea apiculata
I.R. Thompson,Author,Hovea arnhemica
I.R. Thompson,Author,Hovea asperifolia subsp. asperifolia
I.R. Thompson,Author,Hovea asperifolia subsp. spinosissima
I.R. Thompson,Author,Hovea asperifolia
I.R. Thompson,Author,Hovea chorizemifolia
I.R. Thompson,Author,Hovea clavata
I.R. Thompson,Author,Hovea corrickiae
I.R. Thompson,Author,Hovea cymbiformis
I.R. Thompson,Author,Hovea densivellosa
I.R. Thompson,Author,Hovea elliptica
I.R. Thompson,Author,Hovea graniticola
I.R. Thompson,Author,Hovea heterophylla
I.R. Thompson,Author,Hovea impressinerva
I.R. Thompson,Author,Hovea lanceolata
I.R. Thompson,Author,Hovea linearis
I.R. Thompson,Author,Hovea longifolia
I.R. Thompson,Author,Hovea longipes
I.R. Thompson,Author,Hovea lorata
I.R. Thompson,Author,Hovea magnibractea
I.R. Thompson,Author,Hovea montana
I.R. Thompson,Author,Hovea nana
I.R. Thompson,Author,Hovea nitida
I.R. Thompson,Author,Hovea pannosa
I.R. Thompson,Author,Hovea parvicalyx
I.R. Thompson,Author,Hovea pedunculata
I.R. Thompson,Author,Hovea planifolia
I.R. Thompson,Author,Hovea pungens
I.R. Thompson,Author,Hovea purpurea
I.R. Thompson,Author,Hovea ramulosa
I.R. Thompson,Author,Hovea rosmarinifolia
I.R. Thompson,Author,Hovea similis
I.R. Thompson,Author,Hovea speciosa
I.R. Thompson,Author,Hovea stricta
"Tentative updates, P.G. Kodela (August 2022)",Contributor,Hovea stricta
I.R. Thompson,Author,Hovea tasmanica
I.R. Thompson,Author,Hovea tholiformis
I.R. Thompson,Author,Hovea trisperma
"P.G. Kodela (updates, including details from Paczkowska (2022) and Thompson (2014), August 2022, June 2023)",Contributor,Hovea trisperma
J. Kellermann & K.R. Thiele,Author,Hovenia dulcis
P.G. Kodela,Editor,Hovenia dulcis
"P.S. Green, P.G. Kodela",Author,Howea belmoreana
P.G. Kodela,Editor,Howea belmoreana
"John R. Busby (editorial assistance, June 2021)",Contributor,Howea belmoreana
P.S. Green,Author,Howea forsteriana
P.G. Kodela,Editor,Howea forsteriana
"John R. Busby (editorial assistance, June 2021)",Contributor,Howea forsteriana
R.M. Barker,Author,Hoya aldrichii
P.G. Kodela,Editor,Hoya aldrichii
"John R. Busby (editorial assistance, February 2021)",Contributor,Hoya aldrichii
"P.I. Forster, D.J. Liddle",Author,Hoya anulata
John R. Busby (ed. February 2021),Contributor,Hoya anulata
"P.I. Forster, D.J. Liddle",Author,Hoya australis subsp. australis
John R. Busby (ed. February 2021),Contributor,Hoya australis subsp. australis
"P.I. Forster, D.J. Liddle",Author,Hoya australis subsp. oramicola
John R. Busby (ed. February 2021),Contributor,Hoya australis subsp. oramicola
"P.I. Forster, D.J. Liddle",Author,Hoya australis subsp. rupicola
John R. Busby (ed. February 2021),Contributor,Hoya australis subsp. rupicola
"P.I. Forster, D.J. Liddle",Author,Hoya australis subsp. sanae
John R. Busby (ed. February 2021),Contributor,Hoya australis subsp. sanae
"P.I. Forster, D.J. Liddle",Author,Hoya australis subsp. tenuipes
John R. Busby (ed. February 2021),Contributor,Hoya australis subsp. tenuipes
"P.I. Forster, D.J. Liddle",Author,Hoya australis
John R. Busby (ed. February 2021),Contributor,Hoya australis
"P.I. Forster, D.J. Liddle",Author,Hoya macgillivrayi
"P.I. Forster, D.J. Liddle",Author,Hoya pottsii
John R. Busby (ed. February 2021),Contributor,Hoya pottsii
"P.I. Forster, D.J. Liddle",Author,Hoya revoluta
John R. Busby (ed. February 2021),Contributor,Hoya revoluta
"P.I. Forster, D.J. Liddle",Author,Hoya serpens
John R. Busby (ed. February 2021),Contributor,Hoya serpens
"P.I. Forster, D.J. Liddle",Author,Hoya sussuela
John R. Busby (ed. February 2021),Contributor,Hoya sussuela
"L.W. Jessup, P.G. Kodela",Author,Huberantha nitidissima
P.G. Kodela,Editor,Huberantha nitidissima
Ian R.H. Telford,Author,Hugonia jenkinsii
P.G. Kodela,Editor,Hugonia jenkinsii
"R.D. Pearce, P.G. Kodela",Author,Humulus lupulus
P.G. Kodela,Editor,Humulus lupulus
"A.R. Field, R.J. Chinnock",Author,Huperzia australiana
P.G. Kodela,Editor,Huperzia australiana
NA,Contributor,Huperzia australiana
NA,Acknowledgements,Huperzia australiana
"A.R. Field, R.J. Chinnock",Author,Huperzia serrata
P.G. Kodela,Editor,Huperzia serrata
A.S. George,Author,Hybanthus calycinus
P.G. Kodela,Editor,Hybanthus calycinus
A.S. George,Author,Hybanthus cymulosus
P.G. Kodela,Editor,Hybanthus cymulosus
A.S. George,Author,Hybanthus debilissimus
P.G. Kodela,Editor,Hybanthus debilissimus
A.S. George,Author,Hybanthus epacroides
P.G. Kodela,Editor,Hybanthus epacroides
A.S. George,Author,Hybanthus floribundus subsp. adpressus
"P.G. Kodela, A. Messina",Editor,Hybanthus floribundus subsp. adpressus
Andre Messina,Author,Hybanthus floribundus subsp. chloroxanthus
P.G. Kodela,Editor,Hybanthus floribundus subsp. chloroxanthus
"A.S. George, A. Messina, P.G. Kodela",Author,Hybanthus floribundus subsp. curvifolius
"P.G. Kodela, A. Messina",Editor,Hybanthus floribundus subsp. curvifolius
"A.S. George, A. Messina, P.G. Kodela",Author,Hybanthus floribundus subsp. floribundus
P.G. Kodela,Editor,Hybanthus floribundus subsp. floribundus
A.S. George,Author,Hybanthus floribundus
"P.G. Kodela, A. Messina",Editor,Hybanthus floribundus
"A.S. George, P.G. Kodela",Author,Hybanthus monopetalus
P.G. Kodela,Editor,Hybanthus monopetalus
A.S. George,Author,Hybanthus vernonii subsp. scaber
P.G. Kodela,Editor,Hybanthus vernonii subsp. scaber
A.S. George,Author,Hybanthus vernonii subsp. vernonii
P.G. Kodela,Editor,Hybanthus vernonii subsp. vernonii
A.S. George,Author,Hybanthus vernonii
P.G. Kodela,Editor,Hybanthus vernonii
A.S. George,Author,Hybanthus volubilis
P.G. Kodela,Editor,Hybanthus volubilis
D.A.Cooke,Author,Hydatella australis
D.A.Cooke,Author,Hydatella dioica
D.A.Cooke,Author,Hydatella filamentosa
D.A.Cooke,Author,Hydatella leptogyne
"J.L.Dowe, D.L.Jones",Author,Hydriastele costata
"J.L.Dowe, D.L.Jones",Author,Hydriastele ramsayi
"J.L. Dowe, D.L. Jones",Author,Hydriastele wendlandiana
"P.G. Kodela (tentative ed., 4 July 2022)",Contributor,Hydriastele wendlandiana
"S.W.L. Jacobs, K.A. McColl",Author,Hydrilla verticillata
"S.W.L.Jacobs, K.A.McColl",Author,Hydrocharis dubia
"Phillip G. Kodela, S.W.L. Jacobs, Kristina A. McColl",Author,Hydrocleys nymphoides
Phillip G. Kodela,Editor,Hydrocleys nymphoides
Daniel J. Ohlsen,Author,Hymenasplenium excisum
P.G. Kodela,Editor,Hymenasplenium excisum
Daniel J. Ohlsen,Author,Hymenasplenium perriei
Daniel J. Ohlsen,Author,Hymenasplenium wildii
P.G. Kodela,Editor,Hymenasplenium wildii
H.J.Hewson,Author,Hymenocallis caribaea
H.J.Hewson,Author,Hymenolobus procumbens
Daniel J. Ohlsen,Author,Hymenophyllum applanatum
P.G. Kodela,Editor,Hymenophyllum applanatum
Daniel J. Ohlsen,Author,Hymenophyllum australe
P.G. Kodela,Editor,Hymenophyllum australe
Daniel J. Ohlsen,Author,Hymenophyllum baileyanum
P.G. Kodela,Editor,Hymenophyllum baileyanum
Daniel J. Ohlsen,Author,Hymenophyllum bivalve
P.G. Kodela,Editor,Hymenophyllum bivalve
Daniel J. Ohlsen,Author,Hymenophyllum contiguum
P.G. Kodela,Editor,Hymenophyllum contiguum
Daniel J. Ohlsen,Author,Hymenophyllum cupressiforme
P.G. Kodela,Editor,Hymenophyllum cupressiforme
Daniel J. Ohlsen,Author,Hymenophyllum digitatum
P.G. Kodela,Editor,Hymenophyllum digitatum
Daniel J. Ohlsen,Author,Hymenophyllum eboracense
P.G. Kodela,Editor,Hymenophyllum eboracense
Daniel J. Ohlsen,Author,Hymenophyllum falklandicum
P.G. Kodela,Editor,Hymenophyllum falklandicum
Daniel J. Ohlsen,Author,Hymenophyllum flabellatum
P.G. Kodela,Editor,Hymenophyllum flabellatum
Daniel J. Ohlsen,Author,Hymenophyllum gracilescens
P.G. Kodela,Editor,Hymenophyllum gracilescens
Daniel J. Ohlsen,Author,Hymenophyllum holochilum
P.G. Kodela,Editor,Hymenophyllum holochilum
NA,Contributor,Hymenophyllum holochilum
NA,Acknowledgements,Hymenophyllum holochilum
Daniel J. Ohlsen,Author,Hymenophyllum javanicum
P.G. Kodela,Editor,Hymenophyllum javanicum
Daniel J. Ohlsen,Author,Hymenophyllum kerianum
P.G. Kodela,Editor,Hymenophyllum kerianum
Daniel J. Ohlsen,Author,Hymenophyllum lobbii
P.G. Kodela,Editor,Hymenophyllum lobbii
Daniel J. Ohlsen,Author,Hymenophyllum lyallii
P.G. Kodela,Editor,Hymenophyllum lyallii
Daniel J. Ohlsen,Author,Hymenophyllum marginatum
P.G. Kodela,Editor,Hymenophyllum marginatum
NA,Contributor,Hymenophyllum marginatum
NA,Acknowledgements,Hymenophyllum marginatum
Daniel J. Ohlsen,Author,Hymenophyllum multifidum
P.G. Kodela,Editor,Hymenophyllum multifidum
Daniel J. Ohlsen,Author,Hymenophyllum pallidum
P.G. Kodela,Editor,Hymenophyllum pallidum
Daniel J. Ohlsen,Author,Hymenophyllum peltatum
P.G. Kodela,Editor,Hymenophyllum peltatum
Daniel J. Ohlsen,Author,Hymenophyllum pumilum
P.G. Kodela,Editor,Hymenophyllum pumilum
Daniel J. Ohlsen,Author,Hymenophyllum rarum
P.G. Kodela,Editor,Hymenophyllum rarum
Daniel J. Ohlsen,Author,Hymenophyllum reinwardtii
P.G. Kodela,Editor,Hymenophyllum reinwardtii
Daniel J. Ohlsen,Author,Hymenophyllum samoense
P.G. Kodela,Editor,Hymenophyllum samoense
Daniel J. Ohlsen,Author,Hymenophyllum walleri
P.G. Kodela,Editor,Hymenophyllum walleri
Daniel J. Ohlsen,Author,Hymenophyllum whitei
P.G. Kodela,Editor,Hymenophyllum whitei
Lindy Cayzer,Author,Hymenosporum flavum
"D.E.Symon, R.W.Purdie",Author,Hyoscyamus albus
"D.E.Symon, R.W.Purdie",Author,Hyoscyamus niger
N.G. Walsh,Author,Hypecoum pendulum
John R. Busby (ed. December 2021),Contributor,Hypecoum pendulum
"Philip S. Short, R.L. Barrett",Author,Hypertelis cerviana
"R.L. Barrett, A.E. Orchard",Editor,Hypertelis cerviana
P.G. Kodela (ed. July 2021),Contributor,Hypertelis cerviana
I.R. Thompson,Author,Hypochaeris albiflora
John R. Busby (ed. August 2020),Contributor,Hypochaeris albiflora
I.R. Thompson,Author,Hypochaeris glabra
John R. Busby (ed. August 2020),Contributor,Hypochaeris glabra
I.R. Thompson,Author,Hypochaeris radicata
John R. Busby (ed. August 2020); P.G. Kodela (ed. August 2021),Contributor,Hypochaeris radicata
Barbara G. Briggs; Carolyn L. Connelly; Siegfried L. Krauss,Author,Hypolaena caespitosa
Phillip G. Kodela,Editor,Hypolaena caespitosa
Barbara G. Briggs; Carolyn L. Connelly; Siegfried L. Krauss,Author,Hypolaena exsulca
Phillip G. Kodela,Editor,Hypolaena exsulca
Barbara G. Briggs; Carolyn L. Connelly; Siegfried L. Krauss,Author,Hypolaena fastigiata
Phillip G. Kodela,Editor,Hypolaena fastigiata
Barbara G. Briggs; Carolyn L. Connelly; Siegfried L. Krauss,Author,Hypolaena grandiuscula
Phillip G. Kodela,Editor,Hypolaena grandiuscula
Barbara G. Briggs; Carolyn L. Connelly; Siegfried L. Krauss,Author,Hypolaena humilis
Phillip G. Kodela,Editor,Hypolaena humilis
Barbara G. Briggs; Carolyn L. Connelly; Siegfried L. Krauss,Author,Hypolaena pubescens
Phillip G. Kodela,Editor,Hypolaena pubescens
Barbara G. Briggs; Carolyn L. Connelly; Siegfried L. Krauss,Author,Hypolaena robusta
Phillip G. Kodela,Editor,Hypolaena robusta
Barbara G. Briggs; Carolyn L. Connelly; Siegfried L. Krauss,Author,Hypolaena viridis
Phillip G. Kodela,Editor,Hypolaena viridis
P.J. Brownsey,Author,Hypolepis amaurorachis
A.M. Wheeler (editorial assistance November 2022),Contributor,Hypolepis amaurorachis
"P.J. Brownsey, P.G. Kodela",Author,Hypolepis dicksonioides
P.G. Kodela,Editor,Hypolepis dicksonioides
P.J. Brownsey,Author,Hypolepis distans
A.M. Wheeler (editorial assistance November 2022),Contributor,Hypolepis distans
P.J. Brownsey,Author,Hypolepis elegans subsp. elegans
P.G. Kodela,Editor,Hypolepis elegans subsp. elegans
P.J. Brownsey,Author,Hypolepis glandulifera
A.M. Wheeler (editorial assistance November 2022),Contributor,Hypolepis glandulifera
P.J. Brownsey,Author,Hypolepis muelleri
A.M. Wheeler (editorial assistance November 2022),Contributor,Hypolepis muelleri
P.J. Brownsey,Author,Hypolepis rugosula
A.M. Wheeler (editorial assistance November 2022),Contributor,Hypolepis rugosula
"P.J. Brownsey, P.G. Kodela",Author,Hypolepis tenuifolia
P.G. Kodela,Editor,Hypolepis tenuifolia
R.J.F.Henderson,Author,Hypoxis arillacea
R.J.F.Henderson,Author,Hypoxis exilis
R.J.F.Henderson,Author,Hypoxis gardneri
R.J.F.Henderson,Author,Hypoxis glabella var. glabella
R.J.F.Henderson,Author,Hypoxis glabella var. leptantha
R.J.F.Henderson,Author,Hypoxis glabella
R.J.F.Henderson,Author,Hypoxis hygrometrica var. hygrometrica
R.J.F.Henderson,Author,Hypoxis hygrometrica var. splendida
R.J.F.Henderson,Author,Hypoxis hygrometrica var. villosisepala
R.J.F.Henderson,Author,Hypoxis hygrometrica
R.J.F.Henderson,Author,Hypoxis marginata
R.J.F.Henderson,Author,Hypoxis nervosa
R.J.F.Henderson,Author,Hypoxis occidentalis var. occidentalis
R.J.F.Henderson,Author,Hypoxis occidentalis var. quadriloba
R.J.F.Henderson,Author,Hypoxis occidentalis
R.J.F.Henderson,Author,Hypoxis pratensis var. pratensis
R.J.F.Henderson,Author,Hypoxis pratensis var. tuberculata
R.J.F.Henderson,Author,Hypoxis pratensis
R.J.F.Henderson,Author,Hypoxis vaginata var. brevistigmata
R.J.F.Henderson,Author,Hypoxis vaginata var. vaginata
R.J.F.Henderson,Author,Hypoxis vaginata
L.L. Forman,Author,Hypserpa decumbens
"John R. Busby (ed. November, December 2021)",Contributor,Hypserpa decumbens
L.L. Forman,Author,Hypserpa laurina
John R. Busby (ed. November 2021),Contributor,Hypserpa laurina
L.L .Forman,Author,Hypserpa polyandra var. polyandra
John R. Busby (ed. November 2021),Contributor,Hypserpa polyandra var. polyandra
L.L. Forman,Author,Hypserpa smilacifolia
John R. Busby (ed. November 2021),Contributor,Hypserpa smilacifolia
L.W.Jessup,Author,Hypsophila dielsiana
L.W.Jessup,Author,Hypsophila halleyana
P.I. Forster,Author,Ichnocarpus frutescens
P.I.Forster,Author,Ichnocarpus rhombifolius
L.W. Jessup,Author,Idiospermum australiense
P.G. Kodela,Editor,Idiospermum australiense
NA,Contributor,Idiospermum australiense
NA,Acknowledgements,Idiospermum australiense
"P.S. Green, P.G. Kodela",Author,Ileostylus micranthus
P.G. Kodela,Editor,Ileostylus micranthus
"P.G. Kodela, L. Pedley",Author,Ilex aquifolium
P.G. Kodela,Editor,Ilex aquifolium
L. Pedley,Author,Ilex arnhemensis subsp. arnhemensis
P.G. Kodela (updated 10 September 2020),Contributor,Ilex arnhemensis subsp. arnhemensis
L. Pedley,Author,Ilex arnhemensis subsp. ferdinandi
P.G. Kodela (updated 10 September 2020),Contributor,Ilex arnhemensis subsp. ferdinandi
L. Pedley,Author,Ilex arnhemensis
P.G. Kodela,Editor,Ilex arnhemensis
P.G. Kodela (updated 10 September 2020),Contributor,Ilex arnhemensis
"P.G. Kodela, L. Pedley",Author,Ilex sp. Gadgarra (B.P.Hyland RFK 2011)
P.G. Kodela,Contributor,Ilex sp. Gadgarra (B.P.Hyland RFK 2011)
"P.G. Kodela (updated to phrase name, 10 December 2019, revised 10 September 2020).",Contributor,Ilex sp. Gadgarra (B.P.Hyland RFK 2011)
"D.J.Du Puy, P.G. Kodela",Author,Illigera elegans
P.G. Kodela,Editor,Illigera elegans
"John R. Busby (editorial assistance, October 2021)",Contributor,Illigera elegans
R.L. Barrett,Author,Impatiens balfouri
P.G. Kodela,Editor,Impatiens balfouri
R.L. Barrett,Author,Impatiens sodenii
