Latitude,Longitude,Sex,Height (cm),Diameter (cm),Site ,Date
-32.24817,135.05609,I,93,150,Hiltaba Nature Reserve,10/03/2020
-32.24795,135.05652,M,132,82,Hiltaba Nature Reserve,10/03/2020
-32.24799,135.05656,M,121,54,Hiltaba Nature Reserve,10/03/2020
-32.24805,135.05646,I,130,80,Hiltaba Nature Reserve,10/03/2020
-32.24804,135.05643,M,130,125,Hiltaba Nature Reserve,10/03/2020
-32.24828,135.05573,F,113,120,Hiltaba Nature Reserve,10/03/2020
-32.24828,135.05573,F,126,131,Hiltaba Nature Reserve,10/03/2020
-32.24839,135.05573,I,96,67,Hiltaba Nature Reserve,10/03/2020
-32.24841,135.05573,I,152,179,Hiltaba Nature Reserve,10/03/2020
-32.24843,135.05576,F,48,37,Hiltaba Nature Reserve,10/03/2020
-32.24891,135.05582,M,153,147,Hiltaba Nature Reserve,10/03/2020
-32.2489,135.05584,J,56,17,Hiltaba Nature Reserve,10/03/2020
-32.24925,135.0556,F,124,140,Hiltaba Nature Reserve,10/03/2020
-32.24947,135.05579,F,154,125,Hiltaba Nature Reserve,10/03/2020
-32.24944,135.05588,F,160,119,Hiltaba Nature Reserve,10/03/2020
-32.24968,135.0555,F,178,125,Hiltaba Nature Reserve,10/03/2020
-32.24969,135.05525,J,72,30,Hiltaba Nature Reserve,10/03/2020
-32.24962,135.0553,M,132,135,Hiltaba Nature Reserve,10/03/2020
32.24962,135.05447,M,132,172,Hiltaba Nature Reserve,10/03/2020
-32.24963,135.05447,I,124,133,Hiltaba Nature Reserve,10/03/2020
-32.24966,135.05452,M,230,90,Hiltaba Nature Reserve,10/03/2020
-32.24966,135.05453,M,140,80,Hiltaba Nature Reserve,10/03/2020
-32.24977,135.05452,F,138,90,Hiltaba Nature Reserve,10/03/2020
-32.24987,135.05482,J,64,68,Hiltaba Nature Reserve,10/03/2020
-32.2499,135.05487,J,42,13,Hiltaba Nature Reserve,10/03/2020
-32.2499,135.05487,J,29,12,Hiltaba Nature Reserve,10/03/2020
-32.24895,135.05455,F,230,165,Hiltaba Nature Reserve,10/03/2020
-32.24795,135.05518,J,37,15,Hiltaba Nature Reserve,10/03/2020
-32.24776,135.05556,J,46,17,Hiltaba Nature Reserve,10/03/2020
-32.24737,135.05518,J,82,33,Hiltaba Nature Reserve,10/03/2020
-32.24737,135.05508,F,146,64,Hiltaba Nature Reserve,10/03/2020
-32.24737,135.05505,J,14,4,Hiltaba Nature Reserve,10/03/2020
-32.24753,135.05434,M,102,86,Hiltaba Nature Reserve,10/03/2020
-32.24751,135.05435,I,120,74,Hiltaba Nature Reserve,10/03/2020
-32.2474,135.0571,M,101,76,Hiltaba Nature Reserve,10/03/2020
-32.24741,135.05714,J,56,10,Hiltaba Nature Reserve,10/03/2020
-32.24701,135.05472,M,102,45,Hiltaba Nature Reserve,10/03/2020
-32.247,135.05745,F,125,48,Hiltaba Nature Reserve,10/03/2020
-32.24762,135.05468,F,99,54,Hiltaba Nature Reserve,10/03/2020
-32.24728,135.05678,F,142,133,Hiltaba Nature Reserve,10/03/2020
-32.24724,135.05679,J,89,22,Hiltaba Nature Reserve,10/03/2020
-32.24718,135.05684,F,110,44,Hiltaba Nature Reserve,10/03/2020
-32.24694,135.05664,F,148,111,Hiltaba Nature Reserve,10/03/2020
-32.24676,135.05695,M,138,184,Hiltaba Nature Reserve,10/03/2020
-32.24676,135.05695,F,103,135,Hiltaba Nature Reserve,10/03/2020
-32.24671,135.05641,F,104,126,Hiltaba Nature Reserve,10/03/2020
-32.24671,135.05641,J,16,7,Hiltaba Nature Reserve,10/03/2020
-32.24662,135.0564,M,77,26,Hiltaba Nature Reserve,10/03/2020
-32.24757,135.05612,M,160,140,Hiltaba Nature Reserve,10/03/2020
-32.24755,135.05508,F,103,120,Hiltaba Nature Reserve,10/03/2020
-32.24714,135.05508,J,45,23,Hiltaba Nature Reserve,10/03/2020
-32.247,135.05481,M,14,155,Hiltaba Nature Reserve,10/03/2020
-32.24704,135.05472,I,146,142,Hiltaba Nature Reserve,10/03/2020
-32.24678,135.0549,F,116,130,Hiltaba Nature Reserve,10/03/2020
-32.24924,135.05724,F,115,94,Hiltaba Nature Reserve,10/03/2020
-32.24921,135.05751,J,45,20,Hiltaba Nature Reserve,10/03/2020
-32.24918,135.05751,M,210,120,Hiltaba Nature Reserve,10/03/2020
-32.24887,135.05764,M,146,180,Hiltaba Nature Reserve,10/03/2020
