genus_APC,genus_Sjostrom,habit_to_use,lifespan_to_use,sex_type_to_use,fruit_to_use
Anemone,Anemone,1,2,1,1
Psychrophila,Caltha,1,2,1,12
Clematis,Clematis,4,2,8,1
Myosurus,Myosurus,1,1,1,1
Ranunculus,Ranunculus,1,2,1,1
Alexgeorgea,Alexgeorgea,1,2,8,16
Calorophus,Calorophus,1,2,8,16
Chaetanthus,Chaetanthus,1,2,8,3
Coleocarya,Coleocarya,1,2,7,16
Ecdeiocolea,Ecdeiocolea,1,2,8,16
Hypolaena,Hypolaena,1,2,8,16
Lepidobolus,Lepidobolus,1,2,8,16
Leptocarpus,Leptocarpus,1,2,8,16
Lepyrodia,Lepyrodia,1,2,NA,3
Meeboldina,Meeboldina,1,2,8,16
Winifredia,Winifredia,1,2,8,16
Alphitonia,Alphitonia,8,2,1,29
Cryptandra,Cryptandra,2,2,1,3
Discaria,Discaria,2,2,1,3
Emmenosperma,Emmenosperma,8,2,1,6
Pomaderris,Pomaderris,2,2,1,3
Sageretia,Sageretia,2,2,1,6
Siegfriedia,Siegfriedia,2,2,1,3
Spyridium,Spyridium,2,2,1,3
Stenanthemum,Stenanthemum,2,2,1,3
Trymalium,Trymalium,2,2,1,3
Bruguiera,Bruguiera,3,2,1,27
Ceriops,Ceriops,3,2,1,27
Rhizophora,Rhizophora,3,2,1,27
Acaena,Acaena,1,2,1,1
Aphanes,Aphanes,1,1,1,1
Geum,Geum,1,2,1,1
Rubus,Rubus,2,2,1,6
Asperula,Asperula,NA,NA,8,9
Atractocarpus,Atractocarpus,3,2,8,2
Spermacoce,Borreria,2,2,1,3
Coelospermum,Caelospermum,4,2,1,6
Psydrax,Canthium,NA,2,1,6
Psydrax,Canthium.,NA,2,1,6
Coprosma,Coprosma,3,2,8,6
Dentella,Dentella,1,2,1,3
Diodia,Diodia,1,2,1,7
Triflorensia,Diplospora,3,2,1,6
Durringtonia,Durringtonia,1,2,8,3
Galium,Galium,NA,NA,1,7
Gardenia,Gardenia,NA,2,1,2
Hedyotis,Hedyotis,1,5,1,3
Hodgkinsonia,Hodgkinsonia,3,2,8,6
Hydnophytum,Hydnophytum,2,2,1,3
Ixora,Ixora,3,2,1,6
Larsenaikia,Kailarsenia,3,2,8,6
Knoxia,Knoxia,1,2,1,3
Lasianthus,Lasianthus,2,2,1,6
Morinda,Morinda,4,2,1,6
Myrmecodia,Myrmecodia,2,2,1,6
Nertera,Nertera,1,2,1,6
Oldenlandia,Oldenlandia,1,5,1,3
Opercularia,Opercularia,1,NA,1,3
Ophiorrhiza,Ophiorrhiza,2,2,1,3
Pavetta,Pavetta,NA,2,1,6
Pomax,Pomax,2,2,1,3
Psychotria,Psychotria,NA,2,1,6
Randia,Randia,3,2,1,2
Richardia,Richardia,1,NA,1,7
Scyphiphora,Scyphiphora,2,2,1,6
Spermacoce,Spermacoce,NA,NA,1,3
Synaptantha,Synaptantha,1,1,1,3
Tarenna,Tarenna,8,2,1,2
Uncaria,Uncaria,4,2,1,3
Wendlandia,Wendlandia,3,2,1,3
Acradenia,Acradenia,3,2,1,12
Acronychia,Acronychia,3,2,1,6
Asterolasia,Asterolasia,2,2,1,12
Boronia,Boronia,2,2,1,12
Bosistoa,Bosistoa,3,2,1,12
Bouchardatia,Bouchardatia,3,2,1,12
Chorilaena,Chorilaena,2,2,1,3
Correa,Correa,2,2,1,12
Crowea,Crowea,2,2,1,12
Dinosperma,Dinosperma,8,2,1,12
Diplolaena,Diplolaena,2,2,1,3
Drummondita,Drummondita,2,2,1,3
Citrus,Eremocitrus,3,2,1,2
Eriostemon,Eriostemon,2,2,1,12
Melicope,Evodiella,3,2,1,3
Flindersia,Flindersia,3,2,NA,3
Geijera,Geijera,3,2,1,12
Geleznowia,Geleznowia,2,2,1,7
Leionema,Leionema,NA,2,1,12
Lunasia,Lunasia,3,2,8,12
Medicosma,Medicosma,3,2,1,12
Citrus,Microcitrus,3,2,1,2
Microcybe,Microcybe,2,2,1,3
Nematolepis,Nematolepis,NA,2,1,12
Neobyrnesia,Neobyrnesia,2,2,1,3
Luvunga,Paramignya,2,2,1,2
Pentaceras,Pentaceras,3,2,1,21
Phebalium,Phebalium,NA,2,1,12
Philotheca,Philotheca,2,2,1,12
Rhadinothamnus,Rhadinothamnus,2,2,1,12
Zieria,Zieria,NA,2,1,12
Casearia,Casearia,8,2,1,3
Homalium,Homalium,3,2,1,3
Streptothamnus,Streptothamnus,4,2,1,2
Xylosma,Xylosma,8,2,8,2
Anthobolus,Anthobolus,2,2,8,6
Choretrum,Choretrum,2,2,1,6
Dendromyza,Dendromyza,2,2,8,6
Dendrotorphe,Dendrotorphe,4,2,7,6
Exocarpos,Exocarpos,NA,2,1,6
Korthalsella,Korthalsella,2,2,7,2
Leptomeria,Leptomeria,2,2,1,6
Notothixos,Notothixos,2,2,7,2
Omphacomeria,Omphacomeria,2,2,8,6
Santalum,Santalum,NA,2,1,6
Thesium,Thesium,1,2,1,6
Viscum,Viscum,2,2,7,2
Alectryon,Alectryon,NA,2,7,3
Arytera,Arytera,3,2,7,3
Atalaya,Atalaya,3,2,8,21
Cupaniopsis,Cupaniopsis,NA,2,13,3
Diplopeltis,Diplopeltis,NA,2,7,3
Dodonaea,Distichostemon,2,2,13,3
Dodonaea,Dodonaea,NA,2,NA,3
Elattostachys,Elattostachys,3,2,7,3
Harpullia,Harpullia,3,2,8,3
Jagera,Jagera,3,2,NA,3
Lepiderema,Lepiderema,3,2,7,3
Mischocarpus,Mischocarpus,3,2,7,3
Rhysotoechia,Rhysotoechia,2,2,7,3
Sarcopteryx,Sarcopteryx,3,2,13,3
Toechima,Toechima,3,2,7,3
Niemeyera,Niemeyera,3,2,1,2
Pouteria,Pouteria,3,2,7,2
Eremosyne,Eremosyne,1,1,1,3
Adenosma,Adenosma,1,1,1,3
Artanema,Artanema,1,2,1,3
Bacopa,Bacopa,1,NA,1,3
Bellardia,Bellardia,1,1,1,3
Buchnera,Buchnera,1,2,1,3
Centranthera,Centranthera,1,1,1,3
Veronica,Chionohebe,2,2,1,3
Veronica,Derwentia,1,2,1,3
Dopatrium,Dopatrium,1,1,1,3
Elacholoma,Elacholoma,1,1,1,3
Euphrasia,Euphrasia,NA,NA,1,3
Glossostigma,Glossostigma,1,2,1,3
Gratiola,Gratiola,1,2,1,3
Hemiarrhena,Hemiarrhena,1,2,1,3
Lindernia,Ilysanthes,1,1,1,3
Limnophila,Limnophila,1,1,1,3
Limosella,Limosella,1,2,1,3
Lindernia,Lindernia,1,NA,1,3
Maurandya,Maurandya,5,2,1,3
Mazus,Mazus,1,2,1,3
Mimulus,Mimulus,1,NA,1,3
Castilleja,Orthocarpus,1,1,1,3
Ourisia,Ourisia,1,2,1,3
Veronica,Parahebe,1,2,1,3
Peplidium,Peplidium,1,NA,1,3
Rhamphicarpa,Rhamphicarpa,1,1,1,3
Stemodia,Stemodia,NA,NA,1,3
Striga,Striga,1,1,1,3
Torenia,Torenia,1,1,1,3
Veronica,Veronica,NA,2,1,3
Harrisonia,Harrisonia,3,2,1,6
Eustrephus,Eustrephus,5,2,1,3
Geitonoplesium,Geitonoplesium,5,2,1,2
Smilax,Smilax,4,2,8,2
Anthocercis,Anthocercis,2,2,1,3
Anthotroche,Anthotroche,2,2,1,3
Browallia,Browallia,1,2,1,3
Cyphanthera,Cyphanthera,2,2,1,3
Datura,Datura,1,1,1,3
Duboisia,Duboisia,3,2,1,2
Grammosolen,Grammosolen,2,2,1,3
Lycium,Lycium,2,2,1,2
Nicotiana,Nicotiana,1,NA,1,3
Physalis,Physalis,1,NA,1,2
Solanum,Solanum,NA,NA,NA,2
Symonanthus,Symonanthus,2,2,8,3
Sparganium,Sparganium,1,2,7,6
Sphenoclea,Sphenoclea,1,1,1,3
Stemona,Stemona,1,2,1,3
Donatia,Donatia,1,2,1,3
Forstera,Forstera,1,2,1,3
Levenhookia,Levenhookia,1,1,1,3
Phyllachne,Phyllachne,1,2,7,3
Cadellia,Cadellia,3,2,1,6
Stylobasium,Stylobasium,2,2,7,6
Suriana,Suriana,2,2,1,6
Symplocos,Symplocos,NA,2,NA,NA
Arnhemia,Arnhemia,2,2,1,3
Jedda,Jedda,2,2,1,10
Kelleria,Kelleria,2,2,12,6
Pimelea,Pimelea,NA,NA,NA,16
Pimelea,Thecanthes,1,1,1,10
Wikstroemia,Wikstroemia,2,2,1,6
Sciaphila,Sciaphila,1,1,7,3
Typha,Typha,1,2,7,12
Australina,Australina,1,2,7,1
Boehmeria,Boehmeria,2,2,7,1
Elatostema,Elatostema,1,2,8,1
Pouzolzia,Pouzolzia,1,2,7,1
Procris,Procris,2,2,7,1
Centranthus,Centranthus,1,1,1,1
Avicennia,Avicennia,3,2,1,3
Callicarpa,Callicarpa,NA,2,1,6
Chloanthes,Chloanthes,2,2,1,6
Clerodendrum,Clerodendrum,NA,2,1,6
Cyanostegia,Cyanostegia,2,2,1,10
Dicrastylis,Dicrastylis,2,2,1,10
Faradaya,Faradaya,4,2,1,6
Glossocarya,Glossocarya,4,2,1,7
Gmelina,Gmelina,3,2,1,6
Hemiphora,Hemiphora,2,2,1,10
Huxleya,Huxleya,1,2,1,6
Lachnostachys,Lachnostachys,2,2,1,10
Dicrastylis,Mallophora,2,2,1,10
Newcastelia,Newcastelia,2,2,1,10
Oncinocalyx,Oncinocalyx,1,2,1,7
Physopsis,Physopsis,2,2,1,10
Pityrodia,Pityrodia,2,2,1,7
Premna,Premna,3,2,1,6
Teucrium,Spartothamnella,2,2,1,6
Verbena,Verbena,1,2,1,7
Vitex,Vitex,NA,2,1,6
Hybanthus,Hybanthus,NA,2,1,3
Melicytus,Hymenanthera,2,1,1,2
Viola,Viola,1,2,1,3
Ampelocissus,Ampelocissus,NA,2,1,2
Cayratia,Cayratia,NA,2,1,2
Cissus,Cissus,NA,2,1,2
Clematicissus,Clematicissus,2,2,1,2
Leea,Leea,3,2,1,2
Tetrastigma,Tetrastigma,4,2,8,2
Tasmannia,Tasmannia,2,2,8,2
Acanthocarpus,Acanthocarpus,1,2,1,3
Baxteria,Baxteria,1,2,1,3
Calectasia,Calectasia,1,2,1,10
Chamaexeros,Chamaexeros,1,2,1,3
Dasypogon,Dasypogon,1,2,1,10
Kingia,Kingia,2,2,1,10
Romnalda,Romnalda,1,2,1,3
Xanthorrhoea,Xanthorrhoea,2,2,1,3
Xerolirion,Xerolirion,1,2,8,3
Xyris,Xyris,1,2,1,3
Alpinia,Alpinia,1,2,1,2
Amomum,Amomum,1,2,1,2
Curcuma,Curcuma,1,2,1,3
Etlingera,Etlingera,1,2,1,2
Globba,Globba,1,2,1,2
Hornstedtia,Hornstedtia,1,2,1,2
Heterozostera,Heterozostera,1,2,7,1
Zostera,Zostera,1,2,7,1
Nitraria,Nitraria,2,2,1,6
Zygophyllum,Zygophyllum,NA,NA,1,NA
