speciesName,genus,speciesEpithet,family,speciesNameComments,photosyntheticPathway_confirmed,photosyntheticPathway_inferred,photosyntheticPathway_combined,source,justification,notes,d13C_perMil,d13CReplicate_perMil,ternVegetationBarcode,ternPrimaryGeneticBarcode,plantMaterialType ,ternPlot,latitude,longitude,dateSurveyed,d13CAdditionalSample_perMil,ternPlotAdditionalSample  ,ternPrimaryGeneticBarcodeAdditionalSample  ,plantMaterialTypeAdditionalSample  ,latitudeAdditionalSample  ,longitudeOfAdditionalSample  ,dateSurveyedAdditionalSample  ,facilityYear
Haloragis_trigonocarpa,Haloragis,trigonocarpa,Haloragaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Haloragis_uncatipila,Haloragis,uncatipila,Haloragaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Haloragodendron_lucasii,Haloragodendron,lucasii,Haloragaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Hamelia_patens,Hamelia,patens,Rubiaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Hannafordia_quadrivalvis,Hannafordia,quadrivalvis,Malvaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Hardenbergia_comptoniana,Hardenbergia,comptoniana,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Hardenbergia_violacea,Hardenbergia,violacea,Fabaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Harmsiodoxa_blennodioides,Harmsiodoxa,blennodioides,Brassicaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Harmsiodoxa_brevipes,Harmsiodoxa,brevipes,Brassicaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards","No evidence of a C4 species in this lineage; Most other known species in this lineage (genus) are C3, C3_C4 intermediacy only found in Moricandia ",,,,,,,,,,,,,,,,,,
Harmsiodoxa_puberula,Harmsiodoxa,puberula,Brassicaceae,,C3,,C3,"Kattge et al., 2020","No evidence of a C4 species in this lineage; Most other known species in this lineage (genus) are C3, C3_C4 intermediacy only found in Moricandia ",,,,,,,,,,,,,,,,,,
Helichrysum_leucopsideum,Helichrysum,leucopsideum,Asteraceae,,C3,,C3,TERN SIA,,,-32.28,,,NST001188,leaves & stem,NSTSYB0007,-33.32936667,150.1397194,20/11/2015,,,,,,,,University of Adelaide-2023
Helicteres_angustifolia,Helicteres,angustifolia,Malvaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Helicteres_cana,Helicteres,cana,Malvaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,,,,,,,,,,,,,,,,,,
Helicteres_tenuipila,Helicteres,tenuipila,Malvaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,,,,,,,,,,,,,,,,,,
Helictotrichon_cincinnatum,Helictotrichon,cincinnatum,Poaceae,,U,C3,C3,"Osborne et al., 2014",Photosynthetic Pathway of other species in genus ,,,,,,,,,,,,,,,,,,
Heliotropium_ammophilum,Heliotropium,ammophilum,Boraginaceae,,C3,,C3,TERN SIA,,,-29.42,,,NTA016861,leaves & stem,NTAFIN0003,-24.1322,133.477,4/3/2016,,,,,,,,University of Adelaide-2023
Heliotropium_amplexicaule,Heliotropium,amplexicaule,Boraginaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Heliotropium_anderssonii,Heliotropium,anderssonii,Boraginaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Heliotropium_asperrimum,Heliotropium,asperrimum,Boraginaceae,,C3,,C3,TERN SIA,,,-27.94,-27.78,,SAT  002363,leaves,SATSTP0006-53514,-29.5305,138.8167,17/08/2013,,,,,,,,University of Adelaide-2020
Heliotropium_ballii,Heliotropium,ballii,Boraginaceae,,C4,,C4,TERN SIA,,,-13.87,,,NTA 009826,leaves,NTAGFU0006,-18.77869167,136.8470722,18/04/2012,,,,,,,,University of Adelaide-2023
Heliotropium_chrysocarpum,Heliotropium,chrysocarpum,Boraginaceae,,C3,,C3,TERN SIA,,,-27.93,,,WAA011089,leaves,WAAPIL0027,-22.6916,119.774,3/8/2016,,,,,,,,Unversity of Adelaide-2023
Heliotropium_conocarpum,Heliotropium,conocarpum,Boraginaceae,,C4,,C4,TERN SIA,,,-13.05,,,NTA  006398,flower parts ,NTAMGD0002-53466,-20.02463611,137.3258,12/3/2014,,,,,,,,CSIRO-2019
Heliotropium_consimile,Heliotropium,consimile,Boraginaceae,,C4,,C4,TERN SIA,,,-13.77,,,NTT  003520,mixed,NTTPCK0001-53584,-12.87196111,131.1269944,19/03/2014,,,,,,,,CSIRO-2019
Heliotropium_crispatum,Heliotropium,crispatum,Boraginaceae,,C3,,C3,TERN SIA,,,-25.36,,,WAA008186,mixed,WAAPIL0004-57085,-21.39493056,117.1698361,30/08/2015,,,,,,,,University of Adelaide-2020
Heliotropium_cunninghamii,Heliotropium,cunninghamii,Boraginaceae,,C4,,C4,TERN SIA,,,-14.03,,,QDA  004262,mixed,QDAMII0001-53504,-19.50785,140.2213583,10/7/2013,,,,,,,,CSIRO-2019
Heliotropium_curassavicum,Heliotropium,curassavicum,Boraginaceae,,C3,,C3,TERN SIA,,,-27.8,,,NSA 010890,leaves,NSAMDD0010-56956,-33.40760278,141.2934722,2/6/2014,,,,,,,,CSIRO-2019
Heliotropium_europaeum,Heliotropium,europaeum,Boraginaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Heliotropium_fasciculatum,Heliotropium,fasciculatum,Boraginaceae,,C4,,C4,TERN SIA,,,-14.67,,,NTA011044,leaves & stem,NTAGFU0012,-17.89564,137.019,11/5/2012,,,,,,,,University of Adelaide-2023
Heliotropium_filaginoides,Heliotropium,filaginoides,Boraginaceae,,C4,,C4,TERN SIA,,,-13.48,,,NTA005675,flower parts & stem,NTASSD0015,-25.12393333,135.6167917,24/03/2013,,,,,,,,University of Adelaide-2023
Heliotropium_foliatum,Heliotropium,foliatum,Boraginaceae,,C4,,C4,TERN SIA,,,-14.1,,,NTA018536,stem,NTAARP0002-58423,-13.54561111,132.2943639,2/6/2016,,,,,,,,CSIRO-2019
Heliotropium_geocharis,Heliotropium,geocharis,Boraginaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Heliotropium_glabellum,Heliotropium,glabellum,Boraginaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Heliotropium_glanduliferum,Heliotropium,glanduliferum,Boraginaceae,,C3,,C3,TERN SIA,,,-25.87,,,WAA008186,mixed,WAAPIL0004-57085,-21.39493056,117.1698361,30/08/2015,,,,,,,,University of Adelaide-2020
Heliotropium_haesum,Heliotropium,haesum,Boraginaceae,,C3,,C3,TERN SIA,,,-30.07,,,NTT  002386,unknown; plant parts badly damaged and pulverised ,NTTDMR0003,-18.07204,133.6669,14/03/2014,,,,,,,,University of Adelaide-2023
Heliotropium_heteranthum,Heliotropium,heteranthum,Boraginaceae,,C4,,C4,TERN SIA,,,-14.59,,,WAA009002,mixed,WAAPIL0011-57608,-21.891925,117.9992861,4/9/2015,,,,,,,,University of Adelaide-2020
Heliotropium_inexplicitum,Heliotropium,inexplicitum,Boraginaceae,,C4,,C4,TERN SIA,,,-13.34,,WAA008107,,leaves & stem,WAAPIL0003,-21.54110278,117.0570056,30/08/2015,,,,,,,,University of Adelaide-2023
Heliotropium_leptaleum,Heliotropium,leptaleum,Boraginaceae,,C4,,C4,TERN SIA,,,-14.56,,,NTT  002818,mixed,NTTSTU0001-53585,-16.63024167,133.2711583,15/03/2014,,,,,,,,CSIRO-2019
Heliotropium_moorei,Heliotropium,moorei,Boraginaceae,,C4,,C4,TERN SIA,,,-13.65,,,QDA  008030,mixed,QDASSD0015-56924,-23.188075,138.1930944,8/5/2014,,,,,,,,CSIRO-2019
Heliotropium_ovalifolium,Heliotropium,ovalifolium,Boraginaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Heliotropium_pachyphyllum,Heliotropium,pachyphyllum,Boraginaceae,,C3,,C3,TERN SIA,,,-28.68,,,WAA  006884,mixed,WAAPIL0002-57620,-21.59122222,117.0663583,30/04/2015,,,,,,,,University of Adelaide-2020
Heliotropium_parviantrum,Heliotropium,parviantrum,Boraginaceae,,C4,,C4,TERN SIA,,,-13.93,,,NTA010945,flower parts & stem,NTAGFU0011,-17.89570556,137.0723639,10/5/2012,,,,,,,,University of Adelaide-2023
Heliotropium_peninsularis,Heliotropium,peninsularis,Boraginaceae,,C4,,C4,TERN SIA,,,-14.47,,,QDA012813,leaves,QDACYP0013,-12.20213,142.5687,4/7/2018,,,,,,,,University of Adelaide-2023
Heliotropium_pleiopterum,Heliotropium,pleiopterum,Boraginaceae,,C3,,C3,TERN SIA,,,-30.02,,,NTA016116,leaves,NTAFIN0010-58016,-24.13329167,133.3732972,7/3/2016,,,,,,,,CSIRO-2019
Heliotropium_plumosum,Heliotropium,plumosum,Boraginaceae,,C4,,C4,TERN SIA,,,-12.89,,,NTA  006302,flower parts ,NTAMGD0002-53466,-20.02463611,137.3258,12/3/2014,,,,,,,,CSIRO-2019
Heliotropium_rhadinostachyum,Heliotropium,rhadinostachyum,Boraginaceae,,C4,,C4,TERN SIA,,,-15.29,,QDA015369,,leaves,QDACYP0005,-14.14262,142.9763,10/6/2018,,,,,,,,University of Adelaide-2023
Heliotropium_supinum,Heliotropium,supinum,Boraginaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Heliotropium_tanythrix,Heliotropium,tanythrix,Boraginaceae,,C4,,C4,TERN SIA,,,-14.57,,,NTA009917 ,mixed,NTAFIN0025-53645,-24.81836389,133.6764556,14/02/2012,,,,,,,,CSIRO-2019
Heliotropium_tenuifolium,Heliotropium,tenuifolium,Boraginaceae,,C4,,C4,TERN SIA,,,-13.21,,,NTA  006298,mixed,NTAMGD0002-53466,-20.02463611,137.3258,12/3/2014,,,,,,,,CSIRO-2019
Heliotropium_ventricosum,Heliotropium,ventricosum,Boraginaceae,,C3,,C3,TERN SIA,,,-28.97,,,NTA010930,"flower parts, leaves, stem",NTAGFU0011,-17.89570556,137.0723639,10/5/2012,,,,,,,,University of Adelaide-2023
Heliotropium_zeylanicum,Heliotropium,zeylanicum,Boraginaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Helipterum_craspedioides,Helipterum,craspedioides,Asteraceae,,C3,,C3,TERN SIA,,,-31.34,,,WAA021481,leaves,WAAMUR0007,-26.79934,116.6484,23/08/2019,,,,,,,,University of Adelaide-2023
Hemiandra_pungens,Hemiandra,pungens,Lamiaceae,,U,C3,C3,"Photosynthetic Pathway of other speices; Sage, 2016 (and references therein); Watson & Dallwitz, 1992 onwards",,,,,,,,,,,,,,,,,,,
Hemiarrhena_plantagina,Hemiarrhena,plantagina,Linderniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,,,,,,,,,,,,,,,,,,
Hemichroa_diandra,Hemichroa,diandra,Amaranthaceae,,C3,,C3,"Kadereit et al., 2003 ",,,,,,,,,,,,,,,,,,,
Hemigenia_brachyphylla,Hemigenia,brachyphylla,Lamiaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,,,,,,,,,,,,,,,,,,
Hemigenia_purpurea,Hemigenia,purpurea,Lamiaceae,,C3,,C3,TERN SIA,,,-30.22,,,NST000156,leaves,NSTSYB0001-58122,-33.67334444,151.1349611,11/11/2015,,,,,,,,CSIRO-2019
Hemigenia_scabra,Hemigenia,scabra,Lamiaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,,,,,,,,,,,,,,,,,,
Herissantia_crispa,Herissantia,crispa,Malvaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Heterachne_abortiva,Heterachne,abortiva,Poaceae,,C4,,C4,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Heteropogon_contortus,Heteropogon,contortus,Poaceae,,C4,,C4,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Heteropogon_triticeus,Heteropogon,triticeus,Poaceae,,C4,,C4,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Hibbertia_araneolifera,Hibbertia,araneolifera,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_aurea,Hibbertia,aurea,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_banksii,Hibbertia,banksii,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_bracteata,Hibbertia,bracteata,Dilleniaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Hibbertia_brevipedunculata,Hibbertia,brevipedunculata,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_candicans,Hibbertia,candicans,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_caudice,Hibbertia,caudice,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_circumdans,Hibbertia,circumdans,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_cistifolia,Hibbertia,cistifolia,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_conspicua,Hibbertia,conspicua,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_crinita,Hibbertia,crinita,Dilleniaceae,,C3,,C3,TERN SIA,,,-26.99,,,SAT004192,leaves,SATFLB0002-53703,-34.68309722,138.9086,14/08/2012,,,,,,,,CSIRO-2019
Hibbertia_cunninghamii,Hibbertia,cunninghamii,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_dealbata,Hibbertia,dealbata,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_decumbens,Hibbertia,decumbens,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_devitata,Hibbertia,devitata,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_dilatata,Hibbertia,dilatata,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_eatoniae,Hibbertia,eatoniae,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_echiifolia,Hibbertia,echiifolia,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_empetrifolia,Hibbertia,empetrifolia,Dilleniaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Hibbertia_exasperata,Hibbertia,exasperata,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_exutiacies,Hibbertia,exutiacies,Dilleniaceae,,C3,,C3,TERN SIA,,,-28.52,,,SAT004689,leaves & stem,SATFLB0009-53753,-32.31052104,137.9682707,24/08/2012,,,,,,,,CSIRO-2019
Hibbertia_glabriuscula,Hibbertia,glabriuscula,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_glebosa,Hibbertia,glebosa,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_glomerosa,Hibbertia,glomerosa,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_gracilipes,Hibbertia,gracilipes,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_grossularifolia,Hibbertia,grossularifolia,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_hemignosta,Hibbertia,hemignosta,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_huegelii,Hibbertia,huegelii,Dilleniaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Hibbertia_hypericoides,Hibbertia,hypericoides,Dilleniaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Hibbertia_inconspicua,Hibbertia,inconspicua,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_juncea,Hibbertia,juncea,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_lepidota,Hibbertia,lepidota,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_linearis,Hibbertia,linearis,Dilleniaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Hibbertia_montana,Hibbertia,montana,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_obtusifolia,Hibbertia,obtusifolia,Dilleniaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Hibbertia_paeninsularis,Hibbertia,paeninsularis,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_pallidiflora,Hibbertia,pallidiflora,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_platyphylla,Hibbertia,platyphylla,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_prostrata,Hibbertia,prostrata,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_puberula,Hibbertia,puberula,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_pulchella,Hibbertia,pulchella,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_racemosa,Hibbertia,racemosa,Dilleniaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Hibbertia_riparia,Hibbertia,riparia,Dilleniaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Hibbertia_rostellata,Hibbertia,rostellata,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_sericea,Hibbertia,sericea,Dilleniaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Hibbertia_serpyllifolia,Hibbertia,serpyllifolia,Dilleniaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Hibbertia_setifera,Hibbertia,setifera,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_sphenandra,Hibbertia,sphenandra,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_stenophylla,Hibbertia,stenophylla,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_stricta,Hibbertia,stricta,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_subvaginata,Hibbertia,subvaginata,Dilleniaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Hibbertia_tasmanica,Hibbertia,tasmanica,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_vaginata,Hibbertia,vaginata,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibbertia_virgata,Hibbertia,virgata,Dilleniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",Other known species in this lineage (genus) are almost exclusviely C3,,,,,,,,,,,,,,,,,,
Hibiscus_austrinus,Hibiscus,austrinus,Malvaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Hibiscus_brachychlaenus,Hibiscus,brachychlaenus,Malvaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Hibiscus_brachysiphonius,Hibiscus,brachysiphonius,Malvaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Hibiscus_burtonii,Hibiscus,burtonii,Malvaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Hibiscus_caesius,Hibiscus,caesius,Malvaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Hibiscus_coatesii,Hibiscus,coatesii,Malvaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Hibiscus_fosteri,Hibiscus,fosteri,Malvaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Hibiscus_krichauffianus,Hibiscus,krichauffianus,Malvaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Hibiscus_leptocladus,Hibiscus,leptocladus,Malvaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Hibiscus_meraukensis,Hibiscus,meraukensis,Malvaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Hibiscus_panduriformis,Hibiscus,panduriformis,Malvaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Hibiscus_sturtii,Hibiscus,sturtii,Malvaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Hibiscus_verdcourtii,Hibiscus,verdcourtii,Malvaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Hierochloe_submutica,Hibiscus,submutica,Malvaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
