bag.id,sample.id,dune,plot.id,subplot,date,type,totalN_perc,totalP_mgkg,NP,pHwater,pHcacl2,pHbacl2,exchAl_mgkg,exchCa_mgkg,exchFe_mgkg,exchK_mgkg,exchMg_mgkg,exchMn_mgkg,exchNa_mgkg,exchAl_cmolkg,exchCa_cmolkg,exchFe_cmolkg,exchK_cmolkg,exchMg_cmolkg,exchMn_cmolkg,exchNa_cmolkg,TEB_cmolkg,ECEC_cmolkg
263,Q.O.3.4,Quindalup - old,Q.O.3,4,16/6/12,subplot,0.1476,416.5095,3.5431,8.07,7.8,8.38,0,3637.0138,0,19.9213,241.4586,0,409.57,0,18.1488,0,0.0509,1.9865,0,1.7815,21.9677,21.9677
264,Q.O.3.5,Quindalup - old,Q.O.3,5,16/6/12,subplot,0.1716,431.8078,3.9729,8.94,7.95,8.2,0,3752.1069,0,49.3413,149.7324,0,207.0582,0,18.7231,0,0.1262,1.2319,0,0.9006,20.9818,20.9818
265,Q.O.3.6,Quindalup - old,Q.O.3,6,16/6/12,subplot,0.1798,417.5121,4.3073,8.34,7.56,8.02,0,4407.5901,0,13.0437,198.7928,0,69.194,0,21.994,0,0.0334,1.6355,0,0.301,23.9638,23.9638
266,Q.O.3.7,Quindalup - old,Q.O.3,7,16/6/12,subplot,0.1639,451.8778,3.6273,8.15,7.72,8.27,0,3481.8908,0,11.7946,186.3599,0,140.408,0,17.3747,0,0.0302,1.5332,0,0.6107,19.5488,19.5488
267,Q.O.4.1,Quindalup - old,Q.O.4,1,16/6/12,subplot,0.0735,447.7989,1.642,8.71,7.76,8.17,0,1463.0809,0,0,78.1942,0,18.3659,0,7.3008,0,0,0.6433,0,0.0799,8.024,8.024
268,Q.O.4.2,Quindalup - old,Q.O.4,2,16/6/12,subplot,0.0542,461.7382,1.1739,8.93,7.93,8.67,0,1437.5871,0,0,75.6612,0,6.7435,0,7.1736,0,0,0.6225,0,0.0293,7.8254,7.8254
269,Q.O.4.3,Quindalup - old,Q.O.4,3,16/6/12,subplot,0.087,453.3553,1.9188,8.41,7.75,8.28,0,2374.2469,0,0,118.4342,0,25.2858,0,11.8475,0,0,0.9744,0,0.11,12.9319,12.9319
270,Q.O.4.4,Quindalup - old,Q.O.4,4,16/6/12,subplot,0.0533,387.3041,1.3751,8.69,7.84,8.74,0,1137.8209,0,0,61.8392,0,18.9717,0,5.6777,0,0,0.5088,0,0.0825,6.269,6.269
271,Q.O.4.5,Quindalup - old,Q.O.4,5,16/6/12,subplot,0.0459,421.1997,1.0906,8.93,7.98,8.92,0,878.7319,0,0,35.0978,0,15.9703,0,4.3849,0,0,0.2888,0,0.0695,4.7431,4.7431
272,Q.O.4.6,Quindalup - old,Q.O.4,6,16/6/12,subplot,0.0771,484.2446,1.5921,8.56,7.86,8.43,0,1844.8202,0,0,82.6612,0,12.5636,0,9.2057,0,0,0.6801,0,0.0546,9.9404,9.9404
273,Q.O.4.7,Quindalup - old,Q.O.4,7,16/6/12,subplot,0.0525,366.0753,1.433,8.9,7.99,8.8,0,1214.9887,0,0,54.5805,0,8.962,0,6.0628,0,0,0.449,0,0.039,6.5508,6.5508
274,Q.O.5.1,Quindalup - old,Q.O.5,1,13/6/12,subplot,0.0501,181.0828,2.7651,8.75,7.95,8.71,0,1418.6447,0,0,36.8326,0,0,0,7.0791,0,0,0.303,0,0,7.3821,7.3821
275,Q.O.5.2,Quindalup - old,Q.O.5,2,13/6/12,subplot,0.0586,195.3566,3.0021,8.7,7.88,8.63,0,2046.711,0,0,54.5778,0,8.1211,0,10.2131,0,0,0.449,0,0.0353,10.6975,10.6975
276,Q.O.5.3,Quindalup - old,Q.O.5,3,13/6/12,subplot,0.0716,223.4877,3.2026,8.76,7.93,8.46,0,1493.5439,0,0,66.6991,0,14.6519,0,7.4528,0,0,0.5487,0,0.0637,8.0653,8.0653
277,Q.O.5.4,Quindalup - old,Q.O.5,4,13/6/12,subplot,0.0546,243.4069,2.2437,8.78,7.81,8.64,0,1440.2411,0,0,57.1259,0,10.5458,0,7.1868,0,0,0.47,0,0.0459,7.7027,7.7027
278,Q.O.5.5,Quindalup - old,Q.O.5,5,13/6/12,subplot,0.0644,185.4514,3.4734,8.75,7.84,8.69,0,1231.9474,0,0,33.2685,0,0,0,6.1474,0,0,0.2737,0,0,6.4211,6.4211
279,Q.O.5.6,Quindalup - old,Q.O.5,6,13/6/12,subplot,0.0602,195.7299,3.0747,8.78,7.89,8.7,0,1364.4903,0,0,53.7889,0,6.3384,0,6.8088,0,0,0.4425,0,0.0276,7.2789,7.2789
280,Q.O.5.7,Quindalup - old,Q.O.5,7,13/6/12,subplot,0.0774,220.435,3.5118,8.79,7.88,8.45,0,1886.1839,0,0,130.2155,0,54.1112,0,9.4121,0,0,1.0713,0,0.2354,10.7188,10.7188
281,Q.M.18.1,Quindalup - medium,Q.M.18,1,12/6/12,subplot,0.0668,363.646,1.8379,8.68,7.86,8.57,0,2366.7811,0,0,96.2563,0,39.6748,0,11.8103,0,0,0.7919,0,0.1726,12.7748,12.7748
282,Q.M.18.2,Quindalup - medium,Q.M.18,2,12/6/12,subplot,0.0542,391.0223,1.3858,8.73,7.87,8.59,0,1713.2129,0,0,76.3244,0,10.4023,0,8.549,0,0,0.6279,0,0.0452,9.2221,9.2221
283,Q.M.18.3,Quindalup - medium,Q.M.18,3,12/6/12,subplot,0.0835,390.3252,2.139,8.69,7.66,8.24,0,1511.1023,0,0,68.9665,0,23.9207,0,7.5404,0,0,0.5674,0,0.104,8.2119,8.2119
284,Q.M.18.4,Quindalup - medium,Q.M.18,4,12/6/12,subplot,0.187,440.0402,4.2503,8.27,7.68,8.26,0,2408.3465,0,0,117.0747,0,24.0061,0,12.0177,0,0,0.9632,0,0.1044,13.0853,13.0853
285,Q.M.18.5,Quindalup - medium,Q.M.18,5,12/6/12,subplot,0.087,353.8068,2.4596,8.76,7.96,8.74,0,1471.6403,0,0,68.227,0,16.5198,0,7.3435,0,0,0.5613,0,0.0719,7.9767,7.9767
286,Q.M.18.6,Quindalup - medium,Q.M.18,6,12/6/12,subplot,0.0567,267.9268,2.1168,8.99,8.06,8.73,0,1280.4281,0,0,54.29,0,7.7313,0,6.3894,0,0,0.4466,0,0.0336,6.8696,6.8696
287,Q.M.18.7,Quindalup - medium,Q.M.18,7,12/6/12,subplot,0.1106,403.1678,2.743,8.55,7.87,8.47,0,1630.9377,0,0,56.6012,0,12.9565,0,8.1384,0,0,0.4657,0,0.0564,8.6604,8.6604
288,Q.M.23.1,Quindalup - medium,Q.M.23,1,12/6/12,subplot,0.1197,443.7584,2.6981,8.5,7.8,8.56,0,1570.2707,0,0,66.762,0,9.5822,0,7.8357,0,0,0.5493,0,0.0417,8.4266,8.4266
289,Q.M.23.2,Quindalup - medium,Q.M.23,2,12/6/12,subplot,0.1266,439.5903,2.8807,8.46,7.8,7.95,0,1844.6118,0,10.2441,110.335,0,26.9217,0,9.2046,0,0.0262,0.9077,0,0.1171,10.2557,10.2557
290,Q.M.23.3,Quindalup - medium,Q.M.23,3,12/6/12,subplot,0.124,458.185,2.7053,8.73,7.88,8.51,0,1751.0319,0,0,133.4466,0,24.7837,0,8.7377,0,0,1.0979,0,0.1078,9.9434,9.9434
291,Q.M.23.4,Quindalup - medium,Q.M.23,4,12/6/12,subplot,0.0996,447.9008,2.2245,8.63,7.81,8.69,0,1525.0572,0,0,49.4838,0,0,0,7.6101,0,0,0.4071,0,0,8.0172,8.0172
292,Q.M.23.5,Quindalup - medium,Q.M.23,5,12/6/12,subplot,0.1326,480.6004,2.7599,8.37,7.73,8.33,0,2136.4648,0,0,104.1909,0,34.6551,0,10.661,0,0,0.8572,0,0.1507,11.6689,11.6689
293,Q.M.23.6,Quindalup - medium,Q.M.23,6,12/6/12,subplot,0.1178,433.2278,2.7184,8.47,7.81,8.47,0,1931.7748,0,0,119.4082,0,104.6667,0,9.6396,0,0,0.9824,0,0.4553,11.0772,11.0772
294,Q.M.23.7,Quindalup - medium,Q.M.23,7,12/6/12,subplot,0.1414,457.2573,3.0916,8.5,7.73,8.38,9.4619,6228.1457,4.269,0,206.6932,0,33.633,0.1052,31.0786,0.0229,0,1.7005,0,0.1463,32.9253,33.0535
