Spp No,VBA TAXON_ID,Species,Common Name,"PERSEED D, S, G, C, Z (F=inadequate data)","PERVEG V, U, W, N, X (F=inadequate data)","T, I, R, M, K (F=inadequate data)","JUVEN 1, 2, 5, 10, 20, 40 (F=inadequate data)","SPP LIFE 3, 10, 20, 50, 100 (F=inadequate data)","INDIV LIFE A, ASP, B, SP, MP, LP (F = inadequate data)","GEOPHYTE Y, N",MINTFI: Y,VIC ADV,"KFRS: 1, 2, 3, N",REFERENCES  ,
4615,504615,Glossostigma diandrum,Spoon-leaf Mud-mat,,,,,,,,,Vulnerable,,,
1448,501448,Glossostigma drummondii,Desert Mud-mat,,,,,,,,,Poorly known,,,
1449,501449,Glossostigma elatinoides,Small Mud-mat,,,,,,,,,,,,
1451,501451,Glyceria australis,Australian Sweet-grass,F,U,T,1,100,MP,N,,,N,75,
1452,501452,Glyceria declinata,Manna Grass,,,,,,,,,,,,
1453,501453,Glyceria maxima,Reed Sweet-grass,,,,,,,,,,,,
3755,503755,Glyceria notata,Floating Sweet-grass,,,,,,,,,,,,
1454,501454,Glycine canescens,Silky Glycine,,,,,,,,,Endangered,,,
1455,501455,Glycine clandestina,Twining Glycine,S,X,I,2,50,MP,N,,,3,"[9], 43",TIRMK = T [9]
1456,501456,Glycine latrobeana,Clover Glycine,S,X,I,1,20,SP,N,,Vulnerable,,"8, 48, 60",
3741,503741,Glycine microphylla,Small-leaf Glycine,,,,,,,,,,,,
3739,,Glycine tabacina,,,,I,2,50,,,,,3,,
1458,501458,Glycyrrhiza acanthocarpa,Southern Liquorice,,,,,,,,,,,,
1459,501459,Glycyrrhiza glabra,Liquorice,,,,,,,,,,,,
1464,501464,Gnaphalium indutum,Tiny Cudweed,,,,,,,,,,,,
1469,501469,Gnaphalium polycaulon,Indian Cudweed,,,,,,,,,,,,
773,500773,Gnephosis drummondii,Slender Cup-flower,,,,,,,,,Rare,,,
774,500774,Gnephosis tenuissima,Dwarf Cup-flower,,,,,,,,,Rare,,,
273,500273,Gomphocarpus cancellatus,Broad-leaf Cotton-bush,,,,,,,,,,,,
272,516073,Gomphocarpus fruticosus,,,,,,,,,,,,,
1479,501479,Gompholobium ecostatum,Dwarf Wedge-pea,,,I,5,50,,,,,3,,
1480,501480,Gompholobium glabratum,Dainty Wedge-pea,S,,,,,,,,Rare,,,
1481,501481,Gompholobium huegelii,Common Wedge-pea,S,N,I,5,50,MP,N,,,2,55,Obligate seeder in ref 68
3748,503748,Gompholobium inconspicuum,Creeping Wedge-pea,,,,,,,,,Rare,,,
1482,501482,Gompholobium latifolium,Giant Wedge-pea,,,,,,,,,,,,
1483,501483,Gonocarpus elatus,Tall Raspwort,,V,R,2,100,SP,N,,,N,,
1484,501484,Gonocarpus humilis,Shade Raspwort,,,,,,,,,,,,
1485,501485,Gonocarpus mezianus,Hairy Raspwort,,,,,,,,,Rare,,,
3851,503851,Gonocarpus micranthus,Creeping Raspwort,G,W,T,1,100,MP,N,,,N,"[4], 10",PERSEED = S [4]
1486,501486,Gonocarpus micranthus subsp. micranthus,Creeping Raspwort,S,W,T,1,100,MP,N,,,N,,
4885,504885,Gonocarpus micranthus subsp. ramosissimus,Branching Raspwort,,,,,,MP,N,,Poorly known,,,
1487,501487,Gonocarpus montanus,Mat Raspwort,S,U,T,2,100,MP,N,,,N,"[4], 40, 43",JUVEN = 1 [4] and 43
1488,501488,Gonocarpus serpyllifolius,Flat Raspwort,,,,,,,,,Vulnerable,,,
1489,501489,Gonocarpus tetragynus,Common Raspwort,G,W,T,2,100,SP,Y,,,N,"9, [10], 12, 43, 55",JUVEN = 1 [10] and 43
4882,516087,Gonocarpus teucrioides,,G,X,I,2,50,SP,N,,,3,"18, 70",
1494,,Goodenia bellidifolia,,,,,,,,,,,,,
1493,501493,Goodenia benthamiana,Small-leaf Goodenia,,V,T,,,,N,,Rare,,5,
1495,501495,Goodenia blackiana,Black's Goodenia,,,,,,,,,,,,
1496,501496,Goodenia elongata,Lanky Goodenia,G,W,T,5,100,,,,,2,10,
1515,501515,Goodenia fascicularis,Silky Goodenia,,,,,,,,,,,,
1497,501497,Goodenia geniculata,Bent Goodenia,G,V,I,2,100,MP,N,,,2,1,
1498,501498,Goodenia glauca,Pale Goodenia,,,,,,,,,,,,
1499,501499,Goodenia gracilis,Slender Goodenia,,,,,,,,,,,,
1501,501501,Goodenia hederacea,Ivy Goodenia,Z,U,,1,100,LP,N,,,N,40,
4542,504542,Goodenia hederacea subsp. alpestris,Ivy Goodenia,,W,T,2,100,MP,,,,N,[4],JUVEN = 1 [4]
4543,504543,Goodenia hederacea subsp. hederacea,Ivy Goodenia,,,T,2,100,MP,,,,N,,
1502,501502,Goodenia heteromera,Spreading Goodenia,,,,,,,,,,,,
1491,,Goodenia heterophylla,,,,,,,,,,,,,
1503,501503,Goodenia humilis,Swamp Goodenia,,,I,2,100,,,,,3,,
1504,501504,Goodenia lanata,Trailing Goodenia,,,T,5,100,,,,,N,,
1505,501505,Goodenia lineata,Grampians Goodenia,,,,,,,,,Rare,,,
1506,501506,Goodenia lunata,Stiff Goodenia,,,,,,,,,Vulnerable,,,
1513,501513,Goodenia macbarronii,Narrow Goodenia,S,N,T,2,50,MP,N,,Vulnerable,3,26,
1500,501500,Goodenia macmillanii,Pinnate Goodenia,S,N,F,2,50,MP,N,,Vulnerable,3,"28, 26",
1507,501507,Goodenia ovata,Hop Goodenia,G,V,T,5,100,MP,N,,,N,[5],PERVEG = W [5]
1508,501508,Goodenia paniculata,Branched Goodenia,,,,,,,,,,,,
1509,501509,Goodenia pinnatifida,Cut-leaf Goodenia,F,F,T,2,100,MP,N,,,N,12,
1510,501510,Goodenia pusilliflora,Small-flower Goodenia,,,,,,,,,,,,
1511,501511,Goodenia robusta,Woolly Goodenia,G,V,I,1,100,MP,N,,,3,1,
1514,501514,Goodenia stelligera,Spiked Goodenia,,,,,,,,,Rare,,,
1516,501516,Goodenia varia,Sticky Goodenia,G,V,I,5,50,MP,N,,,N,"1, 19",regeneration very palatable to goats (19)
1492,501492,Goodenia willisiana,Sandhill Goodenia,G,V,I,2,50,MP,N,,,N,"1, 19",
1517,501517,Goodia lotifolia,,S,X,I,2,100,SP,N,,,2,[5],PERSEED = G [5]
5076,505076,Goodia lotifolia var. lotifolia,,,,,,,,,,,,,
4600,504600,Goodia lotifolia var. pubescens,,K,,,,,,,,,,,
1518,501518,Goodia medicaginea,Western Golden-tip,G,,I,1,100,,N,,Rare,2,,
1519,501519,Grammitis billardierei,Common Finger-fern,,,,,,,N,,,,,
3742,503742,Grammitis magellanica subsp. nothofageti,Beech Finger-fern,,,,,,,N,,Vulnerable,,,
1521,501521,Grammitis poeppigiana,Alpine Finger-fern,Z,F,T,,F,MP,N,,Rare,N,"26, 28",
1522,501522,Gratiola nana,Matted Brooklime,,,,,,,,,Rare,,,
1523,501523,Gratiola pedunculata,Stalked Brooklime,,,T,2,100,,,,Poorly known,N,,
1524,501524,Gratiola peruviana,Austral Brooklime,,,T,2,100,,,,,N,,
3747,503747,Gratiola pubescens,Glandular Brooklime,,,T,2,100,,,,,N,,
3753,503753,Gratiola pumilo,Dwarf Brooklime,,,,,,,,,Rare,,,
1526,501526,Grevillea alpina,Cat's Claw Grevillea,G,N,T,10,100,MP,N,Y,,N,"5, [38], 54",PERSEED = Z [38]
4926,504926,Grevillea alpivaga,Buffalo Grevillea,G,X,I,1,,MP,N,,Rare,3,8,
1527,501527,Grevillea aquifolium,Holly Grevillea,G,,I,10,50,LP,N,Y,,3,5,
4918,504918,Grevillea arenaria,Grey Grevillea,,,,,,,,,,,,
1528,501528,Grevillea australis,Alpine Grevillea,F,X,T,10,100,LP,N,Y,,N,"[4], 38",TIMRK = I [4]
1529,501529,Grevillea barklyana,Gully Grevillea,G,X,I,10,100,LP,N,Y,Vulnerable,1,14,
3743,503743,Grevillea bedggoodiana,Enfield Grevillea,G,N,I,10,50,LP,N,Y,Vulnerable,2,"49, 60",
5488,505489,Grevillea brevifolia,Cobberas Grevillea,,,,,,,,,Rare,,,
5489,,Grevillea brevifolia subsp. brevifolia,,,,,,,,,,,,,
7478,,Grevillea callichlaena,,,,,,,,,,Endangered,,,
4716,504716,Grevillea celata,Colquhoun Grevillea,G,X,T,5,50,MP,N,,Vulnerable,,60,
1530,501530,Grevillea chrysophaea,Golden Grevillea,G,X,I,5,50,MP,N,Y,Rare,1,55,
1531,501531,Grevillea confertifolia,Grampians Grevillea,C,,T,,,,N,,Rare,,5,
1532,501532,Grevillea dimorpha,Flame Grevillea,G,,I,5,,MP,N,,Rare,,5,
1533,501533,Grevillea dryophylla,Goldfields Grevillea,,,,,,,,,Rare,,,
1534,,Grevillea floribunda,,,,,,,,,,,,,
1535,501535,Grevillea floripendula,Ben Major Grevillea,G,N,I,10,50,LP,N,Y,Vulnerable,2,"49, 60","response is suspected only, 49"
4925,504925,Grevillea gariwerdensis,Gariwerd Grevillea,,,,,,,,,Poorly known,,,
1537,501537,Grevillea huegelii,Comb Grevillea,,,,10,100,LP,N,,,N,19,
1538,501538,Grevillea ilicifolia,Holly-leaf Grevillea,G,V,T,10,100,MP,N,,,N,1,PERSEED = C [2]
3744,503744,Grevillea infecunda,Anglesea Grevillea,Z,N,T,5,100,LP,N,,Vulnerable,N,60,
1539,501539,Grevillea jephcottii,Green Grevillea,,,,,,,,,Rare,,,
7155,507155,Grevillea juniperina,Prickly Spider-flower,,,,,,,,,,,,
1540,501540,Grevillea lanigera,Woolly Grevillea,Z,N,T,5,100,LP,N,,,3,38,
1541,501541,Grevillea lavandulacea,Lavender Grevillea,G,F,T,10,100,MP,N,Y,,N,1,
1545,501545,Grevillea linearifolia s.l.,Small-flower Grevillea,,,,,,,,,,,,
4921,504921,Grevillea micrantha,Small-flower Grevillea,,,,,,,,,Rare,,,
1542,501542,Grevillea microstegia,Mount Cassell Grevillea,G,X,I,5,50,MP,N,,Rare,2,49,
1543,501543,Grevillea miqueliana,Oval-leaf Grevillea,,,,,,,,,Vulnerable,,,
5525,,Grevillea miqueliana subsp. cincta,,,,,,,,,,Endangered,,,
5492,505492,Grevillea miqueliana subsp. miqueliana,Oval-leaf Grevillea,,,,,,,,,Vulnerable,,,
5493,505493,Grevillea miqueliana subsp. moroka,Moroka Grevillea,S,X,I,10,100,MP,N,,Vulnerable,2,"26, 28",
5491,505491,Grevillea monslacana,Lake Mountain Grevillea,,,,,,,,,Rare,,,
1544,501544,Grevillea montis-cole,Mount Cole Grevillea,,,,,,,,,Rare,,,
4534,504534,Grevillea montis-cole subsp. brevistyla,Langi Ghiran Grevillea,G,N,I,10,100,LP,N,Y,Vulnerable,2,"49, 60",
4535,504535,Grevillea montis-cole subsp. montis-cole,Mount Cole Grevillea,,,,,,,,,Rare,,,
4922,504922,Grevillea neurophylla,Granite Grevillea,,,,,,,,,Rare,,,
5772,505772,Grevillea neurophylla subsp. fluviatilis,Granite Grevillea,,,,,,,,,Rare,,,
5773,505773,Grevillea neurophylla subsp. neurophylla,Granite Grevillea,,,,,,,,,Rare,,,
3745,503745,Grevillea obtecta,Fryerstown Grevillea,C,N,K,10,50,MP,N,Y,Rare,3,31,
4552,504552,Grevillea pachylostyla,Buchan River Grevillea,F,F,F,2,,,,,Rare,,8,
4550,504550,Grevillea parvula,Genoa Grevillea,,,,,,,,,Vulnerable,,,
4924,504924,Grevillea patulifolia,Swamp Grevillea,,,,,,,,,Rare,,,
1546,501546,Grevillea polybractea,Crimson Grevillea,,,,,,,,,Rare,,,
5490,,Grevillea polychroma,,,,,,,,,,Vulnerable,,,
1547,501547,Grevillea pterosperma,Desert Grevillea,G,V,I,10,50,MP,N,,,2,"1, 19",
1548,,Grevillea ramosissima,,,,,,,,,,,,,
1549,501549,Grevillea repens,Creeping Grevillea,S,U,I,5,50,MP,N,,Rare,2,48,
7157,507157,Grevillea robusta,Silky Oak,,,,,,,,,,,,
1550,501550,Grevillea rosmarinifolia,Rosemary Grevillea,C,,T,5,100,,,,,N,,
1536,501536,Grevillea rosmarinifolia subsp. glabella,Smooth Grevillea,,,,,,,,,Rare,,,
4066,504066,Grevillea rosmarinifolia subsp. rosmarinifolia,Rosemary Grevillea,,,,,,,,,Rare,,,
5709,505709,Grevillea sp. aff. oxyantha (Mt Burrowa),,,,,,,,,,,,,
7031,507031,Grevillea sp. aff. oxyantha subsp. oxyantha,,,,,,,,,,,,,
1551,501551,Grevillea steiglitziana,Brisbane Range Grevillea,,,,,,,,,Rare,,,
4551,,Grevillea victoriae,,,,,,,,,,,,,
5487,505487,Grevillea victoriae subsp. nivalis,Kosciuszko Grevillea,,,,,,,,,Endangered,,,
5486,505486,Grevillea victoriae subsp. victoriae,Royal Grevillea,,,,,,,,,Rare,,,
1554,501554,Grevillea willisii,Rock Grevillea,,,,,,,,,Rare,,,
5800,505800,Gymnocoronis spilanthoides,Senegal Tea,,,,,,,,,,,,
1555,501555,Gymnoschoenus sphaerocephalus,Button Grass,,,,,,,,,,,,
3756,503756,Gynatrix macrophylla,Gippsland Hemp Bush,,,,,,,,,Rare,,,
3853,501557,Gynatrix pulchella,Hemp Bush,G,N,T,5,20,MP,N,,,3,38,"T (lowland popns), I (montane forests)"
1558,501558,Gypsophila tubulosa,Chalkwort,,,,,,,,,,,,
1559,501559,Gyrostemon australasicus,Wheel Fruit,G,X,I,2,100,SP,N,,,2,"1, 19",
1173,501173,Haegiela tatei,Small Nut-heads,,,,,,,,,Vulnerable,,,
2216,502216,Hainardia cylindrica,Common Barb-grass,,,,,,,,,,,,
,507783,Hakea asperma,Native Dog Hakea,Z,V,T,5,100,LP,N,,Endangered,N,29,
1562,501562,Hakea dactyloides,Finger Hakea,G,N,I,20,50,LP,N,Y,Rare,2,11,SPP LIFE may be >50 - check
5070,505070,Hakea decurrens,Bushy Needlewood,G,X,T,20,50,LP,N,Y,,2,"48, 51, 61","PERVEG = T [51, 61]"
5071,505071,Hakea decurrens subsp. physocarpa,Bushy Needlewood,G,X,I,20,50,LP,N,Y,,2,"[5], 51","PERSEED = C, TIRMK = T [5]"
5072,505072,Hakea decurrens subsp. platytaenia,Coast Needlewood,G,X,I,20,50,LP,N,Y,Rare,2,49,
5767,505767,Hakea drupacea,Sweet Hakea,,,,,,,,,,,,
1563,501563,Hakea eriantha,Tree Hakea,G,U,I,10,100,MP,N,,,3,48,
7184,507184,Hakea gibbosa,Downy Hakea,,,,,,,,,,,,
5747,505747,Hakea laurina,Pincushion Hakea,,,,,,,,,,,,
1564,501564,Hakea leucoptera subsp. leucoptera,Silver Needlewood,G,X,T,20,50,LP,N,Y,,N,49,
1565,501565,Hakea lissosperma,Mountain Needlewood,G,X,I,10,50,LP,N,Y,Rare,2,"[4], 26, 28",PERSEED = C[4]
3770,503770,Hakea macraeana,Willow Needlewood,,,,,,,,,Endangered,,,
1566,501566,Hakea microcarpa,Small-fruit Hakea,G,N,I,10,100,LP,N,Y,,3,"[4,10], 11, 68","PERVEG = V, TIRMK = T [4]; PERVEG = W, TIRMK = T [10]"
1567,501567,Hakea mitchellii,Desert Hakea,G,X,I,10,100,MP,N,Y,,3,"1, 5","mostly an obligate seed regenerator, but some southern populations resprout post-fire"
1568,501568,Hakea nodosa,Yellow Hakea,G,X,I,5,50,LP,N,,,3,5,
5930,505930,Hakea petiolaris,Sea-urchin Hakea,,,,,,,,,,,,
3764,503764,Hakea repullulans,Western Furze Hakea,G,N,I,10,50,MP,N,Y,,2,5,
1569,501569,Hakea rostrata,Beaked Hakea,G,N,I,5,50,LP,N,,,2,5,PERSEED = S (Mallee Broombrush) G (Heathy Woodland) [5]
1570,501570,Hakea rugosa,Dwarf Hakea,,,,5,50,,,,,2,,
5748,,Hakea salicifolia,,,,,,,,,,,,,
5074,516158,Hakea sericea,,PERSEED,X,,,,,,,,,70,
1572,501572,Hakea tephrosperma,Hooked Needlewood,G,N,T,20,100,LP,N,Y,,3,49,
1573,,Hakea teretifolia,,PERSEED,X,,,,,,,,,73,
1574,501574,Hakea ulicina,Furze Hakea,G,,I,5,50,LP,,,,1,,
1576,501576,Halgania andromedifolia,Smooth Halgania,,,,,,,,,,,,
1575,501575,Halgania cyanea,Rough Halgania,G,V,I,5,50,MP,N,,,N,"1, 19",resprouts palatable to goats (19)
1578,501578,Halophila australis,Oval Sea-wrack,,,,,,,,,Poorly known,,,
1577,501577,Halophila decipiens,Devious Sea-wrack,,,,,,,,,Poorly known,,,
5470,505470,Haloragis acutangula,Smooth Raspwort,,,,,,,,,Poorly known,,,
5471,505471,Haloragis acutangula f. acutangula,Smooth Raspwort,,,,,,,,,Endangered,,,
5472,505472,Haloragis acutangula f. tetraptera,Smooth Raspwort,,,,,,,,,Poorly known,,,
1579,501579,Haloragis aspera,Rough Raspwort,,,,,,,,,,,,
1580,501580,Haloragis brownii,Swamp Raspwort,,,,,,,,,,,,
1581,501581,Haloragis eichleri,Eichler's Raspwort,,,,,,,,,Vulnerable,,,
1582,,Haloragis exalata,,,,,,,,,,,,,
3766,,Haloragis glauca,,,,,,,,,,,,,
1584,501584,Haloragis heterophylla,Varied Raspwort,F,V,T,2,100,SP,N,,,N,12,
1585,501585,Haloragis myriocarpa,Prickly Raspwort,,,,,,,,,Vulnerable,,,
1586,501586,Haloragis odontocarpa,Toothed Raspwort,G,X,I,1,100,ASP,N,,,2,19,
1587,501587,Haloragodendron baeuerlenii,Shrubby Raspwort,,,,,,,,,Rare,,,
1588,516177,Halosarcia halocnemoides,,,,,,,,,,,,,
1589,,Halosarcia indica,,,,,,,,,,,,,
1592,516182,Halosarcia pergranulata,,,,,,,,,,,,,
4576,516184,Halosarcia pergranulata subsp. pergranulata,,,,,,,,,,,,,
1593,516185,Halosarcia pruinosa,,,,,,,,,,,,,
1594,516187,Halosarcia pterygosperma,,,,,,,,,,,,,
1596,501596,Hardenbergia violacea,Purple Coral-pea,S,PERVEG,T,5,100,MP,N,,,N,"54, 68",
1597,501597,Harmsiodoxa blennodioides,May Smocks,,,,,,,,,,,,
1598,516197,Harmsiodoxa brevipes,,,,,,,,,,,,,
1599,501599,Hedera helix,English Ivy,,,,,,,,,,,,
1600,501600,Hedycarya angustifolia,Austral Mulberry,Z,N,T,10,100,LP,N,Y,,3,"5, 38, 54",PERSEED = C [5]
5983,505983,Hedychium gardnerianum,Ginger Lily,,,,,,,,,,,,
1601,501601,Hedypnois cretica,,,,,,,,,,,,,
3762,503762,Helianthus annuus,Common Sunflower,,,,,,,,,,,,
5801,505801,Helianthus tuberosus,Jerusalem Artichoke,,,,,,,,,,,,
1603,501603,Helichrysum adenophorum,Branched Everlasting,,,,,,,,,Rare,,,
4587,504587,Helichrysum adenophorum var. adenophorum,,G,X,I,1,100,ASP,N,,,2,1,
4588,504588,Helichrysum adenophorum var. waddelliae,,F,F,F,F,50,SP,N,,,3,"26, 28",
4394,504394,Helichrysum aff. rutidolepis (Alps),,,,,,,,,,,,,
4655,504655,Helichrysum aff. rutidolepis (Lowland Swamps),,,,,,,,,,,,,
1617,501617,Helichrysum elatum,,,,,,,,,,,,,
4602,,Helichrysum rutidolepis,,,W,T,1,50,SP,,,,2,43,JUVEN = 2 [43]
4914,504914,Heliotropium amplexicaule,Blue Heliotrope,,,,,,,,,,,,
1634,501634,Heliotropium asperrimum,Rough Heliotrope,,,,,,,,,Vulnerable,,,
1635,501635,Heliotropium curassavicum,Smooth Heliotrope,,,,,,,,,,,,
1636,501636,Heliotropium europaeum,Common Heliotrope,,,,,,,,,,,,
1637,501637,Heliotropium supinum,Creeping Heliotrope,,,,,,,,,,,,
2511,502511,Helminthotheca echioides,Ox-tongue,,,,,,,,,,,,
1654,516214,Hemarthria uncinata,,F,U,T,1,100,MP,N,,,N,75,
7195,507195,Hemerocallis fulva,Orange Day Lily,,,,,,,,,,,,
1655,501655,Hemichroa diandra,Mallee Hemichroa,,,,,,,,,Endangered,,,
1656,501656,Hemichroa pentandra,Trailing Hemichroa,,,,,,,,,,,,
1657,501657,Herniaria cinerea,Hairy Rupture-wort,,,,,,,,,,,,
1658,501658,Herpolirion novae-zelandiae,Sky Lily,Z,U,T,2,100,MP,Y,,Rare,N,"[4], 26, 28", JUVEN = 1 [4]
1661,501661,Hibbertia acicularis,Prickly Guinea-flower,S,N,I,2,50,MP,N,,,N,55,
5435,505435,Hibbertia appressa,Southern Guinea-flower,,,,,,,,,,,,
5436,516221,Hibbertia aspera,,,,,,,,,,,,,
4595,504595,Hibbertia australis,Upright Guinea-flower,,,,,,,,,,,,
1663,501663,Hibbertia calycina,Juniper Guinea-flower,,,I,5,100,,N,,,3,,
1664,,Hibbertia cistiflora,,,,,,,,N,,,,,
4594,504594,Hibbertia crinita,Hoary Guinea-flower,,,,,,,N,,,,,
1665,501665,Hibbertia dentata,Trailing Guinea-flower,,,,,,,N,,Rare,,,
1666,501666,Hibbertia diffusa,Wedge Guinea-flower,,,,,,,N,,Rare,,,
5437,,Hibbertia empetrifolia,,,V,,,,,N,,,N,,
1668,501668,Hibbertia exutiacies,Spiky Guinea-flower,,,,,,,N,,,,,
1674,,Hibbertia fasciculata var. prostrata,,G,X,I,5,50,MP,N,,,3,"5, 55",JUVEN = 2 [5]
1669,501669,Hibbertia hermanniifolia,Outcrop Guinea-flower,,,,,,,N,,Rare,,,
5438,505438,Hibbertia hirticalyx,Bass Guinea-flower,,,,,,,N,,Rare,,,
1670,501670,Hibbertia humifusa,Rising Star Guinea-flower,,,,,,,N,,Rare,,,
5087,505087,Hibbertia humifusa subsp. debilis,Dergholm Guinea-flower,G,X,I,5,100,MP,N,,Vulnerable,,60,
5083,505083,Hibbertia humifusa subsp. erigens,Euroa Guinea-flower,,,,,,,N,,Vulnerable,,,
5082,505082,Hibbertia humifusa subsp. humifusa,Rising Star Guinea-flower,,,,,,,N,,Rare,,,
5813,,Hibbertia incana,,,,,,,,N,,,,,
3769,503769,Hibbertia monogyna,Leafy Guinea-flower,,,,,,,N,,Poorly known,,,
5439,505439,Hibbertia notabilis,Howe Guinea-flower,,,,,,,N,,Vulnerable,,,
1671,501671,Hibbertia obtusifolia,Grey Guinea-flower,G,V,T,2,,MP,N,,,N,43,
5440,505440,Hibbertia pallidiflora,Pale Guinea-flower,,,,,,,N,,Rare,,,
1673,501673,Hibbertia procumbens,Spreading Guinea-flower,,,,,,,N,,,,,
1675,501675,Hibbertia riparia,Erect Guinea-flower,G,V,I,5,50,MP,N,,,3,"1 (5), 55",TIRMK = T [5]
1676,501676,Hibbertia rufa,Brown Guinea-flower,,,,,,,N,,Rare,,,
5079,516224,Hibbertia sericea,,G,N,I,5,50,MP,N,,,3,"[5], 19","TIRMK = T (Foothill Forest, 5)"
5811,505811,Hibbertia sericea var. densiflora,Silky Guinea-flower,,,,,,,N,,,,,
4592,504592,Hibbertia sericea var. scabrifolia,Silky Guinea-flower,,,,,,,N,,Rare,,,
5812,505812,Hibbertia sericea var. sericea s.s.,Silky Guinea-flower,,,,,,,N,,,,,
1678,501678,Hibbertia serpyllifolia,Thyme Guinea-flower,,PERVEG,,,,,N,,,,68,
1679,501679,Hibbertia sessiliflora,Heathy Guinea-flower,,,,,,,N,,Vulnerable,,,
5670,505670,Hibbertia sp. 1 (Eastern Highlands),Mt Samaria Guinea-flower,,,,,,,N,,Vulnerable,,,
1682,501682,Hibbertia spathulata,Rock Guinea-flower,,,,,,,N,,Rare,,,
1683,501683,Hibbertia stricta s.l.,Upright Guinea-flower,,,,,,,N,,,,,
5080,505080,Hibbertia torulosa,Knobby Guinea-flower,,,,,,,N,,Poorly known,,,
5441,505441,Hibbertia truncata,Port Campbell Guinea-flower,,,,,,,N,,Rare,,,
1684,501684,Hibbertia virgata,Twiggy Guinea-flower,G,N,T,5,50,MP,N,,,3,"1 [2], [5], 19, 55","PERSEED = C [2], JUVEN = 2 [5]; above-ground plants decreasing in abundance by 6 y post-fire"
1685,501685,Hibiscus brachysiphonius,Low Hibiscus,,,,,,,N,,Endangered,,,
1686,,Hibiscus trionum,,,,,,,,,,,,,
5658,,Hieracium aurantiacum,,,,,,,,,,,,,
1687,501687,Hierochloe rariflora,Cane Holy-grass,,,,,,,,,,,,
1688,501688,Hierochloe redolens,Sweet Holy-grass,,,,,,,,,,,,
1689,501689,Hierochloe submutica,Alpine Holy-grass,,,,,,,,,Vulnerable,,,
1690,501690,Hirschfeldia incana,Buchan Weed,,,,,,,,,,,,
1691,501691,Histiopteris incisa,Bat's Wing Fern,,,,,,,,,,,,
1694,501694,Holcus annuus,Annual Fog,D,X,T,1,100,A,N,,,N,,
1692,501692,Holcus lanatus,Yorkshire Fog,C,N,T,1,100,ASP,N,,,N,"[4], 12, 43",JUVEN = 2 [43]
1693,501693,Holcus mollis,Creeping Fog,,,,,,,,,,,,
5578,505578,Homalanthus populifolius,Bleeding Heart,,,,,,,,,,,,
5673,505673,Homoglossum watsonium,,,,,,,,Y,,,,,
5099,505099,Hordeum distichon,Two-row Barley,,,,,,,,,,,,
1700,501700,Hordeum glaucum,Northern Barley-grass,D,X,T,1,100,A,N,,,,,
1699,515429,Hordeum hystrix,,D,X,T,1,100,A,N,,,N,,
1701,501701,Hordeum leporinum,Barley-grass,D,X,T,1,100,A,N,,,N,,
1702,515430,Hordeum marinum,,D,X,T,1,100,ASP,N,,,N,,
3695,503695,Hordeum murinum s.l.,Barley-grass,D,X,T,1,100,ASP,N,,,,,
1703,515435,Hordeum secalinum,,D,X,T,1,100,A,N,,,,,
5100,516232,Hordeum vulgare,,D,X,T,1,100,A,N,,,,,
5593,505593,Hovea asperifolia,Mountain Beauty,,,,,,,,,,,,
5594,505594,Hovea asperifolia subsp. asperifolia,Mountain Beauty,,,,,,,,,,,,
5595,505595,Hovea asperifolia subsp. spinosissima,Rough Hovea,,,,,,,,,Rare,,,
3767,503767,Hovea corrickiae,Glossy Hovea,,,,,,,,,Rare,,,
1705,501705,Hovea heterophylla,Common Hovea,Z,N,I,5,100,,N,,,3,"38, 54",
3768,503768,Hovea magnibractea,Large-bract Hovea,,,,,,,,,Rare,,,
4599,504599,Hovea montana,Alpine Rusty-pods,S,N,T,10,100,LP,N,,,N,"[4], 38, 40",PERVEG = U/W [4]
4929,516234,Hovea pannosa,,,,,,,,,,,,,
3787,503787,Hovea purpurea,Tall Hovea,,,,,,,,,Rare,,,
5790,516235,Hovea rosmarinifolia,,,,,,,,,,,,,
1708,501708,Howittia trilocularis,Blue Howittia,,,,,,,,,,,,
1709,501709,Huperzia australiana,Fir Clubmoss,,,,,,,,,Rare,,,
2084,502084,Huperzia varia,Long Clubmoss,,,,,,,,,Vulnerable,,,
5826,505826,Hyacinthoides hispanica,Spanish Bluebell,,,,,,,,,,,,
5827,505827,Hyacinthoides non-scripta,English Bluebell,,,,,,,,,,,,
1643,501643,Hyalosperma demissum,Moss Sunray,S,X,T,1,100,A,N,,,N,,
1644,501644,Hyalosperma glutinosum subsp. glutinosum,Golden Sunray,,,,,,,,,,,,
1642,501642,Hyalosperma praecox,Mayweed Sunray,S,X,T,1,100,A,N,,,,62,
1645,501645,Hyalosperma semisterile,Orange Sunray,S,X,T,1,100,A,N,,,,62,
3765,503765,Hyalosperma stoveae,Dwarf Sunray,,,,,,,,,Endangered,,,
1710,501710,Hybanthus floribundus,Shrub Violet,G,N,I,5,50,MP,N,,,N,19,
1711,501711,Hybanthus monopetalus,Slender Violet-bush,,,,,,,,,Rare,,,
1712,,Hybanthus vernonii,,,,,,,,,,,,,
7181,507181,Hydrangea macrophylla,Hydrangea,,,,,,,,,,,,
1713,501713,Hydrilla verticillata,Hydrilla,,,,,,,,,Rare,,,
1714,501714,Hydrocleys nymphoides,Water Poppy,,,,,,,,,,,,
1715,501715,Hydrocotyle acutiloba,Broad-leaf Pennywort,,,,,,,,,,,,
