Individual,Species,Batch,Nutrient Treatment,Grass Treatment,Continent,Climate,Leaf Habit,Mass_g,RMF_g_per_g,SER_mm_per_day,SLA_mm2_per_mg,N_mg_per_g,P_mg_per_g,K_mg_per_g,A_nmol_CO2_per_g_s,gs_mmol_H2O_per_m2_s,PWUE_umol_CO2_per_mmol_H2O,photosynthetic_rate_per_area_saturated,PWUE_2,STRL_m_per_g,Seed location,context
1155,Eucalyptus tessellaris,1,Nh,G0,Australia,Humid,Evergreen,11.34,0.259,0.21,23.36,17.85,1.42,13.96,10.35,11,1.04,0.443065068,0.040278643,18.75,"Mareeba, Queensland",Nutrient_treatment_Nh_and_grass_treatment_G0
1156,Eucalyptus tessellaris,1,Nh,G0,Australia,Humid,Evergreen,10.54,0.126,0.24,23.82,15.98,1.61,17.84,91.51,33,1.12,3.841729639,0.11641605,7.99,"Mareeba, Queensland",Nutrient_treatment_Nh_and_grass_treatment_G0
1157,Eucalyptus tessellaris,1,Nh,G0,Australia,Humid,Evergreen,12.8,0.377,0.18,20.46,14.59,1.17,14.48,38.78,70.52,1.03,1.89540567,0.026877562,11.34,"Mareeba, Queensland",Nutrient_treatment_Nh_and_grass_treatment_G0
1158,Eucalyptus tessellaris,1,Nh,G0,Australia,Humid,Evergreen,25.42,0.167,0.24,21.09,15.24,1.46,10.79,114.91,57,1.1,5.448553817,0.095588663,6.49,"Mareeba, Queensland",Nutrient_treatment_Nh_and_grass_treatment_G0
1159,Eucalyptus tessellaris,1,Nh,G0,Australia,Humid,Evergreen,16.95,0.294,0.2,22.96,18.78,1.37,15.23,138.75,39,1.16,6.043118467,0.154951756,20.08,"Mareeba, Queensland",Nutrient_treatment_Nh_and_grass_treatment_G0
1160,Eucalyptus tessellaris,1,Nl,G0,Australia,Humid,Evergreen,12.09,0.179,0.15,21.62,17.76,1.32,19.2,212.86,52,1.19,9.845513414,0.189336796,27.55,"Mareeba, Queensland",Nutrient_treatment_Nl_and_grass_treatment_G0
1201,Grevillea pteridifolia,3,Nh,G1,Australia,Humid,Evergreen,1.32,0.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Herberton,Nutrient_treatment_Nh_and_grass_treatment_G1
1202,Grevillea pteridifolia,3,Nh,G1,Australia,Humid,Evergreen,1.26,0.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Herberton,Nutrient_treatment_Nh_and_grass_treatment_G1
1203,Grevillea pteridifolia,3,Nh,G1,Australia,Humid,Evergreen,0.76,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Herberton,Nutrient_treatment_Nh_and_grass_treatment_G1
1204,Grevillea pteridifolia,3,Nl,G1,Australia,Humid,Evergreen,0.65,0.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Herberton,Nutrient_treatment_Nl_and_grass_treatment_G1
1205,Grevillea pteridifolia,3,Nh,G1,Australia,Humid,Evergreen,1.15,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Herberton,Nutrient_treatment_Nh_and_grass_treatment_G1
1207,Grevillea pteridifolia,3,Nl,G1,Australia,Humid,Evergreen,1.34,0.146,NA,NA,16.76,2.75,7.95,NA,NA,NA,NA,NA,NA,Herberton,Nutrient_treatment_Nl_and_grass_treatment_G1
1208,Grevillea pteridifolia,3,Nh,G0,Australia,Humid,Evergreen,30.72,0.174,0.1,15.84,32.66,2.06,9.1,NA,NA,NA,NA,NA,7.25,Herberton,Nutrient_treatment_Nh_and_grass_treatment_G0
1209,Grevillea pteridifolia,3,Nh,G0,Australia,Humid,Evergreen,11.77,0.143,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.72,Herberton,Nutrient_treatment_Nh_and_grass_treatment_G0
1210,Grevillea pteridifolia,3,Nh,G0,Australia,Humid,Evergreen,29.17,0.227,0.19,14.37,20.78,3.64,6.96,NA,NA,NA,NA,NA,4.26,Herberton,Nutrient_treatment_Nh_and_grass_treatment_G0
1211,Grevillea pteridifolia,3,Nh,G0,Australia,Humid,Evergreen,34.25,0.231,0.11,12.95,25.59,2.15,10.62,NA,NA,NA,NA,NA,2.9,Herberton,Nutrient_treatment_Nh_and_grass_treatment_G0
1212,Grevillea pteridifolia,3,Nh,G0,Australia,Humid,Evergreen,8.03,0.115,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.97,Herberton,Nutrient_treatment_Nh_and_grass_treatment_G0
1213,Grevillea pteridifolia,3,Nl,G0,Australia,Humid,Evergreen,89.92,0.273,0.22,13.44,14.48,1.6,7.99,NA,NA,NA,NA,NA,4.48,Herberton,Nutrient_treatment_Nl_and_grass_treatment_G0
1214,Grevillea pteridifolia,3,Nl,G0,Australia,Humid,Evergreen,62.05,0.261,0.15,11.38,22.97,1.24,20.29,NA,NA,NA,NA,NA,23.33,Herberton,Nutrient_treatment_Nl_and_grass_treatment_G0
1215,Grevillea pteridifolia,3,Nl,G0,Australia,Humid,Evergreen,70.63,0.305,0.06,11.66,15.58,1.09,8.66,NA,NA,NA,NA,NA,NA,Herberton,Nutrient_treatment_Nl_and_grass_treatment_G0
1216,Grevillea pteridifolia,3,Nl,G0,Australia,Humid,Evergreen,74.49,0.247,0.18,14.24,19.87,2.69,17.56,NA,NA,NA,NA,NA,2.84,Herberton,Nutrient_treatment_Nl_and_grass_treatment_G0
1217,Grevillea pteridifolia,3,Nl,G0,Australia,Humid,Evergreen,67.07,0.222,0.21,14.71,19.86,1.84,9.24,NA,NA,NA,NA,NA,NA,Herberton,Nutrient_treatment_Nl_and_grass_treatment_G0
1218,Grevillea pteridifolia,2,Nh,G0,Australia,Humid,Evergreen,109.6,0.584,0.04,5.12,12.24,1.15,9.61,47.85,95.95,1.1,9.345703125,0.097401804,3.03,Herberton,Nutrient_treatment_Nh_and_grass_treatment_G0
1219,Grevillea pteridifolia,2,Nh,G0,Australia,Humid,Evergreen,29.04,0.342,0.04,4.84,20.01,2.11,13.15,51.7,294.32,1.04,10.68181818,0.036293212,3.85,Herberton,Nutrient_treatment_Nh_and_grass_treatment_G0
1220,Grevillea pteridifolia,2,Nh,G0,Australia,Humid,Evergreen,97.88,0.596,0.05,4.95,15.57,1.48,21.53,17.65,36.85,1.09,3.565656566,0.096761372,7.73,Herberton,Nutrient_treatment_Nh_and_grass_treatment_G0
1221,Grevillea pteridifolia,2,Nh,G0,Australia,Humid,Evergreen,86.51,0.45,0.05,5.29,14.71,2.03,9.95,18.51,41.74,1.08,3.49905482,0.083829775,5.06,Herberton,Nutrient_treatment_Nh_and_grass_treatment_G0
1222,Grevillea pteridifolia,2,Nh,G0,Australia,Humid,Evergreen,50.49,0.301,0.08,18.24,20.43,1.79,10.92,174.25,375,1.03,9.553179825,0.025475146,1.93,Herberton,Nutrient_treatment_Nh_and_grass_treatment_G0
1223,Grevillea pteridifolia,2,Nl,G0,Australia,Humid,Evergreen,101.95,0.552,0.04,4.23,7,0.44,4.87,24.34,107.59,1.05,5.754137116,0.053482081,2.19,Herberton,Nutrient_treatment_Nl_and_grass_treatment_G0
1224,Grevillea pteridifolia,2,Nl,G0,Australia,Humid,Evergreen,80.1,0.503,0.13,5.55,8.76,0.61,6.44,34.72,116.45,1.05,6.255855856,0.05372139,NA,Herberton,Nutrient_treatment_Nl_and_grass_treatment_G0
1225,Grevillea pteridifolia,2,Nl,G0,Australia,Humid,Evergreen,38.13,0.474,0.02,4.79,8.62,0.79,6.92,61.79,370.88,1.03,12.89979123,0.034781577,6.09,Herberton,Nutrient_treatment_Nl_and_grass_treatment_G0
1226,Grevillea pteridifolia,2,Nl,G0,Australia,Humid,Evergreen,95.14,0.611,0.04,3.45,7.66,0.48,3.5,28.97,169.43,1.05,8.397101449,0.049560889,2.13,Herberton,Nutrient_treatment_Nl_and_grass_treatment_G0
1227,Grevillea pteridifolia,2,Nl,G0,Australia,Humid,Evergreen,52.44,0.621,0.04,9.97,6.93,0.39,2.47,69.79,252,1.03,7,0.027777778,3.66,Herberton,Nutrient_treatment_Nl_and_grass_treatment_G0
1228,Grevillea pteridifolia,2,Nl,G1,Australia,Humid,Evergreen,4.7,0.088,NA,2.43,12.74,6.62,5.65,22.93,529.95,1.02,9.436213992,0.017805857,NA,Herberton,Nutrient_treatment_Nl_and_grass_treatment_G1
1229,Grevillea pteridifolia,2,Nl,G1,Australia,Humid,Evergreen,4.89,0.087,NA,4.87,19.2,3.73,7.05,23.7,243.08,1.02,4.866529774,0.02002028,NA,Herberton,Nutrient_treatment_Nl_and_grass_treatment_G1
1230,Grevillea pteridifolia,2,Nl,G1,Australia,Humid,Evergreen,3.22,0.018,NA,3.92,20.52,2.05,9.99,8.09,218.09,1.01,2.06377551,0.009462953,NA,Herberton,Nutrient_treatment_Nl_and_grass_treatment_G1
1231,Grevillea pteridifolia,2,Nl,G1,Australia,Humid,Evergreen,3.14,0.027,NA,1.34,9.18,1.01,5.66,9.93,321.63,1.02,7.410447761,0.023040288,NA,Herberton,Nutrient_treatment_Nl_and_grass_treatment_G1
1232,Grevillea pteridifolia,2,Nl,G1,Australia,Humid,Evergreen,2.27,0.192,NA,24.75,30.41,5.44,18.14,164.37,301,1.02,6.641212121,0.022063828,NA,Herberton,Nutrient_treatment_Nl_and_grass_treatment_G1
1233,Grevillea pteridifolia,3,Nl,G1,Australia,Humid,Evergreen,3.76,0.187,NA,NA,31.67,1.67,10.45,NA,NA,NA,NA,NA,NA,Herberton,Nutrient_treatment_Nl_and_grass_treatment_G1
1234,Grevillea pteridifolia,3,Nl,G1,Australia,Humid,Evergreen,1,0.343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Herberton,Nutrient_treatment_Nl_and_grass_treatment_G1
1235,Grevillea pteridifolia,3,Nl,G1,Australia,Humid,Evergreen,3.27,0.227,NA,NA,20.39,1.62,10.95,NA,NA,NA,NA,NA,NA,Herberton,Nutrient_treatment_Nl_and_grass_treatment_G1
1236,Grevillea pteridifolia,2,Nh,G1,Australia,Humid,Evergreen,5.16,0.081,NA,5.43,35.28,7.9,17.62,22.17,254,1.02,4.082872928,0.016074303,NA,Herberton,Nutrient_treatment_Nh_and_grass_treatment_G1
1237,Grevillea pteridifolia,2,Nh,G1,Australia,Humid,Evergreen,3.96,0.029,NA,4.3,36.79,9.47,26.42,8.74,296,1.01,2.03255814,0.00686675,NA,Herberton,Nutrient_treatment_Nh_and_grass_treatment_G1
1239,Grevillea pteridifolia,2,Nh,G1,Australia,Humid,Evergreen,18.34,0.119,NA,5.42,27.79,8.88,19.94,35.13,283,1.02,6.481549815,0.022903003,NA,Herberton,Nutrient_treatment_Nh_and_grass_treatment_G1
1240,Grevillea pteridifolia,2,Nh,G1,Australia,Humid,Evergreen,4.75,0.128,NA,25.78,32.36,8.62,20.19,75.75,110,1.03,2.938324282,0.026712039,NA,Herberton,Nutrient_treatment_Nh_and_grass_treatment_G1
1321,Melaleuca viridiflora,1,Nh,G0,Australia,Humid,Evergreen,5.98,0.182,0.24,11.97,19.87,1.34,20.13,96.79,70,1.12,8.086048454,0.115514978,2.85,"Wattle hills, N Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1322,Melaleuca viridiflora,1,Nh,G0,Australia,Humid,Evergreen,5.56,0.248,0.14,12.98,22.13,2.38,23.2,204.77,143.24,1.11,15.77580894,0.110135499,13.9,"Wattle hills, N Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1323,Melaleuca viridiflora,1,Nh,G0,Australia,Humid,Evergreen,10.71,0.295,0.26,10.1,15.11,1.2,16.67,104.64,101,1.1,10.36039604,0.102578179,2.36,"Wattle hills, N Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1324,Melaleuca viridiflora,1,Nh,G0,Australia,Humid,Evergreen,11,0.174,0.27,11.13,15.77,0.88,18.22,66.7,56,1.11,5.992812219,0.107014504,NA,"Wattle hills, N Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1325,Melaleuca viridiflora,1,Nh,G0,Australia,Humid,Evergreen,9.92,0.367,0.16,12.97,18.85,2.92,15.39,88.59,59.48,1.12,6.830377795,0.114834865,7.7,"Wattle hills, N Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1326,Melaleuca viridiflora,1,Nl,G0,Australia,Humid,Evergreen,8.94,0.228,0.28,11.13,15.08,0.9,14.32,114.82,122.42,1.08,10.31626235,0.08426942,14.71,"Wattle hills, N Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1327,Melaleuca viridiflora,1,Nl,G0,Australia,Humid,Evergreen,8.73,0.267,0.14,9.12,13.69,1.12,8.37,51.57,85.95,1.07,5.654605263,0.065789474,8.6,"Wattle hills, N Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1328,Melaleuca viridiflora,1,Nl,G0,Australia,Humid,Evergreen,5.72,0.235,0.17,12.26,17.43,1.49,16.47,111.64,232.12,1.04,9.106035889,0.039229863,NA,"Wattle hills, N Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1329,Melaleuca viridiflora,1,Nl,G0,Australia,Humid,Evergreen,6.1,0.219,0.16,15.34,16.1,1.19,15.78,182.45,187.1,1.06,11.89374185,0.063568904,19,"Wattle hills, N Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1330,Melaleuca viridiflora,1,Nl,G0,Australia,Humid,Evergreen,9.68,0.328,0.2,10.98,16.11,1.02,13.58,88.5,102.19,1.08,8.06010929,0.078873758,7.88,"Wattle hills, N Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1331,Melaleuca viridiflora,3,Nh,G0,Australia,Humid,Evergreen,7.46,0.327,0.23,9.63,13.36,0.74,17.44,NA,NA,NA,NA,NA,1.31,"Wattle hills, N Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1332,Melaleuca viridiflora,3,Nh,G0,Australia,Humid,Evergreen,7.9,0.236,0.26,9.93,18,4.45,13.3,NA,NA,NA,NA,NA,4.33,"Wattle hills, N Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1333,Melaleuca viridiflora,3,Nh,G0,Australia,Humid,Evergreen,12.35,0.295,0.23,8.15,14.28,0.83,12.94,NA,NA,NA,NA,NA,2.56,"Wattle hills, N Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1334,Melaleuca viridiflora,3,Nh,G0,Australia,Humid,Evergreen,12.43,0.23,0.26,7.03,NA,NA,NA,NA,NA,NA,NA,NA,8.57,"Wattle hills, N Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1335,Melaleuca viridiflora,3,Nh,G0,Australia,Humid,Evergreen,6.99,0.241,0.24,7.55,16.06,2.43,12.96,NA,NA,NA,NA,NA,7.3,"Wattle hills, N Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1336,Melaleuca viridiflora,3,Nl,G0,Australia,Humid,Evergreen,5.98,0.2,0.25,7.67,15.08,1.16,8.57,NA,NA,NA,NA,NA,2.26,"Wattle hills, N Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1337,Melaleuca viridiflora,3,Nl,G0,Australia,Humid,Evergreen,2.67,0.352,0.14,10.29,12.85,2.27,7.97,NA,NA,NA,NA,NA,NA,"Wattle hills, N Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1338,Melaleuca viridiflora,3,Nl,G0,Australia,Humid,Evergreen,3.93,0.245,0.15,7.88,15.66,1.37,12.43,NA,NA,NA,NA,NA,11.25,"Wattle hills, N Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1339,Melaleuca viridiflora,1,Nh,G1,Australia,Humid,Evergreen,0.74,0.253,NA,28.69,26.61,3.19,20.82,142.82,53.19,1.1,4.978041129,0.093589794,NA,"Wattle hills, N Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
1340,Melaleuca viridiflora,1,Nh,G1,Australia,Humid,Evergreen,0.66,0.242,NA,20.32,NA,NA,NA,156.24,59.43,1.13,7.688976378,0.129378704,NA,"Wattle hills, N Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
1343,Melaleuca viridiflora,1,Nh,G1,Australia,Humid,Evergreen,0.52,0.227,NA,31.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wattle hills, N Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
1344,Melaleuca viridiflora,1,Nl,G1,Australia,Humid,Evergreen,0.56,0.131,NA,34.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wattle hills, N Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
1345,Melaleuca viridiflora,1,Nl,G1,Australia,Humid,Evergreen,0.56,0.292,NA,22.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wattle hills, N Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
1346,Melaleuca viridiflora,1,Nl,G1,Australia,Humid,Evergreen,0.52,0.176,NA,48.51,23.6,1.15,13.36,NA,33.79,NA,NA,NA,NA,"Wattle hills, N Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
1347,Melaleuca viridiflora,1,Nl,G1,Australia,Humid,Evergreen,0.56,0.213,NA,NA,NA,NA,NA,NA,150.62,1.06,NA,NA,NA,"Wattle hills, N Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
1348,Melaleuca viridiflora,1,Nl,G1,Australia,Humid,Evergreen,0.52,0.3,NA,27.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wattle hills, N Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
1350,Melaleuca viridiflora,3,Nh,G1,Australia,Humid,Evergreen,0.52,0.045,NA,NA,22.73,2.56,8.77,NA,NA,NA,NA,NA,NA,"Wattle hills, N Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
1351,Melaleuca viridiflora,3,Nh,G1,Australia,Humid,Evergreen,0.71,0.71,NA,NA,22.07,1.06,11.84,NA,NA,NA,NA,NA,NA,"Wattle hills, N Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
1352,Melaleuca viridiflora,3,Nh,G1,Australia,Humid,Evergreen,0.67,0.148,NA,NA,20.28,1.43,15.06,NA,NA,NA,NA,NA,NA,"Wattle hills, N Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
1353,Melaleuca viridiflora,3,Nh,G1,Australia,Humid,Evergreen,0.6,0.178,NA,NA,20.92,1.67,8.39,NA,NA,NA,NA,NA,NA,"Wattle hills, N Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
1354,Melaleuca viridiflora,3,Nl,G1,Australia,Humid,Evergreen,0.64,0.54,NA,NA,12.38,0.84,2.49,NA,NA,NA,NA,NA,NA,"Wattle hills, N Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
1356,Melaleuca viridiflora,3,Nl,G1,Australia,Humid,Evergreen,0.52,0.28,NA,NA,64.35,2.32,6.73,NA,NA,NA,NA,NA,NA,"Wattle hills, N Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
1358,Melaleuca viridiflora,3,Nl,G1,Australia,Humid,Evergreen,0.68,0.278,NA,NA,16.37,0.68,4.29,NA,NA,NA,NA,NA,NA,"Wattle hills, N Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
1359,Melaleuca viridiflora,3,Nl,G0,Australia,Humid,Evergreen,4.75,0.218,0.2,8.86,15.37,0.97,10.51,NA,NA,NA,NA,NA,3.57,"Wattle hills, N Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1360,Melaleuca viridiflora,3,Nl,G0,Australia,Humid,Evergreen,5.86,0.335,0.15,11.05,17.53,1.29,11.84,NA,NA,NA,NA,NA,3.57,"Wattle hills, N Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1481,Petalostigma pubescens,3,Nl,G0,Australia,Semi-arid,Evergreen,2.38,0.29,0.06,11.28,20.64,1.61,8.3,NA,NA,NA,NA,NA,8.75,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1482,Petalostigma pubescens,3,Nh,G0,Australia,Semi-arid,Evergreen,8.11,0.208,0.16,13.74,17.82,3.24,10.71,NA,NA,NA,NA,NA,NA,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1483,Petalostigma pubescens,3,Nh,G0,Australia,Semi-arid,Evergreen,7.72,0.162,0.18,13.94,19.64,3.1,11.29,NA,NA,NA,NA,NA,5.96,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1484,Petalostigma pubescens,3,Nh,G0,Australia,Semi-arid,Evergreen,6.39,0.193,0.11,14.45,18.15,1.58,7.79,NA,NA,NA,NA,NA,8.33,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1485,Petalostigma pubescens,3,Nh,G0,Australia,Semi-arid,Evergreen,11.21,0.285,0.13,13.89,19.46,3.71,12.81,NA,NA,NA,NA,NA,10,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1486,Petalostigma pubescens,3,Nh,G0,Australia,Semi-arid,Evergreen,1.65,0.272,0.08,12.94,16.49,2.18,4.57,NA,NA,NA,NA,NA,4.63,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1487,Petalostigma pubescens,3,Nl,G0,Australia,Semi-arid,Evergreen,0.73,0.1,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1488,Petalostigma pubescens,2,Nl,G0,Australia,Semi-arid,Evergreen,1.47,0.334,0.06,12.58,17.18,1.22,5.77,84.05,162,1.04,6.681240064,0.041242223,19.96,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1489,Petalostigma pubescens,3,Nl,G0,Australia,Semi-arid,Evergreen,2.53,0.379,0.08,10.95,18.92,0.95,5.31,NA,NA,NA,NA,NA,4.06,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1490,Petalostigma pubescens,3,Nl,G0,Australia,Semi-arid,Evergreen,7.57,0.224,0.13,12.88,15.12,1.36,4.45,NA,NA,NA,NA,NA,12.07,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1491,Petalostigma pubescens,3,Nl,G0,Australia,Semi-arid,Evergreen,1.75,0.353,0.08,14.27,23.32,2.21,10.23,NA,NA,NA,NA,NA,NA,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1492,Petalostigma pubescens,2,Nh,G0,Australia,Semi-arid,Evergreen,5.72,0.304,0.14,13.33,27.75,3.15,11.16,83.65,133,1.05,6.27531883,0.047182848,NA,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1493,Petalostigma pubescens,2,Nh,G0,Australia,Semi-arid,Evergreen,4.94,0.191,0.11,19.38,17.59,3.59,13.45,185.09,186,1.05,9.550567595,0.051347138,NA,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1494,Petalostigma pubescens,2,Nh,G0,Australia,Semi-arid,Evergreen,3.12,0.324,0.06,14.11,21.89,3.2,9.64,92.74,140,1.05,6.572643515,0.046947454,8.18,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1495,Petalostigma pubescens,2,Nh,G0,Australia,Semi-arid,Evergreen,4.07,0.318,0.13,13.68,24.39,4.07,10.49,NA,NA,NA,NA,NA,9.63,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1496,Petalostigma pubescens,2,Nh,G0,Australia,Semi-arid,Evergreen,2.79,0.365,0.09,16.94,27.74,5.63,13.11,119.61,126,1.06,7.060802834,0.056038118,14.22,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1497,Petalostigma pubescens,2,Nl,G0,Australia,Semi-arid,Evergreen,2.46,0.446,0.06,20.87,17.32,1.18,12.48,118.5,154.16,1.04,5.678006708,0.036831907,11.36,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1498,Petalostigma pubescens,2,Nl,G0,Australia,Semi-arid,Evergreen,1.07,0.355,0.05,13.77,10.52,0.59,6.14,52.07,115.09,1.03,3.78140886,0.032856103,10.9,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1499,Petalostigma pubescens,2,Nl,G0,Australia,Semi-arid,Evergreen,1.93,0.389,0.06,18.02,22.67,2.7,7.43,NA,NA,NA,NA,NA,13.33,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1500,Petalostigma pubescens,2,Nl,G0,Australia,Semi-arid,Evergreen,1.38,0.369,0.04,14.89,19.22,1.47,7.17,NA,NA,NA,NA,NA,13.23,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1501,Petalostigma pubescens,3,Nh,G1,Australia,Semi-arid,Evergreen,0.66,0.317,NA,NA,21.05,1.62,8.33,NA,NA,NA,NA,NA,NA,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
1502,Petalostigma pubescens,3,Nh,G1,Australia,Semi-arid,Evergreen,0.98,0.161,NA,NA,10.55,0.75,3.03,NA,NA,NA,NA,NA,NA,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
1503,Petalostigma pubescens,3,Nh,G1,Australia,Semi-arid,Evergreen,0.68,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
1504,Petalostigma pubescens,3,Nh,G1,Australia,Semi-arid,Evergreen,0.74,0.27,NA,NA,10.65,1.16,5.13,NA,NA,NA,NA,NA,NA,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
1505,Petalostigma pubescens,3,Nh,G1,Australia,Semi-arid,Evergreen,0.62,0.202,NA,NA,14.45,1.04,5.54,NA,NA,NA,NA,NA,NA,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
1506,Petalostigma pubescens,3,Nl,G1,Australia,Semi-arid,Evergreen,0.66,0.337,NA,NA,7.26,0.4,1.5,NA,NA,NA,NA,NA,NA,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
1507,Petalostigma pubescens,3,Nl,G1,Australia,Semi-arid,Evergreen,0.58,0.313,NA,NA,15.28,1.29,4.58,NA,NA,NA,NA,NA,NA,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
1508,Petalostigma pubescens,3,Nl,G1,Australia,Semi-arid,Evergreen,0.58,0.295,NA,NA,11.97,0.8,1.41,NA,NA,NA,NA,NA,NA,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
1510,Petalostigma pubescens,3,Nl,G1,Australia,Semi-arid,Evergreen,0.59,0.227,NA,NA,18.01,0.98,3.04,NA,NA,NA,NA,NA,NA,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
1511,Petalostigma pubescens,2,Nh,G1,Australia,Semi-arid,Evergreen,0.56,0.108,NA,29.9,18.67,2.35,12.37,77.48,144.53,1.02,2.591304348,0.01792918,NA,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
1512,Petalostigma pubescens,2,Nh,G1,Australia,Semi-arid,Evergreen,1.28,0.262,NA,22.26,23.28,1.94,10.21,127.88,148,1.04,5.744833783,0.038816444,NA,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
1513,Petalostigma pubescens,2,Nh,G1,Australia,Semi-arid,Evergreen,0.66,0.082,NA,35.93,21.42,3.76,16.28,72.87,81,1.03,2.028110214,0.025038398,NA,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
