Ecosystem,species records,R+,S+,resp.type,Conserved R+,Conserved S+,Genus number,Genus,Family,Family number
Eucalypt Shrubland,Hibbertia_humifusa,yes,yes,X,Conserved,Conserved,276,Hibbertia,Dill,42
Heath,Hibbertia_hypericoides,yes,yes,X,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Shrubland,Hibbertia_incana,no,yes,Killed,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Forest,Hibbertia_linearis,no,yes,Killed,Conserved,Conserved,276,Hibbertia,Dill,42
Heath,Hibbertia_melhanioides,yes,no,Basal,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Forest,Hibbertia_monogyna,no,yes,Killed,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Forest,Hibbertia_monticola,no,yes,Killed,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Forest,Hibbertia_nitida,no,X,Killed,Conserved,Conserved,276,Hibbertia,Dill,42
Heath,Hibbertia_oblongata,no,yes,Killed,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Forest,Hibbertia_obtusifolia,yes,yes,Basal,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Forest,Hibbertia_pedunculata,yes,X,X,Conserved,Conserved,276,Hibbertia,Dill,42
Heath,Hibbertia_pholidota,yes,no,Basal,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Shrubland,Hibbertia_psilocarpa,yes,yes,X,Conserved,Conserved,276,Hibbertia,Dill,42
Heath,Hibbertia_racemosa,no,yes,Killed,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Forest,Hibbertia_rhynchocalyx,no,yes,Killed,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Forest,Hibbertia_riparia,yes,yes,Basal,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Shrubland,Hibbertia_rostellata,yes,yes,X,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Forest,Hibbertia_rufa,no,X,Killed,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Forest,Hibbertia_saligna,no,X,Killed,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Forest,Hibbertia_scandens,yes,yes,Basal,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Forest,Hibbertia_scandens_var._glabra,yes,no,Basal,Conserved,Conserved,276,Hibbertia,Dill,42
Rainforest,Hibbertia_scandens_var._scandens,yes,yes,Basal,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Forest,Hibbertia_sericea,yes,yes,X,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Forest,Hibbertia_serpyllifolia,yes,yes,Basal,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Forest,Hibbertia_sp._aff.__rufa,yes,yes,Basal,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Forest,Hibbertia_sp._B,no,yes,Killed,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Forest,Hibbertia_sp._B_,no,yes,Killed,Conserved,Conserved,276,Hibbertia,Dill,42
Heath,Hibbertia_sp._fine_pedicels,no,yes,Killed,Conserved,Conserved,276,Hibbertia,Dill,42
Heath,Hibbertia_sp._Woolaning,X,X,X,Conserved,Conserved,276,Hibbertia,Dill,42
Heath,Hibbertia_spicata,yes,yes,X,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Forest,Hibbertia_spp.,X,X,X,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Forest,Hibbertia_spp.,X,X,X,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Forest,Hibbertia_stricta,yes,yes,X,Conserved,Conserved,276,Hibbertia,Dill,42
Heath,Hibbertia_subvaginata,no,yes,Killed,Conserved,Conserved,276,Hibbertia,Dill,42
Heath,Hibbertia_verrucosa,no,yes,Killed,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Forest,Hibbertia_vestita,yes,yes,Basal,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Forest,Hibbertia_villosa,no,yes,Killed,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Shrubland,Hibbertia_virgata,no,yes,Killed,Conserved,Conserved,276,Hibbertia,Dill,42
Eucalypt Forest,Hibiscus,X,X,X,Conserved,Conserved,277,Hibiscus,Malv,70
Eucalypt Forest,Hibiscus,X,X,X,Conserved,Conserved,277,Hibiscus,Malv,70
Grassland,Hibiscus,X,X,X,Conserved,Conserved,277,Hibiscus,Malv,70
Savanna,Hibiscus__trionum_,no,yes,Killed,Conserved,Conserved,277,Hibiscus,Malv,70
Grassland,Hibiscus_brachychlaenus,no,yes,Killed,Conserved,Conserved,277,Hibiscus,Malv,70
Grassland,Hibiscus_brachysiphonius,no,yes,Killed,Conserved,Conserved,277,Hibiscus,Malv,70
Spinifex Grassland,Hibiscus_burtonii,yes,yes,Basal,Conserved,Conserved,277,Hibiscus,Malv,70
Heath,Hibiscus_byrnesii,no,yes,Killed,Conserved,Conserved,277,Hibiscus,Malv,70
Rainforest,Hibiscus_heterophyllussubsp._heterophyllus,no,yes,Killed,Conserved,Conserved,277,Hibiscus,Malv,70
Spinifex Grassland,Hibiscus_krichauffianus,yes,no,Basal,Conserved,Conserved,277,Hibiscus,Malv,70
Acacia Shrublands,Hibiscus_meraukensis,no,yes,Killed,Conserved,Conserved,277,Hibiscus,Malv,70
Grassland,Hibiscus_pentaphyllus,no,yes,Killed,Conserved,Conserved,277,Hibiscus,Malv,70
Savanna,Hibiscus_sp.,no,yes,Killed,Conserved,Conserved,277,Hibiscus,Malv,70
Rainforest,Hibiscus_splendens,no,yes,Killed,Conserved,Conserved,277,Hibiscus,Malv,70
Grassland,Hibiscus_sturtii,yes,yes,Basal,Conserved,Conserved,277,Hibiscus,Malv,70
Spinifex Grassland,Hibiscus_sturtii_var__grandiflorus,yes,yes,Basal,Conserved,Conserved,277,Hibiscus,Malv,70
Spinifex Grassland,Hibiscus_sturtii_var__truncatus,yes,no,Basal,Conserved,Conserved,277,Hibiscus,Malv,70
Acacia Shrublands,Hibiscus_sturtii_var._sturtii,yes,yes,Basal,Conserved,Conserved,277,Hibiscus,Malv,70
Heath,Hibiscus_symonii,no,yes,Killed,Conserved,Conserved,277,Hibiscus,Malv,70
Rainforest,Hibiscus_tiliaceus,yes,yes,X,Conserved,Conserved,277,Hibiscus,Malv,70
Grassland,Hibiscus_trionum_var._trionum,no,no,Killed,Conserved,Conserved,277,Hibiscus,Malv,70
Heath,Homalocalyx_ericaeus,no,yes,Killed,Unknown,Unknown,278,Homalocalyx,Myrt,78
Eucalypt Forest,Homoranthus_cernuus,X,X,X,Conserved,Conserved,279,Homoranthus,Myrt,78
Eucalypt Forest,Homoranthus_darwinioides,X,X,X,Conserved,Conserved,279,Homoranthus,Myrt,78
Eucalypt Forest,Homoranthus_sp._nov.,no,yes,Killed,Conserved,Conserved,279,Homoranthus,Myrt,78
Heath,Hovea_aff_heterophylla,yes,yes,Basal,Conserved,Strongly Conserved,280,Hovea,Fabo,52
Eucalypt Forest,Hovea_beckeri,no,yes,Killed,Conserved,Strongly Conserved,280,Hovea,Fabo,52
Heath,Hovea_chorizemifolia,yes,yes,X,Conserved,Strongly Conserved,280,Hovea,Fabo,52
Heath,Hovea_elliptica,no,yes,Killed,Conserved,Strongly Conserved,280,Hovea,Fabo,52
Eucalypt Forest,Hovea_heterophylla,X,X,X,Conserved,Strongly Conserved,280,Hovea,Fabo,52
Eucalypt Forest,Hovea_heterophylla,X,X,X,Conserved,Strongly Conserved,280,Hovea,Fabo,52
Eucalypt Forest,Hovea_heterophylla,yes,yes,Basal,Conserved,Strongly Conserved,280,Hovea,Fabo,52
Heath,Hovea_heterophylla,no,yes,Killed,Conserved,Strongly Conserved,280,Hovea,Fabo,52
Eucalypt Forest,Hovea_lanceolata,no,yes,Killed,Conserved,Strongly Conserved,280,Hovea,Fabo,52
Eucalypt Forest,Hovea_linearis,yes,yes,Basal,Conserved,Strongly Conserved,280,Hovea,Fabo,52
Eucalypt Forest,Hovea_longifolia,no,X,Killed,Conserved,Strongly Conserved,280,Hovea,Fabo,52
Eucalypt Forest,Hovea_longipes,no,yes,Killed,Conserved,Strongly Conserved,280,Hovea,Fabo,52
Heath,Hovea_montana,yes,yes,Basal,Conserved,Strongly Conserved,280,Hovea,Fabo,52
Eucalypt Forest,Hovea_pedunculata,no,yes,Killed,Conserved,Strongly Conserved,280,Hovea,Fabo,52
Eucalypt Forest,Hovea_purpurea,no,yes,Killed,Conserved,Strongly Conserved,280,Hovea,Fabo,52
Eucalypt Forest,Hovea_sp._1_(Qld_Flora),no,yes,Killed,Conserved,Strongly Conserved,280,Hovea,Fabo,52
Eucalypt Forest,Hovea_sp._A,no,yes,Killed,Conserved,Strongly Conserved,280,Hovea,Fabo,52
Eucalypt Forest,Hovea_spp.,X,X,X,Conserved,Strongly Conserved,280,Hovea,Fabo,52
Heath,Hovea_trisperma,no,yes,Killed,Conserved,Strongly Conserved,280,Hovea,Fabo,52
Eucalypt Forest,Howittia_trilocularis,no,X,Killed,Unknown,Unknown,281,Howittia,Malv,70
Acacia Shrublands,Hybanthus_enneaspermus,yes,yes,Basal,Conserved,Strongly Conserved,282,Hybanthus,Viol,129
Eucalypt Shrubland,Hybanthus_floribundus,no,yes,Killed,Conserved,Strongly Conserved,282,Hybanthus,Viol,129
Heath,Hybanthus_floribundus_subsp._floribundus,yes,yes,X,Conserved,Strongly Conserved,282,Hybanthus,Viol,129
Heath,Hydriastele_ramsayi,yes,yes,Apical,Unknown,Unknown,283,Hydriastele,Arec,11
Eucalypt Forest,Hymenophyllum_pumilum,X,X,X,Unknown,Unknown,284,Hymenophyllum,Hyme,59
Rainforest,Hymenosporum_flavum_,yes,no,Basal,Unknown,Unknown,285,Hymenosporum,Pitt,98
Eucalypt Forest,Hypericum_perforatum,yes,X,X,Unknown,Unknown,286,Hypericum,Hype,60
Heath,Hypocalymma_angustifolium,yes,yes,X,Conserved,Strongly Conserved,287,Hypocalymma,Myrt,78
Heath,Hypocalymma_robustum,no,yes,Killed,Conserved,Strongly Conserved,287,Hypocalymma,Myrt,78
Heath,Hypocalymma_sp.,no,yes,Killed,Conserved,Strongly Conserved,287,Hypocalymma,Myrt,78
Heath,Hypocalymma_xanthopetalum,yes,yes,X,Conserved,Strongly Conserved,287,Hypocalymma,Myrt,78
Acacia Shrublands,Hypoestes_floribunda,no,yes,Killed,Unknown,Unknown,288,Hypoestes,Acan,1
Acacia Shrublands,Indigofera,X,X,X,Conserved,Conserved,289,Indigofera,Fabo,52
Eucalypt Forest,Indigofera_adesmiifolia,yes,yes,Basal,Conserved,Conserved,289,Indigofera,Fabo,52
Eucalypt Forest,Indigofera_australis,yes,yes,Basal,Conserved,Conserved,289,Indigofera,Fabo,52
Spinifex Grassland,Indigofera_basedowii,yes,yes,Basal,Conserved,Conserved,289,Indigofera,Fabo,52
Eucalypt Forest,Indigofera_brevidens,yes,yes,Basal,Conserved,Conserved,289,Indigofera,Fabo,52
Eucalypt Forest,Indigofera_coronillifolia,X,X,X,Conserved,Conserved,289,Indigofera,Fabo,52
Grassland,Indigofera_ewartiana,yes,yes,Basal,Conserved,Conserved,289,Indigofera,Fabo,52
Spinifex Grassland,Indigofera_helmsii,no,yes,Killed,Conserved,Conserved,289,Indigofera,Fabo,52
Spinifex Grassland,Indigofera_leucotricha,no,no,Killed,Conserved,Conserved,289,Indigofera,Fabo,52
Grassland,Indigofera_linifolia,X,X,X,Conserved,Conserved,289,Indigofera,Fabo,52
Eucalypt Forest,Indigofera_pratensis,yes,yes,Basal,Conserved,Conserved,289,Indigofera,Fabo,52
Spinifex Grassland,Indigofera_sp__MacDonnell_Ranges_(P_K_Latz_11587)_Peter_Wilson,yes,yes,Basal,Conserved,Conserved,289,Indigofera,Fabo,52
Grassland,Indigofera_trita,no,yes,Killed,Conserved,Conserved,289,Indigofera,Fabo,52
Grassland,Ipomoea,X,X,X,Strongly Conserved,Strongly Conserved,290,Ipomoea,Conv,33
Grassland,Ipomoea_argillicola,yes,yes,Underground,Strongly Conserved,Strongly Conserved,290,Ipomoea,Conv,33
Spinifex Grassland,Ipomoea_costata,yes,yes,Basal,Strongly Conserved,Strongly Conserved,290,Ipomoea,Conv,33
Grassland,Ipomoea_lonchophylla,yes,yes,Underground,Strongly Conserved,Strongly Conserved,290,Ipomoea,Conv,33
Acacia Shrublands,Ipomoea_plebeia,yes,yes,Underground,Strongly Conserved,Strongly Conserved,290,Ipomoea,Conv,33
Eucalypt Forest,Isopogon_anemonifolius,yes,yes,Basal,Conserved,Strongly Conserved,291,Isopogon,Prot,104
Eucalypt Forest,Isopogon_anethifolius,yes,X,X,Conserved,Strongly Conserved,291,Isopogon,Prot,104
Heath,Isopogon_axillaris,yes,yes,X,Conserved,Strongly Conserved,291,Isopogon,Prot,104
Heath,Isopogon_ceratophyllus,yes,yes,X,Conserved,Strongly Conserved,291,Isopogon,Prot,104
Eucalypt Forest,Isopogon_dawsonii,no,X,Killed,Conserved,Strongly Conserved,291,Isopogon,Prot,104
Heath,Isopogon_formosus,no,yes,Killed,Conserved,Strongly Conserved,291,Isopogon,Prot,104
Eucalypt Forest,Isopogon_petiolaris,yes,yes,Basal,Conserved,Strongly Conserved,291,Isopogon,Prot,104
Eucalypt Forest,Isopogon_prostratus,yes,X,X,Conserved,Strongly Conserved,291,Isopogon,Prot,104
Heath,Isopogon_sp._Fitzgerald_River_(D.B._Foreman_813),no,yes,Killed,Conserved,Strongly Conserved,291,Isopogon,Prot,104
Heath,Isopogon_sp._Newdegate_(D.B._Foreman_771),no,yes,Killed,Conserved,Strongly Conserved,291,Isopogon,Prot,104
Heath,Isopogon_sphaerocephalus,yes,yes,X,Conserved,Strongly Conserved,291,Isopogon,Prot,104
Heath,Isopogon_teretifolius_subsp._teretifolius,no,yes,Killed,Conserved,Strongly Conserved,291,Isopogon,Prot,104
Heath,Isopogon_tridens,yes,yes,X,Conserved,Strongly Conserved,291,Isopogon,Prot,104
Heath,Isopogon_villosus,no,yes,Killed,Conserved,Strongly Conserved,291,Isopogon,Prot,104
Spinifex Grassland,Isotropis_atropurpurea,yes,no,Basal,Unknown,Unknown,292,Isotropis,Fabo,52
Eucalypt Forest,Ixiolaena_leptolepis,X,X,X,Unknown,Unknown,293,Ixiolaena,Aste,13
Rainforest,Ixora_timorensis,yes,no,X,Unknown,Unknown,294,Ixora,Rubi,112
Heath,Jacksonia_calcicola,no,yes,Killed,Conserved,Conserved,295,Jacksonia,Fabo,52
Heath,Jacksonia_dilatata,yes,yes,Basal,Conserved,Conserved,295,Jacksonia,Fabo,52
Heath,Jacksonia_floribunda,yes,yes,X,Conserved,Conserved,295,Jacksonia,Fabo,52
Heath,Jacksonia_furcellata,yes,yes,X,Conserved,Conserved,295,Jacksonia,Fabo,52
Heath,Jacksonia_hakeoides,yes,yes,X,Conserved,Conserved,295,Jacksonia,Fabo,52
Spinifex Grassland,Jacksonia_odontoclada,yes,no,Basal,Conserved,Conserved,295,Jacksonia,Fabo,52
Heath,Jacksonia_racemosa,X,yes,X,Conserved,Conserved,295,Jacksonia,Fabo,52
Heath,Jacksonia_reclinata,no,yes,Killed,Conserved,Conserved,295,Jacksonia,Fabo,52
Eucalypt Forest,Jacksonia_scoparia,yes,yes,Underground,Conserved,Conserved,295,Jacksonia,Fabo,52
Heath,Jacksonia_spicata,no,yes,Killed,Conserved,Conserved,295,Jacksonia,Fabo,52
Heath,Jacksonia_stellaris,no,yes,Killed,Conserved,Conserved,295,Jacksonia,Fabo,52
Heath,Jacksonia_sternbergiana,no,yes,Killed,Conserved,Conserved,295,Jacksonia,Fabo,52
Acacia Shrublands,Jacquemontia_paniculata,yes,no,Basal,Unknown,Unknown,296,Jacquemontia,Conv,33
Acacia Shrublands,Jacquemontia_sp._(Fairview_R.W.Johnson_4026),X,X,X,Unknown,Unknown,296,Jacquemontia,Conv,33
Eucalypt Forest,Jagera_pseudorhus,yes,yes,Basal,Strongly Conserved,Strongly Conserved,297,Jagera,Sapi,116
Eucalypt Forest,Jagera_pseudorhus_var._pseudorhus,yes,yes,Basal,Strongly Conserved,Strongly Conserved,297,Jagera,Sapi,116
Acacia Shrublands,Jasminum_calcareum,yes,no,Basal,Strongly Conserved,Conserved,298,Jasminum,Olea,83
Acacia Shrublands,Jasminum_didymum,yes,no,Basal,Strongly Conserved,Conserved,298,Jasminum,Olea,83
Eucalypt Forest,Jasminum_didymum,yes,yes,Basal,Strongly Conserved,Conserved,298,Jasminum,Olea,83
Savanna,Jasminum_didymum_ss._racemosa,yes,yes,Basal,Strongly Conserved,Conserved,298,Jasminum,Olea,83
Acacia Shrublands,Jasminum_didymum_subsp._lineare,yes,no,Basal,Strongly Conserved,Conserved,298,Jasminum,Olea,83
Acacia Shrublands,Jasminum_didymum_subsp._racemosum,yes,no,Basal,Strongly Conserved,Conserved,298,Jasminum,Olea,83
Savanna,Jasminum_lineare,yes,no,X,Strongly Conserved,Conserved,298,Jasminum,Olea,83
Savanna,Jasminum_suavissimum,yes,no,X,Strongly Conserved,Conserved,298,Jasminum,Olea,83
Grassland,Josephinia_eugeniae,no,yes,Killed,Unknown,Unknown,299,Josephinia,Peda,90
Heath,Kennedia_coccinea,no,yes,Killed,Conserved,Strongly Conserved,300,Kennedia,Fabo,52
Heath,Kennedia_prostrata,no,yes,Killed,Conserved,Strongly Conserved,300,Kennedia,Fabo,52
Eucalypt Forest,Kennedia_rubicunda,yes,yes,Basal,Conserved,Strongly Conserved,300,Kennedia,Fabo,52
Eucalypt Forest,Keraudrenia_corollata_var._corollata,X,X,X,Conserved,Unknown,301,Keraudrenia,Malv,70
Spinifex Grassland,Keraudrenia_nephrosperma,no,yes,Killed,Conserved,Unknown,302,Keraudrenia,Malv,70
Spinifex Grassland,Keraudrenia_velutina,yes,no,Basal,Conserved,Unknown,302,Keraudrenia,Malv,70
Heath,Kingia_australis,yes,no,X,Strongly Conserved,Unknown,303,Kingia,Dasy,40
Eucalypt Forest,Kunzea_ambigua,no,X,Killed,Conserved,Strongly Conserved,304,Kunzea,Myrt,78
Heath,Kunzea_bracteolata,no,yes,Killed,Conserved,Strongly Conserved,304,Kunzea,Myrt,78
Eucalypt Forest,Kunzea_cambagei,X,X,X,Conserved,Strongly Conserved,304,Kunzea,Myrt,78
Heath,Kunzea_capitata,no,yes,Killed,Conserved,Strongly Conserved,304,Kunzea,Myrt,78
Eucalypt Forest,Kunzea_ericoides,yes,yes,Basal,Conserved,Strongly Conserved,304,Kunzea,Myrt,78
Heath,Kunzea_glabrescens,no,yes,Killed,Conserved,Strongly Conserved,304,Kunzea,Myrt,78
Eucalypt Shrubland,Kunzea_jucunda,X,X,X,Conserved,Strongly Conserved,304,Kunzea,Myrt,78
Heath,Kunzea_muelleri,yes,yes,Basal,Conserved,Strongly Conserved,304,Kunzea,Myrt,78
Eucalypt Forest,Kunzea_obovata,no,yes,Killed,Conserved,Strongly Conserved,304,Kunzea,Myrt,78
Eucalypt Forest,Kunzea_parvifolia,no,yes,Killed,Conserved,Strongly Conserved,304,Kunzea,Myrt,78
Heath,Kunzea_pulchella,no,yes,Killed,Conserved,Strongly Conserved,304,Kunzea,Myrt,78
Heath,Kunzea_recurva,no,yes,Killed,Conserved,Strongly Conserved,304,Kunzea,Myrt,78
Eucalypt Forest,Kunzea_rupestris,yes,X,X,Conserved,Strongly Conserved,304,Kunzea,Myrt,78
Heath,Kunzea_sp,no,yes,Killed,Conserved,Strongly Conserved,304,Kunzea,Myrt,78
Eucalypt Forest,Kunzea_spp.,X,X,X,Conserved,Strongly Conserved,304,Kunzea,Myrt,78
Heath,Labichea_cassioides,yes,yes,X,Strongly Conserved,Strongly Conserved,305,Labichea,Caes,23
Heath,Labichea_saxicola,yes,yes,Epicormic,Strongly Conserved,Strongly Conserved,305,Labichea,Caes,23
Savanna,Lagunaria_patersonii_ss._bracteata,yes,no,Epicormic,Unknown,Unknown,306,Lagunaria,Malv,70
Eucalypt Forest,Lambertia_formosa,yes,yes,Basal,Strongly Conserved,Strongly Conserved,307,Lambertia,Prot,104
Heath,Lambertia_multiflora,yes,yes,X,Strongly Conserved,Strongly Conserved,307,Lambertia,Prot,104
Eucalypt Shrubland,Lasiopetalum_baueri,no,yes,Killed,Conserved,Strongly Conserved,308,Lasiopetalum,Malv,70
Eucalypt Shrubland,Lasiopetalum_compactum,X,yes,X,Conserved,Strongly Conserved,308,Lasiopetalum,Malv,70
Heath,Lasiopetalum_drummondii,yes,yes,X,Conserved,Strongly Conserved,308,Lasiopetalum,Malv,70
Eucalypt Forest,Lasiopetalum_ferrugineum,no,yes,Killed,Conserved,Strongly Conserved,308,Lasiopetalum,Malv,70
Eucalypt Forest,Lasiopetalum_ferrugineum_var._cordatum,yes,X,X,Conserved,Strongly Conserved,308,Lasiopetalum,Malv,70
Eucalypt Forest,Lasiopetalum_ferrugineum_var._ferrugineum,yes,yes,Basal,Conserved,Strongly Conserved,308,Lasiopetalum,Malv,70
Eucalypt Forest,Lasiopetalum_macrophyllum,yes,yes,Basal,Conserved,Strongly Conserved,308,Lasiopetalum,Malv,70
Eucalypt Forest,Lasiopetalum_parviflorum,no,X,Killed,Conserved,Strongly Conserved,308,Lasiopetalum,Malv,70
Eucalypt Shrubland,Lasiopetalum_rosmarinifolium,X,yes,X,Conserved,Strongly Conserved,308,Lasiopetalum,Malv,70
Eucalypt Forest,Lasiopetalum_rufum,X,X,X,Conserved,Strongly Conserved,308,Lasiopetalum,Malv,70
Eucalypt Forest,Lastreopsis_microsora_subsp._microsora,X,X,X,Unknown,Unknown,309,Lastreopsis,Dryo,44
Eucalypt Forest,Lastreopsis_spp.,X,X,X,Unknown,Unknown,309,Lastreopsis,Dryo,44
Heath,Lechenaultia_floribunda,yes,yes,X,Unknown,Unknown,310,Lechenaultia,Good,54
Eucalypt Forest,Legnephora_moorei,X,X,X,Unknown,Unknown,311,Legnephora,Meni,73
Eucalypt Forest,Leionema_coxii,X,X,X,Conserved,Unknown,312,Leionema,Ruta,113
Eucalypt Forest,Leionema_dentatum,X,X,X,Conserved,Unknown,312,Leionema,Ruta,113
Eucalypt Forest,Leionema_diosmeum,no,X,Killed,Conserved,Unknown,312,Leionema,Ruta,113
Eucalypt Forest,Leionema_phylicifolium,yes,X,X,Conserved,Unknown,312,Leionema,Ruta,113
Eucalypt Forest,Leionema_ralstonii,no,X,Killed,Conserved,Unknown,312,Leionema,Ruta,113
Rainforest,Lepidozamia_peroffskyana_,yes,no,X,Strongly Conserved,Unknown,313,Lepidozamia,Zami,133
Heath,Leptomeria_acida,no,no,Killed,Conserved,Conserved,314,Leptomeria,Sant,115
Heath,Leptomeria_aphylla,no,yes,Killed,Conserved,Conserved,314,Leptomeria,Sant,115
Heath,Leptomeria_cunninghamii,no,yes,Killed,Conserved,Conserved,314,Leptomeria,Sant,115
Eucalypt Forest,Leptomeria_drupacea,X,X,X,Conserved,Conserved,314,Leptomeria,Sant,115
Heath,Leptomeria_empetriformis,yes,yes,X,Conserved,Conserved,314,Leptomeria,Sant,115
Heath,Leptomeria_pauciflora,X,yes,X,Conserved,Conserved,314,Leptomeria,Sant,115
Eucalypt Shrubland,Leptomeria_preissiana,X,yes,X,Conserved,Conserved,314,Leptomeria,Sant,115
Eucalypt Forest,Leptopteris_fraseri,X,X,X,Unknown,Unknown,315,Leptopteris,Osmu,86
Eucalypt Forest,Leptospermum_arachnoides,yes,yes,Basal,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Forest,Leptospermum_brachyandrum,yes,yes,Basal,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Forest,Leptospermum_brevipes,yes,yes,Basal,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Shrubland,Leptospermum_continentale,yes,yes,X,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Forest,Leptospermum_deuense,X,X,X,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Forest,Leptospermum_emarginatum,yes,X,X,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Shrubland,Leptospermum_ericoides,no,yes,Killed,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Shrubland,Leptospermum_erubescens,yes,yes,X,Conserved,Conserved,316,Leptospermum,Myrt,78
Rainforest,Leptospermum_glaucescens,no,yes,Killed,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Forest,Leptospermum_grandifolium,yes,yes,Basal,Conserved,Conserved,316,Leptospermum,Myrt,78
Heath,Leptospermum_gregarium,yes,yes,Basal,Conserved,Conserved,316,Leptospermum,Myrt,78
Heath,Leptospermum_inelegans,yes,no,X,Conserved,Conserved,316,Leptospermum,Myrt,78
Heath,Leptospermum_juniperinium,yes,yes,Basal,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Forest,Leptospermum_laevigatum,no,X,Killed,Conserved,Conserved,316,Leptospermum,Myrt,78
Rainforest,Leptospermum_lanigerum,yes,yes,Basal,Conserved,Conserved,316,Leptospermum,Myrt,78
Heath,Leptospermum_liversidgei,yes,yes,Basal,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Forest,Leptospermum_micromyrtus,no,yes,Killed,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Forest,Leptospermum_minutifolium,yes,yes,Basal,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Forest,Leptospermum_minutifolium,yes,yes,Basal,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Forest,Leptospermum_morrisonii,X,X,X,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Forest,Leptospermum_multicaule,yes,no,Basal,Conserved,Conserved,316,Leptospermum,Myrt,78
Heath,Leptospermum_myrsinoides,yes,yes,X,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Forest,Leptospermum_myrtifolium,yes,no,Basal,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Forest,Leptospermum_neglectum,yes,yes,Basal,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Forest,Leptospermum_neglectum,yes,yes,Basal,Conserved,Conserved,316,Leptospermum,Myrt,78
Rainforest,Leptospermum_nitidum,yes,yes,Basal,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Forest,Leptospermum_novae-angliae,yes,yes,Basal,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Forest,Leptospermum_obovatum,yes,X,X,Conserved,Conserved,316,Leptospermum,Myrt,78
Heath,Leptospermum_oligandrum,yes,yes,X,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Forest,Leptospermum_parvifolium,yes,X,X,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Forest,Leptospermum_polyanthum,X,X,X,Conserved,Conserved,316,Leptospermum,Myrt,78
Heath,Leptospermum_polygalifolia,yes,no,Basal,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Forest,Leptospermum_polygalifolium,yes,yes,Basal,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Forest,Leptospermum_polygalifolium_ssp_polygalifolium,X,X,X,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Forest,Leptospermum_polygalifolium_subsp._polygalifolium,yes,X,X,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Forest,Leptospermum_polygalifolium_subsp._transmontanum,yes,yes,Epicormic,Conserved,Conserved,316,Leptospermum,Myrt,78
Eucalypt Forest,Leptospermum_rotundifolium,yes,X,X,Conserved,Conserved,316,Leptospermum,Myrt,78
Rainforest,Leptospermum_scoparium,yes,yes,Basal,Conserved,Conserved,316,Leptospermum,Myrt,78
