location_name,latitude (deg),longitude (deg),locality,state
4.8 km W of Mt Wynne Creek,-18.07,124.26,"4.8 km W of Mt Wynne Creek, WA",WA
4.8 km W of Mt Wynne Creek crossing,-18.07,124.26,"4.8 km W of Mt Wynne Creek crossing, WA",WA
40 km SW of Wiluna,-26.4,120.15,"40 km SW of Wiluna, WA",WA
40 km W of Eucla,-31.49,128.15,"40 km W of Eucla, WA",WA
40 km W of Halls Creek,-18.27,127.21,"40 km W of Halls Creek, WA",WA
41 km N of Gingin,-30.59,115.42,"41 km N of Gingin, WA",WA
41 kmSSE of Wiluna,-26.35,120.13,"41 kmSSE of Wiluna, WA",WA
42 km N of Norseman,-31.52,121.46,"42 km N of Norseman, WA",WA
42 km W of Coolgardie,-30.57,120.5,"42 km W of Coolgardie, WA",WA
43 km NE of Morawa_1,-29.06,116.11,"43 km NE of Morawa, WA",WA
43 km NE of Morawa_2,-28.5,116.14,"43 km NE of Morawa, WA",WA
44.8 km E of Upper Panton River,-17.48,127.42,"44.8 km E of Upper Panton River, WA",WA
45 km E of Merredin,-31.29,118.37,"45 km E of Merredin, WA",WA
45 km W of Meekatharra,-26.36,118.05,"45 km W of Meekatharra, WA",WA
46 km ENE of Karunjie TO,-16.1,127.3,"46 km ENE of Karunjie TO, WA",WA
47 km N of Norseman,-31.5,121.35,"47 km N of Norseman, WA",WA
48 km N of Diemals,-29.4,119.18,"48 km N of Diemals, WA",WA
48 km N of Pemberton,-34.27,116.02,"48 km N of Pemberton, WA",WA
48 km NE of Pingrup,-33.07,118.5,"48 km NE of Pingrup, WA",WA
48 km W of Meekatharra,-26.35,118.07,"48 km W of Meekatharra, WA",WA
5 km N of Jurien,-30.18,115.02,"5 km N of Jurien, WA",WA
5 km N of Karratha,-20.44,116.51,"5 km N of Karratha, WA",WA
5 km NW of Bulla Bulling,-31.01,120.52,"5 km NW of Bulla Bulling, WA",WA
5 km S of Eneabba,-29.52,115.16,"5 km S of Eneabba, WA",WA
5 km SW of Mt Ragged,-33.16,123.17,"5 km SW of Mt Ragged, WA",WA
5 km W of Augusta,-34.19,115.09,"5 km W of Augusta, WA",WA
5.5 km S of Jerramungup,-33.56,118.55,"5.5 km S of Jerramungup, WA",WA
50 km E of Southern Cross,-31.17,119.38,"50 km E of Southern Cross, WA",WA
50 km N of Eucla,-31.23,128.53,"50 km N of Eucla, WA",WA
52 km NE of Wubin,-29.55,116.47,"52 km NE of Wubin, WA",WA
52 km W of Dedari,-30.57,120.4,"52 km W of Dedari, WA",WA
52 km W of Kalgoorlie,-30.44,121.28,"52 km W of Kalgoorlie, WA",WA
53 km E of Hyden,-32.27,119.25,"53 km E of Hyden, WA",WA
54 km E of Merredin,-31.29,118.47,"54 km E of Merredin, WA",WA
55 km NE of Wubin,-29.35,117.11,"55 km NE of Wubin, WA",WA
56 km SE of Manjimup,-34.4,116.3,"56 km SE of Manjimup, WA",WA
57 km ENE of Carnarvon,-24.53,113.4,"57 km ENE of Carnarvon, WA",WA
57 km N of Galena Bridge,-27.18,114.41,"57 km N of Galena Bridge, WA",WA
58 km S of Menzies,-30.02,121.09,"58 km S of Menzies, WA",WA
59 km E of Hyden,-32.27,119.23,"59 km E of Hyden, WA",WA
6 km E of Kent River,-34.58,117.07,"6 km E of Kent River, WA",WA
6 km ENE of Merredin,-31.29,118.17,"6 km ENE of Merredin, WA",WA
6 km ENE of Warriedar HS,-29.08,117.11,"6 km ENE of Warriedar HS, WA",WA
6 km ENE of Warriedar Homestead,-29.05,117.06,"6 km ENE of Warriedar Homestead, WA",WA
6 km N W of Pentecost River,-15.45,127.5,"6 km N W of Pentecost River, WA",WA
6 km S W of McDermid Rock,-32.01,120.44,"6 km S W of McDermid Rock, WA",WA
