Sp code,Species Name,Status,Family,Fire Response,FR data source,Seed storage,SS data source,Life Form,Seed mass (mg),SM data source,Nutrient-acquisition strategy,NAS data source,Leaf P,Leaf N,nitrogen_fixing,life_history
HAKINC,Hakea incrassata,native,PROTEACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,NA,Kew SID,Root clusters,Skene 1998,NA,NA,0,perennial
HAKLAU,Hakea laurina,native,PROTEACEAE,SEEDER,Burrows et al. 2008,canopy,Burrows et al. 2008,shrub,25,Weighed,Root clusters,Skene 1998,NA,NA,0,perennial
HAKLIS,Hakea lissocarpha,native,PROTEACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,NA,Kew SID,Root clusters,Skene 1998; Brundrett&Abbott 1991,NA,NA,0,perennial
HAKPET,Hakea petiolaris,native,PROTEACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,NA,Kew SID,Root clusters,Skene 1998,NA,NA,0,perennial
HAKPRO,Hakea prostrata,native,PROTEACEAE,SEEDER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,NA,Kew SID,Root clusters,Skene 1998,NA,NA,0,perennial
HAKRUS,Hakea ruscifolia,native,PROTEACEAE,RESPROUTER,Burrows et al. 2008,canopy,Lamont et al. 1991 for Genus,shrub,NA,Kew SID,Root clusters,Skene 1998,NA,NA,0,perennial
HAKSTE,Hakea stenocarpa,native,PROTEACEAE,RESPROUTER,Alcoa DB,canopy,Lamont et al. 1991 for Genus,shrub,14.1,Milberg et al 1998,Root clusters,Skene 1998,0.03,0.74,0,perennial
HAKTRI,Hakea trifurcata,native,PROTEACEAE,SEEDER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,NA,Kew SID,Root clusters,Skene 1998,NA,NA,0,perennial
HAKUND,Hakea undulata,native,PROTEACEAE,SEEDER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,18,"Standish et al, unpub data",Root clusters,Skene 1998,NA,NA,0,perennial
HAKVAR,Hakea varia,native,PROTEACEAE,SEEDER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,NA,Kew SID,Root clusters,Skene 1998,NA,NA,0,perennial
HARCOM,Hardenbergia comptoniana,native,FABACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,NA,Kew SID,AMF,Sprent 2001; Brundrett&Abbott 1991,NA,NA,1,perennial
HELLEU,Helichrysum leucopsideum,native,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered using data for Family,forb,NA,Kew SID,AMF,Lamont 1982 for Family,NA,NA,0,perennial
HEMGLA,Hemiandra glabra,native,LAMIACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,shrub,1.67,Approximation: avg seed mass of Hemiandra species (n = 6).,AMF,Brundrett 2008 for Family,NA,NA,0,perennial
HEMINC,Hemigenia incana,native,LAMIACEAE,SEEDER,Burrows et al. 2008,soil,Bell et al. 1993,shrub,2.16,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
HEMPUN,Hemiandra pungens,native,LAMIACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,2.5,Avg of McAlinden 1998 & Roche 1997,AMF,Brundrett 2008 for Family,NA,NA,0,perennial
HEMRIG,Hemigenia rigida,native,LAMIACEAE,SEEDER,Norman et al. 2006,soil,Inferred using data for Genus,shrub,0.46,Nursery records,AMF,Brundrett 2008 for Genus,0.04,0.79,0,perennial
HEMSER,Hemigenia sericea,native,LAMIACEAE,RESPROUTER,Norman et al. 2006,soil,Inferred using data for Genus,shrub,1.71,Approximation: avg seed mass of other Hemiandra species (n = 3).,AMF,Brundrett&Abbott 1991,NA,NA,0,perennial
HIBACE,Hibbertia acerosa,native,DILLENIACEAE,RESPROUTER,Burrows et al. 2008,soil,Bellairs & Bell 1993,shrub,1.86,Weighed,AMF,Brundrett 2008 for Genus,0.04,1.03,0,perennial
HIBAMP,Hibbertia amplexicaulis,native,DILLENIACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,2,Roche 1997,AMF,Brundrett&Abbott 1991,0.04,0.96,0,perennial
HIBCOM,Hibbertia commutata,native,DILLENIACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,NA,Kew SID,AMF,Brundrett&Abbott 1991,0.04,1.06,0,perennial
HIBDIA,Hibbertia diamesogenos,native,DILLENIACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,shrub,5.93,Approximation: avg seed mass of Hibbertia species (n = 27).,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
HIBGLO,Hibbertia glomerata,native,DILLENIACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,shrub,NA,Kew SID,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
HIBHUE,Hibbertia huegelii,native,DILLENIACEAE,RESPROUTER,Alcoa DB,soil,Vlahos & Bell 1986,shrub,6.62,Nursery records,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
HIBHYP,Hibbertia hypericoides,native,DILLENIACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,6.63,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
HIBLAS,Hibbertia lasiopus,native,DILLENIACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,20,Roche 1997,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
HIBOVA,Hibbertia ovata,native,DILLENIACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,shrub,2.26,Weighed,AMF,Brundrett 2008 for Genus,0.04,1.07,0,perennial
HIBPER,Hibbertia perfoliata,native,DILLENIACEAE,RESPROUTER,Burrows et al. 2008,soil,Inferred using data for Genus,shrub,5.93,Approximation: avg seed mass of Hibbertia species (n = 27).,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
HIBQUA,Hibbertia quadricolor,native,DILLENIACEAE,RESPROUTER,Burrows et al. 2008,soil,Inferred using data for Genus,shrub,20,Roche 1997,AMF,Brundrett 2008 for Genus,0.05,1.09,0,perennial
HIBSER,Hibbertia serrata,native,DILLENIACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,shrub,9.35,Nursery records,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
HIBSIL,Hibbertia silvestris,native,DILLENIACEAE,RESPROUTER,Burrows et al. 2008,soil,Inferred using data for Genus,shrub,8.15,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
HIBSUB,Hibbertia subvaginata,native,DILLENIACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,shrub,2.67,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
HIBVAG,Hibbertia vaginata,native,DILLENIACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,shrub,13.1,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
HOLLAN,Holcus lanatus,weed,POACEAE,SEEDER,Alcoa DB,soil,Infered (weed),grass,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
HOLSET,Holcus setiger,weed,POACEAE,SEEDER,Alcoa DB,soil,Infered (weed),grass,1.67,Approximation: avg seed mass of Holcus species (n = 2).,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
HOMHOM,Homalosciadium homalocarpum,native,APIACEAE,SEEDER,Alcoa DB,soil,Infered using data for Family,forb,0.31,Weighed,AMF,Brundrett 2008 for Family,NA,NA,0,annual
HORLEP,Hordeum leporinum,weed,POACEAE,SEEDER,Rachel Standish,soil,Infered (weed),grass,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
HOVCHO,Hovea chorizemifolia,native,FABACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,24.45,Weighed,AMF,Sprent 2001; Brundrett&Abbott 1991,NA,NA,1,perennial
HOVTRI,Hovea trisperma,native,FABACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,20.41,Bell 1994,AMF,Sprent 2001; Brundrett&Abbott 1991,0.06,1.75,1,perennial
HYACOT,Hyalosperma cotula,native,ASTERACEAE,SEEDER,Norman et al. 2006,soil,Vlahos & Bell 1986,forb,0.07,Anne Cochrane,AMF,Brundrett&Abbott 1991,NA,NA,0,annual
HYADEM,Hyalosperma demissum,native,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered using data for Genus,forb,0.03,John Dwyer,AMF,Lamont 1982 for Family,NA,NA,0,annual
HYBCAL,Hybanthus calycinus,native,VIOLACEAE,RESPROUTER,Roche 1997,soil,Inferred using data for Genus,forb,3.13,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
HYBDEB,Hybanthus debilissimus,native,VIOLACEAE,RESPROUTER,Burrows et al. 2008,soil,Inferred using data for Genus,forb,13.14,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
HYBFLO,Hybanthus floribundus,native,VIOLACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,15.63,Nursery records,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
HYDCAL,Hydrocotyle callicarpa,native,ARALIACEAE,SEEDER,Alcoa DB,soil,Bellairs & Bell 1993,forb,0.44,Approximation: avg seed mass of Hydrocotyle species (n = 9),AMF,Brundrett 2008 for Genus,NA,NA,0,annual
HYPANG,Hypocalymma angustifolium,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,NA,Kew SID,AMF,Brundrett&Abbott 1991; Brundrett pers. comm. 10 Aug 2012,0.03,1,0,perennial
HYPCOR,Hypocalymma cordifolium,native,MYRTACEAE,RESPROUTER,Burrows et al. 2008,soil,Assume for Genus; fruit a capsule,shrub,0.18,Weighed,AMF,Brundrett 2008 for Genus; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
HYPEXS,Hypolaena exsulca,native,RESTIONACEAE,RESPROUTER,Alcoa DB,soil,Default,rush,5.46,Approximation based on one species,Root clusters,Lamont 1982 for Family,NA,NA,0,perennial
HYPGLA,Hypochaeris glabra,weed,ASTERACEAE,SEEDER,Smith et al. 2000,soil,Bellairs & Bell 1993,forb,0.41,Milberg et al 1999,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
HYPOCC,Hypoxis occidentalis,native,HYPOXIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,forb,1.41,Approximation: avg seed mass of Hypoxis species (n = 10).,AMF,Allsop & Stock 1993,NA,NA,0,perennial
HYPROB,Hypocalymma robustum,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,0.5,Nursery records,AMF,Brundrett 2008 for Genus; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
ISOCUN,Isotropis cuneifolia,native,FABACEAE,RESPROUTER,Burrows et al. 2008,soil,Inferred using data for Family,forb,12.6,Approximation based on one species,AMF,Sprent 2001; Lamont 1982 on AMF for Family,NA,NA,1,perennial
ISOCYP,Isolepis cyperoides,native,CYPERACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Fgenus,sedge,0.12,Approximation: avg seed mass of Isolepis species (n = 10).,Root clusters,Lamont 1982 for Family,NA,NA,0,perennial
ISODUB,Isopogon dubius,native,PROTEACEAE,SEEDER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,4.41,Weighed,Root clusters,Skene 1998; Brundrett&Abbott 1991,NA,NA,0,perennial
ISOFOR,Isopogon formosus,native,PROTEACEAE,SEEDER,Burrows et al. 2008,canopy,Burrows et al. 2008,shrub,NA,Kew SID,Root clusters,Skene 1998,NA,NA,0,perennial
ISOHYP,Isotoma hypocrateriformis,native,CAMPANULACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,forb,0.04,Nursery records,AMF,Brundrett 2008 for Family,NA,NA,0,annual
ISOMAR,Isolepis marginata,weed,CYPERACEAE,SEEDER,Smith et al. 2000,soil,Smith et al. 2000,sedge,0.12,Approximation: avg seed mass of Isolepis species (n = 10).,Root clusters,Lamont 1982 for Family,NA,NA,0,annual
ISOSPH,Isopogon sphaerocephalus,native,PROTEACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,3.8,Weighed,Root clusters,Skene 1998,NA,NA,0,perennial
IXIVIS,Ixiolaena viscosa,native,ASTERACEAE,SEEDER,Burrows et al. 2008,soil,Infered using data for Family,forb,0.35,Approximation based on one species,AMF,Lamont 1982 for Family,NA,NA,0,annual
JACALA,Jacksonia alata,native,FABACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,shrub,0.79,Weighed,AMF/ECM,Lamont 1982 on Nfixer and AMF for Family; Brundrett 2009 on ECM for Genus,NA,NA,1,perennial
JACFUR,Jacksonia furcellata,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,5.92,Nursery records,AMF/ECM,Sprent 2001; Lamont 1982 on AMF for Family; Brundrett 2009 on ECM for Genus,NA,NA,1,perennial
JOHLUP,Johnsonia lupulina,native,HEMEROCALLIDACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,forb,3,Roche 1997,AMF,Brundrett 2008 for Family,NA,NA,0,perennial
JUNBUF,Juncus bufonius,weed,JUNCACEAE,SEEDER,Alcoa DB,soil,Bellairs & Bell 1993,rush,NA,Kew SID,Root clusters,Brundrett 2009 for Family,NA,NA,0,annual
JUNCAP,Juncus capitatus,weed,JUNCACEAE,SEEDER,Alcoa DB,soil,Infered (weed),rush,NA,Kew SID,Root clusters,Brundrett 2009 for Family,NA,NA,0,annual
JUNHOL,Juncus holoschoenus,native,JUNCACEAE,RESPROUTER,Alcoa DB,soil,Default,rush,NA,Kew SID,Root clusters,Brundrett 2009 for Family,NA,NA,0,perennial
JUNPAL,Juncus pallidus,native,JUNCACEAE,RESPROUTER,Alcoa DB,soil,Default,rush,NA,Kew SID,None,Not root clusters; Shane et al. 2006,NA,NA,0,perennial
JUNPLA,Juncus planifolius,native,JUNCACEAE,SEEDER,Alcoa DB,soil,Default,rush,NA,Kew SID,Root clusters,Brundrett 2009 for Family,NA,NA,0,perennial
JUNSUB,Juncus subsecundus,native,JUNCACEAE,RESPROUTER,Alcoa DB,soil,Default,rush,NA,Kew SID,Root clusters,Brundrett 2009 for Family,NA,NA,0,perennial
KENCAR,Kennedia carinata,native,FABACEAE,SEEDER,Burrows et al. 2008,soil,Bell et al. 1993,shrub,14.22,Weighed,Root clusters/AMF,Skene 1998; Lamont 1982 on AMF for Family,NA,NA,1,perennial
KENCOC,Kennedia coccinea,native,FABACEAE,SEEDER,Ward et al. 1997,soil,Bell et al. 1993,shrub,29.5,Hanley et al 2003,Root clusters/AMF,Skene 1998; Lamont 1982 on AMF for Family,0.08,2.4,1,perennial
KENNIG,Kennedia nigricans,native,FABACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,shrub,13.44,Weighed,Root clusters/AMF,Skene 1998; Lamont 1982 on AMF for Family,NA,NA,1,perennial
KENPRO,Kennedia prostrata,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,NA,Kew SID,Root clusters/AMF,Skene 1998; Brundrett&Abbott 1991,0.12,2.71,1,perennial
KUNERI,Kunzea ericifolia,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,1.28,Nursery records,AMF/ECM,Brundrett 2008 for Genus; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
KUNMIC,Kunzea micrantha,native,MYRTACEAE,RESPROUTER,Alcoa DB,canopy,Lamont et al. 1991 for Genus,shrub,NA,Kew SID,AMF/ECM,Brundrett 2008 for Genus; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
KUNREC,Kunzea recurva,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,0.1,Weighed,AMF/ECM,Brundrett 2008 for Genus; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
LABLAN,Labichea lanceolata,native,CAESALPINIACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,NA,Kew SID,AMF,Brundrett 2009; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
LABPUN,Labichea punctata,native,CAESALPINIACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,37.04,Nursery records,AMF,Brundrett&Abbott 1991,NA,NA,0,perennial
LACFIL,Lachnagrostis filiformis,native,POACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Family,grass,NA,Kew SID,AMF,Lamont 1982 for Family,NA,NA,0,annual
LACSAL,Lactuca saligna,weed,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
LACSER,Lactuca serriola,weed,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
LAGHUE,Lagenophora huegelii,native,ASTERACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,forb,1.64,Weighed,AMF,Lamont 1982 for Family,0.07,1.68,0,perennial
LASFLO,Lasiopetalum floribundum,native,MALVACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,1.13,Weighed,AMF,Brundrett 2008 for Genus,0.06,1.79,0,perennial
LASGLA,Lasiopetalum glabratum,native,MALVACEAE,RESPROUTER,Burrows et al. 2008,soil,Inferred using data for Genus,shrub,2.27,Approximation: avg seed mass of Lasiopetalum species (n = 14).,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
LAVSTO,Lavandula stoechas,weed,LAMIACEAE,SEEDER,Alcoa DB,soil,Infered (weed),shrub,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
LAXSQU,Laxmannia squarrosa,native,ASPARAGACEAE,SEEDER,Alcoa DB,soil,Default,forb,0.18,Nursery records,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
LECBIL,Lechenaultia biloba,native,GOODENIACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,1,Roche 1997,AMF,Brundrett&Abbott 1991,0.05,1.58,0,perennial
LEPCUN,Leptomeria cunninghamii,native,SANTALACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,7.6,Weighed,Root hemiparasite,Florabase,NA,NA,0,perennial
LEPERU,Leptospermum erubescens,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,NA,Kew SID,AMF/ECM,Brundrett 2009 for Genus; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
LEPFIM,Leporella fimbriata,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,NA,NA,0,perennial
LEPGRA,Lepidosperma gracile,native,CYPERACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,sedge,3.5,Approximation: avg seed mass of Lepidosperma species (n = 8).,Root clusters,Shane et al. 2006,NA,NA,0,perennial
LEPLAE,Leptospermum laevigatum,weed,MYRTACEAE,RESPROUTER,Alcoa DB,canopy,Lamont et al. 1991 for Genus,shrub,0.22,Weighed,AMF/ECM,Brundrett 2009 for Genus; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
LEPLEP,Lepidosperma leptostachyum,native,CYPERACEAE,RESPROUTER,Burrows et al. 2008,soil,Inferred using data for Genus,sedge,0.71,Weighed,Root clusters,Lamont 1982 for Family,NA,NA,0,perennial
LEPPUB,Lepidosperma pubisquameum,native,CYPERACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,sedge,1.44,Anne Cochrane,Root clusters,Lamont 1982 for Family,NA,NA,0,perennial
LEPSQU,Lepidosperma squamatum,native,CYPERACEAE,RESPROUTER,Burrows et al. 2008,soil,Inferred using data for Genus,sedge,1.88,Weighed,Root clusters,Shane et al. 2006,NA,NA,0,perennial
LEPTEN,Lepidosperma tenue,native,CYPERACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,sedge,2.48,Weighed,Root clusters,Shane et al. 2006,0.02,0.57,0,perennial
LEPTET,Lepidosperma tetraquetrum,native,CYPERACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,sedge,3.5,Approximation: avg seed mass of Lepidosperma species (n = 8).,Root clusters,Lamont 1982 for Family,NA,NA,0,perennial
LEUAUS,Leucopogon australis,native,ERICACEAE,RESPROUTER,Burrows et al. 2008,soil,Inferred using data for Genus,shrub,10.17,Weighed,Ericoid,Cornelissen et al. 2003 for Family,NA,NA,0,perennial
LEUCAP,Leucopogon capitellatus,native,ERICACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,7,Roche 1997,Ericoid,Cornelissen et al. 2003 for Family,0.07,1.32,0,perennial
LEUNUT,Leucopogon nutans,native,ERICACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,103.65,Weighed,Ericoid,Cornelissen et al. 2003 for Family,0.04,0.94,0,perennial
LEUPRO,Leucopogon propinquus,native,ERICACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,40,Roche 1997,Ericoid,Cornelissen et al. 2003 for Family,0.05,1.11,0,perennial
LEUPUL,Leucopogon pulchellus,native,ERICACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,18.19,Approximation: avg seed mass of Leucopogon species (n = 18).,Ericoid,Cornelissen et al. 2003 for Family,NA,NA,0,perennial
LEUVER,Leucopogon verticillatus,native,ERICACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,NA,Kew SID,Ericoid,Brundrett&Abbott 1991,0.04,0.98,0,perennial
LEVPUS,Levenhookia pusilla,native,STYLIDIACEAE,SEEDER,Smith et al. 2000,soil,Bellairs & Bell 1993,forb,0.05,Weighed,AMF,Brundrett 2008 for Family,NA,NA,0,annual
LEVSTI,Levenhookia stipitata,native,STYLIDIACEAE,SEEDER,Alcoa DB,soil,Bellairs & Bell 1993,forb,0.02,Anne Cochrane,AMF,Brundrett 2008 for Family,NA,NA,0,annual
LOBRHO,Lobelia rhombifolia,native,CAMPANULACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,forb,0.09,Weighed,AMF,Brundrett 2008 for Family,NA,NA,0,annual
LOBRHY,Lobelia rhytidosperma,native,CAMPANULACEAE,SEEDER,Burrows et al. 2008,soil,Inferred using data for Genus,forb,0.08,Weighed,AMF,Brundrett 2008 for Family,NA,NA,0,annual
LOBTEN,Lobelia tenuior,native,CAMPANULACEAE,SEEDER,Burrows et al. 2008,soil,Inferred using data for Genus,forb,0.04,McAlinden 1998,AMF,Brundrett&Abbott 1991,NA,NA,0,annual
LOGSER,Logania serpyllifolia,native,LOGANIACEAE,SEEDER,Burrows et al. 2008,soil,Bell et al. 1993,forb,0.19,Weighed,AMF,Brundrett 2008 for Family,NA,NA,0,perennial
LOLPER,Lolium perenne,weed,POACEAE,SEEDER,Alcoa DB,soil,Bellairs & Bell 1993,grass,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
LOLREM,Lolium remotum,weed,POACEAE,SEEDER,Alcoa DB,soil,Infered (weed),grass,4.37,Approximation: avg seed mass of Lolium species (n = 7).,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
LOLRIG,Lolium rigidum,weed,POACEAE,SEEDER,Alcoa DB,soil,Infered (weed),grass,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
LOMBRI,Lomandra brittanii,native,ASPARAGACEAE,RESPROUTER,Alcoa DB,soil,Infered using data for Genus,forb,15.53,Approximation: avg seed mass of Lomandra species (n = 24),None,NM: Brundrett 2008 for Genus,NA,NA,0,perennial
LOMCAE,Lomandra caespitosa,native,ASPARAGACEAE,RESPROUTER,Burrows et al. 2008,soil,Infered using data for Genus,forb,14.16,Weighed,None,NM: Brundrett 2008 for Genus,NA,NA,0,perennial
LOMDRU,Lomandra drummondii,native,ASPARAGACEAE,RESPROUTER,Burrows et al. 2008,soil,Infered using data for Genus,forb,25.64,Weighed,None,NM: Brundrett 2008 for Genus,0.04,0.8,0,perennial
LOMHER,Lomandra hermaphrodita,native,ASPARAGACEAE,RESPROUTER,Alcoa DB,soil,Infered using data for Genus,forb,33.43,Weighed,None,NM: Brundrett 2008 for Genus,NA,NA,0,perennial
LOMINT,Lomandra integra,native,ASPARAGACEAE,RESPROUTER,Burrows et al. 2008,soil,Infered using data for Genus,forb,9.95,Weighed,None,NM: Brundrett 2008 for Genus,NA,NA,0,perennial
LOMMIC,Lomandra micrantha,native,ASPARAGACEAE,RESPROUTER,Roche 1997,soil,Infered using data for Genus,forb,6.1,Weighed,None,NM: Brundrett 2008 for Genus,NA,NA,0,perennial
LOMNIG,Lomandra nigricans,native,ASPARAGACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,forb,13.79,Weighed,None,NM: Brundrett 2008 for Genus,NA,NA,0,perennial
LOMODO,Lomandra odora,native,ASPARAGACEAE,RESPROUTER,Alcoa DB,soil,Infered using data for Genus,forb,12.36,Weighed,None,NM: Brundrett 2008 for Genus,NA,NA,0,perennial
LOMPRE,Lomandra preissii,native,ASPARAGACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,forb,40,Roche 1997,None,NM: Brundrett 2008 for Genus,NA,NA,0,perennial
LOMPUR,Lomandra purpurea,native,ASPARAGACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,forb,13.96,Weighed,None,NM: Brundrett 2008 for Genus,NA,NA,0,perennial
LOMSER,Lomandra sericea,native,ASPARAGACEAE,RESPROUTER,Alcoa DB,soil,Infered using data for Genus,forb,19.62,Weighed,None,NM: Brundrett 2008 for Genus,NA,NA,0,perennial
LOMSON,Lomandra sonderi,native,ASPARAGACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,forb,32.31,Weighed,None,NM: Brundrett 2008 for Genus,0.05,0.89,0,perennial
LOMSPA,Lomandra spartea,native,ASPARAGACEAE,RESPROUTER,Roche 1997,soil,Infered using data for Genus,forb,8.17,Weighed,None,NM: Brundrett 2008 for Genus,0.03,0.7,0,perennial
LOTULI,Lotus uliginosus,weed,FABACEAE,SEEDER,Smith et al. 2000,soil,Smith et al. 2000,forb,NA,Kew SID,AMF,Sprent 2001/ AMF assumed,NA,3.73,1,perennial
LOXCIN,Loxocarya cinerea,native,RESTIONACEAE,RESPROUTER,Alcoa DB,soil,Default,rush,7.11,Approximation: avg seed mass of Loxocarya species (n = 2).,Root clusters,Lamont 1982 for Family,0.03,0.65,0,perennial
LUZMER,Luzula meridionalis,native,JUNCACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,rush,NA,Kew SID,Root clusters,Brundrett 2009 for Family,NA,NA,0,perennial
LYTHYS,Lythrum hyssopifolia,weed,LYTHRACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
MACRIE,Macrozamia riedlei,native,ZAMIACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,90.91,Nursery records,AMF,Brundrett&Abbott 1991,0.05,0.93,1,perennial
