Sp code,Species Name,Status,Family,Fire Response,FR data source,Seed storage,SS data source,Life Form,Seed mass (mg),SM data source,Nutrient-acquisition strategy,NAS data source,Leaf P,Leaf N
LEPGRA,Lepidosperma gracile,native,CYPERACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,perennial sedge,3.50,Approximation: avg seed mass of Lepidosperma species (n = 8).,Root clusters,Shane et al. 2006,,
LEPLAE,Leptospermum laevigatum*,weed,MYRTACEAE,RESPROUTER,Alcoa DB,canopy,Lamont et al. 1991 for Genus,shrub,0.22,Weighed,AMF/ECM,Brundrett 2009 for Genus; Brundrett pers. comm. 10 Aug 2012,,
LEPLEP,Lepidosperma leptostachyum,native,CYPERACEAE,RESPROUTER,Burrows et al. 2008,soil,Inferred using data for Genus,perennial sedge,0.71,Weighed,Root clusters,Lamont 1982 for Family,,
LEPPUB,Lepidosperma pubisquameum,native,CYPERACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,perennial sedge,1.44,Anne Cochrane,Root clusters,Lamont 1982 for Family,,
LEPSQU,Lepidosperma squamatum,native,CYPERACEAE,RESPROUTER,Burrows et al. 2008,soil,Inferred using data for Genus,perennial sedge,1.88,Weighed,Root clusters,Shane et al. 2006,,
LEPTEN,Lepidosperma tenue,native,CYPERACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,perennial sedge,2.48,Weighed,Root clusters,Shane et al. 2006,0.02,0.57
LEPTET,Lepidosperma tetraquetrum,native,CYPERACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,perennial sedge,3.50,Approximation: avg seed mass of Lepidosperma species (n = 8).,Root clusters,Lamont 1982 for Family,,
LEUAUS,Leucopogon australis,native,ERICACEAE,RESPROUTER,Burrows et al. 2008,soil,Inferred using data for Genus,shrub,10.17,Weighed,Ericoid,Cornelissen et al. 2003 for Family,,
LEUCAP,Leucopogon capitellatus,native,ERICACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,7.00,Roche 1997 ,Ericoid,Cornelissen et al. 2003 for Family,0.07,1.32
LEUNUT,Leucopogon nutans,native,ERICACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,103.65,Weighed,Ericoid,Cornelissen et al. 2003 for Family,0.04,0.94
LEUPRO,Leucopogon propinquus,native,ERICACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,40.00,Roche 1997 ,Ericoid,Cornelissen et al. 2003 for Family,0.05,1.11
LEUPUL,Leucopogon pulchellus,native,ERICACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,18.19,Approximation: avg seed mass of Leucopogon species (n = 18).,Ericoid,Cornelissen et al. 2003 for Family,,
LEUVER,Leucopogon verticillatus,native,ERICACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,8.40,Kew SID,Ericoid,Brundrett&Abbott 1991,0.04,0.98
LEVPUS,Levenhookia pusilla,native,STYLIDIACEAE,SEEDER,Smith et al. 2000,soil,Bellairs & Bell 1993,annual forb,0.05,Weighed,AMF,Brundrett 2008 for Family,,
LEVSTI,Levenhookia stipitata,native,STYLIDIACEAE,SEEDER,Alcoa DB,soil,Bellairs & Bell 1993,annual forb,0.02,Anne Cochrane,AMF,Brundrett 2008 for Family,,
LOBRHO,Lobelia rhombifolia,native,CAMPANULACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,annual forb,0.09,Weighed,AMF,Brundrett 2008 for Family,,
LOBRHY,Lobelia rhytidosperma,native,CAMPANULACEAE,SEEDER,Burrows et al. 2008,soil,Inferred using data for Genus,annual forb,0.08,Weighed,AMF,Brundrett 2008 for Family,,
LOBTEN,Lobelia tenuior,native,CAMPANULACEAE,SEEDER,Burrows et al. 2008,soil,Inferred using data for Genus,annual forb,0.04,McAlinden 1998,AMF,Brundrett&Abbott 1991,,
