family,species,Location,SDH confirm,Granite yes=y,Conservtion status,flowering_time,fruiting_time,Geographic_range_relative_to_TPBNR,taxon_name,species2,fire_response,plant_growth_substrate,life_history,woodiness,plant_growth_form
ASTERACEAE,Arctotheca populifolia (F. Bergius) Northlindh,"11,12",•,,,,,centered_on,Arctotheca populifolia,,,,,,
ASTERACEAE,Asteridea asteroides (Turcz.) Kroner,10,•,,,NNNNNNNNNYNN,NNNNNNNNNYNN,east_of,Asteridea asteroides,,,,,,
ASTERACEAE,Asteridea nivea (Steetz) Kroner,8,•,,,,,east_of,Asteridea nivea,,,,,,
ASTERACEAE,Brachyscome iberidifolia Benth.,,•,,,,,centered_on,Brachyscome iberidifolia,,,,,,
ASTERACEAE,Brachyscome pusilla Steetz,6,•,,,NNNNNNNYYYNN,NNNNNNNYYYNN,east_of,Brachyscome pusilla,,,,,,
ASTERACEAE,Leucophyta brownii Cass.,"7,8",• name change,,,,,centered_on,Leucophyta brownii,,,,,,
ASTERACEAE,Carduus pycnocephalus L.,,•,y,,,,west_of,Carduus pycnocephalus,Carduus pycnocephalus L.,seeder,terrestrial,annual,herbaceous,
ASTERACEAE,Cotula coronopifolia L.,13,• alien,y,,NYNNNNNNNNNN,NYNNNNNNNNNN,west_of,Cotula coronopifolia,Cotula coronopifolia L.,seeder,aquatic,annual,,
ASTERACEAE,Craspedia variabilis J.Everett & Doust,,• name change,,,,,west_of,Craspedia variabilis,,,,,,
ASTERACEAE,Euchiton collinus Cass.,"7,13",• not alien,,,NYNNNNNNNNNN,NYNNNNNNNNNN,west_of,Euchiton collinus,,,,,,
ASTERACEAE,Euchiton sphaericus (Willd.) Holub,,•,y,,,,centered_on,Euchiton sphaericus,Euchiton sphaericus (Willd.) Holub,seeder,terrestrial,annual,herbaceous,
ASTERACEAE,Hypochaeris glabra L.,"1,3,7,9,11",•,y,,YYNNYNNNNNNN,YYNNYNNNNNNN,centered_on,Hypochaeris glabra,Hypochaeris glaba L.,seeder,terrestrial,annual,,
ASTERACEAE,Ixiolaena viscosa Benth.,2,•,,,YNNNNNNNNNNN,YNNNNNNNNNNN,west_of,Ixiolaena viscosa,,,,,,
ASTERACEAE,Lagenophora huegelii Benth.,"6,10",•,,,NNNNNNNNNYNN,NNNNNNNNNYNN,west_of,Lagenophora huegelii,,,,,,
ASTERACEAE,Leptorhynchos scaber (Benth.) Haegi,"2,6,10,12",• name change,y,,NNNNNNNNNYYY,NNNNNNNNNYYY,west_of,Leptorhynchos scaber,Leptorhynchos scaber (Benth.) Haegi,seeder,terrestrial,annual,,
ASTERACEAE,Millotia tenuifolia Cass.,3,•,y,,NNNNNNNNNYNN,NNNNNNNNNYNN,centered_on,Millotia tenuifolia,Millotia tenuifolia Cass.,seeder,terrestrial,annual,,
ASTERACEAE,Olearia axillaris (DC.) F.Muell. ex Benth.,"8,11",•,y,,NNNYNNNNNNNN,NNNYNNNNNNNN,centered_on,Olearia axillaris,Olearia axillaris (DC.) F.Muell. ex Benth.,seeder,terrestrial,perennial,woody,
ASTERACEAE,Olearia ciliata (Benth.) F.Muell. ex Benth.,5,•,,,NNNNNNNNNNYY,NNNNNNNNNNYY,east_of,Olearia ciliata,,,,,,
ASTERACEAE,Pithocarpa cordata (DC.) Schmidt-Leb. & R.L.Barrett,"1,2",• name change,,,YYNYYNNNNNNN,YYNYYNNNNNNN,west_of,Pithocarpa cordata,,,,,,
ASTERACEAE,Podolepis canescens Cunn. ex DC.,2,• sp. Indet.,,,YYNNYYNNYNNN,YYNNYYNNYNNN,,Podolepis canescens,,,,,,
ASTERACEAE,Podolepis rugata Labill.,6,•,,,NNNNNNNNNYYY,NNNNNNNNNYYY,east_of,Podolepis rugata,,,,,,
ASTERACEAE,Podotheca angustifolia (Labill.) Less.,"2,6,10,11",•,,,NNNNNNNNNYYN,NNNNNNNNNYYN,centered_on,Podotheca angustifolia,,,,,,
ASTERACEAE,Pycnosorus pleiocephalus (F.Muell.) J.Everett & Doust,&,• sp. Indet.,,,,,,Pycnosorus pleiocephalus,,,,,,
ASTERACEAE,Quinetia urvillei Cass.,"6,8,9,11",•,y,,,,centered_on,Quinetia urvillei,Quinetia urvillei Cass.,seeder,terrestrial,annual,,
ASTERACEAE,Rhodanthe citrina (Benth.) Paul G.Wilson,"1,2,3,6,11",• name change,y,,NNNNNNNNYYNN,NNNNNNNNYYNN,centered_on,Rhodanthe citrina,Rhodanthe citrina (Benth.) Paul G.Wilson,seeder,terrestrial,annual,,
ASTERACEAE,Senecio elegans L.,"1,6,11",•,y,,NNNNNNNNNYNN,NNNNNNNNNYNN,west_of,Senecio elegans,Senecio elegans L.,seeder,terrestrial,annual,herbaceous,
ASTERACEAE,Senecio hispidulus A.Rich.,,•,y,,,,west_of,Senecio hispidulus,Senecio hispidulus A.Rich.,seeder,terrestrial,annual,herbaceous,
ASTERACEAE,Senecio pinnatifolius var. latilobus (Steetz) I.Thomps.,"1,2,6,7,8,10,11",• name change,,,YNNNNNYYYYYY,YNNNNNYYYYYY,west_of,Senecio pinnatifolius var. latilobus,,,,,,
ASTERACEAE,Senecio ramosissimus DC.,"1,2",•,,,YNNNNNNNNYNN,YNNNNNNNNYNN,west_of,Senecio ramosissimus,,,,,,
ASTERACEAE,Siloxerus humifusus Labill.,8,•,y,,,,west_of,Siloxerus humifusus,Siloxerus humifusus Labill.,seeder,terrestrial,annual,,
ASTERACEAE,Sonchus asper Hill,"1,3,1",•,,,NNNNNNYNNYNY,NNNNNNYNNYNY,west_of,Sonchus asper,,,,,,
ASTERACEAE,Sonchus oleraceus L.,"2,7,8,9",•,,,YYNNNNNNNNNN,YYNNNNNNNNNN,centered_on,Sonchus oleraceus,,,,,,
ASTERACEAE,Trichocline spathulata (DC.) J.H.Willis,7,•,,,,,west_of,Trichocline spathulata,,,,,,
ASTERACEAE,Ursinia anthemoides (L.) Poir.,&,•,,,,,centered_on,Ursinia anthemoides,,,,,,
ASTERACEAE,Vellereophyton dealbatum (Thunb.) Hilliard & B.L.Burtt,"1,3,13",•,y,,NYNNYNNNNYNN,NYNNYNNNNYNN,west_of,Vellereophyton dealbatum,Vellereophyton dealbatum (Thunb.) Hilliard & B.L.Burtt,seeder,terrestrial,annual,,
ASTERACEAE,Waitzia suaveolens (Benth.) Druce var. suaveolens,"2,6,10,11",• stat. change,,,YYYYNNNNNNNN,YYYYNNNNNNNN,centered_on,Waitzia suaveolens var. suaveolens,,,,,,
ASTERACEAE,Xerochrysum wilsonii T.L.Collins,,•,,,,,west_of,Xerochrysum wilsonii,Xerochrysum wilsonii T.L.Collins,seeder,terrestrial,annual,herbaceous,
BRASSICACEAE,Cakile maritima Scop.,"8,11",•,,,,,centered_on,Cakile maritima,,,,,,
BRASSICACEAE,Cardamine hirsuta L.,,•,,,,,west_of,Cardamine hirsuta,,,,,,
BRASSICACEAE,Heliophila pusilla L.,"5,6",•,y,,,,west_of,Heliophila pusilla,Heliophila pusilla L.,seeder,terrestrial,annual,,
BRASSICACEAE,Lepidium foliosum Desv.,7,•,,,,,centered_on,Lepidium foliosum,,,,,,
BRASSICACEAE,Lepidium rotundum (Desv.) DC.,2,• sp. Indet.,,,NNNNNNNNNYNN,NNNNNNNNNYNN,east_of,Lepidium rotundum,,,,,,
CAMPANULACEAE,Isotoma hypocrateriformis (R.Br.) Druce,"3,6,11",•,y,,NYNNNNNNNYYY,NYNNNNNNNYYY,west_of,Isotoma hypocrateriformis,Isotoma hypocrateriformis (R.Br.) Druce,seeder,terrestrial,annual,,
CAMPANULACEAE,Isotoma scapigera (R.Br.) Don,11,•,,,,,centered_on,Isotoma scapigera,,,,,,
CAMPANULACEAE,Lobelia anceps L.f.,"1,2,7,9,13",• name change,y,,YYYYYNNNNNNN,YYYYYNNNNNNN,west_of,Lobelia anceps,Lobelia anceps L.f.,seeder,terrestrial,perennial,herbaceous,
CAMPANULACEAE,Lobelia gibbosa Labill.,"2,6",•,y,,NYYNNNNNNNNN,NYYNNNNNNNNN,centered_on,Lobelia gibbosa,Lobelia gibbosa Labill.,seeder,terrestrial,,herbaceous,
CAMPANULACEAE,Lobelia heterophylla Labill.,"1,2,3,6",•,,,YYYNNNNNNYNN,YYYNNNNNNYNN,centered_on,Lobelia heterophylla,,,,,,
CAMPANULACEAE,Lobelia rarifolia E.Wimm.,3,•,,,YNNNNNNNNNNN,YNNNNNNNNNNN,centered_on,Lobelia rarifolia,,,,,,
CAMPANULACEAE,Lobelia rhombifoliaVriese,3,•,,,NNNNNNNNNYNN,NNNNNNNNNYNN,west_of,Lobelia rhombifolia Vriese,,,,,,
CAMPANULACEAE,Wahlenbergia gracilenta Loth.,11,•,,,NNNNNNNNNYNN,NNNNNNNNNYNN,centered_on,Wahlenbergia gracilenta,,,,,,
CAMPANULACEAE,Wahlenbergia capensis (L.) DC.,11,•,,,NNNNNNNNNYNN,NNNNNNNNNYNN,centered_on,Wahlenbergia capensis,,,,,,
CARYOPHYLLACEAE,Sagina apetala Ard.,7,•,,,,,centered_on,Sagina apetala,,,,,,
CASUARINACEAE,Allocasuarina fraseriana (Miq.) L.Johnson,10,•,y,,,,west_of,Allocasuarina fraseriana,Allocasuarina fraseriana (Miq.) L.Johnson,resprout,terrestrial,perennial,woody,
CASUARINACEAE,Allocasuarina humilis (Otto & Dietr.) L.Johnson,"2,6,8,11,12",•,,,NYYYNYYYYYYY,NYYYNYYYYYYY,centered_on,Allocasuarina humilis,,,,,,
CASUARINACEAE,Allocasuarina lehmanniana (Miq.) L.Johnson,10,•,,,,,centered_on,Allocasuarina lehmanniana,,,,,,
CASUARINACEAE,Allocasuarina trichodon (Miq.) L.Johnson,"2,4,8",•,y,,YNYNNNNNNNNN,YNYNNNNNNNNN,east_of,Allocasuarina trichodon,Allocasuarina trichodon (Miq.) L.Johnson,seeder,terrestrial,perennial,woody,
CASUARINACEAE,Allocasuarina thuyoides (Miq.) L.A.S.Johnson,,•,y,,,,centered_on,Allocasuarina thuyoides,Allocasuarina thuyoides (Miq.) L.A.S.Johnson,seeder,terrestrial,perennial,woody,
CEPHALOTACEAE,Cephalotus follicularis Labill.,10,•,,,YYNNNNNNNNNN,YYNNNNNNNNNN,west_of,Cephalotus follicularis,,,,,,
CHENOPODIACEAE,Atriplex isatidea Moq.,"7,8,11",•,,,,,centered_on,Atriplex isatidea,,,,,,
CHENOPODIACEAE,Atriplex prostrata DC,3,• alien,,,,,centered_on,Atriplex prostrata,,,,,,
CHENOPODIACEAE,Maireana oppositifolia (F. Muell.) Paul G. Wilson,9,•,,,,,east_of,Maireana oppositifolia,,,,,,
CHENOPODIACEAE,Rhagodia baccata Moq.,"2,7,8,9",•,,,YNNNYYNNNNNN,YNNNYYNNNNNN,centered_on,Rhagodia baccata,,,,,,
CHENOPODIACEAE,Rumex acetosella L.,13,• alien,,,,,west_of,Rumex acetosella,,,,,,
CHENOPODIACEAE,Salicornia blackiana Ulbr.,8,• name change,,,,,centered_on,Salicornia blackiana,,,,,,
CHENOPODIACEAE,Salicornia quinqueflora Ung.-Sternb.,,• new PERTH,,,,,east_of,Salicornia quinqueflora,,,,,,
CHENOPODIACEAE,Threlkeldia diffusa R.Br.,8,•,,,,,centered_on,Threlkeldia diffusa,,,,,,
CRASSULACEAE,Crassula colorata (Nees) Ostenf.,11,•,y,,,,centered_on,Crassula colorata,Crassula colorata (Nees) Ostenf.,seeder,terrestrial,annual,,
CRASSULACEAE,Crassula decumbens Thunb. var. decumbens,"7,8,9,11",•,y,,,,west_of,Crassula decumbens var. decumbens,Crassula decumbens Thunb. var. decumbens,seeder,terrestrial,annual,,
CRASSULACEAE,Crassula glomerata P.J.Bergius,,• new PERTH,,,,,west_of,Crassula glomerata,,,,,,
CRASSULACEAE,Crassula natans Thunb. var. minor (Eckl. & Zeyh.) G.D.Rowley,,•,y,,,,centered_on,Crassula natans,Crassula natans Thunb. var. minor (Eckl. & Zeyh.) G.D.Rowley,seeder,aquatic,annual,,
CRASSULACEAE,Crassula tetramera (Toelken) A.P.Druce & Sykes,,•,y,,,,east_of,Crassula tetramera,Crassula tetramera (Toelken) A.P.Druce & Sykes,seeder,terrestrial,annual,,
DILLENIACEAE,Hibbertia cuneiformis (Labill.) Sm.,"1,2,7,8,11",•,,,YNNYYNYNYYNN,YNNYYNYNYYNN,centered_on,Hibbertia cuneiformis,,,,,,
DILLENIACEAE,Hibbertia cunninghamii Hook.,"2,3,8,11,12",•,y,,NNNNNNYYYYYN,NNNNNNYYYYYN,west_of,Hibbertia cunninghamii,Hibbertia cunninghamii Hook.,seeder,terrestrial,perennial,woody,
DILLENIACEAE,Hibbertia depressa Steud.,10,•,,,,,west_of,Hibbertia depressa,,,,,,
DILLENIACEAE,Hibbertia desmophylla (Benth.) F. Muell.,3,• sp. Indet.,,,YNNNNNNNNNNN,YNNNNNNNNNNN,,Hibbertia desmophylla,,,,,,
DILLENIACEAE,Hibbertia hemignosta (Steud.) J.R.Wheeler,11,• name change,y,,,,east_of,Hibbertia hemignosta,Hibbertia hemignosta (Steud.) J.R.Wheeler,seeder,terrestrial,perennial,woody,
DILLENIACEAE,Hibbertia furfuracea (DC.) Benth.,"5,8,10",•,y,,NNYNYNYYYYYY,NNYNYNYYYYYY,west_of,Hibbertia furfuracea,Hibbertia furfuracea (DC.) Benth.,seeder,terrestrial,perennial,woody,
DILLENIACEAE,Hibbertia grossulariifolia (Salisb.) Salisb.,11,•,,,NNNNNNNYNNNN,NNNNNNNYNNNN,west_of,Hibbertia grossulariifolia,,,,,,
DILLENIACEAE,Hibbertia microphylla Steud.,12,•,,,NNNNNNNNYYNN,NNNNNNNNYYNN,west_of,Hibbertia microphylla,,,,,,
DILLENIACEAE,Hibbertia pulchra Ostenf. var. acutibractea J.R.Wheeler,"3,5",• stat. change,,,YNYYYYYNNYNN,YNYYYYYNNYNN,west_of,Hibbertia pulchra,,,,,,
DILLENIACEAE,Hibbertia racemosa (Endl.) Gilg.,"1,2,6,8,11",•,,,YYYNYYYYYYYY,YYYNYYYYYYYY,centered_on,Hibbertia racemosa,,,,,,
DILLENIACEAE,Hibbertia verrucosa (Turcz.) Benth.,12,•,,,NNNNYNYYNNNN,NNNNYNYYNNNN,east_of,Hibbertia verrucosa,,,,,,
DROSERACEAE,Drosera drummondii R.Br.,6,• name change,y,,NNNNNNNNNYNN,NNNNNNNNNYNN,centered_on,Drosera drummondii,Drosera drummondii R.Br.,resprout,terrestrial,perennial,herbaceous,geophyte
DROSERACEAE,Drosera erythrogyne N.G.Marchant & Lowrie,"1,4",• name change,y,,NNNNNNYNYNNN,NNNNNNYNYNNN,west_of,Drosera erythrogyne,Drosera erythrogyne N.G.Marchant & Lowrie,resprout,terrestrial,perennial,herbaceous,geophyte
DROSERACEAE,Drosera erythrorhiza Lindl.,"3,11,12",•,y,,NNNNNNYYYNNN,NNNNNNYYYNNN,west_of,Drosera erythrorhiza,Drosera erythrorhiza Lindl.,resprout,terrestrial,perennial,herbaceous,geophyte
DROSERACEAE,Drosera glanduligera Lehm.,3,•,y,,NNNNNNNNYYNN,NNNNNNNNYYNN,centered_on,Drosera glanduligera,Drosera glanduligera Lehm.,seeder,terrestrial,annual,,
DROSERACEAE,Drosera huegelii Endl.,"1,3,11,12",•,y,,NNNNNNYYYNNN,NNNNNNYYYNNN,centered_on,Drosera huegelii,Drosera huegelii Endl.,resprout,terrestrial,perennial,herbaceous,geophyte
DROSERACEAE,Drosera menziesii DC.,,• new PERTH,y,,,,west_of,Drosera menziesii,Drosera menziesii DC.,resprout,terrestrial,perennial,herbaceous,geophyte
DROSERACEAE,Drosera microphylla Endl.,5,•,,,NNNNNNNYNNNN,NNNNNNNYNNNN,centered_on,Drosera microphylla,,,,,,
DROSERACEAE,Drosera modesta Diels,3,•,Y,,NNNNNNNNNYNN,NNNNNNNNNYNN,west_of,Drosera modesta,Drosera modesta Diels,resprout,terrestrial,perennial,herbaceous,geophyte
DROSERACEAE,Drosera pallida Lindley,"1,2,3,6",• name change,y,,NNNNYNYYYYYN,NNNNYNYYYYYN,west_of,Drosera pallida,Drosera pallida Lindley,resprout,terrestrial,perennial,herbaceous,geophyte
DROSERACEAE,Drosera platypoda Turez.,3,•,,,NNNNNNNNYYNN,NNNNNNNNYYNN,west_of,Drosera platypoda,,,,,,
DROSERACEAE,Drosera pulchella Lehm.,3,•,,,YNNNNNNNNNNN,YNNNNNNNNNNN,west_of,Drosera pulchella,,,,,,
DROSERACEAE,Drosera roseana N.G.Marchant & Lowrie,3,• name change,,,,,west_of,Drosera roseana,,,,,,
DROSERACEAE,Drosera sp. Branched styles (S.C. Coffey 193),,• new PERTH,y,,,,centered_on,Drosera sp. Branched styles (S.C.Coffey 193),Drosera sp. Branched styles (S.C. Coffey 193),resprout,terrestrial,perennial,herbaceous,geophyte
DROSERACEAE,Drosera stolonifera Endl.,"3,11",•,y,,NNNNNNNNYYNN,NNNNNNNNYYNN,west_of,Drosera stolonifera,Drosera stolonifera Endl.,resprout,terrestrial,perennial,herbaceous,geophyte
EREMOSYNACEAE,Eremosyne pectinata Endl.,,•,Y,,,,west_of,Eremosyne pectinata,Eremosyne pectinata Endl.,seeder,terrestrial,annual,,
ERICACEAE,Acrotriche cordata (Labill.) R.Br.,"2,8",•,,,NNNNNYNNNNNN,NNNNNYNNNNNN,centered_on,Acrotriche cordata,,,,,,
ERICACEAE,Andersonia caerulea R.Br.,"1,3,6,11,12",•,,,NYNNYYYYYYYN,NYNNYYYYYYYN,centered_on,Andersonia caerulea,,,,,,
ERICACEAE,Andersonia micrantha R.Br.,12,•,,,,,centered_on,Andersonia micrantha,,,,,,
ERICACEAE,Andersonia pinaster Lemson,,• new PERTH,,Vu,,,west_of,Andersonia pinaster,,,,,,
ERICACEAE,Andersonia setifolia Benth.,,• new PERTH,,P3,,,centered_on,Andersonia setifolia,,,,,,
ERICACEAE,Andersonia simplex (Stschegl.) Druce,3,•,,,NNNNNNNNYNNN,NNNNNNNNYNNN,centered_on,Andersonia simplex,,,,,,
ERICACEAE,Andersonia sprengelioides R.Br.,"8,11",•,y,,,,centered_on,Andersonia sprengelioides,Andersonia sprengelioides R.Br.,seeder,terrestrial,perennial,woody,
ERICACEAE,Brachyloma baxteri (DC.) Puente-Lel.,"1,3,5",• name change,,,YYYYYNYNNNNN,YYYYYNYNNNNN,centered_on,Brachyloma baxteri,,,,,,
ERICACEAE,Cosmelia rubra R.Br.,"3,12",•,,,YYNNNNNYYNNN,YYNNNNNYYNNN,west_of,Cosmelia rubra,,,,,,
ERICACEAE,Leucopogon altissimus Hislop,"1,12",• name change,y,P3,NYYYNNYYNYNN,NYYYNNYYNYNN,east_of,Leucopogon altissimus,Leucopogon altissimus Hislop,seeder,terrestrial,perennial,woody,
ERICACEAE,Leucopogon assimilis R.Br.,,• new PERTH,,,,,east_of,Leucopogon assimilis,,,,,,
ERICACEAE,Leucopogon capitellatus DC.,"3,4",• new PERTH,y,,NNNYYYYYYYYY,NNNYYYYYYYYY,west_of,Leucopogon capitellatus,Leucopogon capitellatus DC.,seeder,terrestrial,perennial,woody,
ERICACEAE,Leucopogon carinatus R.Br.,"1,3,4,6,8",•,,,NNNYNNNNNNNN,NNNYNNNNNNNN,east_of,Leucopogon carinatus,,,,,,
ERICACEAE,Leucopogon distans R.Br.,"1,3",•,,,YYYYYNYNYYNN,YYYYYNYNYYNN,west_of,Leucopogon distans,,,,,,
ERICACEAE,Leucopogon elegans Sond. subsp. elegans,5,• stat. change,,,YNNNNNNNNNNN,YNNNNNNNNNNN,east_of,Leucopogon elegans,,,,,,
ERICACEAE,Leucopogon gibbosus Stschegl.,,• new PERTH,,,,,centered_on,Leucopogon gibbosus,,,,,,
ERICACEAE,Leucopogon glabellus R.Br.,3,•,,,YNNNNNNNNNNN,YNNNNNNNNNNN,west_of,Leucopogon glabellus,,,,,,
ERICACEAE,Leucopogon hirsutus Sond.,,• new PERTH,,,,,west_of,Leucopogon hirsutus,,,,,,
ERICACEAE,Leucopogon obovatus (Labill.) R.Br. subsp. obovatus,"2,3,6,7,8,9,11",• stat. change,y,,NNNNYYYYYYYY,NNNNYYYYYYYY,centered_on,Leucopogon obovatus subsp. obovatus,Leucopogon obovatus (Labill.) R.Br. subsp. obovatus,seeder,terrestrial,perennial,woody,
ERICACEAE,Leucopogon parviflorus (Andrews) Lindl.,"1,2,3,5,6",•,,,NYNNYYYYYYNN,NYNNYYYYYYNN,centered_on,Leucopogon parviflorus,,,,,,
ERICACEAE,Leucopogon reflexus R.Br.,"1,5,8",•,,,NNNNNNYYYYNN,NNNNNNYYYYNN,west_of,Leucopogon reflexus,,,,,,
ERICACEAE,Leucopogon verticillatus R.Br.,"3,10",•,y,,YNNNYNYYYYNN,YNNNYNYYYYNN,,Leucopogon verticillatus,Leucopogon verticillatus R.Br.,resprout,terrestrial,perennial,woody,
ERICACEAE,Leucopogon sp. indet (CSIRO 118B),6,• sp. Indet.,,,,,,Leucopogon sp. indet (CSIRO 118B),,,,,,
ERICACEAE,Leucopogon sp. indet (CSIRO 415),3,• sp. Indet.,,,NNNNYNNNNNNN,NNNNYNNNNNNN,,Leucopogon sp. indet (CSIRO 415),,,,,,
ERICACEAE,Lysinema ciliatum R.Br.,"1,2,3,5,6",•,,,YYYYYYYYYYYY,YYYYYYYYYYYY,centered_on,Lysinema ciliatum,,,,,,
ERICACEAE,Lysinema conspicuum R.Br.,"1,3,10",•,,,YNYYYNNNYYNN,YNYYYNNNYYNN,west_of,Lysinema conspicuum,,,,,,
ERICACEAE,Lysinema pentapetalum R.Br.,,• new PERTH,,,,,centered_on,Lysinema pentapetalum,,,,,,
ERICACEAE,Needhamiella pumilio (R.Br.) L.Watson,1,•,,,NYNNNNNNYNNN,NYNNNNNNYNNN,centered_on,Needhamiella pumilio,,,,,,
ERICACEAE,Oligarrhena micrantha R.Br.,12,•,,,NNNNYNYNNYNN,NNNNYNYNNYNN,east_of,Oligarrhena micrantha,,,,,,
ERICACEAE,Sphenotoma capitata (R.Br.) Lindl.,"3,4",•,,,NNNNNNNNNNNY,NNNNNNNNNNNY,west_of,Sphenotoma capitata,,,,,,
ERICACEAE,Sphenotoma dracophylloides Sond.,"5,12",•,,,NNNNNNNNNYYY,NNNNNNNNNYYY,west_of,Sphenotoma dracophylloides,,,,,,
ERICACEAE,Sphenotoma gracilis (R.Br.) Sweet,"1,3,10,12",•,,,YNNNNNNNYYNN,YNNNNNNNYYNN,west_of,Sphenotoma gracilis,,,,,,
ERICACEAE,Sphenotoma parviflora F.Muell.,,• new PERTH,,,,,west_of,Sphenotoma parviflora,,,,,,
ERICACEAE,Sphenotoma sp. Stirling Range (P.G. Wilson 4235),,• new consvn,,P4,,,,Sphenotoma sp. Stirling Range (P.G.Wilson 4235),,,,,,
ERICACEAE,Styphelia corynocarpa (Sond.) F.Muell.,&,• name change,,,,,east_of,Styphelia corynocarpa,,,,,,
ERICACEAE,"Styphelia discolor (Sond.) Hislop, Crayn & Puente-Lel.",5,• name change,,,NNNNYNNNNNNN,NNNNYNNNNNNN,west_of,Styphelia discolor,,,,,,
ERICACEAE,Styphelia erubescens F.Muell.,"2,12",• name change,,,YNNYNNNNNYNN,YNNYNNNNNYNN,west_of,Styphelia erubescens,,,,,,
ERICACEAE,Styphelia flavescens (Sond.) F.Muell.,"3,10",• name change,,,YNNNNNNNNNNN,YNNNNNNNNNNN,centered_on,Styphelia flavescens,,,,,,
ERICACEAE,Styphelia madida Hislop,,• new PERTH,,,,,,Styphelia madida,,,,,,
ERICACEAE,Styphelia melaleucoides F.Muell.,&,•,,,,,east_of,Styphelia melaleucoides,,,,,,
ERICACEAE,Styphelia microcalyx (Sond.) F.Muell.,1.6,• sp. Indet.,,,NNNNYNYNNNNN,NNNNYNYNNNNN,,Styphelia microcalyx,,,,,,
ERICACEAE,Styphelia pallida (R.Br.) Spreng.,"3,5",• name change,y,,NNNNNNNYYYNN,NNNNNNNYYYNN,west_of,Styphelia pallida,Styphelia pallida (R.Br.) Spreng.,resprout,terrestrial,perennial,herbaceous,
ERICACEAE,Styphelia pendula (R.Br.) Spreng.,11,• name change,,,NNYNNNNYNNNN,NNYNNNNYNNNN,west_of,Styphelia pendula,,,,,,
ERICACEAE,Styphelia propinqua (R.Br.) Spreng.,"1,3,5",• name change,,,NYYYYNYNNNNN,NYYYYNYNNNNN,west_of,Styphelia propinqua,,,,,,
ERICACEAE,Styphelia stricta (Benth.) F.Muell.,"3,5",• sp. Indet.,,,NYYNNNYYNNNN,NYYNNNYYNNNN,,Styphelia stricta,,,,,,
EUPHORBIACEAE,Amperea ericoides A. Juss.,"5,11",•,,,NNNNNNNNNYNN,NNNNNNNNNYNN,west_of,Amperea ericoides,,,,,,
EUPHORBIACEAE,Amperea protensa Nees,,• new PERTH,,,,,west_of,Amperea protensa,,,,,,
EUPHORBIACEAE,Euphorbia paralias L.,"8,11",•,,,,,centered_on,Euphorbia paralias,,,,,,
EUPHORBIACEAE,Lysiandra calycina (Labill.) R.W.Bouman,"1,2,5,6,10,11",• name change,,,NNNYNYYYYYYY,NNNYNYYYYYYY,centered_on,Lysiandra calycina,,,,,,
EUPHORBIACEAE,Poranthera florosa Halford & R.J.F.Hend.,,• new PERTH,y,,,,centered_on,Poranthera florosa,Poranthera florosa Halford & R.J.F.Hend.,seeder,terrestrial,annual,,
EUPHORBIACEAE,Poranthera huegelii Klotzsch,3,•,,,YNNNNNNNNYNN,YNNNNNNNNYNN,west_of,Poranthera huegelii,,,,,,
EUPHORBIACEAE,Poranthera microphylla Brongn.,"6,10",•,y,,NNNNNNNNNYNN,NNNNNNNNNYNN,centered_on,Poranthera microphylla,Poranthera microphylla Brongn.,seeder,terrestrial,annual,,
EUPHORBIACEAE,Ricinocarpos glaucus Endl.,"4,12",•,y,,NNNNNNNNYYNN,NNNNNNNNYYNN,west_of,Ricinocarpos glaucus,Ricinocarpos glaucus Endl.,seeder,terrestrial,perennial,woody,
EUPHORBIACEAE,Ricinocarpos tuberculatus Muell. Arg.,8,• sp. Indet,,P2,NNNNNNNYNNNN,NNNNNNNYNNNN,,Ricinocarpos tuberculatus,,,,,,
FABACEAE,Acacia applanata Maslin,,• new PERTH,,,,,west_of,Acacia applanata,,,,,,
FABACEAE,Acacia browniana H.L.Wendl. var. browniana,"1,3",•,y,,YYNNNNYNNNNN,YYNNNNYNNNNN,west_of,Acacia browniana var. browniana,Acacia browniana H.L.Wendl. var. browniana,seeder,terrestrial,perennial,woody,
FABACEAE,Acacia cochlearis (Labill.) H.L.Wendl.,"1,2,6,11",•,,,YYNNNNNNNNNN,YYNNNNNNNNNN,centered_on,Acacia cochlearis,,,,,,
FABACEAE,Acacia cupularis Domin,,• new PERTH,,,,,east_of,Acacia cupularis,,,,,,
FABACEAE,Acacia cyclops G.Don,"2,3,11",•,y,,YNNNNNNNNNNN,YNNNNNNNNNNN,centered_on,Acacia cyclops,Acacia cyclops G.Don,seeder,terrestrial,perennial,woody,
FABACEAE,Acacia leioderma Maslin,"1,3,5,8,12",•,y,,NNNNYNYYYYNN,NNNNYNYYYYNN,east_of,Acacia leioderma,Acacia leioderma Maslin,seeder,terrestrial,perennial,woody,
FABACEAE,Acacia littorea Maslin,"1,2,3,8",•,,,YYNNYYYYYYNN,YYNNYYYYYYNN,west_of,Acacia littorea,,,,,,
FABACEAE,Acacia luteola Maslin,3,•,,,NNNNYNYYYYNN,NNNNYNYYYYNN,centered_on,Acacia luteola,,,,,,
FABACEAE,Acacia myrtifolia (Sm.) Willd.,"1,3,4,8,9",•,y,,NNNNYNYYYYNN,NNNNYNYYYYNN,centered_on,Acacia myrtifolia,Acacia myrtifolia (Sm.) Willd.,resprout,terrestrial,perennial,woody,
