Site,Season,Species,Plant ,Leaf,Time,PAR,LAVPD,Leaf Temp,A,E,gs
1,Wet,Cochlospermum gillivraei,4,2,11:00,1627,3.367636192,37.01,7.69,7.24,0.59
1,Wet,Cochlospermum gillivraei,4,3,11:00,1914,3.705449448,38,8.35,8.05,0.61
1,Wet,Cochlospermum gillivraei,4,4,11:00,1984,5.360241603,42.17,4.33,5.05,0.13
1,Wet,Cochlospermum gillivraei,4,5,11:00,1789,3.998691588,39.04,3.93,7.56,0.44
1,Wet,Cochlospermum gillivraei,4,1,13:00,1748,5.448976508,42.8,4.92,3.33,0.08
1,Wet,Cochlospermum gillivraei,4,2,13:00,1458,4.801836065,41.38,3.37,3.74,0.1
1,Wet,Cochlospermum gillivraei,4,3,13:00,1246,3.961913205,39.39,7.01,4.99,0.2
1,Wet,Cochlospermum gillivraei,4,4,13:00,1458,5.648117226,43.37,2.2,2.57,0.05
1,Wet,Cochlospermum gillivraei,4,5,13:00,1836,5.269896645,42.42,2.9,5.42,0.15
1,Wet,Cochlospermum gillivraei,4,1,15:00,1140,5.735147464,39.58,3.83,0.83,0.02
1,Wet,Cochlospermum gillivraei,4,2,15:00,1335,6.225675944,40.86,3.44,0.8,0.01
1,Wet,Cochlospermum gillivraei,4,3,15:00,1612,6.819067414,42.35,3.97,1.21,0.02
1,Wet,Cochlospermum gillivraei,4,4,15:00,1426,6.975267519,42.68,1.09,0.52,0
1,Wet,Cochlospermum gillivraei,4,5,15:00,1667,6.734109564,42.11,7.67,2.49,0.04
1,Wet,Cochlospermum gillivraei,4,1,17:00,894,4.342498264,39.83,1.46,1.33,0.03
1,Wet,Cochlospermum gillivraei,4,2,17:00,1163,4.716969899,40.79,2.95,1.65,0.04
1,Wet,Cochlospermum gillivraei,4,3,17:00,1294,4.97025334,41.4,2.82,1.55,0.03
1,Wet,Cochlospermum gillivraei,4,4,17:00,339,3.590996766,37.82,0.55,0.61,0.02
1,Wet,Cochlospermum gillivraei,4,5,17:00,1388,3.873914088,38.68,7,4.37,0.17
1,Wet,Alphitonia excelsa,1,1,5:00,2,0.435774591,24.17,-0.9,0.07,0.02
1,Wet,Alphitonia excelsa,1,2,5:00,2,0.406740185,24.12,-0.33,0.12,0.03
1,Wet,Alphitonia excelsa,1,3,5:00,2,0.413019194,24.21,-0.14,0.13,0.04
1,Wet,Alphitonia excelsa,1,4,5:00,2,0.406647198,24.23,-0.65,0.16,0.05
1,Wet,Alphitonia excelsa,1,5,5:00,2,0.403914627,24.27,-0.08,0.12,0.03
1,Wet,Alphitonia excelsa,1,1,9:00,1484,3.337935369,35.75,7.79,2.68,0.12
1,Wet,Alphitonia excelsa,1,2,9:00,198,1.948460332,30.89,3.74,1.8,0.15
1,Wet,Alphitonia excelsa,1,3,9:00,391,1.875295268,30.72,6.83,3.01,0.45
1,Wet,Alphitonia excelsa,1,4,9:00,657,2.347920536,32.58,5.48,2.37,0.17
1,Wet,Alphitonia excelsa,1,5,9:00,1346,3.093067518,35.17,5.82,2.96,0.16
1,Wet,Alphitonia excelsa,1,1,11:00,1575,3.800776018,36.99,10.03,5.21,0.31
1,Wet,Alphitonia excelsa,1,2,11:00,688,2.841434584,34.02,6.03,4.49,0.43
1,Wet,Alphitonia excelsa,1,3,11:00,1505,4.453513729,38.92,6.31,3.96,0.14
1,Wet,Alphitonia excelsa,1,4,11:00,1604,3.953553458,37.63,8.9,5.74,0.36
1,Wet,Alphitonia excelsa,1,5,11:00,1627,4.314270284,38.6,6.1,5.11,0.23
1,Wet,Alphitonia excelsa,1,1,13:00,1413,3.948330763,37.7,7.43,5.22,0.29
1,Wet,Alphitonia excelsa,1,2,13:00,1748,4.332258751,38.89,5.53,6.09,0.32
1,Wet,Alphitonia excelsa,1,3,13:00,1215,3.795728085,37.38,6.92,5.16,0.3
1,Wet,Alphitonia excelsa,1,4,13:00,1202,3.751771995,37.34,5.61,4.94,0.28
1,Wet,Alphitonia excelsa,1,5,13:00,255,2.167269399,32.36,6.69,5.6,
1,Wet,Alphitonia excelsa,1,1,15:00,1001,3.481552407,36.22,4.38,2.65,0.11
