Species,Soil type,Mean specific leaf area (cm2 g-1),Mean percent leaf nitrogen,Mean percent leaf phosphorus,Mean area-based light saturated photosynthetic rate (umol m-2s-1),Mean area-based leaf dark respriation rate (umol m-2s-1),Minimum light requirement (PPFD5),Light compensation point for growth,Responsiveness of growth to light (RGR mol-1m-2 PPFD),Relative growth rate at 2 mol m-2 PPFD,Relative growth rate at 4 mol m-2 PPFD,Relative growth rate at 8 mol m-2 PPFD,Relative growth rate at 12 mol m-2 PPFD,Photosynthetic Photon Flux Density (PPFD),Relative Growth Rate (RGR)
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,2.328,0.142
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,0.929,0.168
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,1.539,0.024
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,1.459,6.00E-03
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,1.448,0.189
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,1.108,0.038
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,1.108,0.105
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,0.663,0
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,1.021,0.032
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,1.871,0.087
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,0.968,0.016
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,0.871,0.355
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,0.744,0.05
Toona australis,Basalt,,,,,,,,,,,,,5.735,0.542
Toona australis,Basalt,,,,,,,,,,,,,7.9463,0.546
Toona australis,Basalt,,,,,,,,,,,,,8.5138,0.474
Toona australis,Basalt,,,,,,,,,,,,,9.2338,0.78
Toona australis,Basalt,,,,,,,,,,,,,6.2338,0.454
Toona australis,Basalt,,,,,,,,,,,,,12.1625,0.664
Toona australis,Basalt,,,,,,,,,,,,,4.4988,0.15
Toona australis,Basalt,,,,,,,,,,,,,4.785,0.219
Toona australis,Basalt,,,,,,,,,,,,,7.3038,0.546
Toona australis,Basalt,,,,,,,,,,,,,5.7938,0.053
Toona australis,Basalt,,,,,,,,,,,,,9.5338,0.34
Toona australis,Basalt,,,,,,,,,,,,,7.6,0.152
Toona australis,Basalt,,,,,,,,,,,,,5.875,0.502
Toona australis,Basalt,,,,,,,,,,,,,4.795,8.00E-03
Toona australis,Basalt,,,,,,,,,,,,,6.3725,0.342
Toona australis,Basalt,,,,,,,,,,,,,6.1913,0.898
Toona australis,Basalt,,,,,,,,,,,,,7.0025,0.155
Toona australis,Basalt,,,,,,,,,,,,,4.8225,0.022
Toona australis,Basalt,,,,,,,,,,,,,5.1263,0.63
Toona australis,Basalt,,,,,,,,,,,,,5.8738,0.135
Toona australis,Basalt,,,,,,,,,,,,,5.3613,0.302
Toona australis,Basalt,,,,,,,,,,,,,4.3825,0.487
Toona australis,Basalt,,,,,,,,,,,,,5.8013,0.275
Toona australis,Basalt,,,,,,,,,,,,,5.7325,0.368
Toona australis,Basalt,,,,,,,,,,,,,4.39,0.084
Toona australis,Basalt,,,,,,,,,,,,,5.8465,0.792
Toona australis,Basalt,,,,,,,,,,,,,8.5475,0.855
Toona australis,Basalt,,,,,,,,,,,,,8.1375,0.262
Toona australis,Basalt,,,,,,,,,,,,,4.6963,0.233
Toona australis,Basalt,,,,,,,,,,,,,5.1525,0.568
Toona australis,Basalt,,,,,,,,,,,,,5.16,0.702
Toona australis,Basalt,,,,,,,,,,,,,5.0388,0.2
Toona australis,Basalt,,,,,,,,,,,,,8.0563,0.742
Toona australis,Basalt,,,,,,,,,,,,,5.1713,0.232
Toona australis,Basalt,,,,,,,,,,,,,5.465,0.442
Toona australis,Basalt,,,,,,,,,,,,,9.3963,0.856
Austrobuxus swainii,Rhyolite,,,,,,,,,,,,,2.7738,0.275
Austrobuxus swainii,Rhyolite,,,,,,,,,,,,,1.9475,0.076
Austrobuxus swainii,Rhyolite,,,,,,,,,,,,,4.945,0.499
Austrobuxus swainii,Rhyolite,,,,,,,,,,,,,4,0.251
Austrobuxus swainii,Rhyolite,,,,,,,,,,,,,2.5563,0.322
Austrobuxus swainii,Rhyolite,,,,,,,,,,,,,2.805,0.068
Austrobuxus swainii,Rhyolite,,,,,,,,,,,,,3.1738,0.303
Austrobuxus swainii,Rhyolite,,,,,,,,,,,,,3.075,0.093
Austrobuxus swainii,Rhyolite,,,,,,,,,,,,,2.9688,0.24
Austrobuxus swainii,Rhyolite,,,,,,,,,,,,,3.2125,0.195
Austrobuxus swainii,Rhyolite,,,,,,,,,,,,,3.9513,0.379
Austrobuxus swainii,Rhyolite,,,,,,,,,,,,,2.3813,0.15
Austrobuxus swainii,Rhyolite,,,,,,,,,,,,,4.84,0.289
Austrobuxus swainii,Rhyolite,,,,,,,,,,,,,5.995,0.289
Austrobuxus swainii,Rhyolite,,,,,,,,,,,,,2.3488,0.268
Austrobuxus swainii,Rhyolite,,,,,,,,,,,,,3.4875,0.208
Austrobuxus swainii,Rhyolite,,,,,,,,,,,,,6.4388,0.369
Austrobuxus swainii,Rhyolite,,,,,,,,,,,,,8.8175,0.563
Austrobuxus swainii,Rhyolite,,,,,,,,,,,,,4.8938,0.373
Austrobuxus swainii,Rhyolite,,,,,,,,,,,,,2.2713,0.056
Austrobuxus swainii,Rhyolite,,,,,,,,,,,,,5.3588,0.398
Austrobuxus swainii,Rhyolite,,,,,,,,,,,,,2.5725,0.113
Austrobuxus swainii,Rhyolite,,,,,,,,,,,,,2.6388,0.296
Austrobuxus swainii,Rhyolite,,,,,,,,,,,,,3.0825,0.267
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,2.35,0.623
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,2.38,0.044
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,2.78,0.534
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,3.81,0.103
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,4.2,0.239
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,4.3,0.177
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,4.62,0.025
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,4.73,0.423
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,4.81,0.22
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,4.9,0.011
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,4.97,1.032
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,4.97,0.823
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,5.04,0.283
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,5.06,0.824
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,5.21,1.783
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,5.83,1.982
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,6.04,0.914
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,6.78,0.793
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,7.32,1.147
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,7.39,1.828
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,9.65,0.164
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,9.7,1.181
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,10.74,1.634
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,10.91,1.63
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,11.87,1.195
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,12.12,2.315
Callicoma serratifolia,Rhyolite,,,,,,,,,,,,,24.21,1.381
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,3.1635,0.017
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,2.3792,0.211
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,3.6374,0.264
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,5.656,1.098
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,2.6615,0.046
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,2.2157,0.218
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,2.3024,0.191
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,2.6769,0.238
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,4.0163,0.291
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,2.8286,0.051
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,3.8926,0.258
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,2.0776,0.027
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,3.3109,0.224
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,3.7427,0.154
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,2.3379,0.118
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,1.4116,0.052
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,3.0402,0.262
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,3.2996,0.375
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,3.409,0.105
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,2.4409,9.00E-03
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,3.2773,0.1
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,4.614,0.72
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,2.8677,0.071
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,4.9649,0.113
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,3.3817,0.075
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,3.3064,0
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,1.61,0.015
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,1.645,0.075
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,2.16,0.305
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,7.5,0.658
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,8.245,0.525
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,9.58,0.224
Cryptocarya rigida,Rhyolite,,,,,,,,,,,,,12.31,0.248
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,4.7606,0.62
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,5.0199,0.394
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,3.99,0.133
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,9.8052,0.548
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,4.8625,0.46
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,5.9527,0.52
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,5.0105,0.121
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,2.2635,0.067
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,5.8178,1.362
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,4.2467,0.594
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,3.164,0.027
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,2.6407,0.241
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,2.835,0.05
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,1.291,0.201
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,3.0424,0.297
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,4.0171,0.024
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,3.0685,0.177
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,2.5373,0.087
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,3.8172,0.85
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,2.8245,0.25
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,5.695,1.018
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,1.73,0.049
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,2.08,0.392
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,4.28,0.141
Elaeocarpus reticulatus,Rhyolite,,,,,,,,,,,,,11.505,0.804
Elaeocarpus sedentarius,Rhyolite,,,,,,,,,,,,,0.7882,0.064
Elaeocarpus sedentarius,Rhyolite,,,,,,,,,,,,,1.0077,0.116
Elaeocarpus sedentarius,Rhyolite,,,,,,,,,,,,,2.0395,0.137
Elaeocarpus sedentarius,Rhyolite,,,,,,,,,,,,,2.104,0.323
Elaeocarpus sedentarius,Rhyolite,,,,,,,,,,,,,2.3783,0.231
Elaeocarpus sedentarius,Rhyolite,,,,,,,,,,,,,2.9427,0.037
Elaeocarpus sedentarius,Rhyolite,,,,,,,,,,,,,2.9839,0.235
Elaeocarpus sedentarius,Rhyolite,,,,,,,,,,,,,3.3162,0.27
Elaeocarpus sedentarius,Rhyolite,,,,,,,,,,,,,3.3349,0.623
Elaeocarpus sedentarius,Rhyolite,,,,,,,,,,,,,3.5106,0.52
Elaeocarpus sedentarius,Rhyolite,,,,,,,,,,,,,3.8523,0.262
Elaeocarpus sedentarius,Rhyolite,,,,,,,,,,,,,4.0011,0.674
Elaeocarpus sedentarius,Rhyolite,,,,,,,,,,,,,4.4631,0.79
Elaeocarpus sedentarius,Rhyolite,,,,,,,,,,,,,4.559,0.373
Elaeocarpus sedentarius,Rhyolite,,,,,,,,,,,,,4.9487,0.941
Elaeocarpus sedentarius,Rhyolite,,,,,,,,,,,,,5.9618,1.144
Elaeocarpus sedentarius,Rhyolite,,,,,,,,,,,,,5.988,0.467
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,1.6295,0.074
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,6.1205,0.695
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,1.117,0.1
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,2.5471,0.248
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,2.3078,0.222
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,1.2529,0.03
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,2.5603,0.029
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,3.266,0.312
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,1.7944,0.021
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,2.001,0.367
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,2.0085,0.143
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,2.386,0.105
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,3.807,0.089
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,1.1277,0.041
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,0.8743,0.017
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,1.5016,8.00E-03
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,1.6953,0.068
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,1.6059,0.031
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,3.0663,0.079
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,1.5002,0.118
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,1.1392,0.101
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,1.1491,0.086
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,2.2706,0.107
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,0.8956,0.17
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,1.8292,0.076
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,3.2104,0.285
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,1.7546,-6.00E-03
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,1.6464,0.326
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,1.49,0.261
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,2.7967,0.304
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,1.89,0.048
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,2.7712,0.126
Sarcopteryx stipata,Rhyolite,,,,,,,,,,,,,7.29,1.65
Schizomeria ovata,Rhyolite,,,,,,,,,,,,,2.6625,8.00E-03
Schizomeria ovata,Rhyolite,,,,,,,,,,,,,2.6096,0.14
Schizomeria ovata,Rhyolite,,,,,,,,,,,,,4.7205,0.315
Schizomeria ovata,Rhyolite,,,,,,,,,,,,,7.1434,0.298
Schizomeria ovata,Rhyolite,,,,,,,,,,,,,3.7335,0.078
Schizomeria ovata,Rhyolite,,,,,,,,,,,,,3.0956,0.052
Schizomeria ovata,Rhyolite,,,,,,,,,,,,,2.1132,-5.00E-03
Schizomeria ovata,Rhyolite,,,,,,,,,,,,,1.9319,-6.00E-03
Schizomeria ovata,Rhyolite,,,,,,,,,,,,,2.5858,0.024
Schizomeria ovata,Rhyolite,,,,,,,,,,,,,1.5949,0.103
Schizomeria ovata,Rhyolite,,,,,,,,,,,,,3.0056,3.00E-03
Schizomeria ovata,Rhyolite,,,,,,,,,,,,,3.1344,0.17
Schizomeria ovata,Rhyolite,,,,,,,,,,,,,3.6483,0.333
Schizomeria ovata,Rhyolite,,,,,,,,,,,,,3.0029,0.332
Schizomeria ovata,Rhyolite,,,,,,,,,,,,,2.021,0.046
Schizomeria ovata,Rhyolite,,,,,,,,,,,,,4.1209,0.467
Schizomeria ovata,Rhyolite,,,,,,,,,,,,,1.5953,0.1
Schizomeria ovata,Rhyolite,,,,,,,,,,,,,2.5565,0.118
Schizomeria ovata,Rhyolite,,,,,,,,,,,,,1.5934,0.36
Schizomeria ovata,Rhyolite,,,,,,,,,,,,,3.9805,0.529
Schizomeria ovata,Rhyolite,,,,,,,,,,,,,2.6702,0.382
Schizomeria ovata,Rhyolite,,,,,,,,,,,,,4.8959,0.72
Schizomeria ovata,Rhyolite,,,,,,,,,,,,,2.1088,3.00E-03
Schizomeria ovata,Rhyolite,,,,,,,,,,,,,1.9512,0.096
