Species,Replicate,Root Biomass (g) 0-10cm depth,Green shoot biomass (g),Non-green shoot biomass (g),Total shoot biomass (g),Root:Shoot ratio
Triptilodiscus pygmaeus,5,0.0068,0.0265,0.0673,0.0938,0.07249467
Vulpia bromoides,1,0.0071,0.0264,0.0168,0.0432,0.164351852
Vulpia bromoides,2,0.0107,0.0451,0.0253,0.0704,0.151988636
Vulpia bromoides,3,0.0116,0.0593,0.0492,0.1085,0.106912442
Vulpia bromoides,4,0.0047,0.0034,0.0596,0.063,0.074603175
Vulpia bromoides,5,0.0166,0.0176,0.1191,0.1367,0.121433797
Wahlenbergia communis,1,0.47,1.77,0.074,1.844,0.254880694
Wahlenbergia communis,2,0.1,0.252,0.04,0.292,0.342465753
Wahlenbergia communis,3,0.134,0.392,0,0.392,0.341836735
Wurmbia dioica,1,0.132,0.017,0.026,0.043,3.069767442
Wurmbia dioica,2,0.169,0.0228,0.037,0.0598,2.826086957
Wurmbia dioica,3,0.119,0.032,0.038,0.07,1.7
