Species_reconciled with updates and additions,growth form,seed size categorical: <10mm,seed size categorical: >10mm,leaf type,leaves lobed,leaf longevity,wood density species,wood density genus,wood density family,Height (m),leaf length minimum (mm),leaf length maximum (mm),leaf width minimum (mm),leaf width maximum (mm),seed length minimum (mm),seed length maximum (mm),seed width minimum (mm),seed width maximum (mm),seed breadth (mm),plant_height_duplicate,wood_density_duplicate,seed_width_min_duplicate,seed_width_max_duplicate,seed_length_min_duplicate,seed_length_max_duplicate,leaf_width_min_duplicate,leaf_width_max_duplicate,leaf_length_min_duplicate,leaf_length_max_duplicate
Pouteria queenslandica,tree,1,1,simple,no,evergreen,NA,651,597,40,40,120,20,50,9,15,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sersalisia sericea,tree,0,1,simple,no,evergreen,NA,650,597,7,20,140,10,70,12,18,7,8,4,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of NTH_2014_253,Duplicate of Brock_1993_274
Pouteria xerocarpa,tree,0,1,simple,no,evergreen,539,650,597,15,55,160,20,55,12,16,4,6,5,Duplicate of Metcalfe_2009_217,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myoporum acuminatum,tree,1,0,simple,no,evergreen,NA,NA,NA,9,60,180,12,30,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myoporum betcheanum,tree,1,0,simple,no,evergreen,NA,NA,NA,8,50,150,6,19,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myoporum insulare,tree,1,0,simple,no,evergreen,NA,NA,NA,11,30,90,7,22,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myoporum montanum,shrub,1,0,simple,no,evergreen,NA,NA,NA,8,30,140,2,38,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quassia baileyana,tree,0,1,simple,no,evergreen,NA,NA,359,10,90,300,30,90,22,24,14,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3631,NA
Quassia Barong,tree,1,0,simple,no,evergreen,NA,NA,359,10,150,400,50,100,18,20,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quassia bidwillii,shrub,1,0,simple,no,evergreen,NA,NA,NA,2,45,185,10,24,5,6,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quassia Mt-Goonanaman,shrub,1,0,simple,no,evergreen,NA,NA,NA,1,50,150,15,55,5,6,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quassia MtNardi,shrub,1,1,simple,no,evergreen,NA,NA,NA,5,70,160,15,30,12,16,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quassia Tozer-Range,shrub,1,1,simple,no,evergreen,NA,NA,359,4,50,150,20,40,11,13,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duboisia leichhardtii,tree,1,0,simple,no,evergreen,NA,NA,NA,12,30,85,8,28,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duboisia myoporoides,tree,1,0,simple,no,evergreen,375,375,375,24,40,150,8,30,3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum acanthodapis,shrub,1,1,simple,no,evergreen,NA,NA,NA,0.5,55,95,20,40,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum aviculare,shrub,1,0,simple,yes,evergreen,NA,375,375,4,80,300,15,230,1,1,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum Bamaga,shrub,1,0,simple,yes,evergreen,NA,NA,NA,1,35,105,8,50,0.5,1,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum celatum,shrub,1,1,simple,no,evergreen,NA,NA,NA,2.5,46,125,18,45,0.5,1,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum cookii,shrub,1,0,simple,yes,evergreen,NA,375,375,1,40,160,24,120,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum corifolium,shrub,1,0,simple,no,evergreen,NA,NA,NA,1.5,20,100,8,50,0.5,1,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum curvicuspe,shrub,1,1,simple,no,evergreen,NA,NA,NA,3,70,135,30,45,0.5,1,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum magnifolium,shrub,1,0,simple,yes,evergreen,NA,375,375,5,65,110,35,90,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum defensum,shrub,1,1,simple,no,evergreen,NA,NA,NA,2.5,40,150,22,55,3,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum dimorphispinum,shrub,1,0,simple,yes,evergreen,NA,375,375,6,27,170,15,110,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum discolor,shrub,1,0,simple,yes,evergreen,NA,375,375,2,50,100,14,45,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum dunalianum,shrub,1,0,simple,no,evergreen,NA,NA,NA,4,70,300,30,125,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum erianthum,shrub,1,0,simple,no,evergreen,NA,375,375,8,80,240,40,150,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum furfuraceum,shrub,1,1,simple,no,evergreen,NA,NA,NA,2.5,30,70,12,25,0.5,1,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum hamulosum,shrub,1,0,simple,yes,evergreen,NA,375,375,4,70,150,35,90,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum inaequilaterum,shrub,1,0,simple,no,evergreen,NA,NA,NA,2.5,100,200,28,45,0.5,1,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum intonsum,shrub,1,0,simple,no,evergreen,NA,NA,NA,2,50,130,15,45,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum macoorai,shrub,1,0,simple,yes,evergreen,NA,375,375,4,85,220,40,100,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum mentiens,shrub,1,0,simple,no,evergreen,NA,NA,NA,0.5,50,75,22,36,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum nobile,shrub,1,1,simple,yes,evergreen,NA,NA,NA,4,70,140,37,55,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum parvifolium,shrub,1,0,simple,yes,evergreen,NA,375,375,1,15,110,5,25,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum semiarmatum,shrub,1,0,simple,yes,evergreen,NA,NA,NA,3,50,150,24,65,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum serpens,shrub,1,0,simple,no,evergreen,NA,NA,NA,0.5,55,100,21,35,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum shanesii,shrub,1,0,simple,no,evergreen,NA,375,375,6,30,160,12,80,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum silvestre,shrub,1,0,simple,yes,evergreen,NA,NA,NA,1.8,65,140,20,45,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum spirale,shrub,1,0,simple,no,evergreen,NA,NA,NA,5,70,180,12,26,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum stelligerum,shrub,1,0,simple,no,evergreen,NA,375,375,2,30,100,10,32,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum stupefacatum,shrub,1,1,simple,no,evergreen,NA,NA,NA,2,50,100,22,45,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum tetrandrum,shrub,1,0,simple,yes,evergreen,NA,375,375,3,55,120,25,70,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum viridifolium,tree,1,0,simple,no,evergreen,NA,375,375,7,30,190,20,70,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cadellia pentastylis,tree,1,0,simple,no,evergreen,NA,NA,NA,25,10,40,5,20,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guilfoylia monostylis,tree,0,1,simple,no,evergreen,NA,NA,NA,20,35,150,15,55,12,15,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suriana maritima,shrub,1,0,simple,no,evergreen,NA,NA,NA,4,20,30,3,4,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Symplocos ampulliformis,tree,1,1,simple,no,evergreen,NA,490,490,15,40,130,15,50,6,8,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Symplocos baeuerlenii,tree,1,0,simple,no,evergreen,468.7,NA,NA,7,25,70,7,20,5,6,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Symplocos Big-Tableland,shrub,1,1,simple,no,evergreen,NA,490,490,4,80,140,25,60,4,7,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Symplocos Boonjee,shrub,0,1,simple,no,evergreen,NA,490,490,3,50,140,16,34,10,18,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Symplocos cochinchinensis-thwaitesii-gittonsii,tree,1,0,simple,no,evergreen,510,490,490,30,70,200,40,90,5,8,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Symplocos cochinchinensis-thwaitesii-glaberrima,tree,1,1,simple,no,evergreen,510,490,490,20,35,150,15,55,6,7,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Symplocos cochinchinensis-thwaitesii-pilosiuscula,tree,1,0,simple,no,evergreen,510,490,490,25,60,170,23,68,6,8,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Symplocos crassiramifera,shrub,1,0,simple,no,evergreen,NA,490,490,8,200,450,40,85,5,8,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Symplocos graniticola,shrub,1,1,simple,no,evergreen,NA,490,490,3,90,240,20,75,9,14,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Symplocos harroldii,tree,1,0,simple,no,evergreen,NA,NA,NA,10,30,100,9,20,5,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Symplocos hayesii,shrub,1,1,simple,no,evergreen,NA,490,490,3,45,120,20,55,12,15,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Symplocos hylandii,tree,1,0,simple,no,evergreen,NA,490,490,6,65,150,15,45,7,8,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Symplocos MtFinnigan,tree,1,0,simple,no,evergreen,NA,490,490,6,60,90,18,33,5,9,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Symplocos North-Mary,tree,1,0,simple,no,evergreen,NA,490,490,15,60,135,20,43,6,8,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Symplocos paucistaminea,tree,1,0,simple,no,evergreen,NA,490,490,18,70,280,30,100,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Symplocos stawellii-montana,tree,1,1,simple,no,evergreen,450,490,490,8,30,90,11,35,5,14,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Symplocos stawellii-stawellii,tree,1,0,simple,no,evergreen,450,490,490,25,60,150,25,68,3,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Symplocos thwaitesii,tree,1,0,simple,no,evergreen,NA,NA,NA,8,30,90,11,35,5,13,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetracarpaea tasmanica,shrub,1,0,simple,no,evergreen,NA,NA,NA,1,25,30,8,10,0.5,0.5,0.5,0.5,NA,Duplicate of TMAG_2009_105,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ternstroemia cherryi,tree,0,1,simple,no,evergreen,NA,550,550,20,60,160,30,65,15,20,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lethedon setosa,tree,1,1,simple,no,evergreen,NA,NA,NA,15,55,220,20,90,5,15,3,4,NA,Duplicate of Barlow_1981_2925,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_2925,Duplicate of Barlow_1981_2925,Duplicate of Barlow_1981_2925,Duplicate of Barlow_1981_2925
Phaleria chermsideana,tree,1,1,simple,no,evergreen,NA,NA,NA,10,20,100,10,50,7,8,4,5,NA,Duplicate of Barlow_1981_3426,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3426,NA,Duplicate of Barlow_1981_3426,Duplicate of Barlow_1981_3426
Phaleria clerodendron,tree,0,1,simple,no,evergreen,NA,NA,NA,10,90,210,30,80,18,20,9,11,NA,Duplicate of Barlow_1981_3427,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3427,Duplicate of Barlow_1981_3427
Phaleria octandra,shrub,1,1,simple,no,evergreen,NA,NA,NA,3,75,230,20,100,6,7,4,5,NA,Duplicate of Barlow_1981_3428,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3428,Duplicate of Barlow_1981_3428,Duplicate of Barlow_1981_3428,Duplicate of Barlow_1981_3428
Wikstroemia indica,shrub,1,0,simple,no,evergreen,NA,NA,NA,4,9,60,5,22,4,6,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pimelea aquilonia,shrub,1,0,simple,no,evergreen,NA,NA,NA,4,8,35,2,7,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3446,Duplicate of Barlow_1981_3446,Duplicate of Barlow_1981_3446,Duplicate of Barlow_1981_3446
Pimelea ligustrina,shrub,1,0,simple,no,evergreen,NA,NA,NA,2.5,30,70,8,14,2,3,2,3,NA,NA,NA,NA,Duplicate of Jordan_2001_1264,NA,NA,NA,NA,NA,NA
Pimelea linifolia,shrub,1,0,simple,no,evergreen,NA,NA,NA,1.5,4,30,1,9,2,2,2,2,NA,Duplicate of Barlow_1981_3520,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boehmeria macrophylla,shrub,1,0,simple,no,evergreen,NA,NA,NA,2,60,140,20,80,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrocnide corallodesme,tree,1,0,simple,no,evergreen,210,210,210,8,110,310,20,70,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1120,NA,NA
Dendrocnide cordata,shrub,1,0,simple,no,evergreen,NA,NA,NA,2,105,180,70,140,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1121
Dendrocnide cordifolia,shrub,1,0,simple,no,evergreen,NA,210,210,4,120,280,120,320,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrocnide excelsa,tree,1,0,simple,no,evergreen,206.4,NA,NA,45,100,250,70,200,0.5,1,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrocnide moroides,shrub,1,0,simple,no,evergreen,NA,210,210,4,100,300,80,280,0.5,0.5,0.5,0.5,NA,Duplicate of Metcalfe_2009_089,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrocnide photinophylla,tree,1,0,simple,no,evergreen,210,210,210,30,60,145,30,80,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hymenanthera dentata,shrub,1,0,simple,no,evergreen,NA,NA,NA,2,15,60,4,10,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,Duplicate of TMAG_2009_190,NA,NA,NA
Rinorea bengalensis,tree,1,0,simple,no,evergreen,NA,NA,NA,11,50,320,20,130,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bubbia queenslandiana-australis,tree,1,0,simple,no,evergreen,NA,440,440,7,65,160,17,50,5,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bubbia queenslandiana-queenslandiana,tree,1,0,simple,no,evergreen,NA,440,440,6,90,140,25,50,3,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bubbia semecarpoides,tree,1,0,simple,no,evergreen,440,440,440,12,90,350,30,105,4,5,2,3,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0514,NA,NA,NA,NA
Bubbia whiteana,shrub,1,0,simple,no,evergreen,NA,440,440,3,40,80,13,30,4,5,2,3,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0515,NA,NA,Duplicate of Barlow_1981_0515,NA
Tasmannia glaucifolia,shrub,1,0,simple,no,evergreen,NA,NA,NA,3,40,60,4,15,2,3,1,2,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4033,Duplicate of Barlow_1981_4033,Duplicate of Barlow_1981_4033,Duplicate of Barlow_1981_4033,NA,NA
Tasmannia insipida,shrub,1,0,simple,no,evergreen,NA,NA,440,5,60,210,10,50,3,4,1,2,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4034,Duplicate of Barlow_1981_4034,NA,NA,NA,NA
Tasmannia lanceolata,shrub,1,0,simple,no,evergreen,NA,NA,NA,10,50,80,7,20,2,2,1,2,NA,NA,NA,NA,Duplicate of Barlow_1981_4035,NA,NA,NA,NA,NA,NA
Tasmannia membranea,tree,1,0,simple,no,evergreen,NA,NA,440,10,35,220,12,50,2,3,1,2,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4036,NA,NA,NA,NA
Tasmannia MtBellenden-Ker,tree,1,0,simple,no,evergreen,NA,NA,440,7,55,160,15,50,3,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tasmannia purpurascens,tree,1,0,simple,no,evergreen,NA,NA,NA,3,80,180,30,50,3,4,2,2,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4037,NA,Duplicate of Barlow_1981_4037,NA
Tasmannia stipitata,tree,1,0,simple,no,evergreen,NA,NA,NA,2.5,80,130,10,20,3,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4038,NA,Duplicate of Barlow_1981_4038
Tasmannia xerophila-robusta,tree,1,0,simple,no,evergreen,NA,NA,NA,4,70,140,10,20,2,3,2,2,NA,Duplicate of Barlow_1981_4041,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4041,Duplicate of Barlow_1981_4041,Duplicate of Barlow_1981_4041
Akania bidwillii,tree,0,1,compound,no,evergreen,571.9,NA,NA,25,100,280,20,45,10,12,6,10,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0066,Duplicate of Barlow_1981_0066,NA,NA,Duplicate of Barlow_1981_0066,NA
Blepharocarya involucrigera,tree,0,1,compound,no,evergreen,453,453,508,40,50,170,15,45,3,3,2,3,NA,Duplicate of Barlow_1981_0489,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0489,Duplicate of Barlow_1981_0489,Duplicate of Barlow_1981_0489,NA
Euroschinus falcatus,tree,1,0,compound,no,evergreen,412,412,508,30,35,120,8,80,4,5,1.5,2,NA,Duplicate of Barlow_1981_1537,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1537,NA
Pleiogynium timorense,tree,1,1,compound,no,evergreen,703,703,508,20,40,100,20,60,5,7,5,6,NA,Duplicate of Barlow_1981_3594,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3594,Duplicate of Barlow_1981_3594,Duplicate of Barlow_1981_3594,Duplicate of Barlow_1981_3594
Rhodosphaera rhodanthema,tree,1,0,compound,no,evergreen,NA,NA,NA,27,30,100,10,25,7,9,4,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhus taitensis,tree,1,0,compound,no,evergreen,NA,NA,508,30,40,150,15,50,2,3,2,3,NA,Duplicate of Barlow_1981_3694,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3694,Duplicate of Barlow_1981_3694,Duplicate of Barlow_1981_3694,Duplicate of Barlow_1981_3694
Delarbrea michieana,tree,0,1,compound,no,evergreen,NA,380,390,8,60,260,20,120,10,12,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gastonia spectabilis,tree,1,0,compound,no,evergreen,NA,NA,390,30,100,230,40,105,8,9,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mackinlaya confusa,shrub,1,1,compound,no,evergreen,NA,NA,390,6,100,210,50,140,6,8,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mackinlaya macrosciadea,shrub,1,0,compound,yes,evergreen,NA,NA,390,5,60,180,35,60,7,9,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyscias australiana,tree,1,0,compound,no,evergreen,470,380,390,15,70,240,40,110,5,7,2,3,NA,Duplicate of Metcalfe_2009_211,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyscias bellendenkerensis,tree,1,0,compound,no,evergreen,NA,380,390,5,30,90,15,30,6,7,3,3.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyscias macgillivrayi,shrub,1,0,compound,no,evergreen,NA,380,390,5,160,280,80,110,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyscias mollis,tree,1,0,compound,no,evergreen,NA,380,390,8,100,275,50,120,4,5,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyscias murrayi,tree,1,0,compound,no,evergreen,270,380,390,30,50,160,20,45,4,4,2,2,1,NA,Duplicate of Ilic_2000_1564,NA,NA,NA,NA,NA,NA,NA,NA
Polyscias nodosa,tree,1,0,compound,no,evergreen,NA,380,390,20,120,300,55,95,2,3,1,2,1,Duplicate of Metcalfe_2009_213,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyscias purpurea,shrub,1,0,compound,no,evergreen,NA,380,390,5,100,230,45,60,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyscias sambucifolia,tree,1,0,compound,no,evergreen,NA,NA,NA,4,40,90,20,60,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polyscias willmottii,tree,1,0,compound,no,evergreen,NA,380,390,8,40,85,15,30,5,8,2,2.2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cochlospermum gillivraei,tree,1,1,simple,yes,deciduous,NA,NA,NA,10,50,150,70,180,5,5,3,5,3,NA,NA,Duplicate of NTH_2014_041,NA,NA,NA,NA,NA,NA,Duplicate of NTH_2014_041
Canarium acutifolium,tree,1,1,compound,no,evergreen,NA,610,585,20,180,360,100,125,9,12,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canarium australasicum,tree,1,0,simple,no,evergreen,610,610,585,40,30,130,15,80,6,8,4,5,NA,Duplicate of Barlow_1981_0585,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canarium vitiense,tree,1,1,compound,no,evergreen,NA,610,585,40,30,160,15,50,14,28,8,10,NA,Duplicate of Metcalfe_2009_041,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garuga floribunda,tree,1,0,compound,no,deciduous,560,560,585,35,30,75,15,30,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleome viscosa,shrub,1,0,compound,no,evergreen,NA,NA,700,1.5,6,60,4,30,1,2,1,2,NA,Duplicate of WAH_1998_1239,NA,Duplicate of NTH_2014_064,NA,NA,NA,NA,Duplicate of Brock_1993_071,Duplicate of Brock_1993_071,Duplicate of Brock_1993_071
Crateva religiosa,tree,0,1,compound,no,evergreen,NA,NA,700,30,55,180,25,70,5,17,5,17,5,Duplicate of NTH_2014_065,NA,NA,NA,NA,NA,Duplicate of Brock_1993_081,Duplicate of Brock_1993_081,Duplicate of Brock_1993_081,Duplicate of Brock_1993_081
Sambucus australasica,shrub,1,0,compound,no,evergreen,NA,NA,NA,4,20,120,4,45,3,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sambucus gaudichaudiana,shrub,1,0,compound,no,evergreen,NA,NA,NA,2,30,150,15,45,2,3,1,2,NA,NA,NA,NA,NA,NA,Duplicate of Jordan_2001_0293,NA,NA,NA,NA
Ackama paniculata,tree,1,0,compound,no,evergreen,516,NA,NA,45,50,150,10,60,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caldcluvia australiensis,tree,1,0,compound,no,evergreen,470,500,553,30,55,120,20,35,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceratopetalum corymbosum,tree,1,0,compound,no,evergreen,NA,576,563,25,50,100,15,30,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceratopetalum hylandii,tree,1,0,compound,no,evergreen,NA,576,563,20,40,100,20,40,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoweinmannia lachnocarpa,tree,1,0,compound,no,deciduous,727,727,553,35,45,90,25,40,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vesselowskya rubifolia,tree,1,0,compound,no,evergreen,NA,NA,NA,8,30,120,10,30,2,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vesselowskya venusta,tree,1,0,compound,no,evergreen,NA,NA,NA,8,40,170,20,40,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bischofia javanica,tree,1,0,compound,no,evergreen,530,530,566,30,50,140,30,75,4,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia chrysotricha,tree,0,1,compound,no,evergreen,NA,NA,NA,15,6,8,2,4,2,4,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia elata,tree,0,1,compound,no,evergreen,NA,NA,NA,20,30,80,4,10,4,6,4,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia silvestris,tree,1,1,compound,no,evergreen,NA,NA,NA,30,3,10,1,1.5,5,6,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adenanthera pavonina,tree,1,1,compound,no,deciduous,NA,NA,523,30,15,55,7,30,7,10,6,8,NA,Duplicate of Metcalfe_2009_008,NA,NA,Duplicate of NTH_2014_306,NA,Duplicate of NTH_2014_306,NA,NA,Duplicate of Barlow_1981_0014,NA
Albizia procera,tree,1,0,compound,no,evergreen,NA,580,523,20,15,60,8,35,5,10,4,5,3,NA,NA,Duplicate of Barlow_1981_0072,NA,NA,NA,NA,Duplicate of Barlow_1981_0072,Duplicate of Barlow_1981_0072,Duplicate of Barlow_1981_0072
Albizia retusa,tree,1,0,compound,no,evergreen,NA,580,523,40,8,50,4,36,8,9,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albizia Sir-Charles-Hardy,tree,1,0,compound,no,evergreen,NA,580,523,20,9,16,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
