current full name without authority,Endemicity_level,Growth Form,Raunkier_life_form,Height_max (m),Clonality,Photosynthetic pathway,MIN length Leaf (mm),MAX length Leaf (mm),MIN width Leaf (mm),MAX width Leaf (mm),Leaf_type,1_Nutrient_uptake_strategy,1_Dispersal_mode,Fruit_type,Fruit_functional_type,Min_length_fruit(mm),Max_length_fruit(mm),Min_breadth_fruit(mm),Max_breadth_fruit(mm),Width_fruit(mm),Min_length_seed (mm),Seed_mass (g),1_Pollination_syndrome,Sex habit,Shade tolerance,References,regen_strategy,plant_height_unique
Fimbristylis polytrichoides,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis pterygosperma,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis punctata,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis rara,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis recta,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis schoenoides,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis schultzii,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis sericea,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis sieberiana,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis signata,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis simplex,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis sp. (Esmeralda Gorge S.T.Blake 19640),NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis sp. (Iron Range H.Flecker NQNC8728),NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis sp. (Laura N.Byrnes 3315),NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis sp. (Poison Creek S.T.Blake 8561),NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis sphaerocephala,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis squarrulosa,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis subaristata,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis tetragona,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis tristachya,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis velata,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fuirena,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fuirena arenosa,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fuirena ciliaris,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fuirena incrassata,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fuirena nudiflora,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fuirena umbellata,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Gahnia,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gahnia aspera,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Gahnia insignis,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Gahnia sieberiana,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Hypolytrum compactum,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious,NA,Bruhl 1995/,NA,NA
Hypolytrum nemorum,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious,NA,Bruhl 1995/,NA,NA
Isolepis,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isolepis fluitans,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Isolepis humillima,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Isolepis inundata,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Lepidosperma,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepidosperma laterale,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Lepidosperma laterale var. laterale,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Lepidosperma laterale var. angustum,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Lepironia articulata,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious,NA,Bruhl 1995/,NA,NA
Lipocarpha chinensis,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Lipocarpha microcephala,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Mapania macrocephala,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious,NA,Bruhl 1995/,NA,NA
Paramapania parvibractea,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious,NA,Bruhl 1995/,NA,NA
Rhynchospora,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchospora affinis,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchospora brownii,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchospora corymbosa,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchospora exserta,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchospora gracillima,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchospora heterochaeta,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchospora leae,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchospora longisetis,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchospora pterochaeta,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchospora rubra,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchospora submarginata,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchospora subtenuifolia,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schoenoplectus articulatus,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gynomonoecious,NA,Bruhl 1995/,NA,NA
Schoenoplectus dissachanthus,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gynomonoecious,NA,Bruhl 1995/,NA,NA
Schoenoplectus erectus,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gynomonoecious,NA,Bruhl 1995/,NA,NA
Schoenoplectus laevis,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gynomonoecious,NA,Bruhl 1995/,NA,NA
Schoenoplectus lateriflorus,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gynomonoecious,NA,Bruhl 1995/,NA,NA
Schoenoplectus litoralis,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gynomonoecious,NA,Bruhl 1995/,NA,NA
Schoenoplectus mucronatus,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gynomonoecious,NA,Bruhl 1995/,NA,NA
Schoenoplectus praelongatus,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gynomonoecious,NA,Bruhl 1995/,NA,NA
Schoenoplectus validus,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gynomonoecious,NA,Bruhl 1995/,NA,NA
Schoenus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schoenus apogon,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Schoenus apogon var. apogon,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Schoenus brevifolius,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Schoenus calostachyus,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Schoenus falcatus,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Schoenus kennyi,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Schoenus melanostachys,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Schoenus punctatus,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Schoenus sparteus,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Schoenus subaphyllus,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Schoenus yarrabensis,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Scirpodendron ghaeri,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious,NA,Bruhl 1995/,NA,NA
Scirpus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scleria,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scleria brownii,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious dioecious hermaphrodite,NA,Bruhl 1995/,NA,NA
Scleria caricina,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious dioecious hermaphrodite,NA,Bruhl 1995/,NA,NA
Scleria carphiformis,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious dioecious hermaphrodite,NA,Bruhl 1995/,NA,NA
Scleria ciliaris,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious dioecious hermaphrodite,NA,Bruhl 1995/,NA,NA
Scleria laxa,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious dioecious hermaphrodite,NA,Bruhl 1995/,NA,NA
Scleria levis,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious dioecious hermaphrodite,NA,Bruhl 1995/,NA,NA
Scleria lithosperma var. linearis,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious dioecious hermaphrodite,NA,Bruhl 1995/,NA,NA
Scleria mackaviensis,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious dioecious hermaphrodite,NA,Bruhl 1995/,NA,NA
Scleria novae-hollandiae,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious dioecious hermaphrodite,NA,Bruhl 1995/,NA,NA
Scleria pergracilis,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious dioecious hermaphrodite,NA,Bruhl 1995/,NA,NA
Scleria poiformis,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious dioecious hermaphrodite,NA,Bruhl 1995/,NA,NA
Scleria polycarpa,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious dioecious hermaphrodite,NA,Bruhl 1995/,NA,NA
Scleria psilorrhiza,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious dioecious hermaphrodite,NA,Bruhl 1995/,NA,NA
Scleria pygmaea,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious dioecious hermaphrodite,NA,Bruhl 1995/,NA,NA
Scleria rugosa,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious dioecious hermaphrodite,NA,Bruhl 1995/,NA,NA
Scleria scrobiculata,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious dioecious hermaphrodite,NA,Bruhl 1995/,NA,NA
Scleria sp. (Laura N.Byrnes 3285),NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious dioecious hermaphrodite,NA,Bruhl 1995/,NA,NA
Scleria sphacelata,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious dioecious hermaphrodite,NA,Bruhl 1995/,NA,NA
Scleria sumatrensis,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious dioecious hermaphrodite,NA,Bruhl 1995/,NA,NA
Scleria terrestris,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious dioecious hermaphrodite,NA,Bruhl 1995/,NA,NA
Scleria tricuspidata,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious dioecious hermaphrodite,NA,Bruhl 1995/,NA,NA
Tetraria capillaris,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Thoracostachyum,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thoracostachyum sumatranum,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious,NA,Bruhl 1995/,NA,NA
Trachystylis stradbrokensis,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Tricostularia undulata,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
NA,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bruhl 1995/,NA,NA
