character,unit_in,unit_checked,unit_standard,data_type,conversion,traitname_short,traitname_full,dataset_id
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,80
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,80
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,80
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,80
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",80
plant height maximum,,m,m,N,1,plant_height_max,Plant height maximum,80
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,80
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,81
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,81
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,81
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,81
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,81
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,81
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,81
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",81
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,81
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,81
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),81
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),81
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,81
seed width minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,81
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,82
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,82
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,82
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,82
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,82
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,82
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,82
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",82
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,82
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,82
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),82
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),82
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,82
seed width minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,82
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,83
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,83
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,83
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,83
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,83
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,83
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,83
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",83
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,83
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,83
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),83
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),83
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,83
seed width minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,83
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,84
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,84
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,84
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,84
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,84
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,84
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,84
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",84
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,84
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,84
seed breadth maximum,mm,mm,mm,N,1,seed_breadth_max,Seed breadth maximum,84
seed breadth minimum,mm,mm,mm,N,1,seed_breadth_min,Seed breadth min,84
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),84
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),84
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,84
seed width minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,84
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,85
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,85
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,85
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,85
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,85
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,85
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,85
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",85
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,85
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,85
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),85
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),85
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,85
seed width minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,85
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,86
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,86
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,86
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,86
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,86
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,86
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,86
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",86
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,86
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,86
seed breadth maximum,mm,mm,mm,N,1,seed_breadth_max,Seed breadth maximum,86
seed breadth minimum,mm,mm,mm,N,1,seed_breadth_min,Seed breadth min,86
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),86
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),86
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,86
seed width minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,86
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,87
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,87
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,87
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,87
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,87
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,87
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,87
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",87
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,87
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,87
seed breadth maximum,mm,mm,mm,N,1,seed_breadth_max,Seed breadth maximum,87
seed breadth minimum,mm,mm,mm,N,1,seed_breadth_min,Seed breadth min,87
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),87
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),87
seed width maximum,,mm,mm,N,1,seed_width_max,Seed width maximum,87
seed width minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,87
growth form,mm,,,C,NA,plant_growth_form,Plant Growth Form,88
leaf length extreme maximum,mm,mm,mm,N,1,leaf_length_max_extreme,Leaf length extreme maximum,88
leaf length extreme minimum,mm,mm,mm,N,1,leaf_length_min_extreme,Leaf length extreme minimum,88
leaf length maximum,,mm,mm,N,1,leaf_length_max,Leaf length maximum,88
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,88
leaf type,mm,,,C,NA,leaf_type,"Leaf type (broadleaf, needle, article)",88
leaf width extreme maximum,mm,mm,mm,N,1,leaf_width_max_extreme,Leaf width extreme maximum,88
leaf width extreme minimum,mm,mm,mm,N,1,leaf_width_min_extreme,Leaf width extreme minimum,88
leaf width maximum,,mm,mm,N,1,leaf_width_max,Leaf width maximum,88
leaf width minimum,m,mm,mm,N,1,leaf_width_min,Leaf width minimum,88
longevity,m,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",88
plant height extreme maximum,m,m,m,N,1,plant_height_max_extreme,Plant height maximum extreme,88
plant height extreme minimum,,m,m,N,1,plant_height_min_extreme,Plant height minimum extreme,88
plant height maximum,,m,m,N,1,plant_height_max,Plant height maximum,88
plant height minimum,,m,m,N,1,plant_height_min,Plant height minimum,88
flowering month end,mm,,,C,NA,flowering_month_end,Flowering month end,89
flowering month start,mm,,,C,NA,flowering_month_start,Flowering month start,89
growth form,mm,,,C,NA,plant_growth_form,Plant Growth Form,89
leaf length extreme maximum,mm,mm,mm,N,1,leaf_length_max_extreme,Leaf length extreme maximum,89
leaf length extreme minimum,,mm,mm,N,1,leaf_length_min_extreme,Leaf length extreme minimum,89
leaf length maximum,m,mm,mm,N,1,leaf_length_max,Leaf length maximum,89
leaf length minimum,m,mm,mm,N,1,leaf_length_min,Leaf length minimum,89
leaf width extreme maximum,,mm,mm,N,1,leaf_width_max_extreme,Leaf width extreme maximum,89
leaf width extreme minimum,,mm,mm,N,1,leaf_width_min_extreme,Leaf width extreme minimum,89
leaf width maximum,,mm,mm,N,1,leaf_width_max,Leaf width maximum,89
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,89
longevity,mm,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",89
plant height extreme maximum,mm,m,m,N,1,plant_height_max_extreme,Plant height maximum extreme,89
plant height extreme minimum,mm,m,m,N,1,plant_height_min_extreme,Plant height minimum extreme,89
plant height maximum,,m,m,N,1,plant_height_max,Plant height maximum,89
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,89
flowering month end,mm,,,C,NA,flowering_month_end,Flowering month end,90
flowering month start,mm,,,C,NA,flowering_month_start,Flowering month start,90
growth form,mm,,,C,NA,plant_growth_form,Plant Growth Form,90
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,90
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,90
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,90
leaf width minimum,,mm,mm,N,1,leaf_width_min,Leaf width minimum,90
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",90
plant height maximum,,m,m,N,1,plant_height_max,Plant height maximum,90
plant height minimum,mm,m,m,N,1,plant_height_min,Plant height minimum,90
seed breadth maximum,mm,mm,mm,N,1,seed_breadth_max,Seed breadth maximum,90
seed breadth minimum,mm,mm,mm,N,1,seed_breadth_min,Seed breadth min,90
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),90
seed length minimum,,mm,mm,N,1,seed_length_min,Seed length (min),90
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,90
seed width minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,90
flowering month end,mm,,,C,NA,flowering_month_end,Flowering month end,91
flowering month start,mm,,,C,NA,flowering_month_start,Flowering month start,91
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,91
leaf length extreme maximum,m,mm,mm,N,1,leaf_length_max_extreme,Leaf length extreme maximum,91
leaf length extreme minimum,m,mm,mm,N,1,leaf_length_min_extreme,Leaf length extreme minimum,91
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,91
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,91
leaf shape,mm,,,C,NA,leaf_shape,Leaf shape,91
leaf width extreme maximum,mm,mm,mm,N,1,leaf_width_max_extreme,Leaf width extreme maximum,91
leaf width extreme minimum,mm,mm,mm,N,1,leaf_width_min_extreme,Leaf width extreme minimum,91
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,91
leaf width minimum,,mm,mm,N,1,leaf_width_min,Leaf width minimum,91
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",91
plant height maximum,,m,m,N,1,plant_height_max,Plant height maximum,91
plant height minimum,cm,m,m,N,1,plant_height_min,Plant height minimum,91
seed breadth maximum,mm,mm,mm,N,1,seed_breadth_max,Seed breadth maximum,91
seed breadth minimum,,mm,mm,N,1,seed_breadth_min,Seed breadth min,91
seed length maximum,cm,mm,mm,N,1,seed_length_max,Seed length (max),91
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),91
seed width maximum,,mm,mm,N,1,seed_width_max,Seed width maximum,91
seed width minimum,,mm,mm,N,1,seed_width_min,Seed width minimum,91
dispersal,mm,,,C,NA,dispersal_syndrome,Dispersal syndrome,92
flowering time end,cm,,,C,NA,flowering_month_end,Flowering month end,92
flowering time start,mm,,,C,NA,flowering_month_start,Flowering month start,92
leaf length maximum,cm,cm,mm,N,10,leaf_length_max,Leaf length maximum,92
leaf length maximum,,mm,mm,N,1,leaf_length_max,Leaf length maximum,92
leaf length maximum,,,mm,N,1,leaf_length_max,Leaf length maximum,92
leaf length minimum,m,cm,mm,N,10,leaf_length_min,Leaf length minimum,92
leaf length minimum,cm,mm,mm,N,1,leaf_length_min,Leaf length minimum,92
leaf type,m,,,C,NA,leaf_compoundness,Leaf compoundness,92
leaf width maximum,cm,cm,mm,N,10,leaf_width_max,Leaf width maximum,92
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,92
leaf width minimum,mm,cm,mm,N,10,leaf_width_min,Leaf width minimum,92
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,92
lifeform,,,,C,NA,plant_growth_form,Plant growth form,92
longevity,mm,,,C,NA,leaf_phenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",92
plant height maximum,,m,m,N,1,plant_height_max,Plant height maximum,92
plant height minimum,mm,m,m,N,1,plant_height_min,Plant height minimum,92
seed breadth maximum,mm,mm,mm,N,1,seed_breadth_max,Seed breadth maximum,92
seed breadth minimum,,mm,mm,N,1,seed_breadth_min,Seed breadth minimum,92
seed length maximum,,mm,mm,N,1,seed_length_max,Seed length maximum,92
seed length minimum,,mm,mm,N,1,seed_length_min,Seed length minimum,92
seed shape,cm,,,C,NA,seed_shape,Seed shape,92
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,92
seed width minimum,m,mm,mm,N,1,seed_width_min,Seed width minimum,92
dispersal,,,,C,NA,dispersal_syndrome,Dispersal syndrome,93
flowering time end,cm,,,C,NA,flowering_month_end,Flowering month end,93
flowering time start,mm,,,C,NA,flowering_month_start,Flowering month start,93
leaf length maximum,m,cm,mm,N,10,leaf_length_max,Leaf length maximum,93
leaf length maximum,,m,mm,N,1000,leaf_length_max,Leaf length maximum,93
leaf length maximum,cm,mm,mm,N,1,leaf_length_max,Leaf length maximum,93
leaf length minimum,mm,cm,mm,N,10,leaf_length_min,Leaf length minimum,93
leaf length minimum,,m,mm,N,1000,leaf_length_min,Leaf length minimum,93
leaf length minimum,cm,mm,mm,N,1,leaf_length_min,Leaf length minimum,93
leaf type,mm,,,C,NA,leaf_compoundness,Leaf compoundness,93
leaf width maximum,,cm,mm,N,10,leaf_width_max,Leaf width maximum,93
leaf width maximum,,mm,mm,N,1,leaf_width_max,Leaf width maximum,93
leaf width minimum,,cm,mm,N,10,leaf_width_min,Leaf width minimum,93
leaf width minimum,m,mm,mm,N,1,leaf_width_min,Leaf width minimum,93
lifeform,cm,,,C,NA,plant_growth_form,Plant growth form,93
longevity,mm,,,C,NA,leaf_phenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",93
plant height maximum,,cm,m,N,0.01,plant_height_max,Plant height maximum,93
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,93
plant height maximum,cm,mm,m,N,0.001,plant_height_max,Plant height maximum,93
plant height minimum,,cm,m,N,0.01,plant_height_min,Plant height minimum,93
plant height minimum,mm,m,m,N,1,plant_height_min,Plant height minimum,93
seed breadth maximum,cm,cm,mm,N,10,seed_breadth_max,Seed breadth maximum,93
seed breadth maximum,mm,mm,mm,N,1,seed_breadth_max,Seed breadth maximum,93
seed breadth minimum,cm,cm,mm,N,10,seed_breadth_min,Seed breadth minimum,93
seed breadth minimum,mm,mm,mm,N,1,seed_breadth_min,Seed breadth minimum,93
seed length maximum,,cm,mm,N,10,seed_length_max,Seed length maximum,93
seed length maximum,cm,mm,mm,N,1,seed_length_max,Seed length maximum,93
seed length minimum,mm,cm,mm,N,10,seed_length_min,Seed length minimum,93
seed length minimum,cm,mm,mm,N,1,seed_length_min,Seed length minimum,93
seed shape,,,,C,NA,seed_shape,Seed shape,93
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,93
seed width maximum,cm,cm,mm,N,10,seed_width_max,Seed width maximum,94
seed width maximum,,mm,mm,N,1,seed_width_max,Seed width maximum,93
seed width minimum,mm,cm,mm,N,10,seed_width_min,Seed width minimum,93
seed width minimum,cm,mm,mm,N,1,seed_width_min,Seed width minimum,93
dispersal mechanism,,,,C,NA,dispersal_syndrome,Dispersal syndrome,94
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,94
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,94
fruit diameter,mm,mm,mm,N,1,fruit_diameter,Fruit diameter,94
fruit length,mm,mm,mm,N,1,fruit_length,Fruit length,94
fruit type (botany),,,,C,NA,fruit_type_botany,Fruit type (fleshy / dry),94
fruit type (function),,,,C,NA,fruit_type_function,Fruit type (fleshy / dry),94
fruit type (specific),,,,C,NA,fruit_type,Fruit type,94
seed diameter,mm,mm,mm,N,1,seed_diameter,seed diameter,94
seed length,mm,mm,mm,N,1,seed_length,Seed length,94
dispersal mechanism,,,,C,NA,dispersal_syndrome,Dispersal syndrome,95
fruit type (function),,,,C,NA,fruit_type_function,Fruit type (fleshy / dry),95
