character,unit_in,unit_checked,unit_standard,data_type,conversion,traitname_short,traitname_full,dataset_id,character2,unit2,dataset_id2
seed diameter (range),mm,mm,mm,N,2,seed_breadth_range,Seed breadth range,29,seed diameter (range),mm,29
seed length (range),mm,mm,mm,N,1,seed_length (range),Seed length (range),29,seed length (range),mm,29
seed shape,,,,C,NA,seed_shape,Seed shape,29,seed shape,,29
succulent,,,,C,NA,succulent,Succulent,29,succulent,,29
leaf area,mm2,mm2,mm2,N,1,leaf_area,Leaf area,30,leaf area,mm2,30
leaf mass per area,,g/m2,mm2 mg-1,N,1,LMA,leaf dry mass per area,30,leaf mass per area,,30
plant height,m,m,m,N,1,plant_height,Plant height,30,plant height,m,30
root wood density,g/cm3,g/cm3,g cm-3,N,1,root_wood_density,Root wood density,30,root wood density,g/cm3,30
stem wood density,g/cm3,g/cm3,mg mm-3,N,1,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",30,stem wood density,g/cm3,30
growth form,,,,C,NA,PlantGrowthForm,Plant Growth Form,31,growth form,,31
lamina thickness,mm,mm,mm,N,1,leaf_thickness,Leaf thickness,31,lamina thickness,mm,31
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,31,leaf area,cm2,31
leaf longevity,,,,C,NA,LeafPhenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",31,leaf longevity,,31
leaf N per area,g/m2,g/m2,g m-2,N,1,leaf_N_perArea,Leaf nitrogen (N) content per leaf area,31,leaf N per area,g/m2,31
leaf N per mass,%,%,mg g-1,N,10,leaf_N_perDryMass,Leaf nitrogen (N) content per leaf dry mass,31,leaf N per mass,%,31
leaf P per area,g/m2,g/m2,g m-2,N,1,leaf_P_perArea,Leaf phosphorus (P) content per leaf area,31,leaf P per area,g/m2,31
leaf P per mass,%,%,mg g-1,N,10,leaf_P_perDryMass,Leaf phosphorus (P) content per leaf dry mass,31,leaf P per mass,%,31
leaf type,,,,C,NA,leaf_type,LeafType,31,leaf type,,31
nitrogen fixer,,,,C,NA,nitrogenFixing,Plant nitrogen fixation capacity,31,nitrogen fixer,,31
specific leaf area,cm2/g,cm2/g,mm2 mg-1,N,0.1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",31,specific leaf area,cm2/g,31
13-C,,parts per 1000,per mille,N,1,leaf_delta13C,Leaf carbon (C) isotope signature (delta 13C),32,13-C,,32
15-N,,parts per 1000,per mille,N,1,leaf_delta15N,Leaf nitrogen (C) isotope signature (delta 15N),32,15-N,,32
aarea,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,N,1,photosyntheticRate_perArea,Leaf photosynthesis rate per leaf area,32,aarea,umol m-2 s-1,32
amass,nmol g-1 s-1,nmol g-1 s-1,umol g-1 s-1,N,0.001,photosyntheticRate_perDryMass,Leaf photosynthesis rate per leaf dry mass,32,amass,nmol g-1 s-1,32
growth form,,,,C,NA,PlantGrowthForm,Plant Growth Form,32,growth form,,32
gs,mol m-2 s-1,mol m-2 s-1,mmol m-2 s-1,N,1000,stomatal_conductance,Stomatal conductance,32,gs,mol m-2 s-1,32
k_area,,g/m2,g m-2,N,1,leaf_K_perArea,Leaf potassium (K) content per leaf area,32,k_area,,32
k_mass,,%,mg g-1,N,10,leaf_K_perDryMass,Leaf potassium (K) content per dry mass,32,k_mass,,32
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,32,leaf area,cm2,32
leaf form,,,,C,NA,LeafCompoundness,LeafCompoundness,32,leaf form,,32
leaf longevity,,,month,N,1,leaf_lifespan,Leaf lifespan (longevity),32,leaf longevity,,32
leaf mass area,g/m2,g/m2,mm2 mg-1,N,1,LMA,leaf dry mass per area,32,leaf mass area,g/m2,32
