Individual,Species,Batch,Nutrient Treatment,Grass Treatment,Continent,Climate,Leaf Habit,Mass_g,RMF_g_per_g,SER_mm_per_day,SLA_mm2_per_mg,N_mg_per_g,P_mg_per_g,K_mg_per_g,A_nmol_CO2_per_g_s,gs_mmol_H2O_per_m2_s,PWUE_umol_CO2_per_mmol_H2O
430,Acacia tortilis,1,Nl,G1,Africa,Semi-arid,Deciduous,1.4,0.722,NA,40.99,30.87,1.28,15.91,401.12,131.15,1.08
431,Acacia tortilis,1,Nh,G0,Africa,Semi-arid,Deciduous,18.05,0.674,0.3,21.5,29.66,1.14,17.88,199.72,61.78,1.15
432,Acacia tortilis,1,Nh,G0,Africa,Semi-arid,Deciduous,25.17,0.416,0.62,21.83,36.02,1.53,18.61,94.59,42.49,1.1
433,Acacia tortilis,1,Nh,G0,Africa,Semi-arid,Deciduous,46.63,0.351,0.56,30.33,36.91,1.76,17.62,388.4,209.51,1.06
434,Acacia tortilis,1,Nh,G0,Africa,Semi-arid,Deciduous,39.26,0.333,0.59,15.82,31.97,1.49,14.6,271.33,142.11,1.12
435,Acacia tortilis,1,Nh,G0,Africa,Semi-arid,Deciduous,32.2,0.405,0.54,23.36,36.27,1.61,15.92,298.37,131.84,1.1
436,Acacia tortilis,1,Nl,G0,Africa,Semi-arid,Deciduous,15.04,0.428,0.44,24.25,35.04,1.6,16.77,NA,NA,NA
437,Acacia tortilis,1,Nl,G0,Africa,Semi-arid,Deciduous,19.91,0.354,0.42,11.41,37.44,1.82,19.15,NA,184.65,NA
438,Acacia tortilis,1,Nl,G0,Africa,Semi-arid,Deciduous,8.54,0.523,0.36,22.71,34.09,2.96,14.98,254.26,114.49,1.1
439,Acacia tortilis,1,Nl,G0,Africa,Semi-arid,Deciduous,20.78,0.369,0.57,NA,31.59,1.95,13.51,NA,26.32,1.14
440,Acacia tortilis,1,Nl,G0,Africa,Semi-arid,Deciduous,7.18,0.565,0.32,26.85,35.28,2.51,16.93,710.02,338.77,1.08
441,Aspidosperma macrocarpon,2,Nh,G1,South America,Humid,Deciduous,3.15,0.239,NA,23.29,20.53,1.21,6.39,75.51,84,1.04
442,Aspidosperma macrocarpon,2,Nl,G1,South America,Humid,Deciduous,1.99,0.47,NA,24.44,18.41,1.29,4.08,8.33,8,1.04
443,Aspidosperma macrocarpon,2,Nl,G1,South America,Humid,Deciduous,2.49,0.362,NA,25.78,19.42,1.05,5.26,39.66,16,1.1
444,Aspidosperma macrocarpon,2,Nl,G1,South America,Humid,Deciduous,3.35,0.309,NA,21.38,15.38,0.95,3.51,11.69,49,1.01
445,Aspidosperma macrocarpon,2,Nl,G1,South America,Humid,Deciduous,3.8,0.517,NA,17.29,12.23,0.81,2.13,25.2,29,1.05
446,Aspidosperma macrocarpon,2,Nl,G1,South America,Humid,Deciduous,2.16,0.273,NA,21.8,18.48,1.04,4.28,22.8,173,1.01
447,Aspidosperma macrocarpon,2,Nh,G0,South America,Humid,Deciduous,28.92,0.534,0.1,14.89,19.32,1.68,8.27,78.41,46,1.12
448,Aspidosperma macrocarpon,2,Nh,G0,South America,Humid,Deciduous,21.08,0.523,0.06,14.18,20.53,1.41,9.53,63.38,85,1.05
449,Aspidosperma macrocarpon,2,Nh,G0,South America,Humid,Deciduous,13.94,0.34,0.13,22.56,22.63,1.9,10.11,57.39,34,1.08
450,Aspidosperma macrocarpon,2,Nh,G1,South America,Humid,Deciduous,2.11,0.279,NA,25.31,21.56,1.3,5.42,23.78,751,1
451,Aspidosperma macrocarpon,2,Nh,G1,South America,Humid,Deciduous,1.8,0.202,NA,28.87,24.21,1.64,6.95,9.66,19,1.02
452,Aspidosperma macrocarpon,2,Nh,G1,South America,Humid,Deciduous,2.58,0.354,NA,20.3,14.73,1.13,3.19,65.95,30,1.11
453,Aspidosperma macrocarpon,2,Nh,G1,South America,Humid,Deciduous,2.3,0.286,NA,26.63,21.8,1.58,6.48,24.97,28,1.03
454,Aspidosperma macrocarpon,3,Nh,G1,South America,Humid,Deciduous,1.42,0.17,NA,NA,27.94,1.75,5.65,NA,NA,NA
455,Aspidosperma macrocarpon,3,Nh,G1,South America,Humid,Deciduous,1.64,0.243,NA,NA,NA,NA,NA,NA,NA,NA
456,Aspidosperma macrocarpon,3,Nh,G1,South America,Humid,Deciduous,1.28,0.01,NA,NA,28.08,2.18,7.04,NA,NA,NA
457,Aspidosperma macrocarpon,3,Nh,G1,South America,Humid,Deciduous,1.4,0.189,NA,NA,33.68,2.4,7.62,NA,NA,NA
458,Aspidosperma macrocarpon,3,Nh,G1,South America,Humid,Deciduous,1.54,0.298,NA,NA,24.5,1.67,7.73,NA,NA,NA
459,Aspidosperma macrocarpon,3,Nl,G1,South America,Humid,Deciduous,1.34,0.268,NA,NA,27.95,1.87,6.61,NA,NA,NA
460,Aspidosperma macrocarpon,3,Nl,G1,South America,Humid,Deciduous,1.71,0.353,NA,NA,16.3,1,2.62,NA,NA,NA
461,Aspidosperma macrocarpon,3,Nl,G1,South America,Humid,Deciduous,2.28,0.356,NA,NA,19.16,2.13,9.06,NA,NA,NA
462,Aspidosperma macrocarpon,3,Nl,G1,South America,Humid,Deciduous,2.02,0.356,NA,NA,20.89,1,3.48,NA,NA,NA
463,Aspidosperma macrocarpon,3,Nl,G1,South America,Humid,Deciduous,1.43,0.485,NA,NA,NA,NA,NA,NA,NA,NA
464,Aspidosperma macrocarpon,3,Nh,G0,South America,Humid,Deciduous,11.82,0.465,0.11,17.57,19.99,1.56,10.43,NA,NA,NA
465,Aspidosperma macrocarpon,3,Nh,G0,South America,Humid,Deciduous,15.49,0.561,0.12,12.47,15.7,0.98,5.12,NA,NA,NA
466,Aspidosperma macrocarpon,3,Nh,G0,South America,Humid,Deciduous,17.89,0.565,0.09,14.63,18.58,1.12,6.69,NA,NA,NA
467,Aspidosperma macrocarpon,3,Nh,G0,South America,Humid,Deciduous,9.58,0.456,0.09,13.06,22.64,1.59,10.63,NA,NA,NA
468,Aspidosperma macrocarpon,3,Nh,G0,South America,Humid,Deciduous,22.3,0.508,0.12,11.44,15.13,0.88,7.02,NA,NA,NA
469,Aspidosperma macrocarpon,3,Nl,G0,South America,Humid,Deciduous,18.4,0.665,0.1,14.9,14.1,0.61,3.87,NA,NA,NA
470,Aspidosperma macrocarpon,3,Nl,G0,South America,Humid,Deciduous,12.53,0.572,0.08,12.51,17.1,0.65,4.23,NA,NA,NA
471,Aspidosperma macrocarpon,3,Nl,G0,South America,Humid,Deciduous,9.28,0.374,0.09,12.7,16.98,1.01,6.47,NA,NA,NA
472,Aspidosperma macrocarpon,3,Nl,G0,South America,Humid,Deciduous,13.2,0.505,0.08,12.07,12.88,0.53,5.24,NA,NA,NA
473,Aspidosperma macrocarpon,3,Nl,G0,South America,Humid,Deciduous,6.58,0.444,0.08,15.48,21.27,1.22,9.59,NA,NA,NA
474,Aspidosperma macrocarpon,2,Nh,G0,South America,Humid,Deciduous,15.83,0.26,0.14,18.38,21.65,1.45,8.71,21.22,14,1.09
475,Aspidosperma macrocarpon,2,Nl,G0,South America,Humid,Deciduous,10.43,0.672,0.07,13.98,13.96,0.57,4.97,28.96,23,1.09
476,Aspidosperma macrocarpon,2,Nl,G0,South America,Humid,Deciduous,12.84,0.496,0.07,12.55,12.5,0.42,3.47,28.62,36,1.06
477,Aspidosperma macrocarpon,2,Nh,G0,South America,Humid,Deciduous,15.24,0.36,0.09,13.54,17,0.8,7.74,71.41,54,1.1
478,Aspidosperma macrocarpon,2,Nl,G0,South America,Humid,Deciduous,7.81,0.421,0.07,13.02,15.78,0.66,6.85,54.37,43,1.1
479,Aspidosperma macrocarpon,2,Nl,G0,South America,Humid,Deciduous,7.29,0.437,0.07,16.35,18.18,0.73,7.45,NA,NA,NA
480,Aspidosperma macrocarpon,2,Nl,G0,South America,Humid,Deciduous,10.87,0.623,0.06,10.85,11.63,0.63,5.47,50.9,50,1.09
483,Aspidosperma pyrifolium,3,Nh,G1,South America,Semi-arid,Deciduous,1.27,0.356,NA,NA,25.49,1.84,9.34,NA,NA,NA
484,Aspidosperma pyrifolium,3,Nh,G0,South America,Semi-arid,Deciduous,4.42,0.225,0.12,16.43,17.13,0.96,15.52,NA,NA,NA
485,Aspidosperma pyrifolium,3,Nh,G0,South America,Semi-arid,Deciduous,4.71,0.237,0.08,15.51,18.14,1.37,17.91,NA,NA,NA
486,Aspidosperma pyrifolium,3,Nh,G0,South America,Semi-arid,Deciduous,7.78,0.226,0.15,16.7,17.32,1.29,22.37,NA,NA,NA
487,Aspidosperma pyrifolium,3,Nh,G0,South America,Semi-arid,Deciduous,6.81,0.184,0.22,14.4,18.57,0.84,12.87,NA,NA,NA
488,Aspidosperma pyrifolium,3,Nh,G0,South America,Semi-arid,Deciduous,6.82,0.238,0.17,16.57,17.75,1.08,14.85,NA,NA,NA
489,Aspidosperma pyrifolium,3,Nl,G0,South America,Semi-arid,Deciduous,3.28,0.329,0.12,17.64,16.54,0.91,13.67,NA,NA,NA
490,Aspidosperma pyrifolium,3,Nl,G0,South America,Semi-arid,Deciduous,2.79,0.359,0.05,18.55,16.9,1,17.36,NA,NA,NA
491,Aspidosperma pyrifolium,3,Nl,G0,South America,Semi-arid,Deciduous,4.03,0.282,0.12,14.67,19.24,1.47,17.95,NA,NA,NA
492,Aspidosperma pyrifolium,3,Nl,G0,South America,Semi-arid,Deciduous,3.29,0.337,0.08,15.99,21.05,2.06,9.99,NA,NA,NA
493,Aspidosperma pyrifolium,3,Nl,G0,South America,Semi-arid,Deciduous,2.1,0.341,0.05,13.27,18.11,0.79,7.56,NA,NA,NA
494,Aspidosperma pyrifolium,2,Nh,G0,South America,Semi-arid,Deciduous,6.21,0.285,0.19,23.59,25.75,1.67,19.35,74.13,70,1.05
495,Aspidosperma pyrifolium,2,Nh,G0,South America,Semi-arid,Deciduous,7.08,0.323,0.13,16.78,21.77,1.59,18.4,74.83,81,1.06
496,Aspidosperma pyrifolium,2,Nh,G0,South America,Semi-arid,Deciduous,4.26,0.291,0.15,23.46,23.17,1.8,22.26,NA,33,NA
497,Aspidosperma pyrifolium,2,Nh,G0,South America,Semi-arid,Deciduous,11.25,0.339,0.19,15.84,22.63,1.41,20.2,91.31,79,1.07
499,Aspidosperma pyrifolium,2,Nl,G0,South America,Semi-arid,Deciduous,2.75,0.54,0.08,27.53,22.06,0.8,9.34,39.54,69,1.02
500,Aspidosperma pyrifolium,2,Nl,G0,South America,Semi-arid,Deciduous,3.17,0.491,0.05,14.35,26.1,1.83,11.42,91.43,132,1.05
501,Aspidosperma pyrifolium,2,Nl,G0,South America,Semi-arid,Deciduous,2.48,0.416,0.05,16.6,19.62,1.49,4.73,80.66,75,1.07
502,Aspidosperma pyrifolium,2,Nl,G0,South America,Semi-arid,Deciduous,4.62,0.433,0.07,17.59,24.06,1.18,19.86,36.19,104,1.02
504,Aspidosperma pyrifolium,2,Nl,G1,South America,Semi-arid,Deciduous,0.87,0.349,NA,26.1,24.88,1.33,4.78,105.41,81,1.05
505,Aspidosperma pyrifolium,3,Nh,G1,South America,Semi-arid,Deciduous,2.09,0.18,NA,NA,18.22,0.94,12.65,NA,NA,NA
506,Aspidosperma pyrifolium,3,Nh,G1,South America,Semi-arid,Deciduous,0.66,0.248,NA,NA,27.03,2.14,12.07,NA,NA,NA
507,Aspidosperma pyrifolium,3,Nl,G1,South America,Semi-arid,Deciduous,0.9,0.409,NA,NA,17.86,1.56,1.9,NA,NA,NA
508,Aspidosperma pyrifolium,3,Nl,G1,South America,Semi-arid,Deciduous,0.78,0.224,NA,NA,26.88,2.11,7.36,NA,NA,NA
509,Aspidosperma pyrifolium,3,Nl,G1,South America,Semi-arid,Deciduous,0.78,0.313,NA,NA,25.21,2.05,5.78,NA,NA,NA
510,Aspidosperma pyrifolium,3,Nl,G1,South America,Semi-arid,Deciduous,1.11,0.359,NA,NA,16.22,1.07,2.15,NA,NA,NA
511,Aspidosperma pyrifolium,3,Nl,G1,South America,Semi-arid,Deciduous,0.83,0.311,NA,NA,24.82,2.16,4.65,NA,NA,NA
512,Aspidosperma pyrifolium,2,Nh,G1,South America,Semi-arid,Deciduous,1.65,0.265,NA,27.82,29.97,1.07,12.88,101.15,40,1.09
513,Aspidosperma pyrifolium,2,Nh,G1,South America,Semi-arid,Deciduous,1.35,0.166,NA,31.56,26.59,1.48,11.76,48.33,29,1.05
514,Aspidosperma pyrifolium,2,Nh,G1,South America,Semi-arid,Deciduous,1.15,0.237,NA,29.9,27.13,1.23,7.39,84.72,44,1.07
515,Aspidosperma pyrifolium,2,Nh,G1,South America,Semi-arid,Deciduous,1.14,0.234,NA,32.7,28.17,1.74,15.23,33.7,23,1.05
518,Aspidosperma pyrifolium,2,Nl,G1,South America,Semi-arid,Deciduous,0.98,0.366,NA,21.52,18.55,1.18,2.5,13.91,36,1.02
519,Aspidosperma pyrifolium,2,Nl,G1,South America,Semi-arid,Deciduous,0.69,0.274,NA,39.37,20.78,1.58,NA,36.43,28,1.03
520,Aspidosperma pyrifolium,2,Nl,G1,South America,Semi-arid,Deciduous,0.72,0.505,NA,38.06,19.97,1.07,NA,31.45,50,1.02
521,Brachylaena discolor,3,Nh,G0,Africa,Humid,Evergreen,8.32,0.294,0.14,12.95,18.05,3.3,15.11,NA,NA,NA
522,Brachylaena discolor,3,Nl,G0,Africa,Humid,Evergreen,9.19,0.118,0.13,14.54,16.14,1.57,17.95,NA,NA,NA
523,Brachylaena discolor,3,Nl,G0,Africa,Humid,Evergreen,7.77,0.064,0.05,22.9,18.04,1.16,21.3,NA,NA,NA
524,Brachylaena discolor,3,Nl,G0,Africa,Humid,Evergreen,7.92,0.014,0.03,17.69,14.33,1.08,17.72,NA,NA,NA
525,Brachylaena discolor,3,Nl,G0,Africa,Humid,Evergreen,11.93,0.068,0.14,19.8,20.96,2.37,17.42,NA,NA,NA
527,Brachylaena discolor,2,Nh,G0,Africa,Humid,Evergreen,22.64,0.213,0.37,14.98,21.52,3.15,15.85,126.8,150,1.06
528,Brachylaena discolor,2,Nh,G0,Africa,Humid,Evergreen,4.05,0.377,0.1,19.75,21.9,6.34,28.34,58.28,61,1.05
529,Brachylaena discolor,2,Nh,G0,Africa,Humid,Evergreen,9.64,0.164,0.26,16.38,22.39,3.31,27.2,79.62,94,1.05
530,Brachylaena discolor,2,Nh,G0,Africa,Humid,Evergreen,12.54,0.211,0.18,15.6,19.85,2.38,24.47,60.27,43,1.09
531,Brachylaena discolor,3,Nh,G0,Africa,Humid,Evergreen,18.96,0.157,0.27,NA,27.09,2.79,24.83,NA,NA,NA
532,Brachylaena discolor,3,Nh,G0,Africa,Humid,Evergreen,23.91,0.212,0.32,NA,22.28,2.71,21.31,NA,NA,NA
533,Brachylaena discolor,3,Nh,G0,Africa,Humid,Evergreen,36.96,0.202,0.41,16.23,20.14,2.73,25.47,NA,NA,NA
534,Brachylaena discolor,3,Nh,G0,Africa,Humid,Evergreen,22.48,0.17,0.25,NA,21.36,3.6,18.28,NA,NA,NA
535,Brachylaena discolor,3,Nh,G1,Africa,Humid,Evergreen,0.68,0.148,NA,NA,21.01,1.72,12.76,NA,NA,NA
536,Brachylaena discolor,3,Nh,G1,Africa,Humid,Evergreen,0.95,0.111,NA,NA,NA,NA,NA,NA,NA,NA
537,Brachylaena discolor,3,Nh,G1,Africa,Humid,Evergreen,1.02,0.337,NA,NA,21.46,2.81,14.36,NA,NA,NA
538,Brachylaena discolor,3,Nh,G1,Africa,Humid,Evergreen,0.7,0.162,NA,NA,24.37,3.35,17.77,NA,NA,NA
539,Brachylaena discolor,3,Nh,G1,Africa,Humid,Evergreen,1.34,0.148,NA,NA,17.41,1.82,12.67,NA,NA,NA
540,Brachylaena discolor,3,Nl,G1,Africa,Humid,Evergreen,0.51,0.182,NA,NA,16.23,4.13,10.76,NA,NA,NA
541,Brachylaena discolor,3,Nl,G1,Africa,Humid,Evergreen,0.52,0.091,NA,NA,14.07,1.42,7.89,NA,NA,NA
542,Brachylaena discolor,3,Nl,G1,Africa,Humid,Evergreen,0.52,0.409,NA,NA,18.17,1.37,10.01,NA,NA,NA
544,Brachylaena discolor,3,Nl,G1,Africa,Humid,Evergreen,0.68,0.311,NA,NA,10.3,0.42,4.92,NA,NA,NA
545,Brachylaena discolor,2,Nh,G1,Africa,Humid,Evergreen,0.58,0.266,NA,55.66,30.75,2.88,29.03,12.13,56,1
546,Brachylaena discolor,2,Nh,G1,Africa,Humid,Evergreen,0.63,0.176,NA,55.73,27.96,3.13,31.36,12.15,19,1.01
547,Brachylaena discolor,2,Nh,G1,Africa,Humid,Evergreen,0.75,0.142,NA,50.73,29.3,2.18,27.75,46.66,44,1.02
548,Brachylaena discolor,2,Nh,G1,Africa,Humid,Evergreen,0.54,0.535,NA,79.31,34.98,3.57,41.01,NA,NA,NA
549,Brachylaena discolor,2,Nh,G1,Africa,Humid,Evergreen,0.71,0.079,NA,59.13,29.32,4.88,37.22,36.48,54,1.01
550,Brachylaena discolor,2,Nl,G1,Africa,Humid,Evergreen,0.52,0.522,NA,51.55,18.78,1.82,6.83,NA,NA,NA
551,Brachylaena discolor,2,Nl,G1,Africa,Humid,Evergreen,0.52,0.81,NA,35.58,8.31,2.6,9.36,NA,NA,NA
552,Brachylaena discolor,2,Nl,G1,Africa,Humid,Evergreen,0.54,0.375,NA,29.66,14.34,0.99,14.06,NA,NA,NA
553,Brachylaena discolor,2,Nl,G1,Africa,Humid,Evergreen,0.6,0.423,NA,30.61,12.68,0.82,10.66,44.44,166.59,1.01
554,Brachylaena discolor,2,Nl,G1,Africa,Humid,Evergreen,0.52,0.143,NA,49.83,24.79,2.29,25.4,NA,NA,NA
555,Brachylaena discolor,2,Nl,G0,Africa,Humid,Evergreen,0.93,0.422,0.02,18.7,13.16,0.55,18.58,135.65,134,1.05
556,Brachylaena discolor,2,Nl,G0,Africa,Humid,Evergreen,1.89,0.262,0.06,19.75,21.18,1.37,20.28,151.13,181,1.04
557,Brachylaena discolor,2,Nl,G0,Africa,Humid,Evergreen,2.82,0.238,0.07,24.66,18.35,1.9,23.5,131.69,135,1.04
558,Brachylaena discolor,2,Nh,G0,Africa,Humid,Evergreen,51.34,0.257,0.75,13.82,21.28,2.93,18.69,74.26,132,1.04
559,Brachylaena discolor,2,Nl,G0,Africa,Humid,Evergreen,0.65,0.034,0.02,17.26,11.7,0.57,8.75,11.36,92,1.01
560,Brachylaena discolor,2,Nl,G0,Africa,Humid,Evergreen,1.21,0.249,0.03,23.13,21.52,1.88,24.78,NA,NA,NA
561,Brachystegia spiciformis,1,Nh,G1,Africa,Humid,Deciduous,1.19,0.544,NA,17.36,29.54,2.38,14.39,55.03,24.34,1.13
562,Brachystegia spiciformis,1,Nh,G1,Africa,Humid,Deciduous,1.79,0.624,NA,15.5,25.23,1.94,12.04,NA,NA,NA
563,Brachystegia spiciformis,1,Nh,G1,Africa,Humid,Deciduous,1.36,0.628,NA,13.46,24.47,2.2,16.13,130.24,98,1.1
564,Brachystegia spiciformis,1,Nh,G0,Africa,Humid,Deciduous,3.43,0.581,0.05,15.34,22.97,2.99,11.09,31.69,11,1.2
565,Brachystegia spiciformis,1,Nh,G0,Africa,Humid,Deciduous,1.76,0.656,0.03,12.86,24.36,3.36,12.63,10.33,14.29,1.06
566,Brachystegia spiciformis,1,Nh,G0,Africa,Humid,Deciduous,4.43,0.767,0.04,12.02,22.48,2.76,11.54,45.47,16,1.25
567,Brachystegia spiciformis,1,Nh,G0,Africa,Humid,Deciduous,2.12,0.641,0.05,15.9,23.85,2.34,12.34,64.59,35,1.12
568,Brachystegia spiciformis,1,Nh,G0,Africa,Humid,Deciduous,1.86,0.594,0.05,13.4,22.26,2.78,13.28,84.09,33,1.19
569,Brachystegia spiciformis,1,Nl,G0,Africa,Humid,Deciduous,2.62,0.637,0.04,13.15,20.18,1.64,12.77,87.79,46,1.15
570,Brachystegia spiciformis,1,Nl,G0,Africa,Humid,Deciduous,2.63,0.838,0.02,10.36,18.83,1.36,9.77,125.27,41,1.3
571,Brachystegia spiciformis,1,Nl,G0,Africa,Humid,Deciduous,2.8,0.773,0.04,13.4,19.37,1.35,7.35,144.6,46.49,1.24
572,Brachystegia spiciformis,1,Nl,G0,Africa,Humid,Deciduous,2.37,0.782,0.03,12.83,17.98,1.2,9,95.94,51,1.15
573,Brachystegia spiciformis,1,Nl,G0,Africa,Humid,Deciduous,2.35,0.776,0.03,11.44,21.33,1.07,8.5,160.01,103.08,1.14
574,Brachystegia spiciformis,2,Nh,G0,Africa,Humid,Deciduous,9.78,0.424,0.12,13.03,20.5,1.55,10.02,114.35,70,1.13
575,Brachystegia spiciformis,2,Nh,G0,Africa,Humid,Deciduous,6.7,0.513,0.1,15.24,27.95,1.92,12.31,112.23,86,1.09
576,Brachystegia spiciformis,2,Nh,G0,Africa,Humid,Deciduous,11.03,0.551,0.15,15.98,26.3,1.85,10.77,146.39,119,1.08
577,Brachystegia spiciformis,2,Nh,G0,Africa,Humid,Deciduous,5.74,0.552,0.08,17.39,23.5,1.89,13.75,152.27,120,1.07
578,Brachystegia spiciformis,2,Nh,G0,Africa,Humid,Deciduous,4.09,0.513,0.08,15.79,22.88,2,9.21,139.92,130,1.07
579,Brachystegia spiciformis,2,Nl,G0,Africa,Humid,Deciduous,3.25,0.676,0.04,12.05,20.6,1.42,10.21,10.64,78,1.01
580,Brachystegia spiciformis,2,Nl,G0,Africa,Humid,Deciduous,4.37,0.537,0.08,15.23,22.27,1.79,11.19,106.05,86,1.08
581,Brachystegia spiciformis,2,Nl,G0,Africa,Humid,Deciduous,3.52,0.553,0.05,13.97,19.6,1.94,11.36,47.11,114,1.03
582,Brachystegia spiciformis,2,Nl,G0,Africa,Humid,Deciduous,1.9,0.761,0.03,11.07,18.74,0.96,10.06,105.38,95.33,1.1
583,Brachystegia spiciformis,2,Nl,G0,Africa,Humid,Deciduous,2.65,0.68,0.04,12.88,18.79,0.85,7.83,78.26,82,1.07
584,Brachystegia spiciformis,2,Nl,G1,Africa,Humid,Deciduous,1.89,0.672,NA,11.7,15.16,0.84,4.36,NA,NA,NA
585,Brachystegia spiciformis,1,Nh,G1,Africa,Humid,Deciduous,1.49,0.644,NA,16.09,23.9,1.43,11.87,110.67,41.33,1.17
586,Brachystegia spiciformis,1,Nh,G1,Africa,Humid,Deciduous,0.88,0.576,NA,15.72,24.76,2.51,17.12,102.51,65.57,1.1
587,Brachystegia spiciformis,1,Nl,G1,Africa,Humid,Deciduous,1.49,0.742,NA,12.15,19.56,0.85,5.41,24.74,1,NA
588,Brachystegia spiciformis,1,Nl,G1,Africa,Humid,Deciduous,1.1,0.651,NA,13.43,18.29,1.18,8.81,56.08,27,1.16
589,Brachystegia spiciformis,1,Nl,G1,Africa,Humid,Deciduous,1.45,0.662,NA,12.24,20.06,0.83,6.87,56.88,28.9,1.16
590,Brachystegia spiciformis,1,Nl,G1,Africa,Humid,Deciduous,1.19,0.572,NA,15.94,20.55,1.51,7.83,165.17,71.31,1.15
591,Brachystegia spiciformis,1,Nl,G1,Africa,Humid,Deciduous,1.25,0.678,NA,13.1,17.4,1.53,7.94,149.48,218.23,1.05
592,Brachystegia spiciformis,2,Nh,G1,Africa,Humid,Deciduous,2.49,0.574,NA,14.32,18.91,2,7.6,86.9,72,1.09
593,Brachystegia spiciformis,2,Nh,G1,Africa,Humid,Deciduous,3.82,0.548,NA,16.59,18.82,1.73,9.26,112.18,97,1.07
594,Brachystegia spiciformis,2,Nh,G1,Africa,Humid,Deciduous,1.23,0.488,NA,16.02,21.42,1.58,7.98,84.31,113,1.05
595,Brachystegia spiciformis,2,Nh,G1,Africa,Humid,Deciduous,1.96,0.526,NA,15.48,22.2,1.52,9.55,115.56,166,1.05
596,Brachystegia spiciformis,2,Nh,G1,Africa,Humid,Deciduous,1.25,0.399,NA,14.8,19.83,1.7,12.41,33.56,28,1.08
598,Brachystegia spiciformis,2,Nl,G1,Africa,Humid,Deciduous,1.37,0.719,NA,11.1,17.27,0.92,5.04,39.35,42.11,1.08
600,Brachystegia spiciformis,2,Nl,G1,Africa,Humid,Deciduous,2.04,0.717,NA,11.09,15.6,0.87,3.96,71.95,113.28,1.06
601,Caesalpinia pyramidalis,3,Nh,G0,South America,Semi-arid,Deciduous,10.86,0.383,0.28,NA,NA,NA,NA,NA,NA,NA
602,Caesalpinia pyramidalis,3,Nl,G0,South America,Semi-arid,Deciduous,10.65,0.559,0.22,16.18,28.91,1.29,8.65,NA,NA,NA
603,Caesalpinia pyramidalis,3,Nl,G0,South America,Semi-arid,Deciduous,24,0.552,0.38,13.01,23.66,1.06,7.69,NA,NA,NA
604,Caesalpinia pyramidalis,3,Nl,G0,South America,Semi-arid,Deciduous,7.78,0.431,0.14,15.43,24.68,2.15,13.06,NA,NA,NA
605,Caesalpinia pyramidalis,3,Nl,G0,South America,Semi-arid,Deciduous,19.66,0.443,0.34,16.77,21.65,1,8.62,NA,NA,NA
606,Caesalpinia pyramidalis,3,Nl,G0,South America,Semi-arid,Deciduous,35.6,0.387,0.45,16.9,19.88,0.94,7.37,NA,NA,NA
607,Caesalpinia pyramidalis,2,Nh,G0,South America,Semi-arid,Deciduous,3.94,0.54,0.12,21.71,35.82,4.4,11.91,42.62,77.7,1.03
608,Caesalpinia pyramidalis,2,Nh,G0,South America,Semi-arid,Deciduous,38.21,0.231,0.47,16.53,21.66,2.79,11.14,146.44,62,1.14
609,Caesalpinia pyramidalis,2,Nh,G0,South America,Semi-arid,Deciduous,21.99,0.368,0.28,14.18,43,3.76,9.07,23.68,33,1.05
610,Caesalpinia pyramidalis,2,Nh,G0,South America,Semi-arid,Deciduous,9.39,0.404,0.16,20.06,19.06,4.57,15.93,73.88,37.33,1.1
611,Caesalpinia pyramidalis,3,Nh,G0,South America,Semi-arid,Deciduous,72.56,0.336,0.7,13.24,24.11,0.93,8.73,NA,NA,NA
612,Caesalpinia pyramidalis,3,Nh,G0,South America,Semi-arid,Deciduous,37.13,0.29,0.66,15.31,31.48,1.82,13.59,NA,NA,NA
613,Caesalpinia pyramidalis,3,Nh,G0,South America,Semi-arid,Deciduous,39.6,0.262,0.62,16.53,30.4,1.21,8.97,NA,NA,NA
614,Caesalpinia pyramidalis,3,Nh,G0,South America,Semi-arid,Deciduous,29.24,0.409,0.57,NA,NA,NA,NA,NA,NA,NA
615,Caesalpinia pyramidalis,3,Nh,G1,South America,Semi-arid,Deciduous,0.78,0.233,NA,NA,NA,NA,NA,NA,NA,NA
616,Caesalpinia pyramidalis,3,Nh,G1,South America,Semi-arid,Deciduous,1.73,0.276,NA,NA,35.1,1.18,19.23,NA,NA,NA
617,Caesalpinia pyramidalis,3,Nh,G1,South America,Semi-arid,Deciduous,2.43,0.214,NA,NA,37.47,1.05,16.87,NA,NA,NA
618,Caesalpinia pyramidalis,3,Nh,G1,South America,Semi-arid,Deciduous,5.73,0.057,NA,NA,24.78,1.26,7.41,NA,NA,NA
619,Caesalpinia pyramidalis,3,Nh,G1,South America,Semi-arid,Deciduous,16.11,0.323,NA,NA,23.56,1.5,7.97,NA,NA,NA
620,Caesalpinia pyramidalis,3,Nl,G1,South America,Semi-arid,Deciduous,1.01,0.402,NA,NA,14.39,1.02,5.37,NA,NA,NA
621,Caesalpinia pyramidalis,3,Nl,G1,South America,Semi-arid,Deciduous,1.07,0.672,NA,NA,16.71,1.39,3.5,NA,NA,NA
622,Caesalpinia pyramidalis,3,Nl,G1,South America,Semi-arid,Deciduous,2.02,0.337,NA,NA,27.69,1.51,8.86,NA,NA,NA
623,Caesalpinia pyramidalis,3,Nl,G1,South America,Semi-arid,Deciduous,0.75,0.582,NA,NA,NA,NA,NA,NA,NA,NA
