Individual,Species,Continent,Climate,Leaf Habit,Mass0_g
397,Mimosa tenuifolia,South America,Semi-arid,Deciduous,0.00510
398,Mimosa tenuifolia,South America,Semi-arid,Deciduous,0.00520
399,Mimosa tenuifolia,South America,Semi-arid,Deciduous,0.00530
400,Mimosa tenuifolia,South America,Semi-arid,Deciduous,0.00530
401,Mimosa tenuifolia,South America,Semi-arid,Deciduous,0.00550
402,Mimosa tenuifolia,South America,Semi-arid,Deciduous,0.00580
403,Mimosa tenuifolia,South America,Semi-arid,Deciduous,0.00590
404,Peltophorum africanum,Africa,Semi-arid,Deciduous,0.02270
405,Peltophorum africanum,Africa,Semi-arid,Deciduous,0.03040
406,Peltophorum africanum,Africa,Semi-arid,Deciduous,0.03200
407,Peltophorum africanum,Africa,Semi-arid,Deciduous,0.03210
408,Peltophorum africanum,Africa,Semi-arid,Deciduous,0.03620
409,Peltophorum africanum,Africa,Semi-arid,Deciduous,0.04200
410,Peltophorum africanum,Africa,Semi-arid,Deciduous,0.04760
411,Peltophorum africanum,Africa,Semi-arid,Deciduous,0.04900
412,Peltophorum africanum,Africa,Semi-arid,Deciduous,0.05330
413,Peltophorum africanum,Africa,Semi-arid,Deciduous,0.05920
414,Petalostigma pubescens,Australia,Semi-arid,Evergreen,0.00850
415,Petalostigma pubescens,Australia,Semi-arid,Evergreen,0.01010
416,Petalostigma pubescens,Australia,Semi-arid,Evergreen,0.01040
417,Petalostigma pubescens,Australia,Semi-arid,Evergreen,0.01120
418,Petalostigma pubescens,Australia,Semi-arid,Evergreen,0.01280
419,Petalostigma pubescens,Australia,Semi-arid,Evergreen,0.01300
420,Petalostigma pubescens,Australia,Semi-arid,Evergreen,0.01300
421,Petalostigma pubescens,Australia,Semi-arid,Evergreen,0.01320
422,Petalostigma pubescens,Australia,Semi-arid,Evergreen,0.01680
423,Petalostigma pubescens,Australia,Semi-arid,Evergreen,0.01830
424,Plathymenia reticulata,South America,Humid,Deciduous,0.01720
425,Plathymenia reticulata,South America,Humid,Deciduous,0.01730
426,Plathymenia reticulata,South America,Humid,Deciduous,0.01800
