"species","plant_growth_form","leaf_lifespan","plant_height","plant_height_unit","leaf_length_min","leaf_length_max","leaf_length_unit","leaf_width_min","leaf_width_max","leaf_width_unit","seed_length_min","seed_length_max","seed_length_unit","seed_width_min","seed_width_max","seed_width_unit"
"Eucalyptus kabiana","T","",10,"m",6,15,"cm",1,2.3,"cm",0.8,1,"mm",NA,NA,""
"Eucalyptus kartzoffiana","T","",30,"m",8,26.5,"cm",1.2,3.6,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus kenneallyi","T","",8,"m",6,11,"cm",0.7,2,"cm",NA,NA,"",NA,NA,""
"Eucalyptus kessellii","T","",10,"m",7,14.5,"cm",1.4,4.5,"cm",1,3,"mm",NA,NA,""
"Eucalyptus kingsmillii subsp. alatissima","T","",7,"m",5.5,13,"cm",1,3,"cm",2,3.5,"cm",NA,NA,""
"Eucalyptus kingsmillii subsp. kingsmillii","T","",7,"m",1.3,4.7,"cm",1,3.6,"cm",2,3.5,"cm",NA,NA,""
"Eucalyptus kitsoniana","T","",10,"m",4.5,20,"cm",1.5,5.5,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus kochii subsp. amaryssia","T","",12,"m",6,12,"cm",0.5,1.5,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus kochii subsp. borealis","T","",12,"m",5.5,11,"cm",0.6,1.4,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus kochii subsp. kochii","T","",8,"m",0.4,1,"cm",0.5,1.3,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus kochii subsp. plenissima","T","",12,"m",6,14,"cm",0.5,1.7,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus kochii subsp. yellowdinensis","","",NA,"",6.5,11,"cm",0.5,1,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus kondininensis","T","",10,"m",6,11.7,"cm",0.6,1.8,"cm",0.8,2,"mm",NA,NA,""
"Eucalyptus kondininensis subsp. tuberosa","","",8,"m",7.4,11,"cm",0.8,1.5,"cm",0.8,2,"mm",NA,NA,""
"Eucalyptus koolpinensis","T","",12,"m",4,10,"cm",3.5,12.5,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus kruseana","S","",3,"m",1,2.5,"cm",1,2.5,"cm",0.7,1.5,"mm",NA,NA,""
"Eucalyptus kumarlensis","T","",10,"m",6,11,"cm",0.4,1,"cm",1,2,"mm",NA,NA,""
"Eucalyptus kybeanensis","T","",4,"m",5,11,"cm",0.5,1.5,"cm",1.5,2.2,"mm",NA,NA,""
"Eucalyptus lacrimans","T","",12,"m",7,18,"cm",0.7,3,"cm",1.5,2.2,"mm",NA,NA,""
"Eucalyptus laeliae","T","",15,"m",8.5,13.5,"cm",1,2.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus laevis","T","",10,"m",6.5,10.5,"cm",0.5,1.4,"cm",1,2.3,"mm",NA,NA,""
"Eucalyptus laevopinea","T","",40,"m",7,20,"cm",1.4,4,"cm",1,3,"mm",NA,NA,""
"Eucalyptus lanepoolei","T","",10,"m",5,11,"cm",0.7,1.7,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus langleyi","","",5,"m",8,16.5,"cm",1.8,5,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus lansdowneana","","",6,"m",8.5,15.5,"cm",1.5,2.7,"cm",1,2,"mm",NA,NA,""
"Eucalyptus largeana","T","",40,"m",11,19,"cm",0.8,2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus largiflorens","T","",20,"m",6,18,"cm",0.8,2,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus latens","","",5,"m",4,9.5,"cm",0.5,0.8,"cm",1,2,"mm",NA,NA,""
"Eucalyptus lateritica","","",4,"m",7,12.5,"cm",0.9,2,"cm",3,5,"mm",NA,NA,""
"Eucalyptus latisinensis","T","",18,"m",6,16,"cm",1,4,"cm",1,2,"mm",NA,NA,""
"Eucalyptus lehmannii","","",3,"m",3.7,9.5,"cm",0.7,2.8,"cm",2,3,"mm",NA,NA,""
"Eucalyptus leprophloia","","",5,"m",7,10.5,"cm",1.5,3,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus leptocalyx","","",5,"m",7.5,12,"cm",1,2.8,"cm",1.8,3.2,"mm",NA,NA,""
"Eucalyptus leptophleba","T","",20,"m",10,25,"cm",1.2,4,"cm",2,3.5,"mm",NA,NA,""
"Eucalyptus leptophylla","","",5,"m",3,9,"cm",0.3,1.3,"cm",0.8,2,"mm",NA,NA,""
"Eucalyptus leptopoda subsp. arctata","T","",5,"m",4.8,12.5,"cm",1,1.5,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus leptopoda subsp. elevata","","",5,"m",5,10.5,"cm",0.5,1.5,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus leptopoda subsp. leptopoda","T","",7,"m",7.5,12.5,"cm",0.4,1.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus leptopoda subsp. subluta","T","",5,"m",6,12.5,"cm",0.4,1.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus lesouefii","","",15,"m",8.8,18.7,"cm",1,2.7,"cm",1.5,5.5,"mm",NA,NA,""
"Eucalyptus leucophloia subsp. euroa","T","",6,"m",5,12,"cm",1,4,"cm",1.2,2,"mm",NA,NA,""
"Eucalyptus leucophloia subsp. leucophloia","T","",10,"m",4,8.5,"cm",0.9,2.3,"cm",1,2,"mm",NA,NA,""
"Eucalyptus leucophylla","T","",6,"m",8,17.5,"cm",1.2,2.6,"cm",2,3,"mm",NA,NA,""
"Eucalyptus leucoxylon subsp. leucoxylon ","T","D",25,"m",6,18.5,"cm",1,3,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus leucoxylon subsp. megalocarpa","T","D",10,"m",8,19.5,"cm",1.5,5.2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus leucoxylon subsp. pruinosa","T","D",25,"m",6,20,"cm",0.8,3,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus leucoxylon subsp. stephaniae","T","D",15,"m",4.8,17,"cm",0.8,2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus ligulata subsp. ligulata","","",4,"m",4,8.5,"cm",0.8,2,"cm",3,4.5,"mm",NA,NA,""
"Eucalyptus ligulata subsp. stirlingica","","",3,"m",3.5,7.5,"cm",0.7,1.8,"cm",3,4.5,"mm",NA,NA,""
"Eucalyptus ligustrina","TS","",7,"m",3,10,"cm",0.5,2,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus limitaris","T","",8,"m",7,25,"cm",1,3.5,"cm",1.3,3,"mm",NA,NA,""
"Eucalyptus lirata","T","",12,"m",6.5,14,"cm",0.7,2.6,"cm",2.5,3.5,"mm",NA,NA,""
"Eucalyptus litoralis","T","",18,"m",12,35,"cm",2,4.5,"cm",2,3,"mm",NA,NA,""
"Eucalyptus litorea","","",6,"m",5.5,12,"cm",0.8,2.5,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus livida","T","",5,"m",7,11.5,"cm",0.8,2.5,"cm",0.8,1.3,"mm",NA,NA,""
"Eucalyptus lockyeri subsp. exuta","T","",12,"m",8,19,"cm",0.8,2,"cm",0.8,1.2,"mm",NA,NA,""
"Eucalyptus lockyeri subsp. lockyeri","T","",9,"m",7,15,"cm",1,4.5,"cm",0.5,1.2,"mm",NA,NA,""
"Eucalyptus longicornis","T","",25,"m",6,13,"cm",0.6,1.5,"cm",1.2,2,"mm",NA,NA,""
"Eucalyptus longifolia","T","",35,"m",9,25,"cm",0.8,3.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus longirostrata","T","",30,"m",8,18,"cm",1.3,3.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus longissima","T","",8,"m",5.5,11,"cm",0.7,2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus loxophleba subsp. gratiae","T","",7,"m",9,16,"cm",1,3.3,"cm",0.7,1.5,"mm",NA,NA,""
"Eucalyptus loxophleba subsp. lissophloia","","",8,"m",8,13,"cm",1,3,"cm",0.7,1.5,"mm",NA,NA,""
"Eucalyptus loxophleba subsp. loxophleba","T","",15,"m",7,15.5,"cm",1,3,"cm",0.7,1.5,"mm",NA,NA,""
"Eucalyptus loxophleba subsp. supralaevis","T","",13,"m",8,15,"cm",1,2.5,"cm",0.7,1.5,"mm",NA,NA,""
"Eucalyptus lucasii","","",10,"m",7.5,15,"cm",1,3,"cm",1,2.2,"mm",NA,NA,""
"Eucalyptus lucens","","",5,"m",5.3,14,"cm",0.8,2.1,"cm",1,2,"mm",NA,NA,""
"Eucalyptus luculenta","","",5,"m",6,16,"cm",1.5,4.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus luehmanniana","","",7,"m",10,20,"cm",2,4.5,"cm",2,3,"mm",NA,NA,""
"Eucalyptus luteola","","",3,"m",6,9.5,"cm",0.8,1.5,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus macarthurii","T","",40,"m",9,18,"cm",1,2.5,"cm",1.5,2.2,"mm",NA,NA,""
"Eucalyptus mackintii","T","",30,"m",8.5,23,"cm",1.7,5.5,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus macrandra","T","",4,"m",5.5,12.2,"cm",0.9,3.1,"cm",1,2,"mm",NA,NA,""
"Eucalyptus macrocarpa subsp. elachantha","","",3,"m",5.5,8.5,"cm",3.5,5,"cm",3,6,"mm",NA,NA,""
"Eucalyptus macrocarpa subsp. macrocarpa","","",3,"m",7,13.5,"cm",3.5,8.5,"cm",3,6,"mm",NA,NA,""
"Eucalyptus macrorhyncha subsp. cannonii","T","",13,"m",7,15,"cm",1.3,3,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus macrorhyncha subsp. macrorhyncha","T","",35,"m",7.5,14,"cm",1.2,3.8,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus magnificata","T","",8,"m",5,15,"cm",3,6.5,"cm",0.8,2,"mm",NA,NA,""
"Eucalyptus major","T","",20,"m",9,20,"cm",1.5,5,"cm",1,1.2,"mm",NA,NA,""
"Eucalyptus malacoxylon","T","",20,"m",9,30,"cm",2,4,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus mannensis subsp. mannensis","T","",10,"m",6.3,11.5,"cm",0.7,2.3,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus mannensis subsp. vespertina","T","",10,"m",6.5,14,"cm",0.7,1.5,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus mannifera subsp. gullickii","T","",20,"m",5.5,17.5,"cm",1,2.2,"cm",1.3,2,"mm",NA,NA,""
"Eucalyptus mannifera subsp. mannifera","T","",20,"m",7,18.5,"cm",1,3,"cm",1,2.2,"mm",NA,NA,""
"Eucalyptus mannifera subsp. praecox","T","",10,"m",7,17.5,"cm",1,3,"cm",1,2,"mm",NA,NA,""
"Eucalyptus marginata subsp. elegantella","T","",8,"m",5.5,10,"cm",1,2,"cm",3,6,"mm",NA,NA,""
"Eucalyptus marginata subsp. marginata","T","",35,"m",6,12.5,"cm",1.5,3,"cm",3,6,"mm",NA,NA,""
"Eucalyptus marginata subsp. thalassica","T","",25,"m",5.5,12.5,"cm",1,3.5,"cm",3,6,"mm",NA,NA,""
"Eucalyptus mckieana","T","",30,"m",6,11.5,"cm",1,2.2,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus mcquoidii","S","",3,"m",4.5,8,"cm",0.5,1,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus medialis","","",5,"m",5.2,8.8,"cm",0.9,2.2,"cm",0.8,1.2,"mm",NA,NA,""
"Eucalyptus mediocris","T","",20,"m",6,17,"cm",1,2.5,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus megacarpa","T","",20,"m",7,14,"cm",1.5,3.3,"cm",2,4.5,"mm",NA,NA,""
"Eucalyptus megacornuta","","",15,"m",6,11,"cm",1,2.5,"cm",1.5,4,"mm",NA,NA,""
"Eucalyptus melanoleuca","T","",30,"m",7,15,"cm",1.5,3.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus melanophitra","","",7,"m",4.5,9.5,"cm",0.7,1.5,"cm",NA,NA,"",NA,NA,""
"Eucalyptus melanophloia","T","",20,"m",3.5,9,"cm",2,5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus melanoxylon","T","",15,"m",7.2,14,"cm",0.7,1.7,"cm",1,2,"mm",NA,NA,""
"Eucalyptus melliodora","T","D",30,"m",6,14,"cm",0.8,3,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus merrickiae","S","",4,"m",5,8.5,"cm",0.4,0.8,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus michaeliana","T","",30,"m",9,18,"cm",1,2.3,"cm",10,10,"mm",NA,NA,""
"Eucalyptus micranthera","","",4,"m",5.7,12,"cm",0.8,2.5,"cm",2,3,"mm",NA,NA,""
"Eucalyptus microcarpa","T","",25,"m",6,15,"cm",1,2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus microcorys","T","",60,"m",6,15,"cm",1.5,3.5,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus microneura","T","",15,"m",5,13.5,"cm",1.6,4,"cm",1.8,2.5,"mm",NA,NA,""
"Eucalyptus microschema","","",3,"m",5.5,11,"cm",0.5,1,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus microtheca","T","",10,"m",5,19.5,"cm",0.6,4.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus mimica subsp. continens","","",5,"m",3.5,7.7,"cm",0.4,0.8,"cm",0.7,1.5,"mm",NA,NA,""
"Eucalyptus mimica subsp. mimica","","D",5,"m",3.5,8.5,"cm",0.4,0.9,"cm",0.7,1.5,"mm",NA,NA,""
"Eucalyptus miniata","T","",30,"m",7,18,"cm",2,6,"cm",5,7,"mm",NA,NA,""
"Eucalyptus misella","","",4,"m",4,8.5,"cm",0.8,1.5,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus missilis x","","",3,"m",6,12.5,"cm",1,3.5,"cm",2,4,"mm",NA,NA,""
"Eucalyptus mitchelliana","T","",15,"m",7.5,15,"cm",0.6,2,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus moderata","T","",10,"m",5,13,"cm",0.8,2.5,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus moluccana","T","",30,"m",7,17,"cm",1.5,6.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus mooreana","T","",6,"m",3,13,"cm",3,8,"cm",1,2,"mm",NA,NA,""
"Eucalyptus moorei subsp. moorei","","",7,"m",3,9,"cm",0.4,1.3,"cm",1,2,"mm",NA,NA,""
"Eucalyptus moorei subsp. serpentinicola","","",3,"m",5,11,"cm",0.3,1,"cm",1,2,"mm",NA,NA,""
"Eucalyptus morrisbyi","T","",16,"m",4.7,10,"cm",1.5,4,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus morrisii","T","",4,"m",5.5,14.5,"cm",0.8,2.1,"cm",1,1.6,"mm",NA,NA,""
"Eucalyptus muelleriana","T","",40,"m",8,20,"cm",1.5,4.5,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus multicaulis","","",8,"m",7,15,"cm",1.4,3,"cm",1.6,2.5,"mm",NA,NA,""
"Eucalyptus myriadena","T","",10,"m",5,10,"cm",0.6,1.2,"cm",0.5,1.3,"mm",NA,NA,""
"Eucalyptus nandewarica","T","",10,"m",5,15,"cm",0.8,3,"cm",0.8,1.3,"mm",NA,NA,""
"Eucalyptus neglecta","T","",7,"m",7,18,"cm",2.4,9,"cm",1,2,"mm",NA,NA,""
"Eucalyptus neutra","","",6,"m",5,13.5,"cm",0.7,2,"cm",1.2,2,"mm",NA,NA,""
"Eucalyptus newbeyi","","",8,"m",4,8,"cm",0.5,1.5,"cm",1.5,4,"mm",NA,NA,""
"Eucalyptus nicholii","T","",15,"m",6,14,"cm",0.5,1.2,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus nigrifunda","T","",10,"m",6.5,11,"cm",0.9,2,"cm",0.8,1.3,"mm",NA,NA,""
"Eucalyptus nitens","T","",70,"m",10,30,"cm",1.5,4,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus nitida","T","",40,"m",5.5,13,"cm",0.6,1.7,"cm",1,1.8,"mm",NA,NA,""
"Eucalyptus nobilis","T","",70,"m",8.5,21,"cm",1,3,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus normantonensis","T","",8,"m",5,15.7,"cm",0.7,3.2,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus nortonii","T","",15,"m",8.5,30,"cm",1.5,4,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus notabilis","T","",30,"m",7,19,"cm",1.5,3.3,"cm",1,2.2,"mm",NA,NA,""
"Eucalyptus nova-anglica","T","",15,"m",9,19,"cm",1.2,2.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus nudicaulis","","",6,"m",7,19,"cm",1,2.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus nutans","T","",3,"m",2.4,6.2,"cm",2.5,5.6,"cm",1,2,"mm",NA,NA,""
"Eucalyptus obconica","T","",8,"m",5.3,15.5,"cm",0.5,2,"cm",1,2.3,"mm",NA,NA,""
"Eucalyptus obesa","","",4,"m",5,11.7,"cm",0.8,2,"cm",1,2.2,"mm",NA,NA,""
"Eucalyptus obliqua","T","",90,"m",6,22,"cm",1.5,7,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus obtusiflora","T","",4,"m",5.5,15.5,"cm",1,3.3,"cm",1.5,3.5,"mm",NA,NA,""
"Eucalyptus occidentalis","T","",20,"m",6.5,16,"cm",1,3.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus ochrophloia","T","",15,"m",7,20,"cm",1,2.5,"cm",2,2.5,"mm",NA,NA,""
"Eucalyptus odontocarpa","","",4,"m",5.5,19.5,"cm",0.5,1.8,"cm",4,6,"mm",NA,NA,""
"Eucalyptus odorata","T","",7,"m",5.5,14,"cm",0.6,2,"cm",1,1.8,"mm",NA,NA,""
"Eucalyptus oldfieldii","T","",5,"m",6.3,11.5,"cm",0.9,2.5,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus oleosa subsp. corvina","T","",8,"m",5.5,11,"cm",0.7,1.9,"cm",1.2,2,"mm",NA,NA,""
"Eucalyptus oleosa subsp. cylindroidea","T","",8,"m",5,11,"cm",0.7,1.5,"cm",1.2,1.8,"mm",NA,NA,""
"Eucalyptus oleosa subsp. oleosa","T","",10,"m",4.5,12,"cm",0.5,2.2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus olida","T","",30,"m",7,18.5,"cm",0.9,2.6,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus oligantha","T","D",12,"m",4.8,19,"cm",5,21.3,"cm",1.5,3.5,"mm",NA,NA,""
"Eucalyptus olivina","T","",5,"m",3.5,8.5,"cm",0.3,1,"cm",1,2,"mm",NA,NA,""
"Eucalyptus olsenii","T","",12,"m",5,12,"cm",1,2,"cm",2,2.5,"mm",NA,NA,""
"Eucalyptus ophitica","T","",10,"m",7.8,17,"cm",1.7,2.5,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus optima","T","",20,"m",8,14,"cm",1.5,3,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus oraria","TS","",7,"m",5.5,11,"cm",0.8,2.3,"cm",1,2,"mm",NA,NA,""
"Eucalyptus orbifolia","","",5,"m",2.5,5,"cm",1.3,5,"cm",1,1.7,"cm",NA,NA,""
"Eucalyptus ordiana","T","",6,"m",3.5,9,"cm",2,8,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus oreades","T","",40,"m",7.5,18,"cm",1,3.2,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus orgadophila","T","",20,"m",6.5,18,"cm",1,3.5,"cm",1.8,3.5,"mm",NA,NA,""
"Eucalyptus ornata","","",10,"m",6.5,13,"cm",1,2,"cm",1,3,"mm",NA,NA,""
"Eucalyptus orthostemon ms","","",7,"m",3,5.5,"cm",0.2,0.5,"cm",0.8,2,"mm",NA,NA,""
"Eucalyptus ovata var. grandiflora","T","",15,"m",7.5,17.5,"cm",1.7,6,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus ovata var. ovata","T","",20,"m",8,18,"cm",1.6,5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus ovularis","T","",12,"m",6,10,"cm",0.5,1,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus oxymitra","","",4,"m",5.5,12.5,"cm",1.5,4,"cm",2,4,"mm",NA,NA,""
"Eucalyptus pachycalyx  subsp. waajensis","T","",15,"m",8,16,"cm",1.5,2.5,"cm",2,2.5,"mm",NA,NA,""
"Eucalyptus pachycalyx subsp. pachycalyx","T","",14,"m",6,17,"cm",1.2,2.5,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus pachyloma","","",4,"m",5.8,10.8,"cm",0.7,1.8,"cm",2.5,3.5,"mm",NA,NA,""
"Eucalyptus pachyphylla","","",5,"m",6,16,"cm",1.5,4.5,"cm",2,4.5,"mm",NA,NA,""
"Eucalyptus paedoglauca","T","",17,"m",8,14,"cm",1.7,3.2,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus paliformis","T","",12,"m",6.2,13,"cm",0.9,2,"cm",1.5,2.2,"mm",NA,NA,""
"Eucalyptus paludicola","T","",12,"m",8,21,"cm",2,4,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus panda","T","",20,"m",5,11,"cm",0.8,2.2,"cm",0.5,1.5,"mm",NA,NA,""
"Eucalyptus paniculata","T","",30,"m",5,18,"cm",1.2,3,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus pantoleuca","T","",10,"m",7,17,"cm",5.8,16,"cm",2,2.5,"mm",NA,NA,""
"Eucalyptus parramattensis subsp. decadens","T","",10,"m",8,20,"cm",1.5,3,"cm",0.7,1.2,"mm",NA,NA,""
"Eucalyptus parramattensis subsp. parramattensis","T","",15,"m",7,15,"cm",1.2,2.5,"cm",0.7,1,"mm",NA,NA,""
"Eucalyptus parramattensis var. sphaerocalyx","T","",10,"m",7,16,"cm",1.5,3,"cm",0.8,1,"mm",NA,NA,""
"Eucalyptus parvula","T","",10,"m",3,8,"cm",0.5,1.5,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus patellaris","T","",15,"m",8.2,27,"cm",1.3,4.8,"cm",1.5,4,"mm",NA,NA,""
"Eucalyptus patens","T","",40,"m",8,17,"cm",1.5,3,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus pauciflora subsp. acerina","T","",12,"m",5.5,12.5,"cm",1,3,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus pauciflora subsp. debeuzevillei","T","",10,"m",7.5,18,"cm",1.6,5,"cm",1.5,2.2,"mm",NA,NA,""
"Eucalyptus pauciflora subsp. hedraia","T","",10,"m",5.5,15.5,"cm",1.5,4,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus pauciflora subsp. niphophila","T","",7,"m",5,10,"cm",1.2,3,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus pauciflora subsp. pauciflora","T","",30,"m",6,20,"cm",1.2,5,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus pellita","T","",40,"m",10,23,"cm",3,6.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus pendens","","",4,"m",5.5,10,"cm",1,1.8,"cm",3,5,"mm",NA,NA,""
"Eucalyptus peninsularis","","",6,"m",6,14,"cm",1,2.3,"cm",1.2,2,"mm",NA,NA,""
"Eucalyptus perangusta","","",4,"m",3.3,8,"cm",0.2,0.5,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus percostata","","",10,"m",7,12,"cm",1.2,2.5,"cm",1.5,2.3,"mm",NA,NA,""
"Eucalyptus perriniana","T","",7,"m",7,16.5,"cm",1.2,5.2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus persistens subsp. persistens","T","",12,"m",5,16.5,"cm",0.7,2.3,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus persistens subsp. tardecidens","T","",10,"m",7.5,15,"cm",0.8,2.5,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus petiolaris","T","",15,"m",6.5,17.5,"cm",0.9,2.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus petraea","T","",5,"m",8,14.5,"cm",1.3,3.5,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus petrensis","","",3,"m",6,12.7,"cm",1,2.8,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus phaenophylla subsp. interjacens","","",5,"m",4.3,8,"cm",0.8,2,"cm",0.8,2,"mm",NA,NA,""
"Eucalyptus phaenophylla subsp. phaenophylla","","",5,"m",4.5,8,"cm",0.7,1.6,"cm",0.8,2,"mm",NA,NA,""
"Eucalyptus phenax subsp. compressa","S","",8,"m",6,11,"cm",1.5,3.5,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus phenax subsp. phenax","","",7,"m",5,12,"cm",0.8,2.8,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus phoenicea","T","",12,"m",6.5,14,"cm",0.9,4.5,"cm",3,5,"mm",NA,NA,""
"Eucalyptus phylacis","T","",5,"m",7.5,12.5,"cm",1.3,2.5,"cm",NA,NA,"",NA,NA,""
"Eucalyptus pilbarensis","S","",3,"m",6,14.7,"cm",0.7,2.2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus pileata","T","",6,"m",5.5,14,"cm",0.7,2.5,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus pilligaensis","T","",25,"m",7.5,13.5,"cm",0.6,1.5,"cm",0.8,1.3,"mm",NA,NA,""
"Eucalyptus pilularis","T","",70,"m",7.5,17,"cm",1.2,3.2,"cm",2,2.5,"mm",NA,NA,""
"Eucalyptus pimpiniana","","",2,"m",6.5,14,"cm",1.7,3.3,"cm",3,5,"mm",NA,NA,""
"Eucalyptus piperita subsp. piperita","T","",20,"m",7,16,"cm",1.2,3.5,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus piperita subsp. urceolaris","T","",20,"m",8,20,"cm",1.7,4.7,"cm",1.2,2.2,"mm",NA,NA,""
"Eucalyptus placita","T","",30,"m",6,12,"cm",1.5,3.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus planchoniana","T","",20,"m",8,26,"cm",1.5,3.5,"cm",2.5,5,"mm",NA,NA,""
"Eucalyptus platycorys","T","",8,"m",5,14,"cm",0.8,2.3,"cm",1.8,3.2,"mm",NA,NA,""
"Eucalyptus platydisca","","",4,"m",6.2,12.3,"cm",0.7,1.3,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus platyphylla","T","D",20,"m",5,21,"cm",3.5,12,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus platypus subsp. congregata","","",8,"m",4,8.2,"cm",1.5,3,"cm",0.7,2,"mm",NA,NA,""
"Eucalyptus platypus subsp. platypus","","",8,"m",2,6,"cm",2,6.3,"cm",0.7,2,"mm",NA,NA,""
"Eucalyptus pleurocarpa","","",5,"m",4.5,14,"cm",2.5,7,"cm",5,6,"mm",NA,NA,""
"Eucalyptus pluricaulis subsp. pluricaulis","","",5,"m",5,10.5,"cm",1,2,"cm",0.5,1.3,"mm",NA,NA,""
"Eucalyptus pluricaulis subsp. porphyrea","","",3,"m",5.5,7.5,"cm",1.5,2.5,"cm",0.5,1.3,"mm",NA,NA,""
"Eucalyptus polita","","",15,"m",7,12,"cm",0.7,1.5,"cm",0.8,2.5,"mm",NA,NA,""
"Eucalyptus polyanthemos subsp. longior","T","",25,"m",6,15.5,"cm",1.5,4.5,"cm",0.8,1.5,"mm",NA,NA,""
