genus,species,form,height,stem diameter,fruits,dispersers,min fruit length,max fruit length,min fruit width,max fruti width,min seed length,max seed length,species_name,flowering_span,fruiting_span
Phebalium,longifolium,shrub,4,NA,capsule,NA,3,7,5,7,2,2,Phebalium longifolium,111111111111,000000011111
Phebalium,squameum squameum,tree,22,0.35,cocci,NA,2,3,NA,NA,NA,NA,Phebalium squameum squameum,000000001111,110000000001
Pitaviaster,haplophyllus,tree,13,NA,drupe,NA,12,20,9,12,7,10,Pitaviaster haplophyllus,111111111111,111110111111
Sarcomelicopes,simplicifolia (simplicifolia),tree,18,0.33,drupe,White-headed Pigeon & Black-faced Cuckoo-shrike,10,15,10,15,5,7,Sarcomelicopes simplicifolia (simplicifolia),001111000000,000111111111
Zanthoxylum,brachyacanthum,tree,15,0.35,follicle,Lewin's Honeyeater,7,10,7,10,5,5,Zanthoxylum brachyacanthum,000000001110,011110000000
Zanthoxylum,nitidum,vine/shrub,NA,NA,follicle,NA,4,7,4,7,4,5,Zanthoxylum nitidum,000011110000,100000001111
Zanthoxylum,ovalifolium,tree,6,NA,follicle,NA,6,7,6,7,5,5,Zanthoxylum ovalifolium,111000000001,001111111100
Zanthoxylum,parviflorum,tree,15,NA,follicle,NA,7,7,6,6,6,6,Zanthoxylum parviflorum,000000000011,011110000000
Zanthoxylum,rhetsa,tree,20,NA,follicle,NA,6,7,6,7,6,6,Zanthoxylum rhetsa,010000000000,000110000000
Zanthoxylum,veneficum,tree,25,NA,follicle,Victoria's Riflebird,7,8,7,8,5,6,Zanthoxylum veneficum,000000000110,011100000000
Zieria,arborescens,shrub,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zieria arborescens,NA,NA
Zieria,furfuracea,shrub,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zieria furfuracea,NA,NA
Zieria,minutiflora,herb/shrub,1,NA,capsule or follicle,NA,NA,NA,NA,NA,2,2,Zieria minutiflora,111111111111,111111111111
Zieria,montana,shrub,4,NA,capsule or follicle,NA,5,5,5,5,3,3,Zieria montana,101111111111,000000111110
Zieria,robertsiorum,herb,0.4,NA,capsule or follicle,NA,3,3,1,2,2,3,Zieria robertsiorum,000000111000,100000001111
Zieria,smithii,shrub,2,NA,capsule or follicle,NA,3,3,NA,NA,3,3,Zieria smithii,000000011000,000111111000
Zieria,sp. (Brola Park),shrub?,NA,NA,capsule?,NA,NA,NA,NA,NA,NA,NA,Zieria sp. (Brola Park),NA,NA
Anthobolus,filifolius,shrub,3,NA,drupe,NA,5,9,NA,NA,NA,NA,Anthobolus filifolius,011111111100,000000001110
Dendromyza,reinwardtiana,vine,NA,NA,drupe,NA,6,8,5,5,5,5,Dendromyza reinwardtiana,000000111110,000000000011
Dendrotrophe,varians,vine,NA,NA,drupe,NA,10,15,11,13,7,11,Dendrotrophe varians,000001111000,111100000000
Exocarpos,latifolius,tree,10,0.15,drupe,"Rose-crowned Fruit-dove, White-bellied Cuckoo-shrike & Figbird",5,10,NA,NA,7,7,Exocarpos latifolius,111111100000,000001111111
Santalum,lanceolatum,tree,7,NA,drupe,NA,7,15,7,12,NA,NA,Santalum lanceolatum,111111111111,100000000001
Alectryon,connatus,tree,20,NA,thin-walled capsule,"Brown Cuckoo-dove, Black-faced Cuckoo-shrike & Lewin's Honeyeater",8,12,8,20,4,5,Alectryon connatus,111000001111,111111111111
Alectryon,coriaceus,tree,6,0.15,capsule,Green Catbird,6,6,6,6,4,6,Alectryon coriaceus,000000000001,001111100000
Alectryon,diversifolius,shrub,5,NA,capsule,NA,5,12,5,15,NA,NA,Alectryon diversifolius,110000001111,000100000000
