genus_speceis,Species.code,number,individual,Site,Rainfall,Soil.nutrient,Group,context,Diamter_of_sapwood_for_mechanical_test (mm),Estimated_bark_thickness (mm),Drymatter content,Fresh_density (g/cm3),Dry_density (g/cm3),Youngs_modulus (Mpa),Bending_strength (Mpa),"Youngs_modulus (bark, Mpa)",species_name
Lambertia formosa,LamFor,5,LamFor_5_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,3.7,0.659743,0.537878011,1.147647059,0.617294118,12684.61,97.6776,4177.274068,Lambertia formosa
Leptospermum trinervium,LepTri,1,LepTri_1_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,4.58,1.691214,0.545412703,1.051290323,0.573387097,5303.64,64.09853,2447.779202,Leptospermum trinervium
Leptospermum trinervium,LepTri,2,LepTri_2_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,4.65,1.4095824,0.588777979,1.102,0.648833333,12415.39,118.15772,2972.929163,Leptospermum trinervium
Leptospermum trinervium,LepTri,3,LepTri_3_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,4.03,0.8358884,0.611742101,1.115238095,0.682238095,7766.6,97.62918,5341.625389,Leptospermum trinervium
Leptospermum trinervium,LepTri,4,LepTri_4_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,3.82,1.0757968,0.622266935,1.146923077,0.713692308,12392.45,124.54104,3655.231291,Leptospermum trinervium
Leptospermum trinervium,LepTri,5,LepTri_5_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,4.31,1.1801048,0.569445465,1.0892,0.62024,9198.29,108.22188,2256.160895,Leptospermum trinervium
Persoonia levis,PerLev,1,PerLev_1_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,3.9,1.4175066,0.411232877,1.081481481,0.444740741,8251.9,65.28493,1154.751076,Persoonia levis
Persoonia levis,PerLev,2,PerLev_2_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,4.26,1.4828523,0.536400541,1.055714286,0.566285714,6089.2,60.51887,1672.922278,Persoonia levis
Persoonia levis,PerLev,3,PerLev_3_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,4.04,1.5201927,0.52042042,1.051578947,0.547263158,6992.95,62.53165,2724.633643,Persoonia levis
Persoonia levis,PerLev,4,PerLev_4_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,5.58,1.7255649,0.524776119,1.083823529,0.568764706,5051.77,59.69938,2489.586223,Persoonia levis
Persoonia levis,PerLev,5,PerLev_5_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,4.36,1.3801662,0.546066566,1.101666667,0.601583333,8300.04,82.75169,843.0811752,Persoonia levis
Phyllota phylicoides,PhyPhy,1,PhyPhy_1_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,5.69,0.9094736,0.610574413,1.140851064,0.696574468,12898.18,92.85121,3724.09207,Phyllota phylicoides
Phyllota phylicoides,PhyPhy,2,PhyPhy_2_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,3.85,0.740005,0.636810662,1.088,0.69285,13693.09,106.55169,3328.638952,Phyllota phylicoides
Phyllota phylicoides,PhyPhy,3,PhyPhy_3_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,3.77,0.4099872,0.61927427,1.01047619,0.625761905,12851.39,106.88961,-3303.008818,Phyllota phylicoides
Phyllota phylicoides,PhyPhy,4,PhyPhy_4_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,3.84,0.4189066,0.602559653,1.1525,0.69445,11061.63,116.4969,1218.940501,Phyllota phylicoides
Phyllota phylicoides,PhyPhy,5,PhyPhy_5_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,4.26,0.3118738,0.617738275,1.101666667,0.680541667,14476.9,99.19607,-6989.44956,Phyllota phylicoides
Acacia doratoxylon,AcaDor,1,AcaDor_1_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,4.98,0.9092556,0.66947147,1.1884375,0.795625,12361.18,134.37788,6260.301377,Acacia doratoxylon
Acacia doratoxylon,AcaDor,2,AcaDor_2_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,4.9,0.7909712,0.665158371,1.1492,0.7644,11004.95,123.11384,3296.153174,Acacia doratoxylon
Acacia doratoxylon,AcaDor,3,AcaDor_3_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,4.2,1.004793,0.65978022,1.083333333,0.714761905,13870.78,117.58233,4248.352669,Acacia doratoxylon
Acacia doratoxylon,AcaDor,4,AcaDor_4_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,3.85,1.0593858,0.697752272,1.100526316,0.767894737,12828.8,120.97778,5941.734913,Acacia doratoxylon
Acacia doratoxylon,AcaDor,5,AcaDor_5_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,4.73,1.4642824,0.734046477,1.0844,0.796,12576.72,122.69583,7537.845117,Acacia doratoxylon
Brachychiton populneus,BraPop,1,BraPop_1_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,2.77,0.7677699,0.501084599,1.024444444,0.513333333,2722.15,38.56573,694.8219379,Brachychiton populneus
Brachychiton populneus,BraPop,2,BraPop_2_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,3.03,0.304915,0.42996988,1.021538462,0.439230769,2911.54,40.37814,-817.8054644,Brachychiton populneus
Brachychiton populneus,BraPop,3,BraPop_3_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,5.44,0.972953,0.480796928,1.0415,0.50075,5516.5,105.43117,461.2272064,Brachychiton populneus
Brachychiton populneus,BraPop,4,BraPop_4_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,4.52,1.1399625,0.494720169,1.052222222,0.520555556,2732.87,29.95338,326.4777186,Brachychiton populneus
Brachychiton populneus,BraPop,5,BraPop_5_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,3.29,1.9416081,0.569148936,1.044444444,0.594444444,1505.4,30.43476,625.1568625,Brachychiton populneus
Dodonaea viscosa ssp angustissima,DodVisang,1,DodVisang_1_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,3.54,0.4345576,0.707955152,1.170625,0.82875,12392.22,129.08458,248.4044411,Dodonaea viscosa ssp. angustissima
