genus,subgenus,section,subsection,series,subseries,taxon,common_name,strategy_Nicolle,Resprouter,Epicormic,Lignotuber,distribution,observed_by_Nicolle,collected_by_Nicole,growing_at_CCA,alternate_names,Serotinous,regen_strategy
Eucalyptus,subg. Symphyomyrtus,sect. Dumaria,NA,ser. Ovulares,NA,Eucalyptus exigua,flat-budded mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Dumaria,NA,ser. Ovulares,NA,Eucalyptus comitae-vallis,Cowcowing mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,E. brachycorys,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Dumaria,NA,ser. Ovulares,NA,Eucalyptus cylindrocarpa,woodline mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(3)m,E. leioclada ms in Brooker & Kleinig 1990,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Dumaria,NA,ser. Ovulares,NA,Eucalyptus oraria,ooragmandee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(3)m,E. tamala,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Dumaria,NA,ser. Ovulares,NA,Eucalyptus baudiniana,Baudins gum,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Dumaria,NA,ser. Ovulares,NA,Eucalyptus ovularis,small-fruited mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Dumaria,NA,ser. Ovulares,NA,Eucalyptus aequioperta,Welcome Hill gum,Lignotuber resprouter,yes,no,yes,WA,O,C,G(3)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Dumaria,NA,ser. Ovulares,NA,Eucalyptus myriadena,small-fruited gum,Lignotuber resprouter,yes,no,yes,WA,O,C,G(3)m,E. myriadena subsp. parviflora,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Dumaria,NA,ser. Ovulares,NA,Eucalyptus sp. Dartmoor (Nicolle & French 5585),Dartmoor gum,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Inclusae,NA,ser. Ovulares,NA,Eucalyptus diversicolor,karri,Stem resprouter,yes,yes,no,WA,O,C,G(2)m,NA,NA,epicormic
Eucalyptus,subg. Symphyomyrtus,sect. Sejunctae (sugar gums),NA,ser. Ovulares,NA,Eucalyptus cladocalyx subsp. cladocalyx,bushy sugar gum,Stem resprouter,yes,yes,no,SA,O,C,G(1)m,E. cladocalyx var. nana,NA,epicormic
Eucalyptus,subg. Symphyomyrtus,sect. Sejunctae (sugar gums),NA,ser. Ovulares,NA,Eucalyptus cladocalyx subsp. crassa,Kangaroo Island sugar gum,Stem resprouter,yes,yes,no,SA,O,C,G(1)m,NA,NA,epicormic
Eucalyptus,subg. Symphyomyrtus,sect. Sejunctae (sugar gums),NA,ser. Ovulares,NA,Eucalyptus cladocalyx subsp. petila,Flinders Ranges sugar gum,Stem resprouter,yes,yes,no,SA,O,C,G(1)m,NA,NA,epicormic
Eucalyptus,subg. Symphyomyrtus,sect. Domesticae,NA,ser. Ovulares,NA,Eucalyptus brachyandra,tropical red box,combination resprouter,yes,yes,yes,"WA,NT",O,C,G(2),NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Domesticae,NA,ser. Ovulares,NA,Eucalyptus raveretiana,black ironbox,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Domesticae,NA,ser. Ovulares,NA,Eucalyptus howittiana,Howitts box,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Equatoria (rainbow gums),NA,ser. Ovulares,NA,Eucalyptus binacag,Mindanao gum,Obligate seeder,no,no,no,"Phil,PNG",-,-,G(1),E. multiflora,NA,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Equatoria (rainbow gums),NA,ser. Ovulares,NA,Eucalyptus deglupta,rainbow gum,Obligate seeder,no,no,no,"Indo, PNG",-,-,- (2),"E. naudiniana, E. schlechteri, E. versicolor, E. sarassa",NA,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Striolatae (tropical boxes),NA,Eucalyptus patellaris,weeping box,combination resprouter,yes,yes,yes,NT,O,C,G(1),NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Striolatae (tropical boxes),NA,Eucalyptus leptophleba,Molloy red box,combination resprouter,yes,yes,yes,"Qld,PNG",O,C,G(2),NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Striolatae (tropical boxes),NA,Eucalyptus oligantha,broad-leaved box,combination resprouter,yes,yes,yes,"NT,WA",O,C,G(4),"E. oligantha subsp. modica, E. fitzgeraldii",NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Striolatae (tropical boxes),NA,Eucalyptus koolpinensis,Koolpin box,combination resprouter,yes,yes,yes,NT,O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Striolatae (tropical boxes),NA,Eucalyptus chlorophylla,northern green box,combination resprouter,yes,yes,yes,"NT,Qld,WA",O,C,G(3)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Striolatae (tropical boxes),NA,Eucalyptus leucophylla,tropical box,combination resprouter,yes,yes,yes,"Qld,WA,NT",O,C,G(6)m,"E. limitaris, E. tephroides, E. tropica, E. sp. UU in Brooker & Kleinig 1994",NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Striolatae (tropical boxes),NA,Eucalyptus xerothermica,Pilbara box,combination resprouter,yes,yes,yes,WA,O,C,G(3)m,"E. sp. VV in Brooker & Kleinig 1994, E. sp. Mosquito Creek (Mitchell PRP1439)",NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Striolatae (tropical boxes),NA,Eucalyptus argillacea,Mount House box,combination resprouter,yes,yes,yes,WA,O,C,G(1),NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Striolatae (tropical boxes),NA,Eucalyptus pruinosa subsp. pruinosa,silver box,combination resprouter,yes,yes,yes,"WA,NT,Qld",O,C,G(2)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Striolatae (tropical boxes),NA,Eucalyptus pruinosa subsp. tenuata,silver box,combination resprouter,yes,yes,yes,"WA,NT",O,C,G(2),NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Striolatae (tropical boxes),NA,Eucalyptus obconica,Kimberley box,combination resprouter,yes,yes,yes,"WA,NT?",O,C,G(2),E. sp. B in Rye et al. 1992,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Striolatae (tropical boxes),NA,Eucalyptus microneura,Gilbert River box,combination resprouter,yes,yes,yes,Qld,O,C,G(2)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Striolatae (tropical boxes),NA,Eucalyptus distans,Katherine box,combination resprouter,yes,yes,yes,"NT,Qld",O,C,G(2)m,E. epruinata,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Striolatae (tropical boxes),NA,Eucalyptus tectifica,Darwin box,combination resprouter,yes,yes,yes,"NT,WA,Qld",O,C,G(2),E. costuligera,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Striolatae (tropical boxes),NA,Eucalyptus acroleuca,Lakefield coolibah,combination resprouter,yes,yes,yes,Qld,O,C,G(1),NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Striolatae (tropical boxes),NA,Eucalyptus microtheca,tropical coolibah,combination resprouter,yes,yes,yes,"NT,Qld,WA",O,C,G(1),"E. cyanoclada, E. helenae, E. barklyensis",NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Striolatae (tropical boxes),NA,Eucalyptus coolabah,coolibah,combination resprouter,yes,yes,yes,"Qld,NSW,SA,NT,WA",O,C,G(3)m,"E. gymnoteles, E. coolabah subsp. arida, E. coolabah subsp. excerata",NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Striolatae (tropical boxes),NA,Eucalyptus victrix,smooth-barked coolibah,combination resprouter,yes,yes,yes,"WA,NT,Qld?",O,C,G(4)m,"E. coolabah var. rhodoclada, E. sp. Marandoo (Trudgen 10362)",NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Buxeales,subser. Amissae,Eucalyptus dawsonii,slaty box,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Buxeales,subser. Amissae,Eucalyptus rummeryi,steel box,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Buxeales,subser. Amissae,Eucalyptus cambageana,Dawson gum,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Buxeales,subser. Amissae,Eucalyptus largeana,Craven grey box,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus largiflorens,"black box, river box",combination resprouter,yes,yes,yes,"Vic,NSW,SA,Qld",O,C,G(4)m,E. sp. Cockburn (Brooker & Slee 12741),NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus persistens,Greenvale box,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus provecta,NA,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus tardecidens,NA,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,E. persistens subsp. tardecidens,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus normantonensis,Normanton box,Lignotuber resprouter,yes,no,yes,"NT,Qld,WA",O,C,G(3)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus sparsa,northern ranges box,Lignotuber resprouter,yes,no,yes,"SA,WA,NT",O,C,G(2)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus populnea subsp. populnea,poplar box,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus populnea subsp. bimbil,bimbil box,combination resprouter,yes,yes,yes,"NSW,Qld",O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus brownii,Reid River box,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus behriana,bull mallee,Lignotuber resprouter,yes,no,yes,"Vic,SA,NSW",O,C,G(5)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus intertexta subsp. intertexta,gum-barked coolibah,combination resprouter,yes,yes,yes,"NSW,SA,Qld",O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus intertexta subsp. Central Australia (Nicolle 6661),gum-barked coolibah,combination resprouter,yes,yes,yes,"NT,SA,WA",O,C,G(4)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus orgadophila,mountain coolibah,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Lucasianae (western boxes),NA,Eucalyptus lansdowneana,crimson mallee,Lignotuber resprouter,yes,no,yes,SA,O,C,G(2)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Lucasianae (western boxes),NA,Eucalyptus rowleyi,Rudall River mallee box,Lignotuber resprouter,yes,no,yes,WA,O,C,G(3)m,E. sp. Rudall River (Nicolle & French 4279),NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Lucasianae (western boxes),NA,Eucalyptus aridomontana,Pilbara mallee box,Lignotuber resprouter,yes,no,yes,WA,O,C,G(3)m,"E. sp. Mt King (van Leeuwen 3605), E. sp. Mt Nameless (Nicolle 1191)",NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Lucasianae (western boxes),NA,Eucalyptus lucasii,Barlee box,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Lucasianae (western boxes),NA,Eucalyptus petraea,granite rock box,Lignotuber resprouter,yes,no,yes,WA,O,C,G(4)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Lucasianae (western boxes),NA,Eucalyptus cuprea,Moresby Range box,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Lucasianae (western boxes),NA,Eucalyptus absita,Badgingarra box,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,Possibly = E. loxophleba subsp. loxophleba x E. petraea phantom hybrid,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Subbuxeales (southern boxes),NA,Eucalyptus albens,white box,combination resprouter,yes,yes,yes,"NSW,Vic,Qld,SA",O,C,G(2)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Subbuxeales (southern boxes),NA,Eucalyptus sp. Mt Garnet (Carr 1627B et al.),NA,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Subbuxeales (southern boxes),NA,Eucalyptus moluccana,grey box,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Subbuxeales (southern boxes),NA,Eucalyptus sp. Adelaide (Nicolle 1364),NA,combination resprouter,yes,yes,yes,SA,O,C,G(1)m,"E. odorata var. refracta, E. microcarpa (Adelaide variant)",NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Subbuxeales (southern boxes),NA,Eucalyptus microcarpa,grey box,combination resprouter,yes,yes,yes,"NSW,Vic,Qld,SA",O,C,G(2)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Subbuxeales (southern boxes),NA,Eucalyptus woollsiana,narrow-leaved grey box,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(1)m,E. pilligaensis,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Subbuxeales (southern boxes),NA,Eucalyptus albopurpurea,purple-flowered mallee,Lignotuber resprouter,yes,no,yes,SA,O,C,G(3)m,E. lansdowneana subsp. albopurpurea,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Subbuxeales (southern boxes),NA,Eucalyptus polybractea,blue mallee,Lignotuber resprouter,yes,no,yes,"Vic,SA,NSW",O,C,G(2)m,"E. filiformis, E. sp. Y in Brooker & Kleinig 1990, E. illucens ms, E. sp. Flinders Ranges (Nicolle 562)",NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Subbuxeales (southern boxes),NA,Eucalyptus odorata,peppermint box,combination resprouter,yes,yes,yes,"SA,Vic",O,C,G(5)m,"E. silvestris, E. odorata var. angustifolia, E. wimmerensis subsp. pallida, E. wimmerensis subsp. Grata",NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Subbuxeales (southern boxes),NA,Eucalyptus cajuputea,narrow-leaved peppermint box,Lignotuber resprouter,yes,no,yes,SA,O,C,G(3)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Subbuxeales (southern boxes),NA,?Eucalyptus wimmerensis,Wimmera mallee box,Lignotuber resprouter,yes,no,yes,"Vic,SA",O,C,G(1)m,"Dubious species (possibly = E. cajuputea), E. viridis subsp. Wimmerensis, E. viridis subsp. arapilensis, E. viridis subsp. parviformis, E. polybractea subsp. Subcerea",NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Subbuxeales (southern boxes),NA,?Eucalyptus aenea,narrow-leaved mallee box,Lignotuber resprouter,yes,no,yes,NSW,O,C,G(2)m,Dubious species (possibly = E. wimmerensis),NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Subbuxeales (southern boxes),NA,Eucalyptus viridis,green mallee,Stem resprouter,yes,yes,no,"NSW,Vic,Qld",O,C,G(2)m,NA,NA,epicormic
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Subbuxeales (southern boxes),NA,Eucalyptus froggattii,Kamarooka mallee,Lignotuber resprouter,yes,no,yes,Vic,O,C,G(2)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Subbuxeales (southern boxes),NA,Eucalyptus thozetiana,"Thozets box, mountain yapunyah",combination resprouter,yes,yes,yes,"Qld,NT",O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Subbuxeales (southern boxes),NA,Eucalyptus ochrophloia,yapunyah,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(1),NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Subbuxeales (southern boxes),NA,Eucalyptus x castrensis,Pokolbin mallee box,Lignotuber resprouter,yes,no,yes,NSW,O,C,G(1)m,E. aenea x E. microcarpa hybrid (type material only1),NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Subbuxeales (southern boxes),NA,Eucalyptus x desquamata ms,Devils Peak box,Lignotuber resprouter,yes,no,yes,SA,O,C,G(1)m,E. cajuputea x E. percostata hybrid,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Subbuxeales (southern boxes),NA,Eucalyptus x hawkeri,NA,Lignotuber resprouter,yes,no,yes,Vic,O,C,G(1),E. microcarpa - E. wimmerensis intergrade,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Subbuxeales (southern boxes),NA,Eucalyptus x viridis var. latiuscula,NA,Lignotuber resprouter,yes,no,yes,Qld,O,C,G(1)m,E. viridis x E. woollsiana hybrid,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Subbuxeales (southern boxes),NA,Eucalyptus x walshii,NA,Lignotuber resprouter,yes,no,yes,Vic,O,C,G(1),E. wimmerensis x E. microcarpa hybrid,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Subbuxeales (southern boxes),NA,Eucalyptus x yarriambiack,NA,combination resprouter,yes,yes,yes,Vic,O,C,G(1),E. largiflorens x E. odorata hybrid (type material only[2]),NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Submelliodorae,NA,Eucalyptus argophloia,western white gum,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Siderophloiae,NA,Eucalyptus beaniana,Beans ironbark,combination resprouter,yes,yes,yes,Qld,O,C,G(1),NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Siderophloiae,NA,Eucalyptus decorticans,gum-topped ironbark,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Siderophloiae,NA,Eucalyptus granitica,granite ironbark,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,"E. sp. Forty Mile Scrub (Blaxell 89/118 et al.), E. sp. Kuranda (Webb 13456 et al.)",NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Siderophloiae,NA,Eucalyptus siderophloia,coast ironbark,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(1)m,E. decepta,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Siderophloiae,NA,Eucalyptus fibrosa,broad-leaved ironbark,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(2)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Siderophloiae,NA,Eucalyptus nubilis,blue-leaved ironbark,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(1)m,E. fibrosa subsp. nubila,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Siderophloiae,NA,Eucalyptus rhombica,NA,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Siderophloiae,NA,Eucalyptus ophitica,serpentine ironbark,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Siderophloiae,NA,?Eucalyptus fracta,Broken Back ironbark,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m,Dubious species (possibly = E. ophitica),NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Siderophloiae,NA,?Eucalyptus tholiformis,NA,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,"Dubious species (possibly = E. ophitica), E. sp. Rewan (Kerswell 1)",NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Siderophloiae,NA,Eucalyptus taurina,Helidon ironbark,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Siderophloiae,NA,?Eucalyptus elegans,NA,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(1)m,"Dubious species (possibly = E. crebra), E. sp. Chinchilla (Pedley 4022), E. sp. Gilgandra (Carr 352 et al.), E. sp. Inglewood (Grimshaw PG846 et al.)",NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Siderophloiae,NA,Eucalyptus crebra,narrow-leaved red ironbark,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(3),"E. sp. Battle Camp (Hill 1089 et al.), E. sp. Beerburrum (Bean 11657), E. sp. Boynedale (Brooker 9767), E. sp. Caldervale (Jermyn AQ582304), E. sp. Clermont (Bean 508), E. sp. Gregory Springs (Bean 1074), E. sp. Irvinebank (Pedley 1921), E. sp. Jimboomba (Bean 7772), E. sp. Mt Surprise (Brooker 3409), E. sp. Mutchilba (Hyland 5060), E. sp. Pentland (Brooker 8968), E. sp. Rossmoya (Speck 1757), E. sp. Scartwater (Pedley X6404), E. sp. Stannary Hills (Althofer 402), E. sp. St Lawrence (Speck 1745), E. sp. Texas (Sparhott KMS488 et al.)",NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Siderophloiae,NA,?Eucalyptus beyeri,Beyers ironbark,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m,"Dubious species (possibly = E. crebra), E. beyeriana, E. panda subsp. illaquens",NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),NA,ser. Siderophloiae,NA,Eucalyptus panda,tumbletown ironbark,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(3)m,NA,NA,epicormic lignotuber
