genus,subgenus,section,subsection,series,subseries,taxon,common_name,strategy_Nicolle,Resprouter,Epicormic,Lignotuber,distribution,observed_by_Nicolle,collected_by_Nicole,growing_at_CCA,alternate_names
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Striolatae (tropical boxes),,Eucalyptus patellaris ,weeping box,combination resprouter,yes,yes,yes,NT,O,C,G(1) ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Striolatae (tropical boxes),,Eucalyptus leptophleba ,Molloy red box,combination resprouter,yes,yes,yes,"Qld,PNG",O,C,G(2) ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Striolatae (tropical boxes),,Eucalyptus oligantha ,broad-leaved box,combination resprouter,yes,yes,yes,"NT,WA",O,C,G(4) ,"E. oligantha subsp. modica, E. fitzgeraldii"
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Striolatae (tropical boxes),,Eucalyptus koolpinensis ,Koolpin box,combination resprouter,yes,yes,yes,NT,O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Striolatae (tropical boxes),,Eucalyptus chlorophylla ,northern green box,combination resprouter,yes,yes,yes,"NT,Qld,WA",O,C,G(3)m,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Striolatae (tropical boxes),,Eucalyptus leucophylla ,tropical box,combination resprouter,yes,yes,yes,"Qld,WA,NT",O,C,G(6)m ,"E. limitaris, E. tephroides, E. tropica, E. sp. UU in Brooker & Kleinig 1994"
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Striolatae (tropical boxes),,Eucalyptus xerothermica ,Pilbara box,combination resprouter,yes,yes,yes,WA,O,C,G(3)m ,"E. sp. VV in Brooker & Kleinig 1994, E. sp. Mosquito Creek (Mitchell PRP1439) "
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Striolatae (tropical boxes),,Eucalyptus argillacea ,Mount House box,combination resprouter,yes,yes,yes,WA,O,C,G(1) ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Striolatae (tropical boxes),,Eucalyptus pruinosa subsp. pruinosa ,silver box,combination resprouter,yes,yes,yes,"WA,NT,Qld",O,C,G(2)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Striolatae (tropical boxes),,Eucalyptus pruinosa subsp. tenuata ,silver box,combination resprouter,yes,yes,yes,"WA,NT",O,C,G(2),
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Striolatae (tropical boxes),,Eucalyptus obconica ,Kimberley box,combination resprouter,yes,yes,yes,"WA,NT?",O,C,G(2) ,E. sp. B in Rye et al. 1992
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Striolatae (tropical boxes),,Eucalyptus microneura ,Gilbert River box,combination resprouter,yes,yes,yes,Qld,O,C,G(2)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Striolatae (tropical boxes),,Eucalyptus distans ,Katherine box,combination resprouter,yes,yes,yes,"NT,Qld",O,C,G(2)m ,E. epruinata 
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Striolatae (tropical boxes),,Eucalyptus tectifica ,Darwin box,combination resprouter,yes,yes,yes,"NT,WA,Qld",O,C,G(2) ,E. costuligera 
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Striolatae (tropical boxes),,Eucalyptus acroleuca ,Lakefield coolibah,combination resprouter,yes,yes,yes,Qld,O,C,G(1),
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Striolatae (tropical boxes),,Eucalyptus microtheca ,tropical coolibah,combination resprouter,yes,yes,yes,"NT,Qld,WA",O,C,G(1) ,"E. cyanoclada, E. helenae, E. barklyensis"
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Striolatae (tropical boxes),,Eucalyptus coolabah ,coolibah,combination resprouter,yes,yes,yes,"Qld,NSW,SA,NT,WA",O,C,G(3)m ,"E. gymnoteles, E. coolabah subsp. arida, E. coolabah subsp. excerata "
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Striolatae (tropical boxes),,Eucalyptus victrix ,smooth-barked coolibah,combination resprouter,yes,yes,yes,"WA,NT,Qld?",O,C,G(4)m,"E. coolabah var. rhodoclada, E. sp. Marandoo (Trudgen 10362)"
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Buxeales,subser. Amissae,Eucalyptus dawsonii ,slaty box,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Buxeales,subser. Amissae,Eucalyptus rummeryi ,steel box,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Buxeales,subser. Amissae,Eucalyptus cambageana ,Dawson gum,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Buxeales,subser. Amissae,Eucalyptus largeana ,Craven grey box,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus largiflorens,"black box, river box",combination resprouter,yes,yes,yes,"Vic,NSW,SA,Qld",O,C,G(4)m ,E. sp. Cockburn (Brooker & Slee 12741)
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus persistens ,Greenvale box ,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus provecta,,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus tardecidens,,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m ,E. persistens subsp. tardecidens 
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus normantonensis ,Normanton box,Lignotuber resprouter,yes,no,yes,"NT,Qld,WA",O,C,G(3)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus sparsa ,northern ranges box,Lignotuber resprouter,yes,no,yes,"SA,WA,NT",O,C,G(2)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus populnea subsp. populnea ,poplar box,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus populnea subsp. bimbil ,bimbil box,combination resprouter,yes,yes,yes,"NSW,Qld",O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus brownii ,Reid River box,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus behriana ,bull mallee,Lignotuber resprouter,yes,no,yes,"Vic,SA,NSW",O,C,G(5)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus intertexta subsp. intertexta ,gum-barked coolibah,combination resprouter,yes,yes,yes,"NSW,SA,Qld",O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus intertexta subsp. Central Australia (Nicolle 6661),gum-barked coolibah,combination resprouter,yes,yes,yes,"NT,SA,WA",O,C,G(4)m,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Buxeales,subser. Subplatyphyllae,Eucalyptus orgadophila ,mountain coolibah,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Lucasianae (western boxes),,Eucalyptus lansdowneana ,crimson mallee,Lignotuber resprouter,yes,no,yes,SA,O,C,G(2)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Lucasianae (western boxes),,Eucalyptus rowleyi ,Rudall River mallee box,Lignotuber resprouter,yes,no,yes,WA,O,C,G(3)m ,E. sp. Rudall River (Nicolle & French 4279)
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Lucasianae (western boxes),,Eucalyptus aridomontana ,Pilbara mallee box,Lignotuber resprouter,yes,no,yes,WA,O,C,G(3)m,"E. sp. Mt King (van Leeuwen 3605), E. sp. Mt Nameless (Nicolle 1191)"
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Lucasianae (western boxes),,Eucalyptus lucasii ,Barlee box,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Lucasianae (western boxes),,Eucalyptus petraea ,granite rock box,Lignotuber resprouter,yes,no,yes,WA,O,C,G(4)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Lucasianae (western boxes),,Eucalyptus cuprea ,Moresby Range box,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Lucasianae (western boxes),,Eucalyptus absita ,Badgingarra box,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,Possibly = E. loxophleba subsp. loxophleba x E. petraea phantom hybrid
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Subbuxeales (southern boxes),,Eucalyptus albens ,white box,combination resprouter,yes,yes,yes,"NSW,Vic,Qld,SA",O,C,G(2)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Subbuxeales (southern boxes),,Eucalyptus sp. Mt Garnet (Carr 1627B et al.),,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Subbuxeales (southern boxes),,Eucalyptus moluccana ,grey box,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Subbuxeales (southern boxes),,Eucalyptus sp. Adelaide (Nicolle 1364),,combination resprouter,yes,yes,yes,SA,O,C,G(1)m ,"E. odorata var. refracta, E. microcarpa (Adelaide variant)"
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Subbuxeales (southern boxes),,Eucalyptus microcarpa ,grey box,combination resprouter,yes,yes,yes,"NSW,Vic,Qld,SA",O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Subbuxeales (southern boxes),,Eucalyptus woollsiana ,narrow-leaved grey box,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(1)m ,E. pilligaensis
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Subbuxeales (southern boxes),,Eucalyptus albopurpurea ,purple-flowered mallee,Lignotuber resprouter,yes,no,yes,SA,O,C,G(3)m ,E. lansdowneana subsp. albopurpurea 
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Subbuxeales (southern boxes),,Eucalyptus polybractea ,blue mallee,Lignotuber resprouter,yes,no,yes,"Vic,SA,NSW",O,C,G(2)m ,"E. filiformis, E. sp. Y in Brooker & Kleinig 1990, E. illucens ms, E. sp. Flinders Ranges (Nicolle 562)"
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Subbuxeales (southern boxes),,Eucalyptus odorata ,peppermint box,combination resprouter,yes,yes,yes,"SA,Vic",O,C,G(5)m ,"E. silvestris, E. odorata var. angustifolia, E. wimmerensis subsp. pallida, E. wimmerensis subsp. Grata"
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Subbuxeales (southern boxes),,Eucalyptus cajuputea ,narrow-leaved peppermint box,Lignotuber resprouter,yes,no,yes,SA,O,C,G(3)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Subbuxeales (southern boxes),,?Eucalyptus wimmerensis ,Wimmera mallee box,Lignotuber resprouter,yes,no,yes,"Vic,SA",O,C,G(1)m ,"Dubious species (possibly = E. cajuputea), E. viridis subsp. Wimmerensis, E. viridis subsp. arapilensis, E. viridis subsp. parviformis, E. polybractea subsp. Subcerea"
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Subbuxeales (southern boxes),,?Eucalyptus aenea ,narrow-leaved mallee box,Lignotuber resprouter,yes,no,yes,NSW,O,C,G(2)m ,Dubious species (possibly = E. wimmerensis)
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Subbuxeales (southern boxes),,Eucalyptus viridis ,green mallee,Stem resprouter ,yes,yes,no,"NSW,Vic,Qld",O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Subbuxeales (southern boxes),,Eucalyptus froggattii ,Kamarooka mallee,Lignotuber resprouter,yes,no,yes,Vic,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Subbuxeales (southern boxes),,Eucalyptus thozetiana,"Thozets box, mountain yapunyah",combination resprouter,yes,yes,yes,"Qld,NT",O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Subbuxeales (southern boxes),,Eucalyptus ochrophloia ,yapunyah,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(1) ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Subbuxeales (southern boxes),,[Eucalyptus x castrensis],Pokolbin mallee box,Lignotuber resprouter,yes,no,yes,NSW,O,C,G(1)m,E. aenea x E. microcarpa hybrid (type material only[1]) 
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Subbuxeales (southern boxes),,[Eucalyptus x desquamata ms],Devils Peak box,Lignotuber resprouter,yes,no,yes,SA,O,C,G(1)m,E. cajuputea x E. percostata hybrid
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Subbuxeales (southern boxes),,[Eucalyptus x hawkeri],,Lignotuber resprouter,yes,no,yes,Vic,O,C,G(1),E. microcarpa - E. wimmerensis intergrade
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Subbuxeales (southern boxes),,[Eucalyptus x viridis var. latiuscula],,Lignotuber resprouter,yes,no,yes,Qld,O,C,G(1)m,E. viridis x E. woollsiana hybrid
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Subbuxeales (southern boxes),,[Eucalyptus x walshii],,Lignotuber resprouter,yes,no,yes,Vic,O,C,G(1),E. wimmerensis x E. microcarpa hybrid
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Subbuxeales (southern boxes),,[Eucalyptus x yarriambiack],,combination resprouter,yes,yes,yes,Vic,O,C,G(1),E. largiflorens x E. odorata hybrid (type material only[2])
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Submelliodorae,,Eucalyptus argophloia ,western white gum,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus beaniana ,Beans ironbark,combination resprouter,yes,yes,yes,Qld,O,C,G(1) ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus decorticans ,gum-topped ironbark,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus granitica ,granite ironbark,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m ,"E. sp. Forty Mile Scrub (Blaxell 89/118 et al.), E. sp. Kuranda (Webb 13456 et al.)"
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus siderophloia ,coast ironbark,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(1)m ,E. decepta
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus fibrosa ,broad-leaved ironbark,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(2)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus nubilis ,blue-leaved ironbark,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(1)m ,E. fibrosa subsp. nubila 
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus rhombica,,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus ophitica ,serpentine ironbark,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,?Eucalyptus fracta ,Broken Back ironbark,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m ,Dubious species (possibly = E. ophitica)
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,?Eucalyptus tholiformis,,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m ,"Dubious species (possibly = E. ophitica), E. sp. Rewan (Kerswell 1)"
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus taurina ,Helidon ironbark,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,?Eucalyptus elegans,,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(1)m ,"Dubious species (possibly = E. crebra), E. sp. Chinchilla (Pedley 4022), E. sp. Gilgandra (Carr 352 et al.), E. sp. Inglewood (Grimshaw PG846 et al.)"
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus crebra ,narrow-leaved red ironbark,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(3) ,"E. sp. Battle Camp (Hill 1089 et al.), E. sp. Beerburrum (Bean 11657), E. sp. Boynedale (Brooker 9767), E. sp. Caldervale (Jermyn AQ582304), E. sp. Clermont (Bean 508), E. sp. Gregory Springs (Bean 1074), E. sp. Irvinebank (Pedley 1921), E. sp. Jimboomba (Bean 7772), E. sp. Mt Surprise (Brooker 3409), E. sp. Mutchilba (Hyland 5060), E. sp. Pentland (Brooker 8968), E. sp. Rossmoya (Speck 1757), E. sp. Scartwater (Pedley X6404), E. sp. Stannary Hills (Althofer 402), E. sp. St Lawrence (Speck 1745), E. sp. Texas (Sparhott KMS488 et al.)"
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,?Eucalyptus beyeri ,Beyers ironbark,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m ,"Dubious species (possibly = E. crebra), E. beyeriana, E. panda subsp. illaquens "
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus panda ,tumbletown ironbark,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(3)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus virens ,shiny-leaved ironbark,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus scopulorum ,Peregrine Point ironbark,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus atrata ,Herberton ironbark,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m , 
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,?Eucalyptus paedoglauca ,Mount Stuart ironbark,combination resprouter,yes,yes,yes,Qld,O,C,G(2) ,Dubious species (possibly = E. atrata)
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus drepanophylla ,Queensland grey ironbark,combination resprouter,yes,yes,yes,Qld,O,C,G(6)m ,E. xanthoclada
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus quadricostata ,square-fruited ironbark,combination resprouter,yes,yes,yes,Qld,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,?Eucalyptus farinosa ,silver ironbark,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,Dubious species (possibly = E. caleyi subsp. ovendenii)
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus caleyi subsp. ovendenii ,Ovendens ironbark,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus caleyi subsp. caleyi,"drooping ironbark, Caleys ironbark",combination resprouter,yes,yes,yes,"NSW,Qld",O,C,G(2)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus exilipes ,fine-leaved ironbark,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus cullenii ,Cullens ironbark,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus staigeriana ,lemon-scented ironbark,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus jensenii ,Wandi ironbark,combination resprouter,yes,yes,yes,"WA,NT",O,C,G(1) ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus whitei ,Whites ironbark,combination resprouter,yes,yes,yes,Qld,O,C,G(2)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus melanophloia subsp. melanophloia ,silver-leaved ironbark,combination resprouter,yes,yes,yes,"Qld,NSW",O,C,G(3)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus melanophloia subsp. nana ,dwarf silver-leaved ironbark,combination resprouter,yes,yes,yes,"NT,Qld",O,C,G(4)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Siderophloiae,,Eucalyptus shirleyi ,Shirleys silver-leaved ironbark,combination resprouter,yes,yes,yes,Qld,O,C,G(4)m ,E. sp. Mt Hope Homestead (Thompson BUC175)
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Rhodoxyla,subser. Discolores ,Eucalyptus dorsiventralis ms ,Putty ironbark,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m ,E. fergusonii subsp. dorsiventralis 
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Rhodoxyla,subser. Discolores ,Eucalyptus paniculata ,grey ironbark,combination resprouter,yes,yes,yes,NSW,O,C,G(3)m ,"E. placita, E. paniculata subsp. matutina"
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Rhodoxyla,subser. Discolores ,?Eucalyptus fergusonii ,grey ironbark ,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m ,Dubious species (possibly = E. paniculata)
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Rhodoxyla,subser. Discolores ,?Eucalyptus ancophila ,grey ironbark,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m ,Dubious species (possibly = E. paniculata)
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Rhodoxyla,subser. Discolores ,Eucalyptus decolor,,combination resprouter,yes,yes,yes,Qld,O,C,G(2)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Rhodoxyla,subser. Concolores ,Eucalyptus tetrapleura ,square-fruited ironbark,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Rhodoxyla,subser. Concolores ,Eucalyptus fusiformis ,Nambucca ironbark,combination resprouter,yes,yes,yes,"NSW,Qld",O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Rhodoxyla,subser. Concolores ,Eucalyptus sicilifolia ,Minerva Hills ironbark,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Rhodoxyla,subser. Concolores ,Eucalyptus suffulgens,,combination resprouter,yes,yes,yes,Qld,O,C,G(2)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Rhodoxyla,subser. Concolores ,Eucalyptus dura ,ironbark,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m ,
Eucalyptus,subg. Symphyomyrtus,sect. Adnataria (boxes & ironbarks),,ser. Rhodoxyla,subser. Concolores ,Eucalyptus melanoleuca ,Nanango ironbark,combination resprouter,yes,yes,yes,Qld,O,C,G(2)m ,
