Taxon,Vegetative persistence,Propagule persistence,Eco Source,Fire Response Adult,Resprout Type,Seed Bank,stem buds
Hakea,NA,NA,NA,NA,NA,NA,NA
Hakea arborescens R.Br.,NA,NA,"KNP plots, Nitmiluk plots",Faculative resprouter,NA,NA,NA
Hakea chordophylla F.Muell.,NA,NA,Latz 2004,Faculative resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Hakea divaricata L.A.S.Johnson,NA,NA,Latz 2004,Faculative resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Hakea eyreana (S.Moore) McGill.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Hakea grammatophylla (F.Muell.) F.Muell.,NA,NA,"Albrecht 2004, Brock 2004, Brennan 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Hakea leucoptera R.Br.,NA,NA,NA,NA,NA,NA,NA
Hakea leucoptera R.Br. subsp. leucoptera,NA,NA,Latz 2004,"Seeder, Faculative resprouter",Root suckers or rhizomes,NA,NA
Hakea lorea (R.Br.) R.Br.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Hakea lorea (R.Br.) R.Br. subsp. borealis W.R.Barker,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Hakea lorea (R.Br.) R.Br. subsp. lorea,NA,NA,KNP plots,Resprouter,Epicormic shoots,NA,NA
Hakea macrocarpa A.Cunn. ex R.Br.,NA,NA,"Latz 2004, Liddle 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Hakea minyma Maconochie,NA,NA,"Albrecht 2004, Brennan 2004",Resprouter,NA,NA,NA
Hakea rhombales F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",Resprouter,NA,NA,NA
Hakea standleyensis Maconochie,NA,NA,"Latz 2004, Liddle 2004",NA,NA,NA,NA
Helicia,NA,NA,NA,NA,NA,NA,NA
Helicia australasica F.Muell.,NA,NA,"JRS 2004, Liddle 2004",Faculative resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Persoonia,NA,NA,NA,NA,NA,NA,NA
Persoonia falcata R.Br.,NA,NA,"KNP plots, Nitmiluk plots",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Stenocarpus,NA,NA,NA,NA,NA,NA,NA
Stenocarpus acacioides F.Muell.,NA,NA,Yates 2003,Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Stenocarpus cunninghamii R.Br.,NA,NA,"Yates 2003, JRS 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Stenocarpus verticis Foreman,NA,NA,"KNP plots, JRS 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
PSILOTACEAE,NA,NA,NA,NA,NA,NA,NA
Psilotum,NA,NA,NA,NA,NA,NA,NA
Psilotum nudum (L.) Griseb.,NA,NA,JRS 2004,Seeder,None,Dispersal reliant,NA
PTERIDACEAE,NA,NA,NA,NA,NA,NA,NA
Acrostichum,NA,NA,NA,NA,NA,NA,NA
Acrostichum aureum L.,NA,NA,"JRS 2004, Liddle 2004",Faculative resprouter,Root suckers or rhizomes,NA,NA
Acrostichum speciosum Willd.,NA,NA,JRS 2004,Faculative resprouter,Root suckers or rhizomes,NA,NA
Adiantum,NA,NA,NA,NA,NA,NA,NA
Adiantum atroviride Bostock,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Latz 2004, Albrecht 2004, Liddle 2004",NA,NA,NA,NA
Adiantum diaphanum Blume,NA,NA,NA,NA,NA,NA,NA
Adiantum hispidulum Sw.,NA,NA,NA,NA,NA,NA,NA
Adiantum hispidulum Sw. var. hispidulum,NA,NA,"Yates 2003, JRS 2004, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Adiantum philippense L.,NA,NA,JRS 2004,Seeder,Basal stem buds (includes lignotuber and basal stem),NA,NA
Ceratopteris,NA,NA,NA,NA,NA,NA,NA
Ceratopteris thalictroides (L.) Brongn.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Cheilanthes,NA,NA,NA,NA,NA,NA,NA
Cheilanthes brownii (Kuhn) Domin,NA,NA,"Yates 2003, Albrecht 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Cheilanthes caudata R.Br.,NA,NA,KNP plots,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Cheilanthes contigua Baker,NA,NA,NA,NA,NA,NA,NA
Cheilanthes fragillima F.Muell.,NA,NA,"KNP plots, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
NA,NA,NA,Latz 2004,"Seeder, Resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA
Cheilanthes nitida (R.Br.) P.S.Green,NA,NA,KNP plots,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Cheilanthes nudiuscula (R.Br.) T.Moore,NA,NA,NA,NA,NA,NA,NA
Cheilanthes praetermissa D.L.Jones,NA,NA,"KNP plots, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Cheilanthes pumilio (R.Br.) F.Muell.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Cheilanthes sieberi Kunze,NA,NA,NA,NA,NA,NA,NA
Cheilanthes sieberi Kunze subsp. pseudovellea H.M.Quirk & T.C.Chambers,NA,NA,"Albrecht 2004, Brennan 2004",Resprouter,NA,NA,NA
Cheilanthes sieberi Kunze subsp. sieberi,NA,NA,"Albrecht 2004, Brennan 2004",Resprouter,NA,NA,NA
Cheilanthes tenuifolia (Burm.f.) Sw.,NA,NA,Yates 2003,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Doryopteris,NA,NA,NA,NA,NA,NA,NA
Doryopteris concolor (Langsd. & Fisch.) Kuhn,NA,NA,JRS 2004,NA,NA,NA,NA
Paraceterach,NA,NA,NA,NA,NA,NA,NA
Paraceterach muelleri (Hook.) Copel.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Paraceterach reynoldsii (F.Muell.) Tindale,NA,NA,JRS 2004,Seeder,None,Dispersal reliant,NA
Pityrogramma,NA,NA,NA,NA,NA,NA,NA
Pityrogramma calomelanos (L.) Link,NA,NA,NA,NA,NA,NA,NA
Pityrogramma calomelanos (L.) Link var. calomelanos,NA,NA,NA,NA,NA,NA,NA
Platyzoma,NA,NA,NA,NA,NA,NA,NA
Platyzoma microphyllum R.Br.,NA,NA,Yates 2003,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Pteris,NA,NA,NA,NA,NA,NA,NA
Pteris comans G.Forst.,NA,NA,NA,NA,NA,NA,NA
Pteris tremula R.Br.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Pteris vittata L.,NA,NA,NA,NA,NA,NA,NA
Taenitis,NA,NA,NA,NA,NA,NA,NA
Taenitis blechnoides (Willd.) Sw.,NA,NA,JRS 2004,Seeder,None,Dispersal reliant,NA
Taenitis pinnata (J.Sm.) Houtt.,NA,NA,JRS 2004,Seeder,None,Dispersal reliant,NA
Vittaria,NA,NA,NA,NA,NA,NA,NA
Vittaria ensiformis Sw.,NA,NA,JRS 2004,Seeder,None,Dispersal reliant,NA
PUTRANJIVACEAE,NA,NA,NA,NA,NA,NA,NA
Drypetes,NA,NA,NA,NA,NA,NA,NA
Drypetes deplanchei (Brongn. & Griseb.) Merr.,NA,NA,"KNP plots, JRS 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
RANUNCULACEAE,NA,NA,NA,NA,NA,NA,NA
Clematis,NA,NA,NA,NA,NA,NA,NA
Clematis decipiens H.Eichler ex Jeanes,NA,NA,NA,NA,NA,NA,NA
Clematis pickeringii A.Gray,NA,NA,"KNP plots, JRS 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
RESTIONACEAE,NA,NA,NA,NA,NA,NA,NA
Dapsilanthus,NA,NA,NA,NA,NA,NA,NA
Dapsilanthus elatior (R.Br.) B.G.Briggs & L.A.S.Johnson,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Dapsilanthus ramosus (R.Br.) B.G.Briggs & L.A.S.Johnson,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Dapsilanthus spathaceus (R.Br.) B.G.Briggs & L.A.S.Johnson,NA,NA,"KNP plots, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
RHAMNACEAE,NA,NA,NA,NA,NA,NA,NA
Alphitonia,NA,NA,NA,NA,NA,NA,NA
Alphitonia excelsa (A.Cunn. ex Fenzl) Reissek ex Benth.,NA,NA,"Yates 2003, JRS 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Alphitonia oblata A.R.Bean,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Alphitonia pomaderroides (Fenzl) A.R.Bean,NA,NA,NA,NA,NA,NA,NA
Colubrina,NA,NA,NA,NA,NA,NA,NA
Colubrina asiatica (L.) Brongn.,NA,NA,"JRS 2004, Liddle 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Cryptandra,NA,NA,NA,NA,NA,NA,NA
Cryptandra gemmata A.R.Bean,NA,NA,NA,NA,NA,NA,NA
Cryptandra triplex K.R.Thiele ex Kellermann,NA,NA,NA,NA,NA,NA,NA
Emmenosperma,NA,NA,NA,NA,NA,NA,NA
Emmenosperma cunninghamii Benth.,NA,NA,JRS 2004,Faculative resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Stenanthemum,NA,NA,NA,NA,NA,NA,NA
Stenanthemum centrale K.Thiele,NA,NA,Brennan 2004,NA,NA,NA,NA
Stenanthemum petraeum Rye,NA,NA,"Brock 2004, Brennan 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Ventilago,NA,NA,NA,NA,NA,NA,NA
Ventilago viminalis Hook.,NA,NA,"Yates 2003, JRS 2004, Latz 2004","Resprouter, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Ziziphus,NA,NA,NA,NA,NA,NA,NA
Ziziphus mauritiana Lam.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Ziziphus oenopolia (L.) Mill.,NA,NA,"Yates 2003, JRS 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Ziziphus quadrilocularis F.Muell.,NA,NA,"Yates 2003, JRS 2004, Liddle 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
RHIZOPHORACEAE,NA,NA,NA,NA,NA,NA,NA
Bruguiera,NA,NA,NA,NA,NA,NA,NA
Bruguiera exaristata Ding Hou,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Bruguiera gymnorhiza (L.) Savigny,NA,NA,NA,NA,NA,NA,NA
Bruguiera parviflora (Roxb.) Wight & Arn. ex Griff.,NA,NA,NA,NA,NA,NA,NA
Bruguiera sexangula (Lour.) Poir.,NA,NA,NA,NA,NA,NA,NA
Bruguiera x rhynchopetala (W.C.Ko) N.C.Duke & X.J.Ge,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Carallia,NA,NA,NA,NA,NA,NA,NA
Carallia brachiata (Lour.) Merr.,NA,NA,"Yates 2003, JRS 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Ceriops,NA,NA,NA,NA,NA,NA,NA
"Ceriops australis (C.T.White) Ballment, T.J.Sm. & J.A.Stoddart",NA,NA,NA,NA,NA,NA,NA
Ceriops pseudodecandra Sheue et al.,NA,NA,NA,NA,NA,NA,NA
Ceriops tagal (Perr.) C.B.Rob.,NA,NA,NA,NA,NA,NA,NA
Rhizophora,NA,NA,NA,NA,NA,NA,NA
Rhizophora apiculata Blume,NA,NA,NA,NA,NA,NA,NA
Rhizophora lamarckii Montrouz.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Rhizophora stylosa Griff.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
RUBIACEAE,NA,NA,NA,NA,NA,NA,NA
Aidia,NA,NA,NA,NA,NA,NA,NA
Aidia racemosa (Cav.) Tirveng.,NA,NA,"Yates 2003, JRS 2004",Resprouter,Epicormic shoots,NA,NA
Coelospermum,NA,NA,NA,NA,NA,NA,NA
Coelospermum reticulatum (F.Muell.) Benth.,NA,NA,"KNP plots, Nitmiluk plots, JRS 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Cyclophyllum,NA,NA,NA,NA,NA,NA,NA
Cyclophyllum schultzii (O.Schwarz) S.T.Reynolds,NA,NA,NA,NA,NA,NA,NA
Cyclophyllum schultzii (O.Schwarz) S.T.Reynolds f. angustifolium S.T.Reynolds,NA,NA,I.D.Cowie,NA,NA,NA,NA
Cyclophyllum schultzii (O.Schwarz) S.T.Reynolds f. schultzii,NA,NA,NA,NA,NA,NA,NA
Dentella,NA,NA,NA,NA,NA,NA,NA
"Dentella arnhemensis Halford, ined",NA,NA,NA,NA,NA,NA,NA
Dentella asperata Airy Shaw,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Dentella browniana Domin,NA,NA,NA,NA,NA,NA,NA
Dentella dioeca Airy Shaw,NA,NA,NA,NA,NA,NA,NA
Dentella minutissima C.T.White & W.D.Francis,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Dentella pulvinata Airy Shaw,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Dentella repens J.R.Forst. & G.Forst.,NA,NA,NA,NA,NA,NA,NA
Gardenia,NA,NA,NA,NA,NA,NA,NA
Gardenia dacryoides A.Cunn. ex Puttock,NA,NA,NA,NA,NA,NA,NA
Gardenia ewartii Puttock,NA,NA,NA,NA,NA,NA,NA
Gardenia ewartii Puttock subsp. ewartii,NA,NA,NA,NA,NA,NA,NA
Gardenia faucicola Puttock,NA,NA,"KNP plots, Nitmiluk plots",Resprouter,Epicormic shoots,NA,NA
Gardenia fucata R.Br. ex Benth.,NA,NA,"KNP plots, Nitmiluk plots",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Gardenia jabiluka Puttock,NA,NA,NA,NA,NA,NA,NA
Gardenia kakaduensis Puttock,NA,NA,NA,NA,NA,NA,NA
Gardenia megasperma F.Muell.,NA,NA,"KNP plots, Nitmiluk plots, Liddle 2004",Resprouter,Epicormic shoots,NA,NA
Gardenia pyriformis A.Cunn. ex Benth.,NA,NA,NA,NA,NA,NA,NA
Gardenia pyriformis A.Cunn. ex Benth. subsp. orientalis Puttock,NA,NA,NA,NA,NA,NA,NA
Gardenia pyriformis A.Cunn. ex Benth. subsp. pyriformis,NA,NA,NA,NA,NA,NA,NA
Gardenia resinosa F.Muell.,NA,NA,Yates 2003,Resprouter,Epicormic shoots,NA,NA
Gardenia resinosa F.Muell. subsp. resinosa,NA,NA,NA,NA,NA,NA,NA
Gardenia schwarzii Puttock,NA,NA,NA,NA,NA,NA,NA
Gardenia sp. Fitzmaurice (G.J.Leach 4207),NA,NA,NA,NA,NA,NA,NA
Guettarda,NA,NA,NA,NA,NA,NA,NA
Guettarda speciosa L.,NA,NA,JRS 2004,Faculative resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Gynochthodes,NA,NA,NA,NA,NA,NA,NA
Gynochthodes australiensis J.T.Johanss.,NA,NA,JRS 2004,Faculative resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Gynochthodes jasminoides (A.Cunn.) Razafim. & B.Bremer,NA,NA,JRS 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Gynochthodes sp. Docherty Hills (G.J.Leach 2186),NA,NA,JRS 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Hedyotis,NA,NA,NA,NA,NA,NA,NA
Hedyotis auricularia L.,NA,NA,NA,NA,NA,NA,NA
Hedyotis auricularia L. var. melanesica,NA,NA,NA,NA,NA,NA,NA
Hedyotis pinifolia Wall. ex G.Don,NA,NA,NA,NA,NA,NA,NA
Ixora,NA,NA,NA,NA,NA,NA,NA
Ixora timorensis Decne.,NA,NA,"KNP plots, JRS 2004, Liddle 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Knoxia,NA,NA,NA,NA,NA,NA,NA
Knoxia stricta Gaertn.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Kohautia,NA,NA,NA,NA,NA,NA,NA
Kohautia australiensis Halford,NA,NA,"Albrecht 2004, Brennan 2004",Seeder,NA,NA,NA
Larsenaikia,NA,NA,NA,NA,NA,NA,NA
Larsenaikia suffruticosa (R.Br. ex Benth.) Tirveng.,NA,NA,"KNP plots, Nitmiluk plots",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Mitracarpus,NA,NA,NA,NA,NA,NA,NA
Mitracarpus hirtus (L.) DC.,NA,NA,NA,NA,NA,NA,NA
Morinda,NA,NA,NA,NA,NA,NA,NA
Morinda bracteata Roxb.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Morinda bracteata Roxb. var. celebica (Miq.) Valeton,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Morinda citrifolia L.,NA,NA,"KNP plots, JRS 2004, Liddle 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Nauclea,NA,NA,NA,NA,NA,NA,NA
Nauclea orientalis (L.) L.,NA,NA,"Yates 2003, JRS 2004, Liddle 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Oldenlandia,NA,NA,KNP plots,Seeder,None,NA,NA
Oldenlandia argillacea (Halford) Halford,NA,NA,Brennan 2004,NA,NA,NA,NA
Oldenlandia corymbosa L.,NA,NA,NA,NA,NA,NA,NA
Oldenlandia corymbosa L. var. corymbosa,NA,NA,NA,Seeder,None,NA,NA
Oldenlandia delicata (Halford) Halford,NA,NA,NA,NA,NA,NA,NA
Oldenlandia galioides (F.Muell.) F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Oldenlandia intonsa Halford,NA,NA,NA,NA,NA,NA,NA
Oldenlandia laceyi (Halford) Halford,NA,NA,NA,NA,NA,NA,NA
Oldenlandia largiflorens (Halford) Halford,NA,NA,NA,NA,NA,NA,NA
Oldenlandia leptocaulis (Halford) Halford,NA,NA,NA,NA,NA,NA,NA
Oldenlandia mitrasacmoides (F.Muell.) F.Muell.,NA,NA,NA,NA,NA,NA,NA
Oldenlandia mitrasacmoides (F.Muell.) F.Muell. subsp. mitrasacmoides,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Oldenlandia mitrasacmoides (F.Muell.) F.Muell. subsp. nigricans Halford,NA,NA,NA,NA,NA,NA,NA
Oldenlandia pinifolia (Wall. ex G.Don) Kuntze,NA,NA,I.D. Cowie 2020,Seeder,None,NA,NA
Oldenlandia pterospora (F.Muell.) F.Muell.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Oldenlandia sp. central ranges (P.K.Latz 8076),NA,NA,NA,NA,NA,NA,NA
Oldenlandia sp. minute (C.R.Michell 4183),NA,NA,NA,NA,NA,NA,NA
Oldenlandia spathulata Halford,NA,NA,Brennan 2004,NA,NA,NA,NA
Oldenlandia spermacocoides (F.Muell.) F.Muell.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Oldenlandia tenuifolia Burm.f.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Oldenlandia thysanota (Halford) Halford,NA,NA,KNP plots,Seeder,None,NA,NA
Pavetta,NA,NA,NA,NA,NA,NA,NA
Pavetta brownii Bremek.,NA,NA,NA,NA,NA,NA,NA
Pavetta brownii Bremek. var. brownii,NA,NA,"KNP plots, Nitmiluk plots",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Pavetta brownii Bremek. var. glabrata S.T.Reynolds,NA,NA,NA,NA,NA,NA,NA
Pavetta conferta S.T.Reynolds,NA,NA,NA,NA,NA,NA,NA
Pavetta muelleri Bremek.,NA,NA,NA,NA,NA,NA,NA
Pavetta rupicola S.T.Reynolds,NA,NA,NA,NA,NA,NA,NA
Pavetta speciosa S.T.Reynolds,NA,NA,NA,NA,NA,NA,NA
Pavetta tenella S.T.Reynolds,NA,NA,NA,NA,NA,NA,NA
Pavetta vaga S.T.Reynolds,NA,NA,NA,NA,NA,NA,NA
Pomax,NA,NA,NA,NA,NA,NA,NA
Pomax ammophila Ngugi,NA,NA,Latz 2004,Resprouter,Root suckers or rhizomes,NA,NA
Pomax rupestris F.Muell.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Psychotria,NA,NA,NA,NA,NA,NA,NA
Psychotria coelosperma F.M.Bailey,NA,NA,"JRS 2004, Liddle 2004",Seeder,None,Dispersal reliant,NA
Psychotria daphnoides A.Cunn. ex Hook.,NA,NA,JRS 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),Dispersal reliant,NA
Psychotria loniceroides Sieber ex DC.,NA,NA,JRS 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),Dispersal reliant,NA
Psychotria nesophila F.Muell.,NA,NA,"KNP plots, JRS 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Psydrax,NA,NA,NA,NA,NA,NA,NA
Psydrax ammophila S.T.Reynolds & R.J.F.Hend.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Psydrax attenuata (R.Br. ex Benth.) S.T.Reynolds & R.J.F.Hend.,NA,NA,NA,NA,NA,NA,NA
Psydrax attenuata (R.Br. ex Benth.) S.T.Reynolds & R.J.F.Hend. var. attenuata,NA,NA,NA,NA,NA,NA,NA
Psydrax attenuata (R.Br. ex Benth.) S.T.Reynolds & R.J.F.Hend. var. myrmecophila S.T.Reynolds & R.J.F.Hend.,NA,NA,"KNP, Nitmiluk plots, JRS 2004, Albrecht 2004, Liddle 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Psydrax attenuata (R.Br. ex Benth.) S.T.Reynolds & R.J.F.Hend. var. tenella S.T.Reynolds & R.J.F.Hend.,NA,NA,NA,NA,NA,NA,NA
Psydrax latifolia (F.Muell. ex Benth.) S.T.Reynolds & R.J.F.Hend.,NA,NA,"Latz 2004, Liddle 2004, Nano 2005","Seeder, Resprouter, Faculative resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA
Psydrax odorata (Forst.f.) A.C.Sm. & S.P.Darwin,NA,NA,NA,NA,NA,NA,NA
Psydrax odorata (Forst.f.) A.C.Sm. & S.P.Darwin subsp. arnhemica S.T.Reynolds & R.J.F.Hend.,NA,NA,"JRS 2004, Liddle 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Psydrax paludosa S.T.Reynolds & R.J.F.Hend.,NA,NA,NA,NA,NA,NA,NA
Psydrax pendulina S.T.Reynolds & R.J.F.Hend.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Psydrax saligna S.T.Reynolds & R.J.F.Hend.,NA,NA,NA,NA,NA,NA,NA
Psydrax saligna S.T.Reynolds & R.J.F.Hend. f. filiformis S.T.Reynolds & R.J.F.Hend.,NA,NA,NA,NA,NA,NA,NA
Psydrax suaveolens (S.Moore) S.T.Reynolds & R.J.F.Hend.,NA,NA,"Latz 2004, Nano 2004","Seeder, Resprouter, Faculative resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA
Richardia,NA,NA,NA,NA,NA,NA,NA
Richardia brasiliensis Gomes,NA,NA,NA,NA,NA,NA,NA
Richardia scabra L.,NA,NA,NA,NA,NA,NA,NA
Scyphiphora,NA,NA,NA,NA,NA,NA,NA
Scyphiphora hydrophylacea Gaertn.,NA,NA,NA,NA,NA,NA,NA
Spermacoce,NA,NA,NA,NA,NA,NA,NA
Spermacoce aequabilis Harwood,NA,NA,"KNP plots, Liddle 2004",Seeder,None,NA,NA
Spermacoce argillacea Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce articularis L.f.,NA,NA,NA,NA,NA,NA,NA
Spermacoce aurantiseta Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce auriculata F.Muell.,NA,NA,Yates 2003,Faculative resprouter,NA,NA,NA
Spermacoce brachystema R.Br. ex Benth.,NA,NA,NA,NA,NA,NA,NA
Spermacoce brevicilia Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce brevidens Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce breviflora F.Muell. ex Benth.,NA,NA,Yates 2003,Seeder,None,NA,NA
Spermacoce calliantha Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce cardiophora Harwood,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Spermacoce caudata Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce congestanthera Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce constricta Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce discreta Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce diversistyla Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce dolichosperma Harwood,NA,NA,Yates 2003,Faculative resprouter,NA,NA,NA
Spermacoce elaiosoma Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce erectiloba Harwood,NA,NA,"KNP plots, Liddle 2004",Seeder,None,NA,NA
Spermacoce erosa Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce erythrosepala Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce fabiformis Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce gibba Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce gilliesiae (Specht) J.R.Clarkson,NA,NA,NA,NA,NA,NA,NA
Spermacoce graniticola Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce hillii (Chippend.) Govaerts,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Spermacoce inaperta F.Muell.,NA,NA,NA,NA,NA,NA,NA
Spermacoce juncta Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce laevigata F.Muell.,NA,NA,NA,NA,NA,NA,NA
Spermacoce lamprosperma Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce latifolia Aubl.,NA,NA,NA,NA,NA,NA,NA
Spermacoce latimarginata Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce leptoloba Benth.,NA,NA,"KNP plots, Liddle 2004",Seeder,None,NA,NA
Spermacoce lignosa Harwood,NA,NA,"Liddle 2004, Brennan 2004; Cowie 2020",NA,NA,NA,NA
Spermacoce membranacea R.Br. ex Benth.,NA,NA,"KNP plots, JRS 2004",Seeder,None,NA,NA
Spermacoce occidentalis Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce occultiseta Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce omissa J.R.Clarkson,NA,NA,NA,NA,NA,NA,NA
Spermacoce pessima Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce phaeosperma Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce phalloides Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce platyloba Harwood,NA,NA,NA,NA,NA,NA,NA
