Taxon,Vegetative persistence,Propagule persistence,Eco Source,Fire Response Adult,Resprout Type,Seed Bank,stem buds
Rostellularia adscendens (R.Br.) R.M.Barker var. pogonanthera (F.Muell.) R.M.Barker,NA,NA,NA,NA,NA,NA,NA
Ruellia,NA,NA,NA,NA,NA,NA,NA
Ruellia tuberosa L.,NA,NA,NA,NA,NA,NA,NA
Staurogyne,NA,NA,NA,NA,NA,NA,NA
Staurogyne spatulata (Blume) Koord.,NA,NA,NA,NA,NA,NA,NA
Thunbergia,NA,NA,NA,NA,NA,NA,NA
Thunbergia arnhemica F.Muell.,NA,NA,JRS 2004,Seeder,None,NA,NA
AIZOACEAE,NA,NA,NA,NA,NA,NA,NA
Aizoon pubescens Eckl. & Zeyh.,NA,NA,NA,NA,NA,NA,NA
Galenia,NA,NA,NA,NA,NA,NA,NA
Galenia pubescens (Eckl. & Zeyh.) Druce var. pubescens,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Gunniopsis,NA,NA,NA,NA,NA,NA,NA
Gunniopsis papillata Chinnock,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Gunniopsis quadrifida (F.Muell.) Pax,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Gunniopsis septifraga (F.Muell.) Chinnock,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Gunniopsis zygophylloides (F.Muell.) Diels,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Psilocaulon,NA,NA,NA,NA,NA,NA,NA
Psilocaulon granulicaule (Haw.) Schwantes,NA,NA,NA,NA,NA,NA,NA
Sesuvium,NA,NA,NA,NA,NA,NA,NA
Sesuvium portulacastrum (L.) L.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Tetragonia,NA,NA,NA,NA,NA,NA,NA
Tetragonia eremaea Ostenf.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Trianthema,NA,NA,NA,NA,NA,NA,NA
Trianthema compactum C.T.White,NA,NA,NA,NA,NA,NA,NA
Trianthema glossostigmum F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Trianthema megaspermum A.M.Prescott,NA,NA,"KNP plots, Liddle 2004",Seeder,None,NA,NA
Trianthema oxycalyptra F.Muell. var. oxycalyptra,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Trianthema oxycalyptrum F.Muell.,NA,NA,NA,NA,NA,NA,NA
