accepted_name,budlength_min,budlength_max,budwidth_min,budwidth_max,frtlength_min,frtlength_max,frtwidth_min,frtwidth_max,bud_n_min,bud_n_max,colours_all,flowering_time_all,leaflength_min,leaflength_max,leafwidth_min,leafwidth_max,euclid_name,juvleaflength_min,juvleaflength_max,juvleaflength_unit,juvleafwidth_min,juvleafwidth_max,juvleafwidth_unit,leaf_length_minimum,leaf_length_maximum,leaf_width_minimum,leaf_width_maximum,leaflength_min2,leaflength_max2,leafwidth_min2,leafwidth_max2
Eucalyptus capitellata,0.6,0.8,0.3,0.4,0.4,0.7,0.7,1,7,15,white_cream,YYNNNNNYYNNY,8,13,2,3.5,eucalyptus_capitellata,5.5,8,cm,2.5,4,cm,80,130,20,35,NA,NA,NA,NA
Eucalyptus captiosa,1.3,1.9,0.5,0.7,0.8,1.5,0.8,1.1,3,7,white_cream,NNNNYNYYYYYN,4,8.8,0.5,1.3,eucalyptus_captiosa,6,12,cm,2,3.7,cm,40,88,5,13,NA,NA,NA,NA
Eucalyptus carnea,0.6,0.7,0.3,0.4,0.3,0.7,0.5,0.8,7,11,white_cream,NNNYNNNNYYYN,8,17,1.7,4,eucalyptus_carnea,8,20,cm,3.5,10,cm,80,170,17,40,NA,NA,NA,NA
Eucalyptus carnei,0.9,1.3,0.5,0.6,0.5,1,0.6,0.9,7,7,white_cream,NNNYYNNNNNNN,8.3,14.5,1.5,3,eucalyptus_carnei,8,11,cm,1.7,3,cm,60,95,25,55,8.3,14.5,1.5,3
Eucalyptus castrensis,0.5,0.6,0.2,0.4,0.4,0.5,0.4,0.6,7,7,white_cream,NA,6,13,0.8,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,13,0.8,2.2
Eucalyptus celastroides,0.5,1,0.2,0.4,0.5,0.8,0.4,0.8,7,9,white_cream,YNNNNNNYYYYY,5,10.5,0.4,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10.5,0.4,1.5
Eucalyptus cephalocarpa,0.3,0.6,0.3,0.4,0.3,0.6,0.4,0.8,7,7,white_cream,NYYYYYNNNNNN,8.5,25,0.8,3,eucalyptus_cephalocarpa,2.5,8.5,cm,1.7,6.5,cm,85,250,8,30,NA,NA,NA,NA
Eucalyptus ceracea,1.5,1.7,0.6,NA,1.7,3.3,1.1,1.7,7,9,yellow_orange,NNNNNYNNNNNN,6,10,3,5.5,eucalyptus_ceracea,6,10,cm,3,5.5,cm,60,100,30,55,NA,NA,NA,NA
Eucalyptus cerasiformis,0.9,1.1,0.5,0.6,0.8,1,0.6,1.1,7,7,white_cream,NNNNNNNNNYNN,5,11.2,0.5,1.5,eucalyptus_cerasiformis,NA,NA,NA,NA,NA,NA,50,112,5,15,NA,NA,NA,NA
Eucalyptus ceratocorys,1.7,3,0.6,1.1,1.2,2,0.8,1.6,7,9,red_brown white_cream,NNNNNNYYYYYY,6,15.5,1.2,4.5,eucalyptus_ceratocorys,6.5,8.5,cm,4,4.5,cm,60,155,12,45,NA,NA,NA,NA
Eucalyptus cernua,1,1.6,0.6,1,0.9,1.4,0.8,1.3,7,7,green pink white_cream,NNNNNNNNNYNY,5.5,8.3,1.4,2.5,eucalyptus_cernua,NA,NA,NA,NA,NA,NA,48,93,12,30,5.5,8.3,1.4,2.5
Eucalyptus chapmaniana,0.7,0.9,0.5,0.6,0.5,0.9,0.7,1,3,3,white_cream,YYYNNNNNNNNN,14,30,1.7,4.8,eucalyptus_chapmaniana,2,9.5,cm,1.8,7,cm,140,300,17,48,NA,NA,NA,NA
Eucalyptus chartaboma,1.6,2.1,0.8,1.1,3,7.5,3,6.5,7,7,yellow_orange,YYYYNNNNNNNN,8.5,16.5,1.3,2.5,eucalyptus_chartaboma,4,9,cm,2,5.5,cm,85,185,10,35,NA,16.5,1.3,2.5
Eucalyptus chloroclada,0.7,1.2,0.3,0.6,0.2,0.5,0.4,0.7,7,7,white_cream,NNNNNNNYYYYY,8.5,18,1,3.5,eucalyptus_chloroclada,5.5,15,cm,3,7.5,cm,85,180,10,35,NA,NA,NA,NA
Eucalyptus chlorophylla,0.5,0.8,0.3,0.4,0.3,0.7,0.3,0.6,7,7,white_cream,NNNNNNNNNNYY,7,16.5,1,2.5,eucalyptus_chlorophylla,4,9,cm,1.4,3.2,cm,70,210,8,25,NA,16.5,1,NA
Eucalyptus cinerea,0.6,0.8,0.3,0.5,0.4,0.7,0.4,0.9,3,3,white_cream,NYNNYYNYYYYY,3.5,14,1.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,14,1.2,5
Eucalyptus cladocalyx,0.8,1.1,0.4,0.5,0.6,1.6,0.4,1.1,7,11,white_cream,YYYYNNNNNNNY,6.5,17,1.2,4,eucalyptus_cladocalyx,2,6.5,cm,2,9,cm,80,170,12,32,6.5,NA,NA,4
Eucalyptus clelandiorum,0.7,1.2,0.4,0.7,0.5,0.9,0.5,0.8,7,11,white_cream,YYYNNNNYYYYY,8,15.5,0.9,2.5,eucalyptus_clelandiorum,NA,8,cm,NA,3.5,cm,80,155,9,25,NA,NA,NA,NA
Eucalyptus clivicola,1.4,2.1,0.3,0.4,0.6,1,0.5,0.6,9,13,yellow_orange,NYYYNNNNNNNN,4.5,9.5,0.5,2,eucalyptus_clivicola,NA,NA,NA,NA,NA,NA,45,95,5,20,NA,NA,NA,NA
Eucalyptus cloeziana,0.4,0.6,0.3,0.4,0.4,0.7,0.6,1.1,7,7,white_cream,YNNNNNNNNNNY,6,14.5,0.9,3.2,eucalyptus_cloeziana,4.5,10,cm,2,5,cm,60,145,9,32,NA,NA,NA,NA
Eucalyptus cneorifolia,0.6,1.1,0.3,0.6,0.4,0.7,0.5,0.8,7,11,white_cream,YNYYYNNNNNYY,4.5,10,0.5,1,eucalyptus_cneorifolia,3,6,cm,0.4,1,cm,45,100,5,10,NA,NA,NA,NA
Eucalyptus coccifera,0.5,0.8,0.4,0.7,0.6,1.2,0.8,1.3,3,9,white_cream,YYYYNNNNNNNY,5,10,1,2,eucalyptus_coccifera,1.5,4.5,cm,0.7,2.3,cm,50,100,10,20,NA,NA,NA,NA
Eucalyptus codonocarpa,0.5,0.6,0.3,0.4,0.5,0.8,0.6,0.9,3,3,white_cream,NNYYNYNNNNNN,6.5,15,1,2,eucalyptus_approximans_subsp._codonocarpa,6.5,14,cm,1,2,cm,65,150,10,20,NA,NA,NA,NA
Eucalyptus comitae-vallis,0.6,0.9,0.3,0.5,0.5,0.8,0.5,0.7,7,11,white_cream,NYYYNNNNNNNN,6,10,0.6,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,0.6,1.5
Eucalyptus concinna,0.6,1.2,0.4,1,0.5,1.2,0.6,1.1,7,11,white_cream,NNNYNNNNYYYN,7.3,14,0.8,2,eucalyptus_concinna,4.5,8,cm,2.3,3.7,cm,73,140,8,20,NA,NA,NA,NA
Eucalyptus conferruminata,NA,NA,NA,NA,NA,NA,NA,NA,7,27,green,YNNNNNNNNYNN,4.5,9.3,1,3.2,NA,NA,NA,NA,NA,NA,NA,40,90,10,30,4.5,9.3,NA,3.2
Eucalyptus confluens,0.5,0.8,0.3,0.5,0.4,0.7,0.6,0.7,7,7,white_cream,NYYNNNNNNYNN,6,15,0.9,2.2,eucalyptus_confluens,NA,NA,NA,NA,NA,NA,60,170,9,22,NA,15,NA,NA
Eucalyptus conglobata,0.5,1.5,0.4,0.8,0.4,1,0.5,1.1,7,7,white_cream,YYYYNNNNNNYY,6.2,13,0.8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,13,0.8,4
Eucalyptus conglomerata,0.4,0.5,0.3,NA,0.2,0.5,0.4,0.7,11,15,white_cream,NNNYYYNYNNNN,7,13.7,1.4,3.5,eucalyptus_conglomerata,1.8,4.2,cm,0.4,1.5,cm,57,137,14,35,7,NA,NA,NA
Eucalyptus conica,0.4,0.5,0.2,0.3,0.3,0.6,0.3,0.5,7,7,white_cream,NNNNNNYYYYYY,5.5,14,1,2.5,eucalyptus_conica,4,8,cm,1.4,4.5,cm,55,140,10,25,NA,NA,NA,NA
Eucalyptus consideniana,0.3,0.4,0.2,0.4,0.5,0.9,0.6,0.8,11,19,white_cream,YYYNNNNNYYYY,6.5,18,1,3,eucalyptus_consideniana,7.5,16.5,cm,1.2,7.2,cm,65,180,10,30,NA,NA,NA,NA
Eucalyptus conspicua,0.6,1,0.4,0.6,0.4,0.9,0.5,0.9,3,7,white_cream,YYYYYNNNNYNN,3.5,22,1.4,6.7,NA,NA,NA,NA,NA,NA,NA,60,220,14,45,3.5,NA,NA,6.7
Eucalyptus conveniens,1,1.3,0.5,NA,1,2.1,0.8,1.2,3,3,white_cream,YYNNNNNNNNNN,6,13,2.3,4,eucalyptus_conveniens,6.5,9,cm,3.5,5.5,cm,60,130,18,50,NA,NA,2.3,4
Eucalyptus coolabah,0.3,0.5,0.2,0.4,0.2,0.4,0.3,0.5,7,7,white_cream,YYYYYNYNYNYY,8,17,1,2.5,eucalyptus_coolabah,4,13,cm,0.5,3,cm,80,170,10,25,NA,NA,NA,NA
Eucalyptus cooperiana,0.6,1.1,0.4,0.5,0.5,1,0.7,0.9,9,13,white_cream,NNNYNYNNYNYN,6.5,10.5,1,2.5,eucalyptus_cooperiana,3.5,10,cm,2.5,6,cm,58,110,10,25,6.5,10.5,NA,NA
Eucalyptus cordata,0.9,1.3,0.6,1,0.6,1.3,0.8,1.5,3,3,white_cream,NNNYNNYNYNNY,3,8.5,2.5,8,NA,NA,NA,NA,NA,NA,NA,50,130,25,80,3,8.5,NA,NA
Eucalyptus cornuta,2.3,4.2,0.5,0.8,0.5,1.2,0.6,1.3,11,21,yellow_orange,NNNNNNNNNNNN,6,13.5,1,3.3,eucalyptus_cornuta,4,7,cm,2,7,cm,50,152,10,33,6,13.5,NA,NA
Eucalyptus coronata,2.7,3,2.2,2.3,1.7,2.5,3.2,5.3,3,3,white_cream,NNNNNNNNNNNN,7,13,1.3,2.5,eucalyptus_coronata,NA,NA,NA,NA,NA,NA,70,130,13,25,NA,NA,NA,NA
Eucalyptus corrugata,1,1.8,0.9,1.3,0.7,1.5,1.1,1.8,3,3,white_cream,NNNNNNNNNYNN,9,13,1.2,2,eucalyptus_corrugata,5.5,9,cm,2.5,4,cm,70,130,12,24,9,NA,NA,2
Eucalyptus corticosa,0.4,0.5,0.3,0.4,0.3,0.5,0.3,0.6,7,7,white_cream,YYYNNYNNNNNN,7,15,0.9,2.2,eucalyptus_corticosa,NA,NA,NA,NA,NA,NA,70,150,9,22,NA,NA,NA,NA
Eucalyptus corynodes,0.6,0.7,0.3,0.4,0.6,0.9,0.4,0.8,7,7,white_cream,NNNYYNNNYNNN,8,17,1.5,3.5,eucalyptus_corynodes,6,9.5,cm,1.5,3.5,cm,80,170,15,35,NA,NA,NA,NA
Eucalyptus cosmophylla,1.1,2.2,0.7,1.5,0.9,1.8,1,2.2,3,3,white_cream,NNYYYYYYYYYN,8,18,1.3,5,eucalyptus_cosmophylla,4,9,cm,4.5,9.5,cm,80,180,13,50,NA,NA,NA,NA
Eucalyptus crebra,0.3,0.7,0.2,0.4,0.2,0.7,0.25,0.6,7,11,white_cream,NYNYYYYYYYYN,5.5,18,0.7,2.7,eucalyptus_crebra,5,12,cm,0.6,1.7,cm,55,180,6,27,NA,NA,0.7,NA
Eucalyptus crenulata,0.5,0.7,0.3,0.4,0.3,0.5,0.4,0.6,7,11,white_cream,YYNNNYNYYYYY,2,6.5,1.5,5.5,eucalyptus_crenulata,NA,NA,NA,NA,NA,NA,20,65,15,55,NA,NA,NA,NA
Eucalyptus creta,1.5,2.2,1.4,2,0.8,1.3,1.5,2.8,3,3,white_cream,NNNNNNNNNNNN,5.5,13.2,1.2,3.5,eucalyptus_creta,NA,NA,NA,NA,NA,NA,47,132,8,35,5.5,NA,1.2,NA
Eucalyptus cretata,0.8,1.4,0.4,0.8,0.6,1,0.7,1.1,7,7,white_cream,YNNNYYNNNNNN,7.8,15,1.3,3.5,eucalyptus_cretata,4.5,10,cm,2.5,5,cm,78,150,13,35,NA,NA,NA,NA
Eucalyptus crispata,0.9,1.2,0.3,0.4,0.5,0.8,0.4,0.6,9,13,white_cream,NNNNNNNNNNNN,5.5,12.5,1,2,eucalyptus_crispata,NA,NA,NA,NA,NA,NA,55,125,10,20,NA,NA,NA,NA
Eucalyptus croajingolensis,0.3,0.5,0.2,0.3,0.4,0.6,0.4,0.6,9,19,white_cream,YNNNNNNNNNNY,8,18,1.2,4.2,eucalyptus_croajingolensis,4,9,cm,1.3,3.2,cm,80,180,12,42,NA,NA,NA,NA
Eucalyptus crucis,0.7,1.5,0.5,1.1,0.4,1,1,1.5,7,7,white_cream yellow_orange,NNNNNNNNNNYN,1.7,10,0.7,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,10,0.7,6.5
Eucalyptus cullenii,0.4,0.6,0.3,0.4,0.2,0.4,0.4,0.8,7,7,white_cream,YYYYYNNNNNNN,7,15,0.8,1.5,eucalyptus_cullenii,4,11,cm,0.4,1.5,cm,55,190,8,25,7,15,NA,1.5
Eucalyptus cunninghamii,0.4,0.6,0.3,NA,0.5,0.8,0.5,0.7,7,9,white_cream,NNNYNNNNYNNY,3,10,0.3,0.8,eucalyptus_cunninghamii,5,10,cm,0.3,0.5,cm,30,100,3,8,NA,NA,NA,NA
Eucalyptus cuprea,0.5,NA,0.3,0.4,0.4,0.7,0.4,0.5,7,7,white_cream,NNNNNNNNNNNN,8,13.5,1.2,2,eucalyptus_cuprea,5.5,10,cm,3,6,cm,80,135,12,20,NA,NA,NA,NA
Eucalyptus cupularis,0.75,1.4,0.4,0.9,0.5,1.2,0.7,1.2,7,7,white_cream,NNNNNNNNNYYN,10,23,0.9,2.7,eucalyptus_cupularis,8,14,cm,4,8,cm,100,230,9,35,NA,NA,NA,2.7
Eucalyptus curtisii,0.5,0.8,0.4,0.7,0.5,1.1,0.6,1.1,7,7,white_cream,NNNNNNNNYYYY,6.3,14.5,1,3.3,eucalyptus_curtisii,NA,NA,NA,NA,NA,NA,63,145,7,33,NA,NA,1,NA
Eucalyptus cyanophylla,0.7,1.3,0.5,0.8,0.6,1,0.7,1,7,7,white_cream,NNNNNYYYYYYN,7,16,1.7,3.5,eucalyptus_cyanophylla,6,12,cm,2.5,7,cm,70,160,17,35,NA,NA,NA,NA
Eucalyptus cyclostoma,0.8,1.4,0.5,0.7,0.8,1,0.7,1,7,11,white_cream,NYNYNNNNNNNN,6,10,1,1.5,eucalyptus_cyclostoma,NA,NA,NA,NA,NA,NA,60,100,10,15,NA,NA,NA,NA
Eucalyptus cylindriflora,1,1.3,0.4,0.7,0.6,1,0.6,0.9,7,7,white_cream,YYYNNNNNNNNN,4,7.5,0.4,1,eucalyptus_cylindriflora,4,8,cm,0.5,1.5,cm,40,95,4,12,NA,7.5,NA,1
Eucalyptus cylindrocarpa,0.7,1.3,0.3,0.4,0.6,1.2,0.4,0.6,7,11,white_cream,YYYYNNNNNNYY,6,10,0.5,1.3,eucalyptus_cylindrocarpa,NA,NA,NA,NA,NA,NA,58,112,5,13,6,10,NA,NA
Eucalyptus cypellocarpa,0.8,1.1,0.3,0.6,0.5,1,0.5,1,7,7,white_cream,YYYYYYYNNYYY,9,30.5,1,4.8,eucalyptus_cypellocarpa,4.5,12,cm,1.8,5.5,cm,90,305,10,48,NA,NA,NA,NA
Eucalyptus dalrympleana,0.5,1,0.2,0.6,0.3,0.8,0.5,0.9,3,7,white_cream,NYYYYYNNYNNY,7,24,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,24,1,4
Eucalyptus dawsonii,0.3,0.5,0.2,0.3,0.3,0.5,0.3,0.4,7,7,white_cream,NNYNNNNYYYYY,7,16,1.2,3.2,eucalyptus_dawsonii,4,9,cm,4,7,cm,70,160,12,32,NA,NA,NA,NA
Eucalyptus dealbata,0.6,1.3,0.35,0.5,0.2,0.6,0.5,0.7,7,11,white_cream,NNNNYYYYYYYN,5.5,14,1,4,eucalyptus_dealbata,6.5,8,cm,3,4.2,cm,55,140,10,40,NA,NA,NA,NA
Eucalyptus deanei,0.4,0.8,0.3,0.5,0.4,0.7,0.4,0.7,7,11,white_cream,NYYYNNNNNNNN,7,18.5,1.5,4,eucalyptus_deanei,4,10.5,cm,2.5,6,cm,70,185,15,40,NA,NA,NA,NA
Eucalyptus decipiens,0.9,1,0.35,0.5,0.3,0.6,0.5,0.9,11,21,white_cream,NNNNNNNNNNNN,6.5,10.5,1,2.5,eucalyptus_decipiens,2,6.5,cm,2,5,cm,65,125,10,32,NA,10.5,NA,2.5
Eucalyptus decolor,0.4,NA,0.2,0.3,0.4,0.5,0.4,0.6,7,7,white_cream,NNYNNNNNNNNY,6.5,13,0.8,2.2,eucalyptus_decolor,9.7,13.5,cm,0.7,1.6,cm,65,170,8,22,NA,13,NA,NA
Eucalyptus decorticans,0.6,0.7,0.3,0.4,0.7,0.9,0.5,0.6,7,7,white_cream,NNNYNNNYYNNN,5.5,12.5,1,3,eucalyptus_decorticans,5,9,cm,0.5,1.5,cm,55,170,10,30,NA,12.5,NA,NA
Eucalyptus decurva,0.5,1,0.4,0.5,0.7,1.1,0.7,1,7,7,white_cream,NNNYNYNYNYNN,5,10.5,1.2,2.5,eucalyptus_decurva,3.5,10.5,cm,3,7,cm,50,105,12,25,NA,NA,NA,NA
Eucalyptus deflexa,0.8,1.2,0.4,0.5,0.9,1.2,0.7,0.9,7,7,white_cream,NNNNYNNYYYYN,5,7.5,0.5,0.9,eucalyptus_deflexa,NA,NA,NA,NA,NA,NA,50,90,5,11,NA,7.5,NA,0.9
Eucalyptus delegatensis,0.4,0.6,0.3,0.5,0.6,1.3,0.6,1.1,7,15,white_cream,YYYNNNNNNNNY,7,23,1.3,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,23,1.3,5.5
Eucalyptus delicata,0.5,0.8,0.3,NA,0.4,0.5,0.4,0.5,7,11,white_cream,NNYNNNNNNNNN,7,10,0.5,1,eucalyptus_delicata,0.8,7.5,cm,0.2,1.7,cm,60,110,5,10,7,10,NA,NA
Eucalyptus dendromorpha,0.5,0.6,0.2,0.3,0.7,1,0.7,1.1,7,11,white_cream,YNNNNYNNNNNY,7,12,1,2.5,eucalyptus_dendromorpha,7.5,14,cm,2,5,cm,70,120,10,25,NA,NA,NA,NA
Eucalyptus densa,1.5,3.5,0.3,0.5,0.7,1.4,0.5,0.7,7,11,white_cream yellow_orange,NNNYYYYYYYYN,4,9,0.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,0.4,1
Eucalyptus denticulata,0.5,NA,0.3,NA,0.5,0.7,0.4,0.6,7,7,white_cream,YYYNNNNNNNNN,13,25,1.4,2.5,eucalyptus_denticulata,5,12.5,cm,1.7,4.5,cm,130,250,14,25,NA,NA,NA,NA
Eucalyptus depauperata,1.6,2.4,0.5,0.6,0.8,1,0.6,0.9,7,7,pink white_cream,NNNNNNNNNYYN,3,7.7,0.4,1.5,eucalyptus_depauperata,3,6.5,cm,0.7,2,cm,30,77,4,15,NA,NA,NA,NA
Eucalyptus desmondensis,0.7,1.2,0.4,0.6,0.5,1,0.6,0.9,9,19,white_cream,YNYYYYNYNYYN,5.5,11,1.5,2.5,eucalyptus_desmondensis,5.5,11,cm,2,5,cm,55,110,15,25,NA,NA,NA,NA
Eucalyptus deuaensis,0.8,NA,0.6,0.7,0.5,0.6,1,1.5,7,7,white_cream,YNNNNNNNNNYN,7,10,1,2.3,eucalyptus_deuaensis,3.5,7.5,cm,1.3,2.3,cm,70,100,10,23,NA,NA,NA,NA
Eucalyptus dielsii,1.1,1.9,0.6,0.9,0.8,1.1,1,1.4,7,7,green,YNNNNNNNNNYN,5,10,0.8,2,eucalyptus_dielsii,NA,NA,NA,NA,NA,NA,50,115,8,20,NA,10,NA,NA
Eucalyptus diminuta,1.8,2.7,0.4,0.8,0.7,1.2,0.7,1.2,7,7,white_cream,NNNNNNNYYYYN,5,11.5,0.6,2,eucalyptus_diminuta,6,9,cm,1.5,3,cm,50,112,7,20,NA,11.5,0.6,NA
Eucalyptus diptera,0.8,1.5,0.6,1.1,0.5,0.9,0.9,1.5,3,3,white_cream,NNNNNYNYYYYN,6,12,0.7,2,eucalyptus_diptera,NA,NA,NA,NA,NA,NA,60,122,7,20,NA,12,NA,NA
Eucalyptus discreta,0.4,0.7,0.3,0.4,0.5,0.6,0.5,0.6,7,9,white_cream,NNNYNNNNNNNN,4,9.5,0.5,1.5,eucalyptus_discreta,2.5,5.5,cm,0.2,1,cm,40,95,5,15,NA,NA,NA,NA
Eucalyptus dissimulata,0.7,1.2,0.4,0.5,0.5,0.7,0.5,0.8,7,11,white_cream,YNNNNNNNNNNY,4.5,9.5,0.5,1.7,eucalyptus_dissimulata,2.5,4.5,cm,1,1.5,cm,45,95,5,17,NA,NA,NA,NA
Eucalyptus distans,0.3,0.4,0.3,NA,0.3,0.5,0.3,0.5,7,7,white_cream,NNYYNNNNNNNN,7,15,1.2,2.6,eucalyptus_distans,11,14,cm,1,2,cm,55,150,12,26,7,NA,NA,NA
Eucalyptus distuberosa,0.6,1,0.5,0.7,0.5,0.8,0.6,0.8,7,7,white_cream,NNNNNNNNNYNN,5.8,10,0.8,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,10,0.8,1.6
Eucalyptus diversicolor,1.1,1.6,0.5,0.7,1,1.2,0.8,1,7,7,white_cream,YNNYYNNYNNNY,7,13.5,1.5,3.7,eucalyptus_diversicolor,5,15.5,cm,2.5,10,cm,70,135,15,37,NA,NA,NA,NA
Eucalyptus diversifolia,0.5,1.2,0.4,0.7,0.5,1.1,0.6,1.1,7,11,white_cream,YNNNYYYYYYYY,5.5,11.5,0.9,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,11.5,0.9,2.2
Eucalyptus dives,0.3,0.6,0.2,0.4,0.3,0.7,0.4,0.8,11,11,white_cream,YNNNYYYNYYYY,7,15,1.4,4.2,eucalyptus_dives,6,14,cm,2,7,cm,70,150,14,42,NA,NA,NA,NA
Eucalyptus dolichocera,1.2,1.9,0.35,0.5,0.5,0.9,0.5,0.8,9,13,white_cream,NNNNNNNNNYYY,6,15,1.2,2.3,eucalyptus_dolichocera,NA,NA,NA,NA,NA,NA,60,150,12,23,NA,NA,NA,NA
Eucalyptus dolichorhyncha,3.2,5.5,1,1.8,2.9,4,1.3,3,1,1,red_brown yellow_orange,YYNYNNNYYNNY,4.5,9,1,2.7,eucalyptus_dolichorhyncha,3,10,cm,2,6,cm,45,90,10,27,NA,NA,NA,NA
Eucalyptus dolorosa,0.7,0.8,0.5,0.6,1,1.2,1.1,1.4,7,7,white_cream,NYNNNNNNNNNN,7.5,10.2,1.4,2.3,eucalyptus_dolorosa,6.5,11.5,cm,2.5,4,cm,75,102,14,23,NA,NA,NA,NA
Eucalyptus doratoxylon,0.8,1.1,0.3,0.4,0.5,0.9,0.5,0.8,7,7,white_cream,YYNNNYNYYYNY,4.2,9.5,0.5,1.6,eucalyptus_doratoxylon,4,8,cm,0.5,1.5,cm,42,95,5,16,NA,NA,NA,NA
Eucalyptus dorrigoensis,0.4,0.5,0.2,0.3,0.3,0.4,0.4,0.5,7,7,white_cream,NNNNYNNNNNNN,6,22,1.2,2.7,eucalyptus_dorrigoensis,3.5,8,cm,1.3,4,cm,60,220,12,27,NA,NA,NA,NA
Eucalyptus drummondii,0.8,1.8,0.4,1,0.5,0.9,1,1.2,7,7,white_cream,YYNYYYYYYYYY,4,7,1,2,eucalyptus_drummondii,5.5,8,cm,1.8,5.5,cm,32,80,8,27,4,7,1,2
Eucalyptus dumosa,0.6,1.1,0.3,0.5,0.4,0.9,0.5,0.7,7,7,white_cream,YYYYYNNYYYYY,4.8,12,0.8,2.5,eucalyptus_dumosa,5.5,14,cm,2.2,7,cm,48,120,8,25,NA,NA,NA,NA
Eucalyptus dundasii,0.7,1.1,0.3,0.4,0.6,0.9,0.4,0.6,7,7,white_cream,YNNNYNNNNNNN,6,12,0.6,1.7,eucalyptus_dundasii,6.5,11,cm,3,4.5,cm,60,135,6,17,NA,12,NA,NA
Eucalyptus dunnii,0.6,0.7,0.3,0.5,0.4,0.6,0.5,0.9,7,7,white_cream,NNYYYNNNNNNN,8,30,1.5,4,eucalyptus_dunnii,2.5,15,cm,1.8,11,cm,80,300,15,40,NA,NA,NA,NA
Eucalyptus dura,0.7,0.9,0.4,0.5,0.6,1,0.5,0.7,7,7,white_cream,NNNYYYNYNNNN,9,18,1.5,3.3,eucalyptus_dura,9.5,14,cm,2,4,cm,90,180,15,33,NA,NA,NA,NA
Eucalyptus dwyeri,0.6,1.3,0.3,0.6,0.3,0.9,0.5,0.7,7,7,white_cream,NNNNNNYYYYYY,7,15,1,2.7,eucalyptus_dwyeri,5,15,cm,1,2.5,cm,70,150,10,27,NA,NA,NA,NA
Eucalyptus ebbanoensis,0.4,0.8,0.5,0.7,0.6,1.1,0.7,1.2,3,3,white_cream,NNNNNNNNYYYN,5.5,13,0.7,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,13,0.7,2.4
Eucalyptus ecostata,1.3,2,0.4,0.6,0.5,0.9,0.6,1,11,15,white_cream,NNNNNNNNNYYN,7,8.3,1.3,2.4,eucalyptus_ecostata,3.5,6,cm,2,3,cm,NA,NA,NA,NA,7,8.3,1.3,2.4
Eucalyptus educta,1.3,1.5,0.3,0.6,0.5,0.6,0.8,1.1,7,7,white_cream,NNYYNNNNNNNN,2.5,3.5,2,3,eucalyptus_educta,NA,NA,NA,NA,NA,NA,25,35,20,30,NA,NA,NA,NA
Eucalyptus effusa,0.6,0.8,0.3,0.5,0.4,0.6,0.4,0.7,7,7,white_cream,YNNYNNNNNYYN,5,12.5,0.5,2,eucalyptus_effusa,5,11.5,cm,0.7,4,cm,50,125,5,20,NA,NA,NA,NA
Eucalyptus elaeophloia,0.5,0.7,0.3,0.5,0.4,0.5,0.6,0.8,3,3,white_cream,NNYNNNNNNNNN,7,11.5,1.2,2.5,eucalyptus_elaeophloia,3,4,cm,2,4,cm,70,115,12,25,NA,NA,NA,NA
Eucalyptus elata,0.2,0.4,0.15,0.3,0.3,0.5,0.3,0.6,11,30,white_cream,YNNNNNNYYYYY,6,22,0.6,2,eucalyptus_elata,3.3,10.5,cm,0.6,1.6,cm,60,220,6,20,NA,NA,NA,NA
Eucalyptus elliptica,0.5,0.8,0.3,0.4,0.4,0.6,0.5,0.8,7,7,white_cream,YYYYYNYNYYYY,7,20,1.3,3,eucalyptus_elliptica,2,10,cm,2,6,cm,70,200,13,30,NA,NA,NA,NA
Eucalyptus erectifolia,0.7,1.1,0.4,0.6,1.1,1.4,1.4,1.8,7,13,white_cream,NNYYYNNNNNNN,5.5,10.5,0.7,1.5,eucalyptus_erectifolia,5,12,cm,1,2.5,cm,55,105,7,15,NA,NA,NA,NA
Eucalyptus eremicola,0.6,0.9,0.2,0.4,0.3,0.6,0.4,0.6,9,15,white_cream,YNNNNYYNYNNN,4.5,10,0.6,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,10,0.6,1.7
Eucalyptus eremophila,2.2,3,0.5,0.7,0.8,1.4,0.7,1.2,7,11,pink white_cream,NNNNNNNYYYYY,5,11,0.5,2.5,eucalyptus_eremophila,3,9,cm,0.8,2.5,cm,45,110,5,25,5,NA,NA,NA
