Spp Name,Order,Family,Genus,Species_Code,Plant_height_(m),Leaf_Area_cm2,Seed_Mass_g,"Plant_height_interpolated_(1=Y,0=N)","Leaf_Area_interpolated_(1=Y,0=N)","Seed_Mass_interpolated_(1=Y,0=N)",seed_mass_outcome,plant_height_outcome
Richea acerosa,Ericales,Ericaeae,Richea,1679,1.2,0.659734,1e-4,0,0,0,omit,keep
Richea curtisiae,Ericales,Ericaeae,Richea,1681,4.73333,92.2843,1.53741e-4,1,1,1,keep,keep
Richea dracophylla,Ericales,Ericaeae,Richea,1682,5,70.6858,4.248e-4,0,0,0,keep,keep
Richea gunnii,Ericales,Ericaeae,Richea,1683,4.73333,92.2843,3e-5,1,1,0,omit,keep
Richea milliganii,Ericales,Ericaeae,Richea,1684,4.73333,92.2843,1.53741e-4,1,1,1,keep,keep
Richea pandanifolia,Ericales,Ericaeae,Richea,1685,15,471.239,1.116e-4,0,0,0,keep,keep
Richea procera,Ericales,Ericaeae,Richea,1686,3,3.29867,1.708e-4,0,0,0,keep,keep
Richea scoparia,Ericales,Ericaeae,Richea,1687,3,7.06858,7.08e-5,0,0,0,keep,keep
Richea sprengelioides,Ericales,Ericaeae,Richea,1688,1.2,0.753982,1.6824e-4,0,0,0,keep,keep
Ricinocarpos pinifolius,Malpighiales,Euphorbiaceae,Ricinocarpos,1689,3,0.942478,0.0432256,0,0,0,keep,keep
Romulea rosea,Asparagales,Iridaceae,Romulea,1690,0.4,7.85398,0.00210952,0,0,1,keep,keep
Rorippa dictyosperma,Brassicales,Brassicaceae,Rorippa,1691,0.9,0.785398,6.57467e-4,0,1,1,keep,keep
Rostraria cristata,Poales,Poaceae,Rostraria,1694,0.4,0.0353429,0.00120732,0,0,1,keep,keep
Rubus gunnianus,Rosales,Rosaceae,Rubus,1695,0.8,10.9956,9.374e-4,1,1,1,keep,keep
Rubus parvifolius,Rosales,Rosaceae,Rubus,1696,0.8,10.9956,9.374e-4,0,0,1,keep,keep
Rumex brownii,Caryophyllales,Polygonaceae,Rumex,1698,0.8,37.6991,0.0014484,0,0,0,keep,keep
Rumex dumosus,Caryophyllales,Polygonaceae,Rumex,1699,0.5,39.2699,0.0032792,0,0,0,keep,keep
Rumohra adiantiformis,Polypodiales,Elaphoglossaceae,Rumohra,1701,1,7.853981634,0.0033,0,0,1,keep,keep
Ruppia polycarpa,Alismatales,Potamogetonaceae,Ruppia,1704,0.1,5.89049,1.66e-4,0,0,1,keep,keep
Rytidosperma dimidiatum,Poales,Poaceae,Rytidosperma,1707,0.25,8.18651,2.152e-4,1,1,1,keep,keep
