spp,plant,coll,yr,treat,depths_mm_01,depths_mm_02,depths_mm_03,depths_mm_04,depths_mm_05,depths_mm_06,depths_mm_07,depths_mm_08,depths_mm_09,depths_mm_10,depths_mm_11,depths_mm_12,depths_mm_13,depths_mm_14,depths_mm_15,depths_mm_16,depths_mm_17,depths_mm_18,depths_mm_19,depths_mm_20,depths_mm_21,depths_mm_22,depths_mm_23,depths_mm_24,depths_mm_25,depths_mm_26,depths_mm_27,depths_mm_28,depths_mm_29,depths_mm_30,depths_mm_31,depths_mm_32,depths_mm_33,depths_mm_34,depths_mm_35,depths_mm_36,depths_mm_37,depths_mm_38,depths_mm_39,depths_mm_40,depths_mm_41,depths_mm_42,depths_mm_43,depths_mm_44,depths_mm_45,depths_mm_46,depths_mm_47,depths_mm_48,depths_mm_49,depths_mm_50,depths_mm_51,depths_mm_52,depths_mm_53,depths_mm_54,depths_mm_55,depths_mm_56,depths_mm_57,depths_mm_58,depths_mm_59,depths_mm_60,depths_mm_61,depths_mm_62,depths_mm_63,depths_mm_64,depths_mm_65,depths_mm_66,depths_mm_67,depths_mm_68,depths_mm_69,depths_mm_70,depths_mm_71,depths_mm_72,depths_mm_73,depths_mm_74,depths_mm_75,depths_mm_76,depths_mm_77,depths_mm_78,depths_mm_79,depths_mm_80,depths_mm_81,depths_mm_82,depths_mm_83,depths_mm_84,depths_mm_85,depths_mm_86,depths_mm_87,depths_mm_88
eregla,burn15,43678,1,b,22,18,15,14,13,11,8,8,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minlep,clip7,43678,1,c,1,0,0,0,-1,-1,-1,-2,-2,-2,-3,-3,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minlep,clip6,43678,1,c,1,1,0,0,0,-1,-1,-1,-2,-2,-2,-3,-3,-4,-4,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minlep,clip5,43678,1,c,35,31,5,5,4,4,3,3,2,2,1,1,1,0,0,-1,-2,-2,-3,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minlep,clip4,43678,1,c,0,-1,-1,-1,-1,-1,-1,-2,-2,-3,-3,-3,-4,-4,-4,-5,-5,-5,-5,-6,-6,-7,-7,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minlep,clip3,43678,1,c,1,1,0,0,0,0,-1,-1,-1,-2,-2,-2,-2,-3,-3,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minlep,clip2,43678,1,c,2,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-3,-3,-3,-3,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minlep,clip1,43678,1,c,31,30,21,6,5,4,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-3,-3,-3,-4,-4,-4,-5,-5,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minlep,burn7,43678,1,b,26,24,23,22,16,15,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minlep,burn6,43678,1,b,17,16,15,15,14,13,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minlep,burn5,43678,1,b,9,9,8,7,7,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minlep,burn4,43678,1,b,9,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minlep,burn3,43678,1,b,8,8,7,7,7,6,6,6,6,6,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minlep,burn2,43678,1,b,14,13,13,12,11,11,11,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minlep,burn1,43678,1,b,24,23,21,18,16,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olepim,clip5,43678,1,c,23,15,8,7,7,7,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,-1,-1,-1,-1,-2,-2,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olepim,clip4,43678,1,c,9,9,7,7,6,5,4,3,2,1,1,0,-1,-1,-2,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olepim,clip3,43678,1,c,9,8,7,6,6,6,5,5,5,5,4,4,4,3,3,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olepim,clip2,43678,1,c,10,9,9,9,8,8,7,7,7,7,6,6,6,5,5,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,-1,-2,-3,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olepim,clip1,43678,1,c,2,2,1,1,0,0,0,0,0,-1,-1,-1,-1,-1,-2,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olepim,c2 5,43678,1,c2,26,24,11,10,10,9,0,-4,-4,-5,-5,-6,-7,-8,-8,-9,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olepim,c2 4,43678,1,c2,20,18,2,2,1,1,1,1,0,0,0,-1,-2,-3,-3,-4,-4,-5,-7,-9,-11,-11,-16,-16,-19,-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olepim,c2 3,43678,1,c2,16,15,15,13,11,-10,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olepim,c2 2,43678,1,c2,12,11,7,4,1,0,-3,-3,-5,-7,-8,-9,-9,-11,-11,-12,-13,-13,-15,-15,-15,-18,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olepim,c2 1,43678,1,c2,-4,-7,-11,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olepim,burn5,43678,1,b,20,17,15,14,13,13,13,12,11,11,11,11,11,9,9,8,8,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olepim,burn4,43678,1,b,27,26,26,25,24,23,17,13,12,11,9,8,8,8,8,7,7,7,7,6,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olepim,burn3,43678,1,b,40,35,30,29,29,28,27,26,25,23,23,21,20,18,17,17,17,17,16,16,16,15,14,13,12,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olepim,burn2,43678,1,b,36,35,32,27,20,20,19,12,12,12,11,11,11,11,11,10,10,10,10,9,9,7,7,7,7,6,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olepim,burn1,43678,1,b,15,15,14,14,13,13,13,10,10,9,9,8,8,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scldia,clip4,43678,1,c,5,3,3,1,0,0,-1,-1,-1,-1,-1,-2,-2,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scldia,clip3,43678,1,c,2,2,1,0,-1,-1,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scldia,clip2,43678,1,c,2,1,1,1,0,0,-1,-1,-2,-3,-3,-4,-4,-5,-5,-6,-6,-6,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scldia,clip1,43678,1,c,4,4,3,2,2,1,1,1,1,1,0,0,0,-1,-1,-1,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,clip5,43678,1,c,2,2,2,1,0,0,0,-1,-2,-2,-3,-3,-3,-4,-4,-4,-5,-5,-5,-6,-6,-7,-7,-8,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,clip4,43678,1,c,2,1,1,1,1,1,1,0,-1,-1,-2,-2,-3,-4,-6,-6,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,clip3,43678,1,c,3,-4,-4,-4,-5,-5,-6,-6,-6,-6,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,clip2,43678,1,c,-1,-2,-3,-3,-3,-3,-4,-5,-6,-6,-7,-7,-7,-8,-8,-8,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,clip1,43678,1,c,-3,-3,-3,-3,-3,-3,-3,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,-6,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,c2 5,43678,1,c2,1,1,0,-1,-2,-2,-3,-4,-4,-5,-6,-6,-6,-7,-7,-7,-8,-8,-8,-9,-9,-10,-11,-11,-11,-11,-12,-12,-12,-13,-13,-13,-14,-14,-14,-14,-16,-17,-18,-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,c2 4,43678,1,c2,16,3,2,1,-1,-1,-3,-4,-4,-5,-6,-8,-8,-9,-10,-11,-20,-21,-21,-22,-22,-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,c2 3,43678,1,c2,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,c2 2,43678,1,c2,-7,-7,-9,-11,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,c2 1,43678,1,c2,-2,-3,-6,-6,-8,-11,-11,-16,-16,-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,burn6,43678,1,b,19,19,18,18,18,17,17,17,16,16,16,16,15,14,14,14,14,13,13,13,11,10,10,9,9,9,9,9,8,8,8,8,8,8,7,7,7,7,6,6,6,5,5,5,5,3,3,2,2,2,1,1,1,0,0,0,-1,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,burn5,43678,1,b,13,12,12,12,11,11,11,11,11,10,10,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,burn4,43678,1,b,16,15,15,14,13,12,12,11,10,10,9,9,9,8,8,8,8,8,7,7,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,burn3,43678,1,b,19,19,18,18,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,burn2,43678,1,b,21,20,19,19,19,19,18,18,18,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,10,10,10,10,10,9,9,
senart,burn1,43678,1,b,16,15,14,14,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eregla,clip b,43770,1,c,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eregla,clip a,43770,1,c,23,21,4,3,1,0,-2,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eregla,clip 14,43770,1,c,5,4,4,3,3,0,0,-1,-1,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eregla,clip 11,43770,1,c,25,24,23,23,20,20,16,15,8,7,2,2,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-3,-3,-3,-3,-3,-3,-4,-4,-5,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eregla,burn 37,43770,1,b,12,11,11,11,11,10,10,10,9,9,9,8,8,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eregla,burn 35,43770,1,b,17,16,16,15,15,14,14,14,14,13,13,12,12,12,12,12,11,10,10,10,10,9,9,9,9,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eregla,burn 32,43770,1,b,14,14,13,12,11,11,10,9,8,8,7,7,7,6,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eregla,burn 24,43770,1,b,11,10,10,10,10,9,9,9,9,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eregla,burn 18,43770,1,b,18,17,17,16,16,16,15,15,14,14,13,13,11,9,9,9,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erelon,clip e,43770,1,c,19,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erelon,clip d,43770,1,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erelon,clip c,43770,1,c,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erelon,clip 32,43770,1,c,38,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erelon,clip 11,43770,1,c,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erelon,burn c,43770,1,b,16,15,15,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erelon,burn b,43770,1,b,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erelon,burn a,43770,1,b,17,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erelon,burn 6,43770,1,b,24,21,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olepim,clip c,43770,1,c,11,10,6,5,2,1,0,-1,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olepim,clip b,43770,1,c,10,10,9,9,8,8,8,7,7,7,7,7,6,6,6,6,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olepim,clip a,43770,1,c,22,-1,-2,-3,-3,-3,-3,-4,-4,-5,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olepim,c2 b,43770,1,c2,1,-9,-8,-9,-10,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olepim,c2 a,43770,1,c2,0,-1,-2,-2,-3,-3,-5,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olepim,burn c,43770,1,b,27,23,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olepim,burn b,43770,1,b,22,21,14,13,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olepim,burn a,43770,1,b,26,25,25,24,23,22,21,21,21,20,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,clip59,43770,1,c,11,11,9,9,8,8,8,7,7,7,7,6,6,6,5,5,5,4,4,4,4,4,3,2,2,0,-1,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,clip5,43770,1,c,13,13,12,12,11,11,10,10,9,8,7,7,6,6,5,5,4,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2,-3,-3,-3,-3,-3,-4,-4,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,clip c,43770,1,c,10,8,7,6,2,1,0,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,clip b,43770,1,c,16,11,8,7,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,clip a,43770,1,c,12,11,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,c2 55,43770,1,c2,29,28,27,24,22,22,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,burn51,43770,1,b,9,9,9,9,9,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,burn48,43770,1,b,12,12,12,11,11,10,10,9,9,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,burn42,43770,1,b,15,15,14,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,burn32,43770,1,b,38,37,36,35,34,29,29,28,26,25,25,23,23,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senart,burn15,43770,1,b,17,17,16,15,14,14,14,13,13,12,12,12,12,11,11,11,10,10,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
