plot.id,species,dune.system,uptake.strategy,specific.uptake.strategy,collection.date,Ca_ug.g.DW,Cu_ug.g.DW,Fe_ug.g.DW,K_ug.g.DW,Mg_ug.g.DW,Mn_ug.g.DW,Mo_ug.g.DW,P_ug.g.DW,S_ug.g.DW,Zn_ug.g.DW,N_ug.g.DW,C_%,CN,senesced_leaf_Ca,senesced_leaf_Cu,senesced_leaf_Fe,senesced_leaf_K,senesced_leaf_Mg,senesced_leaf_Mn,senesced_leaf_Mo,senesced_leaf_P,senesced_leaf_S,senesced_leaf_Zn,senesced_leaf_N
Q.Y.18,Conostylis candicans subsp. calcicola,QY,NM,NA,3/5/12,13569.77828,0.929186818,60.80882471,4046.122076,1842.991405,136.4860495,0.01254764,316.5407952,920.3682333,1.648980498,7899.88167,45.34055443,57.39396656,20049.67488,0.756972928,115.9477113,408.4709762,2120.854705,91.25842684,0.09600966,158.7891952,1249.441633,-0.315376032,6437.4318
Q.Y.18,Hardenbergia comptoniana ,QY,AM/N fixing,NA,3/5/12,52887.61518,1.809054668,63.8276999,2956.594676,14078.5429,178.6278567,-0.01086707,770.3729952,1091.143233,2.086730898,18461.7293,41.40167513,22.42567555,71423.31598,4.392647058,67.88948189,1542.630376,14071.6763,98.73339781,0.09625643,512.5032952,778.0264333,2.292406368,7360.9285
Q.Y.18,Olearia axillaris,QY,AM,NA,3/5/12,15589.72838,1.603172698,200.5934639,7802.689376,3647.749605,16.34070733,0.14715821,3491.710795,1960.419933,4.878556068,12510.2611,48.08719253,38.43820056,22296.74498,0.666480788,289.2055884,3940.166376,4310.685205,11.42338148,0.18225053,7112.486195,2283.490333,2.865366298,5730.5844
Q.Y.18,Scaevola crassifolia,QY,AM,NA,3/5/12,48214.57918,1.311612328,48.07292374,4934.198076,4747.360105,13.74485994,-0.18119063,3282.613795,8456.662433,4.216907638,15318.72988,40.56510611,26.4807242,40803.71698,0.346012378,52.26062465,1268.274376,2820.735405,4.080493576,0.20893057,3641.047295,8587.574133,1.080860528,6923.59
Q.Y.18,Spyridium globulosum,QY,AM/EM,NA,3/5/12,26203.76598,1.057603998,52.43290013,7687.286376,1775.594005,6.178646326,-0.20558057,758.0401952,1012.946433,2.156667038,9153.258,48.10593844,52.55608269,29790.17788,0.369999898,60.3361376,5263.970576,1670.644805,6.444715956,-0.19847449,742.8997952,1100.207933,-0.456738042,5369.1315
Q.Y.20,Acacia rostellifera ,QY,N fixing,NA,3/5/12,28490.81078,1.622202548,98.52001065,4328.407176,7081.912005,4.001740296,-0.01554388,661.4754952,11064.43373,8.745162828,18854.17879,44.4106406,23.55479976,44161.02588,0.634516228,66.89004149,1837.762276,8923.039405,2.271478736,0.02540702,255.8517952,15306.97553,-0.134512872,9638.8641
Q.Y.20,Conostylis candicans subsp. calcicola,QY,NM,NA,3/5/12,17062.99828,0.920209168,85.02266148,5476.990976,3669.715005,62.11665748,0.36654255,314.8130952,1549.981433,2.464851028,6875.88507,43.84489762,63.76618741,19884.1287,0.8415375,137.066,513.4712,2287.611175,74.61525,0.106728571,109.0730875,1148.616188,2.9857,5689.7506
Q.Y.20,Olearia axillaris,QY,AM,NA,3/5/12,15424.58678,0.955756508,209.8717032,3891.242876,2088.358505,10.07539816,0.20376889,1726.863595,1110.932933,1.384360248,8587.99023,48.62918394,56.6246382,32621.18968,0.571632818,370.2335945,942.7491762,3264.948805,9.846640766,0.20964252,5329.020595,1304.569333,-0.307101082,4405.2922
Q.Y.20,Scaevola crassifolia,QY,AM,NA,3/5/12,64382.47748,2.281867738,71.01040532,3252.876276,4988.383405,19.56178326,0.46445504,2148.372895,15820.06273,3.678956648,6716.71668,41.57428076,61.89673128,37174.42558,0.404866948,40.43569293,380.2302762,3137.907405,5.068794546,0.25681951,1451.978895,16929.19823,-1.506088692,3067.968
Q.Y.20,Spyridium globulosum,QY,AM/EM,NA,3/5/12,23003.76328,0.858683438,70.36099648,6067.949576,3642.246905,7.539383586,0.26673272,331.6373952,1479.778233,1.704206208,9238.08605,48.16607295,52.13858444,34704.63768,0.332204708,114.1712674,1399.640176,4775.593405,3.434259746,0.15727453,328.5357952,1642.068533,-0.710659812,3666.3358
