Water_treatment,Species,Subfamily,Tribe,Tillers_prefire,Tillers_postfire,Basal_cm2,Tillers_cm2,Wet_weight_mg,LA_mm2,Dry_weight_mg,SLA,LDMC,Photosynthetic_pathway,Growth_habit,Life_cycle,bud_location,resprout_prop
8 Days,Microlaena stipoides,Ehrhartoideae,Ehrharteae,252,115,31.83,7.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45634920634920634
8 Days,Microlaena stipoides,Ehrhartoideae,Ehrharteae,211,220,53.79,3.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.042654028436019
8 Days,Microlaena stipoides,Ehrhartoideae,Ehrharteae,182,147,45.84,3.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8076923076923077
8 Days,Microlaena stipoides,Ehrhartoideae,Ehrharteae,246,183,25.78,9.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7439024390243902
11 Days,Microlaena stipoides,Ehrhartoideae,Ehrharteae,99,161,31.83,3.11,217,720.75,75,9.61,345.62,NA,NA,NA,NA,1.6262626262626263
11 Days,Microlaena stipoides,Ehrhartoideae,Ehrharteae,142,133,45.84,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9366197183098591
11 Days,Microlaena stipoides,Ehrhartoideae,Ehrharteae,71,133,20.37,3.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8732394366197183
11 Days,Microlaena stipoides,Ehrhartoideae,Ehrharteae,224,201,45.84,4.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8973214285714286
11 Days,Microlaena stipoides,Ehrhartoideae,Ehrharteae,75,261,31.83,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.48
4 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,6,0,28.73,0.21,727,1336.16,246,5.43,338.38,C3,Rhizomatous,Perennial,Rhizome,0
4 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,35,0,20.37,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,31,0,81.49,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,29,0,58.01,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,51,0,28.73,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,4,0,15.6,0.26,454,897.13,155,5.79,341.41,NA,NA,NA,NA,0
8 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,31,1,66.92,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03225806451612903
8 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,38,0,103.13,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,24,0,11.46,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,46,0,17.9,2.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,39,0,38.52,1.01,381,600.23,132,4.55,346.46,NA,NA,NA,NA,0
11 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,21,0,9.63,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,6,0,15.6,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,49,0,13.45,3.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Tetrarrhena juncea,Ehrhartoideae,Ehrharteae,37,0,133.77,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Eragrostis brownii,Chloridoideae,Eragrostideae,281,87,23,12.22,685,1051.17,217,4.84,316.79,C4,Tufted,Perennial,Crown,0.3096085409252669
4 Days,Eragrostis brownii,Chloridoideae,Eragrostideae,230,40,20.37,11.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17391304347826086
4 Days,Eragrostis brownii,Chloridoideae,Eragrostideae,288,76,35.09,8.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2638888888888889
4 Days,Eragrostis brownii,Chloridoideae,Eragrostideae,243,109,28.73,8.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.448559670781893
4 Days,Eragrostis brownii,Chloridoideae,Eragrostideae,234,60,31.83,7.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2564102564102564
8 Days,Eragrostis brownii,Chloridoideae,Eragrostideae,202,136,31.83,6.35,508,1317.54,170,7.75,334.65,NA,NA,NA,NA,0.6732673267326733
8 Days,Eragrostis brownii,Chloridoideae,Eragrostideae,384,128,49.74,7.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3333333333333333
8 Days,Eragrostis brownii,Chloridoideae,Eragrostideae,230,109,31.83,7.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47391304347826085
8 Days,Eragrostis brownii,Chloridoideae,Eragrostideae,147,97,31.83,4.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6598639455782312
8 Days,Eragrostis brownii,Chloridoideae,Eragrostideae,219,100,31.83,6.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45662100456621
11 Days,Eragrostis brownii,Chloridoideae,Eragrostideae,132,123,49.74,2.65,469,1128.2,183,6.17,390.19,NA,NA,NA,NA,0.9318181818181818
11 Days,Eragrostis brownii,Chloridoideae,Eragrostideae,128,133,31.83,4.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0390625
11 Days,Eragrostis brownii,Chloridoideae,Eragrostideae,153,106,20.37,7.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6928104575163399
11 Days,Eragrostis brownii,Chloridoideae,Eragrostideae,111,103,28.73,3.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9279279279279279
11 Days,Eragrostis brownii,Chloridoideae,Eragrostideae,178,98,23,7.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.550561797752809
4 Days,Enneapogon nigricans,Chloridoideae,Eragrostideae,84,16,31.83,2.64,526,914.87,163,5.61,309.89,C4,Tufted,Perennial,Crown,0.19047619047619047
4 Days,Enneapogon nigricans,Chloridoideae,Eragrostideae,88,0,23,3.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Enneapogon nigricans,Chloridoideae,Eragrostideae,103,0,17.9,5.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Enneapogon nigricans,Chloridoideae,Eragrostideae,87,12,20.37,4.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13793103448275862
4 Days,Enneapogon nigricans,Chloridoideae,Eragrostideae,30,2,11.46,2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06666666666666667
8 Days,Enneapogon nigricans,Chloridoideae,Eragrostideae,47,0,76.47,0.61,473,1108.61,141,7.86,298.1,NA,NA,NA,NA,0
8 Days,Enneapogon nigricans,Chloridoideae,Eragrostideae,65,5,11.46,5.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07692307692307693
8 Days,Enneapogon nigricans,Chloridoideae,Eragrostideae,47,0,11.46,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Enneapogon nigricans,Chloridoideae,Eragrostideae,95,35,28.73,3.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3684210526315789
8 Days,Enneapogon nigricans,Chloridoideae,Eragrostideae,66,8,17.9,3.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12121212121212122
11 Days,Enneapogon nigricans,Chloridoideae,Eragrostideae,61,55,91.99,0.66,454,1090.32,157,6.94,345.81,NA,NA,NA,NA,0.9016393442622951
11 Days,Enneapogon nigricans,Chloridoideae,Eragrostideae,51,0,17.9,2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Enneapogon nigricans,Chloridoideae,Eragrostideae,20,0,7.96,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Enneapogon nigricans,Chloridoideae,Eragrostideae,55,0,13.45,4.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Enneapogon nigricans,Chloridoideae,Eragrostideae,32,1,11.46,2.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03125
4 Days,Glyceria  australis,Pooideae,Meliceae,51,47,154.06,0.33,2236,2876.44,618,4.65,276.39,C3,Rhizomatous,Perennial,Rhizome,0.9215686274509803
4 Days,Glyceria  australis,Pooideae,Meliceae,47,58,147.14,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2340425531914894
4 Days,Glyceria  australis,Pooideae,Meliceae,33,30,183.35,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9090909090909091
4 Days,Glyceria  australis,Pooideae,Meliceae,53,74,191.07,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3962264150943395
4 Days,Glyceria  australis,Pooideae,Meliceae,48,56,147.14,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1666666666666667
8 Days,Glyceria  australis,Pooideae,Meliceae,46,76,97.48,0.47,1355,1968.52,341,5.77,251.66,NA,NA,NA,NA,1.6521739130434783
8 Days,Glyceria  australis,Pooideae,Meliceae,20,41,114.91,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05
8 Days,Glyceria  australis,Pooideae,Meliceae,42,42,240.72,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
8 Days,Glyceria  australis,Pooideae,Meliceae,38,27,114.91,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7105263157894737
8 Days,Glyceria  australis,Pooideae,Meliceae,47,70,127.32,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4893617021276595
11 Days,Glyceria  australis,Pooideae,Meliceae,41,50,147.14,0.28,953,1281.29,268,4.78,281.22,NA,NA,NA,NA,1.2195121951219512
11 Days,Glyceria  australis,Pooideae,Meliceae,30,45,175.79,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5
11 Days,Glyceria  australis,Pooideae,Meliceae,26,43,121.04,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6538461538461537
11 Days,Glyceria  australis,Pooideae,Meliceae,33,50,161.14,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5151515151515151
11 Days,Glyceria  australis,Pooideae,Meliceae,51,60,215.18,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1764705882352942
4 Days,Phragmites australis,Arundinoideae,Molinieae,15,14,91.99,0.16,4562,5668.61,1156,4.9,253.4,C3,Rhizomatous,Perennial,Rhizome,0.9333333333333333
4 Days,Phragmites australis,Arundinoideae,Molinieae,12,11,91.99,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9166666666666666
4 Days,Phragmites australis,Arundinoideae,Molinieae,20,23,183.35,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15
4 Days,Phragmites australis,Arundinoideae,Molinieae,13,15,121.04,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1538461538461537
4 Days,Phragmites australis,Arundinoideae,Molinieae,23,16,147.14,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6956521739130435
8 Days,Phragmites australis,Arundinoideae,Molinieae,19,17,133.77,0.14,2345,3685.03,862,4.27,367.59,NA,NA,NA,NA,0.8947368421052632
8 Days,Phragmites australis,Arundinoideae,Molinieae,11,16,91.99,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4545454545454546
8 Days,Phragmites australis,Arundinoideae,Molinieae,18,14,121.04,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7777777777777778
8 Days,Phragmites australis,Arundinoideae,Molinieae,12,7,108.94,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5833333333333334
8 Days,Phragmites australis,Arundinoideae,Molinieae,18,17,76.47,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9444444444444444
11 Days,Phragmites australis,Arundinoideae,Molinieae,18,22,91.99,0.2,2961,4160.69,1207,3.45,407.63,NA,NA,NA,NA,1.2222222222222223
11 Days,Phragmites australis,Arundinoideae,Molinieae,18,26,62.39,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4444444444444444
11 Days,Phragmites australis,Arundinoideae,Molinieae,10,11,71.62,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1
11 Days,Phragmites australis,Arundinoideae,Molinieae,12,9,86.66,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
11 Days,Phragmites australis,Arundinoideae,Molinieae,10,15,81.49,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5
4 Days,Digitaria brownii,Panicoideae,Paniceae,121,74,23,5.26,353,672.69,96,7.01,271.95,C4,Rhizomatous,Perennial,Rhizome,0.6115702479338843
4 Days,Digitaria brownii,Panicoideae,Paniceae,154,73,28.73,5.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.474025974025974
4 Days,Digitaria brownii,Panicoideae,Paniceae,203,64,31.83,6.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31527093596059114
4 Days,Digitaria brownii,Panicoideae,Paniceae,125,72,49.74,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.576
4 Days,Digitaria brownii,Panicoideae,Paniceae,137,82,35.09,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5985401459854015
8 Days,Digitaria brownii,Panicoideae,Paniceae,151,111,31.83,4.74,305,663.39,87,7.63,285.25,NA,NA,NA,NA,0.7350993377483444
8 Days,Digitaria brownii,Panicoideae,Paniceae,161,149,31.83,5.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9254658385093167
8 Days,Digitaria brownii,Panicoideae,Paniceae,106,81,23,4.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7641509433962265
8 Days,Digitaria brownii,Panicoideae,Paniceae,164,105,35.09,4.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6402439024390244
8 Days,Digitaria brownii,Panicoideae,Paniceae,160,66,28.73,5.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4125
11 Days,Digitaria brownii,Panicoideae,Paniceae,126,81,38.52,3.27,315,687.51,111,6.19,352.38,NA,NA,NA,NA,0.6428571428571429
11 Days,Digitaria brownii,Panicoideae,Paniceae,178,119,28.73,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6685393258426966
11 Days,Digitaria brownii,Panicoideae,Paniceae,126,75,17.9,7.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5952380952380952
11 Days,Digitaria brownii,Panicoideae,Paniceae,131,98,35.09,3.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7480916030534351
11 Days,Digitaria brownii,Panicoideae,Paniceae,155,97,23,6.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6258064516129033
4 Days,Neurachne alopecuroidea,Panicoideae,Paniceae,33,10,11.46,2.88,527,1102.93,205,5.38,388.99,C3,"Tufted, shortly rhizomatous",Perennial,Crown,0.30303030303030304
4 Days,Neurachne alopecuroidea,Panicoideae,Paniceae,32,16,7.96,4.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
4 Days,Neurachne alopecuroidea,Panicoideae,Paniceae,77,19,38.52,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24675324675324675
4 Days,Neurachne alopecuroidea,Panicoideae,Paniceae,43,13,20.37,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3023255813953488
4 Days,Neurachne alopecuroidea,Panicoideae,Paniceae,21,7,9.63,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3333333333333333
8 Days,Neurachne alopecuroidea,Panicoideae,Paniceae,35,34,11.46,3.05,477,1049.82,178,5.9,373.17,NA,NA,NA,NA,0.9714285714285714
8 Days,Neurachne alopecuroidea,Panicoideae,Paniceae,30,12,9.63,3.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4
8 Days,Neurachne alopecuroidea,Panicoideae,Paniceae,36,14,15.6,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3888888888888889
8 Days,Neurachne alopecuroidea,Panicoideae,Paniceae,82,61,66.92,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7439024390243902
8 Days,Neurachne alopecuroidea,Panicoideae,Paniceae,53,22,23,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41509433962264153
11 Days,Neurachne alopecuroidea,Panicoideae,Paniceae,68,36,11.46,5.93,385,830.95,151,5.5,392.21,NA,NA,NA,NA,0.5294117647058824
11 Days,Neurachne alopecuroidea,Panicoideae,Paniceae,55,24,13.45,4.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43636363636363634
11 Days,Neurachne alopecuroidea,Panicoideae,Paniceae,40,47,13.45,2.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.175
11 Days,Neurachne alopecuroidea,Panicoideae,Paniceae,23,8,5.09,4.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34782608695652173
11 Days,Neurachne alopecuroidea,Panicoideae,Paniceae,38,7,38.52,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18421052631578946
4 Days,Oplismenus hirtellus,Panicoideae,Paniceae,52,1,183.35,0.28,171,481.86,49,9.83,286.55,C3,Stoloniferous,Annual/Perennial,Stolon,0.019230769230769232
4 Days,Oplismenus hirtellus,Panicoideae,Paniceae,53,0,76.47,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Oplismenus hirtellus,Panicoideae,Paniceae,72,0,183.35,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Oplismenus hirtellus,Panicoideae,Paniceae,83,0,198.94,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Oplismenus hirtellus,Panicoideae,Paniceae,109,0,198.94,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Oplismenus hirtellus,Panicoideae,Paniceae,65,0,154.06,0.42,73,530.07,37,14.33,506.85,NA,NA,NA,NA,0
8 Days,Oplismenus hirtellus,Panicoideae,Paniceae,66,1,140.37,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015151515151515152
8 Days,Oplismenus hirtellus,Panicoideae,Paniceae,47,0,198.94,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Oplismenus hirtellus,Panicoideae,Paniceae,53,0,147.14,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Oplismenus hirtellus,Panicoideae,Paniceae,53,0,183.35,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Oplismenus hirtellus,Panicoideae,Paniceae,56,0,183.35,0.31,169,522.04,48,10.88,284.02,NA,NA,NA,NA,0
11 Days,Oplismenus hirtellus,Panicoideae,Paniceae,55,0,140.37,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Oplismenus hirtellus,Panicoideae,Paniceae,68,0,127.32,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Oplismenus hirtellus,Panicoideae,Paniceae,68,0,154.06,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Oplismenus hirtellus,Panicoideae,Paniceae,50,0,215.18,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Panicum effusum,Panicoideae,Paniceae,65,45,49.74,1.31,1854,2200,612,3.59,330.1,C4,Tufted,Perennial,Crown,0.6923076923076923
4 Days,Panicum effusum,Panicoideae,Paniceae,108,59,71.62,1.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5462962962962963
4 Days,Panicum effusum,Panicoideae,Paniceae,81,25,66.92,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30864197530864196
4 Days,Panicum effusum,Panicoideae,Paniceae,113,37,114.91,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3274336283185841
4 Days,Panicum effusum,Panicoideae,Paniceae,84,24,53.79,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2857142857142857
8 Days,Panicum effusum,Panicoideae,Paniceae,72,48,45.84,1.57,1063,1637.85,369,4.44,347.13,NA,NA,NA,NA,0.6666666666666666
8 Days,Panicum effusum,Panicoideae,Paniceae,90,79,42.1,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8777777777777778
8 Days,Panicum effusum,Panicoideae,Paniceae,99,51,58.01,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5151515151515151
8 Days,Panicum effusum,Panicoideae,Paniceae,76,17,58.01,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2236842105263158
8 Days,Panicum effusum,Panicoideae,Paniceae,96,52,58.01,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5416666666666666
11 Days,Panicum effusum,Panicoideae,Paniceae,151,62,58.01,2.6,1144,1527.37,467,3.27,408.22,NA,NA,NA,NA,0.4105960264900662
11 Days,Panicum effusum,Panicoideae,Paniceae,83,41,38.52,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4939759036144578
11 Days,Panicum effusum,Panicoideae,Paniceae,78,58,42.1,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7435897435897436
11 Days,Panicum effusum,Panicoideae,Paniceae,152,49,58.01,2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3223684210526316
11 Days,Panicum effusum,Panicoideae,Paniceae,96,68,97.48,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7083333333333334
4 Days,Paspalidium jubiflorum,Panicoideae,Paniceae,220,107,81.49,2.7,1087,2251,317,7.1,291.63,C4,Tufted,Perennial,Rhizome,0.4863636363636364
4 Days,Paspalidium jubiflorum,Panicoideae,Paniceae,172,91,38.52,4.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5290697674418605
4 Days,Paspalidium jubiflorum,Panicoideae,Paniceae,138,73,103.13,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5289855072463768
4 Days,Paspalidium jubiflorum,Panicoideae,Paniceae,151,71,49.74,3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47019867549668876
4 Days,Paspalidium jubiflorum,Panicoideae,Paniceae,146,81,58.01,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5547945205479452
8 Days,Paspalidium jubiflorum,Panicoideae,Paniceae,177,127,62.39,2.84,455,1167.23,96,12.16,210.99,NA,NA,NA,NA,0.7175141242937854
8 Days,Paspalidium jubiflorum,Panicoideae,Paniceae,153,103,91.99,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.673202614379085
8 Days,Paspalidium jubiflorum,Panicoideae,Paniceae,126,70,97.48,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5555555555555556
8 Days,Paspalidium jubiflorum,Panicoideae,Paniceae,142,64,62.39,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4507042253521127
8 Days,Paspalidium jubiflorum,Panicoideae,Paniceae,131,84,38.52,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6412213740458015
11 Days,Paspalidium jubiflorum,Panicoideae,Paniceae,129,92,66.92,1.93,349,894.28,86,10.4,246.42,NA,NA,NA,NA,0.7131782945736435
11 Days,Paspalidium jubiflorum,Panicoideae,Paniceae,155,98,42.1,3.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.632258064516129
11 Days,Paspalidium jubiflorum,Panicoideae,Paniceae,93,81,62.39,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8709677419354839
11 Days,Paspalidium jubiflorum,Panicoideae,Paniceae,145,41,66.92,2.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2827586206896552
11 Days,Paspalidium jubiflorum,Panicoideae,Paniceae,142,61,53.79,2.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4295774647887324
4 Days,Spinifex  sericeus,Panicoideae,Paniceae,1,0,0.32,3.14,3073,1453.67,952,1.53,309.79,C4,Stoloniferous,Perennial,Stolon,0
4 Days,Spinifex  sericeus,Panicoideae,Paniceae,3,0,3.9,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Spinifex  sericeus,Panicoideae,Paniceae,1,0,0.72,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Spinifex  sericeus,Panicoideae,Paniceae,10,0,11.46,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Spinifex  sericeus,Panicoideae,Paniceae,1,0,0.32,3.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Spinifex  sericeus,Panicoideae,Paniceae,1,0,0.08,12.57,4973,3106.54,1675,1.85,336.82,NA,NA,NA,NA,0
8 Days,Spinifex  sericeus,Panicoideae,Paniceae,2,0,5.09,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Spinifex  sericeus,Panicoideae,Paniceae,5,0,7.96,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Spinifex  sericeus,Panicoideae,Paniceae,1,0,0.08,12.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Spinifex  sericeus,Panicoideae,Paniceae,1,0,0.08,12.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Spinifex  sericeus,Panicoideae,Paniceae,4,0,6.45,0.62,4608,3399.08,1449,2.35,314.45,NA,NA,NA,NA,0
11 Days,Spinifex  sericeus,Panicoideae,Paniceae,4,4,5.09,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
11 Days,Spinifex  sericeus,Panicoideae,Paniceae,11,0,9.63,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Spinifex  sericeus,Panicoideae,Paniceae,3,0,6.45,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Spinifex  sericeus,Panicoideae,Paniceae,4,0,5.09,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Walwhalleya proluta,Panicoideae,Paniceae,22,0,7.96,2.76,825,1605.24,223,7.2,270.3,C3,"Tufted, shortly rhizomatous",Perennial,Crown,0
4 Days,Walwhalleya proluta,Panicoideae,Paniceae,22,0,9.63,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Walwhalleya proluta,Panicoideae,Paniceae,9,0,38.52,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Walwhalleya proluta,Panicoideae,Paniceae,13,0,25.78,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Walwhalleya proluta,Panicoideae,Paniceae,14,0,17.9,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Walwhalleya proluta,Panicoideae,Paniceae,16,0,7.96,2.01,461,1038.27,109,9.53,236.44,NA,NA,NA,NA,0
8 Days,Walwhalleya proluta,Panicoideae,Paniceae,17,0,11.46,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Walwhalleya proluta,Panicoideae,Paniceae,20,0,9.63,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
