Month,Date,Temperature,Plant species,Genus,Family,Origin,Horticutural variety,Colour,Flower N,Insect taxa,N,TotalN,Native bee genera,counts?,notes
October,25/10/2020,34.9,Dianella revoluta,Dianella,Asphodelaceae ,native,n,blue,10,Syrphid flies,2,,,,
October,25/10/2020,34.9,Dianella revoluta,Dianella,Asphodelaceae ,native,n,blue,10,Other flies,0,,,,
October,25/10/2020,34.9,Verticordia chrysantha,Verticordia,Myrtaceae,native,n,yellow,40,Native bees,0,0,,,
October,25/10/2020,34.9,Verticordia chrysantha,Verticordia,Myrtaceae,native,n,yellow,41,Honeybees,0,,,,
October,25/10/2020,34.9,Verticordia chrysantha,Verticordia,Myrtaceae,native,n,yellow,42,Wasps,0,,,,
October,25/10/2020,34.9,Verticordia chrysantha,Verticordia,Myrtaceae,native,n,yellow,43,Syrphid flies,0,,,,
October,25/10/2020,34.9,Verticordia chrysantha,Verticordia,Myrtaceae,native,n,yellow,44,Other flies,0,,,,
October,25/10/2020,34.9,Callistemon 'White Anzac’ ,Callistemon,Myrtaceae,native,y,white,20,Native bees,0,30,,,
October,25/10/2020,34.9,Callistemon 'White Anzac’ ,Callistemon,Myrtaceae,native,y,white,20,Honeybees,29,,,,
October,25/10/2020,34.9,Callistemon 'White Anzac’ ,Callistemon,Myrtaceae,native,y,white,20,Wasps,0,,,,
October,25/10/2020,34.9,Callistemon 'White Anzac’ ,Callistemon,Myrtaceae,native,y,white,20,Syrphid flies,1,,,,
