SPECIES,growth form,height (cm),plant longevity,leaf area (mm2),storage organ present,diaspore weight (mg),seed mass (mg),plant_height_duplicate,height (cm)_filtered
Picris hieracioides,forb,80,biennial,427,0,0.778,0.689,NA,80
Chloris truncata,grass,45,biennial,327,0,0.1983,0.108,Duplicate of GrassBase_2014_0239,NA
Dichanthium sericeum,grass,80,biennial,230,0,0.9603,0.787,NA,80
Enneapogon polyphyllus,grass,45,biennial,220,0,2.098,0.56,NA,45
Triraphis mollis,grass,60,biennial,833,0,0.27,0.05,Duplicate of GrassBase_2014_1040,NA
Maireana aphylla,shrub,100,perennial,4,0,17.6,2.244,NA,100
Olearia pimeleoides var. pimeleoides,shrub,0,perennial,17,0,1.12,1.11,NA,0
Maireana integra,subshrub,50,perennial,5,0,0,0,NA,50
Maireana villosa,subshrub,50,perennial,11,0,3.816,1.025,NA,50
Ptilotus atriplicifolius,subshrub,100,perennial,400,0,9.689,0.76,NA,100
Ptilotus obovatus var. obovatus,subshrub,100,perennial,250,0,3.394,1.18,NA,100
Helichrysum bracteatum,forb,80,perennial,200,0,0.638,0.53,NA,80
Helichrysum rutidolepis,forb,50,perennial,20,0,0.46,0.39,NA,50
Psoralea australasica,forb,200,perennial,300,0,8.36,0,NA,200
Rutidosis helichrysoides,forb,50,perennial,80,0,0.23,0.15,Duplicate of WAH_1998_5344,NA
Senecio quadridentatus,forb,80,perennial,140,0,0.17,0.155,NA,80
Vittadinia triloba/cuneata complex,forb,30,perennial,450,0,1.576,1.316,NA,30
Brunonia australis,forb,30,perennial,420,0,2.02,1.35,NA,30
Helichrysum apiculatum,forb,60,perennial,152,0,0.05,0.043,NA,60
Ixiolaena leptolepis,forb,30,perennial,9,0,0.215,0.204,NA,30
Leptorhynchos baileyi,forb,20,perennial,8,0,0,0,NA,20
Cymbopogon obtectus,grass,90,perennial,1000,0,2.2922,1.133,NA,90
Digitaria brownii,grass,60,perennial,333,0,1.02,0.647,NA,60
Digitaria coenicola,grass,60,perennial,300,0,1.164,0.872,NA,60
Eriachne helmsii,grass,90,perennial,200,0,2.95,1.49,Duplicate of GrassBase_2014_0516,NA
Monachather paradoxa,grass,60,perennial,520,0,2.55,0.901,NA,60
Thyridolepis mitchelliana,grass,30,perennial,80,0,4,1.004,NA,30
Amphipogon caricinus,grass,60,perennial,1333,0,1.576,0.984,NA,60
Astrebla lappacea,grass,90,perennial,0,0,11.073,1.258,NA,90
Chloris ventricosa,grass,75,perennial,117,0,0.2144,0.107,NA,75
Enneapogon cylindricus,grass,35,perennial,367,0,0.491,0.307,NA,35
Leichardtia australis,climber,200,perennial,467,1,16.55,15.21,NA,200
Parsonsia eucalyptophylla,climber,300,perennial,2010,0,13.285,12.54,NA,300
Atalaya hemiglauca,tree,500,perennial,1171,0,102.81,34.27,NA,500
Eucalyptus terminalis,tree,1000,perennial,1342,0,12.7,12.28,NA,1000
Grevillea striata,tree,1200,perennial,1100,0,18.9,17.4,Duplicate of WAH_1998_2843,NA
Hakea ivoryi,tree,800,perennial,140,0,0,0,NA,800
Callitris columellaris,tree,2000,perennial,1,0,6.91,1.649,Duplicate of Barlow_1981_0564,NA
Casuarina cristata ssp cristata,tree,1500,perennial,1,0,3.77,3.49,NA,1500
Flindersia maculosa,tree,1200,perennial,333,0,12.6,10.1,NA,1200
Eremophila sturtii,shrub,400,perennial,33,0,17.32,0.15,NA,400
Hakea leucoptera,shrub,200,perennial,80,0,14.04,12.91,NA,200
Centaurium spicatum,forb,45,annual,133,0,0,0,NA,45
Stuartina muelleri,forb,12,annual,37,0,0,0,NA,12
Carthamus lanatus,forb,90,annual,0,0,32.17,32.17,NA,90
Haloragis heterophylla,forb,50,biennial,167,0,0,0,Duplicate of Barlow_1981_2626,NA
Eriochloa australiensis,grass,90,biennial,422,0,0,0,NA,90
Scaevola aemula,forb,50,perennial,450,0,0,0,Duplicate of Barlow_1981_3737,NA
