find,dataset_id,still_to_match,stripped_name,stripped_name2,cleaned_name,trinomial,binomial,genus,replace_new,reason_new,fuzzy_match_genus,fuzzy_match_genus_known,fuzzy_match_genus_APNI,fuzzy_match_binomial,fuzzy_match_binomial_APC_known,fuzzy_match_trinomial,fuzzy_match_trinomial_known,fuzzy_match_cleaned_APC,fuzzy_match_cleaned_APC_known,fuzzy_match_cleaned_APNI,fuzzy_match_cleaned_APC_imprecise,fuzzy_match_cleaned_APC_known_imprecise,fuzzy_match_cleaned_APNI_imprecise,taxonomic_ref,taxonomic_resolution
Ptilotus parvifolius var. parvifolius,RussellSmith_2014,match_06_known,ptilotus parvifolius parvifolius,ptilotus parvifolius parvifolius,Ptilotus parvifolius var. parvifolius,ptilotus parvifolius parvifolius,ptilotus parvifolius,Ptilotus,Ptilotus parvifolius var. parvifolius,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Ptilotus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Varietas
Ptilotus sessilifolius var. indeterminate,RussellSmith_2014,match_14_accepted,ptilotus sessilifolius indeterminate,ptilotus sessilifolius indeterminate,Ptilotus sessilifolius var. indeterminate,ptilotus sessilifolius indeterminate,ptilotus sessilifolius,Ptilotus,Ptilotus sessilifolius,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Ptilotus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Sarcostemma viminale subsp. indeterminate,RussellSmith_2014,match_14_known,sarcostemma viminale indeterminate,sarcostemma viminale indeterminate,Sarcostemma viminale subsp. indeterminate,sarcostemma viminale indeterminate,sarcostemma viminale,Sarcostemma,Sarcostemma viminale,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-05-22),NA,Sarcostemma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Sauropus brunonis var. ovatus,RussellSmith_2014,match_06_known,sauropus brunonis ovatus,sauropus brunonis ovatus,Sauropus brunonis var. ovatus,sauropus brunonis ovatus,sauropus brunonis,Sauropus,Sauropus brunonis var. ovatus,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Sauropus,Spaeropus,Saururus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Varietas
Sauropus stenocladus subsp. indeterminate,RussellSmith_2014,match_14_accepted,sauropus stenocladus indeterminate,sauropus stenocladus indeterminate,Sauropus stenocladus subsp. indeterminate,sauropus stenocladus indeterminate,sauropus stenocladus,Sauropus,Sauropus stenocladus,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Sauropus,Spaeropus,Saururus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Scaevola browniana subsp. grandiora,RussellSmith_2014,match_07_fuzzy_accepted,scaevola browniana grandiora,scaevola browniana grandiora,Scaevola browniana subsp. grandiora,scaevola browniana grandiora,scaevola browniana,Scaevola,Scaevola browniana subsp. grandior,match_07_fuzzy. Fuzzy alignment with accepted canonical name in APC (2023-05-22),Scaevola,NA,NA,NA,NA,NA,NA,scaevola browniana grandior,NA,NA,NA,NA,NA,NA,Subspecies
Scaevola browniana subsp. indeterminate,RussellSmith_2014,match_14_accepted,scaevola browniana indeterminate,scaevola browniana indeterminate,Scaevola browniana subsp. indeterminate,scaevola browniana indeterminate,scaevola browniana,Scaevola,Scaevola browniana,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Scaevola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Scaevola parvifolia subsp. indeterminate,RussellSmith_2014,match_14_accepted,scaevola parvifolia indeterminate,scaevola parvifolia indeterminate,Scaevola parvifolia subsp. indeterminate,scaevola parvifolia indeterminate,scaevola parvifolia,Scaevola,Scaevola parvifolia,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Scaevola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Scaevola revoluta subsp. indeterminate,RussellSmith_2014,match_14_known,scaevola revoluta indeterminate,scaevola revoluta indeterminate,Scaevola revoluta subsp. indeterminate,scaevola revoluta indeterminate,scaevola revoluta,Scaevola,Scaevola revoluta,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-05-22),Scaevola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Senna artemisioides subsp. artemisioides,RussellSmith_2014,match_12_accepted,senna artemisioides artemisioides,senna artemisioides artemisioides,Senna artemisioides subsp. artemisioides,senna artemisioides artemisioides,senna artemisioides,Senna,Senna artemisioides subsp. x artemisioides,match_12. Automatic alignment with infraspecific canonical name in APC accepted when notes are ignored (2023-05-22),Senna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Subspecies
Senna artemisioides subsp. coriacea,RussellSmith_2014,match_12_accepted,senna artemisioides coriacea,senna artemisioides coriacea,Senna artemisioides subsp. coriacea,senna artemisioides coriacea,senna artemisioides,Senna,Senna artemisioides subsp. x coriacea,match_12. Automatic alignment with infraspecific canonical name in APC accepted when notes are ignored (2023-05-22),Senna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Subspecies
Senna artemisioides subsp. indeterminate,RussellSmith_2014,match_14_accepted,senna artemisioides indeterminate,senna artemisioides indeterminate,Senna artemisioides subsp. indeterminate,senna artemisioides indeterminate,senna artemisioides,Senna,Senna artemisioides,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Senna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Senna artemisioides subsp. petiolaris,RussellSmith_2014,match_12_accepted,senna artemisioides petiolaris,senna artemisioides petiolaris,Senna artemisioides subsp. petiolaris,senna artemisioides petiolaris,senna artemisioides,Senna,Senna artemisioides subsp. x petiolaris,match_12. Automatic alignment with infraspecific canonical name in APC accepted when notes are ignored (2023-05-22),Senna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Subspecies
Senna artemisioides subsp. sturtii,RussellSmith_2014,match_10_fuzzy_known,senna artemisioides sturtii,senna artemisioides sturtii,Senna artemisioides subsp. sturtii,senna artemisioides sturtii,senna artemisioides,Senna,Senna artemisioides subsp. symonii,match_10_fuzzy. Imprecise fuzzy alignment with known canonical name in APC (2023-05-22),Senna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,senna artemisioides symonii,NA,NA,Subspecies
Senna glutinosa subsp. indeterminate,RussellSmith_2014,match_14_accepted,senna glutinosa indeterminate,senna glutinosa indeterminate,Senna glutinosa subsp. indeterminate,senna glutinosa indeterminate,senna glutinosa,Senna,Senna glutinosa,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Senna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Senna surattensis subsp. indeterminate,RussellSmith_2014,match_14_accepted,senna surattensis indeterminate,senna surattensis indeterminate,Senna surattensis subsp. indeterminate,senna surattensis indeterminate,senna surattensis,Senna,Senna surattensis,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Senna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Sesbania cannabina var. indeterminate,RussellSmith_2014,match_14_accepted,sesbania cannabina indeterminate,sesbania cannabina indeterminate,Sesbania cannabina var. indeterminate,sesbania cannabina indeterminate,sesbania cannabina,Sesbania,Sesbania cannabina,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Sesbania,Sesban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Sesbania javanica,RussellSmith_2014,match_06_known,sesbania javanica,sesbania javanica,Sesbania javanica,NA,sesbania javanica,Sesbania,Sesbania javanica,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Sesbania,Sesban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Sida sp. Petermann Ranges (B.G.Thomson 2340),RussellSmith_2014,match_07_fuzzy_accepted,sida sp petermann ranges b g thomson 2340,sida petermann ranges b g thomson 2340,Sida sp. Petermann Ranges (B.G.Thomson 2340),sida petermann ranges,sida petermann,Sida,Sida sp. Petermann Ranges (B.G.Thomson 2340),match_07_fuzzy. Fuzzy alignment with accepted canonical name in APC (2023-05-22),Sida,NA,NA,NA,NA,NA,NA,sida sp petermann ranges b g thomson 2340,NA,NA,NA,NA,NA,NA,Species
SIMAROUBACEAE sp. Mary River (I.D.Cowie 1454),RussellSmith_2014,match_07_fuzzy_known,simaroubaceae sp mary river i d cowie 1454,simaroubaceae mary river i d cowie 1454,SIMAROUBACEAE sp. Mary River (I.D.Cowie 1454),simaroubaceae mary river,simaroubaceae mary,SIMAROUBACEAE,Simaroubaceae sp. Mary River (I.D.Cowie 1454),match_07_fuzzy. Fuzzy alignment with known canonical name in APC (2023-05-22),NA,NA,NA,NA,NA,NA,NA,NA,simaroubaceae sp mary river i d cowie 1454,NA,NA,NA,NA,NA,Species
Solanum orbiculatum subsp. indeterminate,RussellSmith_2014,match_14_accepted,solanum orbiculatum indeterminate,solanum orbiculatum indeterminate,Solanum orbiculatum subsp. indeterminate,solanum orbiculatum indeterminate,solanum orbiculatum,Solanum,Solanum orbiculatum,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Solanum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Syzygium eucalyptoides subsp. indeterminate,RussellSmith_2014,match_14_accepted,syzygium eucalyptoides indeterminate,syzygium eucalyptoides indeterminate,Syzygium eucalyptoides subsp. indeterminate,syzygium eucalyptoides indeterminate,syzygium eucalyptoides,Syzygium,Syzygium eucalyptoides,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Syzygium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Syzygium forte subsp. indeterminate,RussellSmith_2014,match_14_known,syzygium forte indeterminate,syzygium forte indeterminate,Syzygium forte subsp. indeterminate,syzygium forte indeterminate,syzygium forte,Syzygium,Syzygium forte,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-05-22),Syzygium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Tephrosia brachyodon var. cloncurrensis,RussellSmith_2014,match_06_known,tephrosia brachyodon cloncurrensis,tephrosia brachyodon cloncurrensis,Tephrosia brachyodon var. cloncurrensis,tephrosia brachyodon cloncurrensis,tephrosia brachyodon,Tephrosia,Tephrosia brachyodon var. cloncurrensis,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Tephrosia,Tephrosea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Varietas
Tephrosia brachyodon var. indeterminate,RussellSmith_2014,match_14_accepted,tephrosia brachyodon indeterminate,tephrosia brachyodon indeterminate,Tephrosia brachyodon var. indeterminate,tephrosia brachyodon indeterminate,tephrosia brachyodon,Tephrosia,Tephrosia brachyodon,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Tephrosia,Tephrosea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Tephrosia brachyodon var. multiflora,RussellSmith_2014,match_06_known,tephrosia brachyodon multiflora,tephrosia brachyodon multiflora,Tephrosia brachyodon var. multiflora,tephrosia brachyodon multiflora,tephrosia brachyodon,Tephrosia,Tephrosia brachyodon var. multiflora,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Tephrosia,Tephrosea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Varietas
Tephrosia filipes var. indeterminate,RussellSmith_2014,match_14_accepted,tephrosia filipes indeterminate,tephrosia filipes indeterminate,Tephrosia filipes var. indeterminate,tephrosia filipes indeterminate,tephrosia filipes,Tephrosia,Tephrosia filipes,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Tephrosia,Tephrosea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Tephrosia rosea var. indeterminate,RussellSmith_2014,match_14_accepted,tephrosia rosea indeterminate,tephrosia rosea indeterminate,Tephrosia rosea var. indeterminate,tephrosia rosea indeterminate,tephrosia rosea,Tephrosia,Tephrosia rosea,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Tephrosia,Tephrosea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Tephrosia sp. OT Station (S.T.Blake 17659),RussellSmith_2014,match_07_fuzzy_known,tephrosia sp ot station s t blake 17659,tephrosia ot station s t blake 17659,Tephrosia sp. OT Station (S.T.Blake 17659),tephrosia ot station,tephrosia ot,Tephrosia,Tephrosia sp. O.T. Station (S.T.Blake 17659),match_07_fuzzy. Fuzzy alignment with known canonical name in APC (2023-05-22),Tephrosia,Tephrosea,NA,NA,NA,NA,NA,NA,tephrosia sp o t station s t blake 17659,NA,NA,NA,NA,NA,Species
Terminalia aridicola subsp. indeterminate,RussellSmith_2014,match_14_accepted,terminalia aridicola indeterminate,terminalia aridicola indeterminate,Terminalia aridicola subsp. indeterminate,terminalia aridicola indeterminate,terminalia aridicola,Terminalia,Terminalia aridicola,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Terminalia,Terminalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Trema tomentosa var. indeterminate,RussellSmith_2014,match_14_accepted,trema tomentosa indeterminate,trema tomentosa indeterminate,Trema tomentosa var. indeterminate,trema tomentosa indeterminate,trema tomentosa,Trema,Trema tomentosa,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Trema,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Trichodesma zeylanicum var. indeterminate,RussellSmith_2014,match_14_accepted,trichodesma zeylanicum indeterminate,trichodesma zeylanicum indeterminate,Trichodesma zeylanicum var. indeterminate,trichodesma zeylanicum indeterminate,trichodesma zeylanicum,Trichodesma,Trichodesma zeylanicum,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Trichodesma,Trichonema,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Triumfetta ryeae subsp. indeterminate,RussellSmith_2014,match_14_accepted,triumfetta ryeae indeterminate,triumfetta ryeae indeterminate,Triumfetta ryeae subsp. indeterminate,triumfetta ryeae indeterminate,triumfetta ryeae,Triumfetta,Triumfetta ryeae,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Triumfetta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Wedelia cunninghamii,RussellSmith_2014,match_06_known,wedelia cunninghamii,wedelia cunninghamii,Wedelia cunninghamii,NA,wedelia cunninghamii,Wedelia,Wedelia cunninghamii,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Wedelia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
