taxon_name,family,plant_growth_form_to_use,woodiness_to_use
Eucalyptus lehmannii subsp. lehmannii,Myrtaceae,mallee,woody
Eucalyptus lehmannii subsp. parallela,Myrtaceae,mallee,woody
Eucalyptus leprophloia,Myrtaceae,mallee,woody
Eucalyptus leptocalyx,Myrtaceae,mallee,woody
Eucalyptus leptocalyx subsp. leptocalyx,Myrtaceae,mallee,woody
Eucalyptus leptocalyx subsp. petilipes,Myrtaceae,mallee,woody
Eucalyptus leptophleba,Myrtaceae,tree,woody
Eucalyptus leptophylla,Myrtaceae,mallee tree,woody
Eucalyptus leptopoda,Myrtaceae,mallee,woody
Eucalyptus leptopoda subsp. arctata,Myrtaceae,mallee tree,woody
Eucalyptus leptopoda subsp. elevata,Myrtaceae,mallee tree,woody
Eucalyptus leptopoda subsp. leptopoda,Myrtaceae,mallee tree,woody
Eucalyptus leptopoda subsp. subluta,Myrtaceae,mallee tree,woody
Eucalyptus lesouefii,Myrtaceae,tree,woody
Eucalyptus leucophloia,Myrtaceae,tree,woody
Eucalyptus leucophloia subsp. euroa,Myrtaceae,mallee tree,woody
Eucalyptus leucophloia subsp. leucophloia,Myrtaceae,mallee tree,woody
Eucalyptus leucophylla,Myrtaceae,mallee tree,woody
Eucalyptus leucoxylon,Myrtaceae,mallee tree,woody
Eucalyptus leucoxylon subsp. bellarinensis,Myrtaceae,tree,woody
Eucalyptus leucoxylon subsp. connata,Myrtaceae,tree,woody
Eucalyptus leucoxylon subsp. leucoxylon,Myrtaceae,tree,woody
Eucalyptus leucoxylon subsp. megalocarpa,Myrtaceae,mallee tree,woody
Eucalyptus leucoxylon subsp. pruinosa,Myrtaceae,mallee tree,woody
Eucalyptus leucoxylon subsp. stephaniae,Myrtaceae,mallee tree,woody
Eucalyptus ligulata,Myrtaceae,mallee,woody
Eucalyptus ligulata subsp. ligulata,Myrtaceae,mallee,woody
Eucalyptus ligulata subsp. stirlingica,Myrtaceae,mallee,woody
Eucalyptus ligustrina,Myrtaceae,mallee tree,woody
Eucalyptus limitaris,Myrtaceae,mallee tree,woody
Eucalyptus lirata,Myrtaceae,tree,woody
Eucalyptus litoralis,Myrtaceae,tree,woody
Eucalyptus litorea,Myrtaceae,mallee,woody
Eucalyptus livida,Myrtaceae,mallee tree,woody
Eucalyptus lockyeri,Myrtaceae,mallee tree,woody
Eucalyptus lockyeri subsp. exuta,Myrtaceae,mallee tree,woody
Eucalyptus lockyeri subsp. lockyeri,Myrtaceae,mallee tree,woody
Eucalyptus longicornis,Myrtaceae,tree,woody
Eucalyptus longifolia,Myrtaceae,tree,woody
Eucalyptus longirostrata,Myrtaceae,tree,woody
Eucalyptus longissima,Myrtaceae,mallee,woody
Eucalyptus loxophleba,Myrtaceae,mallee tree,woody
Eucalyptus loxophleba subsp. gratiae,Myrtaceae,mallee,woody
Eucalyptus loxophleba subsp. lissophloia,Myrtaceae,mallee,woody
Eucalyptus loxophleba subsp. loxophleba,Myrtaceae,tree,woody
Eucalyptus loxophleba subsp. supralaevis,Myrtaceae,tree,woody
Eucalyptus lucasii,Myrtaceae,mallee tree,woody
Eucalyptus lucens,Myrtaceae,mallee,woody
Eucalyptus luculenta,Myrtaceae,mallee,woody
Eucalyptus luehmanniana,Myrtaceae,mallee,woody
Eucalyptus luehmanniana x Eucalyptus obstans,Myrtaceae,mallee,woody
Eucalyptus luteola,Myrtaceae,mallee,woody
Eucalyptus macarthurii,Myrtaceae,tree,woody
Eucalyptus mackintii,Myrtaceae,tree,woody
Eucalyptus macrandra,Myrtaceae,mallee tree,woody
Eucalyptus macrocarpa,Myrtaceae,mallee,woody
Eucalyptus macrocarpa subsp. elachantha,Myrtaceae,mallee,woody
Eucalyptus macrocarpa subsp. macrocarpa,Myrtaceae,mallee,woody
Eucalyptus macrorhyncha,Myrtaceae,tree,woody
Eucalyptus macrorhyncha subsp. cannonii,Myrtaceae,tree,woody
Eucalyptus macrorhyncha subsp. macrorhyncha,Myrtaceae,tree,woody
Eucalyptus magnificata,Myrtaceae,tree,woody
Eucalyptus major,Myrtaceae,tree,woody
Eucalyptus malacoxylon,Myrtaceae,tree,woody
Eucalyptus mannensis,Myrtaceae,mallee tree,woody
Eucalyptus mannensis subsp. mannensis,Myrtaceae,mallee tree,woody
Eucalyptus mannensis subsp. vespertina,Myrtaceae,mallee tree,woody
Eucalyptus mannifera,Myrtaceae,tree,woody
Eucalyptus mannifera subsp. gullickii,Myrtaceae,tree,woody
Eucalyptus mannifera subsp. mannifera,Myrtaceae,tree,woody
Eucalyptus mannifera subsp. praecox,Myrtaceae,tree,woody
Eucalyptus marginata,Myrtaceae,tree,woody
Eucalyptus marginata subsp. marginata,Myrtaceae,tree,woody
Eucalyptus marginata subsp. thalassica,Myrtaceae,tree,woody
Eucalyptus mckieana,Myrtaceae,tree,woody
Eucalyptus mcquoidii,Myrtaceae,tree,woody
Eucalyptus mediocris,Myrtaceae,tree,woody
Eucalyptus megacarpa,Myrtaceae,mallee tree,woody
Eucalyptus megacornuta,Myrtaceae,tree,woody
Eucalyptus megasepala,Myrtaceae,tree,woody
Eucalyptus melanoleuca,Myrtaceae,tree,woody
Eucalyptus melanophitra,Myrtaceae,tree,woody
Eucalyptus melanophloia,Myrtaceae,tree,woody
Eucalyptus melanophloia subsp. melanophloia,Myrtaceae,tree,woody
Eucalyptus melanophloia subsp. nana,Myrtaceae,mallee,woody
Eucalyptus melanoxylon,Myrtaceae,tree,woody
Eucalyptus melliodora,Myrtaceae,tree,woody
Eucalyptus merrickiae,Myrtaceae,mallee,woody
Eucalyptus michaeliana,Myrtaceae,tree,woody
Eucalyptus micranthera,Myrtaceae,mallee,woody
Eucalyptus microcarpa,Myrtaceae,tree,woody
Eucalyptus microcorys,Myrtaceae,tree,woody
Eucalyptus microneura,Myrtaceae,tree,woody
Eucalyptus microschema,Myrtaceae,mallee,woody
Eucalyptus microtheca,Myrtaceae,tree,woody
Eucalyptus mimica,Myrtaceae,mallee tree,woody
Eucalyptus mimica subsp. continens,Myrtaceae,mallee tree,woody
Eucalyptus mimica subsp. mimica,Myrtaceae,mallee,woody
Eucalyptus miniata,Myrtaceae,tree,woody
Eucalyptus minniritchi,Myrtaceae,mallee,woody
Eucalyptus misella,Myrtaceae,mallee,woody
Eucalyptus mitchelliana,Myrtaceae,tree,woody
Eucalyptus moderata,Myrtaceae,mallee tree,woody
Eucalyptus moluccana,Myrtaceae,tree,woody
Eucalyptus molyneuxii,Myrtaceae,mallee tree,woody
Eucalyptus mooreana,Myrtaceae,tree,woody
Eucalyptus moorei,Myrtaceae,mallee tree,woody
Eucalyptus moorei subsp. moorei,Myrtaceae,mallee tree,woody
Eucalyptus moorei subsp. serpentinicola,Myrtaceae,mallee,woody
Eucalyptus morrisbyi,Myrtaceae,tree,woody
Eucalyptus morrisii,Myrtaceae,mallee tree,woody
Eucalyptus muelleriana,Myrtaceae,tree,woody
Eucalyptus multicaulis,Myrtaceae,mallee,woody
Eucalyptus myriadena,Myrtaceae,mallee tree,woody
Eucalyptus myriadena subsp. myriadena,Myrtaceae,mallee tree,woody
Eucalyptus myriadena subsp. parviflora,Myrtaceae,mallee tree,woody
Eucalyptus nandewarica,Myrtaceae,mallee tree,woody
Eucalyptus nebulosa,Myrtaceae,tree,woody
Eucalyptus neglecta,Myrtaceae,tree,woody
Eucalyptus neutra,Myrtaceae,mallee,woody
Eucalyptus newbeyi,Myrtaceae,tree,woody
Eucalyptus nicholii,Myrtaceae,tree,woody
Eucalyptus nigrifunda,Myrtaceae,tree,woody
Eucalyptus nitens,Myrtaceae,tree,woody
Eucalyptus nitida,Myrtaceae,mallee tree,woody
Eucalyptus nobilis,Myrtaceae,tree,woody
Eucalyptus normantonensis,Myrtaceae,mallee tree,woody
Eucalyptus nortonii,Myrtaceae,tree,woody
Eucalyptus notabilis,Myrtaceae,tree,woody
Eucalyptus notactites,Myrtaceae,mallee tree,woody
Eucalyptus nova-anglica,Myrtaceae,tree,woody
Eucalyptus nudicaulis,Myrtaceae,mallee,woody
Eucalyptus nutans,Myrtaceae,mallee,woody
Eucalyptus obconica,Myrtaceae,mallee tree,woody
Eucalyptus obesa,Myrtaceae,mallee,woody
Eucalyptus obliqua,Myrtaceae,tree,woody
Eucalyptus obstans,Myrtaceae,mallee,woody
Eucalyptus obstans x Eucalyptus sieberi,Myrtaceae,mallee,woody
Eucalyptus obtusiflora,Myrtaceae,mallee,woody
Eucalyptus obtusiflora subsp. cowcowensis,Myrtaceae,mallee,woody
Eucalyptus obtusiflora subsp. dongarraensis,Myrtaceae,mallee tree,woody
Eucalyptus obtusiflora subsp. obtusiflora,Myrtaceae,mallee,woody
Eucalyptus occidentalis,Myrtaceae,mallee tree,woody
Eucalyptus ochrophloia,Myrtaceae,tree,woody
Eucalyptus odontocarpa,Myrtaceae,mallee,woody
Eucalyptus odorata,Myrtaceae,mallee tree,woody
Eucalyptus oldfieldii,Myrtaceae,mallee tree,woody
Eucalyptus oldfieldii subsp. oldfieldii,Myrtaceae,mallee tree,woody
Eucalyptus oleosa,Myrtaceae,mallee tree,woody
Eucalyptus oleosa subsp. ampliata,Myrtaceae,mallee tree,woody
Eucalyptus oleosa subsp. corvina,Myrtaceae,mallee,woody
Eucalyptus oleosa subsp. cylindroidea,Myrtaceae,mallee tree,woody
Eucalyptus oleosa subsp. oleosa,Myrtaceae,mallee,woody
Eucalyptus olida,Myrtaceae,tree,woody
Eucalyptus oligantha,Myrtaceae,tree,woody
Eucalyptus oligantha subsp. modica,Myrtaceae,tree,woody
Eucalyptus oligantha subsp. oligantha,Myrtaceae,tree,woody
Eucalyptus olivina,Myrtaceae,mallee tree,woody
Eucalyptus olsenii,Myrtaceae,tree,woody
Eucalyptus ophitica,Myrtaceae,tree,woody
Eucalyptus opimiflora,Myrtaceae,mallee,woody
Eucalyptus optima,Myrtaceae,mallee tree,woody
Eucalyptus oraria,Myrtaceae,mallee,woody
Eucalyptus orbifolia,Myrtaceae,mallee tree,woody
Eucalyptus ordiana,Myrtaceae,mallee tree,woody
Eucalyptus oreades,Myrtaceae,tree,woody
Eucalyptus orgadophila,Myrtaceae,tree,woody
Eucalyptus ornans,Myrtaceae,mallee,woody
Eucalyptus ornata,Myrtaceae,tree,woody
Eucalyptus orthostemon,Myrtaceae,mallee,woody
Eucalyptus orthostemon x Eucalyptus vegrandis,Myrtaceae,mallee,woody
Eucalyptus orthostemon x Eucalyptus wandoo subsp. wandoo,Myrtaceae,mallee,woody
Eucalyptus ovata,Myrtaceae,tree,woody
Eucalyptus ovata var. grandiflora,Myrtaceae,tree,woody
Eucalyptus ovata var. ovata,Myrtaceae,tree,woody
Eucalyptus ovularis,Myrtaceae,mallee tree,woody
Eucalyptus oxymitra,Myrtaceae,mallee tree,woody
Eucalyptus pachycalyx,Myrtaceae,tree,woody
Eucalyptus pachycalyx subsp. banyabba,Myrtaceae,tree,woody
Eucalyptus pachycalyx subsp. pachycalyx,Myrtaceae,tree,woody
Eucalyptus pachycalyx subsp. waajensis,Myrtaceae,tree,woody
Eucalyptus pachyloma,Myrtaceae,mallee,woody
Eucalyptus pachyphylla,Myrtaceae,mallee,woody
Eucalyptus paedoglauca,Myrtaceae,tree,woody
Eucalyptus paliformis,Myrtaceae,tree,woody
Eucalyptus paludicola,Myrtaceae,tree mallee,woody
Eucalyptus panda,Myrtaceae,tree,woody
Eucalyptus paniculata,Myrtaceae,tree,woody
Eucalyptus pantoleuca,Myrtaceae,tree,woody
Eucalyptus paralimnetica,Myrtaceae,tree,woody
Eucalyptus parramattensis,Myrtaceae,tree,woody
Eucalyptus parramattensis subsp. decadens,Myrtaceae,tree,woody
Eucalyptus parramattensis subsp. parramattensis,Myrtaceae,tree,woody
Eucalyptus parramattensis var. sphaerocalyx,Myrtaceae,tree,woody
Eucalyptus parvula,Myrtaceae,tree,woody
Eucalyptus patellaris,Myrtaceae,tree,woody
Eucalyptus patens,Myrtaceae,tree,woody
Eucalyptus pauciflora,Myrtaceae,mallee tree,woody
Eucalyptus pauciflora subsp. acerina,Myrtaceae,mallee tree,woody
Eucalyptus pauciflora subsp. debeuzevillei,Myrtaceae,mallee shrub tree,woody
Eucalyptus pauciflora subsp. hedraia,Myrtaceae,mallee tree,woody
Eucalyptus pauciflora subsp. niphophila,Myrtaceae,mallee shrub tree,woody
Eucalyptus pauciflora subsp. parvifructa,Myrtaceae,mallee tree,woody
Eucalyptus pauciflora subsp. pauciflora,Myrtaceae,tree,woody
Eucalyptus pauciflora var. x cylindrocarpa,Myrtaceae,mallee tree,woody
Eucalyptus pauciflora var. x densiflora,Myrtaceae,mallee tree,woody
Eucalyptus pauciflora var. x rusticata,Myrtaceae,mallee tree,woody
Eucalyptus pellita,Myrtaceae,tree,woody
Eucalyptus pendens,Myrtaceae,mallee,woody
Eucalyptus peninsularis,Myrtaceae,mallee,woody
Eucalyptus perangusta,Myrtaceae,mallee,woody
Eucalyptus percostata,Myrtaceae,mallee,woody
Eucalyptus perriniana,Myrtaceae,mallee tree,woody
Eucalyptus persistens,Myrtaceae,mallee tree,woody
Eucalyptus persistens x Eucalyptus thozetiana,Myrtaceae,tree,woody
Eucalyptus petiolaris,Myrtaceae,tree,woody
Eucalyptus petraea,Myrtaceae,mallee tree,woody
Eucalyptus petrensis,Myrtaceae,mallee,woody
Eucalyptus phaenophylla,Myrtaceae,mallee,woody
Eucalyptus phaenophylla subsp. interjacens,Myrtaceae,mallee,woody
Eucalyptus phaenophylla subsp. phaenophylla,Myrtaceae,mallee,woody
Eucalyptus phenax,Myrtaceae,mallee tree,woody
Eucalyptus phenax subsp. compressa,Myrtaceae,mallee,woody
Eucalyptus phenax subsp. phenax,Myrtaceae,mallee,woody
Eucalyptus phoenicea,Myrtaceae,tree,woody
Eucalyptus phoenix,Myrtaceae,mallee,woody
Eucalyptus pilbarensis,Myrtaceae,mallee,woody
Eucalyptus pileata,Myrtaceae,mallee,woody
Eucalyptus pilularis,Myrtaceae,tree,woody
Eucalyptus pimpiniana,Myrtaceae,mallee shrub,woody
Eucalyptus piperita,Myrtaceae,tree,woody
Eucalyptus placita,Myrtaceae,tree,woody
Eucalyptus planchoniana,Myrtaceae,tree,woody
Eucalyptus planipes,Myrtaceae,mallee tree,woody
Eucalyptus platycorys,Myrtaceae,mallee tree,woody
Eucalyptus platydisca,Myrtaceae,mallee,woody
Eucalyptus platyphylla,Myrtaceae,tree,woody
Eucalyptus platypus,Myrtaceae,mallee tree,woody
Eucalyptus platypus subsp. congregata,Myrtaceae,mallee tree,woody
Eucalyptus platypus subsp. platypus,Myrtaceae,mallee shrub tree,woody
Eucalyptus pleurocarpa,Myrtaceae,mallee,woody
Eucalyptus pleurocorys,Myrtaceae,mallee tree,woody
Eucalyptus pluricaulis,Myrtaceae,mallee,woody
Eucalyptus pluricaulis subsp. pluricaulis,Myrtaceae,mallee,woody
Eucalyptus pluricaulis subsp. porphyrea,Myrtaceae,mallee,woody
Eucalyptus polita,Myrtaceae,mallee tree,woody
Eucalyptus polyanthemos,Myrtaceae,tree,woody
Eucalyptus polyanthemos subsp. longior,Myrtaceae,tree,woody
Eucalyptus polyanthemos subsp. marginalis,Myrtaceae,mallee tree,woody
Eucalyptus polyanthemos subsp. polyanthemos,Myrtaceae,tree,woody
Eucalyptus polyanthemos subsp. vestita,Myrtaceae,mallee tree,woody
Eucalyptus polybractea,Myrtaceae,mallee,woody
Eucalyptus polybractea subsp. polybractea,Myrtaceae,mallee,woody
Eucalyptus polybractea subsp. subcerea,Myrtaceae,mallee,woody
Eucalyptus populnea,Myrtaceae,tree,woody
Eucalyptus populnea x Eucalyptus thozetiana,Myrtaceae,tree,woody
Eucalyptus porosa,Myrtaceae,mallee tree,woody
Eucalyptus praetermissa,Myrtaceae,tree,woody
Eucalyptus prava,Myrtaceae,tree,woody
Eucalyptus preissiana,Myrtaceae,mallee,woody
Eucalyptus preissiana subsp. lobata,Myrtaceae,mallee,woody
Eucalyptus preissiana subsp. preissiana,Myrtaceae,mallee,woody
Eucalyptus prolixa,Myrtaceae,tree,woody
Eucalyptus prominens,Myrtaceae,mallee tree,woody
Eucalyptus propinqua,Myrtaceae,tree,woody
Eucalyptus protensa,Myrtaceae,mallee tree,woody
Eucalyptus provecta,Myrtaceae,mallee tree,woody
Eucalyptus proxima,Myrtaceae,mallee,woody
Eucalyptus pruiniramis,Myrtaceae,mallee tree,woody
Eucalyptus pruinosa,Myrtaceae,mallee tree,woody
Eucalyptus pruinosa subsp. pruinosa,Myrtaceae,mallee tree,woody
Eucalyptus pruinosa subsp. tenuata,Myrtaceae,mallee tree,woody
Eucalyptus psammitica,Myrtaceae,tree,woody
Eucalyptus pterocarpa,Myrtaceae,tree,woody
Eucalyptus pulchella,Myrtaceae,tree,woody
Eucalyptus pulverulenta,Myrtaceae,mallee tree,woody
Eucalyptus pumila,Myrtaceae,mallee,woody
Eucalyptus punctata,Myrtaceae,tree,woody
Eucalyptus purpurata,Myrtaceae,tree,woody
Eucalyptus pyrenea,Myrtaceae,tree,woody
Eucalyptus pyriformis,Myrtaceae,mallee tree,woody
Eucalyptus pyrocarpa,Myrtaceae,tree,woody
Eucalyptus quadrangulata,Myrtaceae,tree,woody
Eucalyptus quadrans,Myrtaceae,mallee tree,woody
Eucalyptus quadricostata,Myrtaceae,tree,woody
Eucalyptus quaerenda,Myrtaceae,mallee,woody
Eucalyptus quinniorum,Myrtaceae,mallee tree,woody
Eucalyptus racemosa,Myrtaceae,tree,woody
Eucalyptus radiata,Myrtaceae,tree,woody
Eucalyptus radiata subsp. radiata,Myrtaceae,tree,woody
Eucalyptus radiata subsp. radiata x Eucalyptus stricta,Myrtaceae,tree,woody
Eucalyptus radiata subsp. robertsonii,Myrtaceae,tree,woody
Eucalyptus radiata subsp. sejuncta,Myrtaceae,tree,woody
Eucalyptus rameliana,Myrtaceae,mallee,woody
Eucalyptus raveretiana,Myrtaceae,tree,woody
Eucalyptus ravida,Myrtaceae,tree,woody
Eucalyptus recta,Myrtaceae,tree,woody
Eucalyptus recurva,Myrtaceae,mallee,woody
Eucalyptus redimiculifera,Myrtaceae,tree,woody
Eucalyptus redunca,Myrtaceae,mallee,woody
Eucalyptus regnans,Myrtaceae,tree,woody
Eucalyptus relicta,Myrtaceae,mallee tree,woody
Eucalyptus remota,Myrtaceae,mallee tree,woody
Eucalyptus repullulans,Myrtaceae,mallee,woody
Eucalyptus resinifera,Myrtaceae,tree,woody
Eucalyptus resinifera subsp. hemilampra,Myrtaceae,tree,woody
Eucalyptus resinifera subsp. resinifera,Myrtaceae,tree,woody
Eucalyptus resinifera x Eucalyptus tereticornis,Myrtaceae,tree,woody
Eucalyptus retinens,Myrtaceae,tree,woody
Eucalyptus retusa,Myrtaceae,mallee shrub,woody
Eucalyptus revelata,Myrtaceae,tree mallee,woody
Eucalyptus rhodantha,Myrtaceae,mallee,woody
Eucalyptus rhodantha var. rhodantha,Myrtaceae,mallee,woody
Eucalyptus rhodantha var. x petiolaris,Myrtaceae,mallee,woody
Eucalyptus rhombica,Myrtaceae,tree,woody
Eucalyptus rhomboidea,Myrtaceae,tree,woody
Eucalyptus rigens,Myrtaceae,mallee,woody
Eucalyptus rigidula,Myrtaceae,mallee,woody
Eucalyptus risdonii,Myrtaceae,mallee shrub tree,woody
Eucalyptus robusta,Myrtaceae,tree,woody
Eucalyptus rodwayi,Myrtaceae,tree,woody
Eucalyptus rosacea,Myrtaceae,mallee,woody
Eucalyptus rossii,Myrtaceae,tree,woody
Eucalyptus rowleyi,Myrtaceae,mallee,woody
Eucalyptus rowleyi x Eucalyptus victrix,Myrtaceae,mallee,woody
Eucalyptus roycei,Myrtaceae,mallee tree,woody
Eucalyptus rubida,Myrtaceae,tree,woody
Eucalyptus rubida subsp. barbigerorum,Myrtaceae,tree,woody
Eucalyptus rubida subsp. rubida,Myrtaceae,tree,woody
Eucalyptus rubiginosa,Myrtaceae,tree,woody
Eucalyptus rudderi,Myrtaceae,tree,woody
Eucalyptus rudis,Myrtaceae,tree,woody
Eucalyptus rudis subsp. cratyantha,Myrtaceae,tree,woody
Eucalyptus rudis subsp. rudis,Myrtaceae,tree,woody
Eucalyptus rugosa,Myrtaceae,mallee tree,woody
Eucalyptus rugulata,Myrtaceae,tree,woody
Eucalyptus rummeryi,Myrtaceae,tree,woody
Eucalyptus rupestris,Myrtaceae,tree,woody
Eucalyptus sabulosa,Myrtaceae,tree,woody
Eucalyptus salicola,Myrtaceae,tree,woody
Eucalyptus saligna,Myrtaceae,tree,woody
Eucalyptus saligna x Eucalyptus tereticornis,Myrtaceae,tree,woody
Eucalyptus salmonophloia,Myrtaceae,tree,woody
Eucalyptus salubris,Myrtaceae,tree,woody
Eucalyptus sargentii,Myrtaceae,tree,woody
Eucalyptus sargentii subsp. onesis,Myrtaceae,mallee,woody
Eucalyptus sargentii subsp. sargentii,Myrtaceae,mallee tree,woody
Eucalyptus saxatilis,Myrtaceae,mallee tree,woody
Eucalyptus scias,Myrtaceae,mallee tree,woody
Eucalyptus scias subsp. apoda,Myrtaceae,tree,woody
Eucalyptus scias subsp. scias,Myrtaceae,tree,woody
Eucalyptus scoparia,Myrtaceae,tree,woody
Eucalyptus scopulorum,Myrtaceae,tree,woody
Eucalyptus scyphocalyx,Myrtaceae,mallee,woody
Eucalyptus scyphocalyx subsp. scyphocalyx,Myrtaceae,mallee tree,woody
Eucalyptus scyphocalyx subsp. triadica,Myrtaceae,mallee tree,woody
Eucalyptus seeana,Myrtaceae,tree,woody
Eucalyptus semiglobosa,Myrtaceae,mallee,woody
Eucalyptus semota,Myrtaceae,mallee tree,woody
Eucalyptus sepulcralis,Myrtaceae,mallee tree,woody
Eucalyptus serraensis,Myrtaceae,mallee tree,woody
Eucalyptus sessilis,Myrtaceae,mallee,woody
Eucalyptus sheathiana,Myrtaceae,mallee tree,woody
Eucalyptus shirleyi,Myrtaceae,tree,woody
Eucalyptus sicilifolia,Myrtaceae,tree,woody
Eucalyptus siderophloia,Myrtaceae,tree,woody
Eucalyptus sideroxylon,Myrtaceae,tree,woody
Eucalyptus sideroxylon subsp. improcera,Myrtaceae,tree,woody
Eucalyptus sideroxylon subsp. sideroxylon,Myrtaceae,tree,woody
Eucalyptus sieberi,Myrtaceae,tree,woody
Eucalyptus silvestris,Myrtaceae,mallee tree,woody
Eucalyptus similis,Myrtaceae,tree,woody
Eucalyptus singularis,Myrtaceae,tree,woody
Eucalyptus sinuosa,Myrtaceae,mallee,woody
Eucalyptus smithii,Myrtaceae,mallee tree,woody
Eucalyptus socialis,Myrtaceae,mallee tree,woody
Eucalyptus socialis subsp. eucentrica,Myrtaceae,mallee,woody
Eucalyptus socialis subsp. socialis,Myrtaceae,mallee,woody
Eucalyptus socialis subsp. victoriensis,Myrtaceae,mallee,woody
Eucalyptus socialis subsp. viridans,Myrtaceae,mallee,woody
Eucalyptus sp. Castlemaine (K.Rule 8203),Myrtaceae,tree,woody
Eucalyptus sp. Cattai (Gregson s.n. 28 Aug 1954),Myrtaceae,mallee tree,woody
Eucalyptus sp. Consuelo Tableland (M.I.Brooker B4884),Myrtaceae,,woody
Eucalyptus sp. Dartmoor (D.Nicolle & M.French DN 5585),Myrtaceae,,woody
Eucalyptus sp. Dunbar Road (D.Nicolle & M.French DN 5466),Myrtaceae,,woody
Eucalyptus sp. Esperance (M.E.French 1579),Myrtaceae,mallee,woody
Eucalyptus sp. Flinders Ranges (D.Nicolle 562),Myrtaceae,,woody
Eucalyptus sp. Fraser Range (D.Nicolle 2157),Myrtaceae,mallee,woody
Eucalyptus sp. Gippsland Lakes (H.I.Aston 1661),Myrtaceae,,woody
Eucalyptus sp. Glasshouse Mountains (A.R.Bean 782),Myrtaceae,,woody
Eucalyptus sp. Great Victoria Desert (D.Nicolle & M.French DN 3877),Myrtaceae,,woody
Eucalyptus sp. H Kimberley Flora (S.G.Forbes 2560),Myrtaceae,tree,woody
Eucalyptus sp. Howes Swamp Creek (M.Doherty 26),Myrtaceae,,woody
Eucalyptus sp. Kalbarri (M.I.H.Brooker 7937),Myrtaceae,,woody
Eucalyptus sp. Kalkarindji (G.M.Wightman 6240),Myrtaceae,,woody
Eucalyptus sp. Killarney (C.R.Michell 2403),Myrtaceae,,woody
Eucalyptus sp. Lake Magenta (D.Nicolle & M.French DN 5509),Myrtaceae,,woody
Eucalyptus sp. Lerderderg (K.Rule 7303),Myrtaceae,,woody
Eucalyptus sp. Little Sandy Desert (D.Nicolle & M.French DN 4304),Myrtaceae,,woody
Eucalyptus sp. Montejinni Station (G.M.Chippendale 2171),Myrtaceae,,woody
Eucalyptus sp. Mornington Peninsula (K.Rule 210),Myrtaceae,tree,woody
Eucalyptus sp. Mt Garnet (D.J.Carr+ 1672B),Myrtaceae,,woody
Eucalyptus sp. Mt Hope Homestead (E.J.Thompson+ BUC175),Myrtaceae,,woody
Eucalyptus sp. Mt Short (D.Nicolle & M.French DN 3575),Myrtaceae,,woody
Eucalyptus sp. Mulga Rock (K.D.Hill & L.A.S.Johnson KH 2668),Myrtaceae,,woody
Eucalyptus sp. Nhill (N.G.Walsh 6030),Myrtaceae,mallee,woody
Eucalyptus sp. North Balladonia (D.Nicolle & M.French DN 3620),Myrtaceae,,woody
Eucalyptus sp. Pitta Creek (R.L.Barrett & M.D.Barrett RLB 1677),Myrtaceae,,woody
Eucalyptus sp. Queen Victoria Spring (D.Nicolle 524),Myrtaceae,,woody
Eucalyptus sp. Southern wheatbelt (D.Nicolle & M.French DN 5507),Myrtaceae,,woody
Eucalyptus sp. Sullivan Soak (D.Nicolle & M.French DN 5503),Myrtaceae,,woody
Eucalyptus sp. Truslove (M.I.H.Brooker 7499),Myrtaceae,mallee,woody
Eucalyptus sparsa,Myrtaceae,mallee tree,woody
Eucalyptus sparsifolia,Myrtaceae,tree,woody
Eucalyptus spathulata,Myrtaceae,mallee tree,woody
Eucalyptus spathulata subsp. salina,Myrtaceae,mallee,woody
Eucalyptus spathulata subsp. spathulata,Myrtaceae,mallee tree,woody
Eucalyptus sphaerocarpa,Myrtaceae,tree,woody
Eucalyptus splendens,Myrtaceae,tree,woody
Eucalyptus sporadica,Myrtaceae,mallee tree,woody
Eucalyptus spreta,Myrtaceae,mallee tree,woody
Eucalyptus squamosa,Myrtaceae,tree,woody
Eucalyptus staeri,Myrtaceae,tree,woody
Eucalyptus staigeriana,Myrtaceae,tree,woody
Eucalyptus steedmanii,Myrtaceae,tree,woody
Eucalyptus stellulata,Myrtaceae,tree,woody
Eucalyptus stenostoma,Myrtaceae,tree,woody
Eucalyptus stoatei,Myrtaceae,tree,woody
Eucalyptus stowardii,Myrtaceae,mallee tree,woody
Eucalyptus striaticalyx,Myrtaceae,mallee tree,woody
Eucalyptus striaticalyx subsp. delicata,Myrtaceae,tree,woody
Eucalyptus striaticalyx subsp. striaticalyx,Myrtaceae,tree,woody
Eucalyptus stricklandii,Myrtaceae,tree,woody
Eucalyptus stricta,Myrtaceae,mallee,woody
Eucalyptus strzeleckii,Myrtaceae,tree,woody
Eucalyptus sturgissiana,Myrtaceae,mallee,woody
Eucalyptus subangusta,Myrtaceae,mallee tree,woody
Eucalyptus subangusta subsp. cerina,Myrtaceae,mallee,woody
Eucalyptus subangusta subsp. pusilla,Myrtaceae,mallee tree,woody
Eucalyptus subangusta subsp. subangusta,Myrtaceae,mallee,woody
Eucalyptus subangusta subsp. virescens,Myrtaceae,mallee,woody
Eucalyptus subcrenulata,Myrtaceae,tree,woody
Eucalyptus suberea,Myrtaceae,mallee,woody
Eucalyptus subtilis,Myrtaceae,mallee,woody
Eucalyptus suffulgens,Myrtaceae,tree,woody
Eucalyptus suggrandis,Myrtaceae,mallee,woody
Eucalyptus suggrandis subsp. promiscua,Myrtaceae,mallee,woody
