SCIENTIFICNAME,plant_growth_form,growth_habit,parasitic,life_history,regen_strategy,growth_medium,sex_type,partially_woody
Asterolasia muricata,shrub,erect,NA,NA,NA,NA,NA,NA
Asterolasia nivea,subshrub,NA,NA,NA,NA,NA,NA,NA
Asterolasia pallida subsp. pallida,NA,NA,NA,NA,NA,NA,NA,NA
Asterolasia phebalioides,shrub,open compact,NA,NA,NA,NA,NA,NA
Asterolasia rivularis,shrub,erect,NA,NA,NA,NA,NA,NA
Asterolasia rupestris,shrub,erect,NA,NA,NA,NA,NA,NA
Asterolasia trymalioides,shrub,prostrate erect,NA,NA,NA,NA,NA,NA
Astonia,aquatic,NA,NA,annual perennial,NA,NA,NA,NA
Astonia australiensis,aquatic,NA,NA,NA,NA,aquatic,NA,NA
Astrebla,NA,caespitose,NA,perennial,NA,NA,NA,NA
Astrebla elymoides,NA,NA,NA,NA,rhizome,NA,NA,NA
Astrebla lappacea '104C',NA,NA,NA,NA,rhizome,NA,NA,NA
Astrebla pectinata '64A',NA,NA,NA,NA,rhizome,NA,NA,NA
Astrebla squarrosa,NA,NA,NA,NA,rhizome,NA,NA,NA
Atalaya,tree shrub,NA,NA,NA,NA,NA,dioecious,NA
Atalaya angustifolia,tree,NA,NA,NA,NA,NA,NA,NA
Atalaya australiana,tree,NA,NA,NA,NA,NA,NA,NA
Atalaya brevialata,NA,NA,NA,NA,NA,NA,NA,NA
Atalaya calcicola,tree,NA,NA,NA,NA,NA,NA,NA
Atalaya hemiglauca,tree,NA,NA,NA,NA,NA,NA,NA
Atalaya multiflora,tree,NA,NA,NA,NA,NA,NA,NA
Atalaya rigida,tree,NA,NA,NA,NA,NA,NA,NA
Atalaya salicifolia,tree,NA,NA,NA,NA,NA,NA,NA
Atalaya sericopetala,tree shrub,NA,NA,NA,NA,NA,NA,NA
Atalaya variifolia,tree,NA,NA,NA,NA,NA,NA,NA
Atherosperma,tree shrub,NA,NA,NA,NA,NA,monoecious,NA
Atherosperma moschatum,tree shrub,NA,NA,NA,NA,NA,NA,NA
Atherosperma moschatum subsp. integrifolium,tree shrub,NA,NA,NA,NA,NA,NA,NA
Atherosperma moschatum subsp. moschatum,tree,NA,NA,NA,NA,NA,NA,NA
Atherospermataceae,tree shrub,NA,NA,NA,NA,NA,monoecious,NA
Athertonia,NA,NA,NA,NA,NA,NA,NA,NA
Athertonia diversifolia,tree,NA,NA,NA,NA,NA,NA,NA
Athrotaxis,tree shrub,NA,NA,NA,NA,NA,NA,NA
Athrotaxis cupressoides,tree,NA,NA,NA,NA,NA,NA,NA
Athrotaxis selaginoides,tree,NA,NA,NA,NA,NA,NA,NA
Woodsiaceae,fern,NA,NA,NA,NA,terrestrial,NA,NA
Atkinsonia,NA,NA,NA,NA,NA,terrestrial,NA,NA
Atkinsonia ligustrina,shrub,spreading,NA,NA,NA,NA,NA,NA
Atriplex,shrub herb,NA,NA,annual perennial,NA,NA,dioecious monoecious,NA
Atriplex acutibractea,shrub,NA,NA,NA,NA,NA,monoecious,NA
Atriplex acutiloba,NA,NA,NA,short_lived_perennial perennial,NA,NA,monoecious,NA
Atriplex amnicola,shrub,spreading,NA,NA,NA,NA,dioecious,NA
Atriplex angulata,NA,NA,NA,short_lived_perennial annual,NA,NA,monoecious,NA
Atriplex australasica,NA,erect spreading,NA,annual,NA,NA,monoecious,NA
Atriplex billardierei,NA,prostrate decumbent,NA,NA,NA,NA,monoecious,NA
Atriplex bunburyana,shrub,erect,NA,NA,NA,NA,dioecious,NA
Atriplex cinerea,shrub,erect spreading,NA,NA,NA,NA,dioecious monoecious,NA
Atriplex codonocarpa,NA,NA,NA,short_lived_perennial annual,NA,NA,monoecious,NA
Atriplex cordifolia,NA,NA,NA,short_lived_perennial annual,NA,NA,monoecious,NA
Atriplex cornigera,NA,prostrate,NA,perennial,NA,NA,monoecious,NA
Atriplex crassipes,herb,erect decumbent,NA,NA,NA,NA,monoecious,NA
Atriplex cryptocarpa,shrub,NA,NA,NA,NA,NA,monoecious,NA
Atriplex eardleyae,herb,erect decumbent,NA,perennial,NA,NA,monoecious,NA
Atriplex eichleri,NA,erect decumbent,NA,annual perennial,NA,NA,monoecious,NA
Atriplex elachophylla,NA,erect,NA,perennial,NA,NA,NA,NA
Atriplex exilifolia,NA,decumbent,NA,perennial,NA,NA,monoecious,NA
Atriplex fissivalvis,herb,open,NA,annual,NA,NA,monoecious,NA
Atriplex flabelliformis,herb,erect,NA,perennial,NA,NA,monoecious,NA
Atriplex holocarpa,NA,NA,NA,short_lived_perennial annual,NA,NA,monoecious,NA
Atriplex hortensis,herb,erect,NA,annual,NA,NA,monoecious,NA
Atriplex humifusa,herb,prostrate erect spreading,NA,perennial,NA,NA,monoecious,NA
Atriplex humilis,shrub,decumbent,NA,NA,NA,NA,monoecious,NA
Atriplex hymenotheca,shrub,spreading,NA,NA,NA,NA,dioecious,NA
Atriplex hypoleuca,NA,decumbent,NA,perennial,NA,NA,monoecious,NA
Atriplex incrassata,shrub,NA,NA,NA,NA,NA,dioecious,NA
Atriplex infrequens,NA,erect procumbent,NA,perennial,NA,NA,monoecious,NA
Atriplex intermedia,NA,sprawling,NA,short_lived_perennial annual,NA,NA,monoecious,NA
Atriplex isatidea,shrub,erect,NA,NA,NA,NA,dioecious monoecious,NA
Atriplex kochiana,NA,erect,NA,short_lived_perennial annual,NA,NA,monoecious,NA
Atriplex leptocarpa,NA,decumbent,NA,short_lived_perennial annual,NA,NA,monoecious,NA
Atriplex limbata,NA,erect,NA,perennial,NA,NA,monoecious,NA
Atriplex lindleyi,NA,NA,NA,short_lived_perennial annual,NA,NA,monoecious,NA
Atriplex lindleyi subsp. conduplicata,NA,NA,NA,NA,NA,NA,NA,NA
Atriplex lindleyi subsp. inflata,NA,NA,NA,NA,NA,NA,NA,NA
Atriplex lindleyi subsp. lindleyi,NA,NA,NA,NA,NA,NA,NA,NA
Atriplex lindleyi subsp. quadripartita,NA,NA,NA,NA,NA,NA,NA,NA
Atriplex lobativalvis,herb,prostrate,NA,NA,NA,NA,monoecious,NA
Atriplex macropterocarpa,herb,NA,NA,annual,NA,NA,NA,NA
Atriplex morrisii,NA,erect,NA,short_lived_perennial annual,NA,NA,monoecious,NA
Atriplex muelleri,herb,erect spreading,NA,NA,NA,NA,NA,NA
Atriplex nana,shrub,erect bushy,NA,NA,NA,NA,dioecious,NA
Atriplex nessorhina,herb,NA,NA,short_lived_perennial annual,NA,NA,monoecious,NA
Atriplex nummularia,shrub,erect,NA,NA,NA,NA,dioecious,NA
Atriplex nummularia subsp. nummularia,shrub,decumbent,NA,NA,NA,NA,NA,NA
Atriplex nummularia subsp. omissa,shrub,decumbent,NA,NA,NA,NA,NA,NA
Atriplex nummularia subsp. spathulata,shrub,erect,NA,NA,NA,NA,NA,NA
Atriplex obconica,NA,NA,NA,short_lived_perennial annual,NA,NA,monoecious,NA
Atriplex paludosa,shrub,erect decumbent,NA,NA,NA,NA,dioecious,NA
Atriplex paludosa subsp. baudinii,shrub,erect,NA,NA,NA,NA,NA,NA
Atriplex paludosa subsp. cordata,shrub,erect,NA,NA,NA,NA,NA,NA
Atriplex paludosa subsp. moquiniana,shrub,erect,NA,NA,NA,NA,NA,NA
Atriplex paludosa subsp. paludosa,shrub,decumbent,NA,NA,NA,NA,NA,NA
Atriplex papillata,herb,prostrate spreading,NA,short_lived_perennial annual,NA,NA,monoecious,NA
Atriplex prostrata,herb,prostrate erect,NA,annual,NA,NA,monoecious,NA
Atriplex pseudocampanulata,herb,spreading,NA,NA,NA,NA,monoecious,NA
Atriplex pumilio,NA,prostrate decumbent,NA,perennial,NA,NA,monoecious,NA
Atriplex quadrivalvata,NA,NA,NA,short_lived_perennial annual,NA,NA,monoecious,NA
Atriplex quadrivalvata var. quadrivalvata,NA,NA,NA,NA,NA,NA,NA,NA
Atriplex quadrivalvata var. sessilifolia,NA,NA,NA,NA,NA,NA,NA,NA
Atriplex quinii,herb,NA,NA,perennial,NA,NA,monoecious,NA
Atriplex rhagodioides,shrub,NA,NA,NA,NA,NA,dioecious,NA
Atriplex semibaccata,herb,prostrate spreading decumbent,NA,perennial,NA,NA,NA,woody_root
Atriplex semilunaris,NA,erect decumbent,NA,perennial,NA,NA,monoecious,NA
Atriplex spinibractea,herb,prostrate,NA,NA,NA,NA,monoecious,NA
Atriplex spinulosa,herb,erect,NA,annual,NA,NA,monoecious,NA
Atriplex spongiosa,NA,NA,NA,short_lived_perennial annual,NA,NA,monoecious,NA
Atriplex stipitata,shrub,erect,NA,NA,NA,NA,dioecious,NA
Atriplex sturtii,NA,spreading,NA,short_lived_perennial annual,NA,NA,monoecious,NA
Atriplex suberecta,herb,sprawling,NA,NA,NA,NA,monoecious,NA
Atriplex turbinata,NA,NA,NA,short_lived_perennial annual,NA,NA,monoecious,NA
Atriplex velutinella,NA,erect,NA,short_lived_perennial,NA,NA,monoecious,NA
Atriplex vesicaria,shrub,erect decumbent,NA,NA,NA,NA,dioecious,NA
Atriplex vesicaria subsp. appendiculata,shrub,erect,NA,NA,NA,NA,NA,NA
Atriplex vesicaria subsp. incompta,shrub,erect,NA,NA,NA,NA,NA,NA
Atriplex vesicaria subsp. macrocystidia,shrub,NA,NA,NA,NA,NA,NA,NA
Atriplex vesicaria subsp. minor,shrub,NA,NA,NA,NA,NA,NA,NA
Atriplex vesicaria subsp. sphaerocarpa,shrub,decumbent,NA,NA,NA,NA,NA,NA
Atriplex vesicaria subsp. variabilis,shrub,erect,NA,NA,NA,NA,NA,NA
Atriplex vesicaria subsp. vesicaria,shrub,NA,NA,NA,NA,NA,NA,NA
Auranticarpa,tree,NA,NA,NA,NA,NA,monoecious,NA
Auranticarpa edentata,tree,NA,NA,NA,NA,NA,NA,NA
Auranticarpa ilicifolia,tree,NA,NA,NA,NA,NA,NA,NA
Auranticarpa melanosperma,tree,NA,NA,NA,NA,NA,NA,NA
Auranticarpa papyracea,tree,NA,NA,NA,NA,NA,NA,NA
Auranticarpa resinosa,tree,NA,NA,NA,NA,NA,NA,NA
Auranticarpa rhombifolia,tree,NA,NA,NA,NA,NA,NA,NA
Australina,herb,NA,NA,perennial,NA,NA,monoecious,NA
Australina pusilla,herb,prostrate erect,NA,perennial,NA,NA,NA,NA
Australina pusilla subsp. muelleri,herb,prostrate,NA,NA,NA,NA,NA,NA
Australina pusilla subsp. pusilla,herb,prostrate,NA,NA,NA,NA,NA,NA
Australopyrum,NA,caespitose,NA,perennial,NA,NA,NA,NA
Australopyrum pectinatum,NA,NA,NA,NA,NA,NA,NA,NA
Australopyrum retrofractum,NA,NA,NA,NA,NA,NA,NA,NA
Australopyrum velutinum,NA,NA,NA,NA,NA,NA,NA,NA
Austrobaileya scandens,climber_vine,NA,NA,NA,NA,NA,NA,NA
Austrobaileyaceae,climber_woody,NA,NA,NA,NA,NA,NA,NA
Austrobryonia argillicola,NA,NA,NA,NA,NA,NA,NA,NA
Austrobryonia centralis,NA,NA,NA,perennial,NA,NA,NA,NA
Austrobryonia micrantha,NA,NA,NA,perennial,NA,NA,NA,NA
Austrobryonia pilbarensis,NA,NA,NA,NA,NA,NA,NA,NA
Austrochloris,NA,caespitose,NA,perennial,NA,NA,NA,NA
Austrochloris dichanthioides,NA,NA,NA,NA,NA,NA,NA,NA
Austrocylindropuntia,tree shrub,erect spreading,NA,NA,NA,NA,NA,NA
Austrocylindropuntia cylindrica,shrub,erect spreading,NA,NA,NA,NA,NA,NA
Austrocylindropuntia subulata,shrub,erect,NA,NA,NA,NA,NA,NA
Rytidosperma,NA,caespitose decumbent,NA,perennial,NA,NA,NA,NA
Rytidosperma acerosum,NA,caespitose,NA,NA,NA,NA,NA,NA
Rytidosperma alpicola,NA,caespitose,NA,NA,NA,NA,NA,NA
Rytidosperma auriculatum,NA,caespitose,NA,NA,NA,NA,NA,NA
Rytidosperma bipartitum,NA,caespitose,NA,NA,NA,NA,NA,NA
Rytidosperma caespitosum,NA,caespitose,NA,NA,NA,NA,NA,NA
Rytidosperma carphoides,NA,caespitose,NA,NA,NA,NA,NA,NA
Rytidosperma diemenicum,NA,caespitose,NA,NA,NA,NA,NA,NA
Rytidosperma duttonianum,NA,caespitose,NA,NA,NA,NA,NA,NA
Rytidosperma erianthum,NA,caespitose,NA,NA,NA,NA,NA,NA
Rytidosperma fulvum,NA,caespitose,NA,NA,NA,NA,NA,NA
Rytidosperma geniculatum,NA,caespitose,NA,NA,NA,NA,NA,NA
Rytidosperma indutum,NA,caespitose,NA,NA,NA,NA,NA,NA
Rytidosperma laeve,NA,caespitose,NA,NA,NA,NA,NA,NA
Rytidosperma monticola,NA,caespitose,NA,NA,NA,NA,NA,NA
Rytidosperma occidentale,NA,caespitose,NA,NA,NA,NA,NA,NA
Rytidosperma oreophilum,NA,caespitose,NA,NA,NA,NA,NA,NA
Rytidosperma penicillatum,NA,caespitose,NA,NA,NA,NA,NA,NA
Rytidosperma pilosum,NA,caespitose,NA,NA,NA,NA,NA,NA
Rytidosperma fulvum,NA,caespitose,NA,NA,NA,NA,NA,NA
Rytidosperma racemosum,NA,caespitose,NA,NA,NA,NA,NA,NA
Rytidosperma racemosum var. obtusatum,NA,NA,NA,NA,NA,NA,NA,NA
Rytidosperma racemosum var. racemosum,NA,NA,NA,NA,NA,NA,NA,NA
Rytidosperma remotum,NA,caespitose,NA,NA,NA,NA,NA,NA
Rytidosperma richardsonii,NA,caespitose,NA,NA,NA,NA,NA,NA
Rytidosperma setaceum,NA,caespitose,NA,NA,NA,NA,NA,NA
Rytidosperma tenuius,NA,caespitose,NA,NA,NA,NA,NA,NA
Poa subsect. Austrofestuca,NA,caespitose,NA,perennial,rhizome,NA,NA,NA
Hookerochloa eriopoda,NA,caespitose,NA,NA,rhizome,NA,NA,NA
Hookerochloa hookeriana,NA,caespitose,NA,NA,NA,NA,NA,NA
Poa billardierei,NA,NA,NA,NA,rhizome,NA,NA,NA
Austromatthaea,tree shrub,NA,NA,NA,NA,NA,dioecious,NA
Austromatthaea elegans,tree shrub,NA,NA,NA,NA,NA,NA,NA
Austromuellera,tree,NA,NA,NA,NA,NA,NA,NA
Austromuellera trinervia,tree,NA,NA,NA,NA,NA,NA,NA
Austromuellera valida,tree,NA,NA,NA,NA,NA,NA,NA
Austrostipa,NA,caespitose,NA,annual perennial,rhizome,NA,NA,NA
Austrostipa acrociliata,NA,NA,NA,NA,rhizome,NA,NA,NA
Austrostipa aphylla,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa aquarii,NA,NA,NA,NA,rhizome,NA,NA,NA
Austrostipa aristiglumis,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa bigeniculata,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa blackii,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa blakei,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa breviglumis,NA,NA,NA,NA,rhizome,NA,NA,NA
Austrostipa campylachne,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa centralis,NA,NA,NA,NA,rhizome,NA,NA,NA
Austrostipa compressa,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa crinita,NA,NA,NA,NA,rhizome,NA,NA,NA
Austrostipa curticoma,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa densiflora,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa dongicola,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa drummondii,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa echinata,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa elegantissima,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa eremophila,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa exilis,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa feresetacea,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa flavescens,NA,NA,NA,NA,rhizome,NA,NA,NA
Austrostipa geoffreyi,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa gibbosa,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa hemipogon,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa juncifolia,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa lanata,NA,NA,NA,perennial,NA,NA,NA,NA
Austrostipa macalpinei,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa metatoris,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa mollis,NA,caespitose,NA,NA,NA,NA,NA,NA
Austrostipa muelleri,NA,tufted spreading,NA,NA,NA,NA,NA,NA
Austrostipa multispiculis,NA,NA,NA,NA,rhizome,NA,NA,NA
Austrostipa mundula,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa nitida,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa nivicola,NA,tufted,NA,NA,NA,NA,NA,NA
Austrostipa nodosa,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa nullanulla,NA,NA,NA,perennial,NA,NA,NA,NA
Austrostipa nullarborensis,NA,NA,NA,NA,rhizome,NA,NA,NA
Austrostipa oligostachya,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa petraea,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa pilata,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa platychaeta,NA,NA,NA,NA,rhizome,NA,NA,NA
Austrostipa plumigera,NA,NA,NA,NA,rhizome,NA,NA,NA
Austrostipa puberula,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa pubescens,NA,tufted,NA,NA,NA,NA,NA,NA
Austrostipa pubinodis,NA,tufted,NA,NA,NA,NA,NA,NA
Austrostipa pycnostachya,NA,NA,NA,NA,rhizome,NA,NA,NA
Austrostipa ramosissima,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa rudis,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa rudis subsp. australis,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa rudis subsp. nervosa,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa rudis subsp. rudis,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa scabra,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa scabra subsp. falcata,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa scabra subsp. scabra,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa semibarbata,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa setacea,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa stipoides,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa stuposa,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa tenuifolia,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa trichophylla,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa tuckeri,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa variabilis,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa velutina,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa verticillata,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa vickeryana,NA,NA,NA,annual perennial,NA,NA,NA,NA
Austrostipa wakoolica,NA,NA,NA,NA,NA,NA,NA,NA
Avellinia,NA,caespitose,NA,annual,NA,NA,NA,NA
Avellinia michelii,NA,NA,NA,NA,NA,NA,NA,NA
Avena,NA,caespitose decumbent,NA,annual,NA,NA,NA,NA
Avena barbata,NA,NA,NA,NA,NA,NA,NA,NA
Avena fatua,NA,NA,NA,NA,NA,NA,NA,NA
Avena sterilis subsp. ludoviciana,NA,NA,NA,NA,NA,NA,NA,NA
Avena sativa,NA,NA,NA,NA,NA,NA,NA,NA
Avena sterilis,NA,NA,NA,NA,NA,NA,NA,NA
Avena strigosa,NA,NA,NA,NA,NA,NA,NA,NA
Avicennia,tree shrub,NA,NA,NA,NA,NA,NA,NA
Avicennia integra,tree shrub,NA,NA,NA,NA,NA,NA,NA
Avicennia marina,tree shrub,NA,NA,NA,NA,NA,NA,NA
Avicennia marina subsp. australasica,tree shrub,NA,NA,NA,NA,NA,NA,NA
Avicennia marina subsp. eucalyptifolia,tree shrub,NA,NA,NA,NA,NA,NA,NA
Avicennia marina subsp. marina,tree shrub,NA,NA,NA,NA,NA,NA,NA
Azadirachta,tree,NA,NA,NA,NA,NA,NA,NA
Azadirachta indica,tree,NA,NA,NA,NA,NA,NA,NA
Azolla filiculoides,NA,NA,NA,NA,NA,NA,NA,NA
Azolla pinnata,NA,NA,NA,NA,NA,NA,NA,NA
Salviniaceae,fern aquatic,NA,NA,NA,NA,aquatic,NA,NA
Babiana,herb,NA,NA,annual perennial,NA,NA,NA,NA
Babiana stricta,herb,NA,NA,NA,NA,NA,NA,NA
Baeometra,herb,NA,NA,perennial,NA,NA,NA,NA
Baeometra uniflora,herb,NA,NA,NA,NA,NA,NA,NA
Baileyoxylon,tree,NA,NA,NA,NA,NA,dioecious,NA
Baileyoxylon lanceolatum,tree,NA,NA,NA,NA,NA,NA,NA
Balanopaceae,tree,NA,NA,NA,NA,NA,dioecious,NA
Balanophora,NA,NA,NA,NA,NA,NA,NA,NA
Balanophora fungosa,NA,NA,NA,NA,NA,NA,dioecious monoecious,NA
Balanophora fungosa subsp. fungosa,NA,NA,NA,NA,NA,NA,monoecious,NA
Balanophora fungosa subsp. indica,NA,NA,NA,NA,NA,NA,dioecious,NA
Balanophoraceae,herb,NA,NA,NA,NA,NA,NA,NA
Balanops australiana,tree,NA,NA,NA,NA,NA,NA,NA
Ballantinia,herb,NA,NA,annual,NA,NA,NA,NA
Ballantinia antipoda,herb,prostrate,NA,NA,NA,NA,NA,NA
Baloghia,tree shrub,NA,NA,perennial,NA,NA,dioecious monoecious,NA
Baloghia inophylla,tree shrub,NA,NA,NA,NA,NA,NA,NA
Baloghia marmorata,tree shrub,NA,NA,NA,NA,NA,NA,NA
Baloghia parviflora,tree shrub,NA,NA,NA,NA,NA,NA,NA
Balsaminaceae,subshrub herb,NA,NA,annual perennial,NA,NA,NA,NA
Bambusa,NA,erect scandent,NA,perennial,rhizome,NA,NA,NA
Bambusa arnhemica,NA,erect,NA,NA,NA,NA,NA,NA
Banksia,tree shrub,prostrate,NA,NA,NA,NA,NA,NA
Banksia aculeata,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia aemula,tree shrub,NA,NA,NA,NA,NA,NA,NA
Banksia aquilonia,tree shrub,NA,NA,NA,NA,NA,NA,NA
Banksia ashbyi,tree shrub,NA,NA,NA,NA,NA,NA,NA
Banksia attenuata,tree shrub,NA,NA,NA,NA,NA,NA,NA
Banksia audax,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia baueri,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia baxteri,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia benthamiana,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia blechnifolia,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia brownii,tree shrub,NA,NA,NA,NA,NA,NA,NA
Banksia burdettii,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia caleyi,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia candolleana,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia canei,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia chamaephyton,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia coccinea,tree shrub,erect,NA,NA,NA,NA,NA,NA
Banksia cuneata,tree shrub,NA,NA,NA,NA,NA,NA,NA
Banksia dentata,tree,NA,NA,NA,NA,NA,NA,NA
Banksia dryandroides,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia elderiana,shrub,bushy,NA,NA,NA,NA,NA,NA
Banksia elegans,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia epica,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia ericifolia,tree shrub,NA,NA,NA,NA,NA,NA,NA
Banksia gardneri,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia goodii,shrub,prostrate,NA,NA,NA,NA,NA,NA
Banksia grandis,tree shrub,NA,NA,NA,NA,NA,NA,NA
Banksia grossa,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia hookeriana,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia ilicifolia,tree,NA,NA,NA,NA,NA,NA,NA
Banksia incana,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia integrifolia 'BIT 11',tree,NA,NA,NA,NA,NA,NA,NA
Banksia laevigata,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia lanata,shrub,spreading,NA,NA,NA,NA,NA,NA
Banksia laricina,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia lemanniana,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia leptophylla,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia lindleyana,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia littoralis,tree shrub,NA,NA,NA,NA,NA,NA,NA
Banksia lullfitzii,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia marginata 'Mt. William Dwarf',tree shrub,NA,NA,NA,NA,NA,NA,NA
Banksia media,tree shrub,NA,NA,NA,NA,NA,NA,NA
Banksia meisneri,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia menziesii,tree shrub,NA,NA,NA,NA,NA,NA,NA
Banksia micrantha,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia nutans,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia oblongifolia,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia occidentalis,tree shrub,NA,NA,NA,NA,NA,NA,NA
Banksia oligantha,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia oreophila,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia ornata,shrub,bushy,NA,NA,NA,NA,NA,NA
Banksia paludosa,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia paludosa subsp. astrolux,shrub,open,NA,NA,NA,NA,NA,NA
Banksia paludosa subsp. paludosa,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia petiolaris,shrub,spreading,NA,NA,NA,NA,NA,NA
Banksia pilostylis,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia plagiocarpa,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia praemorsa,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia prionotes,tree shrub,NA,NA,NA,NA,NA,NA,NA
Banksia pulchella,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia quercifolia,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia repens,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia robur,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia saxicola,shrub,erect spreading,NA,NA,NA,NA,NA,NA
Banksia scabrella,shrub,spreading,NA,NA,NA,NA,NA,NA
Banksia sceptrum,shrub,NA,NA,NA,NA,NA,NA,NA
Banksia sect. Banksia,NA,NA,NA,NA,NA,NA,NA,NA
Banksia sect. Oncostylis,NA,NA,NA,NA,NA,NA,NA,NA
Banksia seminuda,tree,NA,NA,NA,NA,NA,NA,NA
Banksia ser. Abietinae,shrub,erect spreading,NA,NA,NA,NA,NA,NA
Banksia ser. Banksia,tree shrub,erect spreading,NA,NA,NA,NA,NA,NA
Banksia ser. Bauerinae,shrub,erect spreading,NA,NA,NA,NA,NA,NA
Banksia ser. Crocinae,tree shrub,erect,NA,NA,NA,NA,NA,NA
Banksia ser. Cyrtostylis,tree shrub,erect spreading,NA,NA,NA,NA,NA,NA
Banksia ser. Dryandroideae,shrub,erect spreading,NA,NA,NA,NA,NA,NA
Banksia ser. Grandes,tree shrub,erect spreading,NA,NA,NA,NA,NA,NA
Banksia ser. Prostratae,shrub,prostrate erect,NA,NA,NA,NA,NA,NA
Banksia ser. Quercinae,shrub,erect,NA,NA,NA,NA,NA,NA
