Taxon,Vegetative persistence,Propagule persistence,Eco Source,Fire Response Adult,Resprout Type,Seed Bank,Fire_Response_Adult,Resprout_Type,stem buds
Decaschistia occidentalis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deeringia amaranthoides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delonix regia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrobium affine,NA,NA,NA,NA,NA,NA,1,4,NA
Dendrobium canaliculatum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrobium lobbii,NA,NA,NA,NA,NA,NA,2,4,NA
Dendrobium trilamellatum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrolobium multiflorum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrolobium polyneurum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrolobium stipatum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendromyza reinwardtiana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrophthoe acacioides subsp. acacioides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrophthoe acacioides subsp. indeterminate,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrophthoe acacioides subsp. longifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrophthoe glabrescens,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrophthoe odontocalyx,NA,NA,NA,NA,NA,NA,1,5,NA
Denhamia obscura,NA,NA,NA,NA,NA,NA,2,6,NA
Dentella arnhemensis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dentella asperata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dentella browniana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dentella dioeca,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dentella minutissima,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dentella pulvinata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dentella repens,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derris trifoliata,NA,NA,NA,NA,NA,NA,2,7,NA
Desmanthus virgatus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmatodon convolutus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium brachypodum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium brownii,NA,NA,NA,NA,NA,NA,1,5,NA
Desmodium campylocaulon,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium filiforme,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium flagellare,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium gangeticum,NA,NA,NA,NA,NA,NA,1,5,NA
Desmodium glareosum,NA,NA,NA,NA,NA,NA,1,5,NA
Desmodium hannii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium heterocarpon var. strigosum,NA,NA,NA,NA,NA,NA,1,5,NA
Desmodium incanum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium muelleri var. majus,NA,NA,NA,NA,NA,NA,2,2,NA
Desmodium pullenii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium pullenii / glareosum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium pycnotrichum,NA,NA,NA,NA,NA,NA,1,5,NA
Desmodium rhytidophyllum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium scorpiurus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium tiwiense,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium tortuosum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium trichostachyum,NA,NA,NA,NA,NA,NA,1,5,NA
Desmodium triflorum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium velutinum,NA,NA,NA,NA,NA,NA,1,5,NA
Desmos wardianus,NA,NA,NA,NA,NA,NA,3,2,NA
Dianella longifolia var. longifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dianella odorata,NA,NA,NA,NA,NA,NA,2,6,NA
Dicarpidium monoicum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicarpidium sp. Arnhem Land (L.A.Craven 2494),NA,NA,NA,NA,NA,NA,1,5,NA
Dicarpidium sp. Katherine Gorge (C.R.Dunlop 5225),NA,NA,NA,NA,NA,NA,1,5,NA
Dichanthium annulatum,NA,NA,NA,NA,NA,NA,2,NA,NA
Dichanthium aristatum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dichanthium fecundum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dichanthium sericeum subsp. humilius,NA,NA,NA,NA,NA,NA,1,NA,NA
Dichanthium sericeum subsp. indeterminate,NA,NA,NA,NA,NA,NA,3,NA,NA
Dichanthium sericeum subsp. polystachyum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dichanthium sericeum subsp. sericeum,NA,NA,NA,NA,NA,NA,2,2,NA
Dichapetalum timoriense,NA,NA,NA,NA,NA,NA,2,7,NA
Dichromochlamys dentatifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dichrostachys cinerea subsp. malesiana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dichrostachys spicata,NA,NA,NA,NA,NA,NA,2,7,VI
Dicliptera armata,NA,NA,NA,NA,NA,NA,1,5,NA
Dicliptera arnhemica,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicliptera australis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicliptera ciliata,NA,NA,NA,NA,NA,NA,1,5,NA
Dicliptera miscella,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicliptera spicata,NA,NA,NA,NA,NA,NA,1,5,NA
Dicranopteris linearis var. linearis,NA,NA,NA,NA,NA,NA,2,1,NA
Dicrastylis beveridgei subsp. beveridgei,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicrastylis beveridgei subsp. indeterminate,NA,NA,NA,NA,NA,NA,2,1,NA
Dicrastylis beveridgei subsp. revoluta,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicrastylis costelloi var. costelloi,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicrastylis costelloi var. eriantha,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicrastylis costelloi var. indeterminate,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicrastylis costelloi var. violacea,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicrastylis doranii,NA,NA,NA,NA,NA,NA,2,NA,NA
Dicrastylis exsuccosa subsp. exsuccosa,NA,NA,NA,NA,NA,NA,2,NA,NA
Dicrastylis exsuccosa subsp. indeterminate,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicrastylis gilesii var. bagotensis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicrastylis gilesii var. gilesii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicrastylis gilesii var. indeterminate,NA,NA,NA,NA,NA,NA,3,5,NA
Dicrastylis gilesii var. laxa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicrastylis lewellinii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicrastylis petermannensis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Didymoplexis pallens,NA,NA,NA,NA,NA,NA,2,4,NA
Digitaria ammophila,NA,NA,NA,NA,NA,NA,2,2,NA
Digitaria benthamiana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Digitaria bicornis,NA,NA,NA,NA,NA,NA,1,5,NA
Digitaria breviglumis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Digitaria brownii,NA,NA,NA,NA,NA,NA,2,2,NA
Digitaria ciliaris,NA,NA,NA,NA,NA,NA,1,NA,NA
Digitaria coenicola,NA,NA,NA,NA,NA,NA,2,2,NA
Digitaria ctenantha,NA,NA,NA,NA,NA,NA,1,5,NA
Digitaria decumbens,NA,NA,NA,NA,NA,NA,NA,NA,NA
Digitaria gibbosa,NA,NA,NA,NA,NA,NA,1,5,NA
Digitaria hystrichoides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Digitaria leucostachya,NA,NA,NA,NA,NA,NA,NA,NA,NA
Digitaria longiflora,NA,NA,NA,NA,NA,NA,1,5,NA
Digitaria mariannensis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Digitaria nematostachya,NA,NA,NA,NA,NA,NA,NA,NA,NA
Digitaria oraria,NA,NA,NA,NA,NA,NA,NA,NA,NA
Digitaria papposa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Digitaria setigera,NA,NA,NA,NA,NA,NA,NA,NA,NA
Digitaria stenostachya,NA,NA,NA,NA,NA,NA,NA,NA,NA
Digitaria violascens,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dillenia alata,NA,NA,NA,NA,NA,NA,2,7,NA
Dimeria acinaciformis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimeria chloridiformis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimeria ornithopoda,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimorphocalyx australiensis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diodontium filifolium,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dioscorea alata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dioscorea bulbifera,NA,NA,NA,NA,NA,NA,2,4,NA
Dioscorea esculenta,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dioscorea transversa,NA,NA,NA,NA,NA,NA,2,4,NA
Diospyros calycantha,NA,NA,NA,NA,NA,NA,2,6,NA
Diospyros compacta,NA,NA,NA,NA,NA,NA,2,6,NA
Diospyros cordifolia,NA,NA,NA,NA,NA,NA,2,6,NA
Diospyros humilis,NA,NA,NA,NA,NA,NA,2,6,NA
Diospyros littorea,NA,NA,NA,NA,NA,NA,2,6,NA
Diospyros maritima,NA,NA,NA,NA,NA,NA,2,6,NA
Diplatia furcata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplatia grandibractea,NA,NA,NA,NA,NA,NA,1,5,NA
Diplocyclos palmatus,NA,NA,NA,NA,NA,NA,1,5,NA
Diplopeltis stuartii var. glandulosa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplopeltis stuartii var. stuartii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diploschistes actinostomus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dipodium stenocheilum,NA,NA,NA,NA,NA,NA,2,4,NA
Dipteracanthus australasicus subsp. dalyensis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dipteracanthus bracteatus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dissocarpus biflorus var. biflorus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dissocarpus paradoxus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Distichostemon arnhemicus,NA,NA,NA,NA,NA,NA,3,NA,NA
Distichostemon barklyanus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Distichostemon filamentosus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Distichostemon hispidulus var. aridus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Distichostemon hispidulus var. hispidulus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Distichostemon hispidulus var. indeterminate,NA,NA,NA,NA,NA,NA,2,6,NA
Distichostemon hispidulus var. phyllopterus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dittrichia graveolens,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dodonaea lanceolata var. indeterminate,NA,NA,NA,NA,NA,NA,1,5,NA
Dodonaea microzyga var. microzyga,NA,NA,NA,NA,NA,NA,1,5,NA
Dodonaea oxyptera,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dodonaea petiolaris,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dodonaea physocarpa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dodonaea platyptera,NA,NA,NA,NA,NA,NA,1,5,NA
Dodonaea polyzyga,NA,NA,NA,NA,NA,NA,1,5,NA
Dodonaea stenophylla,NA,NA,NA,NA,NA,NA,3,NA,NA
Dodonaea viscosa subsp. indeterminate,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dodonaea viscosa subsp. spatulata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dodonaea viscosa subsp. viscosa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dolichandrone alternifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dolichandrone filiformis,NA,NA,NA,NA,NA,NA,2,2,NA
Dolichandrone heterophylla,NA,NA,NA,NA,NA,NA,2,2,NA
Doodia caudata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dopatrium junceum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doryopteris concolor,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drosera banksii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drosera brevicornis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drosera burmanni,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drosera darwinensis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drosera derbyensis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drosera dilatatopetiolaris,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drosera falconeri,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drosera fulva,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drosera indica,NA,NA,NA,NA,NA,NA,1,5,NA
Drosera kenneallyi,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drosera lanata,NA,NA,NA,NA,NA,NA,2,2,NA
Drosera ordensis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drosera paradoxa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drosera petiolaris,NA,NA,NA,NA,NA,NA,2,2,NA
Drosera subtilis,NA,NA,NA,NA,NA,NA,1,5,NA
Drummondita calida,NA,NA,NA,NA,NA,NA,2,2,NA
Drynaria quercifolia,NA,NA,NA,NA,NA,NA,2,1,NA
Drypetes deplanchei,NA,NA,NA,NA,NA,NA,2,7,NA
Duboisia arenitensis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dubouzetia australiensis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dunbaria rotundifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dunbaria singuliflora,NA,NA,NA,NA,NA,NA,6,5,NA
Dysoxylum acutangulum subsp. foveolatum,NA,NA,NA,NA,NA,NA,2,7,NA
Dysoxylum latifolium,NA,NA,NA,NA,NA,NA,2,7,NA
Dysphania glomulifera subsp. eremaea,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dysphania kalpari,NA,NA,NA,NA,NA,NA,1,5,NA
Dysphania plantaginella,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dysphania platycarpa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dysphania rhadinostachya subsp. indeterminate,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dysphania rhadinostachya subsp. inflata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dysphania rhadinostachya subsp. rhadinostachya,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dysphania simulans,NA,NA,NA,NA,NA,NA,1,NA,NA
Dysphania sphaerosperma,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinochloa colona,NA,NA,NA,NA,NA,NA,1,5,NA
Echinochloa crus-galli,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinochloa dietrichiana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinochloa elliptica,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinochloa esculenta,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinochloa kimberleyensis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinochloa macrandra,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinochloa polystachya,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinochloa turneriana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echium plantagineum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eclipta alatocarpa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eclipta platyglossa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eclipta prostrata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eclipta sp. Gove (J.L.Egan 2784),NA,NA,NA,NA,NA,NA,NA,NA,NA
Eclipta sp. Humpty Doo (H.S.McKee 8360),NA,NA,NA,NA,NA,NA,NA,NA,NA
Ectrosia agrostoides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ectrosia confusa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ectrosia danesii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ectrosia lasioclada,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ectrosia laxa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ectrosia leporina var. indeterminate,NA,NA,NA,NA,NA,NA,1,5,NA
Ectrosia leporina var. leporina,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ectrosia leporina var. micrantha,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ectrosia scabrida,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ectrosia schultzii var. annua,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ectrosia schultzii var. indeterminate,NA,NA,NA,NA,NA,NA,1,5,NA
Ectrosia schultzii var. schultzii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ehretia saligna var. indeterminate,NA,NA,NA,NA,NA,NA,2,2,NA
Ehretia saligna var. membranifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ehretia saligna var. saligna,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eichhornia crassipes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Einadia nutans subsp. indeterminate,NA,NA,NA,NA,NA,NA,NA,NA,NA
Einadia nutans subsp. nutans,NA,NA,NA,NA,NA,NA,1,5,NA
Elacholoma hornii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaeocarpus angustifolius,NA,NA,NA,NA,NA,NA,3,2,NA
Elaeocarpus arnhemicus,NA,NA,NA,NA,NA,NA,2,6,NA
Elaeocarpus culminicola,NA,NA,NA,NA,NA,NA,3,2,NA
Elaeocarpus miegei,NA,NA,NA,NA,NA,NA,3,2,NA
Elatine gratioloides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elatine macrocalyx,NA,NA,NA,NA,NA,NA,1,NA,NA
Eleocharis acutangula,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleocharis atropurpurea,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleocharis brassii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleocharis caespitosissima,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleocharis dulcis,NA,NA,NA,NA,NA,NA,2,2,NA
Eleocharis geniculata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleocharis Gleach 2723,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleocharis nuda,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleocharis ochrostachys,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleocharis pallens,NA,NA,NA,NA,NA,NA,5,2,NA
Eleocharis papillosa,NA,NA,NA,NA,NA,NA,2,15,NA
Eleocharis pusilla,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleocharis retroflexa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleocharis setifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleocharis sp. affin acutangula (S.T.Blake 17630),NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleocharis sp. affin brassii (G.M.Chippendale 1486),NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleocharis sp. Coonjimba Billabong (T.S.Henshall 3365),NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleocharis sp. Nourlangie Creek (L.A.Craven 4652),NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleocharis sphacelata,NA,NA,NA,NA,NA,NA,2,2,NA
Eleocharis spiralis,NA,NA,NA,NA,NA,NA,2,2,NA
Eleocharis sundaica,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elephantopus scaber,NA,NA,NA,NA,NA,NA,1,5,NA
Elephantopus spicatus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleusine indica,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutheranthera ruderalis,NA,NA,NA,NA,NA,NA,1,5,NA
Elionurus citreus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elytrophorus spicatus,NA,NA,NA,NA,NA,NA,1,5,NA
Embelia curvinervia,NA,NA,NA,NA,NA,NA,2,6,NA
Emex australis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emilia sonchifolia subsp. indeterminate,NA,NA,NA,NA,NA,NA,1,5,NA
Emmenosperma cunninghamii,NA,NA,NA,NA,NA,NA,3,7,NA
Enchylaena tomentosa var. glabra,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enchylaena tomentosa var. indeterminate,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enchylaena tomentosa var. tomentosa,NA,NA,NA,NA,NA,NA,4,2,NA
Endiandra limnophila,NA,NA,NA,NA,NA,NA,3,2,NA
Endocarpon helmsianum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endospermum medullosum,NA,NA,NA,NA,NA,NA,3,2,NA
Enhalus acoroides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enneapogon avenaceus,NA,NA,NA,NA,NA,NA,5,2,NA
Enneapogon caerulescens var. caerulescens,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enneapogon clelandii,NA,NA,NA,NA,NA,NA,2,NA,NA
Enneapogon cylindricus,NA,NA,NA,NA,NA,NA,2,2,NA
Enneapogon decipiens,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enneapogon eremophilus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enneapogon intermedius,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enneapogon lindleyanus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enneapogon oblongus,NA,NA,NA,NA,NA,NA,2,2,NA
Enneapogon pallidus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enneapogon polyphyllus,NA,NA,NA,NA,NA,NA,1,5,NA
Enneapogon purpurascens,NA,NA,NA,NA,NA,NA,1,5,NA
Enneapogon robustissimus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entada phaseoloides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entada rheedii,NA,NA,NA,NA,NA,NA,2,2,NA
Enteropogon acicularis,NA,NA,NA,NA,NA,NA,2,2,NA
Enteropogon dolichostachyus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enteropogon minutus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enteropogon ramosus,NA,NA,NA,NA,NA,NA,2,NA,NA
Epipremnum amplissimum,NA,NA,NA,NA,NA,NA,1,5,NA
Eragrostis amabilis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis australasica,NA,NA,NA,NA,NA,NA,2,2,NA
Eragrostis barrelieri,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis basedowii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis brownii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis cilianensis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis concinna,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis confertiflora,NA,NA,NA,NA,NA,NA,1,NA,NA
Eragrostis crateriformis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis cumingii,NA,NA,NA,NA,NA,NA,1,5,NA
Eragrostis D10558 islands,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis desertorum,NA,NA,NA,NA,NA,NA,2,NA,NA
Eragrostis dielsii,NA,NA,NA,NA,NA,NA,8,2,NA
Eragrostis ecarinata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis elongata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis eriopoda,NA,NA,NA,NA,NA,NA,2,2,NA
Eragrostis exigua,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis falcata,NA,NA,NA,NA,NA,NA,2,NA,NA
Eragrostis fallax,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis filicaulis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis hirticaulis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis infecunda,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis kennedyae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis lacunaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis lanicaulis,NA,NA,NA,NA,NA,NA,2,2,NA
Eragrostis laniflora,NA,NA,NA,NA,NA,NA,2,2,NA
Eragrostis lanipes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis leptocarpa,NA,NA,NA,NA,NA,NA,1,5,NA
Eragrostis mexicana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis minor,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis olida,NA,NA,NA,NA,NA,NA,2,2,NA
Eragrostis parviflora,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis pergracilis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis petraea,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis pilosa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis potamophila,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis pubescens,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis rigidiuscula,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis schultzii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis setifolia,NA,NA,NA,NA,NA,NA,2,2,NA
Eragrostis sororia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis spartinoides,NA,NA,NA,NA,NA,NA,1,5,NA
Eragrostis speciosa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis stagnalis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis stenostachya,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis sterilis,NA,NA,NA,NA,NA,NA,1,5,NA
Eragrostis subtilis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis superba,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis tenellula,NA,NA,NA,NA,NA,NA,1,5,NA
Eragrostis tenuifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis uvida,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis xerophila,NA,NA,NA,NA,NA,NA,2,2,NA
Eranthemum pulchellum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eremophea spinosa,NA,NA,NA,NA,NA,NA,1,5,NA
Eremophila alternifolia,NA,NA,NA,NA,NA,NA,1,2,NA
Eremophila battii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eremophila bignoniiflora,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eremophila clarkei,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eremophila cordatisepala,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eremophila dalyana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eremophila eriocalyx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eremophila forrestii subsp. forrestii,NA,NA,NA,NA,NA,NA,2,NA,NA
Eremophila gibsonii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eremophila gilesii var. gilesii,NA,NA,NA,NA,NA,NA,3,2,NA
