find,dataset_id,replace,reason,taxonomic_resolution
Acacia scopulorum Pedley,Nano_2011,Acacia scopulorum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia sericoflora Pedley,Nano_2011,Acacia sericoflora,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia sericophylla F.Muell.,Nano_2011,Acacia sericophylla,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia shirleyi Maiden,Nano_2011,Acacia shirleyi,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia sibirica S.Moore,Nano_2011,Acacia sibirica,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia simsii A.Cunn. ex Benth.,Nano_2011,Acacia simsii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia sp. Bradshaw (B.Wirf 1484) Cowie & M.D.Barrett,Nano_2011,Acacia sp. [Acacia sp. Bradshaw (B.Wirf 1484) Cowie & M.D.Barrett; Nano_2011],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-06-18)",genus
Acacia sp. holey trunk (P.K.Latz 12458),Nano_2011,Acacia sp. Howes Mountain (R.G.Coveny 4108),match_15_fuzzy. Fuzzy match alignment with species-level canonical name in `APC known` when everything except first 2 words ignored (2023-06-18),Species
Acacia spondylophylla F.Muell.,Nano_2011,Acacia spondylophylla,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia stipuligera F.Muell.,Nano_2011,Acacia stipuligera,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia strongylophylla F.Muell.,Nano_2011,Acacia strongylophylla,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia sublanata Benth.,Nano_2011,Acacia sublanata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia subternata F.Muell.,Nano_2011,Acacia subternata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia tetragonophylla F.Muell.,Nano_2011,Acacia tetragonophylla,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
