species,entity_type,individual_code,leaf_replicate,live_or_dead,Species,Sampled,individual,date,location_name,SWC,Po (MPa),YTLP (MPa),RWCTLP ,e (MPa),CFT (MPa-1),CTLP (MPa-1),CFT* (mol m-2 MPa-1),Leaf dry mass(g),Leaf area (cm2),LMA (gm-2),P88 (Mpa),MS (%),MT (%),ML (%),Moisture_content - Flaming,Moisture_content - Non-flaming,Leaf area (cm2) Flaming,Leaf area (cm2) Non-flaming,Time to ignition (s) Flaming ,Time to ignition (s) Non-flaming,Combustion time (s)Flaming,Combustion time (s) Non-flaming,est. dry mass (g),mass after rehy (g),mass when burned (g),leaf water potential (MPa),time to smoke (s),flame (y/n),time to flame (s),flame duration (s),time to ash (s)
Eucalyptus sideroxylon,individual,sid_5,5,,E. sideroxylon,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.146,,155.2511416,,,,,,,,,,,,,,,,,,,,,
Eucalyptus sideroxylon,individual,sid_5,8,,E. sideroxylon,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.145,,155.2941176,,,,,,,,,,,,,,,,,,,,,
Eucalyptus sideroxylon,individual,sid_5,10,,E. sideroxylon,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.146,,157.4233923,,,,,,,,,,,,,,,,,,,,,
Eucalyptus sideroxylon,individual,sid_6,6,,E. sideroxylon,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.381,,149.3684789,,,,,,,,,,,,,,,,,,,,,
Eucalyptus sideroxylon,individual,sid_6,12,,E. sideroxylon,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.378,,141.1597669,,,,,,,,,,,,,,,,,,,,,
Eucalyptus sideroxylon,individual,sid_6,14,,E. sideroxylon,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.324,,144.8775903,,,,,,,,,,,,,,,,,,,,,
Eucalyptus sideroxylon,individual,sid_6,15,,E. sideroxylon,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.289,,153.0666384,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_6,13,,E. crebra,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.094,,182.2765174,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_6,14,,E. crebra,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.103,,180.9875242,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_6,15,,E. crebra,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.09,,176.6437684,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_6,22,,E. crebra,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.222,,191.3776783,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_6,23,,E. crebra,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.252,,192.06458,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_6,24,,E. crebra,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.254,,189.7182993,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_6,25,,E. crebra,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.328,,202.344232,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_6,26,,E. crebra,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.194,,190.5651106,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_7,1,,E. crebra,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.176,,202.0387126,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_7,2,,E. crebra,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.18,,194.0878196,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_7,3,,E. crebra,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.2,,196.3689892,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_7,4,,E. crebra,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.198,,211.2270984,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,individual,cre_7,5,,E. crebra,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.168,,201.6524967,,,,,,,,,,,,,,,,,,,,,
