origrow,sample_date,spp,age,date,spp_type,Rep,ID,Displacement (g),Dry mass (g),Diam1_mm,Diam2_mm,avDiam,WD
157,9/23/2010,XanPar,adult,dry season (Sep 2010),XanPar_A,2,XanPar_A_2,3.03,1.355,7,7.5,7.2,0.45
158,9/23/2010,XanPar,adult,dry season (Sep 2010),XanPar_A,4,XanPar_A_4,2.39,1.101,6.3,6.5,6.4,0.46
64,9/24/2010,XanPar,adult,dry season (Sep 2010),XanPar_A,10,XanPar_A_10,1.35,0.587,4.6,5.4,5,0.43
65,9/24/2010,XanPar,adult,dry season (Sep 2010),XanPar_A,11,XanPar_A_11,1.91,0.881,6,6.3,6.1,0.46
67,9/24/2010,XanPar,adult,dry season (Sep 2010),XanPar_A,12,XanPar_A_12,1.91,0.895,6.2,6.4,6.3,0.47
68,9/24/2010,XanPar,adult,dry season (Sep 2010),XanPar_A,13,XanPar_A_13,2.51,1.289,7.5,7.8,7.6,0.51
66,9/24/2010,XanPar,adult,dry season (Sep 2010),XanPar_A,15,XanPar_A_15,2.03,0.979,6.6,6.9,6.7,0.48
152,9/23/2010,XanPar,sapling,dry season (Sep 2010),XanPar_S,2,XanPar_S_2,2.52,1.093,6.5,6.6,6.5,0.43
153,9/23/2010,XanPar,sapling,dry season (Sep 2010),XanPar_S,3,XanPar_S_3,2.56,1.278,6.8,7.1,6.9,0.5
154,9/23/2010,XanPar,sapling,dry season (Sep 2010),XanPar_S,5,XanPar_S_5,2.98,1.339,6.8,7.1,6.9,0.45
155,9/23/2010,XanPar,sapling,dry season (Sep 2010),XanPar_S,6,XanPar_S_6,3.02,1.254,7.4,7.7,7.5,0.42
61,9/24/2010,XanPar,sapling,dry season (Sep 2010),XanPar_S,10,XanPar_S_10,2.41,1.01,6.6,7.2,6.9,0.42
62,9/24/2010,XanPar,sapling,dry season (Sep 2010),XanPar_S,11,XanPar_S_11,1.07,0.498,4.8,4.9,4.8,0.47
63,9/24/2010,XanPar,sapling,dry season (Sep 2010),XanPar_S,12,XanPar_S_12,1.37,0.71,5.2,5.3,5.2,0.52
