Family,Species,Habitats,Gill category,Primary juvenile period,Secondary juvenile period,Growth form,Site,not_in_Clarke_2015,seed_storage_location,resprouting_capacity,regen_strategy
Polygalaceae,Comesperma ericinum,"DSF, RO",II,2,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Polygalaceae,Comesperma retusum,WH,V,NA,NA,Sub-shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Escalloniaceae,Polyosma cunninghamii,RF,V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Proteaceae,Banksia integrifolia subsp. monticola,"WSF, DSF, GW",I,8,NA,Small tree,"New England Tableland Bioregion, eastern Australia",x,canopy,fire_killed,NA
Proteaceae,Banksia marginata,WH,I,4,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,canopy,fire_killed,NA
Proteaceae,Banksia spinulosa subsp. collina,DSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Proteaceae,Banksia spinulosa subsp. neoanglica,"DSF, WH",V,6,2,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Proteaceae,Conospermum burgessiorium,DSF,II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Proteaceae,Conospermum taxifolium,"DSF, WH",V,NA,4,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Proteaceae,Grevillea acanthifolia subsp. stenomera,WH,V,NA,4,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Proteaceae,Grevillea acerata,DSF,II,4,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Proteaceae,Grevillea beadleana,RO,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Proteaceae,Grevillea floribunda subsp. floribunda,DSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Proteaceae,Grevillea guthrienana,RO,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Proteaceae,Grevillea juniperina subsp. allojohnsonii,"GW, DSF",V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Proteaceae,Grevillea rhizomatosa,"WSF, DSF",IV,NA,5,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,bud-bearing_root
Proteaceae,Grevillea scotechenii subsp. sarmentosa,DSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Proteaceae,Grevillea triternata,"DSF, RO",II,6,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Proteaceae,Grevillea viridiflava,"DSF, WH",V,NA,4,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Proteaceae,Hakea eriantha,"WSF, DSF, GW",V,5,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Proteaceae,Hakea laevipes subsp. graniticola,DSF,V,5,3,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Proteaceae,Hakea macrorrhyncha,RO,I,5,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,canopy,fire_killed,NA
Proteaceae,Hakea microcarpa,WH,V,5,2,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Proteaceae,Hakea salicifolia subsp. salicifolia,WSF,I,5,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,canopy,fire_killed,NA
Proteaceae,Isopogon petiolaris,DSF,V,4,4,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Proteaceae,Lomatia arborescens,WSF,V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Proteaceae,Lomatia fraseri,"DSF, WSF",V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Proteaceae,Lomatia silaifolia,"WSF, DSF, GW",V,NA,1,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Proteaceae,Orites excelsa,"RF, WSF",II,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Proteaceae,Persoonia acuminata,WSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Proteaceae,Persoonia chamaepeuce,DSF,V,4,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Proteaceae,Persoonia conjuncta,WSF,II,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Proteaceae,Persoonia cornifolia,DSF,V,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Proteaceae,Persoonia fastigiata,DSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Proteaceae,Persoonia linearis,WSF,VI,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Proteaceae,Persoonia media,"WSF, RF",II,6,NA,Small tree,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Proteaceae,Persoonia oleoides,"WSF, DSF",V,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Proteaceae,Persoonia procumbens,DSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Proteaceae,Persoonia rufa,"DSF, RO",II,6,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Proteaceae,Persoonia sericea,"DSF, WSF",V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Proteaceae,Persoonia tenuifolia,DSF,V,NA,4,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Proteaceae,Persoonia terminalis subsp. terminalis,RO,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Proteaceae,Petrophile canescens,DSF,V,NA,3,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Proteaceae,Stenocarpus salignus,RF,V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Proteaceae,Telopea aspera,DSF,V,NA,2,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Quintiniaceae,Quintinia seiberi,RF,"V, VI",NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds stem_buds
Ranunculaceae,Clematis aristata,"WSF, RF",V,NA,NA,Vine,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Ranunculaceae,Clematis glycinoides,"WSF, RF",II,NA,NA,Vine,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Rhamnaceae,Cryptandra amara var. floribunda,RO,II,3,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Rhamnaceae,Cryptandra amara var. longfolia,GW,V,NA,3,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Rhamnaceae,Pomaderiris (long Point small leaf),"GW, DSF",II,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Rhamnaceae,Pomaderris andromedifolia,RO,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Rhamnaceae,Pomaderris angustifolia,DSF,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Rhamnaceae,Pomaderris betulina,DSF,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Rhamnaceae,Pomaderris eriocephala,GW,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Rhamnaceae,Pomaderris lanigera,"DSF, WSF",II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Rhamnaceae,Pomaderris nitidula,"WSF, RF",II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Rhamnaceae,Pomaderris prunifolia,GW,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Rhamnaceae,Spyridium scortechinii,"RO, DSF",II,4,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Ripogoneaceae,Ripogonum discolor,RF,VI,NA,NA,Vine,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,stem_buds
Rosaceae,Rubus moluccanus,"RF, WSF",VI,NA,NA,Vine,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,stem_buds
Rosaceae,Rubus mooreii,RF,VI,NA,NA,Vine,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,stem_buds
Rosaceae,Rubus parvifolius,"WSF, DSF",V,NA,NA,Twinner,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Rubiacae,Psychotria loniceroides,"WSF, RF",V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Rubiaceae,Coprosma hirtella,WSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Rubiaceae,Coprosma quadrifida,WSF,V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Rutaceae,Acronychia oblongifolia,RF,V,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Rutaceae,Asterolasia asteroscophora subsp. asteroscophora,DSF,II,4,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Rutaceae,Asterolasia correifolia,WSF,II,4,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Rutaceae,Boronia algida,DSF,V,NA,2,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Rutaceae,Boronia anemonifolia subsp. variablis,RO,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Rutaceae,Boronia anethifolia,RO,II,3,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Rutaceae,Boronia angustisepala,"RO, DSF",II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Rutaceae,Boronia bolivensis,RO,II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Rutaceae,Boronia granitica,RO,II,6,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Rutaceae,Boronia ledifolia,DSF,V,NA,2,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Rutaceae,Boronia microphylla,"DSF, WH",V,NA,2,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Rutaceae,Boronia polygalifolia,"WH, DSF, GW",V,NA,1,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Rutaceae,Correa lawrenciana var. glandulifera,WSF,II,5,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Rutaceae,Correa reflexa (resprouter green flowered),GW,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Rutaceae,Correa reflexa (obligate seeder red flowered),DSF,II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Rutaceae,Crowea exaltata subsp. magnifolia,"DSF, RO",II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Rutaceae,Eriostemon australasius subsp. australasius,RO,II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Rutaceae,Leionema ambiens,RO,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Rutaceae,Leionema dentatum,RO,II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Rutaceae,Leionema rotundifolium,RO,II,8,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Rutaceae,Leionema rotundifolium,"RO, DSF",V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Rutaceae,Medicosma cunninghamii,"RF, WSF",V,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Rutaceae,Melicope hayesii,"RF, WSF",V,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Rutaceae,Melicope micrococca,"RF, WSF",V,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Rutaceae,Phebalium glandulosum subsp. eglandulosum,RO,II,8,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Rutaceae,Phebalium squamulosum subsp. squamulosum,"RO, DSF",II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Rutaceae,Phebalium sp. Mt Ballow,WSF,II,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Rutaceae,Phebalium woombye,RO,II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Rutaceae,Philotheca epilosa,RO,II,7,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Rutaceae,Zieria arborescens,WSF,II,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Rutaceae,Zieria aspalathoides,"RO, DSF",II,4,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Rutaceae,Zieria cytisoides,"RO, DSF",V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Rutaceae,Zieria laevigata,RO,II,3,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Rutaceae,Zieria odorifera,RO,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Rutaceae,Zieria smithii subsp. smithii,WSF,II,5,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Santalaceae,Choretrum candollei,DSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Santalaceae,Choretrum pauciflorum,RO,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Santalaceae,Exocarpos cupressiformis,"GW, WSF",V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Santalaceae,Exocarpos strictus,DSF,V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Santalaceae,Leptomeria acida,DSF,II,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Sapindaceae,Dodonaea boroniifolia,"DSF, RO",II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Sapindaceae,Dodonaea hirsuta,RO,II,6,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Sapindaceae,Dodonaea megazyga,WSF,II,5,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Sapindaceae,Dodonaea triquetra,"GW, DSF, WSF",V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Sapindaceae,Dodonaea viscosa subsp. Black Fruits,"DSF, GW",V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Sapindaceae,Dodonaea viscosa subsp. spatulata,"DSF, RO",II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Scrophulariaceae,Myoporum betcheanum,RF,II,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Smilacaceae,Smilax australis,"WSF, RF",V,NA,NA,Vine,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Smilacaceae,Smilax glyciphylla,"DSF, WSF",V,NA,NA,Twinner,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Solanaceae,Duboisia myoporoides,RF,V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Solanaceae,Solanum aviculare,"WSF, RF",II,1,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Solanaceae,Solanum curvicuspe,"WSF, RF",V,NA,2,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Solanaceae,Solanum densevestitum,WSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Solanaceae,Solanum nobile,"WSF, RF",II,3,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Solanaceae,Solanum prinophylllum,"WSF, RF",II,3,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Thymelaeaceae,Pimelea curviflora var. divergens,GW,V,NA,1,Sub-shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Thymelaeaceae,Pimelea ligustrina subsp. hypericina,WSF,II,5,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Thymelaeaceae,Pimelea linifolia subsp. collina,"DSF, RO, WH",II,3,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Thymelaeaceae,Pimelea linifolia subsp. linifolia,"DSF, GW",V,NA,3,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Thymelaeaceae,Pimelea neo-anglica,"DSF, GW",V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Thymelaeaceae,Pimelea sp. 'Long Point',GW,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Trimeniaceae,Trimenia moorei,RF,VI,NA,NA,Vine,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Urticaceae,Dendrocnide excelsa,RF,II,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Vitaceae,Cissus hypoglauca,RF,VI,NA,NA,Vine,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,stem_buds
Vitaceae,Tetrastigma nitens,RF,IV,NA,NA,Vine,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,bud-bearing_root
Winteraceae,Tasmannia insipida,"WSF, RF",V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Winteraceae,Tasmannia stipitata,"WSF, RF",IV,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,bud-bearing_root
Xanthorrhoeaceae,Xanthorrhoea sp. Gibraltar Range,WSF,VII,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,apical_buds
Xanthorrhoeaceae,Xanthorrhoea glauca subsp. angustifolia,DSF,VII,NA,2,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,apical_buds
Xanthorrhoeaceae,Xanthorrhoea johnsonii,DSF,VII,NA,2,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,apical_buds
Zamiaceae,Macrozamia plurinervia,DSF,VII,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,apical_buds
