dataset_id.x,species_name,site_name.x,observation_id.x,trait_name.x,value.x,unit.x,value_type,replicates.x,original_name.x,dataset_id.y,site_name.y,observation_id.y,trait_name.y,value.y,unit.y,replicates.y,original_name.y
Kooyman_2011,Acrotriche aggregata,NA,Kooyman_2011_0263,plant_height,3,m,expert_max,NA,Acrotriche aggregata,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Acrotriche baileyana,NA,Kooyman_2011_0264,plant_height,4,m,expert_max,NA,Acrotriche baileyana,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Paphia meiniana,NA,Kooyman_2011_0265,plant_height,4,m,expert_max,NA,Paphia meiniana,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Archeria eriocarpa,NA,Kooyman_2011_0266,plant_height,4,m,expert_max,NA,Archeria eriocarpa,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Dracophyllum milligani,NA,Kooyman_2011_0267,plant_height,4,m,expert_max,NA,Dracophyllum milliganii,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Epacris mucronulata,NA,Kooyman_2011_0268,plant_height,2,m,expert_max,NA,Epacris mucronulata,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Gaultheria appressa,NA,Kooyman_2011_0269,plant_height,2,m,expert_max,NA,Gaultheria appressa,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Gaultheria viridicarpa,NA,Kooyman_2011_0270,plant_height,1,m,expert_max,NA,Gaultheria viridicarpa,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Leucopogon lamingtonensis,NA,Kooyman_2011_0271,plant_height,6,m,expert_max,NA,Leucopogon lamingtonensis,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Leucopogon lavarackii,NA,Kooyman_2011_0272,plant_height,3,m,expert_max,NA,Leucopogon lavarackii,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Acrothamnus maccraei,NA,Kooyman_2011_0273,plant_height,2,m,expert_max,NA,Leucopogon maccraei,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Leucopogon malayanus subsp. novoguineensis,NA,Kooyman_2011_0274,plant_height,15,m,expert_max,NA,Leucopogon malayanus-novoguineensis,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Leucopogon ruscifolius,NA,Kooyman_2011_0275,plant_height,5,m,expert_max,NA,Leucopogon ruscifolius,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Acrothamnus spathaceus,NA,Kooyman_2011_0276,plant_height,10,m,expert_max,NA,Acrothamnus spathaceus,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Leucopogon yorkensis,NA,Kooyman_2011_0277,plant_height,10,m,expert_max,NA,Leucopogon yorkensis,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Rhododendron lochae,NA,Kooyman_2011_0278,plant_height,6,m,expert_max,NA,Rhododendron lochiae,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Rhododendron viriosum,NA,Kooyman_2011_0279,plant_height,3,m,expert_max,NA,Rhododendron viriosum,NA,NA,NA,NA,NA,NA,NA,NA
