Region,Site,Species,rep,Code,Origin,Family,Life form,Raunkiaer life form,Longevity,Legume,Root type,Rt tp cat,Root depth (cm),Nut acq strat,Seed mass (g),Soil,Rep,LMA (g/m2),SRL (cm/mg),Height (mm),Aarea,Amass,WUE,Nmass,Narea,PNUE,Pmass,Parea,PPUE
NA,Banksia woodland,Mesomelaena pseudostygia,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,482.27,NA,790,12.36045691,25.62974456,2.491166078,0.73,3.520571,49.15293478,0.020485474,98.79529695,3.878465636
NA,Banksia woodland,Mesomelaena pseudostygia,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,528.57,NA,800,11.92881521,22.56808977,2.572533849,0.81,4.281417,39.00657492,0.019486739,103.0010586,3.590189039
NA,Banksia woodland,Mesomelaena pseudostygia,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,567.23,NA,700,10.14781085,17.89011662,1.898066784,0.78,4.424394,32.11046573,0.023171164,131.4337949,2.393464608
NA,Banksia woodland,Mesomelaena pseudostygia,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,619.86,NA,750,10.82901824,17.47010331,3.048780488,0.75,4.64895,32.61085951,0.022423765,138.9959524,2.415175114
NA,Banksia woodland,Patersonia occidentalis,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,310.92,3.62,570,13.45083156,43.2613906,3.636363636,0.87,2.705004,69.61603085,0.041496867,129.0220595,3.231817724
NA,Banksia woodland,Patersonia occidentalis,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,273.54,4.7,400,9.550995515,34.91626642,4.725738397,1.32,3.610728,37.03240377,0.035817404,97.97492637,3.022006466
NA,Banksia woodland,Patersonia occidentalis,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,249.33,NA,410,14.50620497,58.18074427,4.462365591,1.26,3.141558,64.64527141,0.028243576,70.41970829,6.385887771
NA,Banksia woodland,Patersonia occidentalis,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,262.24,8.61,470,9.15017546,34.89237134,4.065934066,0.99,2.596176,49.34274735,0.035765826,93.79230185,3.024293398
NA,Banksia woodland,Patersonia occidentalis,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,257.98,6.33,290,10.06400982,39.01081411,4.904214559,1.27,3.276346,43.00404705,0.045372584,117.052192,2.665343547
NA,Banksia woodland,Pelargonium capitatum,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,63.76,4.62,300,25.04510665,392.8028019,2.98630137,1.94,1.236944,283.4659395,0.099001406,63.12329641,12.29971105
