"","plot","species","fresh","dry","count","area","sla","lma","ldmc","N_mature","P_mature","K_mature","C_mature","d15N","d13C","Ca_mature","Cu_mature","Fe_mature","Mg_mature","Mn_mature","Mo_mature","Na_mature","S_mature","Zn_mature","N_senesced","P_senesced","K_senesced","family","genus","growthform","strategy"
"52","Q.M.30","Rhagodia baccata",0.8842,0.1585,10,1273.937262,8.037459068,124.4174299,179.2580864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chenopodiaceae","Rhagodia","shrub","AM"
"53","Q.M.30","Santalum acuminatum (Quandong)",2.6386,0.673,5,2117.712674,3.146675593,317.7957087,255.0595013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Santalaceae","Santalum","shrub","AM, Hemiparasite"
"54","Q.M.30","Santalum acuminatum (Quandong)",3.5763,0.8958,5,2146.740178,2.396450299,417.283847,250.4823421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Santalaceae","Santalum","shrub","AM, Hemiparasite"
"55","Q.M.30","Scaevola thesioides subsp. thesioides",0.429,0.046,5,513.7787143,11.16910249,89.53270877,107.2261072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Goodeniaceae","Scaevola","perennial herb","AM"
"56","Q.M.30","Scaevola thesioides subsp. thesioides",1.4998,0.1888,5,1896.354315,10.04424955,99.55945391,125.8834511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Goodeniaceae","Scaevola","perennial herb","AM"
"57","Q.M.30","Senecio pinnatifolius var. latilobus",0.336,0.0134,5,391.2327524,29.19647406,34.25071116,39.88095238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asteraceae","Senecio","perennial herb","AM"
"58","Q.M.31","Acacia lasiocarpa",0.1884,0.089,20,656.0774289,7.371656504,135.6547201,472.3991507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fabaceae","Acacia","shrub","AM, Nitrogen fixer"
"59","Q.M.31","Acacia rostellifera (Summer-scented Wattle)",2.1524,0.9326,10,3963.489062,4.249934658,235.2977352,433.2837762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fabaceae","Acacia","tree","AM, Ectomycorrhizal, Nitrogen fixer"
"60","Q.M.31","Acanthocarpus preissii",0.0993,0.0439,20,407.4748252,9.281886678,107.7367172,442.0946626,16584.56864,2057.1707952381,5403.36267619048,46.94328999,-1.897306873,-27.0072704,21982.7079809524,1.95839038809524,150.132619660476,4679.6420047619,4.19004432571429,0.580678479523809,4884.41476190476,2437.43953333333,3.21992831761905,14765.9468,1256.5855952381,986.909976190476,"Asparagaceae","Acanthocarpus","perennial herb","AM"
"61","Q.M.31","Conostylis candicans subsp. calcicola",0.975,0.1855,20,2540.773909,13.69689439,73.00925098,190.2564103,14804.33958,579.199595238095,6584.86447619048,44.98615816,0.616058557,-28.29987782,17871.4802809524,0.863952088095238,103.889711360476,2777.2558047619,30.5789419357143,0.11977403952381,4901.19916190476,1519.37793333333,3.47862595761905,14663.9425,246.511495238095,790.094276190476,"Haemodoraceae","Conostylis","sedge","Sand-binding"
"62","Q.M.31","Lepidosperma squamatum",4.031,2.0809,10,9145.445205,4.394946997,227.5340296,516.224262,10425.21891,942.349595238095,4508.19427619048,46.238529,1.221413951,-28.37220166,4209.14498095238,0.737209948095238,32.2859715604762,1844.4928047619,20.6470786857143,0.17817319952381,4096.39766190476,1186.51643333333,2.90357770761905,8475.023,232.560695238095,342.282276190476,"Cyperaceae","Lepidosperma","sedge","Dauciform"
"63","Q.M.31","Melaleuca aff. systena",0.1416,0.0603,50,302.3453656,5.01401933,199.4407947,425.8474576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Q.M.32","Acacia lasiocarpa",0.115,0.0459,20,387.2702911,8.437261245,118.5218723,399.1304348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fabaceae","Acacia","shrub","AM, Nitrogen fixer"
"65","Q.M.32","Acacia rostellifera (Summer-scented Wattle)",2.0781,0.7767,10,2917.796561,3.756658376,266.1940214,373.7548722,17628.78438,885.878495238095,5243.48697619048,45.26736779,-0.847204172,-27.86716861,51795.7641809524,0.494503668095238,47.5357328504762,4413.1870047619,7.93555166571429,0.740466999523809,1334.41826190476,17261.9773333333,2.65273526761905,17426.3926,422.464395238095,1815.79487619048,"Fabaceae","Acacia","tree","AM, Ectomycorrhizal, Nitrogen fixer"
"66","Q.M.32","Acanthocarpus preissii",0.1565,0.0722,20,662.1174745,9.17060214,109.0440938,461.341853,17975.00515,1745.4650952381,8549.27507619048,45.36180589,-3.739301602,-27.34854276,26207.8042809524,1.26350078809524,130.224166110476,2967.87250476191,10.8436406957143,0.608383919523809,572.214961904762,2358.39583333333,3.91286220761905,16730.944,1487.9597952381,1202.71697619048,"Asparagaceae","Acanthocarpus","perennial herb","AM"
