species_name,maximum height,maximum leaf length,maximum leaf width,maximum seed length,minimum height,minimum leaf length,minimum leaf width,minimum seed length
Poa physoclina,0.4,200,0.4,NA,0.15,100,0.2,NA
Poa poiformis,0.9,900,2,1.8,0.06,200,0.4,NA
Poa poiformis var. poiformis,0.9,900,2,1.8,0.06,200,0.4,NA
Poa poiformis var. ramifer,0.9,900,2,1.8,0.06,200,0.4,NA
Poa porphyroclados,1.2,470,3.8,NA,0.4,80,0.3,NA
Poa rodwayi,0.75,195,0.75,NA,0.25,45,0.3,NA
Poa sallacustris,0.31,120,2,NA,0.15,60,0.5,NA
Poa sieberiana,0.8,600,0.7,1.5,0.09,25,0.2,NA
Poa sieberiana var. cyanophylla,0.8,600,0.7,1.5,0.09,25,0.2,NA
Poa sieberiana var. hirtella,0.8,600,0.7,1.5,0.09,25,0.2,NA
Poa sieberiana var. sieberiana,0.8,600,0.7,1.5,0.09,25,0.2,NA
Poa tenera,0.3,170,1.5,NA,0.1,115,0.3,NA
Poa umbricola,0.5,150,2,NA,0.2,20,1,NA
Pogonatherum crinitum,0.5,70,3,NA,0.1,10,1,NA
Polypogon tenellus,0.5,150,4,NA,0.1,30,0.5,NA
Potamophila parviflora,1.5,500,6,NA,0.3,200,4,NA
Psammagrostis wiseana,0.35,50,2.5,1,0.04,3,1,1
Pseudopogonatherum contortum,1.1,300,5,NA,0.2,100,1.5,NA
Pseudopogonatherum irritans,1.5,500,3,2,0.5,150,1,2
Pseudoraphis jagonis,0.4,60,1.5,NA,0.15,10,0.5,NA
Pseudoraphis minuta,0.35,40,4,NA,0.3,25,3,NA
Pseudoraphis minuta var. laevis,0.35,40,4,NA,0.3,25,3,NA
Pseudoraphis minuta var. minuta,0.35,40,4,NA,0.3,25,3,NA
Pseudoraphis paradoxa,0.5,80,6,2,0.2,10,2,2
Pseudoraphis spinescens,0.5,120,4,NA,0.1,30,4,NA
Puccinellia decumbens,0.13,20,0.7,NA,0.07,10,0.2,NA
Puccinellia harcusiana,0.3,120,1.3,NA,0.24,80,1,NA
Puccinellia perlaxa,0.5,300,1,NA,0.25,150,1,NA
Puccinellia stricta,0.78,220,4.3,NA,0.09,30,0.5,NA
Rytidosperma acerosum,0.7,150,2,1.7,0.4,50,1,1.5
Rytidosperma alpicola,0.3,100,4,2.2,0.08,50,2,1.7
Rytidosperma auriculatum,0.7,100,2,2,0.13,20,2,1.5
Rytidosperma australe,0.45,150,1,1,0.1,50,0.5,0.7
Rytidosperma bipartitum,0.8,300,2.5,1.7,0.15,200,1,1.4
Rytidosperma caespitosum,0.9,350,2,2,0.13,150,1,1.2
Rytidosperma carphoides,0.5,200,1,2,0.1,30,1,1.7
Rytidosperma clelandii,0.75,300,2,2.4,0.4,150,0.75,1.5
Rytidosperma diemenicum,0.53,250,3,1.6,0.6,120,2,1.4
Rytidosperma dimidiatum,0.4,120,1.5,1.6,0.15,20,1,1.5
Rytidosperma duttonianum,1.1,200,3.5,2.2,0.4,100,2,1.6
Rytidosperma erianthum,0.7,250,2,2,0.19,100,1,1.6
Rytidosperma fortunae-hibernae,0.38,150,2,1.5,0.2,60,1,1.3
Rytidosperma fulvum,1.15,NA,NA,2,0.3,NA,NA,1.8
Rytidosperma geniculatum,0.45,200,1,1.4,0.08,70,1,1.2
Rytidosperma gracile,0.6,250,4,1.8,0.25,100,2,0.9
Rytidosperma indutum,1.2,300,4,NA,0.75,150,1.5,NA
Rytidosperma laeve,0.6,200,1.5,2.2,0.2,100,1,1.8
Rytidosperma lepidopodum,0.7,150,2,NA,0.25,70,1,NA
Rytidosperma longifolium,0.75,350,2,1.3,0.3,150,1,1.1
Rytidosperma monticola,0.45,150,2,1.4,0.05,70,1,1.2
Rytidosperma nitens,0.25,90,1.5,1.5,0.12,40,1,1.1
Rytidosperma nivicola,0.2,100,1,1.4,0.1,50,0.5,1.2
Rytidosperma nudiflorum,0.3,100,1,2,0.1,20,1,1.8
Rytidosperma occidentale,0.7,300,3,2.1,0.25,50,2,1.7
Rytidosperma oreophilum,0.45,NA,NA,2.1,0.15,NA,NA,1.8
Rytidosperma pallidum,1.6,400,3,2.5,0.32,200,2,2.2
Rytidosperma pauciflorum,0.15,70,1,1,0.05,20,0.5,1
Rytidosperma penicillatum,0.75,150,2,2.5,0.12,70,1,1.8
Rytidosperma pilosum,0.7,120,2,1.8,0.14,60,1,1.6
Rytidosperma popinensis,0.45,150,2,2,0.2,70,1,2
Rytidosperma pumilum,0.2,50,0.5,NA,0.04,10,0.5,NA
Rytidosperma racemosum,0.6,150,2,2.5,0.16,50,1,1.6
Rytidosperma racemosum var. obtusatum,0.6,150,2,2.5,0.16,50,1,1.6
Rytidosperma remotum,0.2,40,1,1.6,0.06,20,1,1.6
Rytidosperma richardsonii,0.7,300,2.5,2.1,0.3,200,1,2
Rytidosperma semiannulare,0.45,150,2,1.8,0.2,70,1,1.2
Rytidosperma setaceum,0.6,200,1,1.7,0.15,50,1,1.1
Rytidosperma tenuius,0.9,200,3,2.4,0.23,100,1,1.8
Rytidosperma vickeryae,0.25,600,3,1.5,0.1,300,2,1.2
Sacciolepis indica,1,250,7,NA,0.1,20,1,NA
Sacciolepis myosuroides,0.9,300,4.5,NA,0.15,30,1.2,NA
Saxipoa saxicola,1.05,250,5,2.5,0.13,40,2,2
Schizachyrium crinizonatum,0.4,55,1.5,3.4,0.2,20,0.9,2.5
Schizachyrium dolosum,1,60,1.5,2.5,0.5,20,0.8,2.3
Schizachyrium fragile,0.75,100,3,4,0.1,20,1,2.1
Schizachyrium mitchelliana,1,100,3,NA,0.5,15,0.8,NA
Schizachyrium occultum,0.3,35,2,3,0.1,15,0.6,2.6
Schizachyrium pachyarthron,1,100,3,3.5,0.5,15,0.8,2.3
Schizachyrium perplexum,0.2,27,1.5,2.2,0.1,17,1,1.6
Schizachyrium pseudeulalia,0.9,90,5.5,3,0.4,8,0.8,2
Scrotochloa tararaensis,0.45,400,8,NA,0.4,100,4,NA
Scrotochloa urceolata,0.5,250,60,NA,0.2,150,40,NA
Sehima nervosum,1,400,7,NA,0.3,50,2,NA
Setaria apiculata,0.8,240,6,1.5,0.25,80,2,NA
Setaria australiensis,2.1,350,23,2.25,0.6,100,5,NA
Setaria dielsii,0.8,280,11,NA,0.4,50,3.5,NA
Setaria oplismenoides,1.3,320,10.5,NA,0.6,100,4,NA
Setaria paspalidioides,1,300,9,1.75,0.3,45,4,NA
Setaria queenslandica,0.45,150,4,NA,0.3,70,2,NA
Setaria surgens,0.6,200,5,1.5,0.2,35,1,NA
Sorghum amplum,NA,180,18,NA,NA,100,10,NA
Sorghum angustum,1,460,5.6,NA,0.5,80,2,NA
Sorghum brachypodum,2.5,NA,8,NA,1,NA,4,NA
Sorghum bulbosum,NA,NA,5.3,NA,NA,NA,3,NA
Sorghum ecarinatum,NA,NA,9,NA,NA,NA,5,NA
Sorghum exstans,3,NA,12,NA,1.3,NA,6,NA
Sorghum grande,3,NA,16,NA,1.8,NA,8,NA
Sorghum interjectum,2.5,NA,14,NA,1.3,NA,7,NA
Sorghum intrans,3.6,NA,15,NA,1,NA,10,NA
Sorghum laxiflorum,2,NA,16,NA,1,NA,3,NA
Sorghum leiocladum,1.5,700,3.5,NA,0.6,100,1.5,NA
Sorghum macrospermum,3.8,600,30,NA,1.8,300,15,NA
Sorghum matarankense,2,NA,70,NA,1,NA,5,NA
Sorghum nitidum,2,600,15,2.3,1,300,4,NA
Sorghum plumosum,3,300,12,NA,1,150,4,NA
Sorghum propinquum,3,1000,50,NA,2,300,10,NA
Sorghum stipoideum,3,NA,70,NA,1,NA,5,NA
Sorghum timorense,3,600,10,NA,0.3,300,5,NA
Spartochloa scirpoidea,0.7,30,1,1.51,0.5,5,0.5,NA
Spathia neurosa,0.8,150,6,2.8,0.1,45,1,1.5
Spinifex hirsutus,0.9,400,17,NA,0.3,200,5,NA
Spinifex longifolius,0.8,350,4,NA,0.3,150,1.5,NA
Sporobolus actinocladus,0.8,200,6,NA,0.15,15,3,NA
Sporobolus australasicus,0.4,60,8,0.8,0.2,30,4,0.75
Sporobolus blakei,0.8,300,3,0.9,0.4,150,2,NA
Sporobolus caroli,0.75,200,5,0.7,0.2,30,3,0.5
Sporobolus contiguus,0.7,170,4,0.9,0.3,30,2,0.65
Sporobolus creber,1.4,450,3,0.85,0.14,70,2,0.5
Sporobolus disjunctus,0.8,250,8,0.9,0.4,100,4,0.7
Sporobolus elongatus,1,500,3,1,0.5,40,1,0.5
Sporobolus latzii,0.95,160,5,NA,0.45,80,3,NA
Sporobolus laxus,1.5,500,3,1,0.6,10,0.8,1
Sporobolus lenticularis,0.6,170,4,1.5,0.2,50,2,NA
Sporobolus mitchellii,0.7,60,3,1,0.22,10,2,0.8
Sporobolus pamelae,1.2,350,1.5,1.8,0.8,140,1,1.3
Sporobolus partimpatens,0.6,120,4,1.1,0.3,15,4,NA
Sporobolus pulchellus,0.4,100,2.5,0.8,0.04,10,0.5,0.6
Sporobolus scabridus,0.6,140,6,0.7,0.2,60,2,0.55
Sporobolus sessilis,1,250,4,1,0.3,70,0.5,0.8
Sporobolus virginicus,0.5,130,4,0.9,0.1,20,1,0.7
Stenotaphrum micranthum,0.3,120,15,NA,0.09,30,4,NA
Sylvipoa queenslandica,1.5,400,17,1.8,0.4,160,4,NA
Symplectrodia gracilis,1.05,150,2,4.5,0.25,70,1,4
Symplectrodia lanosa,3,900,2,4,0.6,600,1,NA
Tetrarrhena acuminata,0.6,120,4,NA,0.06,10,1,NA
Tetrarrhena distichophylla,0.4,45,4,NA,0.1,10,1,NA
Tetrarrhena juncea,4,130,7,NA,0.5,10,1,NA
Tetrarrhena laevis,0.7,200,8,NA,0.25,60,2,NA
Tetrarrhena oreophila,0.3,80,1.7,NA,0.05,10,0.5,NA
Tetrarrhena oreophila var. minor,0.3,80,1.7,NA,0.05,10,0.5,NA
Tetrarrhena oreophila var. oreophila,0.3,80,1.7,NA,0.05,10,0.5,NA
Tetrarrhena turfosa,0.6,70,0.8,NA,0.06,20,0.3,NA
Thaumastochloa brassii,0.35,30,3,NA,0.07,10,3,NA
Thaumastochloa major,0.35,120,5.5,NA,0.15,20,1.5,2.3
Thaumastochloa monilifera,0.7,110,5,NA,0.35,40,2,NA
Thaumastochloa pubescens,0.3,90,4,NA,0.12,20,1.5,NA
Thaumastochloa rariflora,0.6,100,4,NA,0.1,20,2,NA
Thaumastochloa rubra,0.45,50,2,NA,0.2,15,1,NA
Thaumastochloa striata,0.25,60,3.5,NA,0.15,20,1.5,NA
Thelepogon australiensis,1.4,120,10,NA,0.7,50,6,NA
Thellungia advena,1.5,300,5,NA,0.6,100,2,NA
Themeda arguens,3,300,7,NA,0.2,50,4,NA
Themeda avenacea,2,1000,1.5,NA,1,150,1,NA
Themeda intermedia,5,1000,15,NA,3,400,4,NA
Themeda triandra,2,300,8,NA,0.3,100,1,NA
Thinopyrum distichum,0.6,400,7,10,0.4,200,5,10
Thuarea involuta,0.25,70,10,NA,0.025,15,3,NA
Thyridolepis mitchelliana,0.6,60,5,NA,0.2,10,3,NA
Thyridolepis multiculmis,0.7,100,5,NA,0.15,20,2.5,NA
Thyridolepis xerophila,0.7,90,4,NA,0.15,15,1,NA
Tragus australianus,0.43,60,6,2.1,0.2,20,2.5,1.2
Triodia acutispicula,0.7,400,1,2,0.5,200,0.7,2
Triodia aeria,0.5,70,0.7,NA,0.1,20,0.7,NA
Triodia angusta,2,200,1.8,NA,0.5,80,1.2,NA
Triodia aristiglumis,0.6,250,3,NA,NA,100,2,NA
Triodia aurita,NA,250,1.2,NA,NA,120,1.2,NA
Triodia basedowii,1.3,250,0.7,NA,0.15,50,0.7,NA
Triodia biflora,0.6,300,1.2,NA,0.3,250,0.5,NA
Triodia bitextura,2,450,0.7,NA,0.5,100,0.5,NA
Triodia brizoides,1.5,200,1,NA,0.3,30,0.6,NA
Triodia bromoides,1.5,230,2,NA,0.5,150,0.8,NA
Triodia bunglensis,1.5,300,0.8,2,NA,120,0.8,1.6
Triodia bunicola,1,300,1,NA,0.3,110,0.7,NA
Triodia burbidgeana,1.5,600,1.3,NA,0.6,300,1.3,NA
Triodia bynoei,1.65,450,NA,NA,0.3,300,NA,NA
Triodia claytonii,1,400,2,NA,0.4,100,0.5,NA
Triodia compacta,1.2,130,1.3,3,0.3,35,0.8,3
Triodia concinna,0.8,70,3,NA,0.4,20,0.7,NA
Triodia contorta,1.05,150,3,NA,0.15,50,0.8,NA
Triodia cunninghamii,1.3,NA,NA,NA,1,NA,NA,NA
Triodia danthonioides,2,600,2,NA,0.6,250,1.3,NA
Triodia desertorum,1,100,2,NA,0.4,20,2,NA
Triodia dielsii,2.5,500,2,NA,0.6,150,1,NA
Triodia epactia,2,350,2,NA,0.6,150,0.7,NA
Triodia fissura,0.7,70,1.5,NA,0.5,45,1,NA
Triodia fitzgeraldii,0.6,200,1.3,NA,NA,90,0.9,NA
Triodia helmsii,1.3,230,2,NA,0.5,65,1,NA
Triodia hubbardii,1.6,450,3,NA,0.45,150,1,NA
Triodia inaequiloba,1.3,240,1.7,NA,0.5,40,1,NA
Triodia integra,NA,150,2,NA,NA,90,1,NA
Triodia intermedia,1.6,120,1,NA,0.22,70,0.7,NA
Triodia inutilis,1.3,210,2,NA,0.3,50,0.7,NA
Triodia irritans,1,250,2,NA,0.3,50,0.5,NA
Triodia lanata,0.7,160,2,NA,0.5,50,0.6,NA
Triodia lanigera,1,210,1,NA,0.3,90,0.8,NA
Triodia latzii,1.3,400,3.3,NA,0.4,300,1.3,NA
Triodia longiceps,2.5,250,1.3,NA,0.6,100,0.9,NA
Triodia longiloba,2,450,1.5,NA,0.4,210,0.8,NA
Triodia longipalea,2.5,540,2,NA,1,250,1,NA
Triodia marginata,1.5,250,2.5,NA,1,NA,NA,NA
Triodia melvillei,2,340,2,NA,1,150,0.8,NA
Triodia microstachya,2.5,0.6,1.3,NA,0.3,NA,0.5,NA
Triodia mitchellii,2,600,3.5,NA,0.5,300,0.7,NA
Triodia molesta,1.8,280,1.5,NA,0.15,90,0.8,NA
Triodia pascoeana,3,300,1.5,NA,1,60,0.8,NA
Triodia plectrachnoides,3,500,1.3,NA,0.3,260,0.7,NA
Triodia plurinervata,1.5,75,0.7,NA,0.1,40,0.5,NA
Triodia procera,2,1000,7,NA,1.5,350,4,NA
Triodia prona,1.3,300,0.7,NA,0.6,150,0.6,NA
Triodia pungens,2.3,340,1.2,NA,0.15,NA,0.8,NA
Triodia racemigera,1.3,550,1.3,NA,0.3,NA,1,NA
Triodia radonensis,2.5,600,5,NA,1.5,300,2,NA
Triodia rigidissima,0.7,80,2,NA,0.2,20,2,NA
Triodia roscida,3,150,NA,NA,0.6,NA,NA,NA
Triodia salina,1.6,270,1.2,2,0.3,90,0.8,2
Triodia scariosa,1,270,2,NA,0.3,40,0.7,NA
Triodia schinzii,2.1,250,2,NA,0.1,90,0.8,NA
Triodia secunda,0.9,125,1,NA,0.2,60,1,NA
Triodia spicata,1,100,2,NA,0.15,50,0.6,NA
Triodia stenostachya,2,400,1.3,NA,0.3,NA,0.6,NA
Triodia tomentosa,0.9,280,1,2.5,0.45,80,0.7,2.5
Triodia triaristata,1,450,1.2,NA,0.3,200,0.8,NA
Triodia triticoides,2,400,NA,NA,0.45,50,NA,NA
Triodia uniaristata,1.2,400,2,NA,0.3,200,1,NA
Triodia vella,1,200,0.8,NA,0.3,160,0.8,NA
Triodia wiseana,1.2,300,1.3,NA,0.3,45,0.8,NA
Tripogon loliiformis,0.55,75,1.3,NA,0.035,10,0.5,NA
Triraphis mollis,0.6,500,4,2.2,0.1,50,1,1
Trisetum spicatum,0.65,150,5,NA,0.08,40,1,NA
Trisetum spicatum subsp. australiense,0.65,150,5,NA,0.08,40,1,NA
Uranthoecium truncatum,0.45,150,5,NA,0.15,40,2,NA
Urochloa argentea,0.4,40,4.5,NA,0.2,10,1.5,NA
Urochloa atrisola,0.6,150,10,NA,0.1,30,4,NA
Urochloa distachya,0.2,120,9,NA,0.05,18,3,NA
Urochloa foliosa,0.9,190,22,NA,0.25,40,4,NA
Urochloa gilesii,0.4,100,13,NA,0.15,20,3,NA
Urochloa gilesii var. gilesii,0.4,100,13,NA,0.15,20,3,NA
Urochloa gilesii var. nothochthona,0.4,100,13,NA,0.15,20,3,NA
Urochloa holosericea,0.7,80,7,1.5,0.15,10,2,1.25
Urochloa holosericea subsp. holosericea,0.7,80,7,1.5,0.15,10,2,1.25
Urochloa holosericea subsp. velutina,0.7,80,7,1.5,0.15,10,2,1.25
Urochloa kurzii,0.6,80,18,NA,0.15,20,2,NA
Urochloa occidentalis,0.3,55,9,1.5,0.1,15,4,1.5
Urochloa occidentalis var. ciliata,0.3,55,9,1.5,0.1,15,4,1.5
Urochloa piligera,0.6,15,11,NA,0.15,40,3,NA
Urochloa polyphylla,0.6,80,7,NA,0.15,20,3,NA
Urochloa praetervisa,0.6,1700,13,NA,0.2,400,4,NA
Urochloa pubigera,0.6,180,16,NA,0.2,30,4,NA
Urochloa reptans,0.6,80,15,NA,0.1,15,3,NA
Urochloa subquadripara,0.6,NA,NA,NA,0.1,NA,NA,NA
Urochloa whiteana,0.5,150,5,NA,0.1,40,2.5,NA
Walwhalleya proluta,1,200,7,NA,0.2,20,2,NA
Walwhalleya pungens,0.4,65,3,NA,0.2,35,1.9,NA
Walwhalleya subxerophila,0.7,130,4,NA,0.2,20,1.5,NA
Whiteochloa airoides,1.1,240,5.5,2.25,0.45,100,1.5,1.75
Whiteochloa biciliata,1.1,100,3,2,0.4,50,2,1.5
Whiteochloa capillipes,1.05,250,7,1.5,0.6,100,2.5,1
Whiteochloa cymbiformis,2,400,15,NA,0.5,100,4,NA
Whiteochloa multiciliata,1,180,6,1.5,0.45,80,2.5,1.5
Whiteochloa semitonsa,0.6,110,4,1.75,0.3,60,3,1.5
Xerochloa barbata,0.5,220,3.5,NA,0.12,40,1,NA
Xerochloa imberbis,0.75,250,4,NA,0.15,60,0.8,NA
Yakirra australiensis,0.3,100,4,NA,0.05,30,0.5,NA
Yakirra australiensis var. intermedia,0.3,100,4,NA,0.05,30,0.5,NA
Yakirra majuscula,0.8,NA,NA,NA,0.3,NA,NA,NA
Yakirra muelleri,0.3,120,5,NA,0.08,20,1,NA
Yakirra nulla,0.6,80,10,1.7,0.5,30,2,1.7
Yakirra pauciflora,0.75,200,5,NA,0.31,40,1.5,NA
Yakirra websteri,0.8,120,5,1.5,0.25,70,2,1.5
Zoysia macrantha,0.3,160,4,NA,0.05,10,0.5,NA
Zoysia macrantha subsp. macrantha,0.3,160,4,NA,0.05,10,0.5,NA
Zoysia macrantha subsp. walshii,0.3,160,4,NA,0.05,10,0.5,NA
Zoysia matrella,NA,NA,NA,NA,NA,NA,NA,NA
Zygochloa paradoxa,1.5,300,10,3,0.4,10,1,3
