Genus Authority,Photosynthetic types,Species sampled,References,Notes
Catalepis Stapf & Stent,C4,Catalepis gracilis Stapf & Stent,"Watson & Dallwitz (1992 onwards), photos provided by R.P. Ellis",
Catapodium Link,C3,"Catapodium loliaceum (Hudson) Link (= Desmazeria marina), Catapodium rigidum (L.) Hubbard, Catapodium marinum (L.) C.E.Hubb.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Cathariostachys S.Dransfield,C3,Cathariostachys capitata (Kunth) S.Dransf. (=Nastus capitatus Kunth),BEP clade,
Cathestecum Presl,C4,Cathestechum erectum Vasey & Hack.,Watson & Dallwitz (1992 onwards),
Cenchrus L.,C4,"Cenchrus australis R. Br., Cenchrus biflorus Roxb., Cenchrus brownii Roem. & Schultes, Cenchrus ciliaris L., Cenchrus echinatus L., Cenchrus elymoides F. Muell., Cenchrus incertus M.A. Curtis (=Cenchrus pauciflorus Benth.), Cenchrus longispinus (Hack.) Fern., Cenchrus setiger Vahl.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Centotheca Desv.,C3,"Centotheca sp., Centotheca lappacea (L.) Desvaux",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Centrochloa Swallen,C4,Centrochloa singularis Swallen,Watson & Dallwitz (1992 onwards),
Centropodia Reichenb.,C4,Centropodia glauca (Nees) T.A. Cope (Asthenatherum),Ellis (1984); Watson & Dallwitz (1992 onwards),
Cephalostachyum Munro,C3,"Cephalostachyum pergracile Munro, Cephalostachyum capitatum Munro",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Chaetium Nees,C4,Chaetium cubanum Hitchc.,Watson & Dallwitz (1992 onwards),
Chaetobromus Nees,C3,Chaetobromus dregeanus Nees,Linder et al. (2010); Linder pers. comm.; This study.,Non-Kranz anatomy in all sub-species; C3 isotope value = -27.3
Chaetopoa C.E.Hubbard,C4,Chaetopoa taylori C.E. Hubbard,Watson & Dallwitz (1992 onwards),
Chaetopogon Janchen,C3,Chaetopogon fasciculatus Link.,Watson & Dallwitz (1992 onwards),
Chamaeraphis R.Br.,C4,Chamaeraphis hordeacea R. Br.,Watson & Dallwitz (1992 onwards),
"Chandrasekharania Nair, Ramach. & Sreek.",C3,"Chandrasekharania keralensis Nair, Ramach. & Sreek.",Clayton & Renvoize (1986),
Chasmanthium Link,C3,"Chasmanthium latifolium (Michx.) Yates, Chasmanthium laxum (L.) Yates",Watson & Dallwitz (1992 onwards),
Chasmopodium Stapf,C4,Chasmopodium caudatum (Hack.) Stapf,Metcalfe (1960),
Chevalierella A.Camus,C3,"Chevalierella congoensis A. Camus (= C. dewildemanii), Chevalierella dewildemanii (Vand.) Van der Veken",Jacques-Félix (1962); Watson & Dallwitz (1992 onwards),
Chikusichloa Koidzumi,C3,Chikusichloa aquatica Koidz.,Watson & Dallwitz (1992 onwards),
Chimaerochloa H. P. Linder,C3,Chimaerochloa archboldii (Hitchc.) Pirie & H. P. Linder,Linder et al. (2010); Linder pers. comm.,
Chimonobambusa Makino,C3,Chimonobambusa densifolia Nakai,Watson & Dallwitz (1992 onwards),
Chimonocalamus Hsueh & Yi,C3, -,BEP clade,
Chionachne R.Br.,C4,Chionachne cyathopoda (Muell.) Muell. ex Benth.,Watson & Dallwitz (1992 onwards),
Chionochloa Zotov,C3,"Chionochloa conspicua (Forst.) Zotov (=Cortaderia conspicua (E.Forst.) Stapf and =Danthonia cunninghamii Hook.f.), Chionochloa frigida (Vickery) Conert, Chionochloa pallida (R. Br.) Conert, Chionochloa australis (Buchanan) Zotov (=Danthonia australis (Buchanan) Buchanan), Chionochloa bromoides (Hook.f.) Zotov (=Danthonia bromoides Hook.f.), Chionochloa crassiuscula (Kirk) Zotov (=Danthonia crassiuscula Kirk and =Danthonia pungens Cheeseman), Chionochloa rigida (Raoul) Zotov  (=Danthonia flavescens Hook.f. and =Danthonia rigida Raoul), Chionochloa oreophila (Petrie) Zotov (=Danthonia oreophila Petrie), Chionochloa ovata (Buchanan) Zotov (=Danthonia planifolia Petrie), Chionochloa teretifolia (Petrie) Zotov (=Danthonia teretifolia Petrie)",Watson & Dallwitz (1992 onwards),
Chloris Sw.,C4,"Chloris gayana Kunth, Chloris barbata Sw., Chloris filiformis (Vahl) Poir., Chloris pycnothrix Trin., Chloris robusta Stapf, Chloris virgata Sw., Chloris uliginosa Hack. (Eustachys)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Chlorocalymma D.Clayton,C4,Chlorocalymma cryptocanthum W. Clayton,Watson & Dallwitz (1992 onwards),
Chondrosum Desv.,C4,Chondrosum gracile H. B. & K. (=Bouteloua gracilis (Kunth) Lag. Ex Griffiths),Watson & Dallwitz (1992 onwards),
Chrysochloa Swallen,C4,"Chrysochloa hindsii C.E.Hubb., Chrysochloa hubbardiana Germain & Risopoulos, Chrysochloa orientalis (Hubb.) Swallen",Watson & Dallwitz (1992 onwards); Observations on C. hindsi provided by Christine de Jong (2005),
Chrysopogon Trin.,C4,"Chrysopogon fallax Blake, Chrysopogon nodulibarbis (Hochst. ex Steud.) Henrard  (=Chrysopogon zeylanicus (Nees) Thwaites), Chrysopogon gryllus (L.) Trin.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Chusquea Kunth,C3,"Chusquea longiligulata (Soderstrom & Calderon) Clark (= Swallenochloa), Chusquea abietifolia Griseb., Chusquea tenella Nees",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Cinna L.,C3,Cinna latifolia (Trev.) Griseb.,Watson & Dallwitz (1992 onwards),
Cladoraphis Franch.,C4,"Cladoraphis cyperoides (Thunb.) S.M. Phillips, Cladoraphis spinosa (L. f.) S.M. Phillips",Van den Borre (1994); Watson & Dallwitz (1992 onwards); Photos of C. cyperoides provided by R.P. Ellis,
Clausospicula Lazarides,C4,Clausospicula extensa M. Lazarides,Watson & Dallwitz (1992 onwards),
Cleistachne Benth.,C4,Cleistachne sorghoides Benth.,Metcalfe (1960),
Cleistochloa C.E.Hubbard,C3,Cleistochloa subjuncea Hubbard,Watson & Dallwitz (1992 onwards),
