Genus Authority,Photosynthetic types,Species sampled,References,Notes,genus_name
Hilaria Kunth,C4,Hilaria jamesii Torr.,Watson & Dallwitz (1992 onwards),NA,Hilaria
Himalayacalamus Keng f.,C3,-,BEP clade,NA,Himalayacalamus
Hitchcockella A.Camus,C3,-,BEP clade,NA,Hitchcockella
Holcolemma Stapf & Hubbard,C3,Holcolemma canaliculatum (Steud.) Stapf & Hubbard,Watson & Dallwitz (1992 onwards),NA,Holcolemma
Holcus L.,C3,Holcus lanatus L.,Watson & Dallwitz (1992 onwards),NA,Holcus
Holttumochloa Wong,C3,-,BEP clade,NA,Holttumochloa
Homolepis Chase,C3 (& C3-C4?),"Homolepis aturensis Chase, Homolepis glutinosa (Swartz) Zuloaga & Soderstrom, Homolepis isocalycia (Meyer) Chase, Homolepis longispicula (Doell) Chase, Homolepis villaricensis (Mez) F.O. Zuloaga & T.R. Soderstrom",Watson & Dallwitz (1992 onwards); Christin et al. (2013); this study,"H. aturensis is characterised by large bundle sheath cells containing a high concentration of chloroplasts, a trait combination often associated with C3-C4 intermediates (Christin et al., 2013)",Homolepis
Homopholis C.E.Hubbard,C3,Homopholis proluta (F. Muell.) R. Webster,Watson & Dallwitz (1992 onwards),NA,Homopholis
Homozeugos Stapf,C4,Homozeugos eylesii C.E. Hubb.,Watson & Dallwitz (1992 onwards),NA,Homozeugos
Hordelymus Harz,C3,Hordelymus europaeus (L.) Hartz,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Hordelymus
Hordeum L.,C3,"Hordeum glaucum Steud., Hordeum leporinum Link, Hordeum vulgare L., Hordeum spontaneum K.Koch (=Hordeum agriocrithon Åberg), Hordeum jubatum L., Hordeum murinum L., Hordeum bulbosum L.  (=Hordeum nodosum L.), Hordeum stenostachys Godr.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Hordeum
Hubbardia Bor,C3,Hubbardia heptaneuron Bor. (Hallberg & McCann),Clifford (1967),NA,Hubbardia
Hubbardochloa Auquier,C4,Hubbardochloa gracilis Auquier,Watson & Dallwitz (1992 onwards),NA,Hubbardochloa
Humbertochloa A.Camus & Stapf,C3,Humbertochloa greenwayi C.E. Hubbard,Watson & Dallwitz (1992 onwards),NA,Humbertochloa
Hydrothauma C.E.Hubbard,C3,Hydrothauma manicatum C.E. Hubbard,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Hydrothauma
Hygrochloa Lazarides,C4,"Hygrochloa aquatica Lazarides, Hygrochloa craveni Lazarides",Watson & Dallwitz (1992 onwards),NA,Hygrochloa
Hygroryza Nees,C3,Hygroryza aristata (Retz.) Nees,Watson & Dallwitz (1992 onwards),NA,Hygroryza
Hylebates Chippindall,C3,Hylebates cordatus Chippindall,Watson & Dallwitz (1992 onwards),NA,Hylebates
Hymenachne Beauv.,C3,"Hymenachne amplexicaulis (Rudge) Nees, Hymenachne grumosa (Nees) Zuloaga, Hymenachne pernambucensis (Spreng.) Zuloaga",Brown (1977); Watson & Dallwitz (1992 onwards),NA,Hymenachne
Hyparrhenia Fourn.,C4,"Hyparrhenia filipendula (Hochst.) Stapf, Hyparrhenia dissoluta (Nees ex Steud.) C.E.Hubb. (Hypseochloa)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Hyparrhenia
Hyperthelia D.Clayton,C4,Hyperthelia dissoluta (Steud.) Clayton =-,Watson & Dallwitz (1992 onwards),NA,Hyperthelia
Hypseochloa C.E.Hubbard,C3,Hypseochloa cameroonensis C.E. Hubb. (=Hyparrhenia dissoluta (Nees ex Steud.) C.E.Hubb.),Watson & Dallwitz (1992 onwards),NA,Hypseochloa
Ichnanthus Beauv.,C3,Ichnanthus vicinus (F.M. Bailey) Merr.,Watson & Dallwitz (1992 onwards),NA,Ichnanthus
Imperata Cyr.,C4,Imperata cylindrica (L.) Beauv.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Imperata
Indocalamus Nakai,C3,Indocalamus debilis (Thwait.) Alston,Watson & Dallwitz (1992 onwards),NA,Indocalamus
Indopoa Bor,C4,Indopoa pauperculus (Stapf) Bor,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Indopoa
Indosasa McClure,C3,-,BEP clade,NA,Indosasa
Isachne R.Br.,C3,"Isachne confusa Ohwi, Isachne globosa (Thunb.) Kuntze (=Isachne australis R.Br.), Isachne pulchella Roth. ex R. & S., Isachne kunthiana (Wight & Arn. ex Steud.) Miq., Isachne mauritiana Kunth, Isachne walkeri (Arn. ex Steud.) Wight & Arn. ex Thwaites",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Isachne
Ischaemum L.,C4,"Ischaemum fragile R. Br., Ischaemum commutatum Hack., Ischaemum santapaui Bor",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Ischaemum
Iseilema Anderss.,C4,Iseilema vaginiflorum Domin,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Iseilema
Ixophorus Schlecht.,C4,Ixophorus unisetus (Presl) Schlecht.,Watson & Dallwitz (1992 onwards),NA,Ixophorus
Jansenella Bor,C3,Jansenella griffithiana (C. Mueller) Bor.,Metcalfe (1960); Türpe (1970),Watson & Dallwitz (1992 onwards) note - supposedly C3 [but needing further study: certainly the anatomical drawings of Türpe (1970) show neither ‘circular cells’ nor the expected small bundles],Jansenella
Jouvea Fourn.,C4,"Jouvea pilosa (Presl) Scribn., Jouvea straminea Fourn.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Jouvea
Kampochloa D.Clayton,C4,Kampochloa brachyphylla W. Clayton,Watson & Dallwitz (1992 onwards),NA,Kampochloa
Kaokochloa de Winter,C4,Kaokochloa nigrirostris De Winter,Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,NA,Kaokochloa
Kerriochloa C.E.Hubbard,C4,Kerriochloa siamensis C.E.Hubb.,Renvoize (1982),NA,Kerriochloa
Kinabaluchloa Wong,C3,-,BEP clade,NA,Kinabaluchloa
Koeleria Pers.,C3,"Koeleria australiensis Domin, Koeleria pyramidata (Lam.) P.Beauv. (= Koeleria cristata Pers.), Koeleria phleoides (Vill.) Pers. (Rostraria), Koeleria vallesiana (Honck.) Bertol. ex Schult.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Koeleria
Koordersiochloa Merr.,C3,Koordersiochloa longiarista (A.Rich.) Veldkamp (=Streblochaete longiarista Pilger),Watson & Dallwitz (1992 onwards),NA,Koordersiochloa
Lagurus L.,C3,Lagurus ovatus L.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Lagurus
Lamarckia Moench,C3,Lamarckia aurea (L.) Moench.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Lamarckia
Lasiacis Hitchc.,C3,"Lasiacis ligulata Hitchc. & Chase, Lasiacis nigra Davidse, Lasiacis procerrima Hitchc. ex Chase, Lasiacis sorghoides Hitchc. & Chase",Watson & Dallwitz (1992 onwards),NA,Lasiacis
Lasiurus Boiss.,C4,Lasiurus hirsutus (Forrsk.) Boiss.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Lasiurus
Lecomtella A.Camus,C3,Lecomtella madagascariensis A. Camus,Watson & Dallwitz (1992 onwards),NA,Lecomtella
Leersia Sw.,C3,"Leersia hexandra Swartz, Leersia oryzoides (L.) Sw.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Leersia
Leptagrostis C.E.Hubbard,C3,Leptagrostis schimperiana (Hochst.) C.E.Hubb.,Renvoize (1986),NA,Leptagrostis
Leptaspis R.Br,C3,"Leptaspis banksii (R. Br.), Leptaspis zeylanica Nees ex Steud. (=Leptaspis cochleata Thwaites)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Leptaspis
Leptocarydion Stapf,C4,Leptocarydion vulpiastrum (De Not) Stapf,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,NA,Leptocarydion
Leptochloa Beauv.,C4,"Leptochloa decipiens (R. Br.) Stapf ex Maiden, Leptochloa digitata (R. Br.) Domin, Leptochloa filiformis (Lam.) Beauv., Leptochloa neesii (Thw.) Benth., Leptochloa panicea (Retz.) Ohwi, Leptochloa uniflora Hochst., Leptochloa virgata (L.) P. Beauv., Leptochloa caerulescens Steud.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Leptochloa
Leptocoryphium Nees,C4,Leptocoryphium lanatum Nees,Watson & Dallwitz (1992 onwards),NA,Leptocoryphium
Leptothrium Kunth,C4,"Leptothrium rigidum Kunth, Leptothrium senegalensis Kunth",Watson & Dallwitz (1992 onwards),NA,Leptothrium
Lepturidium Hitchc. & Ekman,C4,Lepturidium insulare Hitchc. & Ekman,Watson & Dallwitz (1992 onwards),NA,Lepturidium
Lepturopetium Morat,C4,Lepturopetium marshallense Fosberg & Sachet,Watson & Dallwitz (1992 onwards),NA,Lepturopetium
Lepturus R.Br.,C4,Lepturus repens (Forst.) R. Br.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Lepturus
Leymus Hochst.,C3,"Leymus arenarius (L.) Hochst. (=Elymus arenarius L.), Leymus condensatus (J.Presl) Á.Löve  (=Elymus condensatus J.Presl)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Leymus
Libyella Pamp.,C3,Libyella cyrenaica (Dur. & Barr.) Pamp.,Watson & Dallwitz (1992 onwards),NA,Libyella
Limnas Trin.,C3,Limnas stelleri Trin.,Watson & Dallwitz (1992 onwards),NA,Limnas
Limnodea Dewey,C3,Limnodea arkansana (Nutt.) Dewey,Watson & Dallwitz (1992 onwards),NA,Limnodea
Limnopoa C.E.Hubbard,C3,Limnopoa meeboldii (Fischer) Hubbard,Watson & Dallwitz (1992 onwards),NA,Limnopoa
Lindbergella Bor,C3,Lindbergella sintenisii (Lindb.) Bor,Watson & Dallwitz (1992 onwards),NA,Lindbergella
Lintonia Stapf,C4,Lintonia nutans Stapf,Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,NA,Lintonia
Lithachne Beauv.,C3,Lithachne pauciflora Beauv.,Watson & Dallwitz (1992 onwards),NA,Lithachne
Littledalea Hemsl.,C3,Littledalea racemosa Keng,Watson & Dallwitz (1992 onwards),NA,Littledalea
Loliolum Krecz. & Bobrov,C3,Loliolum subulatum (Banks and Soland.) Eig,Watson & Dallwitz (1992 onwards),NA,Loliolum
Lolium L.,C3,"Lolium perenne L., Lolium rigidum Gaud., Lolium multiflorum Lam.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Lolium
Lophacme Stapf,C4,Lophacme digitata Stapf,Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,NA,Lophacme
Lophatherum Brongn.,C3,Lophatherum gracile Brongn,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Lophatherum
Lopholepis Decaisne,C4,Lopholepis ornithocephala Steud.,Watson & Dallwitz (1992 onwards),NA,Lopholepis
Lophopogon Hack.,C4,Lophopogon tridentatus (Roxb.) Hack.,This study,L. tridentatus: C4 isotope value = -13.1,Lophopogon
Loudetia Steud.,C4,"Loudetia simplex (Nees) C.E. Hubb., Loudetia flavida (Stapf) C.E.Hubb., Loudetia superba De Not (Tristachya)",Metcalfe (1960); Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,NA,Loudetia
Loudetiopsis Conert,C4,Loudetiopsis chrysothrix (Nees) Conert,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Loudetiopsis
Louisiella Hubbard & Leonard,C4,Louisiella fluitans Hubbard & Leonard,Watson & Dallwitz (1992 onwards),NA,Louisiella
Loxodera Launert,C4,"Loxodera caespitosa (C.E. Hubb.) Clayton, Loxodera ledermannii (Pilger) Clayton",Watson & Dallwitz (1992 onwards),NA,Loxodera
Luziola Juss.,C3,Luziola pittieri Luces,Watson & Dallwitz (1992 onwards),NA,Luziola
Lycochloa Samuels.,C3,Lycochloa avenacea Sam.,Metcalfe (1960),NA,Lycochloa
Lycurus Kunth,C4,Lycurus phleoides H. B. & K.,Watson & Dallwitz (1992 onwards),NA,Lycurus
Lygeum L.,C3,Lygeum spartum L.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Lygeum
Maclurochloa Wong,C3,-,BEP clade,NA,Maclurochloa
Maclurolyra Cald. & Sod.,C3,-,BEP clade,NA,Maclurolyra
Maltebrunia Kunth,C3,Maltebrunia leersioides Kunth,Watson & Dallwitz (1992 onwards),NA,Maltebrunia
Manisuris L.,C4,Manisuris myuros L.,Watson & Dallwitz (1992 onwards),NA,Manisuris
Megalachne Steud.,C3,Megalachne berteroniana Steud.,Watson & Dallwitz (1992 onwards),NA,Megalachne
Megaloprotachne C.E.Hubbard,C4,Megaloprotachne albescens Hubbard,Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,NA,Megaloprotachne
Megastachya Beauv.,C3,Megastachya mucronata (Poir.) P.Beauv.,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,NA,Megastachya
Melanocenchris Nees,C4,Melanocenchris abyssinica (R. Br.) Hochst.,Watson & Dallwitz (1992 onwards),NA,Melanocenchris
Melica L.,C3,"Melica argentata E. Desv., Melica argyrea Hack., Melica californica Scribn., Melica ciliata L., Melica uniflora Retz., Melica altissima L.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Melica
Melinis Beauv.,C4,Melinis minutiflora Domin,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Melinis
Melocalamus Benth.,C3,-,BEP clade,NA,Melocalamus
Melocanna Trin.,C3,Melocanna bambusoides Trin.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Melocanna
Merostachys Spreng.,C3,"Merostachys ‘anceps’, Merostachys riedeliana Rupr. ex Döll",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Merostachys
Merxmuellera Conert,C3,"Merxmuellera davyi (C.E.Hubb.) Conert, Merxmuellera macowanii (Stapf) Conert",Ellis (1981),NA,Merxmuellera
Mesosetum Steud.,C4,"Mesosetum altum Swallen, Mesosetum loliiforme (Hochst. ex Steud.) Hitchc., Mesosetum pittieri Hitchc.",Watson & Dallwitz (1992 onwards),NA,Mesosetum
Metcalfia Conert,C3,Metcalfia mexicana Conert,Watson & Dallwitz (1992 onwards),NA,Metcalfia
Mibora Adanson,C3,"Mibora minima (L.) Desv., Mibora verna Beauv. (= M. minima)",Watson & Dallwitz (1992 onwards),NA,Mibora
Micraira F.Muell.,C3,"Micraira sp. nov. Lazarides, Micraira subulifolia F. Muell.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Micraira
Microbriza Nicora & Rugolo,C3,Microbriza poaemorpha (Presl.) Parodi,Watson & Dallwitz (1992 onwards),NA,Microbriza
Microcalamus Franch.,C3,Microcalamus barbinoides Franch.,Watson & Dallwitz (1992 onwards),NA,Microcalamus
Microchloa R.Br.,C4,Microchloa indica (L.f.) Beauv.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Microchloa
Micropyropsis Romero-Zarco & Cabezudo,C3,-,BEP clade,NA,Micropyropsis
Micropyrum Link,C3,Micropyrum tenellum L.,Watson & Dallwitz (1992 onwards),NA,Micropyrum
Microstegium Nees,C4,"Microstegium spectabile (Trin.) A. Camus, Microstegium ciliatum (Trin.) A.Camus",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Microstegium
Milium L.,C3,Milium effusum L.,Watson & Dallwitz (1992 onwards),NA,Milium
Miscanthus Anderss.,C4,"Miscanthidium sorghum (Nees) Stapf, Miscanthus sinensis Anderss. (=Miscanthus condensatus Hack.), Miscanthus sacchariflorus (Maxim.) Hack.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Miscanthus
Mnesithea Kunth,C4,"Mnesithea laevis (Retz.) Kunth, Mnesithea mollicoma (Hance) A. Camus",Watson & Dallwitz (1992 onwards),NA,Mnesithea
Mniochloa Chase,C3,"Mniochloa strephioides (Griseb.) Chase, Mniochloa pulchella (Griseb.) Chase",Zuloaga et al. (1993),NA,Mniochloa
Molinia Schrank,C3,Molinia caerulea (L.) Moench,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Molinia
Monachather Steud.,C3,Monachather paradoxa Steud.,Watson & Dallwitz (1992 onwards),NA,Monachather
Monanthochloe Engelm.,C4,Monanthochloë littoralis Engelm.,Watson & Dallwitz (1992 onwards),NA,Monanthochloe
Monelytrum Hack.,C4,Monelytrum luderitzianum Hack.,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,NA,Monelytrum
Monocymbium Stapf,C4,Monocymbium ceresiiforme (Nees) Stapf,Watson & Dallwitz (1992 onwards),NA,Monocymbium
Monodia Jacobs,C4,Monodia stipoides S.W.L. Jacobs,Watson & Dallwitz (1992 onwards),NA,Monodia
Mosdenia Stent,C4,Mosdenia leptostachys (Ficalho & Hiern) Clayton,Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,NA,Mosdenia
Muhlenbergia Schreb.,C4,"Muhlenbergia arisanensis Hayata, Muhlenbergia asperifolia Nees & Meyen ex Trin., Muhlenbergia minuscula H. Scholz, Muhlenbergia racemosa (Michx.) Britton, Stern & Poggenb.",Metcalfe (1960); Peterson et al. (1989) Watson & Dallwitz (1992 onwards),"Illustrations of leaf transverse sections showing photosynthetic pathway-related features (Peterson et al., 1989)",Muhlenbergia
Mullerochloa Wong,C3,-,BEP clade,NA,Mullerochloa
Munroa Torrey,C4,Munroa squarrosa (Nutt.) Torr.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Munroa
Myriocladus Swallen,C3,Myriocladus paludicolus Swallen,Watson & Dallwitz (1992 onwards),NA,Myriocladus
Myriostachya Hook.f.,C4,Myriostachya wightiana (Nees) Hook. f.,Watson & Dallwitz (1992 onwards),NA,Myriostachya
Narduroides Rouy,C3,Narduroides salzmannii (Boiss.) Rouy,Watson & Dallwitz (1992 onwards),NA,Narduroides
Nardus L.,C3,Nardus stricta L.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Nardus
Nassella Desv.,C3,"Nassella pubiflora (Trin. & Rupr.) Desv., Nassella trichotoma (Nees) Hackel ex Arechav., Stipa filiculmis Delile (Nassella)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Nassella
Nastus Juss.,C3,"Nastus hooglandii Holttum, Nastus obtusus Holttum, Nastus elongatus A.Camus, Nastus capitatus Kunth (Cathariostachys)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Nastus
Neesiochloa Pilger,C4,Neesiochloa barbata (Trin.) Pilger,Watson & Dallwitz (1992 onwards),NA,Neesiochloa
Nematopoa C.E.Hubbard,C3,Nematopoa longipes (Stapf & C.E.Hubb.) C.E.Hubb.,Renvoize (1986),NA,Nematopoa
Neobouteloua Gould,C4,Neobouteloua lophostachya (Griseb.) Gould,Watson & Dallwitz (1992 onwards),NA,Neobouteloua
Neohouzeaua A.Camus,C3,-,BEP clade,NA,Neohouzeaua
Neololeba E.A.Widjaja,C3,-,BEP clade,NA,Neololeba
Neomicrocalamus Keng f.,C3,-,BEP clade,NA,Neomicrocalamus
Neostapfia Davy,C4,Neostapfia colusana Davy,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Neostapfia
Neostapfiella A.Camus,C4,"Neostapfiella humbertiana A. Camus, Neostapfiella perrieri A. Camus",Watson & Dallwitz (1992 onwards),NA,Neostapfiella
Nephelochloa Boiss.,C3,Nephelochloa orientalis Boiss.,Watson & Dallwitz (1992 onwards),NA,Nephelochloa
Neurachne R.Br.,C4 & C3-C4 & C3,"Neurachne alopecuroidea R. Br., Neurachne annularis T. Macfarlane, Neurachne lanigera S.T. Blake, Neurachne minor S.T. Blake, Neurachne munroi (F. Muell.) F. Muell., Neurachne queenslandica S.T. Blake, Neurachne tenuifolia Blake, Neurachne mitchelliana Nees (Thyridolepis)","Hattersley et al. (1982), Hattersley & Roksandic (1983); Christin et al. (2012)",NA,Neurachne
Neuropoa D.Clayton,C3,-,BEP clade,NA,Neuropoa
Neyraudia Hook.f.,C4,"Neyraudia arundinacea (L.) Henr., Neyraudia neyraudiana (Kunth) Keng",Watson & Dallwitz (1992 onwards),NA,Neyraudia
Notochloe Domin,C3,Notochloë microdon (Benth.) Domin,Watson & Dallwitz (1992 onwards),NA,Notochloe
Ochlandra Thw.,C3,"Ochlandra stridula Thw., Ochlandra setigera Gamble",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Ochlandra
Ochthochloa Edgew.,C4,Ochthochloa compressa Edgew.,Watson & Dallwitz (1992 onwards),NA,Ochthochloa
Odontelytrum Hack.,C4,Odontelytrum abyssinicum Hack.,Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,NA,Odontelytrum
Odyssea Stapf,C4,Odyssea mucronata Stapf,Watson & Dallwitz (1992 onwards),NA,Odyssea
Oligostachyum Wang & Ye,C3,-,BEP clade,NA,Oligostachyum
Olmeca Soderstrom,C3,Olmeca recta Soderstrom,Watson & Dallwitz (1992 onwards),NA,Olmeca
Olyra L.,C3,Olyra latifolia L.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Olyra
"Ophiochloa Filg., Davidse & Zuloaga",C4,-,Filgueiras et al. (1993),NA,Ophiochloa
Ophiuros Gaertn.,C4,Ophiuros megaphyllas Stapf ex Haines,Watson & Dallwitz (1992 onwards),NA,Ophiuros
Opizia Presl,C4,Opizia stolonifera Presl.,Watson & Dallwitz (1992 onwards),NA,Opizia
Oplismenopsis Parodi,C3,Oplismenopsis najada (Hack. & Arech.) Parodi,Watson & Dallwitz (1992 onwards),NA,Oplismenopsis
Oplismenus Beauv.,C3,"Oplismenus aemulus (R. Br.) Roem. & Schult., Oplismenus burmanii (Retz.) P. Beauv., Oplismenus compositus P. Beauv., Oplismenus hirtellus (L.) P. Beauv., Oplismenus undulatifolius (Ard.) Roem. & Schult.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Oplismenus
Orcuttia Vasey,C4,"Orcuttia californica Vasey, Orcuttia inaequalis Hoover, Orcuttia pilosa Hoover",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Orcuttia
Oreobambos K.Schum,C3,Oreobambos buchwaldii K.Schum,Metcalfe (1960),NA,Oreobambos
Oreochloa Link,C3,Oreochloa disticha (Wulf.) Link,Watson & Dallwitz (1992 onwards),NA,Oreochloa
Oreopoa H.Scholz & Parolly,C3,-,BEP clade,NA,Oreopoa
Orinus Hitchc.,C4,"Orinus kokonorica (Hao) Keng, Orinus thoroldii A. Hitchc.",Watson & Dallwitz (1992 onwards),NA,Orinus
Oropetium Trin.,C4,"Oropetium thomaeum (L. f.) Trin., Oropetium capense Stapf, Oropetium aristatum (Stapf) Pilg.",Metcalfe (1960); Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,NA,Oropetium
Ortachne Steud.,C3,Orthachne breviseta A. Hitchc.,Watson & Dallwitz (1992 onwards),NA,Ortachne
Orthoclada Beauv.,C3,Orthoclada laxa Beauv.,Watson & Dallwitz (1992 onwards),NA,Orthoclada
Oryza L.,C3,"Oryza australiensis Domin, Oryza sativa L.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Oryza
Oryzidium Hubbard & Schweick.,C4,Oryzidium barnardii Hubbard & Schweickerdt,Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,NA,Oryzidium
Oryzopsis Michx.,C3,"Oryzopsis asperifolia Michx., Oryzopsis paradoxa (L.) Nutt., Oryzopsis racemosa (Sm.) Ricker ex Hitchc",Metcalfe (1960),NA,Oryzopsis
Otachyrium Nees,C3,Otachyrium succisum (Swallen) Sendulsky & Soderstrom,Watson & Dallwitz (1992 onwards),NA,Otachyrium
Otatea Cald. & Sod.,C3,Otatea acuminata (Munro) Calderon & Soderstrom,Watson & Dallwitz (1992 onwards),NA,Otatea
Ottochloa Dandy,C3,Ottochloa gracillima Hubbard,Watson & Dallwitz (1992 onwards),NA,Ottochloa
Oxychloris Lazarides,C4,Oxychloris scariosa (F. Muell.) Lazarides,Watson & Dallwitz (1992 onwards),NA,Oxychloris
Oxyrhachis Pilger,C4,Oxyrhachis gracillima (Bak.) C.E. Hubb.,Watson & Dallwitz (1992 onwards),NA,Oxyrhachis
Oxytenanthera Munro,C3,"Oxytenanthera monadelphia (Thwait.) Alston, Oxytenanthera abyssinica (A.Rich.) Munro",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Oxytenanthera
Panicum L.,C4 (& C3-C4?) & C3,-,-,See Table S4 for detailed listing,Panicum
Pappophorum Schreb.,C4,"Pappophorum sub-bulbosum Arech, Pappophorum philippianum Parodi (=Pappophorum alopecuroideum Vahl)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Pappophorum
Parabambusa E.A.Widjaja,C3,-,BEP clade,NA,Parabambusa
Paractaenum Beauv.,C4,Parectenium novae-hollandiae Beauv.,Watson & Dallwitz (1992 onwards),NA,Paractaenum
Parahyparrhenia A.Camus,C4,Parahyparrhenia annua (Hack.) W.D. Clayton,Watson & Dallwitz (1992 onwards),NA,Parahyparrhenia
Paraneurachne S.T.Blake,C4,Paraneurachne muelleri (Hackel) Blake,Hattersley et al. (1982); Watson & Dallwitz (1992 onwards),NA,Paraneurachne
Parapholis C.E.Hubbard,C3,"Parapholis incurva (L.) Hubbard, Parapholis strigosa (Dumort.) C.E.Hubb.
",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Parapholis
Paratheria Griseb.,C4,Paratheria prostrata Griseb.,Watson & Dallwitz (1992 onwards),NA,Paratheria
Pariana Aubl.,C3,"Pariana bicolor Tutin, Pariana campestris Aubl., Pariana vulgaris Tutin",Metcalfe (1960),NA,Pariana
Parodiolyra Soderstr. & Zuloaga,C3,"Parodiolyra lateralis (Presl) Soderstrom & Zuloaga, Parodiolyra luetzelburgii (Pilger) Soderstrom & Zuloaga, Parodiolyra ramosissima (Trin.) Soderstrom & Zuloaga",Watson & Dallwitz (1992 onwards),NA,Parodiolyra
Paspalidium Stapf,C4,"Paspalidium flavidum Stapf, Paspalidium gracile (R. Br.) Hughes, Paspalidium jubiflorum (Trin.) Hughes, Paspalidium radiatum Vickery, Paspalidium rarum (R. Br.) Hughes, Paspalidium geminatum (Forssk.) Stapf",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Paspalidium
Paspalum L.,C4,"Paspalum conjugatum Berg., Paspalum dilatatum Poiret, Paspalum distichum L., Paspalum paniculatum L., Paspalum repandum G.H. Rua & J.F.M. Valls (=Thrasyopsis repanda (Nees) Parodi), Paspalum scrobiculatum L. (=Paspalum commersonii Lam.), Paspalum vaginatum Swartz.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Paspalum
Pennisetum L. Rich.,C4,"Pennisetum alopecuroides (L.) Sprengel, Pennisetum villosum R. Br., Pennisetum clandestinum Hochst. ex Chiov., Pennisetum macrourum Trin., Pennisetum glaucum (L.) R.Br.  (=Setaria glauca (L.) P.Beauv.)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Pennisetum
Pentameris Beauv.,C3,"Pentameris airoides Nees subsp. jugorum (Stapf) Galley & H. P. Linder (=Pentaschistis airoides (Nees) Stapf), Pentameris longiglumis (Nees) Steud., Pentameris thuarii P.Beauv., Pentameris macrocalycina (Steud.) Schweick., Pentameris obtusifolia (Hochst.) Schweick., Pentameris pholiuroides (Stapf) Galley & H.P.Linder (=Prionanthium pholiuroides Stapf)",Ellis (1985); Watson & Dallwitz (1992 onwards),NA,Pentameris
Pentapogon R.Br.,C3,Pentapogon quadrifidus (Labill.) Baillon,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Pentapogon
