species,naming_authority,site,edaphic_preference,fire_response,juvenile_period,juvenile_period_value_type,flowering_time,flowering_notes,other_notes
Acacia cedroides,Benth.,Northern Sandplain shrublands,Laterite,,≤2,bin,nnnnnnyynnnn,,
Acacia lasiocarpa,Benth.,Northern Sandplain shrublands,Laterite,Seed,,,,,
Acacia pulchella,R.Br.,Northern Sandplain shrublands,Generalist,Seed,≤5>2,bin,nnnnnnnyynnn,,
Acacia spinosissima,Benth.,Northern Sandplain shrublands,Sand,,,,,,
Acacia stenoptera,Benth.,Northern Sandplain shrublands,,Sprout,≤5>2,bin,nnnnyyynnnnn,,
Acacia teretifolia,Benth.,Northern Sandplain shrublands,Laterite,,,,nnnnnnnynnnn,,
Baeckea camphorosmae,Endl.,Northern Sandplain shrublands,Generalist,,,,nnnnnnnnnynn,,
Baeckea crispiflora,F.Muell.,Northern Sandplain shrublands,Laterite,,,,,,
Baeckea grandiflora,F.Muell.,Northern Sandplain shrublands,Laterite,Sprout,<4>2,bin,nnnnnnnnnyyy,,
Beaufortia bracteosa,Deils.,Northern Sandplain shrublands,,Seed,,,,,
Beaufortia elegans,Schau.,Northern Sandplain shrublands,Sand,Seed,≤2,bin,nnnnnnnnnnyy,,
Beaufortia eriocephala,W.V.Fitzg.,Northern Sandplain shrublands,Laterite,Sprout and seed,<2,bin,nnnnnnnnnnyy,,
Beaufortia squarrosa,Schau.,Northern Sandplain shrublands,,Seed,<2,bin,nnnnnnnnnnyy,,
Calothamnus sanguineus,Labill.,Northern Sandplain shrublands,Generalist,Sprout,<4,bin,nnnyyyyyyyyy,,
Calothamnus torulosus,Schau.,Northern Sandplain shrublands,Laterite,Sprout,≤5>2,bin,nnnnnnnnnynn,,
Calytrix brachyphylla,Turcz.,Northern Sandplain shrublands,Sand,Sprout,<2,bin,,,
Calytrix flavescens,A.Cunn.,Northern Sandplain shrublands,Sand,,,,nnnnnnnnnnyy,,
Calytrix muricata,F.Muell.,Northern Sandplain shrublands,Sand,,,,,,
Conothamnus trinervis,Lindl.,Northern Sandplain shrublands,Generalist,Sprout,≤2,bin,nnnnnnnnnynn,,
Darwinia speciosa,(Meissn.) Benth.,Northern Sandplain shrublands,Generalist,Sprout,,,,,
Eremaea beaufortioides,Benth.,Northern Sandplain shrublands,Generalist,Sprout,≤2,bin,nnnnnnnnnyyy,Flowering restricted to period 2-4 years after fire,
Eremaea fimbriata,Lindl.,Northern Sandplain shrublands,Generalist,Seed,,,,,
Eucalyptus macrocarpa,Hook.,Northern Sandplain shrublands,Sand,Sprout,,,,,
Eucalyptus pendens,Brooker,Northern Sandplain shrublands,Laterite,Sprout,,,,,Distribution restricted to an area with 160 km diameter (after Marchant and Keighery 1979).
Eucalyptus todtiana,F.Muell.,Northern Sandplain shrublands,Sand,Sprout,,,,,
Hypocalymma xanthopetalum,F.Muell.,Northern Sandplain shrublands,Generalist,Sprout,≤2,bin,nnnnnnyyynnn,,
Leptospermum spinescens,Endl.,Northern Sandplain shrublands,Generalist,Sprout,,,nnnnnnnnnnyn,,
Melaleuca depressa,Diels.,Northern Sandplain shrublands,Generalist,Sprout,,,nnnnnnnnnnyy,,
Melaleuca scabra,R.Br.,Northern Sandplain shrublands,Generalist,Sprout,,,nnnnnnnnnyyy,,
Melaleuca trichophylla,Lindl.,Northern Sandplain shrublands,Laterite,Sprout,<4>2,bin,nnnnnnnnnyyn,,
Pileanthus filifolius,Meissn.,Northern Sandplain shrublands,Generalist,,<4,bin,nnnnnnnnnnyy,,
Verticordia densiflora,Lindl.,Northern Sandplain shrublands,Generalist,,,,nnnnnnnnnnyn,,
Verticordia grandiflora,Endl.,Northern Sandplain shrublands,Generalist,Seed,<4,bin,nnnnnnnnnynn,,
Verticordia grandis,Drumm.,Northern Sandplain shrublands,Sand,Sprout,<2,bin,nnnyyynnnnyy,,Distribution restricted to an area with 160 km diameter (after Marchant and Keighery 1979).
Verticordia spicata,F.Muell.,Northern Sandplain shrublands,,,,,,,
Verticordia ovalifolia,Meissn.,Northern Sandplain shrublands,,,,,nnnnnnnnnnyy,,
Daviesia aphylla,(F.Muell.) Benth.,Northern Sandplain shrublands,Laterite,Sprout,≤2,bin,nnnnnnnnnynn,,
Daviesia daphnoides,Meissn.,Northern Sandplain shrublands,Laterite,Sprout,,,nnnyyyynnnnn,,
Daviesia divaricata,Benth.,Northern Sandplain shrublands,Sand,Sprout,≤2,bin,nnnnnnnynnnn,,
Daviesia epiphylla,Meissn.,Northern Sandplain shrublands,Laterite,Sprout,,,,,Distribution restricted to an area with 100 km diameter (after Marchant and Keighery 1979)
Daviesia juncea,Sm.,Northern Sandplain shrublands,Laterite,Sprout,,,nnnnnnnnnynn,,
Daviesia nudiflora,Meissn.,Northern Sandplain shrublands,Generalist,Sprout,≤2,bin,nnnnnnyynnnn,,
Daviesia pectinata,Lindl.,Northern Sandplain shrublands,Generalist,Sprout,≤2,bin,nnnnnnyynnnn,,
Daviesia pedunculata,Benth.,Northern Sandplain shrublands,Generalist,Sprout,<2,bin,nnnnnnnnnynn,,
Daviesia preissii,Meissn.,Northern Sandplain shrublands,Generalist,Sprout,,,nnnyynnnnnnn,,
Daviesia quadrilatera,Benth.,Northern Sandplain shrublands,Sand,Seed,≤2,bin,nnnnnnyyynnn,,
Daviesia striata,Turcz.,Northern Sandplain shrublands,Laterite,Sprout,,,nnnynnnnnnnn,,
Gastrolobium bidens,Meissn.,Northern Sandplain shrublands,Laterite,Seed,,,nnnnnnnyynnn,,Species poorly known (after Marchant and Keighery 1979)
Gastrolobium ilicifolium,Meissn.,Northern Sandplain shrublands,Laterite,,,,,,
Gastrolobium obovatum,Benth.,Northern Sandplain shrublands,Laterite,Sprout,≤5,bin,nnnnnnnynnnn,,
Gastrolobium oxylobioides,Benth.,Northern Sandplain shrublands,Laterite,Sprout,,,,,
Gastrolobium spinosum,Benth.,Northern Sandplain shrublands,Laterite,Seed,,,nnnnnnnnnnyy,,
Gastrolobium knightianum,Lindl.,Northern Sandplain shrublands,Laterite,Sprout,,,,,
Hovea stricta,Meissn.,Northern Sandplain shrublands,Generalist,Sprout,≤2,bin,nnnnyyyynnnn,,Distribution restricted to an area with 160 km diameter (after Marchant and Keighery 1979).
Isotropis cuneifolia,(Sm.) Domin.,Northern Sandplain shrublands,Generalist,Sprout,≤2,bin,nnnnnnnnnnyy,Flowering restricted to period 2-4 years after fire,
Jacksonia floribunda,Meissn.,Northern Sandplain shrublands,Sand,Seed and sprout,≤2,bin,nnnnnnnnnyyn,,
Jacksonia restioides,Hueg.,Northern Sandplain shrublands,Generalist,,,,,,
Jacksonia sternbergiana,R.Br.,Northern Sandplain shrublands,Laterite,Seed,,,,,
Kennedia prostrata,R.Br.,Northern Sandplain shrublands,Laterite,Seed,,,,,
Oxylobium capitatum,Benth.,Northern Sandplain shrublands,Laterite,,,,,,
Sphaerolobium macranthum,Meissn.,Northern Sandplain shrublands,Laterite,,,,nnnnnnnnnynn,,
Gyrostemon ramulosus,Desf.,Northern Sandplain shrublands,Sand,Seed,<2,bin,nnnnnnnnnnny,,
Tersonia brevipes,Moq.,Northern Sandplain shrublands,Sand,Seed,<2,bin,nnnnnnnnyyyy,,
Billardiera bicolor,(Putterl.) E.M.Bennett,Northern Sandplain shrublands,Laterite,,,,,,
Comesperma calymega,Labill.,Northern Sandplain shrublands,Generalist,Sprout,≤2,bin,nnnnnnnnnyyy,,
Adenanthos eygnorum,Dies.,Northern Sandplain shrublands,Sand,Seed,,,nnnnnnnnnnyn,,
Banksia attenuata,Meissn.,Northern Sandplain shrublands,Sand,Sprout and seed,<2,bin,nnnnnnnnnnyy,,
