Veg,Tag_no,Species,Prefire ht,Dbh @ 0.5 m (mm),DBH @ 1.3 m (cm),BT1,BT2,BT3,BTMean,Notes,diameter,site
,25,Lophostemon lactifluus,3.5,,5,7.5,10,10,9.166666667,,5,Litchfield
,26,Lophostemon lactifluus,6,,8.5,10.5,12.5,13.5,12.16666667,,8.5,Litchfield
,32,Corymbia polysciada,12,,17.3,12.5,12.5,13,12.66666667,,17.3,Litchfield
,39,Corymbia polysciada,12.5,,21.7,10.5,12,10.5,11,,21.7,Litchfield
,47,Buchanania obovata,4.5,,6.05,10,11,10,10.33333333,,6.05,Litchfield
,48,Erythrophleum chlorostachys,10,,25.5,20.5,31.5,24,25.33333333,,25.5,Litchfield
,-,Corymbia grandifolia,,,9.1,12,11,10.5,11.16666667,,9.1,Litchfield
,-,Corymbia grandifolia,,,5.5,8,8,9,8.333333333,,5.5,Litchfield
,-,Corymbia grandifolia,,,15.8,6,6,6,6,,15.8,Litchfield
,-,Corymbia grandifolia,,,15.55,8,8,8,8,,15.55,Litchfield
,-,Corymbia grandifolia,,,7,6,7,7,6.666666667,,7,Litchfield
,-,Corymbia grandifolia,,,28.1,11,9.5,9,9.833333333,,28.1,Litchfield
,-,Corymbia grandifolia,,,21,10,8.5,10,9.5,,21,Litchfield
,-,Corymbia grandifolia,,,24.05,8,8.5,9,8.5,,24.05,Litchfield
,-,Corymbia grandifolia,,,16.9,8.5,8.5,8,8.333333333,,16.9,Litchfield
,-,Corymbia grandifolia,,,8.6,8,6.5,6.5,7,,8.6,Litchfield
,-,Corymbia grandifolia,,,6.5,6.5,6,5.5,6,,6.5,Litchfield
,-,Corymbia grandifolia,,,8.6,5.5,5.5,6,5.666666667,,8.6,Litchfield
,-,Corymbia grandifolia,,,5,7.5,8,8.5,8,,5,Litchfield
,-,Corymbia grandifolia,,,3.8,7,6,7,6.666666667,,3.8,Litchfield
,-,Corymbia grandifolia,,,8.4,7.5,6.5,7,7,,8.4,Litchfield
,1,Petalostigma pubescens,6,,12.4,11,12.5,15,12.83333333,Noted * In general plot 15 has not been burned*,12.4,Litchfield
,4,Corymbia porrecta,22,,55.8,15,24.5,30,23.16666667,,55.8,Litchfield
,5,Buchanania obovata,13.5,,19.2,18,18,15,17,,19.2,Litchfield
,8,Syzygium suborbiculare,17.5,,28.5,10,8.5,8.5,9,,28.5,Litchfield
,10,gardenia resinosa,9,,13.6,6,6,4,5.333333333,,13.6,Litchfield
,12,Erythrophleum chlorostachys,15.5,,20.1,16,14,13,14.33333333,,20.1,Litchfield
,13 B,Erythrophleum chlorostachys,17.5,,35.8,26,22,27,25,"DBH taken from tree ""B"" - different from than tree in 2006",35.8,Litchfield
,14,Erythrophleum chlorostachys,14,,23.4,24,23,25,24,,23.4,Litchfield
,16,Erythrophleum chlorostachys,12,,33.8,18,21,26,21.66666667,,33.8,Litchfield
,17,Corymbia polycarpa,14.5,,18.1,10.5,14,13,12.5,,18.1,Litchfield
,18,Erythrophleum chlorostachys,14.5,,25.9,16,16,15.5,15.83333333,,25.9,Litchfield
,19,Corymbia polycarpa,14.5,,18.1,10.5,14,13,12.5,,18.1,Litchfield
,23,Erythrophleum chlorostachys,11.5,,26.2,15.5,21,21,19.16666667,,26.2,Litchfield
,25,Owenia vernicosa,7.5,,14.1,11,11.5,12.5,11.66666667,,14.1,Litchfield
,26,Grevillea pteridifolia,7.5,,8.5,7,7,9,7.666666667,,8.5,Litchfield
,27,Alphitonia excelsa,6,,7.7,9,11,9,9.666666667,,7.7,Litchfield
,28,Erythrophleum chlorostachys,5.5,,7.8,15,14,9,12.66666667,,7.8,Litchfield
,31,alphitonia excelsa,6,,6.5,8,7.5,8.5,8,,6.5,Litchfield
,32,Owenia vernicosa,4.5,,7.5,9.5,10,10,9.833333333,,7.5,Litchfield
,33,Owenia vernicosa,4.5,,5.8,8.5,8,8,8.166666667,,5.8,Litchfield
,35,Owenia vernicosa,4,,6.8,10,10,12.5,10.83333333,,6.8,Litchfield
,36,Owenia vernicosa,5,,7.6,10,10,12.5,10.83333333,,7.6,Litchfield
,37,Petalostigma pubescens,5,,6.2,7,7.5,7,7.166666667,,6.2,Litchfield
,-,Petalostigma pubescens,,,13.8,14,13.5,11,12.83333333,,13.8,Litchfield
,-,Petalostigma pubescens,,,7.7,9,9.5,9.5,9.333333333,,7.7,Litchfield
,-,Petalostigma pubescens,,,6.3,8,8.5,6,7.5,,6.3,Litchfield
,-,Petalostigma pubescens,,,5.3,8,8,7,7.666666667,,5.3,Litchfield
,-,Petalostigma pubescens,,,3.9,4.5,5,5,4.833333333,,3.9,Litchfield
,-,Petalostigma pubescens,,,9.4,12,10,11,11,,9.4,Litchfield
,-,Petalostigma pubescens,,,7.2,10,9,10,9.666666667,,7.2,Litchfield
,-,Petalostigma pubescens,,,8.1,10,9,8.5,9.166666667,Looks like its dying,8.1,Litchfield
,-,Petalostigma pubescens,,,5.4,4,6.5,5,5.166666667,,5.4,Litchfield
,-,Petalostigma pubescens,,,8.3,10,11,11,10.66666667,,8.3,Litchfield
,-,Owenia vernicosa,,,3.7,6,6.5,7.5,6.666666667,,3.7,Litchfield
,-,Owenia vernicosa,,,3.7,8.5,8,8,8.166666667,,3.7,Litchfield
,-,Owenia vernicosa,,,3.1,5,5,5,5,,3.1,Litchfield
,-,Owenia vernicosa,,,4.9,8,7,6,7,,4.9,Litchfield
,-,Owenia vernicosa,,,3,4.5,4.5,4,4.333333333,,3,Litchfield
,-,Owenia vernicosa,,,3.7,5,5.5,4.5,5,,3.7,Litchfield
,-,Owenia vernicosa,,,2.8,5,5,5,5,,2.8,Litchfield
,-,Owenia vernicosa,,,1.7,4.5,4.5,5.5,4.833333333,,1.7,Litchfield
,-,Owenia vernicosa,,,1.9,5,5,5,5,,1.9,Litchfield
,-,Owenia vernicosa,,,5.2,5.5,6,5.5,5.666666667,,5.2,Litchfield
,-,Owenia vernicosa,,,4.4,5,6,6.5,5.833333333,,4.4,Litchfield
,-,Syzygium suborbiculare,,,3,6,5,5,5.333333333,,3,Litchfield
,-,Petalostigma pubescens,5.5,,11.8,13,13,10,12,,11.8,Litchfield
,1,Persoonia falcata,9.5,,9,5,4.5,4.5,4.666666667,,9,Litchfield
,5,Eucalyptus miniata,17.5,,38.8,15.5,19.5,23,19.33333333,,38.8,Litchfield
,7,Corymbia ptychocarpa,8,,23,20,23,20,21,,23,Litchfield
,11,Eucalyptus miniata,14,,24.5,21,15,19,18.33333333,,24.5,Litchfield
,12,Eucalyptus miniata,10.5,,11.8,8,6,10,8,,11.8,Litchfield
,14,Eucalyptus miniata,15,,31.6,24,29,30,27.66666667,,31.6,Litchfield
,17,Eucalyptus miniata,16,,26.8,16,22,22.5,20.16666667,,26.8,Litchfield
,20,Corymbia ptychocarpa,6,,8.5,12,11,10,11,,8.5,Litchfield
,22,Corymbia ptychocarpa,6,,10.6,19,18,19,18.66666667,,10.6,Litchfield
,23,Corymbia ptychocarpa,7.5,,12.8,15.5,16,16,15.83333333,,12.8,Litchfield
,24,Eucalyptus miniata,15,,21.2,15,15,15,15,,21.2,Litchfield
,25,Corymbia ptychocarpa,7,,10.8,19,17,15.5,17.16666667,,10.8,Litchfield
,26,Corymbia ptychocarpa,5.5,,10.4,14.5,13.5,13.5,13.83333333,,10.4,Litchfield
,27,Corymbia ptychocarpa,8,,17.3,17.5,20.5,18,18.66666667,,17.3,Litchfield
,29,Eucalyptus miniata,16,,32.6,19.5,19.5,21,20,,32.6,Litchfield
,30,Eucalyptus miniata,15.5,,22,14,20,17,17,,22,Litchfield
,35,Corymbia ptychocarpa,7.5,,10.5,11.5,13.5,13.5,12.83333333,,10.5,Litchfield
,36,Corymbia ptychocarpa,7,,8.9,14,12,14,13.33333333,,8.9,Litchfield
,38,Corymbia ptychocarpa,,,9.9,11,12.5,12,11.83333333,Marked as dead in 2006 data sheet - but we still collected measurments for it,9.9,Litchfield
,41,Corymbia ptychocarpa,8.5,,16.3,18,19,15,17.33333333,,16.3,Litchfield
,44,Eucalyptus miniata,14,,19.4,16,17,19,17.33333333,,19.4,Litchfield
,45,Corymbia ptychocarpa,6,,9.9,10,10.5,12.5,11,,9.9,Litchfield
,46,Corymbia ptychocarpa,6.5,,10.8,13,14.5,12.5,13.33333333,,10.8,Litchfield
,47,Corymbia ptychocarpa,6,,9.3,11,13,11.5,11.83333333,,9.3,Litchfield
,48,Corymbia ptychocarpa,5,,6.9,8.5,10,10,9.5,,6.9,Litchfield
,49,Corymbia ptychocarpa,7,,11.1,12,12.5,13,12.5,,11.1,Litchfield
,50,Erythrophleum chlorostachys,17,,41.4,19.5,31.5,28,26.33333333,,41.4,Litchfield
,51,Corymbia ptychocarpa,8.5,,20.3,16,16.5,15,15.83333333,,20.3,Litchfield
,43 A,Corymbia ptychocarpa,5.5,,10,13,15,15,14.33333333,,10,Litchfield
,60,Eucalyptus miniata,13,,21.3,13,16,13,14,Note in margins - difficult to read  - *Burnt tag* ?,21.3,Litchfield
,61,Eucalyptus miniata,,,6.8,11,11,12,11.33333333,Marked as dead in 2006 data sheet - but we still collected measurments for it,6.8,Litchfield
,63,Corymbia ptychocarpa,7.5,,9.2,15,14,15,14.66666667,,9.2,Litchfield
,67,Corymbia ptychocarpa,5,,6.4,8,8.5,8,8.166666667,DBH siginifiantly smaller than 2006 measurement,6.4,Litchfield
,68,Alphitonia excelsa,5,,11.3,10,10,12,10.66666667,,11.3,Litchfield
,70,Petalostigma pubescens,4.5,,5.6,6,7,8.5,7.166666667,,5.6,Litchfield
,72,Corymbia ptychocarpa,4,,6.6,8,8,8,8,,6.6,Litchfield
,-,Corymbia ptychocarpa,,,4.5,8,8,7,7.666666667,,4.5,Litchfield
,,Corymbia ptychocarpa,,,8,8,9.5,9,8.833333333,,8,Litchfield
,,Corymbia ptychocarpa,,,5.3,8,8,10,8.666666667,,5.3,Litchfield
,,Corymbia ptychocarpa,,,4.2,8,7,7.5,7.5,,4.2,Litchfield
,,Corymbia ptychocarpa,,,5.1,8.5,8.5,8.5,8.5,,5.1,Litchfield
,,Corymbia ptychocarpa,,,3.5,6,6.5,6,6.166666667,,3.5,Litchfield
,9,Lophostemon lactifluus,6,,13.9,9.5,10,15,11.5,,13.9,Litchfield
,10,Lophostemon lactifluus,5.5,,7.7,13.5,17,11,13.83333333,,7.7,Litchfield
,11,Lophostemon lactifluus,7.7,,7.7,14,10,13,12.33333333,,7.7,Litchfield
,14,Lophostemon lactifluus,7,,10.1,12,16,16,14.66666667,,10.1,Litchfield
,15,Lophostemon lactifluus,7,,11.7,24,23,29,25.33333333,,11.7,Litchfield
,16,Lophostemon lactifluus,5.5,,6.8,11.5,14.5,13,13,,6.8,Litchfield
,18,Lophostemon lactifluus,5,,6.4,7,7,7,7,,6.4,Litchfield
,19,Lophostemon lactifluus,8,,11.4,9,10,9,9.333333333,,11.4,Litchfield
,20,Lophostemon lactifluus,9,,14.2,10,10.5,9,9.833333333,,14.2,Litchfield
,22,Lophostemon lactifluus,10,,19.35,18,18,15,17,,19.35,Litchfield
,24,Buchanania obovata,8,,14.25,16.5,16.5,18,17,,14.25,Litchfield
,26,Lophostemon lactifluus,7,,8.85,10,13,11,11.33333333,,8.85,Litchfield
,27,Lophostemon lactifluus,9,,17.6,17,17.5,17,17.16666667,,17.6,Litchfield
,28,Lophostemon lactifluus,6.5,,6.75,9,9,10,9.333333333,,6.75,Litchfield
,30,Lophostemon lactifluus,9.5,,14.7,18,22,21,20.33333333,,14.7,Litchfield
,31,Lophostemon lactifluus,7,,8,12,10,13.5,11.83333333,,8,Litchfield
,32,Lophostemon lactifluus,6,,9.15,11.5,11,9,10.5,,9.15,Litchfield
,33,Lophostemon lactifluus,7.5,,10,10,13.5,12.5,12,,10,Litchfield
,38,Lophostemon lactifluus,8,,11.2,13,12.5,13,12.83333333,,11.2,Litchfield
,21b,Lophostemon lactifluus,5.5,,10.04,10.5,7.5,8.5,8.833333333,,10.04,Litchfield
,21c,Lophostemon lactifluus,6,,7.7,7,8,6,7,,7.7,Litchfield
,21d,Lophostemon lactifluus,5.5,,9,7,7.5,10.5,8.333333333,,9,Litchfield
,23a,Lophostemon lactifluus,7,,23.05,11,8,8,9,,23.05,Litchfield
,23b,Lophostemon lactifluus,7,,11.4,8,8,7,7.666666667,,11.4,Litchfield
,23c,Lophostemon lactifluus,7,,10.15,7,6,7,6.666666667,,10.15,Litchfield
,23d,Lophostemon lactifluus,7,,8.4,5,5,6,5.333333333,,8.4,Litchfield
,23e,Lophostemon lactifluus,7,,8.1,7,8,7,7.333333333,,8.1,Litchfield
,23f,Lophostemon lactifluus,7,,7.55,8,7,8,7.666666667,,7.55,Litchfield
,-,Buchanania obovata,,,19.4,14,18,17.5,16.5,,19.4,Litchfield
,-,Buchanania obovata,4,,4.4,7,7,7,7,,4.4,Litchfield
,-,Melaleuca nervosa,10,,10.65,12.5,10.5,11,11.33333333,,10.65,Litchfield
,-,Melaleuca nervosa,9,,10.05,9,8.5,9,8.833333333,,10.05,Litchfield
,-,Melaleuca nervosa,9,,7.05,9.5,7.5,10,9,,7.05,Litchfield
,-,Melaleuca nervosa,9,,9.4,10,8,9,9,,9.4,Litchfield
,-,Buchanania obovata,3.5,,3.9,9.5,9,9,9.166666667,,3.9,Litchfield
,-,Grevillea pteridifolia,5.5,,5.85,6,6,6,6,,5.85,Litchfield
,-,Grevillea pteridifolia,8.5,,9.55,6,7,5.5,6.166666667,,9.55,Litchfield
,-,Grevillea pteridifolia,5,,6.85,6,6,6,6,,6.85,Litchfield
,-,Buchanania obovata,,,18.6,18,18,17,17.66666667,,18.6,Litchfield
,-,Grevillea pteridifolia,,,5.45,5,5,5,5,,5.45,Litchfield
,-,Grevillea pteridifolia,,,6.85,7,6,6,6.333333333,,6.85,Litchfield
,-,Grevillea pteridifolia,,,9.25,6,6,6.5,6.166666667,,9.25,Litchfield
,-,Grevillea pteridifolia,,,7.9,6,5.5,7,6.166666667,,7.9,Litchfield
,-,Melaleuca nervosa,,,20.09,15.5,16,14.5,15.33333333,,20.09,Litchfield
,-,Buchanania obovata,,,12.8,11,11,12.5,11.5,,12.8,Litchfield
,-,Melaleuca nervosa,9,,10.6,8.5,9,11.5,9.666666667,,10.6,Litchfield
,-,Melaleuca nervosa,10,,10.5,10,9,10,9.666666667,,10.5,Litchfield
,-,Buchanania obovata,12,,19.5,19,16,16.5,17.16666667,,19.5,Litchfield
,-,Buchanania obovata,6,,12.8,14,15,14,14.33333333,,12.8,Litchfield
,-,Melaleuca nervosa,7,,5.75,7,7,7,7,,5.75,Litchfield
,-,Melaleuca nervosa,9.5,,11.6,13,11.5,13,12.5,,11.6,Litchfield
,-,Melaleuca nervosa,8,,8.6,9,9,8.5,8.833333333,,8.6,Litchfield
,-,Buchanania obovata,10,,11.65,14,13,16,14.33333333,,11.65,Litchfield
,-,Buchanania obovata,8.5,,16.4,19,18,18,18.33333333,,16.4,Litchfield
,-,Buchanania obovata,8,,13.3,18,18,15,17,,13.3,Litchfield
,-,Grevillea,5,,6.15,6,6,7,6.333333333,,6.15,Litchfield
,1,Melaleuca viridiflora,12,,13.1,8.5,7.5,9.5,8.5,,13.1,Litchfield
,2,Melaleuca viridiflora,8,,13.9,11,11,8.5,10.16666667,,13.9,Litchfield
,3,Melaleuca viridiflora,8,,9.7,9.5,8,7,8.166666667,,9.7,Litchfield
,5,Melaleuca viridiflora,7,,8.4,8,7,7,7.333333333,,8.4,Litchfield
,6,Melaleuca viridiflora,7,,6.85,6.5,5,7,6.166666667,,6.85,Litchfield
,7,Brachychiton diversifolius,10,,11,16,20,20.5,18.83333333,,11,Litchfield
,10,Corymbia polysciada,15,,24.1,16.5,13,16.5,15.33333333,,24.1,Litchfield
,14,Corymbia polysciada,10,,20.6,8,10,10.5,9.5,,20.6,Litchfield
,15,Corymbia polysciada,10,,15.9,9.5,10,12,10.5,,15.9,Litchfield
,18,Corymbia polysciada,8,,19.1,14.5,12,12,12.83333333,,19.1,Litchfield
,19,Corymbia polysciada,7,,17.1,10.5,12,13.5,12,,17.1,Litchfield
,21,Melaleuca viridiflora,12,,18.4,14,13,9,12,,18.4,Litchfield
,22,Melaleuca viridiflora,7,,7,7,7.5,6.5,7,,7,Litchfield
,25,Corymbia bella,16,,28.3,9,11.5,10.5,10.33333333,,28.3,Litchfield
,27,Acacia lamprocarpa,7,,7.4,6,6.5,6.5,6.333333333,,7.4,Litchfield
,28,Terminalia ferdinandiana,7.5,,8.5,11.5,11,11,11.16666667,,8.5,Litchfield
,29,Melaleuca viridiflora,7,,6.3,7.5,7,7,7.166666667,DBH smaller than 2006,6.3,Litchfield
,1,Callitris intratropica,13,,10.95,6,6,5,5.666666667,No fire in plot - rocky hillside,10.95,Litchfield
,2,Callitris intratropica,18,,24.5,13.5,12,12.5,12.66666667,,24.5,Litchfield
,3,Callitris intratropica,14,,22,11,12.5,12,11.83333333,,22,Litchfield
,6,Eucalyptus miniata,12,,31.1,33,22,32,29,,31.1,Litchfield
,7,Erythrophleum chlorostachys,11,,28.3,14,17,14,15,,28.3,Litchfield
,8,Corymbia polysciada,6,,8.2,9.5,10,10.5,10,,8.2,Litchfield
,9,Eucalyptus miniata,10,,23.7,18,22,16,18.66666667,,23.7,Litchfield
,11,Corymbia polysciada,8,,18.55,14,13,11,12.66666667,,18.55,Litchfield
,12,Xanthostemon paradoxus,7,,17,11,12,14,12.33333333,,17,Litchfield
,13,Eucalyptus tectifica,13,,11.2,9,9,8,8.666666667,,11.2,Litchfield
,14,Eucalyptus miniata,11,,24.7,17.5,16,28,20.5,,24.7,Litchfield
,15,Eucalyptus miniata,16,,16.3,16,17,15.5,16.16666667,,16.3,Litchfield
,16,Eucalyptus miniata,11,,18.5,13,20,14,15.66666667,,18.5,Litchfield
,17,Terminalia latipes,6.5,,8.55,9,10.5,9,9.5,,8.55,Litchfield
,18,Callitris intratropica,17,,32.4,17,18,17,17.33333333,,32.4,Litchfield
,19,Corymbia polysciada,6,,17.5,12,13,10,11.66666667,,17.5,Litchfield
,20,Eucalyptus tectifica,8,,9.05,9,9,8,8.666666667,,9.05,Litchfield
,21,Corymbia polysciada,5,,7.8,9,10.5,8,9.166666667,,7.8,Litchfield
,25,Corymbia polysciada,6,,10.9,9,12,9,10,,10.9,Litchfield
,26,Erythrophleum chlorostachys,10,,19.2,15.5,15,16,15.5,,19.2,Litchfield
,27,Corymbia polysciada,9,,17.6,14,15,11,13.33333333,,17.6,Litchfield
,30,Erythrophleum chlorostachys,7,,9.8,15,14.5,14,14.5,,9.8,Litchfield
,33,Erythrophleum chlorostachys,10,,16.6,17,18,14,16.33333333,,16.6,Litchfield
,34,Erythrophleum chlorostachys,12.5,,17.1,18,16,15,16.33333333,,17.1,Litchfield
,35,Eucalyptus miniata,7,,8.8,9,9,10,9.333333333,,8.8,Litchfield
,36,Corymbia polysciada,16.3,,,11,10.5,11,10.83333333,,,Litchfield
,37,Corymbia polysciada,6,,11.8,8.5,10,11,9.833333333,,11.8,Litchfield
,39 A,Eucalyptus tectifica,12,,8.6,5,5.5,5.5,5.333333333,DBH siginifiantly smaller than 2006 measurement,8.6,Litchfield
,40,Eucalyptus miniata,12,,12.6,12,12,12,12,,12.6,Litchfield
,41,Xanthostemon paradoxus,7,,12.4,13,12,14,13,,12.4,Litchfield
,42,Corymbia foelscheana,5.5,,8.1,8,6.5,7,7.166666667,,8.1,Litchfield
,46,Erythrophleum chlorostachys,15.5,,17.9,12.5,11,14,12.5,,17.9,Litchfield
,47,Corymbia foelscheana,6.5,,10.2,9,7.5,8.5,8.333333333,,10.2,Litchfield
,48,Corymbia polysciada,20,,21.9,15,15,15,15,,21.9,Litchfield
,49,Xanthostemon paradoxus,11,,19.2,15,13,11,13,,19.2,Litchfield
,50,Eucalyptus miniata,6,,7.4,7,7,7,7,,7.4,Litchfield
,51,Eucalyptus tectifica,9,,6.4,7,9,6,7.333333333,Marked on sheet as originally being Xanthostemon,6.4,Litchfield
,53,Eucalyptus miniata,9,,7,9.5,6,8,7.833333333,,7,Litchfield
,54,Erythrophleum chlorostachys,5,,7.5,14,12.5,11.5,12.66666667,,7.5,Litchfield
,56,Erythrophleum chlorostachys,6,,5.4,10,10,11,10.33333333,,5.4,Litchfield
,63,Erythrophleum chlorostachys,4,,6.3,16,13,15,14.66666667,,6.3,Litchfield
,65,Erythrophleum chlorostachys,4,,5.6,8,9,10.5,9.166666667,,5.6,Litchfield
,66,Eucalyptus miniata,5.5,,4.8,9,6,8,7.666666667,,4.8,Litchfield
,-,Xanthostemon paradoxus,,,4.4,7,7,7,7,,4.4,Litchfield
,-,Erythrophleum chlorostachys,,,5.4,11,10,10.5,10.5,,5.4,Litchfield
,-,Eucalyptus miniata,,,5.8,11,9,8.5,9.5,,5.8,Litchfield
,-,Xanthostemon paradoxus,,,13.7,14.5,14.5,14.5,14.5,,13.7,Litchfield
,-,Terminalia latipes,,,2.6,6,7,6,6.333333333,,2.6,Litchfield
,-,Corymbia polysciada,,,1.9,5,4.5,4.5,4.666666667,,1.9,Litchfield
,-,Erythrophleum chlorostachys,,,2.5,10,10,9,9.666666667,,2.5,Litchfield
,-,Erythrophleum chlorostachys,,,3.2,8.5,7,8.5,8,,3.2,Litchfield
,-,Corymbia polysciada,,,1.9,5,5,6,5.333333333,,1.9,Litchfield
,-,Terminalia latipes,,,3.1,6,7,6,6.333333333,,3.1,Litchfield
,-,Terminalia latipes,,,3.6,6,5,4.5,5.166666667,,3.6,Litchfield
,-,Callitris intratropica,,,8.5,5,5,5,5,,8.5,Litchfield
,-,Callitris intratropica,,,2.2,3,4.5,3,3.5,,2.2,Litchfield
,-,Callitris intratropica,,,13.55,8,6.5,7,7.166666667,,13.55,Litchfield
,-,Callitris intratropica,,,9.4,6.5,6.5,6.5,6.5,,9.4,Litchfield
,-,Callitris intratropica,,2.2,,,,,,dbh 0.5m,2.2,Litchfield
,-,Callitris intratropica,,1.74,,2.5,2.5,3,2.666666667,dbh 0.5m,1.74,Litchfield
,-,Callitris intratropica,,1.28,,2.5,3,3,2.833333333,dbh 0.5m,1.28,Litchfield
,-,Callitris intratropica,,1.06,,3,3,3,3,dbh 0.5m,1.06,Litchfield
,-,Callitris intratropica,,1.09,,2.5,3,2.5,2.666666667,dbh 0.5m,1.09,Litchfield
,-,Callitris intratropica,,1.27,,2.5,2.5,2.5,2.5,dbh 0.5m,1.27,Litchfield
,-,Callitris intratropica,,3.18,,4,4,3.5,3.833333333,dbh 0.5m,3.18,Litchfield
,-,Callitris intratropica,,0.8,,2.5,2,2,2.166666667,dbh 0.5m,0.8,Litchfield
,-,Callitris intratropica,,,34.2,13,14,12,13,,34.2,Litchfield
,-,Callitris intratropica,,,10.9,8,7.5,7.5,7.666666667,,10.9,Litchfield
,-,Callitris intratropica,,,24.8,12.5,12.5,13,12.66666667,,24.8,Litchfield
,-,Callitris intratropica,,,5.8,7,7,6,6.666666667,,5.8,Litchfield
,-,Callitris intratropica,,,5.3,10,7,6.5,7.833333333,,5.3,Litchfield
,-,Callitris intratropica,,,2.8,5,5,5,5,,2.8,Litchfield
,-,Callitris intratropica,,,5.5,8.5,8.5,8,8.333333333,,5.5,Litchfield
,3,Callitris intratropica,18,,24.8,9,11,11,10.33333333,,24.8,Litchfield
,4,Callitris intratropica,17,,26.5,12,11,11,11.33333333,,26.5,Litchfield
,5,Lophostemon lactifluus,4,,8.6,13.5,13.5,11,12.66666667,,8.6,Litchfield
,7,Corymbia polysciada,9,,12.1,9.5,10.5,8.5,9.5,,12.1,Litchfield
,10,Erythrophleum chlorostachys,16,,18.45,16,21,20.5,19.16666667,,18.45,Litchfield
,11,Callitris intratropica,17,,25.3,14,12,12.5,12.83333333,,25.3,Litchfield
,16,Callitris intratropica,16.5,,27.3,14.5,12,14,13.5,"Note in margin - ""Burnt out"" ?",27.3,Litchfield
,18,Callitris intratropica,16,,28.2,14,14,13,13.66666667,"Note in margin - ""Burnt out"" ?",28.2,Litchfield
,19,Callitris intratropica,18,,25.5,14,18,13,15,,25.5,Litchfield
,20,Erythrophleum chlorostachys,14.5,,19.1,16,22,22,20,,19.1,Litchfield
,24,Callitris intratropica,18,,24.4,10,10.5,9.5,10,,24.4,Litchfield
,26,Corymbia polysciada,9,,17.65,11,11,11.5,11.16666667,,17.65,Litchfield
,27,Eucalyptus tetrodonta,21,,28.2,14,14,14.5,14.16666667,,28.2,Litchfield
,38,Callitris intratropica,15.5,,18.9,11,9.5,10,10.16666667,,18.9,Litchfield
,39 B,Lophostemon lactifluus,10,,12.3,13,10.5,11.5,11.66666667,,12.3,Litchfield
,40,Buchanania obovata,12,,14,15,15,13,14.33333333,,14,Litchfield
,41,Callitris intratropica,6.5,,8.4,5,5,5,5,,8.4,Litchfield
,43,Corymbia polysciada,12,,17.5,14,16.5,17,15.83333333,,17.5,Litchfield
,51,Callitris intratropica,12,,10.4,7,6,8,7,,10.4,Litchfield
,52,Callitris intratropica,12.5,,12.6,8,9,7,8,,12.6,Litchfield
,57,Erythrophleum chlorostachys,11,,26.3,19,19,18.5,18.83333333,,26.3,Litchfield
,60,Callitris intratropica,7,,10,9,8.5,8,8.5,,10,Litchfield
,61,Corymbia polysciada,6.5,,8,11,8.5,10,9.833333333,,8,Litchfield
,62,Callitris intratropica,12,,13.4,9,8,8.5,8.5,,13.4,Litchfield
,63,Corymbia polysciada,6,,6.4,11.5,9.5,11.5,10.83333333,,6.4,Litchfield
,67,Callitris intratropica,3,,26.4,14,13,10,12.33333333,,26.4,Litchfield
,68,Callitris intratropica,13,,17.3,9.5,10,9,9.5,,17.3,Litchfield
,69,Xanthostemon paradoxus,6.5,,15.6,15,12,10,12.33333333,"Recorded as ""Lophostemon"" in original data set",15.6,Litchfield
,70,Lophostemon lactifluus,14,,29.6,20,18,15.5,17.83333333,,29.6,Litchfield
,71,Callitris intratropica,8.5,,7.5,8,6,6,6.666666667,,7.5,Litchfield
,74,Callitris intratropica,7.5,,7.9,8.5,7.5,6,7.333333333,,7.9,Litchfield
,75,Callitris intratropica,8,,7.8,6.5,7,6.5,6.666666667,,7.8,Litchfield
,76,Callitris intratropica,6,,5.7,,,,,Dead - no bark measurments,5.7,Litchfield
,105,Petalostigma pubescens,4.5,,6.3,4,6.5,7,5.833333333,,6.3,Litchfield
,-,Callitris intratropica,,,3.45,3.5,3.5,3.5,3.5,,3.45,Litchfield
,-,Callitris intratropica,,,4.6,3.5,4,3.5,3.666666667,,4.6,Litchfield
,-,Callitris intratropica,,,2.9,4,,,4,,2.9,Litchfield
,-,Callitris intratropica,,,5.2,5.5,5.5,4.5,5.166666667,,5.2,Litchfield
,-,Callitris intratropica,,,5.5,5,5,5,5,,5.5,Litchfield
,-,Callitris intratropica,,,3.9,3.5,4.5,3.5,3.833333333,,3.9,Litchfield
,-,Terminalia latipes,8.5,,9.3,9,10,12.5,10.5,,9.3,Litchfield
,-,Terminalia latipes,6.8,,7.5,13.5,13.5,10,12.33333333,,7.5,Litchfield
,-,Terminalia latipes,4.3,,4.5,11,11.5,9,10.5,,4.5,Litchfield
,-,Terminalia latipes,7,,6.3,10,11,9,10,,6.3,Litchfield
,-,Terminalia latipes,5.1,,5.9,9,9,9,9,,5.9,Litchfield
,-,Terminalia latipes,6,,6.5,11,12.5,12,11.83333333,,6.5,Litchfield
,-,Terminalia latipes,1.6,,1.7,5,4.5,4.5,4.666666667,,1.7,Litchfield
,-,Terminalia latipes,6.7,,7.9,13,13,13,13,DBH is wrong - difference too great between 0.5m and 1.3 m - changed 32.4 to 82.4,7.9,Litchfield
,-,Terminalia latipes,5.2,,4.1,8,7.5,8,7.833333333,,4.1,Litchfield
,-,Terminalia latipes,2.6,,5.3,7,6.5,7,6.833333333,,5.3,Litchfield
