Site,Season,Species,Plant,Time,A,E,gs,WP,WP_pre_dawn,WP_midday,Ves Count,Phenology,Diameter,Area,Dry weight,SLA,Height max (m),Ks (kg m-1 MPa-1 s-1),KL (kg m-1 MPa-1 s-1),Kh,WP min predawn (MPa),Huber value,Max vessel length (cm),Av. conduit diameter (um),dh mean hydraulic diameter (um),wood density (g/cm3),context
1,Wet/Dry,Alphitonia excelsa,2,17:00:00,2.432,0.512,0.028,-2.016666667,NA,-2.016666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 17:00:00
1,Wet/Dry,Alphitonia excelsa,3,9:00:00,6.652,4.128,0.23,-2.066666667,NA,-2.066666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 09:00:00
1,Wet/Dry,Alphitonia excelsa,3,11:00:00,8.002,5.2,0.342,-1.716666667,NA,-1.716666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 11:00:00
1,Wet/Dry,Alphitonia excelsa,3,13:00:00,4.612,4.306,0.154,-1.816666667,NA,-1.816666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 13:00:00
1,Wet/Dry,Alphitonia excelsa,3,15:00:00,6.476,4.798,0.208,-1.7,NA,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 15:00:00
1,Wet/Dry,Alphitonia excelsa,3,17:00:00,6,1.746,0.11,-1.3,NA,-1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 17:00:00
1,Wet/Dry,Alphitonia excelsa,4,9:00:00,11.054,6.19,0.458,-1.9,NA,-1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 09:00:00
1,Wet/Dry,Alphitonia excelsa,4,11:00:00,9.2,6.938,0.634,-1.483333333,NA,-1.483333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 11:00:00
1,Wet/Dry,Alphitonia excelsa,4,13:00:00,8.414,4.076,0.402,-2.016666667,NA,-2.016666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 13:00:00
1,Wet/Dry,Alphitonia excelsa,4,15:00:00,5.872,2.846,0.104,-1.533333333,NA,-1.533333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 15:00:00
