Species,LF,HeightMax,ReproAge,ReproCLE,Pollination_syndrome,Fruit_type,FruitFG,DispClass,DispSimple,DispC3,SeedDM,cotsExp,cotsEH,cotsFR,LEE,StemDensitys1,LDMs1,LDVs1,LAs1,LtLeafs1,LMAs1,LSleafs1,LSSs1,StemDensitys2,LDMs2,LDVs2,LAs2,LtLeafs2,LMAs2,LSleafs2,LSSs2
Xanthophyllum octandrum,C,32,4,7,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrM,DivAv,Flying,DivAv,256.6345,1,1,1,1.73,0.51,0.22,0.18,13.83,0.18,31.68,0.97,5.33,0.69,0.33,0.37,28.64,0.27,99.34,2.31,8.56
Angiopteris evecta,H,3,3,5,None,Spore,SmU,SmUn,,SmUn,0.1,,,,,,,,,,,,,,,,,,,,
Blechnum cartilagineum,H,1.2,1,4,None,Spore,SmU,SmUn,,SmUn,0.71,,,,,,,,,,,,,,,,,,,,
Bowenia spectabilis,H,1.4,2,4,Wind,Dry dehiscent or indehsicent without attractant or wing,Wood,Rod,,CHR,2300,,,,,,,,,,,,,,,,,,,,
Diplazium dilatatum,H,0.5,1,3,None,Spore,SmU,SmUn,,SmUn,0.05,,,,,,,,,,,,,,,,,,,,
Lastreopsis wurunuran,H,1,2,3,None,Spore,SmU,SmUn,,SmUn,0.02,,,,,,,,,,,,,,,,,,,,
Lygodium reticulatum,H,12,1,5,None,Spore,SmU,SmUn,,SmUn,0.03,,,,,,,,,,,,,,,,,,,,
Selaginella longipinna,H,0.6,1,3.5,None,Spore,SmU,SmUn,,SmUn,0.06,,,,,,,,,,,,,,,,,,,,
Tectaria confluens,H,0.6,2,4,None,Spore,SmU,SmUn,,SmUn,0.04,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phylocom Trait TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nangiosperms,,,199,199,,,,,,,,,,,199,,,,,,,,,,,,,,,,
N angiosperms with traits,,,199,199,,,,,,,,,,,199,,,,,,,,,,,,,,,,
Total N species,,207,207,,207,207,,207,,,207,,,,199,,,,,,,,,,,,,,,,
Trait N species,,207,207,,207,207,,207,,,207,,,,199,,,,,,,,,,,,,,,,
Trait % completeness,,100,100,,100,100,,100,,,100,,,,100,,,,,,,,,,,,,,,,
Mean or mode,,23.8821256,2,,Bees,"Fleshy (berry, pome, pepo, etc.)",,DivLs,,,1049.174201,,,,,,,,,,,,,,,,,,,,
Range or N categories present,,0.4 - 53m,"4 classes, max 37% class2, 5-10 yrs",,"8 classes, 45% 'Bees'",5 classes,,"9 classes, 35% DivLs ",,,"0.02 - 43,159 mg",,,,1 to 5,,,,,,,,,,,,,,,,
Min,,0.4,,,,,,,,,0.02,,,,1,,,,,,,,,,,,,,,,
Max,,53,,,,,,,,,43159.05,,,,5,,,,,,,,,,,,,,,,
Trait definition,,"Species estimated asymptotic height, as the distance from the highest photosynthetic tissues to the ground surface.","Age class of first reproduction, 1-4,  1 = <5 yrs,   2 = 5-10 yrs,   3 = 10-20 yrs,    4 = >20 yrs",,"Pollination Classification - 10 possible classes, 8 present","Fleshy (berry, pome, pepo, etc.), Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.), Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.), Dry dehiscent or indehsicent without attractant or wing, Spore",,,,,"Oven-dry mass of the seed, including seed wall",,,,,,,,,,,,,,,,,,,,
Data Source,,"Rainforest Key, CSIRO permanent plots, Field observations","TFRC arboretum, Botanist and Landholder Interviews",,"Assigned by Dr. Dan Metcalfe, CSIRO, based on literature data and floral features.","Rainforest Key, Cooper & Cooper 2004",,,,,"CSIRO Fruit-Frugivore Interactions database, Metcalfe & Grubb (published and unpublished), RBG Kew seed database Liu et al (2008).  Data: 131 direct measurements, 76 inferred from seed or spore dimenssions.  ",,,,,,,,,,,,,,,,,,,,
